melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077
0.5798922545	-0.3185375286	1.722531087	0.0573056833	-0.6512644338	-1.661046287	-0.8896501251	-1.40367859	0.2389390052	-1.131994012	-1.213585001	-1.73343456	0.0237769007	-0.3669124648	0.1565131939	0.3780967664	-0.4669085208	-1.014767629	-0.7476162509	0.01125782183	-2.161466449	-1.548057246	-1.423021158	-1.628672268	-1.811105944	0.666182036	-1.834171678	0.09373312849	0.3576573387	-0.7944730283	-1.330222667	-0.473449477	-1.350343994	1.0462888	0.2518845234	0.1901926828	-1.042441697	-1.040099481	0.5810467746	-2.265903352	2.388710939	1.443363438	-0.3805860185	-0.7364049752	-0.4336326169	1.116452251	0.542926175	2.123957703	1.569619267	3.232270844	-1.106966834	-1.847405296	0.6946026399	0.5800130076	0.2938058799	-1.227113208	0.3281296855	-1.204321917	-0.3896518547	-0.01122182909	-0.03169858505	2.253748798	-1.311747238	1.432539789	-1.201489327	1.534416232	-1.473051197	-0.06348586917	0.3333702513	-0.8738300605	-0.4622631627	3.223355636	0.0837353163	-0.1517389845	-0.06725860826	1.734352145	-0.9540464117	0.9350777089
-0.3039536718	-0.9288295523	0.5910426428	0.9863708518	-0.9475168082	-0.1905208848	-0.7183771377	-2.094022203	-0.422340845	-0.9485652053	0.6208288736	-1.614467612	0.01083691797	0.9742041525	-1.497998925	-1.447114854	-2.078568183	-0.670012693	0.1303256205	-0.3403221824	-1.517132709	-1.334612543	-0.06460580609	-1.541850392	-1.785166193	-0.5923704912	-1.13671003	-0.4348813035	-0.7534340766	-2.261736554	-2.180936379	-0.2097231761	-1.2186331	-0.9671319353	1.308849341	0.6585118043	-0.8995099146	-0.7076744901	1.465535072	-1.439279553	1.091277082	0.3702861846	0.4103827952	0.2393742581	-1.780835962	2.258717188	0.5363276669	0.01626530068	3.422374167	2.018907502	-0.2406553807	-2.440233455	-0.08549400331	-0.7061713396	-0.5307868592	-0.9946361483	0.5098401125	0.7251216111	-0.7202627801	0.7710044047	1.334124448	1.118416324	-2.110109301	1.72313366	-0.4174723389	2.06458729	-0.9666542424	-0.4870012101	1.26618219	-0.3285034542	-1.477392722	1.378178455	0.5585698466	0.009530223811	-0.609184272	1.625737713	-0.9487644596	0.6457562888
-0.7455333222	-0.9478587329	-0.4468044383	0.1903853823	-1.34785705	2.003506578	-1.473592678	0.3360982875	-0.7976454583	0.5102615376	0.2757878281	-1.224791252	-0.9593600619	1.233449921	0.113765768	0.849719652	0.7014441722	-0.06101142137	0.4999446721	-1.570731908	-1.075350793	-2.302719779	0.7650414447	-0.9388351673	-1.573597416	-1.169927839	-0.6838918904	-0.8204891026	-0.8304452037	0.5315586969	-2.681098574	-0.4603165966	-1.627330414	0.5572578025	0.7231188333	-0.4158537338	-0.2833270809	-0.9790933029	0.09671951096	-1.799863662	0.6770346547	1.266853097	-0.07286050417	0.822862048	-0.3042690576	-0.1676360336	-0.6880339466	-0.6714924358	0.8435368841	0.1761165671	-0.1831371322	-1.217974925	-0.7896814141	0.2413386273	0.6777753395	-0.8653875083	-0.5232415963	0.07905317109	-0.07785589028	-0.5660475773	-0.7500415064	0.8238119246	-2.151765296	1.140636692	-0.1061309522	0.6480141453	-1.451126372	-0.74632425	-1.190100193	-0.09926407095	-0.2097095558	0.6591073347	-0.7173045087	-0.7492181527	0.09250630863	0.07513247323	0.2137445554	0.474503237
-0.4048513014	1.641638185	-1.224628592	-1.711126227	-0.5666203538	-0.9795624547	-1.157192063	0.7541319967	-0.08518670226	0.5814717125	-0.02559023717	0.4637225281	-1.630622271	-0.4543713088	0.0459177733	0.3028065106	0.8634985476	-0.1037726671	-0.2777098165	-0.1251489827	-0.357080954	-1.716303832	-0.6505635493	0.530840008	-0.8111998566	-0.4993389713	-0.4122326702	0.1068659901	0.009218741056	1.839268408	-1.448515777	-0.3138132709	-0.9526100769	-0.3115069706	0.7904336112	-0.7130339477	0.2541823685	0.1841216128	-1.040553439	-1.212857918	2.318303759	0.2918685639	0.3631306773	-0.6430670763	1.230993411	-1.407796597	-0.5910286489	0.09914152079	-0.5884882384	0.9805512205	-0.5272481363	-0.873630484	-1.862346373	0.8783868936	1.545887304	-0.5246331256	-1.18784158	-0.7005271971	0.5726692208	0.2938887758	-2.016086082	2.735356765	-0.8625501012	0.03161264388	-0.1541543457	-0.5162418845	-0.960301373	0.01824315259	0.969553726	0.5462817619	-0.5702825441	0.5896942169	-0.5419180311	1.199509244	1.377748385	1.240632527	1.662620977	0.5705254186
0.5705077693	1.030461333	-1.025482713	-0.6038766041	-0.704696137	-1.169629404	-1.095704042	-0.2727231472	-0.6398177714	-1.931729107	-0.1092920008	0.5348014032	-0.2555327694	0.9334952596	-1.098943704	-0.8266957421	-1.009567098	0.413224256	-0.31403305	-0.3126716706	0.2551601333	-1.339155129	-1.375280828	0.7618130905	-1.044582477	-0.5375656734	-0.3003893781	-0.6706184168	-0.1940015788	-1.405002424	0.5246559809	0.407513962	-0.2362238924	-1.43540741	1.824084349	-0.7870674301	0.6152393043	-0.001448448584	1.116738709	-0.9758767321	1.851541696	-0.2889042855	0.1424943496	0.5339527735	0.7096719878	0.5413047994	-0.4844067808	-1.030685005	0.9860105855	1.431345306	0.2348609073	-0.5579479363	-1.340592048	-0.9659073161	1.040689206	0.1670137431	1.739602516	0.01886007755	-1.76477508	0.585117957	0.2353644554	0.9800389137	-1.645843201	0.1871039101	1.623661027	-0.9170791385	-0.6425995583	0.7890578811	0.6621441914	-0.4580921803	1.042220414	0.5407297187	1.011958849	0.2919704064	0.745718766	1.542233887	0.0367520292	1.107033402
0.1636064137	-0.4846803716	1.362561983	1.581379769	-1.345547184	-0.6412973976	-1.522203194	-1.339069963	-0.5786119964	-0.9582838903	-1.410007087	-0.2396282927	-0.5403395015	0.9071491321	-0.1633360996	0.7440275496	-0.1268028235	-0.08188754568	-0.4028275696	-0.928659502	0.4067578255	-1.353260298	-0.5769440655	0.9547628508	-0.9563825823	-0.514791761	-0.09548414913	0.4745985824	-0.7346834634	-1.328851359	0.1976923485	-0.546494667	-0.7017030014	-0.158560295	0.7095516769	-0.4187588848	0.7613592943	-0.2205226809	1.163085407	-1.770445239	1.095535628	0.3120140069	0.6079275149	-0.4258929545	-1.20105379	0.9268753473	-0.4994323065	0.03988553927	0.5582947866	1.171246731	-0.1719099446	-0.9668471911	-0.6011000685	0.4015575092	0.9649569701	0.6074492667	0.6495287527	-0.1287986656	-0.9174022255	0.06869945352	0.3283369383	-0.3691388936	-1.794644078	1.264807561	0.7725818861	1.24208464	0.07370538077	-0.01878977271	-0.1822069544	-0.3088686699	0.7545191947	-0.5881238423	-0.0254486792	0.549704882	-0.2968353289	1.7073279	-0.3964449955	0.7724487862
-0.895755326	-1.120965684	-0.6951933916	-0.2865336359	-0.8710524669	1.131894224	-1.360016863	-0.9352299325	-0.2466773335	-0.2033823383	1.090860148	0.7457395191	-0.3643727021	0.4737604389	0.7321979001	1.137758937	0.554051788	-0.7394562295	-0.1222245851	-0.8269117751	0.7401231683	-1.075471416	0.9353486733	1.26092742	-0.7626624903	-0.5362711892	0.4539857989	-1.143956062	-0.9285336334	-1.180191044	0.2078339129	-0.468786759	-0.1675970607	0.5638732396	0.7878134175	0.1484664158	-0.3887065353	0.654676601	1.383593634	-1.133790822	1.324014077	0.7795426671	0.8135271132	0.002139318061	-0.4163245716	0.8146126036	-0.3288385057	-1.120625805	0.2945602428	0.9578975032	0.2553898524	-0.6036413404	-0.2363916042	0.8796840957	-0.7701964107	0.7592335456	-0.4931454483	0.7177334051	-1.11294544	0.2830770579	0.04414215548	-0.2435979814	-2.366795107	-0.5820826891	-1.875653159	0.02944259452	1.080077257	-0.1140456635	-1.557418943	0.01521099378	-0.04020424449	0.0001634795059	-0.04996234794	0.2557283542	0.7837803581	1.871446445	0.5641536204	0.6909096663
0.8499636081	1.958017459	-0.7079337498	-0.6503849933	-1.064459731	-0.9764748098	-1.473979692	0.7576304231	-0.7513965597	0.1687725536	0.233604155	1.117645694	0.02881600094	1.077006027	0.857097038	0.4046847474	0.8741206902	-1.579239024	-0.3137180792	-1.727567711	0.4873925508	-1.917651762	-0.8353378422	0.4187986776	-1.711470103	-0.8831215163	0.5471392197	-1.243210117	-0.9742358538	0.4583111637	0.4955634534	-0.3774920788	0.3727579711	0.3065913759	1.339941859	0.8744614601	-1.11571499	0.4051527925	1.175699973	-0.6538722128	-0.1590704683	0.5589046373	-0.04018612369	1.892735809	0.427204395	-0.6683979368	-1.325567955	-0.9646187709	0.1037383141	-0.7072611851	0.1414957691	0.1098914987	0.2998733623	2.791011684	-0.4530119916	-0.04544941753	0.4114021037	0.3631459227	0.1101746105	0.3417762652	-0.8499276618	0.02865944618	-2.477425333	-0.6108578792	0.5175177799	-1.297510895	0.4346843506	0.6830785628	1.96070258	1.909702526	0.4475544057	0.4405451953	-0.4372349936	-0.4047598086	0.2200230352	0.9605713858	0.1183547874	1.198963913
0.2842608952	-0.2428620578	1.649339659	1.455042694	-0.6316744533	-0.4148064463	-0.6458926785	-0.594053669	-0.3833848851	-0.3582028805	-2.000230109	1.507961999	-1.294901608	0.3717736412	-0.4332286276	0.4683776567	0.1143585969	-1.55241087	-1.127167682	-0.8989002081	-0.3335439683	-1.407559267	-0.2235101758	-0.07794943799	-1.026837791	-1.550503066	2.189875914	1.44572822	-1.297576738	-0.2977078763	0.7046719874	-0.0608720973	1.027015008	-0.3968210915	0.6245595984	1.736370231	-1.272925577	1.230156824	0.708983446	-1.144527381	-0.2940459318	0.4377125033	0.5621767942	-0.402317952	-0.3863515997	-0.1445595629	-0.8971912868	0.1783634768	0.4969452196	-0.6696912608	0.07629155037	-0.7234358265	-0.008024561114	0.8307568376	0.3483628443	-0.2310111251	0.1597583543	-1.214026019	0.2301700848	1.029990796	0.7124005216	0.4792444108	-1.556872246	1.366626164	0.5847652565	0.1147482083	0.220604184	1.45777786	0.007496057993	-0.1009151149	0.05968035291	-1.468495691	-1.350892417	1.201960043	1.302577212	1.433386557	0.3244697222	0.9959900046
-0.9818953054	-0.7187369118	-0.9477837184	-0.3025622851	-0.3289507242	1.291411767	-0.1750569586	1.677228247	-0.5239212905	0.5582798991	0.6708963958	1.785402357	-1.311762064	0.6121508884	0.350332061	-0.03538055451	1.621181453	0.03093618953	0.3799104698	-0.5529680315	0.3210022839	-0.9604230026	1.695877934	-0.1756836736	-0.4868459385	-1.785958512	1.921242614	-0.6178841211	-0.2572116348	1.088591635	0.3652621028	0.02934394394	1.036793495	-0.09970699691	1.606453518	1.574784632	0.7374427426	0.252955424	0.8136254778	-1.805896702	0.2044941545	1.211823499	0.7562215254	1.830558697	-0.2812057604	-0.6575920505	-0.6991823823	0.0934140655	0.11776335	-2.625510616	0.4682635684	0.02269159631	-0.1881087462	-0.3760032029	0.3626887108	-0.08535637253	-0.2086180093	0.09386047538	-0.9649640867	0.8186736256	-0.09710300292	0.8874333433	-0.9372089632	1.191250875	-1.521202704	-0.3210204051	-0.1940828662	0.5057291194	-0.9314606147	-0.4929886905	0.2546484316	-0.7202841008	-0.5214874954	1.15590686	-0.05042538709	0.3086027381	-0.8653949617	0.8984730948
