melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132
0.5148019442	-0.9799007329	-0.4137805631	-0.6576136308	-0.3700477368	-1.601199818	0.380762704	-0.8453946874	0.6166850454	0.5421486454	1.53945453	1.466745183	-0.025710553	0.1847373556	0.5325991243	-0.6970737555	3.010702319	-0.9033865983	0.065927332	1.708323642	-2.164720604	-0.6209901868	-1.531249372	-1.484218031	-0.641472773	-0.6903327094	-1.936385658	-1.260216564	-0.1035714607	-1.123511264	1.32392112	0.9397821057	-0.5949894182	0.4334495687	-2.491922362	0.97418797	0.268564853	0.7007379669	0.5649546104	-1.631191629	-0.6038049003	-0.3941252425	-2.111011987	-1.646614308	-1.366823003	0.006502230249	0.1924984208	2.210825622	-1.082024684	-0.4795341218	-1.323455731	0.8216984797	-0.6351448672	-1.769472108	0.39228267	-0.5384473103	1.86365195	1.264930209	-0.5715205641	-1.559644842	-0.2546646372	-0.3657192136	-0.1073214096	-1.544551065	-0.9013834027	-0.5372947249	0.6615821773	-0.1405220315	1.755152466	-2.448404787	-0.03565192342	-0.7538127642	1.872778072	-1.155640866	-0.4515590239	-0.9197380139	-0.2897925767	-0.27440604	-0.2461119287	0.7037440088	-0.04920618393	-0.9783878094	-0.05638749431	-1.299636423	0.2857658331	0.02391377923	0.3651677161	1.160796412	0.9955944667	-0.5691863644	1.284130748	0.09289962894	-0.8695237242	-1.858130476	-2.556071548	1.176005919	0.1831024108	-2.363326287	1.960426554	-0.6675385968	0.7627582707	1.544853344	-1.012284696	1.304604407	0.5042697458	1.047736755	0.2742235578	-0.8411831278	-0.667428045	-0.03857172619	0.4596876903	0.6275166527	-0.386569886	-1.913099267	-0.5944394191	-0.1342701046	0.5819194838	0.5429143174	0.2504683729	0.4169233536	-1.317926161	2.099357412	-1.796820702	-0.6938101	0.4204140508	-1.836736658	0.117735839	-1.250685875	-0.06527229727	-1.618239207	1.71979742	-0.8083634642	1.040421302
-0.2784479464	-0.8392331325	-0.9904465191	-1.324795552	-0.767475461	-1.565377802	-0.5126315405	0.6617364619	-0.3889780733	1.239191451	-0.168091777	0.8461167776	-0.2506509964	0.6165554251	0.6384183159	0.03491545272	1.840671088	0.7709716478	-0.8312909663	2.496898929	-1.795753211	-0.2187162672	-1.603799849	-0.5644327518	-1.677149018	-0.6949513742	-2.310670373	-1.693392992	-1.823745813	-1.6367388	1.769224426	-0.5275091077	-0.7264705739	0.852471909	-1.401448929	0.1055481438	1.26868732	0.1677232044	0.740006213	0.6566814173	0.3721816856	-0.4381157897	-0.75127881	-1.791281488	-1.0873996	0.4300981414	1.024496428	0.6085313389	0.0764722377	-0.7684315868	-1.855122732	0.5011029646	-1.35322918	-0.3712855663	0.2024585578	-0.5168382716	1.954731398	-0.820995376	-0.4263349324	-0.3478561585	-0.02645227213	0.3393703893	-0.1946922377	-0.8305724779	0.3716060376	-1.491126135	-1.565011754	-1.158374296	0.7140658083	-2.095810703	0.9586690324	0.254568567	1.199368599	-1.28012609	-2.241390419	-0.4490406129	0.06932401897	-0.4796709869	-1.198783169	-0.2641816625	-0.6315044949	-0.378882504	-1.757911251	-1.294658751	2.185903706	1.179459626	1.02404718	2.631843506	-2.238426213	0.2226881001	1.113066894	0.735316165	-0.1156818583	-1.380789266	0.5626548438	1.721110196	-0.6127574167	-2.099075096	1.754280581	-0.5040708325	-0.1116212456	-0.5521205769	-1.224330729	-0.3288523929	0.02948795775	1.193766458	0.3638860336	0.09872229316	-1.636008698	2.411805916	-0.4814889488	-1.249518922	-0.6107132343	-2.498404853	-1.067370013	-0.5160444816	0.5232696189	0.6063765992	-1.379113951	0.2454513882	0.2200497861	1.043248342	-1.547318863	-0.4970561447	0.2266961321	-2.38668263	1.257946442	-0.7388003868	-2.326871472	-0.9252613182	0.5440933762	-1.636135317	1.402730294
-0.8166491491	-1.247454669	-0.9190630401	-1.2793393	-1.115628024	-1.932617896	-1.112478704	1.151730138	-0.7558505686	1.047119871	-0.4443008657	-0.09634074195	-0.04075602759	0.006672561892	-0.599088359	-0.31316164	0.05376047997	0.4146237308	-0.9580966524	0.6423359496	-1.71116228	-0.1895947483	-1.165339899	1.78370554	1.769678028	0.4435422259	-2.632907185	-0.1739455927	0.6574630563	0.5558344487	0.1805232564	-1.047548171	-1.030843929	-1.2033137	-0.9621418531	-0.1216891224	0.508975834	-0.2917802612	0.2921341319	0.7114011845	0.7891356516	-1.140460001	0.02709364917	-1.074464186	-0.6488348462	-0.6853796914	-0.02405637845	0.362545148	-0.2976360081	-0.4390178603	0.3582397388	-0.9058946795	-0.9923698043	2.600548882	-1.0204315	-1.667276524	0.8135901018	-0.3193787832	-1.217415679	0.4270491012	-0.05842624219	0.2489690394	-0.3065151127	-1.944723902	-0.2894270431	-1.414771242	0.14514059	-0.8540570015	-1.262363244	-1.613927227	0.01018167434	-0.6055910714	1.070157803	-1.621671374	0.3979647765	-1.672645363	-1.277465966	0.3062436218	-0.1773036886	0.3239400316	0.3110788343	-0.5281993287	-0.7041233385	-1.321363014	1.244854731	0.6839992173	0.52756484	0.9789271139	0.5294484685	-1.368883075	0.2319261616	0.650141068	-1.170035401	-0.1575198105	-0.009542265155	1.097960472	0.9222207685	-0.3896898554	1.078210955	-0.9294792272	-0.1433786916	-0.02029374546	-1.112505406	-0.5255248377	-0.8515897244	-0.8634294202	0.4079690244	0.03545822732	-2.204143692	1.44980096	-0.435640488	1.016545622	-1.408113782	-1.593190148	-0.7304932004	0.6223802331	0.5341469956	1.111627993	-1.20077766	0.2462569255	0.2917495674	0.1325981079	-1.265123476	-0.02212957706	-0.6170588659	-1.443637893	0.8093708479	0.7209537262	-1.362713603	-0.2071569902	0.4489747911	0.5248956314	0.448876735
-0.3927076831	-1.173351738	1.834241231	-0.4202488615	-0.6485359905	-1.67162885	0.25117059	-0.4966438398	0.4369483384	0.581953907	-0.7305914552	-1.092312966	0.6330768505	0.3452084267	-1.650807194	-0.7400276298	-0.1657149206	0.2969772482	-0.1010103015	-0.466756411	-3.095615379	-0.08399430294	0.5160943991	-0.5253469884	0.1002887886	0.6975900467	-1.471493893	0.662549776	0.9234017814	0.4192992539	-0.2475536698	-0.5429977193	-0.1663459525	-2.449496813	-0.4615536995	0.8712731079	-0.1840642793	0.528867087	0.1489976675	-1.114414834	-0.983569843	-0.1414333384	0.2120210715	0.4110336646	-0.2669660151	0.1783450528	-0.6903801897	2.384214584	-1.06922556	-1.123826806	0.7649631852	-1.275755015	-0.2510703805	-0.1137182514	-0.3472702582	-0.176346808	0.5478634843	0.117409363	-1.126579	-0.5564735768	-0.3582925173	-0.3377129401	0.9174401455	-1.893895757	-0.607140153	0.6915098515	-1.123958718	-1.222046014	-0.237815694	-0.6787916782	-1.033595639	-0.02256598193	0.785525522	-0.7478868393	1.26959589	-1.517559646	-1.523261974	-1.204011007	0.4859886222	-0.4610273853	1.452423386	-1.057088823	1.089367255	-0.5365875573	0.4294769367	-0.1763146972	0.1468482122	-0.6098217263	2.174324825	0.6268081026	-1.349412331	0.0595681068	-1.117050987	1.088504294	-1.390338871	-0.248649238	0.7934778512	0.2587137921	1.296316977	0.3127538328	-0.04241132031	2.855544963	0.5207155746	0.3020424708	-0.0773161341	-0.3806988614	0.7972620515	-0.7187743042	-1.348243716	1.860737212	-0.1294528595	2.419958194	-1.38078607	0.5263075743	0.1175615151	2.578175367	-0.5399050284	-0.2750799241	0.9735595754	0.7340159281	0.07996741834	0.6420233792	-1.190391384	-0.6439775515	-1.03506673	-0.3179651358	-0.2352386258	0.9972746533	1.238866212	-0.199307288	-0.5139194609	-0.4993848002	0.578545463
0.8253406915	-1.135535378	0.9262874076	-1.344631762	-0.6246795181	-1.379281874	-0.349909859	1.335162871	-0.4326330627	2.0566688	-0.9580758079	-1.102756788	0.1466480291	0.8155060398	-0.5751548746	0.3482405369	1.008413394	0.3262072229	-0.8224718748	0.7022062742	-1.877095707	0.6394987292	0.5265700438	-0.5995300346	-0.6519689838	-1.247985499	-0.6432110046	0.07120175354	-1.141361741	-1.224142186	1.111927467	-0.9113109423	0.08469711942	-0.07640741048	0.2301054813	1.21972127	0.5934129509	-1.359552604	0.4665928248	-0.4219800122	-0.8255230877	0.2759909592	0.4980531505	0.488188678	0.01365082335	-0.3208348671	-0.8433679896	1.941154424	-2.316104508	-0.03290598656	0.1338664615	0.1596392724	-0.1347632689	-1.473365844	-0.6311705715	0.9429685854	0.8726043478	-0.6796455739	1.917080532	0.3956929486	-0.5657239297	-0.6534973707	1.152776429	-0.3117150596	0.07576595516	0.1198164317	-0.5661653464	-1.485960115	-0.4476121072	-1.062764129	-0.05302905626	0.7965359699	0.007316758091	-0.786283122	-1.832403847	-1.243068635	-1.045692886	-0.4364957796	-2.121379002	-0.8422120011	0.7055866237	-1.042030826	0.4807553919	0.2740756253	1.363293235	-1.401966343	-0.8337116017	-0.2725031019	-0.3339740767	-0.1796466835	-1.338108688	0.2135107769	-0.26175883	0.7367369704	-0.1596926246	-0.710837969	-1.111823457	0.1838865071	0.0400180748	1.30174671	1.420383128	1.394604916	-0.7825145919	0.4184499887	0.6172838584	1.258211323	2.517606516	0.2740379148	-1.730541617	-1.244859091	-1.412867022	0.7481562675	-2.389095509	-0.1497785902	0.8348558502	1.83465491	-0.7191725084	0.8240373672	0.3406788852	2.325394247	-0.261560046	0.6113077532	-1.112295467	-0.4700925942	0.1249934644	-0.9294394327	-0.4853733151	0.3366678449	0.3340511964	0.6753108908	0.4446988608	0.0003933433976	0.5109960127
0.1586626857	-1.566861092	-0.5164877582	-1.536259392	-0.8194084164	-1.422567235	-0.4119372873	1.282282828	-0.5699631978	1.407314082	0.9107704192	1.765226157	0.2900803571	0.6958297555	1.372847543	-0.5467655633	0.5839051955	-1.589664663	-0.5361720975	0.1925411983	-1.86011103	0.4372846903	-0.1751527685	-0.6829113915	0.2439046166	-0.5790623606	-0.4828205239	-1.196919091	-0.2952738884	-0.61910459	0.6323533894	-0.7448211273	-0.1868394342	-0.1910551146	0.5301560187	1.065623794	1.240842944	0.0890536078	0.6028011616	1.347119362	0.4897593328	0.04270718546	-0.1343112002	0.6501950934	-0.7485105772	-0.2106133006	-0.8234625793	1.29678796	-1.592426863	0.6608607844	-0.7820524702	-0.2774011222	-0.8564604953	-0.4490166423	0.03435623264	-0.3316932318	1.12893435	0.6836438732	0.6290296583	-0.1529317547	0.04132473077	-0.2171430948	0.6614727749	-0.07665014794	-0.1066192756	1.060098952	0.2781484799	-0.7136489619	0.4404275814	-1.499383087	0.6919011959	1.502752465	0.2775116011	-0.8384338536	-1.65564887	-1.124750236	-0.3535566586	-0.92961271	-1.528031898	0.300733249	0.817430197	-1.543608202	-1.655905208	1.132063795	1.210913864	-0.8973545435	-0.4981983458	1.101989689	0.1768096535	-0.6474092718	-0.7993199503	0.5810162291	1.119649699	-0.6003737256	0.6360475222	1.13988881	0.03779652282	-0.7277114067	-0.3814238697	-0.0142046143	0.4267099754	-0.158916889	0.07494264553	-0.1084000728	-0.3185734683	0.8524525812	1.676663556	0.1400932637	-1.989018051	-0.1462618151	1.101864403	-1.673857146	-2.638931596	-0.8522067099	-0.2393747497	0.6256525135	0.572398446	-0.0816912544	-1.814531653	0.2592636252	-1.571725731	0.1113494224	-0.8903506162	-0.6387066227	0.1860768716	-0.1398443981	-0.1373381214	-0.4955775544	-0.3919695838	0.2216265289	0.4431947303	-0.4712635539	0.8786352797
-0.8828405633	-1.367060267	-1.166344539	-0.8843381491	-0.628601972	-1.288493507	-0.794529338	0.878756531	-0.5506060392	0.8858976751	-0.4937456795	-0.6686290095	0.9554006447	0.7201863288	-0.5156085773	-0.1748713734	0.9013111887	0.7766534039	-0.2526727751	0.3846766315	-1.923729979	0.1381485855	0.7849935724	1.292651662	0.7635452057	-0.5426820013	-0.1515065905	0.05251430549	0.1418351128	0.9233514492	0.5050620812	-0.5942813735	-0.3051749531	-0.7638871275	0.7549592815	-1.134100525	0.6583017725	0.06255359749	0.926951038	0.1762422475	1.76877276	0.6444044885	-0.2503011145	1.243652052	-1.173255695	-1.639987897	-0.03138659503	1.749879781	0.9846905794	0.4552852749	-0.9253835239	-0.6768948713	-0.5640930825	1.35929201	-0.192365635	0.1912933944	1.335820791	0.5883668556	-1.624978524	-0.257950241	-0.1789698333	0.1115980657	-0.2027852978	-0.6082657326	0.8334602011	1.233605051	0.6694124926	0.1455095794	-1.48181988	-0.8577360205	0.7557930262	1.899195444	0.406697625	-0.7428568272	-1.38566807	-0.7549805304	-1.241028868	-0.3031089469	-0.7310406176	-0.4618520944	0.3045227507	-0.5467151552	-0.8612122658	1.349381818	0.2857929983	0.1064496493	0.03727459639	0.02662440045	-0.4011736498	-1.496499611	0.007429642812	0.551659015	1.675756225	-0.3701829376	0.2646949303	-0.8396548039	1.972502424	0.07870991207	0.0695606279	-0.7942320126	1.008026812	-1.005180673	0.1354438083	0.6613005908	0.3815708641	-0.3066073998	0.5364164253	0.245748662	-1.505653039	0.5079224785	1.462579315	-1.126876558	-1.986372776	-1.086114045	-0.9990487815	1.703636266	0.2842171574	-0.3169041911	-2.412853477	0.2837016079	-1.05265775	-1.005323042	-0.8509139643	0.1920545238	0.3569008379	0.1888361161	-0.1828380461	0.9711074475	-1.161181361	-0.5414310814	0.6396992708	0.6323135339	0.1025242126
0.9370896849	-1.212371839	1.95361128	-1.399713595	-0.7992974482	-1.583484134	-1.43260864	1.479458141	-0.9226933487	1.412199862	-0.4556076379	-0.6768860461	0.8335721825	0.4567324361	-0.3174599798	0.5927427864	1.182650915	0.1377877423	-0.8957554369	0.8086473113	-0.9704727525	-0.2880699398	1.15402196	-0.1711940024	0.2901171535	-0.5840516199	0.09623987453	0.8298495681	0.5924029209	1.581387303	-0.1124890282	-0.931900116	-0.9471124226	-1.750397333	0.4378274137	-0.9100494607	0.8814922605	-2.289534656	1.159364992	-0.7985173279	1.987660557	0.4329905996	0.2432274489	0.9725278114	-1.459744189	1.18236918	1.004998521	0.3664823239	-0.4556435653	0.207018613	0.9891352655	-0.003352402046	-0.9206414819	-1.249621261	-1.78196946	0.8463606109	0.06231420563	0.1960164973	0.6583573099	0.5683363824	-1.321838414	-0.4193103269	-1.053128959	-0.0338540777	1.080193408	-0.6316388923	-0.6050726877	-0.1166247129	-0.9508673939	-1.274248891	-0.4454152894	0.8945259472	0.5071267324	-1.484207838	0.6627075518	-0.3280825489	-1.426731809	0.9336570241	0.1206971446	0.1112933298	0.8054103975	-1.025146606	0.9533166483	0.4601939222	0.3450164263	0.2841611693	-0.4830557037	-0.2119301215	-0.3357383719	0.294290362	1.074973535	0.4698382802	1.111498817	0.3481638774	-0.3315518405	-1.341135561	1.855195764	0.08147675388	-0.06726937158	-1.101032546	1.551225662	0.1133342609	-0.1070881984	0.8733952889	-0.8406152624	-1.596758105	0.719534147	1.669100945	-0.9208525339	-0.04737769446	2.93781615	0.1586954787	-1.243675716	-0.8471032495	-0.4700652811	0.5531801478	0.1142032131	2.040808432	-1.221143886	1.134343849	0.1056559502	-1.139762839	-0.3479586323	1.346850743	-0.04865871502	0.03466981945	-0.292548167	0.731253124	-1.964026758	0.6631890718	0.6353090405	-0.0005277564595	0.687210697
0.1743672608	-0.8414188777	-0.2245023715	-0.6892817078	-0.2878812324	-1.421014051	-0.8533656523	0.7129973876	-0.3347626431	0.8383966111	1.329277503	1.784831793	1.695818719	0.7932186367	1.815661091	0.07441196386	-0.1916408098	-1.691087096	0.05653692872	-0.2761591397	-1.402631186	-1.840329119	1.564623596	-0.6742660135	0.4147842825	-0.1006713997	0.4209868711	-0.8561788932	-0.06365716725	0.0006575915455	-0.08990101967	-0.9333926266	-0.9065885879	0.6252853604	-0.3546999818	-0.5275941877	1.82379414	-0.101719581	1.126794589	0.2666072601	0.4370165054	1.002983587	1.255416482	0.5131328629	-1.515077832	-0.03361188352	1.540222716	-0.2087796024	-2.039184517	0.02423266658	-0.1644092209	-0.7997630903	-1.599463482	-0.2379855314	-1.084898036	0.7740144502	-0.7464024723	0.3981704838	0.153387593	-1.141466912	-0.4451546599	-0.203302462	-1.385746765	0.5359243745	-0.6837000099	0.7619689457	-0.4190745128	-0.3687094114	0.6631409696	-1.062120702	0.6416634321	1.279391269	0.1604106022	-0.3564822245	-0.3596143147	-0.04819092293	-0.5766670258	-0.2450409007	-0.4745921542	0.2188363679	1.083139722	-0.062557002	-0.2553001335	0.255424045	0.706635044	-0.2673155889	-0.2895906158	1.420466781	-0.0004288060595	-0.1252337771	0.3777826565	0.3431360932	1.525666732	0.3492206119	0.9847371945	0.1139245924	-0.5536905883	-0.1593158355	0.06884109325	-1.669974901	1.265432799	0.2553465064	1.334209674	1.259889432	-1.638628325	-0.616263898	0.3680327302	-0.1355290267	-0.5303825327	-0.2974939793	0.6788614966	-1.367007536	-0.8081511553	0.6053745268	-1.145972001	0.552835672	0.9772228696	1.389164047	-1.168503628	0.3903500208	-0.6566931948	-0.6627776972	-0.3025184251	0.108865755	-0.8798894688	-0.03474659548	0.3710741618	-0.1430363732	-0.5030318931	0.7693691176	-0.1438071426	-1.075257411	2.253655287
-1.154109123	-0.1646258025	-0.7377346858	-0.5144662437	-0.07706367265	-1.935047855	-1.348077354	0.5758580315	-0.7619111719	1.174678055	-0.9096721789	-0.887869853	1.129767333	0.6686213728	-0.6260832578	0.602218017	0.0829035667	0.3419072827	-0.3131918187	0.002872484236	-0.1353295962	-1.028900346	1.562714569	1.277885597	0.5613512059	0.6840962556	-0.06323123635	0.2063797943	2.479822962	0.8158690157	0.8883257714	-1.293133396	-0.8201368238	-0.4389537485	0.317350274	-0.1602604436	1.427799839	-1.730897063	1.505149352	-0.1959054096	-0.9144632388	0.2187955398	1.832820279	0.1954373885	-0.007681705572	-2.001424049	1.998908637	-0.538082151	1.243558912	0.004360585359	1.659247539	-1.490959543	0.1546744214	0.9439272517	-1.142174736	0.8732422651	-1.452289295	-0.3962937065	-1.116468429	1.133438286	0.2567024293	0.628634129	0.58960936	1.155750126	-0.1274993516	0.2974605271	0.9568124892	-0.8598112127	0.4172573299	-0.8167563565	0.5695695185	1.066208224	0.04983826732	0.8031902646	0.8209219573	-0.4551660453	-0.7831965986	0.8813171871	0.3392583476	0.7011632882	0.03991934224	0.4928016866	-0.6219446807	0.4307590945	0.2304874756	-0.3548845372	-0.4390551631	1.562954455	-1.086994451	-1.114456532	0.3619531684	0.4478994043	1.025717404	0.7176016015	1.372873633	0.2838889306	0.5291165244	0.4736560228	0.9447860488	-0.8745242232	1.72328383	0.4393735557	0.7677967956	0.2904278601	-1.468201896	-1.168431752	0.3488445065	0.6505737825	-0.5458101513	0.9891790092	-0.1304220564	0.05712762033	-0.3610121092	0.2360672818	0.5586956359	-0.3933899384	-0.04561965122	1.064203357	-1.341473692	-0.2372579746	-0.2325436252	-1.508835241	-0.327399787	0.1539278465	-1.436732787	-1.052511106	0.575734869	1.106214469	-1.06270764	1.190008747	0.6332913949	-0.4048309045	-0.4857967261
