melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115
-0.5212419549	0.4376404161	-1.231149407	-0.3146842281	-1.155863411	-0.9208224609	-0.7903147702	-0.178611785	-0.3926080739	-1.192891942	0.1144069878	2.101149368	-1.120435421	-2.204334539	-0.002272875212	-1.526587018	0.7955967379	-1.857112414	-0.04048882305	-0.2939695355	-0.7725011059	-1.909237673	-0.5225861579	2.069152855	-0.3381427001	1.163777636	-1.481978604	-1.145621486	1.101055163	0.5292492907	0.8313766626	-0.574541319	-2.538495616	2.189358393	-0.4687259338	0.6731018254	-1.033401774	-1.317832361	1.712984464	0.7725266149	1.538695746	-2.075846911	-2.181251776	-0.8131067317	-0.1623386266	-1.844785886	-0.1445922838	-1.688839086	-0.4174448319	0.8018669756	-1.632315825	-0.551342858	0.8857786118	0.9448675437	-0.2956496098	0.6171969797	-0.006788086339	0.4128319639	-0.946723516	-0.0134918579	2.31830693	0.4644346876	-0.1947777705	1.358827685	-2.476347327	-0.07668058051	2.500594166	-0.5305994188	0.7330995157	-2.292972059	0.006382597391	1.131802841	-1.144615646	0.8988051473	0.4526953006	0.1878362888	-0.6264668723	-2.172397974	-0.9337165537	2.283608653	-0.01901016435	0.1816175856	1.948949473	0.6789440278	1.186818995	-2.289037379	-0.3617699144	-1.76072107	-0.2749757845	-2.201353967	-0.819838577	-4.099260106	0.9345687969	1.256206087	-0.3250139275	0.04939440665	0.6001621627	0.4566706767	0.6256584971	-0.6250021811	1.957248253	-1.291244349	-1.140744175	-0.1212696001	0.326550445	-1.273686635	-0.402604668	0.2522458277	-0.3276535667	-1.662779672	0.7968046258	0.5438646092	-3.056046658	-2.157887485	0.6944971188	0.2057370333
1.445670318	-0.513071526	1.437174057	0.7734100279	0.08428104965	0.4289163523	-0.7485516568	-0.4259494962	-0.5584904234	-1.220798349	-1.241182328	2.618329041	-0.1829969344	-1.072300045	0.005045019777	-1.552144201	1.577100796	-0.873803095	1.098027843	-1.415351975	0.1326817261	-0.8929148425	-0.06739672571	1.586576795	1.048107055	-0.4922682019	-0.9540651535	-1.932320821	-0.8512832766	3.120106464	1.222649668	0.6154359981	-0.846111833	1.148814925	0.1542909162	0.2839042192	0.9296031934	-2.277212182	-0.8347895574	1.182963203	-1.33425591	0.4364795616	-1.946792521	0.7089486488	0.6700923881	-0.3146667442	-0.2584348675	-0.8468063012	0.4532319536	0.1143037247	-0.7324375719	-0.02870790698	0.8449943221	1.885221707	-1.21751677	0.6657017406	0.8232512632	-0.5108346867	-0.3002039822	1.200271502	0.8238335098	0.7209602084	1.761303192	0.54058347	-1.097499904	-1.053754835	0.2262691737	-0.7468065006	0.5674499111	-1.642662836	0.8711894886	0.02911589405	0.3722549658	1.592981417	0.1536416644	0.7649608572	0.3806935481	-0.4307661167	-0.6394580061	1.743952523	-0.3641137885	1.810165277	2.259658596	-0.2641366683	0.4660201978	-1.323453194	0.7657053827	-0.348714072	0.1209399636	-0.4434973275	-0.5756508097	0.5414512737	0.6066906531	-0.135449388	0.2636405287	-0.3847034013	1.780514135	-0.6517712476	-0.6977277508	0.2297956718	1.296610824	1.166510537	-1.093717897	-0.4032536038	0.4285244183	-1.545530129	0.606634862	0.331582312	0.5560952579	-2.051149339	1.927071771	1.033758499	-0.8953736991	-0.928580882	1.384585006	-0.5983796601
-0.03370855448	1.062833451	-0.3757641748	-0.9154082415	1.044457818	-2.047376859	-0.9726757706	-0.4294071006	1.104112508	-1.800023061	-0.7747075853	1.414946784	0.3680871321	-1.073511077	-1.122384588	-1.780995505	0.5328671895	0.2841894853	1.333733767	-0.6858997022	1.70111026	-0.9751575857	0.7087983296	-0.6599856547	1.138881494	-1.581801842	0.05599451358	1.365934943	-0.3255511203	1.928819418	0.556077844	0.6737355103	0.7411435954	-1.227471057	1.73832949	-1.338428919	-0.6692722235	-1.656923534	-1.320366758	1.471991433	0.3019223865	2.025143433	1.421631644	-0.4689510874	0.839535769	0.2024878486	-0.17991185	-0.07791912261	1.05312453	1.246772799	0.7112498255	1.401105328	-0.08520058709	2.109326417	-1.122449894	0.03427637253	-0.6330306664	-0.4096956915	-0.5068088187	0.7766574179	0.1253111969	0.1825987083	0.6361338344	-0.9523003224	0.2813190122	0.582714232	0.5510221297	-0.994306867	0.2292964032	-2.435895858	-0.4029878604	-0.2971922324	-0.4166643034	-0.04036049644	0.7574261039	0.1328627112	0.1650690512	0.6394016388	0.6733409614	2.467344565	-1.934273918	1.410943935	1.882280057	-0.7282344062	-0.4079691028	0.03167468146	-0.03723237501	0.06085773072	-0.5270015087	-0.001805382007	-0.8749898995	0.9576788981	-0.6633452197	-0.4528213755	1.588711232	-0.2056041421	0.04596124038	-0.2040846188	-0.7619082106	-1.366095284	0.6614243614	0.005241225919	-0.3446643769	-0.1386187488	0.07379953857	0.7656178522	-0.4549248553	0.8426206639	0.6939182248	0.2470473385	0.9959909232	-0.4615700694	1.539138432	0.9635912953	1.959548168	-0.8778048948
-1.143405904	-0.7270456532	-0.8856564694	-0.4694934604	1.833059292	1.263507297	0.8729313723	0.9907751208	1.075398514	-1.806713243	-0.4584497478	0.09016070822	0.8921716924	-1.058637632	-1.570857546	-1.317757777	0.07372986522	0.5980298365	1.119610269	-0.3583327255	1.076429881	1.893610185	0.390411297	-2.126524653	1.018338989	-0.06774973687	-0.0511252475	0.7667834843	-1.159968336	1.741812687	-1.166277093	-0.03426951264	0.8094668364	-1.912935579	0.6724373268	-1.84165839	0.9506382759	0.193018208	-0.2660014222	1.723379379	-1.378109776	2.843570609	-0.2019415417	-0.1924710457	0.2806645861	0.3093499505	-0.2643114606	0.4759849174	-0.140342075	-0.4976946787	1.375003179	0.6544175466	-0.1503545732	0.6166112759	0.8648322804	-1.042780061	0.2283952496	-0.959058049	-0.4536021882	0.2145865933	0.6205573937	2.543155141	-1.583962861	-2.277907897	1.041315275	-1.50354636	-0.759915352	2.169093296	0.09022038839	-1.658108898	-0.7916011236	-0.733531066	0.8834020567	0.3705550353	0.4681629011	0.2345164202	1.179403677	-0.01578773634	0.1361455246	0.501717899	1.009052615	-0.7166226509	1.713031209	0.4732800576	-0.5176348032	0.6623745038	-1.71288927	0.437594109	0.7922363443	-1.392976392	-0.0692569655	0.9926914194	-0.1190870201	-1.16340223	-0.4809378437	-0.8693471133	-0.6147782515	-1.453005372	0.73975884	1.571696004	-1.671185201	-1.109353377	-0.9002520985	0.8037362329	-0.7890605174	0.3042956337	-0.2204402185	-1.731571114	-1.702409048	1.44012132	1.432637809	-1.280352603	0.9593214107	0.08845648198	1.126891533	-2.384941495
2.025859639	1.196636186	0.5552754734	-0.3353712913	2.185631364	0.679324881	0.8447046427	0.05904070446	-1.366190286	-1.383095543	-1.106994022	-0.6924483751	0.246439552	-1.825221835	-1.712622344	-0.1758161166	0.195804382	-0.7994667147	-0.1237905534	-1.920875497	-0.3862509207	0.015389245	1.943957191	-1.496004558	0.8139314598	-0.4342119886	-0.8637381311	-0.2597971154	-0.535868381	0.535696008	-1.789458812	-0.3701557984	-0.01968046427	-1.746995253	-0.2553930255	-1.785663702	-0.09589839622	0.9754488764	-0.1627391289	-0.0430999778	-1.674072079	1.463306589	-1.268356884	0.8169275372	0.01530707854	-0.3065477113	-0.351670525	0.6306444751	-1.459126286	-0.5392396789	1.044762833	-1.032471418	0.1032974994	-1.61132588	2.949830979	0.235476573	-0.5204585401	-0.4888624675	0.3889811304	-1.053406749	0.1878963386	-0.1454371576	-1.121340972	0.2395367078	1.467558981	0.567093556	0.5497853047	3.123048905	-0.8864855094	-1.333121072	1.344318448	0.257193962	2.446468721	-0.6643991469	-0.5477081082	-0.01741776848	1.049854685	0.1210479048	0.7855445946	3.546600461	1.061323636	-1.218483721	-0.07862579295	0.0184620543	-1.436773121	1.263023275	-0.9176358965	0.353822271	1.149759461	-0.2283560449	-1.956853387	1.994066572	-0.7243463777	-0.6816322137	0.7441107048	0.1112994172	-2.087774676	-0.5247155526	0.2637495487	-1.61404217	-1.828320524	-0.3223060197	0.4862558067	1.575914437	1.411357825	1.374069727	1.671365887	-1.529056791	-0.200614634	0.713435458	0.6005409228	-0.6078323691	0.2019431254	0.3899650723	1.26090219	-1.624881578
-0.9457959671	-0.9206159094	-1.264843958	0.4474286063	2.032528088	0.5241287861	0.7978300104	-0.838673453	-1.63050298	-0.6706453879	0.1225565336	0.2409512245	0.563466613	-1.949268912	-1.102667117	-1.268652312	0.09389932102	-0.3224716159	-0.9077230708	-0.4709631307	-0.7182446433	-0.2620006931	0.6029571941	0.02395856248	1.306898839	-0.456610274	-1.642118194	0.2771319824	0.6415924261	1.169683448	-0.3432533261	0.7583820818	-0.01530766193	-0.3659674852	0.7993506097	-0.9220969514	1.274447015	0.9283411955	0.1990625309	0.6520055968	-0.5931417537	0.2481744455	0.4694714747	-0.6639643769	-0.3735910213	0.05684424723	1.005049539	1.213222555	-0.4585997983	-0.1104400193	0.6307606469	-2.19989738	-0.3123152766	-0.3930714306	1.390264698	-0.1879883156	-0.05199979397	-0.7716148861	-1.117063966	-0.8976661025	-0.8125451491	0.7062975161	-0.2387784084	-1.574080453	1.926435387	1.488358	0.8792261818	1.408558655	-0.7719874471	-0.9684986148	-0.0324639369	1.726426818	1.118927135	0.1376197692	-1.474811921	0.7815586001	1.683642154	-0.07681989728	2.327809158	4.411927849	0.398524819	0.7699124456	-1.371211611	0.06583863823	-0.1484054821	2.278926831	1.238996002	-0.4140124787	1.176200298	0.4759368816	-0.9743728283	0.9161023388	0.8123936702	-0.3779988402	-0.5256683768	1.818827028	-0.1162638009	-0.438960445	-0.1820207155	1.331147705	-1.206078983	-0.9560102293	-0.4435074107	-0.200325973	1.271337781	0.8572146181	0.6585673629	-0.571299398	0.5642599158	1.051153993	-0.370629603	-0.08787808374	-0.3215762545	2.176640202	-0.07014629786	0.7932574922
-0.04682916205	-0.6016687336	2.079629755	0.7958755322	2.090145403	1.164774863	0.47588266	0.07461088071	-0.8636791346	-1.089658898	-0.06348110767	0.2797837942	-0.1201338298	-1.158603978	-1.55352889	-0.7259492651	-0.4384359048	0.1505580253	-0.23166636	-0.410314395	0.3638684206	1.010580486	-0.01188164466	-1.01673377	1.368775954	-0.1694631806	-1.05672063	-1.09767888	-0.7047558867	0.3470760884	-1.07635855	1.05562283	1.656218671	-1.231533462	1.358523526	-1.758771613	-1.087422988	1.058387661	0.8051887036	0.563149337	-1.841039499	0.1855468409	-0.6296542692	-0.07681515526	-0.3148631801	0.7734111909	0.7835401886	1.415177474	0.9267875189	0.2665460731	0.683700359	-1.380612672	0.5241328267	-0.5839637713	-0.2158540761	0.9776995035	-0.7175944173	0.1820072301	1.298072497	0.7897180871	0.3011572869	0.2531271043	0.0589095775	-0.3711713131	1.199915382	-0.3903013644	-0.8366937827	1.338519656	0.4090971874	-2.016042776	-2.207807182	0.5975613529	1.555667586	1.212460911	-1.040476266	0.9077824087	-0.04455279182	-0.3692035617	2.164365614	4.305072939	-0.09519054073	-1.110698203	-1.460587273	2.265025586	0.1361286517	2.464861957	1.586590231	-0.03004036398	0.6275226583	0.07774647737	-0.3957503614	-0.8685324941	0.8678670988	0.5292804717	-0.8889394952	1.60205766	-0.1419734247	0.2837141061	-1.854984701	-0.3012275264	-0.2653951848	-0.2872397976	-0.2822447714	-1.307040253	-1.178337375	0.6660554885	-0.6937992477	-1.358722821	-0.7470594451	0.7079893638	-0.267178619	1.647007132	-0.5390701987	-0.4452026899	-1.150766571	-0.1524318639
0.9347936731	1.912836337	0.3648382312	0.1791110029	1.145278832	-0.1762942977	-0.8513503649	0.1186343176	-0.5221035265	-1.507786412	-0.777595771	-0.1003047322	-0.1874693775	-0.8640105899	-2.236194254	-0.343223162	-1.091711557	0.4366992036	-0.9300874736	-1.031797644	0.4310893516	-1.822019462	0.2750545834	-1.800345224	0.3389705917	0.496638033	-0.6032980333	0.4289596562	-0.2698777269	-0.6834485239	-1.392195524	0.4625114639	0.3637650741	-1.658492536	0.9540192366	-1.548187981	-0.6463520921	1.735103289	-0.4825910264	-0.3875371659	-0.5887573983	0.4273598795	-0.3326773324	0.1645963981	0.3313576499	1.508607818	-0.8222961828	1.475621705	-0.5785528042	-0.1710517572	0.3822973809	0.9006456589	-0.232251289	-0.0859652367	-1.169343456	-0.08966159161	-1.83644739	0.3255172476	-0.0716030354	0.2828258164	0.7786095378	-0.2527795341	0.03138748974	-0.2284077943	0.7682007969	0.8267773894	-0.3258029435	-0.3422521374	-1.121900666	-1.205490967	-0.1755487884	-0.1906021047	2.538499705	-1.068286143	-0.05471234531	-1.096776181	-0.148623889	-1.0762321	1.45105018	5.693902779	-1.636011596	-1.415573424	-1.009096181	1.144185844	-0.8853859898	2.306676609	2.167261539	0.3996441394	0.5901332095	-1.061305979	-0.05957320759	0.2998554576	0.03372835808	1.412510414	-1.476329448	-0.1435519671	-0.5732045585	0.5401130694	-0.6440350031	-0.1505272645	0.01711787775	0.8389627914	0.3380590083	-0.8110472564	-0.8716725848	0.9626878337	-0.9423367045	-1.600920024	-0.6755686609	1.355584182	0.2816526196	0.4538026328	0.23237149	-1.207820599	-0.7266458121	0.04364436106
-0.8536844021	-0.530932701	-1.102456425	-1.074496383	0.3102265437	-0.9592393128	-0.8734919088	-0.11887733	-0.6574808036	-0.95704758	-0.2858325109	-0.03638656312	0.7409968376	-0.2859395823	-1.698884126	-1.366053037	-1.163300982	1.360678516	-1.02308557	-0.6445598748	0.401244885	-0.1102914832	-0.2839817354	-1.604833821	-0.6866004686	-0.5117208341	-1.051213252	0.2143504697	1.174404784	0.5179300796	-0.1751464593	0.29673857	0.1732599371	-2.32811993	0.1488392085	-1.880613555	0.2187729616	2.527478923	0.6618583701	-0.4716685221	-0.814670482	1.055762494	0.2487917408	0.4492262086	0.9267329999	2.121912854	-0.9166668638	0.8953294783	-1.013887494	-1.858665152	-0.1952557763	1.125107114	-0.5791215833	0.286155194	-1.083445823	-1.193989941	0.03959600764	-0.2087006207	-1.040322807	0.01847152102	-0.2629557886	-0.8624914246	0.2423787037	0.5318138622	1.360022083	1.510558817	-0.8494005121	-0.4665716757	-0.5641468069	-0.3414976065	-0.06048109339	-0.4742224239	3.084650973	-0.07626633539	-0.2769329653	-1.349651447	0.3615624692	0.06182855575	1.261297487	3.83012903	0.285794069	0.2066113207	-1.791076851	0.08772275749	1.013250278	1.349242397	1.629449912	0.4385417022	0.3363641157	1.910921343	1.113206813	-0.1974172757	-0.9983523854	0.05390849188	0.2297769935	-1.673702003	0.8625122421	0.03147845147	-0.8836527861	0.1348734501	1.493066944	-0.90100131	-1.338795041	-0.7644858953	-0.8939106484	0.5191686936	-0.5370655852	-0.8274950367	-0.2220277116	0.7782552007	0.04593341472	-0.4056176711	1.04062631	0.4759787436	-0.9059719334	-1.580839811
0.2010838065	-0.2610179069	0.2315148281	0.5701585597	-0.6713344933	-0.2168345763	-0.2598458614	-1.39148814	0.1026699384	-1.159465183	-1.683975649	-0.3988100954	0.2915761028	0.5148286992	-1.302229478	-2.265238881	-2.815080698	1.390329826	-1.415907537	-2.40635431	1.549827779	-0.26378336	0.2512738045	-2.983593318	-0.4240288349	0.9565360178	-6.260939924	0.4505532536	1.357964725	-0.3641860219	-1.379734544	-1.002689254	1.035955375	-1.725888727	-0.07476793374	-3.530510306	0.3554667243	2.470581899	0.2844547866	-1.357119826	0.4995207403	-0.7369937467	0.6447375039	-0.3544527865	0.173823239	2.048950801	0.05467078343	0.3590162403	0.2329410236	0.04225562414	0.8261021955	0.2021424389	-0.1982096051	-0.5674704465	-0.3563161277	-1.000578993	-0.1230824892	0.9017117839	-1.681948961	-1.18438114	-0.1617351902	0.8372201075	-0.4543067731	0.6296957326	1.175419654	1.044607656	-0.1014629549	-1.198382815	-1.343657159	-1.030457593	0.9063943988	0.5095737859	2.782989315	-0.2731235834	-1.672062317	-2.711418365	2.065325475	1.813285229	1.550030792	-9.431646103	2.201831291	-0.2159964432	0.8615625626	-1.31859219	1.607143107	0.7323678777	-0.2232312971	0.4505623284	-0.6069134782	3.424191717	-1.318858806	-1.821720659	-1.588145945	1.380974118	-1.201722678	-1.92738542	0.3015871896	-0.8554012748	-1.268720091	1.759077508	3.754631155	-0.2912939607	-2.327996527	-1.041790503	-1.704952276	2.424306144	-1.254455176	0.05921089018	-1.083860511	0.1403686318	0.5976132062	0.3508711378	-0.4937632556	0.3234722553	0.4573876698	-3.48180315
