melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101
-0.5187549839	-1.169204044	-0.6535368092	-0.1483325793	1.135689586	1.331972233	0.4571120803	1.63165142	-0.05600277448	0.0844223087	-0.005266682866	2.999579422	-0.7426524442	-0.7191364338	1.188086961	1.381090881	-1.330746306	-1.128005819	-1.385391278	0.5355090635	-0.9213933846	1.515852228	-1.254839466	-1.898110185	1.545971547	-1.269721024	0.2018325093	-2.175919682	0.291465844	-0.2439007785	2.984900179	-1.619223299	0.3866170483	0.8683703641	1.163313355	-0.05930322168	2.031132137	0.2087160694	-0.9821544497	0.5930460507	0.5419067542	0.9979838121	-0.5742906936	-0.5288260676	-0.7678818319	-0.505984148	0.2382192343	1.306739368	-0.836462203	0.6351447534	-0.2137909937	-0.417458536	-1.072578492	1.013673266	-0.8075709104	-0.3355620287	-0.04849397671	0.748602666	-0.1163466984	1.860331885	-0.6720576741	-0.4053005784	0.4706342571	-0.7056483681	1.110575866	0.4720857395	-0.3061651514	-0.9535219449	-0.4032382505	0.7782255671	1.579931385	-0.7103572337	2.400920737	0.3883574433	1.686799114	-0.2756932555	-1.311609248	-0.7014907431	0.911818569	-0.1114757352	-0.6187237007	-0.1776963668	-1.121252408	3.249009597	1.281288635	-0.7659908232	-0.5596245804	-2.707139288	-2.759165467	1.144930908	0.7382094904	-0.03258953963	-0.2276560208	0.9515529334	0.6876423818	0.4686143204	-0.2166588263	-0.2183901068	0.7963798316	-0.684223317	-0.6822036298	-1.849379864
-0.976651686	-0.5216652872	1.281615136	-0.7943769735	-0.8698921165	0.3592116073	2.140003726	-0.7349605987	1.412236973	-0.1772138468	-0.09764917205	1.915941631	0.2276746029	-0.2130557835	1.873423425	1.915738352	-0.8661099716	-0.1851860437	-1.808779243	1.438804822	0.4482256797	1.801418577	-1.325631889	-1.748239466	1.20507286	-1.226932675	1.407976281	-1.728496966	-0.1498555091	0.2600184118	3.195620028	-1.329816516	-0.530856226	1.451661235	0.286596669	2.965757618	2.911509163	-0.324030818	-0.1143602922	1.578424713	1.487467726	1.816610115	-0.6452843359	0.4827829348	0.0735913959	0.05275008923	-0.4069906138	0.2395202541	-0.8333884739	0.5272752007	-0.554632052	0.1767167019	1.931670964	-0.3570396888	-1.621349763	1.197715066	-0.1167075813	-0.09177667927	0.1918418889	0.8037247614	0.2327081946	0.2584900868	-0.2823259247	0.04306875428	1.143004945	0.900340098	-1.051771322	2.443265603	0.7132665165	2.722764439	1.440462101	1.183469834	2.249370849	1.579340535	1.316942814	0.2080199152	0.9103148203	0.01479218255	0.414663923	-1.405310247	0.3836173814	-1.081913626	-1.857550003	2.416248068	-0.1966206194	-0.7407597235	-0.8053688403	0.4794979967	-2.113261104	1.668639795	0.9015825645	-0.09007082317	0.9701072286	1.286535278	-1.348876285	0.9239700581	-0.4042870029	-0.336405609	0.4557348356	-1.767008941	-1.430389895	-0.3987789928
-0.02886204275	1.63588007	1.157096187	-0.6093614047	-0.6766962073	0.1924228126	-0.1899288181	-0.889104072	0.8370777059	-1.433434441	1.540855644	1.66252147	-0.7878463997	0.0462185131	2.221377125	0.9894546108	0.1863307551	-0.1193683167	-0.4974610244	0.4483333973	0.5794499682	1.954302032	0.09218862874	-0.7731544142	0.8289494418	-0.6975732035	1.296678786	-0.7210377152	0.09015290148	0.6806524234	2.456371966	-0.872509922	-0.491070388	0.661809713	0.8994762742	0.6953891546	2.842825981	-0.5269599267	-0.2083205599	0.8986964927	0.5483627048	0.5687234256	-1.458679289	1.391602776	-0.04251116921	0.1025884581	0.04293249254	0.6215837359	-0.1796024261	1.139621871	-0.6653393403	0.8189075504	0.4521307991	-0.6772840463	-1.138448434	2.042983923	0.03565892873	-1.107514111	1.982663812	0.152801782	-1.475256097	0.1260163711	0.4363654837	0.2555758822	-0.5651891882	0.3445255935	0.8945638839	1.584798143	0.1273414661	1.283648629	1.484585832	0.7926461277	1.094705621	-0.5509132669	-0.3331779467	0.4351388532	1.783457415	-1.526949729	0.2414428422	0.3643174274	-1.044146192	-0.1273260054	0.4014997212	0.7020105462	-0.4718510387	0.4768267745	-0.2492966839	-0.2821223496	-1.228736232	-0.3793030492	0.6092942825	-0.3918377164	-0.438406194	0.9001268063	-0.7266041022	-0.4602905581	0.4220045232	-0.2728347748	-0.2316549221	0.7463992222	-0.6441525716	-0.08983323248
1.726263369	0.9445283492	0.2820853258	0.2445478172	-0.7658539809	0.7445745192	-0.8515601854	-0.5015683814	-0.5810199235	-0.9355996737	2.499637144	1.597279696	-0.8129448816	0.646410176	1.947715897	0.2087520408	0.4265234983	-0.4298591128	-0.3292425885	-0.5805074163	0.3474197366	1.89675485	0.6998313171	0.3834811107	1.950724339	0.06392275317	1.030108408	-0.4955372639	-0.9232294306	1.96324748	1.774662608	0.05642546863	2.173019571	-1.186667524	0.1061232767	0.285843997	1.074638263	0.9108904292	-0.3543582991	0.1608175311	-0.9446215205	0.9075785018	-0.3067751344	2.054829525	0.2523557063	-0.1623009885	-0.281259753	0.3330384908	0.5757461445	1.57853351	-0.5268714287	0.8228711963	-0.4033988938	-1.465883058	-0.9044094445	1.416878766	0.3417316307	-1.020988581	0.3755183261	-0.1879309033	-0.1903654319	0.2404440594	0.948711263	-0.6583319058	-0.5341887839	1.141835442	-1.740159637	1.915528828	-0.5185104955	0.5485383136	0.6046663725	-0.04833355688	0.3702820169	-1.10955594	-0.09422315028	-0.8801490197	1.162418422	-1.095211058	-0.001307651576	0.5709647333	-0.02802983802	0.5511495105	1.264208247	1.56463996	-0.259670935	0.3351644624	-0.01629925737	1.095899662	0.3118206577	-0.05915576084	0.4092113553	-0.003277485057	0.6159853624	0.4353699504	0.6387532125	-0.5739745753	0.1382493951	-0.6077155632	-0.05196310822	-0.4830946546	-0.6139734423	0.959982126
0.779955583	-0.2211912651	-0.5879319346	1.753498611	0.3388537898	0.2747309451	-1.133981178	-0.2194617712	-0.8101458891	-0.4391137185	2.559891606	1.506059302	0.3685558036	0.6481914276	1.780651378	0.4125311461	0.09154866441	0.09081205368	0.825152377	-1.577262828	-0.575755679	1.353398499	1.7195311	0.3306201838	2.423149685	0.673524617	0.6044251411	0.6892172118	-0.7390608844	0.5476303644	0.03642671902	-0.4560743278	0.8125841212	-1.547146668	1.026054793	-1.934689027	-0.8486518214	0.2997218801	-0.1981888028	-1.768501195	0.9463459952	1.370481205	0.1437434629	1.403818322	1.239984491	0.08466189916	0.04345983035	0.7861321392	1.113765528	0.1346026433	-0.9877620954	-0.206633284	-0.9490478984	-0.2131975598	0.4692753835	-0.05782952443	0.6768556929	-1.091753418	0.1974916916	-0.7782667875	-1.821164388	0.3726525462	0.17738657	0.3365044886	-0.4700894078	1.494561706	0.7890779858	-0.8578356961	1.687496842	-0.2597797354	1.312041553	-0.1115300802	1.096397945	-1.006450148	0.4675586797	0.110111443	1.585274574	-1.238451317	-1.874847701	0.6025690848	-0.4417417672	1.225163269	1.306437036	-0.116125466	2.043483623	-0.7789576962	-0.0002045975335	-0.630718073	-0.9174467193	0.7626930921	1.02407512	0.5335979782	-1.145550795	-0.7382203924	1.357290061	-1.2367574	-0.2526827114	-1.65262385	0.1598131899	-0.830685389	0.2322157105	0.05262225712
-0.7901367959	-0.9976940996	-0.9602396474	-0.2082843511	0.4666440629	0.3955689671	0.06196118081	2.364534951	0.009894773943	0.9891765783	0.9608802243	1.015555709	-0.1553038171	0.3720163736	1.305498962	-0.2172841884	-0.6130004109	-0.3120353616	0.9509470392	-1.251192576	-1.045582579	0.8553372941	1.61557583	-0.4560598878	0.9980288469	0.5724613025	0.4058807543	1.109410039	0.6045456373	0.6542864688	-0.4706346526	-1.666501741	-1.700130765	0.09483894851	1.002146507	-0.3030587074	-0.6778216331	0.1342568418	-0.6055634328	-1.266114892	0.780851838	0.8270672212	0.349921483	-0.08150514111	0.5702291331	-0.4064904493	0.7549398899	0.3659481629	1.182984701	-1.903290815	0.5714889415	-1.011817707	-1.358580525	0.2495704348	0.1001183615	0.2128487817	-0.2982619646	-0.6304315394	0.2961319535	2.215180721	-0.1494399595	-0.355740458	-0.5937799241	1.15194177	-0.9644887386	1.355536912	0.4820706514	-0.8986624956	-0.5252166656	0.8740638068	1.131842208	-0.3684174495	1.05560484	0.02083682639	0.6122317679	-0.6845094954	1.298116589	-1.223128951	-0.0262500812	0.1526345073	0.1044436134	1.115774203	-0.08437060627	1.152130653	2.061300358	0.2265135568	-1.410475852	-0.9920992803	-0.4088257502	0.3143835463	0.792725867	-0.01900164353	-0.5871413716	-0.2780305589	-0.04513078683	-0.3831800488	-0.157115764	0.7506257912	1.271430651	-1.036227712	-0.4509007231	-0.6300197291
-1.063770571	-0.7775129426	0.9341765744	-0.7917310638	-1.101302742	0.1669353555	1.790010274	-0.6989219211	1.48026317	0.3151415046	-0.1369678552	1.06752697	1.293343937	0.9580532217	1.186707733	0.3350611553	-0.5130005481	0.07734996029	0.5825455685	-1.678850772	-0.774421207	1.072460217	1.816355747	-0.5569409141	0.8164102615	0.7572961791	0.7483515481	1.687427471	1.008402789	1.29180449	-0.1182021449	-0.7735600556	-0.6353149632	1.852652681	0.4358055617	1.323506242	-0.5044032845	0.6129187254	-0.6335967027	-0.00103692663	1.20624189	0.1533076384	0.6312045763	0.3373832437	0.5276853178	-0.2323788317	-0.1563180072	-0.2150924857	1.204259016	-1.784781219	0.3949852696	-0.2685581139	0.1282390397	-0.741097002	-0.1800070918	1.393622932	-0.01698751775	-0.8244370957	0.191202497	0.1877537581	0.2895498598	0.1285468446	-0.637943565	0.2859388593	-0.812560712	1.045586332	0.3480017894	-0.2574912184	-0.8562656224	1.998971271	0.8987690508	-0.6335602826	1.009903218	0.5801128621	-0.05893086907	-1.327251918	1.296837215	0.01765036122	1.301647728	-0.5123255471	-0.1283950308	0.7523274152	-1.90564172	0.3409100998	-0.2531134814	0.2454042331	0.2308391065	1.624593168	-0.8847715774	0.3778143423	0.7978924805	0.15320977	0.03739490092	0.5183109403	-1.152043651	-0.009573407905	-0.7967601029	0.6302816902	0.9210625633	0.1614224013	-1.346499626	-1.144238065
0.4382862111	1.393045981	0.9964478684	-0.7084053293	-0.5716078687	-0.3892683838	-0.5910639307	-0.8681794088	0.7201961469	-1.098588144	0.7122581373	0.8547162684	0.08510193997	1.131167395	1.452208945	-0.1942169922	-0.3386397949	-0.3840099216	0.3086455877	-2.394310707	-1.192218901	1.172133464	2.467598645	-0.5533923308	0.5198595526	1.338990016	0.1392775525	1.478080284	0.6524310656	0.2937551605	-1.453314351	-0.05708109414	0.2953390184	0.2003537872	0.9730681448	0.3955457761	-0.7807883945	0.3657918497	-0.4716490652	0.3069975386	0.1308248215	0.3428259256	0.5108050752	0.1593488859	0.06774698113	0.2142062147	-0.8313993373	0.3786431073	1.469649402	-0.8455440104	0.3731012269	-0.3479611277	-0.6409515235	-1.624734732	0.1823708668	0.6939928133	-0.1126722823	-0.3828122614	1.103278342	0.5080165592	0.7015934993	-0.06335585244	0.2663316172	0.07191936806	-0.9436924438	0.4477535336	1.141025804	-0.1786756523	-0.4114358492	0.6464734745	-0.2220714152	0.3608949655	1.118042713	-0.08800602563	-1.543089882	0.7522936146	0.7401260795	-0.1524248718	0.1000645801	-0.7801714002	-0.7044747911	0.999971504	-2.13270291	-0.9881145037	-0.619387101	0.4994294107	1.632959672	-0.9688733417	-0.7279299709	0.4329693542	0.838682251	0.555427645	-1.310394938	-0.419853912	-0.5114569255	-1.04900227	-0.9615546571	-0.0787001859	0.2872224855	2.126331386	0.7842919964	-1.557144779
0.5823362838	-0.3155818861	-0.6788436953	1.836981542	1.147724082	0.07254923731	-0.8833960339	-1.024390847	-0.9834842778	-0.8706007199	0.2720633206	0.1801711128	-1.475502761	1.28716784	2.524003083	-0.4681938319	-0.07813856014	-0.5114105164	0.4114807535	-1.841036726	-0.6525159602	0.8844276218	2.342304334	-0.03364323718	0.4548313191	0.8540436176	-0.3150864085	1.07482018	0.05218150906	0.8913256772	-1.046392059	0.001682594788	1.544701897	-1.250583306	0.3094585797	-0.6453179296	-0.2751195276	0.145229533	0.06948169373	0.104089474	-0.5071363843	0.9147064839	1.121472379	1.109810737	-0.123277895	0.5682062502	-0.2633950488	0.4324553092	2.092934809	0.2755257404	-0.9227577053	-0.7374809157	-1.441768366	-0.9120939778	0.5252096513	0.7985689699	0.2572913684	0.5198165397	0.736081383	-0.2093113668	0.163933222	-0.1234944602	0.344445035	0.6066041765	-0.5135313055	0.688743443	-0.9099248551	-0.5728376528	0.8345615964	0.8695266075	-0.4858994204	0.5425831373	0.7854839	-2.222663777	-0.4683077039	-1.00481676	0.6616168579	1.157297231	-0.8998641535	-0.8891074274	0.06726321258	1.273337621	-1.300671229	-0.1102641155	1.140952168	1.203557065	-0.0613457259	0.05017443397	-0.5933376128	0.5759983056	0.8503659234	0.1903999367	-0.2308684143	-1.54158183	-0.2827277385	-1.226410911	0.3548106101	0.7730733395	0.6166194736	-0.5722550194	0.4844379062	-0.2463979079
1.47329182	1.26771903	0.3829423271	-0.5918811734	-0.7308591456	0.6425977172	-0.8338480035	-0.4614567313	-0.9939936886	-1.029567703	0.8884553649	0.4825942511	2.259333576	0.9178825301	0.565607773	-1.464543265	0.4103667753	-0.4805819078	0.364984425	-2.30579983	-0.6809014093	0.2629783487	1.431746646	1.0119774	0.405207428	0.7364356803	-0.8267716968	1.302399161	-0.1000040346	0.4841544069	-0.9677377231	0.02672629445	0.9461415165	-1.19786833	0.01951457461	-0.4614971492	-0.8343223438	-0.6502580051	-0.1614347648	-0.001766089129	-0.05707662214	-1.211874062	0.8064565903	1.109518088	-0.5459178103	-0.3258466315	0.5935834265	0.2580583624	1.5302784	-0.4837557146	0.7665337327	0.2129380453	-0.345834303	-0.4540605235	0.319901256	0.1213180042	-0.1783461397	-0.0354307027	-0.2886936296	-1.222742215	-0.3832840245	0.2346429119	0.7240658445	-0.8772918005	-0.09291227534	0.3537344629	-1.09080904	0.8279634158	-0.7036764403	-0.5738475585	-0.7943231416	1.469439234	-0.508658257	-1.089597268	-0.2680997491	1.241387387	0.3615331031	1.248210471	-1.825148767	1.241156669	-0.6903795449	-0.5152516043	-0.9265956822	-0.5176815715	-0.008600986172	-0.2664714774	1.4418345	1.462500591	0.864876559	1.085427851	0.8987978828	-0.1948379847	-0.4694532994	-1.391538783	-1.318593146	-0.3514795396	0.1339866553	-0.05807362797	0.4002506126	-1.342492541	1.107567703	0.5336184925
