melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108
-0.8576415044	-0.9774793673	-0.5319383133	-0.8266599216	0.3651704099	-0.5623870119	0.07471945939	1.150617107	0.5821677819	-1.384538152	-1.197628998	-0.2151542332	-1.252581879	-0.361862203	0.1926424161	-0.8532648634	0.04948721529	2.222950706	0.3719917789	-0.3740136136	-0.8087804769	-0.107439424	0.3938246407	2.505759032	-2.626107589	1.057214455	1.375564355	-0.09811092912	0.3431090451	2.505845587	-0.3033984875	1.786232782	0.8676176756	-1.703001051	-1.366158462	-1.42620409	-1.201325524	-0.6464962123	0.0366394513	-0.06779906237	0.6093223378	2.145605136	0.6491582276	-0.02357256683	1.917529252	0.7096009227	1.764811239	-0.9202119919	-2.116369289	0.9535562221	1.185291415	1.623091118	2.633894838	-0.1427874468	1.33046142	-0.5084900092	1.132087757	0.7795737099	0.1230685426	3.691725216	-2.045030749	1.611798821	0.9359738517	-0.4144995435	-0.2743712891	-0.9033097936	1.392839826	-1.05798084	-1.652328471	2.313565716	-0.3322552142	-0.8467722131	0.03537151429	-0.3575511824	1.506125891	0.510052835	-0.8541171575	-1.499953492	2.127032991	-0.0311919271	2.173071746	-1.038617284	-1.342032857	1.556683353	2.261997785	-0.726008275	1.380172283	-1.486073886	1.136514595	-2.638897592	1.257646219	0.4645280243	0.3010293904	0.61336842	1.106553399	-0.4447673344	0.5861565559	0.3660210314	-1.157815178	3.38506462	3.343799323	0.8017591475	-0.1116041055	-1.029942457	-0.7811613374	-1.461774443	0.619467269	-1.799798967	0.3800253491
-0.7762976102	-0.3779037106	0.239440528	0.0217505524	1.454014959	-0.462593666	1.559762966	-1.160658813	1.03145355	-2.119463658	0.3624102785	1.272004478	-0.3679070929	-0.1209635462	-1.906820694	4.580338003	-0.5887158978	-0.3231211764	0.6143303484	-0.9694474099	-1.255949666	0.7786583385	1.16367194	-0.1783797719	0.7707065586	0.07810379407	-0.1012119689	-0.2756674595	-0.02544793579	1.230619065	-0.8352560122	2.4777729	0.9293680252	-0.2622744992	-2.838100563	-0.8962880432	1.803456695	0.6367937633	0.07656928512	-0.1249398518	2.070405745	1.871648678	1.042951981	2.266591664	-1.065710602	-0.7281390881	1.073164467	1.268810122	-0.6627317492	1.039510474	2.034076995	1.340655958	1.389109585	-0.5654624645	-0.4651788857	-0.8654239721	0.1912951028	0.6580815197	0.06688123196	1.142447065	-1.352262701	0.005359459805	1.006338011	-3.281947678	-0.4675646258	-0.7437528953	-0.3528548492	-0.5751670275	-1.166640467	1.069425686	0.5159919909	-0.7579341297	0.237202324	-1.529762009	2.415155482	0.8380449121	-0.2623211461	-0.8807986632	1.005514229	-0.471409445	2.168436028	-0.2235451346	-0.239939158	2.814927815	1.513951168	-0.487214109	1.421702757	0.9806716942	1.971373667	-0.7278641963	0.9997860779	2.915485093	2.613642949	1.225794548	1.08240184	0.2531012384	-0.7460918579	-1.345949496	0.4938924247	2.102818276	1.56838039	3.809953389	1.104513959	0.3747474098	-0.4685538191	0.227098052	1.913915768	0.135408083	0.3012101847
-0.2766731395	0.9699809781	1.457665158	-0.9789368322	1.128381143	-1.086309743	0.9647760081	-1.199282359	-1.113354856	-1.673660025	-0.4752089692	1.444289468	1.095752402	-1.097450998	-0.7074693133	-0.1424156925	-0.4875376975	-0.3974772948	-0.0001278878086	-0.830187659	-0.8510515446	0.3555572165	1.975519914	0.4288978423	1.084324755	0.2091998686	-0.48764811	-0.2897160345	0.5261646246	1.739667583	-1.111479263	2.491991556	1.430416293	0.710502203	-2.348314552	0.4395953465	0.07479489715	0.288038447	-0.08783434795	-0.3536288407	2.143033419	1.885574177	0.4560830503	1.405820812	-1.015659432	-1.521383077	-1.667749976	-1.309459502	0.7371186121	0.2697682669	1.461895306	-0.2588662367	1.214754907	0.002082782021	0.3090510489	2.112546138	0.4986889089	0.5949011796	0.6784485499	0.2825358657	-0.3314977561	-1.21024429	1.927652111	-1.051432779	-0.2419368905	0.2903928444	-0.9740317347	-1.046259932	0.4648582533	-0.5914745498	0.2450179975	-0.1794320223	0.126294321	0.2505614394	0.5125640028	1.737999207	0.6783956164	0.03434387531	0.5279611408	0.7007181461	2.627424501	-1.60037906	-0.7027612136	2.333827721	-1.11565789	0.4961686331	1.480445661	-2.380539991	1.405673638	-0.1733656291	-0.5019759054	-0.2831158738	0.1031745631	0.6619559818	1.314207181	0.6726489375	0.7304304027	-0.7244650791	-0.6127306344	0.3366319351	0.2019210598	0.3439182205	0.3391207305	-0.09501188963	-1.224892672	-0.7758316007	1.189993853	0.1594983589	0.3688671692
1.612974652	0.6315837189	0.07238024451	0.2631496467	0.01978097837	-1.292525204	-0.6319953525	-1.264000278	-1.06865318	-1.46601269	-0.8196646046	0.4848803939	0.9756753496	1.067760317	0.003914240962	-0.4728487437	-0.6908241348	-1.760401972	-0.7211424869	-1.403139433	1.73604232	-0.1365160977	1.008520087	-0.2319319408	-0.08082525008	0.4145580934	-1.154575093	-0.7506172462	0.7860197706	1.875927487	-0.009685151455	1.259989478	1.031521369	2.35871913	-2.999572636	1.530326294	0.09666377784	-0.602753976	-1.642526739	-0.303115745	1.650407059	1.608527678	0.5145601839	0.7043678403	-0.4864406364	-0.8405734791	-1.251805047	-0.6590893735	-0.3556545885	-1.341825482	1.258187297	-0.3313696623	-0.2176579539	-0.1679163794	-0.4226681294	0.7871722134	-0.2888501963	-0.3934416703	-0.9011488893	0.3612793198	0.8445561495	0.1774574815	-0.7149242748	-2.197166613	0.03289985751	1.025163884	-1.187026178	-1.96018753	-0.3421597041	-0.9167750847	-0.9456832675	1.294483258	-0.5500967738	-1.577699337	0.466662622	1.434859255	1.221086838	-0.2326268111	-0.7558803299	-0.0619861338	1.305952118	-0.2829706764	0.1162107211	1.495313633	-0.8829939969	-0.50973082	1.681901334	-2.004841475	1.910508205	-0.3191507168	-1.129313331	-0.5563684851	-0.01187705776	0.9016148871	-0.0868798108	0.337137933	0.1413971156	-0.9599074838	0.5543331497	0.2802615301	-0.3453862735	-0.2193065426	0.6968205403	0.3043787927	-0.7065181356	1.136176549	-0.5448422834	0.1712996844	0.4494934108
0.132761352	-0.3328021256	-0.6022156434	1.245355046	-0.2850389946	0.5331525259	-1.544752332	-0.3997744019	-1.051199368	-1.75954677	0.204738144	0.6032425762	-0.5392513759	1.43782482	-0.7410919241	-0.2352180724	-0.04167802399	-1.394689722	-2.017212685	-2.873455201	0.3006017656	-0.2060756248	1.543931567	-0.1996162746	1.7876872	-0.495273333	-0.5940941703	-0.5618744705	0.8255190611	0.08109345167	0.1179546017	-0.0851539829	0.4391211913	2.760074588	-2.990919965	-0.3513815431	1.194009288	-1.223876614	-0.9312562769	-0.3046854737	0.7577899467	-0.1085735036	-0.01502771633	-0.1782447656	-0.1387455072	-1.068225723	-0.5562266302	-1.0679136	-0.8116392825	-2.124832108	-0.05715026585	-0.8155385084	-1.194110767	-0.1221539581	-0.9973654354	-1.159821572	-0.7070835666	-1.030937475	-1.166126557	-0.1699963342	0.3912654572	-0.4097146896	-2.327456829	-0.6303540267	0.2386344493	0.4330741559	-0.1840203229	-2.484058293	-0.08072116185	-0.08368349644	-0.3011525706	-0.01289574165	-0.8608918467	-0.5917946855	0.3381761499	0.1228748607	0.1215998221	0.123517722	-0.5925467904	0.7127348405	-0.2809873057	0.1178568599	1.738114414	0.6691097986	-0.6840158367	0.5032960016	1.493134763	0.8403720056	0.7659170643	-1.990982434	-1.582011927	-0.1246045904	1.103077009	0.5360814381	1.676550834	-0.7811961355	-1.19147693	-1.445294727	0.1156560487	-0.1893760722	0.4419658616	0.5082187624	0.128937839	0.1924011294	-1.330498285	1.707278828	-0.08231971799	-0.3590241045	1.721051936
-0.1463000562	-0.03992223895	-0.6420902909	1.670278647	-0.4460644671	1.067020027	-1.22134207	0.3624716196	-0.5536521263	0.1065757282	0.4389796022	0.884866183	-1.216682675	1.275377782	0.9080548295	-0.954675538	0.6608232718	-1.163245342	-2.036179758	-2.335115798	-0.7078211738	-0.8652386006	1.400463736	-0.8010634866	0.5798851902	-1.622819901	1.446132993	-0.142951987	0.6353615616	-0.2912456984	-0.01709131766	-1.006997523	0.6936180985	1.600360769	-0.7923226669	1.231323254	-0.2865433378	-0.8534597477	-0.3566636625	0.3102921685	-0.3069693645	-1.286657574	0.359387264	-1.733828279	0.3391561934	-0.5958178395	-0.05219364721	-1.435890151	0.1988337562	-0.8923013459	1.009857945	-0.2868667002	-0.125863141	0.5527982471	0.2554830821	0.4226289373	0.6680908857	-0.6194814308	-0.190470846	0.2365610176	0.1921471852	-1.490886107	-0.4750836008	-0.2214238942	-0.07292327601	0.7547224395	0.5940319093	-2.721564401	-0.3893381772	-0.03777494808	0.595650007	0.5713098269	-0.3637048972	-0.2137423367	0.2221389294	-1.171845564	0.2746506356	0.2106951844	0.1531653146	2.104956893	-0.1203436376	-1.870895179	3.384382572	0.5905539173	-0.07529144206	0.7084705745	0.6862056305	0.1347509476	-1.303520055	-1.349974236	-1.249583964	-0.002149987122	-0.3682392186	-0.6409870743	2.231718943	-1.100015925	0.02012427316	-0.1745658201	-0.7255006723	0.03571853498	0.4032915236	0.01944897468	-0.1066850376	-0.9470296846	-1.176575327	0.0101297131	-0.09932076814	-2.121816968	0.6816325381
-0.2763393324	-0.5680662468	-0.4259541874	2.695008149	-0.8862773613	0.4622152395	-1.493638309	0.09331494147	0.2451083099	-0.9436544583	1.366984893	-0.1794070028	-0.8192345028	1.893300661	-0.2254381878	-0.6702283071	1.547365002	-0.3056580414	-1.333773135	-1.66832392	0.5931145001	-0.52752225	0.8005843342	-0.06914940036	1.231274291	-0.7384740466	1.834068258	0.7401001313	0.416944628	0.2985484993	0.297094	-0.2465441539	1.07198514	1.303391584	-1.909158416	-0.3994527835	-0.4068583956	-0.2733164239	-0.6718748728	1.642262563	0.5352748848	-1.071556451	0.7395904877	-0.4012073391	0.1506518991	-0.1443778147	0.07146517063	-0.9918612564	1.118733686	0.1400603849	0.7948350007	0.6296589961	0.04228028643	1.332693417	1.20346077	0.5922279203	1.291827371	0.2940205249	-0.04768854737	-0.001840068924	1.135867858	-0.7995033792	-0.7109525658	0.7862342902	0.1157760409	0.8890883777	0.5913182708	-2.354112661	-0.7353620836	-0.4169219997	1.211963043	-0.6665982492	0.2719395124	-0.01629193031	-0.1121290961	-0.5337836633	1.207968729	0.5622120941	0.7840668262	0.3230583161	0.2301515042	-0.6765460007	2.675639971	2.06844636	1.17079688	1.660771209	0.04899340965	0.2292108954	-0.5600725105	-0.7243909707	-1.28797914	-1.089013825	-0.2813391838	-0.6015372714	0.02599670379	-0.1469545929	-0.5243511659	-1.009308377	0.9763017984	0.06521260807	0.2531459257	-0.220562715	0.5980105261	0.5844508957	-1.145718941	0.6295391317	-0.4824788573	-2.327222909	1.301247032
-0.9036884427	-0.4460481689	-0.7065197876	-0.4503374097	-0.591114981	0.4635730787	-1.000977535	-0.156801179	0.3623339937	-0.6514890251	1.468579424	-0.4679535446	-0.3672258866	0.5752624304	0.8185117141	-0.3895501157	1.629738097	-1.099106551	-0.544303391	-1.312237128	1.785240965	-1.628373307	1.283878721	-0.2833695784	0.6816878393	0.147351905	1.762206393	1.606211155	1.236795908	0.9198628156	1.274041941	0.9261871301	-0.5116088954	2.065227237	-0.8204425491	0.585467331	-0.1048766824	-0.993004356	-0.1794883931	1.182183002	1.960466327	-1.240742852	1.746427898	0.1037339823	0.3863187846	-1.045273739	0.005351006381	-1.711079333	1.684252866	-0.06268880349	1.342731892	0.2398866576	-0.4752426639	1.93715686	1.334011461	1.846480289	1.443800833	-0.1801044884	-0.7206057857	0.6866600527	1.201056498	-0.7360812651	-0.04239811168	0.05877764892	-0.5642642118	1.738792631	0.1284127606	-1.474261399	0.270142769	-1.154395163	0.4966627523	0.2455625329	1.250568991	0.1893059396	-0.6571236067	-0.8390312958	1.549122497	-0.1550697273	-0.1482922163	1.645908013	0.09401747024	-1.752582409	0.2474726123	1.522656461	0.3530708273	1.91008337	-0.1402716528	-0.2399157037	0.4354204946	-0.2200883491	0.2738410987	-0.6661451242	-1.852919979	-0.2109947211	1.400658388	0.1271363151	0.1552514613	0.9740941975	-0.120625647	1.142079727	0.7260352624	1.186070377	0.4667690076	-0.1088532108	-1.232636016	0.3704459448	0.8648353623	-1.03661174	-0.8984222181
-0.8247163143	-0.7637922575	-0.6719913453	-1.08126184	-0.3513482901	0.2228338247	-1.544300504	-0.6238870812	0.7354338591	-1.623803496	0.5514304734	-1.55880241	-0.7068858739	-0.2282488668	0.1978419071	0.1321042838	1.586172181	-0.08020096728	-1.154410104	-2.031004259	1.528773974	-0.5482083036	0.9700228998	0.05051418481	1.299115169	1.439663088	0.7090952873	1.858005097	0.8504609593	0.1090721494	1.93391754	-0.1878897004	-0.4420830114	1.359531093	-0.8303578415	-0.05939757839	0.5626658616	-0.7414701694	0.212773129	0.7204047673	1.227053935	-1.714684523	0.9038139363	0.6572037486	1.679233448	-0.4529448461	-0.2125334361	-1.594086872	-0.2112743948	-0.4611524415	1.133298517	-0.3450204254	-1.126959857	1.639569342	0.1792795473	0.01178978955	0.04728959586	0.1807016218	-0.5056212358	-0.8104323766	1.628996035	0.3730322208	-1.64382633	0.8043960922	-0.2279052631	1.484120397	0.1390652721	-2.147839728	-0.5189280064	-1.928034837	0.4704724137	-0.6209235352	1.041091539	-1.370252169	-0.8119501025	-0.8396477613	1.361535606	1.902405235	-1.126543006	-0.8589581246	-0.4539417132	0.07308296886	0.5139201599	0.6819768252	-1.173483911	1.436714594	-0.121522428	-0.1511245161	0.7091799827	0.2945920059	-0.0893299152	-1.428327997	-1.194367194	0.2489508182	0.2970041263	0.8701239704	0.4615119824	-0.665231122	0.3770501319	0.7230452441	-0.4546738936	0.9533459178	0.09056894882	1.210104047	-0.725782013	2.008514718	0.3297582413	-0.4538671369	0.7191855717
-0.849151137	-0.904673135	-0.7430762614	-0.9919969799	0.2803341679	1.147945721	0.5305335648	2.015346305	0.7349394851	-0.8645945054	-1.197979275	-0.9062150627	-0.4689859873	-0.8453527181	-0.4082013239	0.7090918088	1.303638284	0.05835555373	-1.396680575	-2.210791188	0.419188151	-1.13751403	0.8679202967	-1.492412479	1.082611887	0.8788825562	0.2969583104	1.548329844	0.2836346629	-1.491832087	0.8141733214	-0.8429857309	-1.540694949	0.05651277383	-0.008388044783	-1.169940995	-0.2144468038	-1.135707033	2.021656394	0.2635761939	1.002492619	-2.140362607	0.9246887842	0.4312425407	0.701696976	0.8286019921	0.6239030939	-1.860255424	0.7949099874	-0.02507962116	1.210924073	-0.4344314672	-2.068620798	1.648762287	0.4504719382	-1.04649001	-0.4805626295	0.04190080238	-0.2632507409	-1.202818265	1.263478519	-0.195827237	-1.604635824	0.416188403	-0.3389949644	1.126930495	-0.4424012058	-0.6732156067	0.978628832	-1.767819763	0.5141310313	0.1925489949	1.086426886	1.530198856	0.9055183106	-0.600493582	0.9965431025	-0.2396769995	-1.071701335	-0.4916571818	-0.8525213756	-1.419426344	-0.2954734485	0.9561343602	-1.350349158	0.5934071015	-0.2375010824	0.02644308073	-0.2692442277	0.3853427086	0.467396841	-0.4515130773	-0.9841002225	-0.8497600628	-0.2133628155	-0.4539426781	0.9423869674	-1.486302757	0.5593887814	0.4452079439	-0.6104032044	-0.3026184708	0.5490511147	1.483465433	-0.8318616648	0.9214160493	-1.45052733	-0.5748291176	-1.694647206
