melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110
1.658320024	-0.8215276339	-0.6038908864	-0.1365200676	-0.4121702744	-0.9306313207	-2.757118149	0.5443647437	0.5856867133	-0.7341294754	-2.559753942	0.2918785476	2.366587914	-0.6224541218	2.030026112	0.3780790248	0.260610786	-1.723753247	0.5282538223	-1.38175018	2.256084051	0.5557817521	2.071213141	-1.961744468	0.188528725	3.043970987	-2.445942854	0.656511343	0.5229312579	1.205020066	1.130544668	0.6066636581	2.754950096	1.129155322	0.0234595761	3.553917877	-0.5276167471	0.8264758214	2.219670173	0.4568613296	0.6516578819	2.08602493	2.186916066	-1.007762344	-1.748952717	0.2210392281	0.06570268181	0.06246987927	0.2526565463	-0.7106499433	-1.815934783	-0.6237938415	-0.1558647401	0.3112435029	0.6690670666	0.2335255202	1.524162921	1.616838814	0.6983305474	1.040740697	-0.02068690916	0.5946700092	-0.09637244828	2.263668186	2.184813874	-1.290270716	-1.761525396	-0.06338298859	-1.484906624	-1.709388212	-0.7142130002	3.468881842	0.5792362272	-1.444280489	2.819286135	-1.041567358	0.7231229385	-0.1181012642	-0.2533654916	0.168034413	-0.2466578627	0.6959362771	-1.849248769	-0.1193173854	4.458141687	-2.715622795	-1.860810142	-0.0899833136	1.336923852	2.334365435	-1.529958035	3.935592149	1.418863104	0.1675781528	3.705106313	0.1575795524	-0.9180466966	2.687545678	-1.269973609	1.63753201	1.727101074	-1.348067971	-0.9073853522	2.704737826	1.785921908	-1.034703717	-0.3518472283	1.192996317	0.9582946365	-0.03225834308	0.6571951234
0.9078156533	-0.5658507729	0.1613902771	0.08928029908	-0.3887620872	0.4038233066	-1.890347119	0.6661290481	1.457446879	-0.8109785049	-0.7094876936	0.000807679212	2.115546061	-0.8868016228	1.954410895	2.16724598	0.2520704385	0.6582796452	-0.08080725389	-1.07285693	1.206007353	-0.1924986913	-0.5631178598	-2.679641852	-1.233205216	1.437597828	-1.465573237	-1.80588328	-0.3893176598	1.010514014	1.928633658	-0.1243063184	2.377639478	1.077673287	-0.06706131978	2.126022045	-1.138872156	0.4732850266	0.07830154727	-0.3286870794	-1.144060298	0.452480542	1.78425549	-0.7863804529	-0.1626532691	-0.9188654467	-0.9527992804	-1.396109645	-0.1874209622	0.02447261671	-0.7880632541	-0.007350075201	0.09148572636	1.880311922	0.4080208986	-0.5277308022	0.6458237763	1.56265291	0.2923525012	0.3066064661	-0.1291863821	0.167898366	-0.4157444816	-0.04204262756	-0.6024501697	-0.8435480892	1.109042916	0.6677268495	-1.630676598	0.225809456	-0.4834082665	1.126970438	0.06305891203	-1.787394329	2.029210993	-1.288464869	0.152163442	-0.9297313578	-0.7826838016	-0.1796775111	0.8296097032	0.2576105178	0.7892608173	-1.357424721	0.7369711567	-2.884185043	-1.696931524	-1.364100668	0.2463782179	1.500782851	-1.197887965	0.2483825714	0.04121786965	-0.2346702325	0.5075841786	-0.7662958478	1.246331911	0.6211825431	-1.272481986	2.077824504	0.4802094791	0.1015262447	0.6352776268	1.292248514	0.3701212186	-0.3151686742	0.5149761766	2.864864416	1.439480894	0.9363618184	1.080132479
-0.07756192679	0.394409643	1.459314351	-1.100911551	-0.4414279115	2.432377685	-2.123746235	-0.1469627784	-0.6254111083	-0.9225062038	-1.193266823	0.7818269599	0.5688099613	-1.955653602	1.086483604	0.2414481393	0.9553239122	1.163785021	0.3752395657	-2.122674795	-0.2962393891	0.5365126923	0.5581225442	-1.573614318	-2.091024477	0.1838128876	-1.386704787	-1.622484809	-1.177680239	-0.3493141677	1.657331662	-0.7619407185	0.9106012804	0.1767720764	0.04602703591	0.5092524096	-1.046777157	-0.3717766263	0.5621608033	0.3519928679	-0.3956823392	-0.2317169222	0.9987881112	0.08464853495	-0.07208842298	0.5039553393	-0.5963310103	-1.033986881	-0.1526422668	0.2629272024	0.5288684368	1.086684025	-0.01321556628	-0.6579356469	1.159145071	-0.01236076446	0.9392327463	0.3429188384	-0.1362073246	-0.6585758092	-0.8407555232	-0.1574226099	0.9682358315	-0.176502664	-0.4020343716	0.5257623154	-0.2825013714	0.2074949285	-0.4185913081	0.5571784872	-0.2351356686	-0.2532478477	-0.337504617	-2.288169924	-0.2034789488	-0.693621554	0.9206305025	-0.4697227445	-1.909388424	-1.081055256	-0.8616390316	0.3912898805	1.558647611	-1.152840811	-0.2762323522	-1.5770922	0.3856772491	0.05400098726	0.04997141185	-0.4590352321	-1.062368908	1.284113851	1.091813982	-1.492957922	-1.062915175	-0.8349667724	0.7383779876	-1.422905367	-1.719097876	1.066061845	0.6763644903	0.9927744399	0.6557313052	-0.4143339818	-0.4359374844	-2.429627949	-0.4150558347	1.771022648	0.5153534921	3.044367253	0.3605000279
-1.174172947	1.820350234	1.056266959	-1.012372668	0.2080642032	-0.5127733553	-0.5797834964	-0.7192067884	-0.6891911734	-0.6043322764	-2.046206506	1.007535945	0.5653382214	-1.601684247	0.5698477708	-0.5474669275	0.9200754259	0.6614650567	2.099026937	0.03246735914	-0.1401314492	-0.04980866061	0.3613520072	-1.193741602	-1.982544982	-0.1387011596	-2.138701387	-0.03754949491	-1.044854931	-0.9793276393	0.8819162744	0.5009808996	0.4110839907	0.1604572478	0.7979277841	-0.2955483638	-1.49333767	-0.003547803896	0.1864332843	0.183662898	0.5948568806	0.3771446276	0.1127730916	1.0473576	-0.885120344	0.1953830618	-1.026550451	-0.626210103	-0.7828976143	-1.912324959	-0.7320861343	1.034357849	0.694988061	0.136574605	-0.2349320567	-0.5205628243	0.1731830248	-1.616387906	-0.1095171138	-0.2503256358	-1.409309246	-1.155909911	2.793953588	-0.7016634009	-1.620195151	0.8636764811	0.5378461143	-2.13372599	0.1850818451	0.5392786478	-0.4214074377	-0.8325030177	-0.9522810902	0.5866046747	-1.496511265	-0.6165235685	0.6679223966	0.532974167	-0.796944638	-2.248844149	0.1583611039	0.8686289066	-0.6624425278	-0.2168566152	-0.1237237245	-1.781732627	0.3874187081	0.7785907381	0.107488109	-0.9027557762	0.1291497588	0.7048473363	2.30303487	-0.3283805304	-0.6485977452	0.518711032	-1.395881391	-0.49085941	-0.618417419	-0.3947331273	-0.5724379341	-0.1233783592	-1.152675965	-0.2888719954	0.04199944285	-2.594382741	-1.11474413	-0.3598582701	0.5520864995	1.865441237	-0.2282666457
-0.8093703133	0.4001481064	-0.6940944193	-1.29601234	3.246155653	-0.7736880014	-1.744691933	0.06879406641	-0.8826635992	1.265651561	-0.872602583	1.646865317	0.00691915259	-1.779988308	-0.0118474314	-0.9137674734	0.5366358583	-1.017343925	1.258835247	-1.718194879	-0.08990251536	-0.0835148082	-0.1863202593	-0.6303228915	-1.181010718	-0.8867110911	-2.20946152	0.1502486282	-1.587790745	-0.8176331925	0.2227989999	0.5270217105	-0.6437043082	0.1819987158	0.8297033234	-1.16926799	-1.557485902	-0.03863587622	0.6256879628	0.9504191628	0.07144281728	0.5166380389	-0.8226303703	1.722632473	-0.4018344146	0.7982331695	-0.7147010063	0.1549468456	0.9563120196	-0.5566430434	-1.055314727	0.2785832797	-0.7644622718	0.4094632351	0.4179576293	0.1225796104	0.1030313971	-2.968844786	0.5361969651	1.335397074	-0.3181088693	2.045326541	0.2732903051	-0.2936277519	-0.01732251963	1.449725512	1.583803141	0.08573373814	0.6755962183	1.990356842	-0.2550153621	-1.49378027	-0.9798063465	-0.8182793399	-1.69154364	-0.4619230574	0.8637619458	0.7216766871	-1.025528702	0.319774552	0.2157672671	1.289784635	-1.34518342	0.07878940788	-0.2812829807	-1.049504052	0.8449423092	0.1659462345	-0.2437350547	0.07978199596	-0.008507137597	1.085423917	0.3001425261	1.346717718	0.01964834071	1.137126213	-0.8775548074	0.3905440576	-0.1499726696	-0.05041032838	-0.2201220734	-1.21121434	-1.127144011	-1.18434382	0.8176771753	-1.784740413	1.035854621	0.2495007558	-0.1933912633	1.633900961	-2.748748179
-0.04918847144	-0.6834606089	-1.10669556	-1.025939136	-1.10973262	-0.9670171463	-0.9320620049	0.5639559761	-0.4770612332	2.027841264	-0.9613056734	2.436388046	0.3444914776	-1.618774849	-0.3298093467	-0.852157498	0.7516113557	-1.499315769	-0.05097051002	-2.810555093	0.4576550552	1.017159415	0.6806152674	-0.508561545	-0.2725852429	-1.136429437	-0.2337208134	0.8151364192	-1.41319103	-0.2195947828	0.4789692843	0.05537774373	-1.18871182	0.3082926519	0.6676816304	-1.411153815	-0.7142006603	-0.90365631	1.218519409	1.416988334	2.055518379	0.5574040773	-0.5917867306	2.25370878	-0.1066276766	0.7394255677	0.7855122832	1.572557512	1.28158448	-0.7152345359	0.8081107894	-0.2276118319	-0.788543156	0.4672951288	0.4036266456	1.187123358	0.9395758555	-3.295458226	1.091820091	1.788453004	-0.8672752461	1.108379945	-1.184629186	-0.3830702774	0.4955344312	0.9693002799	-0.1340357575	-1.162006611	1.138762044	0.161731574	0.3140949977	0.2777347829	-0.108300021	0.8559333366	-1.325484768	-0.04369112465	0.4057743193	1.596276454	-0.6437071649	1.529177208	0.3899170711	0.4046232962	-0.4509171837	1.343387059	0.3469135677	0.5707321054	1.103870807	1.125657376	0.5134476694	2.889018271	-0.1058952156	1.543398766	-0.9056272618	-0.4125824423	-0.104630112	0.3561866603	1.556202935	-0.06292706805	-0.3849349688	-0.5729141771	1.573830079	1.261465782	-0.6470058752	-1.044716206	-0.1367964757	-1.410327673	-0.8601363736	0.5506348227	-0.2630736083	0.8973330689	-1.33438054
1.128474889	-1.079964257	-0.9508291231	-0.612435164	-0.7770532023	-1.341620202	-0.8126693796	-0.4392671687	0.1858700722	-0.5160641846	-0.2199633112	2.555413491	1.577090036	-0.9997171961	0.129626058	-0.6297613392	-0.630751167	-1.324724046	-0.04714052817	-0.03952080312	0.9385571594	-0.776462059	-0.7006998833	-0.4198765843	0.07927249956	-1.420384324	-0.9628054797	1.854007974	0.1972334542	0.1868729446	0.3556922808	0.1133020329	-1.589113213	-0.4091903538	0.3252926505	-0.2477992189	-0.3533722263	-0.543090363	0.8924277167	1.945158595	0.5178388066	0.2529748485	0.9874036374	2.671714974	0.1490107771	-1.107908227	1.177449418	1.457488708	0.9934573788	-0.7610980072	1.83529568	-1.964958417	0.6500717172	0.1163544378	-0.5091164293	1.848052224	1.262826438	-2.18536006	0.8404274357	0.5250611223	1.26579055	0.3292930799	-0.5110214032	-0.2001849961	-0.06826028193	1.260716204	-1.033445709	1.596700782	0.8069363018	-0.09105232124	0.5625810195	1.207816367	-0.7497006245	0.4464777173	0.1236210938	1.425822631	-0.9943827952	1.909342035	-0.03730182717	1.360839496	-0.2958898013	-1.455661959	-0.8275046564	2.027474391	0.1886550897	-0.2500098963	0.2393549175	0.2211802247	0.6394111132	2.33585962	-0.589756973	-0.6262873361	-0.1072823186	-0.002628987689	-1.103343974	0.01223607574	3.186925213	0.5237859817	-2.034379489	0.421972225	0.9628150278	0.6667952511	0.3987658417	0.2271683013	0.4508684668	1.275021442	-0.5943810985	-0.03440791862	-0.1928366301	0.6255448532	-0.5915754609
0.6064450915	-1.321118198	-0.627317268	-0.8344730878	-0.8146330473	-0.5361396846	-1.327465278	-0.9161879853	0.7873953692	-0.6284688068	-0.5556095303	1.686168043	1.13682082	-0.608254831	0.01988233107	1.978873905	-0.9277817133	0.4071521715	-0.1485836729	0.08448155675	0.7333822701	-0.01325099595	0.2954718737	-0.1812885898	-0.8081363381	-0.05991514374	0.2772316473	1.232410982	0.9959200528	0.3045461353	0.5910587998	0.02820628206	-0.3058076122	-0.4562018481	0.1535436532	2.080505835	-0.24465705	-0.07071220547	0.8261762092	1.541448465	-2.425754549	-0.03542381645	1.678462175	2.737191505	-0.05207264492	-0.9417811757	1.465352449	1.95447046	0.8447708857	0.959461874	-0.009659745484	0.4902532757	1.425015702	-1.197634671	-0.2460317858	2.036042435	1.538484982	0.08048429523	0.6201420147	1.24098427	0.3730450232	0.2543439636	0.3769585303	-1.304158065	0.598437613	1.59224403	-1.044387398	1.8180315	0.5214559201	-0.1988979386	0.2840362134	0.7640622032	-0.6290492664	-0.9838415948	0.3937438271	1.433779313	0.1202509885	1.362689015	-0.1292441168	-0.8270138148	-1.10339466	-1.046179642	-0.4254049297	2.533552134	1.969064386	-0.2341825282	-0.9175307967	1.529752475	1.518194428	1.953202304	-0.5119960262	-0.9376133845	-0.4089268	0.9042957019	-0.2741543911	0.2177265468	1.393641871	-0.7122402501	-1.475249793	0.3001527384	0.484658294	-1.990695719	-0.00588234933	-0.397075958	-0.7393902691	1.075606163	0.3666624301	0.6359445996	-1.073970608	1.077226948	0.3483874921
-0.03257112272	0.02753919044	0.9590231589	-0.6181814382	-0.6262827855	1.567365552	-0.6111106275	-0.08429694718	1.274967296	-0.3367852655	-0.592158945	-0.1863714062	1.403529239	-1.125048792	0.2406749281	0.387458212	0.3857811167	1.124415936	0.5877044129	1.101938022	0.6510935668	-0.2894654163	-0.2262580972	-0.6056113638	-1.436315565	-0.05268206666	0.1245197498	-0.962795968	-0.2209420094	-0.7136709078	0.4021519958	-1.439345481	1.352188013	0.3232229924	0.5416054965	3.10742224	-0.0859222378	-0.2071933712	-1.081637385	-0.5971206193	-0.9218368337	0.7028110066	0.7764544003	2.240645907	-0.2071324174	-0.9314543232	1.507001355	2.192629633	0.3153796176	1.873069008	-0.9519531696	-0.1088532878	1.4152384	-0.8337828438	-1.026969206	0.9266332228	0.05518700244	1.637986134	-0.01521507591	1.000195222	-0.6909648015	-0.8903931042	0.2352188333	-1.17991866	-1.074439775	1.685050555	0.2544395252	0.2376106134	-0.1316198653	1.071187065	0.08406888389	1.194985432	-0.2935436011	0.08808293687	1.191728512	1.502564075	-0.5286571129	1.156468195	-0.490223741	-2.039175215	-2.174320681	0.5786959633	1.214131919	3.128201541	0.4101866624	-0.6399527328	-0.756211979	0.01859885826	1.185333912	1.075388746	1.472314018	-0.1946062846	1.512853486	0.8965252201	1.189235332	-0.5434742769	0.822257356	0.3038815892	-1.582735245	-0.6186628121	0.1040454207	-1.249160807	-1.220135783	1.021789316	-1.117406529	0.7884496307	0.3002466601	-0.7756489973	-0.4271451789	-0.2046575479	1.260236779
-0.1081845574	1.975814857	2.368051267	-0.5276468607	0.8280856703	-0.1741692149	-1.43426912	0.3602539382	-0.779975027	0.04437560823	-0.196455335	-1.522575186	0.1303901442	-2.611465318	0.5173043799	0.002012619463	0.8595369845	0.06748542992	0.04248778664	-1.451008886	0.5689433859	-0.4790213155	-0.2122239855	0.4162118684	-1.184003085	-0.9574569461	-0.2560268708	-1.400661351	-1.963743022	-2.01534931	0.1359506819	-1.622728356	2.682115366	-0.3418849897	0.05318577528	2.134354062	-0.330393742	-0.6101106104	-1.966594698	-2.161708723	-0.6974750398	0.5174150819	-0.9063717784	2.162127156	0.02967507748	0.8506963101	0.6091481901	0.03353205943	0.2791132022	0.6489694311	0.6354681402	0.1221301992	1.14187017	-1.334701391	-1.140737682	-0.3880372949	-0.6553333921	1.114588225	-0.7837697942	0.1389696093	-0.5096722272	-1.826521802	1.095519216	-0.1170764033	-0.09621142761	0.2218141921	1.4924725	-0.8360275458	-1.172521427	2.366089643	-0.3547622639	0.1074241425	-0.8459566513	-0.7041647255	0.7039858102	1.863261478	0.3031401378	-0.6251318363	-1.302767082	0.4121660892	-0.05525670879	-0.1259837824	0.5210537166	3.069068315	-0.3561087316	1.274645081	0.8915992919	-1.13186737	-0.3786354835	-0.3747223544	-0.3192430888	1.64418876	1.664457908	-0.6467660609	0.7003756207	-1.102675623	0.8615989692	-0.03188822831	-0.8965648298	0.2659141079	0.2249326405	1.39328948	-1.573432399	-0.6656474907	0.6221679584	-0.3396482276	-0.03030616981	-1.448054804	0.679250973	0.2146844369	-0.3679642709
