melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075
0.7002636656	-0.4438057875	-0.4268263694	0.1671688435	-0.1007334041	-1.722057154	-0.7060638991	-1.084906193	1.613850876	-1.745541577	-0.2217008529	2.141827724	-0.5631586997	1.372795906	-0.1250260352	0.8221613404	-0.1066200925	-0.1157227928	-0.2035499175	-0.7498915994	-0.3787687319	2.214847446	-0.374314557	0.229031607	-1.81870739	2.88292236	-1.281063621	1.544425366	1.324063089	-0.3456988049	0.9724925706	3.191523241	1.274219169	-1.909334987	-0.541314387	-1.457946905	-1.762726078	1.544497476	-0.04776262968	-0.3740255831	1.921234712	1.171068033	2.310263186	-1.120334697	-1.050484045	-0.3036102491	0.5637428673	-0.5167713456	2.260358621	0.8862729422	-1.382808941	1.512474735	1.025526248	-0.2715550298	0.9836842909	-0.1813147535	-2.1577767	0.05448348448	-1.275206173	-0.6231418672	-0.2329119005	1.453128644	-1.007693688	0.4151974202	-1.915261295	-0.5449048237	0.0848690235	-1.042650764	0.1337716506	0.909483976	1.750315684	-0.9325883866	1.044921533	0.6811983048	-0.5432493811	0.09956804641
0.6980065394	-0.5353781427	-0.3931788488	-0.1330448749	-0.4829675313	-1.008180318	-1.066627555	-0.7747874435	2.244976029	-0.1403673746	-0.3956103109	0.1364514089	-0.1731707375	1.643393501	-0.06711707035	0.5122425884	0.4987043388	0.9280835896	-1.014094867	0.3174074086	-0.4792111782	2.03443148	-1.069007746	0.5649576067	-1.880909307	2.836612019	-1.038058325	2.068745851	1.75615821	0.0847081317	1.436121664	2.438639522	1.737253391	-1.022730781	-0.6697566267	-1.797293	-1.033830665	1.836180419	1.17185969	0.8401715086	1.930606203	1.647056983	2.881229138	0.8899732193	0.0606953095	-1.726883739	0.5585973674	1.428549699	1.428673508	1.446422349	-0.4325548882	2.062791996	1.277399538	-0.1513065468	-0.6595864927	2.66653951	-1.370825567	-0.4666316323	0.0450436287	-0.2659386027	-2.141165062	1.45127052	-0.05870731604	-0.6392228803	-0.7706809173	-0.7851562874	-0.4540578693	0.675827942	0.3201251485	0.425547103	1.629814718	-1.008779458	0.7281811424	0.1006529606	0.2067194856	-1.296262516
0.8379329673	-0.08455021921	-0.5251827531	0.9718061037	-0.2955920844	-1.504763339	-1.171269042	-0.8495149391	3.410471496	1.423304027	-0.2702439825	0.2169310877	-1.255887008	1.553735727	0.2441249099	0.8103118087	0.70320909	1.783447743	-0.2057789285	1.67297799	-0.5493138901	1.91620069	-0.3666315285	0.2149914914	-1.744060298	1.7678013	-0.695305154	1.253649525	1.70652658	-0.8178365938	1.496000196	0.4952598591	1.205969819	-1.049044998	-0.8570683313	-1.065538092	-1.080541834	2.543861896	2.053727926	1.302135586	1.091701937	2.01994187	3.103300975	0.8270228652	0.9222601773	1.296776883	0.759628281	2.893958808	-0.7811586836	0.2516756234	0.6877969124	-0.3499193495	0.2266938912	0.8094082608	-1.035015737	1.951178604	-0.6173379217	-0.6847830136	0.8057247485	-1.458079989	-0.5944911235	2.257954783	2.123307464	0.377992186	-0.9129933639	-1.113865585	-0.9132684247	1.825573487	0.5421143644	-0.1746327055	1.159933986	-0.7994263535	0.5416198961	-0.6574333739	-0.2087757961	-1.730912705
-0.0463488903	0.960623319	0.6201509059	1.98136895	0.4412766477	-3.349674098	-0.8789602776	-1.170639485	2.465367514	2.200608683	-0.2694956753	1.783543296	-0.6197781826	1.349862599	-0.1399475795	0.8649344797	0.170249407	-0.07476502654	0.5060200712	1.810099756	-1.262211114	2.312112679	1.579410184	-1.255064079	-2.311193183	1.343141885	0.2266348374	0.439647684	0.02641658441	-1.991034753	0.3635141632	0.1739176973	0.4350093531	-2.080821298	-0.4339641896	0.3108898662	-2.05571481	1.835649304	1.398982074	1.157294938	-1.246754475	1.555676921	1.864709699	0.3208229399	1.667376749	2.943603794	-0.6053994252	-0.6084645084	1.677625403	-0.7683382682	0.8039679073	-0.4789321101	-0.9845696556	0.2855516723	1.005023596	0.2391901914	0.2196035152	0.1233627589	-0.3507525796	-2.909352313	1.614469393	3.100799411	2.07603441	0.6069972579	-1.558360979	-0.4559876986	-1.142282986	2.290002531	-0.1299964541	-0.4393067614	1.200642429	-0.916393374	0.1744080813	1.042269021	-0.2362215265	-0.6996480893
-0.1576383964	0.4006016153	0.1373426938	1.382328811	0.05715752035	-2.811976597	-1.232752385	-0.6534340722	1.45978646	0.5836183238	-0.4125328795	0.1170118339	-0.4298384038	-0.101157808	-0.5077162669	1.288588662	-0.4119371539	0.4136496722	-0.490032474	0.4644102924	-1.951096274	1.039572134	-0.8560710063	-1.454163306	-2.859339622	-0.5293922613	0.8779502927	0.7096590061	-1.156332781	-1.356333798	0.4629444618	0.2578531272	-0.04635345891	-1.184666736	-0.8734674806	-0.6778533308	-2.118256272	1.225896233	-0.09445221858	0.6200721497	-0.4546593005	0.58153555	0.9375330613	-0.1356741941	1.498700551	1.82092781	-0.9963445624	1.772338021	0.9150559385	0.4708622147	0.5137021603	-0.8884464889	-0.6883580861	0.6034671545	0.2973169911	1.363559875	-1.529696758	0.05387272745	-0.6964550319	0.4124029706	0.6076833433	2.606397224	1.551921341	-0.09848978908	-0.4236708393	-1.395444267	0.4973492275	1.64059644	-0.2187156814	-0.2972099776	1.36303806	-0.1110978567	0.3343750254	0.6654232853	-1.181704821	0.06412012202
1.296863865	0.2270084231	-0.1533034517	0.8411291951	-0.08116760893	-3.066342604	-0.7562659856	-0.7837268292	0.5034142237	-0.4428586571	-0.04493704449	0.8789099718	-0.4495288064	0.5506001861	-0.6500517169	1.020495802	0.2305063736	-0.09479744527	0.296175694	0.3299219746	-1.460141608	1.620827048	0.2378371004	-0.958290667	-2.39266778	0.7868468645	0.279814466	0.3717409027	-0.2870018972	-1.402241395	-0.2486192461	-0.3260603107	-0.1781605837	-1.84479032	-0.6186303527	-0.4180774851	-1.983825599	1.542897138	0.8053754998	0.9531995765	0.1962401565	-0.1661144476	0.6889634798	-0.9375996223	1.543489042	1.093125579	-1.242732899	0.5103363706	0.5246716393	-0.7589510716	-0.03802860808	0.0432640176	-0.05721151597	0.1278156015	0.2817492382	-0.3897184832	-0.6909182153	-0.3493808872	-2.321123108	-1.084723123	1.286702916	3.668315257	1.930599079	-0.5526129027	-0.2297260214	-1.629508054	0.3882656184	1.951757084	-0.1906544162	-1.542803287	0.6012144771	1.302725593	0.06190170888	-0.9574022345	-0.7375304376	0.1682680279
1.216645131	0.01215929342	-0.1762674362	0.5018346673	-0.2706993853	-1.916059099	-1.141938779	-1.022685441	0.6688472444	0.382139726	-0.1929066899	-0.3776344358	-0.8070514952	0.403930277	-0.7224759351	0.8779615648	0.8041795591	0.5277934992	-0.6210139585	-0.1424588861	-1.495933458	1.703416573	-0.9698739897	-0.9245294214	-1.952250544	0.9352489532	-0.07827162615	0.6420664675	-0.5013667667	-1.100216367	0.4305553481	-0.6150730019	-0.03575557817	-1.578226656	-0.3431561183	0.3160967582	-1.427176584	1.053489266	0.9529304044	1.008635123	-0.4959499515	-0.531957443	0.06885842839	-0.3416247801	1.239869539	1.073555571	-1.219025367	0.3152310899	1.449143405	0.4492728824	-0.5540624313	1.251897537	0.2499794882	-0.05550728935	0.1800708115	-0.6445799005	-1.476380772	0.002668232618	-1.685481893	0.254646898	-1.299789625	2.723362066	0.9392591222	-0.0709965968	0.2700391458	-1.551008369	0.4914024869	2.794729214	-0.02752650577	-0.7524224422	0.867216117	1.420027878	-0.8292526832	0.07386418014	0.3180988307	-0.1765179353
1.411059194	0.3457928836	0.01064916545	0.6583576313	-0.1855344817	-2.082977736	-0.9611863431	-0.6428797475	0.1820205735	0.2121036032	-0.2829841381	1.809404565	-0.3340820278	0.5796724284	-0.5185715592	1.343463031	1.215172504	0.1618017217	-0.5650596381	-0.02523788512	-1.267552232	1.043640698	0.9279180943	-1.279427781	-1.718217254	0.4970913484	0.4760596292	0.482102903	0.6437982252	-0.6687671816	-0.2685839034	-0.7585934301	0.4871997245	-0.8927030442	-0.1824756706	0.3485883368	-1.561796084	0.3447067717	0.8951350329	1.152724009	0.9319188647	0.1523865568	-1.145951599	-0.364220748	1.085402221	0.7139651731	-1.761475676	0.9819636803	1.248310457	-0.3156996535	-0.1237309412	0.8269724885	-0.08393787846	-0.122334675	0.9034529193	-0.6074009112	-0.6249506515	-0.7891093064	-1.821327328	0.3774543832	-0.8303422698	2.346896267	1.122962988	-0.814971242	0.506190383	-1.235331361	-0.1344046331	2.567912439	0.3758970012	-0.7589283833	0.8662805479	0.284331781	0.2120462556	0.06987450976	-0.01412105558	0.16419695
-0.09813245444	0.9534588524	-0.2749074672	1.615160586	0.1045642869	-1.349762481	-0.6604846342	-1.068838351	0.4015924036	0.5151845021	-0.1787807217	-0.4327412096	-0.5771177656	0.5765294422	-0.4564660538	1.144255578	1.767053732	0.1786420202	-0.6730426772	0.3982212702	-1.120391975	-0.3961539454	-0.9883001041	-1.100147546	-0.8956382563	-0.09084124822	0.4138167788	1.4126468	0.6149205584	-0.5629559032	0.3137409885	-1.321154026	0.2893322699	-0.6393405469	-0.1527665681	0.7710706064	-1.085695412	-0.3588184894	0.3403486484	1.507500582	0.105415308	0.6951850994	-2.299144045	-0.3671981042	0.1799128355	1.835107581	-1.065214109	0.568985759	0.2350512157	0.3896258508	0.3605752387	0.4482645316	0.3067237184	0.2016507366	0.4092450339	-0.07983649184	-0.4545554879	-1.376792533	-0.4965361309	-0.09412981979	-0.746918315	2.369684353	0.7423063452	-0.7605153383	-0.4677521447	-0.2355305451	0.2794919456	2.621335432	0.8475722035	-0.5311369106	0.5856627352	0.453590923	0.1221107359	0.07442966783	0.4004105782	-0.2105029381
-1.189296763	2.281235086	0.4702148225	1.376023763	1.193829873	-1.546265386	-0.5575270339	-0.7690651386	0.5457018164	1.056275963	-0.09466851984	-1.451329203	-0.5018226864	0.5133068417	0.4847700392	1.774728267	1.308436518	-0.5352799788	-0.516117181	0.174689351	-0.1379160215	-0.9478450157	0.2339320705	-1.565960784	-0.3539367811	-0.1065053344	0.5793055988	0.783035225	-0.714261935	-0.5421131188	0.3947576145	-1.820747142	-1.255368923	-1.335126139	0.3728041043	0.3896807368	-1.095788947	-1.502582898	-0.1527385991	0.4621075541	0.7650337219	0.2596269279	-2.482256284	-0.8394145153	0.2197848179	0.9234342527	-0.005123598098	-0.05303775131	-0.3578186385	-1.681795804	0.7896469602	-0.09682199377	-0.01736845278	0.3418329536	0.5535669351	-0.4838166328	0.4112019628	0.0234077549	-1.397692339	-0.05675953073	0.412701952	1.496434469	0.8067577669	0.01133762185	-0.679643266	0.3788729551	0.3679952956	1.752006551	0.3503373564	-1.015651021	1.329421777	-0.09924353449	-0.2933251402	-0.4831829276	0.9575205975	0.9879783995
