melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145	melodic_146	melodic_147	melodic_148	melodic_149	melodic_150	melodic_151	melodic_152	melodic_153	melodic_154	melodic_155	melodic_156	melodic_157	melodic_158	melodic_159	melodic_160	melodic_161	melodic_162
1.878877978	-0.01176470203	0.05719310839	0.9012255767	0.5388098724	-0.6542006503	1.29791291	-0.4780908263	-0.5191678393	0.9649943488	1.080076424	-0.3033759541	-0.485123825	1.149524712	-1.657852593	1.573241304	2.776431752	-1.568329476	-0.6774940853	-0.1326761031	0.1461823356	-1.05416862	1.187716503	-1.300757538	0.6355663556	-0.967888016	-0.7863509045	-0.7646891163	0.5290976764	-0.2112605222	0.1264516129	0.0122713261	-1.935017573	-0.2146365917	2.265590592	-1.3695537	-0.7651874855	-1.379138232	1.189461949	-0.3691345247	0.6120722893	-2.859836939	0.2672763189	-0.465283819	-0.887255562	-0.5932830372	0.1118301762	-0.2914851028	-1.999971779	1.8863793	-0.02185563794	-0.5337480672	-0.90308016	1.852110185	-1.972907094	0.4999253021	-1.682595129	0.3465250437	-1.899040239	0.5352677472	-0.3664388785	1.639938144	0.1781346193	2.760010644	-0.04124203075	-0.2504344951	0.4286309313	0.3140958678	0.1282678175	1.099097472	3.005732122	-0.09802236341	-1.793830671	-1.086366516	-0.2442028544	-0.3831282221	0.5247064678	0.01574986203	-0.03988630468	0.1292773223	-0.1071143885	1.374166304	-1.463669489	-0.2887145748	-0.4352845983	0.180548785	-1.756048468	0.1156363807	-0.9652730435	-1.702187438	-1.684655692	-1.191649442	-0.5657989771	0.4321125234	0.9798911305	1.057412944	0.1905994087	-0.2555358111	0.4576072919	0.7151393289	-0.1244810766	-0.9623629906	0.3667085496	-2.479269392	0.394773032	-1.019973086	-1.401092212	-2.031371025	-2.135535437	-0.3624266886	0.3404855374	0.4619733526	-0.4532910053	1.065451742	0.6141774441	-0.7635191978	-1.272057356	0.09902744358	-1.196920351	-1.227042889	-0.411470174	0.2673865042	-1.332898778	0.8033329251	0.6266109962	-0.7722267465	0.6060549817	1.680063246	-0.4020978176	-0.4967448578	-1.119688344	0.7500087112	0.5857387092	-2.922387368	-1.235886317	-0.6687983472	0.1948555026	0.05583825446	-0.1127169013	1.42440478	-1.669967505	-1.440314385	0.7548610876	1.482832663	-0.6654489733	-0.9986643353	-0.9822988531	-0.5234041991	0.8346783955	-1.199440547	-1.069224455	0.3934818372	-0.7783692907	0.9395280463	-1.097947073	0.1492307459	-1.89259012	0.5383795136	0.07265155164	-0.5693209038	-2.253764058	0.9220759992	0.4199085164
0.1509256825	-0.3414630375	-0.2648539263	0.4904834497	0.169055547	-1.500918036	1.069351244	0.9774582505	1.618526945	-0.008608346301	0.6587587658	1.625481265	-0.5324522284	1.515412196	-1.781347643	0.9393432012	2.191081504	-1.221122814	0.8119087133	-0.4300318889	-0.2658329205	-0.9630253653	0.5977025153	-1.677843929	0.002192131927	-0.08887584374	1.869881747	-2.088476763	0.5409768264	0.09526505783	0.5882636133	-0.411460336	-1.884505092	-0.894426006	0.9926490522	-1.106296257	-0.9122923902	-0.528081418	0.5813008448	-0.7312331357	-0.4730794022	-2.84417648	0.1639590428	-1.068616769	0.2286898064	-0.5107927784	-0.9556888709	-0.9152396342	-1.959687534	0.9632641059	0.488277516	1.672896481	-0.08288138625	0.9103338663	-1.842681327	-0.09574071809	-0.5304426738	0.1205097571	-1.83753652	0.4212949767	-1.011085765	0.1298555488	-0.2859706008	2.647314032	-0.2519603255	-0.6083797825	-0.7268776671	-0.2244984368	0.178524548	-0.6045329076	0.4525231558	-0.2464573818	-1.808282907	-0.9036837953	-0.00243509629	0.09834210233	0.7277301784	0.1151907392	-0.876197168	1.369250142	-0.05289509094	0.3350319375	-2.226237316	0.6252868606	0.06523715547	0.392488574	-1.495334342	-0.4316771522	0.3875932893	0.9325015127	-1.504034963	-2.001815526	-0.4755876085	-0.02864523689	1.707621468	-0.762439646	-1.452962269	-0.9592039558	0.5290079932	0.2519703113	-2.094366625	-0.530471096	0.1249267692	-2.699177715	0.009429679773	0.3314878297	-0.8705245709	-0.6643219928	-1.17371136	-0.7007938983	-0.2482798261	1.314707903	0.4072122741	0.836088066	1.39690781	0.6130260377	-1.513739344	0.9778599982	-0.4265472987	1.032149288	0.3407225321	0.7809932028	-1.534463678	0.7658981324	0.1585951338	-0.1479305921	2.064186202	-0.9768591786	-0.1327763948	-0.5633186694	-1.47570628	-1.536248912	1.842716772	-0.7193202858	1.113454542	-1.113676961	0.1668977931	0.3486654015	0.1853143561	0.1522480029	-2.520842737	-2.779122145	0.720853691	-0.4199384367	-1.091747542	-0.5598062385	-0.6937472459	-0.4925516245	-0.1932134063	-1.535409477	0.9232565427	0.210451733	0.02263542684	0.6223126792	-0.8852141906	0.4151362547	-1.174135323	1.939458609	-1.889753471	-0.812067451	-2.668115054	1.523897306	1.052879658
-0.7847506778	-0.5398501895	-0.7818940896	0.2272230671	-0.8488069416	-0.7213033789	0.4026700786	-0.5591954763	0.1724561792	0.235336763	0.4340923844	0.862141628	-0.3786817819	1.204340789	-1.050180367	-0.4402584834	1.59625616	-1.271903608	2.496749798	-0.7306590294	-0.8565130543	-0.9060360778	0.1040394142	1.411812294	-0.7012681765	2.04837047	-0.1879680977	-1.839975011	-0.09219027745	-0.3926032503	0.8303586726	-0.5092672343	-1.158128993	0.2887709562	-0.466613351	-0.1893874227	-0.2457843684	1.315093066	0.990538332	-1.179707616	0.8699376312	-1.742282116	-0.6691641023	-1.413841089	0.1166972984	-0.09889442563	-0.5500175521	-0.3003781919	-2.29898849	0.9016082728	0.745470568	3.076825339	0.02839124226	0.9898985341	-1.117048556	-0.7961394726	0.1998387881	-0.136239774	-1.966963186	0.2751207656	-0.4460402561	0.1362425057	-0.5232314941	3.600642796	-1.472496678	-0.608962289	-0.6369188713	-0.4257452514	1.480569322	-0.6056483082	-0.5928581937	-1.082544912	-0.9913426928	1.193204646	-0.5136702918	0.5923167454	0.7526121078	-0.4165948347	-1.294620768	-0.214971392	0.1690810409	1.274057891	-1.634535756	-0.3886640812	0.3162380129	-0.2774268005	-0.8315099249	-0.154633635	-0.4620030399	1.172707919	-0.5755553253	-1.130269345	-0.1546474315	-1.093861956	-1.168320455	-0.5583139156	-1.85893509	-0.5096541241	0.6701976362	1.689362601	0.1859732503	-0.1382651201	-0.7851621442	-2.135194455	0.2762382568	1.784650177	-0.5459627687	-0.5185609976	0.2814615288	-0.6046211767	0.1548049528	1.247608821	0.3523444326	-0.5931202527	-0.1393123704	-0.3349072588	-0.6344789432	0.9028415567	-0.008752021095	-0.03122877778	0.2051118112	-1.839310856	-1.160511319	-0.477178858	-0.7938985395	-0.4568394629	-0.4966775858	-1.737339657	-1.60593259	-1.694997457	-1.285427932	-1.422524894	1.63962357	1.100101276	0.4301801732	-1.12440038	1.421881867	-0.3416178248	-0.7106115042	-0.5941211522	0.2974808855	-1.37700801	-0.2590461352	0.7224714104	0.3909914072	-0.8436013727	0.254346649	-0.404612105	-0.83868028	-1.114663124	-0.7343831612	-0.328845917	2.504496814	-0.9393358365	-0.9109077795	0.4304530269	-0.2522460559	1.60887492	-0.610943397	0.4348016484	0.3395580423	1.800332088	1.075157904
0.9498484607	-0.4148331967	1.439312975	0.6200948226	-1.159672188	-0.5942620924	0.9855265532	-1.404030278	-1.059823501	1.789468856	0.316274432	-0.8432445028	-0.4207961937	0.8298214167	-0.3154971186	-0.4856883615	1.283373349	-1.374391906	-0.2686642568	-0.3725418666	-0.3819943489	-0.5898168501	0.4206776461	0.9528318265	-0.6172586079	-0.5212432865	-1.127003784	-1.47823977	-1.098910868	0.3676755204	0.5722868812	-0.0519565477	-0.5059526572	1.063819369	-0.07307414289	0.3608629251	-0.1161740157	-0.9193582552	1.484746163	-0.2550010958	-0.2580750453	-0.2876112231	-0.8903399005	-0.6330256023	0.3673829927	-0.3676826402	0.7168232487	-0.5527727526	-1.488091472	1.2275682	0.6224060429	2.509939996	0.221691231	0.9320337403	0.303196345	-0.4379454749	-1.172170882	-0.4672489976	-1.53745286	0.4835072003	0.02858878895	-0.7117831771	0.1236835768	3.761695729	-2.074568673	-0.543755504	-1.090880669	-0.8324975045	-0.5241839263	1.627067206	-0.5119535399	-0.8962621675	0.1424867046	1.483216845	-0.312489519	1.133193225	0.293781094	-0.5513780201	-0.1682361064	-0.1252099883	-0.3824863839	1.807516948	-0.8694683959	-0.3390344765	0.425919761	-0.451127215	-0.2863178268	0.697881717	0.2432784494	-0.4020695905	0.246553151	-0.8462711135	-0.1738333211	-1.027332259	-0.5523834351	0.5838553686	0.2598337076	0.6643496619	-0.09974756225	1.549566019	1.508399623	0.4077461762	-0.2590213419	-1.037452099	0.4191198908	0.01346784747	-0.4331842557	1.294953274	0.7222824037	-0.2408389226	0.06561346889	0.3925527795	0.5278066251	-0.8752931567	-0.8915506127	0.122412168	-0.2478411742	0.06236159754	-0.0003797284643	-1.711623911	-0.09887942247	-0.1637288595	-0.6289655495	-0.3123945547	0.09775815642	-1.029006413	-0.08390635304	-0.3653552604	-0.7197838717	-1.780790131	-0.5931975353	0.4485083775	1.316752864	-0.1964025876	-1.730549926	0.2096028216	-0.5596550592	-0.4771527383	-1.057231807	-0.4333215052	1.754419242	0.5001993005	-0.8746876426	1.853076155	1.506278239	-0.6377117995	0.924271773	-0.9717265271	0.6976197231	-1.350232388	-1.477338812	-1.270607483	1.771067013	-3.53042122	-0.5816475016	1.266624373	0.2175787398	0.05348284763	-0.002447998304	0.8691030025	1.43240165	-1.008414965	1.553533632
0.7811706957	0.03804737984	-0.3607749862	1.054023985	1.041224195	-0.8978890677	1.929001074	0.725223867	-0.5876698568	0.176172926	1.28514618	-0.6357867575	-0.12725068	0.801737777	-0.1635461554	0.9827373935	1.923572228	-1.205254678	-1.251817478	-0.3243069474	0.03761649369	-0.642446071	1.908110068	-0.1691559383	-1.130262221	-1.091894444	-0.6583425538	-0.7690329694	-1.393335769	0.8100372915	0.2424976167	0.01683142965	-0.563840012	0.827196117	0.1984854258	0.7694965312	-0.668657924	0.2931931805	1.500362928	0.6017407067	1.279519233	-0.02323811494	-1.236591269	-0.9044972147	1.0056446	-0.03513705639	-0.1194038994	-1.574188991	-0.652078915	1.10021634	-0.6515208321	0.8483866698	0.6181648291	0.4202376228	0.9987423693	-0.5940924217	-1.420699191	-0.3423369556	-0.5218779602	0.9520839755	-0.806026116	-1.578640761	0.0356930419	2.811731116	-0.09370895208	-0.4392143071	0.01246784887	-0.3400273081	-0.1854276224	0.7836192196	1.30182177	-0.1810740674	1.197324515	-0.1644480138	0.3758567006	0.9771241614	0.1691855263	0.4681150729	0.2296645674	0.1136443711	-0.1030788072	1.120034667	-0.8445493067	-0.07909247231	-0.1433510428	-0.1850910708	-0.6687103349	0.1667953734	1.204330494	-0.6724517939	0.5250600021	-1.601084869	0.04549636199	-0.5605594026	0.8772913688	1.683978999	1.259271049	0.9822912078	-0.6754727528	1.056936777	-0.4950439603	0.1549602934	-0.1291662656	-1.641723006	0.3392425488	-0.1050633454	0.4403939615	-1.535976541	0.007832795876	0.1500194235	0.5221915868	-0.0315816759	1.368022056	-0.9485684395	-0.1163589628	-0.5878003837	-0.3844341453	0.612033782	0.1203725082	-1.339012757	-1.536001119	0.5450452143	-2.097165112	0.5745914261	1.396266222	-0.6640538392	0.03504228686	1.663222758	0.6549482624	0.1376566161	-1.29321113	0.9439035746	1.387614798	-1.125566195	-1.065625427	0.6254290263	-1.259921166	-0.03974628182	-0.3502768393	0.8798228907	1.281733599	0.381120908	-0.8183462641	1.963073445	0.2221061119	-0.5911961381	0.7869401328	-0.7729953783	-0.7258915811	-2.790222492	-1.083582808	-0.3540233441	-0.7762006503	-2.423620306	-0.4722458721	2.174057601	0.1716720795	-1.304793118	1.941670239	1.56796011	0.1864472577	-0.02232719198	0.5287752413
-0.252558922	0.04660992869	-0.8509878752	1.169084716	0.03737999802	-1.150992965	1.737253105	0.5050367203	1.13554015	-0.8044177444	1.07679293	1.817254471	-0.3404026399	0.6280773786	-0.5892645646	-0.1740863015	0.9031211	-0.7919850847	0.2615820515	-0.6033967091	0.2229981326	-0.9818634574	1.733034585	-0.8680340871	-0.5920329836	-0.5587090756	0.5797192902	-1.886951444	-1.302949073	0.5817740412	-0.156152597	-0.311884747	-0.5731740008	0.2979080118	-0.1538037871	0.5991234357	-1.069438674	1.959552809	0.3977029591	0.07742005228	-0.3948593296	-0.5629699305	-0.1133666696	-1.390154173	0.9508175122	0.173469375	-1.126620669	0.3009819529	0.02786999238	1.233610877	0.6730985684	1.57093767	0.5434220666	-1.934280136	1.144579006	-0.7526611546	0.7746185997	-0.1373333106	0.1985684122	0.8698204943	-1.084363823	-0.7961030758	-0.2177216292	1.63641165	0.2491158412	-0.590581388	-0.9648085573	0.8341456554	-0.01458477818	-0.0378169388	1.43079949	0.6642532464	1.467923076	-0.3711288732	0.5968439065	-0.220162027	0.6435051688	0.5010378842	-0.7594852628	0.5946117197	0.07041145152	0.4572325749	-2.295385071	-0.07889679244	-0.2389316539	-0.29257916	-0.4373095749	-0.1404259623	0.6896716142	0.6088837269	-0.2810245311	-0.342237136	1.393494088	-0.255923825	1.815653155	-0.5268569822	0.6522666361	0.02877770732	-0.6087815387	-0.5694237697	-1.042236431	0.9417799296	1.357736204	-2.060447156	-0.1664871265	1.5150641	0.4739662253	-0.6887257641	0.3411756568	0.2349643219	0.7907308824	-1.642555575	1.96041117	0.06555971829	1.112267017	-0.05422898542	-0.7137306184	1.112049898	0.8698256637	0.7838426544	1.574628399	0.495427413	-1.676172369	0.9277648879	0.6146000133	0.8878472843	-0.3538787261	0.5616082561	0.450764885	-0.05797687945	-1.169490763	-0.4066917126	0.3833374626	-1.356164588	1.551994663	0.298522562	-1.024634627	-0.07906312189	-0.2715363993	0.4499600333	-0.2950870441	-1.423695675	0.5036044349	0.392474603	-0.7704343761	-0.4205454548	-0.7435323549	0.1714148024	-1.034989752	-2.032813713	-0.2322847522	0.2553147448	-0.281194383	-0.3513992516	0.5247624227	1.085176557	0.1437936571	-0.623095317	-0.3955009764	-0.3976668149	-1.554380974	0.3317953428	-1.158448691
-0.8699322821	-0.1777299401	-0.619018386	0.4330989539	-0.9536341529	-0.349565534	0.2434801795	-0.6215595021	0.1027003881	-1.353511983	0.7888477604	-0.06896965988	-0.3230601721	-0.265807705	-1.079069515	-0.8911905175	-0.173793277	-1.010612861	2.519978537	-1.234477822	-0.4646369259	-1.062805801	0.4531069502	0.4091165892	-0.4727902775	1.450549075	-0.4058279907	-1.707853317	-0.8010109324	0.4790069749	-0.5070388236	-0.6579768733	-0.4399206918	0.0398849973	-0.1285164437	0.3903330533	-0.4347502485	1.24179299	-1.052097269	0.01652729866	0.7027910395	-0.08222747605	-0.1881574093	-1.706404995	0.3602986983	0.04704561042	-0.3438029462	1.993319747	0.1474264309	0.5939041989	1.50670642	2.920798937	-0.8367057465	-2.256846766	1.442857431	-0.1238970912	1.262283596	-0.1567539816	0.282465795	0.7673871563	-0.7775151667	0.7769925639	-1.103541752	1.050930043	1.288848205	-0.6955854349	-0.5529898682	0.2446265465	1.385647242	-0.4643569741	0.1527560679	0.5347473905	0.5155771426	-0.03366292946	0.1398036257	0.181248792	0.1405527526	0.2797616235	0.3951497656	0.1880855868	0.0660417827	1.161583741	-1.48578084	-0.4159784115	0.00368584376	-1.486958835	-0.3676082864	0.2057154359	-0.3824243585	1.235917207	-0.1662045975	2.335500746	2.414523744	-1.012188683	-2.318052502	-0.2373665557	-0.4881252201	-1.270672423	0.4891741709	0.003093356364	-0.6468953813	1.052744868	0.5564346105	-1.814471285	-0.5250601928	1.314220814	0.1307885459	-0.5394227335	0.9293183402	-0.1357294459	1.472539903	1.392163474	1.780824782	-1.596150806	0.2118333245	-0.4964103901	-0.56411377	0.03428035213	1.540038453	0.06989709763	0.2270844173	-0.1986054236	-1.093625502	0.8844339472	-0.5019376183	0.9921597156	-0.03324385537	-0.4195378369	-1.652661518	-1.364386469	-0.4856070571	-0.8494930186	-0.7499479828	0.38547328	1.214942442	0.561521539	-0.2169952931	-0.2605561396	-1.19150657	-0.1142661156	0.2506663373	-1.346095972	0.05384095322	1.929078387	0.2518699536	-0.6497499248	-0.8395210016	-0.1800596463	-0.520087312	-0.7230003325	-1.334738275	0.848604183	1.872221401	-1.279134658	0.3818834707	0.04871741593	0.1209902114	-1.122963702	-0.06119832399	-1.895010427	0.2769422396	0.6446310487	-3.341805733
-1.174540014	-0.1729190631	0.7104959674	-0.04556350249	-0.9859106073	-0.373120456	-0.5669529355	-0.7604032805	-1.101282826	1.216516271	1.129763903	-1.100861889	-0.0823605688	-0.368703476	-1.318200905	-0.8211341771	-0.3068882488	-1.475080816	0.5239472119	-1.867927527	0.159664138	-1.5482036	0.6094500079	1.243512209	-0.5782399863	-0.4048896113	-1.25707468	-1.473446413	-0.7711492897	0.1434940141	-1.284591536	-1.022898144	-0.4447244335	-1.361927346	0.3881420091	-0.1473181426	-0.5984557766	-0.5342307478	-1.55279001	-0.2396756393	-0.6868917693	-0.2417110342	-0.4061054409	-1.103255226	0.5591543977	-0.2518738536	1.701585758	0.6846754918	0.4729419305	0.966932968	-0.04545300198	2.806641455	-1.203585971	-1.891016868	0.4259031908	1.166915721	-0.8335678142	-1.133196169	0.5567748832	0.7806481553	-0.9314412127	2.40432483	-0.7117370637	0.8074311657	0.5033650452	-0.3802921209	0.1870483463	0.3416700305	-0.004230612115	0.6404593846	-0.470911964	-0.7157535828	-0.2722700981	-1.019845767	0.5954925717	-0.3008813643	-0.2354083447	0.02287448605	2.336882547	0.3402505343	-0.005229777838	1.149271719	-0.4112371993	-0.5881447037	0.12559121	-1.71020206	-0.4546563806	1.109754946	0.3210506101	0.0558282598	0.09754878746	2.871688471	1.583643191	-1.053727422	-0.913548779	2.103987603	1.414781744	0.3594768759	1.496179644	0.04680417315	0.8494005683	1.083109467	1.094948299	-1.484242502	-0.6305557832	-0.1436706952	-1.011476062	-0.7262132226	0.2719922726	-0.4764250682	1.181271002	0.9158793273	1.2785929	-1.750075286	-0.8302000223	-0.5173139418	0.1611363475	-0.8043428889	1.665257956	-1.323511203	-0.4898443629	-0.5789919946	-0.9530832403	0.2780611629	-0.06576627023	0.9604551668	-0.367944942	-0.5205223289	-0.368841051	-1.693805754	0.0101036579	1.346097699	-0.9065493526	-0.3052104557	-1.373644021	0.8507956939	-0.2719223335	-0.2349656453	-0.3452946715	-1.127787832	1.365607193	0.9508051745	0.9028140189	2.747296478	-0.1709467938	-0.5013422465	-0.3912688897	-1.332704218	0.4245581218	-0.5827858016	-1.463978013	0.1959417736	0.3422673974	-2.057572006	0.2418362809	1.025548029	-0.147746605	-1.244447526	1.374994119	-2.969330746	0.521720136	-1.524693504	-2.669257573
1.350027319	0.01320468141	-0.5953632963	0.6358021467	0.9513215369	-0.7717836336	0.0997841773	0.5619694196	-1.05214995	-0.07304928854	1.352133047	-0.3158481332	0.2126115804	0.3427238397	-1.176816685	1.551243549	0.8293770699	-1.400931982	-0.737056149	-1.353535634	0.6796121508	-1.404915978	2.117677483	-0.5617960297	-0.2032045883	-0.7809913529	-0.797088938	-0.9190032347	-0.3507500725	-1.38730641	-1.038222397	-0.3293384359	-0.3728622572	-0.6422931189	0.5563044986	0.108435326	-1.087118756	0.2802193143	-0.2138680147	0.2139366537	0.514487075	-0.4575271784	-0.9675829421	-0.4587037055	0.1524491666	0.2472283195	-0.177982142	-0.5763713187	0.4875664425	2.153119708	-1.58277577	1.134416695	-0.4017929512	-0.871289705	0.05227278508	-0.1647062583	-2.358232091	-0.6124419053	1.048968781	0.9190364585	-0.1906187015	0.1254485247	-0.2444894046	1.420150311	-0.4992745118	0.1300449783	1.908435583	-0.9091039119	0.204917839	0.6465402974	-0.1245789811	-0.9426648225	-0.1560873643	-1.094371397	0.8163580101	0.2324950674	0.7342068426	0.18249978	-0.01931657114	-0.2827442361	0.6035364364	1.026159995	-0.9526772406	-0.8387282298	-0.01445108936	0.3930739401	-0.618625783	0.4190144807	-0.02592251396	-0.4637512859	0.5364863662	1.362742441	-0.3389888472	-0.9655018129	0.9434702869	-0.6382459344	0.7547837828	-1.069918669	-0.04740184904	-0.423689806	1.661773617	1.121547219	0.7487894654	-1.808413368	-0.3034142187	-0.2857310735	0.1834618798	-0.343178234	-0.2691035916	-0.02373470096	0.315619771	-0.3624863053	0.944466836	0.3044992333	-0.09818369167	-0.8766701673	-0.1985146745	-0.1440451619	1.662337683	-0.3842303821	0.01646739094	1.559161956	-1.130197165	-0.08443666473	1.426712324	-0.6589350306	-0.08634036553	0.1876479816	0.4858991796	-0.8390837569	-0.3929097864	1.573432233	0.3975008588	-1.164621214	-0.2774662371	0.4280489446	-0.295021536	-0.6500181294	-0.1668394869	-0.8631464112	1.27833025	1.024492395	0.8062041226	2.086022128	-0.935488209	0.314365955	-0.2200531524	-1.151535627	0.1185501237	-2.334132542	-1.222743472	-0.1798634818	-1.496757809	-0.122311865	-1.092498022	-0.3469454284	-0.5876191843	-0.9425657288	1.487265519	-0.1844018688	-0.7651085497	-2.356373548	-0.6282376657
-0.3057218867	-0.2011904854	-0.6809125176	0.6647167053	-0.08685331968	-1.069515433	0.626836872	0.4621789481	0.9258969705	-1.173283223	0.6281557243	1.677601282	-0.5881490578	0.6701045759	-1.06784441	-0.06618930886	0.6058280544	-0.685171487	-0.3534419082	-0.4190815735	-0.7914503063	-0.676912208	1.906649503	-1.415804835	-0.01777333886	-0.2998315562	0.7551818162	-1.140421092	-0.1421135942	-1.346177595	-0.1039965394	0.4621419199	-0.3076514201	0.3811528124	0.2672398931	0.8902253455	-0.8592711539	2.563040315	0.9241274818	-1.160658609	-0.2434199945	-0.3245873211	-0.2964798714	-0.06399189122	0.8415271649	0.1366504237	-0.8398342784	0.5365180169	0.09271636083	2.617113174	0.3120403774	1.820585062	0.8046350718	-1.065949505	0.6586122814	-1.424453089	0.275925846	-0.1601396436	0.9937333563	0.3341317381	1.021369426	-0.4861484725	0.5649153402	2.445605727	0.4093771566	0.5625648664	-0.5880748852	-0.5491740739	1.554124129	-1.075560637	0.3359427777	-0.6089904697	0.6898129575	-0.1203341491	0.5779160635	1.209552397	1.465357713	0.1268313955	-0.8479156871	-1.003329299	1.945190583	0.2727095313	-2.098363981	-0.5647672107	-0.3942208902	0.3949480271	-0.1542067688	-0.8667543659	0.2405098002	0.1885975555	0.2526022068	0.8619439311	-0.42785286	-0.7988772404	2.412484095	-1.692397051	0.6054963658	-0.3811756235	-0.7706559934	-0.9983298755	0.3980778649	1.615534921	1.367572078	-1.474856046	-0.8155706313	0.3247993056	1.138499618	-1.111105474	-0.1602177739	0.304734641	0.1072322641	-2.086102607	0.9119628568	0.6571244908	0.9092201959	-0.4772769092	-0.855195764	-1.609873087	1.396962783	1.133995613	1.937465025	0.738683305	0.8138685253	-0.3920776602	0.2415537807	0.9149271365	-0.3764814846	0.2934360851	0.4090739244	0.8143921175	-0.6978545009	-0.3727954253	1.55564099	-0.8319150237	1.436250246	0.288850455	-0.3906833925	-0.6756075459	-1.179745906	-1.233739195	0.6898260932	-0.2860865472	0.7144999741	0.3069746528	-0.5104409167	0.4632448396	-0.2753367257	0.05156357029	-0.2704770621	-2.567203744	-0.08928688085	-0.01527007611	-0.978679589	0.7148654674	0.2545847859	-1.118257271	-0.3613966158	-0.3907298698	-0.3763392363	0.1186395086	-1.900416113	-1.386584934	0.6503338548
