melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145	melodic_146	melodic_147	melodic_148	melodic_149	melodic_150	melodic_151	melodic_152	melodic_153	melodic_154	melodic_155	melodic_156	melodic_157
0.8177683126	-1.097887852	-1.270197378	-0.6980728648	0.4782242566	-1.270910882	-0.1923142367	-0.334711594	-1.120429905	0.2740048399	0.007863090217	1.156100444	-0.6886468767	-0.8319208008	-0.6663560747	-0.8300276371	0.2210635117	1.676604169	-0.7589039934	-0.2924069215	-2.039153743	-0.7507782332	0.3959206393	0.08614114146	0.2369440244	-1.013616151	1.303108545	-0.4734682774	1.379960294	-0.5445108538	-0.3505025992	-1.492652587	-0.5777420157	0.4568821593	0.3467679406	-0.736910869	-0.8948821439	0.8793563317	-0.03482396999	-2.590966046	-1.236026657	-0.7310925884	-0.7315036401	2.975171988	-1.034663029	0.4726128753	1.256179286	-0.7895306857	1.309165686	0.430463295	0.3566237513	-2.258750138	0.8190015711	-0.5757891112	-1.951367396	-0.6892025127	1.454980909	0.09677443156	-1.907368887	-2.258233826	2.037442007	1.485064206	-1.525414805	-0.7079694568	0.02416815284	0.8016806184	0.7197739739	-1.838845861	-1.597384914	1.98314097	-2.077896401	-0.03077128719	-0.9789219411	0.467832876	0.3198216539	-0.3004973477	-0.4356587591	-1.938006094	0.695939	-0.02362410379	-0.242551434	0.4589646376	0.3853789255	-0.7890563765	-1.172949687	-1.162174547	-0.2251089388	-1.951352732	-0.02066379613	-0.5128742652	-1.035507884	2.997746733	0.4808025396	-1.30472594	-0.1702349829	0.983801244	-0.4338851752	0.3173051271	1.15577644	-1.474550068	2.142699821	1.969655176	0.3587175213	-0.7951118512	0.9238591873	-1.116727114	-0.02425263213	0.7817362803	2.189639363	1.142090835	-0.7049436498	0.1254492768	-0.9315520182	0.5947592553	0.4660733215	-0.946177815	-2.187550173	-1.535452474	-0.985130508	-0.6309837851	1.738914884	0.4323333411	-0.6811694323	-0.2107040467	1.125966157	1.021613334	-0.3728965836	0.6740625603	-0.3130917906	-0.8509177655	0.4150988336	-1.662070488	-0.1214350241	0.9265676601	-0.4258313703	-1.168327089	-0.128334739	0.3652280863	2.326262958	0.8167472025	-2.005671026	-0.4111306669	0.7958270192	1.245024584	1.490636217	-3.174473579	-0.3369515434	1.043630946	-0.2745062753	1.979145502	-0.5920657684	-0.6797938014	-0.2893878062	0.6527048615	-0.4923404581	-1.414654521	-0.774479177	-0.4105969604
-0.9169008743	-0.7372232502	-0.661519276	-0.3941559282	-1.3431888	-1.088962285	0.9672958056	-0.5831437517	-1.352475589	0.7832920297	0.02518765677	1.302987591	1.495216153	-0.6762219813	-1.397761066	-0.6676575393	1.248468784	-0.7118079059	-0.06709851232	0.6868764217	-1.973096683	-0.06643083653	0.35878763	-0.0139226388	1.023374136	-0.7307606798	-1.361480396	-0.8459109892	0.2545217484	0.1081165286	0.5799221843	-1.2287556	-0.5303915135	-0.3974885677	0.7745048847	-0.6501525243	0.08291920618	0.5099845229	-0.8126209149	-2.194043832	0.5522253386	-0.5463348097	0.718710789	0.7068232164	-0.6151550354	-0.320764703	-0.03034655063	-2.170293837	1.31693928	0.4891082738	-0.3051590321	1.26317577	0.2868710979	0.3544415712	-1.488074334	-0.5684020492	-1.545219795	-0.03981812434	-2.071533187	-0.0289543267	0.5474394339	0.8055610399	-1.685398241	-0.7440322116	-0.6542032566	0.546373869	0.2105185773	-0.4836901931	-1.875598674	1.72510888	-2.364806856	1.093987933	-1.59141262	-1.034766625	-0.08028129431	0.6475670256	-0.6815749401	-2.139188087	-1.350511711	-0.1752885341	0.6014505998	-0.01368557273	-0.0797259798	-1.030498395	-0.8399940549	-1.350257275	-0.4134972078	-1.835855526	-0.2583240326	-1.484201911	-1.555636852	3.746447262	0.1083285593	1.24551047	1.403960765	-1.015284273	-1.01163757	1.16547863	-0.06475739706	-0.871898977	0.5380879565	1.88314128	-1.054527868	-0.4005647967	0.9309291309	-0.7384995934	0.6084410418	1.144109403	1.822546489	-0.9877539891	-0.8000160417	0.2587823065	0.1453493447	1.463922746	1.610571776	-1.327681225	-2.241429756	0.2155238191	-0.5072957569	0.8973867094	0.7699010095	-1.650616606	0.06247967017	0.537545271	0.5575052976	0.4357993419	0.1275450153	-0.2605997412	-0.6098419302	-1.346952171	0.469274635	0.00434720188	0.4734325715	-1.632771839	-0.8543220869	1.47444984	0.005732878671	0.962796544	0.01419346009	-0.6965062347	-0.6388953562	-0.677817454	-0.4369876459	1.330751744	2.00642581	0.01771308549	-1.206138851	0.5111362253	1.079007961	1.392828222	0.2776304194	-1.774251245	-1.185497481	-0.1969255572	-0.9172279663	-0.5803089541	-0.1064783548	0.1795254704
-0.7181554704	-0.6265574287	0.2227453674	1.892985089	-0.7126369276	-0.6175920303	0.9720885106	-0.02564474648	-0.8862268046	-1.468652403	0.06789905863	1.146547832	0.06384574976	-0.3391482303	-1.868825205	0.3687621318	1.629640706	-1.701782224	1.083376848	0.6964452429	-1.305191656	2.199895851	-0.3475955106	-0.8574796877	-0.3984943485	1.153484185	-0.4226179715	-0.9060988999	-0.6625873744	1.179025735	0.02769704054	-0.5126153728	-0.874256701	-0.6273017568	0.1546645182	0.170441572	1.087837358	-0.7346924405	-1.192300096	-1.415507727	0.3554918429	-0.6154879534	-0.02024108631	-0.1633390541	-0.02578319688	-0.8899320346	-0.7926308633	0.3941928133	1.343570345	-0.209081233	-1.334296992	-0.0984279133	0.1086502214	1.388601844	-0.2504915916	-0.9733367569	1.41964302	0.1258616136	-0.929793964	-0.6668169394	-1.122430067	-0.2517506441	-2.043287304	-0.5358089931	0.3964382999	0.8110107074	-1.367087086	0.4835779438	-1.632365914	0.9243462822	-0.9477058329	-0.1521620281	-1.920794662	-0.7900186204	-0.2642451174	-3.085722372	0.09377826978	-1.270825092	0.4972798136	0.8100912065	2.010407269	0.08308949948	0.5792863049	-0.3503655987	-0.2668288817	-0.5233000378	-0.1432486718	-1.288653125	0.9499351488	-0.802291046	-0.2741355731	3.827040784	-0.6054966847	1.038953104	1.729085527	-1.429266018	-0.6310855902	-0.3168202334	-0.3686288077	0.9245256782	-0.6336496447	1.277360271	-0.9230043555	-0.1217253744	-0.2720326074	-1.322032107	0.2016298688	0.1625470198	1.918793892	-0.2728947925	-0.09817337417	-0.3620723557	1.078611772	0.3522410676	-1.570593208	-1.552352047	-0.2810775186	0.9661268895	0.5119272238	-1.886003011	0.546153153	-0.5558229096	-1.500928469	1.713782191	-0.1286533248	0.585636962	-0.1984912696	-1.804812571	-0.1980516177	0.3920866027	-0.03842257612	0.2418591042	-1.491062092	-1.325791932	-1.724165571	0.2058142807	0.01010380533	-0.1438632043	-0.9602514957	-1.68988661	1.414246603	0.157275562	-0.6390717683	-0.7777337521	-0.5526593754	0.03755038731	-0.6819970558	0.9879067101	0.8497886029	1.34552072	-0.1468931022	-1.04285134	-0.8265302798	0.5892335697	0.8906247809	-1.21532012	0.055876859	0.7763135422
-0.003963778132	1.783555108	1.172979592	1.67100825	1.76648696	-1.046368471	-0.8307451939	-0.4976126767	-0.4641214876	-0.8865511311	-0.4230365204	1.123140495	-0.8336616834	0.3115966855	-1.21222777	0.976596427	-1.02754689	-0.9830844477	0.4770180208	0.2787344231	-0.8444328733	0.4215464687	-0.9423556027	-0.7991404543	-0.8346844932	1.775181974	-0.2406918536	0.01628266693	-0.1241835563	-0.4070525154	0.5835747028	0.4160886167	-0.5159358895	1.362346962	-0.4593108561	0.6433023819	-1.331740884	-0.03080945049	-0.0283337418	-0.8177015442	-0.3573740849	0.276373054	-1.376938894	-0.4958958152	-1.307861222	2.020898358	-0.8642156705	-1.024650154	0.6963384026	0.8778965609	0.3655273847	-0.9332213972	0.5431378647	-0.3629824244	0.3665078468	-1.208017782	0.568211336	0.1149131628	-0.5594082078	-1.148089494	-0.3356294506	-1.654927632	-1.548826347	0.2960445509	-0.4092126323	0.8120558025	-1.17501635	0.880646017	-1.294774457	0.7508950389	0.5711360379	-0.8483244792	-1.574931225	-1.253034218	0.4132825507	-0.1775132808	0.1029170332	-0.4034954468	0.9446955181	-0.6774569796	-0.742508626	-0.6245847589	-1.978383149	0.5427986335	-0.6455056939	0.03979633992	-0.25069696	-0.6019716146	-1.801435156	0.6777534519	0.273814942	2.37660177	0.4556889027	-0.2036611709	-0.5663557154	-0.5598096834	0.2308873095	0.9473131996	0.01556939996	0.8458580001	-0.960859552	1.293456683	0.8890025362	-0.6047391075	-0.9571275811	-1.098591509	0.28589375	0.3517981689	-0.1775476158	-0.8329669804	-0.4179807561	0.1063897462	0.6986533106	-0.3152889216	1.016758875	-0.4861723649	-0.2101919008	1.056413652	0.335439359	-1.24995198	0.06752822252	-1.543290301	-0.08750015804	1.331316559	-1.167438154	0.3810589723	0.8004552471	-0.8341397692	-0.4573031213	1.784887175	-0.5119194676	-1.318245775	-0.855409691	0.4203661672	-0.6275933059	-0.3462295655	-0.8037135387	-0.7651025242	-0.08666696765	0.6196514425	0.2420236051	1.152386436	0.2076650122	-0.9488640063	-1.203050971	-0.2442096162	0.6960467599	-0.3513408779	0.7278511759	1.033678226	0.05068126985	-0.2436765489	-1.177549381	1.582693296	-0.9073979669	-0.735447353	-0.5934894765	0.8542831384
1.451346888	1.322795126	-0.3040789082	-1.079909603	0.9365691563	-0.7600509496	-0.8655053256	0.3752596113	-0.6381540004	-0.003915553258	-0.6259697419	1.008081101	0.3946254371	0.8107873781	-0.4527905709	1.150178677	-0.9266279809	-0.1403810678	-1.506594051	0.3868835963	-0.3438768391	-1.029019706	-1.240585531	-0.9370441676	-0.6338989886	1.72321845	1.126300077	0.4972658598	1.920482853	-1.120808861	0.06522254481	0.2368209412	-0.8715010175	0.9198696227	-1.885830914	0.7023579	0.6274704723	-0.3125876238	0.160161881	-1.087814949	-0.04672500079	1.060763591	-0.2543825606	-0.4073319546	-0.03994481565	-0.8062677145	-1.340099116	0.5532758141	-0.5432866374	-0.4581673234	0.2041624181	2.496317384	0.02901810745	-1.890892677	0.2062396137	-1.409248253	-0.4016749085	-0.5139669564	-0.504364868	0.7826322825	-1.648336164	-0.5453961439	-0.8995790995	0.923829609	-0.7765984728	0.1220728064	0.5389518083	0.08161089296	-1.425490459	-0.06816586955	1.31837801	-0.266475917	-1.508557264	0.2212789686	-0.2855720149	0.2623079441	-0.2560912985	-0.4328301695	-0.166694451	0.5560193887	2.043683542	-1.115190671	-0.4055441106	1.457678336	-0.1663411586	0.1320504329	-0.05440395385	-0.5690161286	0.5326147554	1.200233428	0.6284617076	1.047505549	0.2672463692	-0.1235771873	-0.7698921467	-0.0470002786	-0.02404162796	-0.3448650937	0.04878711335	-0.6616557258	2.373673621	0.6690588377	0.5557526951	0.1988061729	-0.5661585132	-0.5032285474	0.1342313323	0.1025054479	0.8146055135	-0.8049419301	0.3959347649	1.125367274	-0.9040920129	0.5647122506	-0.397032055	-0.6720502868	-0.06559855696	0.6592975238	0.3685627919	-0.4772263023	0.2978129574	-0.1212488389	1.322729514	0.297812746	-1.086510686	0.4894048126	1.575056578	0.8225539825	0.4782856368	1.471998626	-0.6680943622	-0.3270612886	-0.2353022801	0.920199901	-0.04960528157	0.01509421675	-0.8827201741	-0.7663597137	0.3178210845	1.07350597	0.3941783756	0.6803451709	-1.290709751	-0.2259365055	-0.6995412824	-0.3831252285	2.410533451	-1.423049203	1.647916948	0.7248158812	0.4983064779	-0.263338169	0.1495373993	1.228149479	-1.548249522	2.181893874	0.3712520491	-0.429012458
-0.1621838615	-0.9032814934	-1.025860772	-0.9080458651	-0.7609629605	-0.5877836643	-0.5033686026	-0.3710924987	-0.6660508238	1.247903096	-0.04546225977	1.249591299	-1.23037202	1.302905262	0.2813649545	0.9497377231	-0.5040242198	0.3886556604	-0.6164682825	0.5944925331	-0.4062361196	-1.507046333	-1.11456791	0.03962117076	-0.03422957256	0.6745287413	1.195830402	0.7970462175	0.2524639213	-0.6557418612	-0.1919343864	-0.5542746728	-0.5288072887	-0.6800260495	0.9022582203	0.7476115758	1.420402758	-0.309331383	-1.220187413	-0.675951024	-0.0340544644	-1.012896781	-0.1910014004	1.887186236	0.2415931033	0.3572126559	-1.083963223	0.9688273318	0.794742538	-0.03785442945	1.460257406	-0.9601475973	-0.2775929951	0.2359977251	-0.2816970392	-1.376333701	0.7767652858	-0.7911054182	-0.2286639333	-0.8413766785	0.3799109689	1.74575644	-0.7294725435	0.9510344687	-0.04938745919	-0.5826733931	0.9314836183	-1.914239632	-1.859516855	-1.094188503	1.876491181	-0.9945232416	-0.9088547156	0.2675620708	-0.818574313	0.2454210807	0.0222612379	-0.3509106285	-1.976914931	-0.6566859836	0.3558410999	-0.4306296699	0.07279049453	1.355493817	-0.4897064838	0.2277770133	-0.232005726	0.009115951446	-0.6807106416	1.217750939	-0.3161812139	-0.1519547786	-0.2551700882	0.6409651356	-0.9840325006	-0.326223701	-0.9696177017	-0.04705481293	0.5282188738	-0.9728005701	1.292718452	0.3368003654	0.2144429046	1.516673292	-0.4932948473	-0.462592444	-1.798548297	-1.081419884	1.30893675	0.602145031	0.8273106423	0.4960473469	-1.059777267	0.6045543229	-0.9369651679	-0.7037988895	0.4070708112	0.7329331041	-0.3483820795	-0.9415023124	0.5518676855	1.916850485	-0.9566451031	-0.1712185515	-0.09647046641	0.4942787163	1.029722405	-0.2636921854	0.5814344282	1.292715908	-0.1043868998	0.8840898953	-0.438583954	-0.1103625013	0.5200150553	-1.443749714	-1.377270502	-1.341182751	0.7588795695	-0.1336523762	-2.479819126	0.4453502405	-0.7260127612	0.2598557944	0.2731442777	-0.6894700214	0.6268092412	0.7050726495	1.345166146	0.1291122144	1.301460307	0.68248993	0.2416947747	0.1106036691	-0.2352599502	0.217977773	-0.1343930187	-0.7399678458
-0.9156323604	-0.3833149521	-0.6396446443	-0.01869906674	-1.261222632	-0.6600388189	1.450518543	-0.8331251046	-0.8972177038	1.282323836	-0.3987300419	0.1625747789	0.7382876047	1.176049457	-0.04624460423	0.9781331785	0.8919838369	-0.8032068558	0.7262707028	0.8187926562	-0.2253128744	0.7864202661	-1.023598033	1.53114731	-0.4201711929	-0.3626216968	-1.632630856	-0.5609967936	-0.2916855761	1.751748136	0.3029246967	-1.010223825	-1.651373528	-0.2854523919	0.3383545519	0.1605106169	-0.03974499493	0.2649746221	-0.5665681034	-0.0966810287	-0.09036077399	-1.239651026	-0.5542423808	-1.471924041	-1.038588682	-0.2390064227	-0.4528251016	-0.2444619779	1.069477315	0.8341054451	-0.4990615101	0.6549381755	-0.381473959	0.3236680749	-0.6188390746	-1.552153637	-0.8032241424	-0.8530835017	0.2461273129	-0.7354847204	1.173716671	1.047003625	-0.2675456098	0.9446834862	0.1116539477	-0.7211097517	-0.5905526565	-0.59582142	-2.773482968	-1.249116416	1.720167044	1.696964454	-0.4247427184	-1.172602235	-0.8746228398	-0.894778971	-0.05752208234	-0.2564679537	-1.01631734	1.65946798	-0.4706424794	0.4517922101	-1.044642848	1.597826811	-0.8027083844	-0.0601941562	-0.2228615212	-0.9054708511	0.4240081055	0.5201641502	-1.187606496	-1.210044426	-1.131652794	0.3705958516	-0.4288131873	-1.738087338	-1.394980431	1.901721089	-0.2293206663	-0.04008691419	-0.1266212211	0.5858934215	-0.1484986708	-0.04203956188	-1.413841035	-1.074398017	0.1057551353	-0.8905967979	0.598281422	-2.611481164	-1.945990842	-0.5488453983	0.8776933742	0.8737240552	-0.1050762031	-0.6945795033	0.8291703773	-0.5093367144	0.05722413954	0.2158379773	1.094321576	-0.3328761897	1.40472127	0.1639738998	-1.578610383	0.02866099745	-0.2701850836	-0.3748235528	0.3728103382	0.480518031	0.6130983949	1.508471825	0.2254042633	-1.061858302	0.5317718667	-0.03835855746	-1.193260188	0.01216677843	1.132421798	-1.471018948	-0.3847334142	-1.083937904	0.8818704381	0.1311266462	0.505879895	0.6636736091	-0.64131823	-0.9354396184	0.316406441	0.481243674	2.021161338	0.2056818106	-0.1126379208	-0.2212406155	-0.4832593556	-1.558313398	-1.382168394	-0.065751335
-0.547243766	0.7005988957	1.832827657	1.057138959	0.4166983211	-0.8411271791	1.881915565	-0.1977635212	-0.8300278464	-1.717874201	-0.1408592816	0.4820773743	-0.3934244393	0.6634847618	-0.6075585615	0.6757831415	-0.7423104804	-0.6811922034	0.6598168927	-0.2673342322	0.1700677752	1.194532925	-0.5243606752	-0.9100184736	-0.09196291227	0.4873828173	-0.8758037098	-0.5785926667	0.1313299912	1.308012693	0.5710890243	-0.1246740928	-1.101428915	0.572511747	0.09437257749	-0.4848635999	-0.7881200611	0.602025958	0.1618795295	-0.2167513223	-1.374940154	1.916257726	-0.4815277006	-1.718681451	-0.7539180571	0.6724359231	-0.1782656014	-0.6431404654	0.3548115673	-0.2438548105	-0.8778884311	-0.8213853725	0.2673520394	-0.2955841418	-0.2688934254	-1.889134257	-0.8366230011	-0.9497526952	0.4300231524	-0.7366993546	-0.8459846966	-0.9519247104	0.08056893524	0.6702459772	1.579844282	-0.723110783	-1.058764518	0.9272102758	-2.610585206	-1.814594651	1.163024943	-1.772934864	-0.4263228552	-0.2977010131	-0.4704080473	-0.4954698943	-0.8265145708	-0.131397502	1.135983769	-0.05311029637	0.3958016154	0.300340569	-1.715538276	1.150975532	-0.7895011235	-0.06639782388	-0.04468590519	-1.732707338	-1.246546646	0.5405916127	-1.187946932	-2.077489355	0.1295390038	0.1582725427	1.887325474	-2.028455141	-0.6816836597	-1.09813599	0.2528387482	-0.2112320138	0.172989149	0.01752808636	1.164740727	-0.9036267174	-0.8627685216	-2.272477942	0.120694698	-0.7396729399	0.7905035364	-0.6543166575	-1.587397392	0.506461376	0.6764798169	1.112504511	0.007461784569	-0.06564556319	1.006961335	-0.6463842833	0.7626963214	-1.688493461	-0.02653298877	-0.7806904189	1.225093249	-0.463301293	-1.660197651	-2.387801567	-0.7404961433	0.4546312179	-0.8580794764	0.1918509661	0.04262327293	-1.295420516	0.1595477582	0.9903263897	-0.6344573483	0.4777411604	-0.1649894131	-0.8384056433	0.9326514693	0.1522280567	0.5579618477	0.1721026106	1.956020039	-0.599017213	-0.2382427145	-0.2154434499	-1.083103532	0.06631758385	0.6542051909	-0.7966674547	-0.08755302593	0.1741827696	0.02848640045	1.529987512	-1.594733949	-1.019122741	-1.222858484	0.5232216544
1.259943627	0.9921028626	1.045924802	-0.8617038072	0.9200374855	-0.797356767	-0.7134059202	0.2444848845	-0.6512775025	-0.8870647558	-0.5795728493	0.09773971456	-0.4350902575	0.1609436533	0.189501359	0.3154136532	-1.551258341	-0.843979247	-1.405070704	-0.03660364233	0.5244846348	-1.507189524	-0.06242726292	-1.137886429	-0.1926182555	0.4225590956	1.370734477	-0.1877110676	-0.1044215591	-1.555047136	0.9302157288	-0.268950754	-0.6128744226	1.826844269	-1.367385295	-0.4606823648	1.053030773	0.5379497401	-1.009038889	-0.2397178905	1.308978586	-0.8728742297	0.3443411378	-0.6485332701	-0.1888840546	0.4645450981	0.4956872024	-0.08825425171	0.1675120919	-0.5231472003	1.162004512	0.1867814405	0.3839996866	0.5281443572	0.06941307255	-1.126200136	-1.184643666	-0.6162528724	-0.15852262	1.289761684	-1.49063255	-1.63899168	0.6478626194	-0.7487717104	0.4528515615	-0.8607320248	0.2942315324	0.3439406934	-2.701430289	-1.945314959	0.8484968586	-0.7127330287	0.2453079599	-0.2380844866	-1.11012151	0.1661666666	-0.4929506899	0.06318470856	0.7217745144	0.5519183558	0.5216732412	-0.01248394129	-0.04225774242	0.5371315567	0.03929206911	-0.1040229018	0.1214392669	-2.157488311	2.216042266	0.6909479096	0.0399335976	-1.836144489	-1.165789002	1.451929126	1.180732787	-0.9410497613	-0.9819187327	0.3231157925	1.732936325	-0.08529454283	0.8655086515	-0.4790592737	-0.1818428811	0.06150474737	0.3869183642	-0.9146672614	0.1311721336	-0.9270757559	0.5057093664	0.7838101858	-0.9544987049	0.6690965311	1.598287457	1.746882402	0.6229434862	-0.2053837926	0.02174166062	0.1275821534	-0.03597551608	-0.3508806308	0.3444690332	-0.03396304955	1.227373905	-1.823457776	-1.834429196	-1.233621923	0.6458765192	0.3317058664	0.574156025	-0.7662204171	-0.5906128365	-1.303603439	-0.8368995852	-0.05303823455	-1.062899079	-0.1967106348	-0.5452524425	-1.156981077	0.2440259499	-0.7588492421	0.3305201728	-0.4310820629	0.1734457502	-0.7367315046	0.01653632572	0.4716364365	-0.7722481575	1.163946008	-0.760791312	1.155252264	-0.9464024443	0.3072134045	-0.2811734055	0.5253275472	-1.306622819	-0.5277514205	0.5391126422	0.3314408252
-0.4308118755	-0.7176609367	-1.117466755	-0.8796680107	-1.111775732	-0.09015409317	-0.4342136462	-0.3315314679	-0.6851469101	0.8895449127	-0.4997373778	0.6223766261	-1.355521396	-0.7631449164	0.5652667244	-0.2442424435	-0.3439036674	0.9599737891	-0.6075311832	-0.02163105761	0.5900767617	-1.087392202	0.166344945	0.732849289	-0.6280215064	0.1784761617	2.198530402	0.2911734953	0.4353254369	-1.099375583	-0.6396469089	-0.8015427265	-0.4464933557	-0.1002153619	0.6762426871	-0.1379603339	0.6057901385	0.07999047113	-0.5939703188	-0.09484693807	0.5554856171	-0.4167582493	-0.5768750296	1.572186023	0.0294715773	0.5008840632	1.044110417	0.4943663911	1.137563708	0.2705527653	1.429280039	-2.590724115	0.4001241601	0.9246744092	-0.3836133272	-0.9662644901	0.9122852087	-0.6430423534	-0.4130386928	-0.9500939083	0.9809948895	0.8490155658	0.4837116564	-0.8747304898	0.3214897586	-0.6811924006	0.9874401281	-1.587379739	-2.847519545	-2.096907783	0.584698713	-0.2436608897	1.054487057	-0.005162699311	-0.5528849694	-0.08291465638	-0.6923418103	0.3413568535	-0.3225447197	-0.2695242117	-0.5584714237	0.2521677767	0.2088558306	-1.289170086	0.0009664435505	-0.2649424541	-0.2392845685	-1.403112407	0.2016685211	0.2398167127	0.1632625057	-1.787017693	0.1933093283	-0.634906335	-1.059569634	0.1917485527	-1.061048009	-0.7522703291	0.3331019751	-0.2832231038	0.515109962	-0.6866386015	0.9425422403	1.560984387	-0.05333520227	-0.7112045923	-0.8170517045	-2.108615305	1.121022212	1.734904709	-0.1535736716	-0.1129864671	-0.3239379081	1.639497662	-0.1849275629	-0.2868340086	-0.362423731	-1.388098384	-0.1641113966	0.1730637787	0.7599924677	1.853522591	-0.09594789168	-1.076602793	-0.2271200264	-1.075009922	0.1407680715	-0.2470942985	1.397175013	-0.3633462159	-0.4678783385	0.6145623909	-0.9233167967	-0.4491793051	0.01945748827	-2.127386071	0.1292005661	-1.841985737	0.04768879266	-0.2617795032	-1.281618639	-0.06174927866	0.573960034	-0.07164325681	0.5690793753	-0.2170988678	-0.984333378	1.74929188	-0.5624932493	1.040429889	-0.5378226414	1.102887248	0.3670183269	-0.9163923956	0.9155473957	-0.6658374122	0.5797442764	-0.336350712
