melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092
-1.305194086	-0.5213151454	0.5556424776	2.686052525	0.3819965063	-1.878920392	0.04689072868	-0.2750509246	0.9189950343	0.5235640715	-0.4941426364	0.6746543943	-0.1506624428	-0.6141114522	0.6697587313	-1.585288717	0.2363813741	-0.7398002778	-1.153015096	-1.004178566	-1.091355003	-1.805383385	-0.5951590515	1.313817257	-2.563125812	-0.5576204827	-0.9400897472	-1.111090662	0.07150524796	1.497960047	-0.3070937898	0.06196231062	-1.19412641	-2.39137005	1.978207529	-1.747391614	0.4134368697	-0.3772764127	0.2854883524	-0.1116461742	-1.14651823	1.123539654	-1.162823897	1.603041672	1.133542803	-0.1662303655	0.6566898676	1.237116405	-0.01130581487	-1.838343391	-0.7834276056	-0.06031601848	-0.8704319019	-1.171688545	-0.07730314541	1.085803512	-0.3594613101	0.3887922841	-1.906897146	-0.1954658605	1.10911394	0.01728216354	-1.700174572	-0.2680014005	-0.839839048	-1.370417046	-0.7495383034	-1.096505218	-0.9005503159	-0.2501138816	-0.7005910992	0.3240954276	-0.1736796644	-0.9817582566	-0.6064474646	3.571708479	1.454716721	1.23929563	0.1347338795	0.04388408802	-0.8756821396	0.5603521631	-0.5547807837	-1.652059665	0.8203267161	-0.2424281914	1.194041353	-0.8878421583	-0.0462829039	-1.005779934	0.1800157068	-0.09809708891	-1.827342498
-0.7041489413	0.8941490347	-0.893510051	0.03218158828	0.6935262008	-1.533079544	0.7941937214	-0.757978942	-1.422564772	-0.6999607596	0.5486566356	-0.3646950882	-0.8656888219	-1.026890739	-0.1150401929	-0.9629511372	0.1230606275	-0.5526104698	-1.029458777	-0.004647125477	-1.097203883	-1.605205779	-0.08075567381	-1.606921695	-2.230572809	0.1565069601	1.141431217	-1.656803231	-0.2480630965	1.585271098	1.440525129	0.1729057602	-0.8976359858	0.3144145899	-0.6694032991	0.5560724496	-0.1142979244	-0.4081669312	1.028845263	-0.6904266763	-1.611998854	-0.01408743798	-1.24520849	0.7662078115	1.396684907	-0.1566958482	0.3522400911	1.213707471	1.213014885	-1.05513735	-0.01630469681	0.8568097324	-1.203043079	-1.425594554	-0.4693021089	0.7562227858	0.1828118361	0.4542351586	-1.718682344	-0.3453712581	1.80026133	-1.063036422	-1.658177724	-1.979706587	-1.222624885	-2.38099231	1.267056656	-0.1177431343	-1.819786887	0.06492361378	-1.943382359	-2.45686697	0.7447259185	-0.5127701479	0.1910664642	4.045933238	0.9121931721	0.5406062157	1.599003107	0.7702966815	-0.4055546047	0.5734608027	-0.9782849524	0.4884781222	-0.3777523411	0.166520291	0.2214731087	-1.728265749	0.4441343219	0.4063432625	1.17764742	-0.4283182224	0.412151828
0.2994680837	1.376784018	-1.011957725	-1.1473486	-1.497004024	-0.9962061237	0.5529739941	-0.6775072581	-0.3571789672	-1.105915086	1.019279004	-1.243531596	-0.6180401404	0.01035874477	-0.5785034472	0.7189287958	-0.6600953723	-0.4612495469	1.036445652	0.1549453711	-0.5731087286	-1.43162371	1.456672702	0.9796172058	-1.30313945	0.9517518145	0.7169107926	-0.7027290335	-1.018946191	1.412476954	1.085895417	1.415432468	-0.215520613	-0.5648284894	-1.820945331	0.7285369654	0.4868676053	-1.133434661	1.206053029	-1.136458318	-0.7142588869	-0.9893492035	-0.7233303346	0.6270163933	1.290442249	0.2849877268	-0.4241142511	0.8349768469	-2.768185698	-0.8256738223	-1.074613147	0.6514398334	-1.473100421	-0.6145765728	-0.6019122247	0.2757722327	0.5171024771	0.3503943194	-1.701026298	-1.056798189	-0.4790954762	0.6808993782	-1.679484675	0.964882827	0.09815746344	-1.855055736	2.680755838	-0.3249386142	-0.2168685118	-0.4565646423	-0.8309613359	-1.518375395	0.2766864279	-0.4676635216	0.5919699133	3.694274292	-0.1198987992	0.1337337923	-0.1622126263	1.054412841	-1.335941735	-0.7879880216	-1.310005152	-0.7704536179	0.5100472568	0.5529526199	-0.3924500364	-1.156734253	0.04244800731	-0.04281843807	-2.109106147	0.5655786657	-0.4742629927
1.630843559	-0.4977769403	-0.1829474647	-0.7247849162	-1.163765666	0.09825787111	-1.080228733	1.736439739	0.1863820096	-0.7158157074	1.194561525	1.35998201	-0.01645227134	0.7817872775	-0.4594160318	1.544107715	-1.226400921	0.7391090971	1.632944546	0.6492853504	-0.4214834541	-0.9378279775	0.1368730144	-0.1214689088	-0.7987239268	-1.420618438	-0.7311893588	0.7794873414	-0.1968471004	1.090870292	0.3000957796	-1.362379559	0.4328146337	-0.7377748442	0.8596618675	-0.6499475691	0.4760674075	-1.085250503	-0.4385619259	-0.4555305033	0.118465684	-0.7978570521	-0.2246634163	0.3656124236	0.3355011534	0.1504526952	-0.797180258	0.6916978094	-0.8154073162	-0.7193862872	-1.389630227	-1.263114544	-1.080654432	0.07768585056	-0.6751673805	-0.2372573291	0.891988369	0.5386945653	-1.266764415	-1.711715428	0.539955025	0.5027392646	-1.595749567	-0.9545670815	0.3458133636	-0.5209922887	0.7403551149	-0.6748760196	-1.168717168	0.8547234946	0.6217701861	0.4141242625	-1.063599035	0.1776712134	-2.302907076	2.179895412	-1.182336536	0.4031809009	1.124248051	1.034720912	-1.485659102	-0.9740303033	0.1479347763	-2.093841162	0.7396847776	-0.5490038372	-0.9154198876	-0.5712230529	0.5790484515	1.325228816	-0.6710582812	0.1358082946	-1.46202249
-0.01006516983	-1.146467495	1.51388775	-0.3901037122	-0.1791058994	0.3520585679	-1.094352265	1.577140993	1.018632758	0.5206860629	-1.532197474	-0.6252486323	0.3092234347	1.19233662	-1.142950539	0.2134395985	-1.214746016	1.552334321	1.734633138	1.684669922	-0.5603673857	0.0997019791	-1.233652847	-0.4910106111	-0.9073673418	0.4291672488	0.2747760835	1.473064763	-0.8947813203	0.9545837193	-0.2833625577	1.629483739	0.39703955	1.308587552	1.094292902	1.409912701	0.03664045434	-1.285704207	-1.347012238	0.4441703034	0.457056529	-1.065789302	-0.5645268192	-0.007674049468	-1.005943318	-0.7853339692	-0.3024542629	-0.3321844743	0.4994171909	-0.7791729109	-1.01187368	0.1031944279	-1.255314274	0.9203993542	-1.023614021	1.614654408	0.2679419124	0.01083643194	-0.8193370905	-1.884068993	-0.2667623396	-0.9608467514	-0.7494790651	-0.3496283555	0.703058036	0.7636815808	-0.6960786449	-1.371669996	-0.2068908201	0.5463918493	1.353996012	0.4268117609	-0.2467291039	-0.3352673152	-0.7025625019	0.6110368189	-0.6576480026	1.534976812	-0.3716782535	0.7869108225	-0.8992045649	1.519400505	-0.7087159089	-0.5402833679	0.2746061078	-0.9083629948	0.05100954763	-0.901462427	1.364595035	1.053281634	0.6755121051	-0.4748859182	-0.5630479668
-1.169259741	-0.6770529282	-0.1102260875	1.03794693	1.177078306	0.2711891892	-0.1422657642	-0.5695357802	0.03304147863	0.4901418034	-1.142308374	0.9407143988	0.7773883887	0.8835319718	-0.1849712953	-2.155253835	-1.279194691	-0.8223657391	0.8635085522	1.823592707	-0.6401532162	0.0714544457	-0.9638652967	0.8861249348	-0.5590320717	1.389283474	-1.468715007	1.383932036	-0.10958166	0.9890629232	0.6188972063	-0.07828370411	0.2576150647	-0.1561777414	0.03046490709	-1.609130098	-0.3176522546	-1.481044404	1.233441744	-0.712352966	0.9026572776	-1.161825229	-0.732358619	-0.008152260195	1.130999664	-1.309581854	-0.08371715475	-1.67939007	0.3897510575	-0.918347098	-0.165644553	-0.2947894202	-1.606519534	0.5700959607	0.4895991702	0.498114374	0.391260095	-0.5045765531	-0.7817487651	-0.6934371216	0.04626828475	0.3379304973	-0.4697033592	0.3947833782	-0.2518427408	0.6816834827	-1.676237071	-0.9672007336	0.8134840916	-0.3711357907	1.243839349	-0.3631850641	0.2118356462	-1.286629612	-0.2689033334	-0.1110461964	0.2903815231	0.3278397817	0.3049032923	0.8678122432	0.01582053576	0.8492987807	-1.207383571	0.673607505	-0.048899256	0.2516990057	0.4393306358	-0.81096761	-1.694790237	-0.9928865154	-0.5543789728	-0.002705430456	0.4478782255
-0.4788338593	1.201733718	-1.096693047	-1.088580241	1.250231883	-0.2801317669	1.16731781	-0.4840580018	-1.580169571	-1.481702081	1.362409416	-0.3373174309	-0.5659108453	0.7044703025	0.1574442338	-0.7404362281	-1.442607523	-1.323165492	-0.4939802734	1.595376379	-0.7380578423	-0.1535728773	1.589307908	-1.272054271	0.4949234832	-0.2013893847	0.7491813296	1.320031776	0.4503407983	0.7066940555	-0.04256292206	0.1601996438	-0.2545772188	-0.8668887957	-1.027208359	1.450249964	-0.4537551843	-1.566516178	0.7420794982	-0.9297846262	0.4220533894	-0.230596426	-0.8234283151	-0.5772607868	1.946350691	-1.386423397	-0.1416081849	-0.6918391529	-0.5780335145	-0.4887569839	-0.9965690464	0.7715784006	-2.954037282	0.4397710486	-0.03977180142	-0.7019874022	0.5478423426	-1.118817683	0.4343053453	-0.2144751348	0.9252610203	-0.2467124596	-0.7475788635	-0.9636054133	-0.2012295478	-0.5501384844	-0.1495066827	-0.6387383575	-1.299912042	-0.3566444937	0.4830389514	-0.4675408035	0.386445113	-0.3985591515	-1.136373041	-1.515284804	-0.5885207306	-0.1161007209	-0.4129928709	-0.04476936111	-0.8478167642	0.04385053767	-0.9170366353	1.097399733	0.07007783861	-0.08368876034	1.332231239	-0.2506779598	-0.2292779897	-0.7815255211	1.409648559	-0.3656062563	1.027801337
1.446890952	1.120469664	-0.7156950738	-1.275821877	-1.707049709	-0.2596500721	-0.9701505585	0.1356203285	-0.2488330187	-1.229190433	0.6408728647	0.3259538609	-0.5947513893	0.4919117858	-0.3908138066	1.611638939	-0.6599932632	1.30578924	0.32970437	0.7307551392	-0.7239408387	0.1600206511	1.349160404	-0.8653974003	-0.07495737381	-0.9514054783	-0.8822817226	1.004154134	-0.3174174976	0.5164922496	0.2236531601	-0.05531821545	-1.050927615	-1.148905231	-0.3226979444	-0.2475190337	-0.1972530327	-2.106752393	0.2237678045	-0.835599709	-0.5439643044	0.08042684686	-0.1652640737	-0.656457254	0.1716274071	-1.048158915	0.00499533464	-0.6326939585	-1.532737962	-0.6831196789	-1.489745548	-2.69150624	-2.598268881	0.4835931219	-1.739036423	1.207013862	0.5119216596	-1.114843963	0.4622839047	-0.2586702379	1.596899377	1.181977178	-0.7030256238	-0.3390264524	0.05989930482	-0.4490725157	0.1280512512	-0.3732745569	-1.997702475	-0.3080638132	0.4193320198	0.03552193134	-0.49808365	1.526536332	-0.4873833322	-2.139389586	0.1624279519	0.5646401049	-0.06411573248	0.166812249	-1.666516966	-0.2504951161	-0.6338044726	-0.3432728898	-0.7392338611	-0.7553474211	-0.6698159243	-0.1438504802	0.08988316093	-0.4286575212	0.5920032746	-1.072744801	-0.3811681137
0.6176308995	-1.223277599	1.214987272	-1.11144171	-0.7300460039	-0.04072926989	-1.829273426	2.268651691	1.211610266	0.0100309119	-0.1525375822	0.9729997176	-0.1647420734	0.3016849528	-1.243987385	0.8374322435	-0.2222838052	-0.4026204547	0.4879734737	-0.07990615543	-0.4399017076	0.6000686323	-1.450690337	-0.2458811984	-0.08964475557	0.6015258184	-0.5013434656	0.6237369472	-0.8664861524	0.2525171551	0.9793525214	1.88320939	-0.5345593555	1.476426349	0.7676837971	0.08013368459	-0.07264689601	-1.267108804	-1.297964426	-0.9743139982	-1.29204327	0.2773918191	-0.5200908101	-0.833552834	0.6223012499	-1.074872933	-0.2251591515	-1.442765362	0.08867103054	-0.2204242145	-0.4621452305	0.1257174191	-1.859610143	0.2432900788	-0.5026008739	-0.1586190901	0.9371542658	-1.041266247	-0.6490695729	0.6128434661	0.3263321141	-1.807260865	0.01829627532	-0.01193461825	0.8000110635	0.03721557406	-1.045103318	0.3105442329	-0.7842875808	-0.02730755491	-0.6311026326	-0.3868457541	-0.4718377207	0.6675112103	1.126513805	-2.083335353	0.3788321998	-0.0951417421	0.6133150305	-0.02594360679	-1.01553816	1.650005686	-1.053632512	-0.02544378562	-0.1331367123	-0.8513616369	-0.1476561917	-0.1017373074	1.30162555	-0.5467071101	0.1286908545	-2.727405463	-0.4614331633
-1.109661275	-0.8063708689	-0.5459420125	1.214110785	1.091389487	-0.4002630683	-0.1201012596	-0.0580921885	1.212639327	0.4484791291	-1.107524744	1.368477519	0.5103452113	0.08008982588	-0.08801371573	-1.896575932	0.2509294445	-0.6066199704	0.4490099764	-1.153711204	-0.7845318372	0.5464750922	-1.222462522	1.288334956	0.0168926334	0.7110820332	-1.756373462	0.1948687658	0.05336495944	0.6256166153	-0.5869380671	-0.3185018409	-0.0532166344	-0.739257516	-0.4792321234	-1.939829696	0.2553751339	-1.077262577	0.5823300522	-0.642382935	-1.067572717	0.9142207199	-0.7163244942	-0.3948419159	1.593868592	-0.8921606215	0.1216227032	-2.221912884	0.2276241806	-0.9215986239	-0.2202214223	0.0832847375	-1.844618295	-0.4306859082	0.496998148	-0.1928419951	-0.07678846589	-0.5063249972	-0.43508029	1.113727977	0.1814614689	1.009304792	0.3286026219	0.786604138	0.0849022232	-0.05481339515	-1.279103521	-0.01467946502	0.6539694887	-0.9480156938	-1.234835117	0.5727104195	0.6996474547	-0.05157600418	-0.3096403875	-1.771123367	0.02185751829	0.2653944716	0.2420486683	-0.7422691168	-0.6783579555	0.1726082703	-0.8535385756	0.7012584289	-0.1701295524	0.8487782861	1.408091408	0.2891953753	-1.095510658	-2.299330054	-0.0178995642	-1.534267056	0.2139117244
