melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074
-0.09178668405	0.6057855355	0.5789167789	-0.2454166941	0.6463912271	1.671614612	0.2997137364	-1.272186982	1.690762375	0.9236641815	0.183249242	1.303540403	0.1893242115	0.1852259333	-1.075296932	0.7077707463	-0.8219079286	-2.582963867	2.051469731	0.1161647708	0.2630151991	0.06256825676	0.9907013512	-0.8631874908	0.5990830931	-0.1731352775	1.634435556	-0.8493042954	-0.8420125303	1.169552276	-1.123150733	-0.1660244384	-0.8236730405	1.116519145	0.04094850518	-2.257531457	0.2268011603	0.2779441932	2.29780399	-1.111587522	-0.3837450083	0.4499701988	0.2006056527	2.648303177	1.046683501	-0.5355758255	-0.9994120226	-1.852122503	2.764291381	-0.282545888	-0.12552265	-0.2239107042	-1.575297864	0.376017182	-0.5207448877	0.7972237699	-0.5500752411	2.578307608	0.6473771864	-2.110714675	-0.8094182358	-2.061084907	0.1659565754	-1.151670446	1.369303691	-0.1394976133	1.928433118	0.7098590424	-0.3351188719	-1.556006034	0.4819840258	0.4853205563	1.108354507	1.443892282	-0.991160993
0.1808092403	-0.9296470047	-1.048215579	1.134463847	-1.04509097	-1.155997683	-1.137568016	-0.7030175856	1.758515728	1.353972745	0.1281616358	2.534393344	0.7589446868	-0.2990209276	-0.4870727667	0.562414528	-0.3954865477	-2.738200767	2.147609318	0.6417672537	-0.1332144041	-0.005736050818	1.565494981	-0.04709653477	-1.76953694	-0.03488070445	0.2861187127	1.080563561	-0.296346828	1.483978173	-0.3779357061	0.1134699236	0.1645234013	-1.869238028	1.156261458	-1.671862717	-1.555517236	0.2889374852	0.135786453	0.08725789987	-0.1218669584	0.4928369109	0.7897840781	1.053824037	2.080357519	1.266954055	0.09914310389	-0.8532376231	2.56252776	-1.498775043	0.9650499823	0.8910931289	-1.082763518	-1.689631781	-0.1782964838	1.372104807	1.589366761	0.4611936812	1.579123736	-0.9012982377	0.5846423355	-1.17428512	-0.07578075745	-1.053642784	0.60954325	-0.3977667771	3.735679687	-1.161253811	0.3530450722	-0.75708806	0.0233881471	0.207137632	1.452546152	1.695035895	0.4287605463
0.5890807274	1.104787735	1.729965023	0.1826802415	1.275501056	-0.4118652309	-0.2685876653	-1.515537368	1.48117641	0.6304541979	-0.4457869151	2.471934376	-0.2327210485	-1.927398809	0.3944616639	1.221820162	0.02869811819	-2.54827909	0.6884966382	-1.389746036	0.5956833895	-0.4843553957	1.553294939	0.3918515419	-0.8511789013	-0.04573368116	0.3985996737	0.2450028467	-0.0614348882	1.29056587	-1.004549347	0.7955418391	0.06622648323	-0.6407070227	-0.2359937153	0.05642973743	0.5091005873	-0.05790471334	0.6402359512	-0.7686209185	0.2533604299	1.368524233	1.639318359	0.4405070551	0.6734281153	-0.2005219134	0.8528401294	-0.002850886501	1.053626845	-1.006332722	-0.9397621458	-1.022634369	-1.00981816	0.1565145359	1.020371692	-0.8933946699	0.9100266288	-0.5136431799	1.675977408	-0.07793863585	-0.1502094498	-0.005429870581	-0.8667823208	-0.4116485856	0.3215044655	-0.6513775647	2.240815203	-0.5775587212	1.04099384	-0.7838502903	-1.770392879	-2.497684825	-0.3850733135	0.8523172498	1.485735031
-0.1566097754	0.342454679	0.6813287012	-0.5515581946	1.653819442	2.355746753	1.939510908	-0.7660754548	0.3386384297	-0.08725091355	-1.542603998	1.551886347	-0.3740138153	-2.058446626	-0.02871635984	1.254269267	0.0094006447	-3.070883638	-0.1656855174	-1.273985317	1.082241525	-0.5234115586	0.7444981335	0.06542558393	0.5476335905	0.04168805208	0.06296036914	-1.472386445	-0.5637884448	-0.4245979668	-1.256298565	1.281975108	-0.7389203771	0.5390695348	0.2836689848	0.9323565686	2.121111126	-0.8679533206	1.062452581	-0.5563898408	0.2668755025	0.7558713962	1.656169091	0.8693055445	-0.6741434039	-1.52823233	2.203030061	0.846315062	1.349038456	-2.212684944	-1.317692303	-1.155215132	-1.47449428	1.564280024	1.225056451	-0.3268028048	0.2422598924	-0.5662895437	-1.35750387	0.5216074836	-0.6504181765	-0.04126424918	-0.2117603529	-0.2370299122	-0.688936824	0.09557467683	0.4345601298	-0.2431006787	2.257790617	-0.4020596973	-0.2172273704	-1.281102486	-0.4047222248	0.2257265125	0.003616574632
-0.9220683985	-0.8578226139	-0.7922599932	-0.6880359141	-0.3795967246	-0.01820250656	0.4040553226	1.075528296	0.3981170447	-1.059452148	-3.252417407	0.5259096891	0.1057254497	-1.967346249	-0.725522026	1.170064149	-0.1218684049	-3.227422301	-0.2860887934	0.3218507448	0.01607459099	-0.7796802377	-1.223694118	-0.7480321581	0.1872681615	0.2272419713	-0.457833153	-1.582061628	-1.15770354	-1.903574258	0.5064657361	-0.01661117922	-1.769078949	0.2102564852	1.436805663	0.6846190239	2.968163408	-2.10403468	-1.302594012	-1.087398214	0.9473224002	0.3850780791	1.94867394	0.952441224	-2.317605914	-0.621742383	-0.7811652813	1.06835502	0.874431871	-2.207477548	-0.3310733986	-0.111534137	-2.158226334	-1.306575526	0.5870327029	0.5355504559	2.398249387	1.763395023	-0.8954292538	1.289782224	-1.187775623	-0.9764428997	1.250228406	0.01063029889	-0.3725281763	0.7645298858	0.277443797	-1.584773239	1.018057345	-0.04368599311	-0.5822876525	0.5719522037	1.463816629	-1.024208997	-2.56504262
-0.9978677407	-1.062164009	-1.089611688	1.255303345	-1.427135422	-0.6428573457	-0.9190637238	-0.2280264125	0.8585790779	-1.498049883	-3.170954032	-1.126150157	0.4785979085	-3.420514177	-1.122583144	0.2256567033	-0.1656031358	-2.058573212	-0.3155521002	1.35873923	-0.4324514943	-1.109262262	-2.482508224	-1.891809518	1.161928164	-0.1867868674	0.5354297171	-1.24027463	-1.445974865	-1.44162173	0.7300365355	-0.9277323151	-2.089090878	-1.192737485	-0.01103024383	0.3883661514	1.114432919	-2.071950403	-0.02980047772	-0.7435015452	0.1793898258	-0.6893762239	0.752123289	-0.7567846607	-1.731328658	-0.824182701	-1.170209863	0.1822083349	-0.995146091	-0.06157735209	0.7323719889	-0.9530110598	-2.786775513	-1.279831978	-1.819627398	-1.145644415	0.9169677817	-0.6976125007	-0.03125866152	0.3831193606	0.5558648101	-0.0745579095	0.3927290424	0.1035862689	-0.6469440329	-0.3381670403	0.5327624909	-1.943160423	-2.254149446	0.189922319	-2.245195318	-0.4412753822	-0.8545976412	-0.7430810897	0.00594271442
1.154543519	1.543843829	1.291720129	0.08858795073	-0.8875579248	-0.9689227755	-0.9815530462	-1.279690359	1.078940837	-1.038807011	-2.205235702	-1.048654934	-0.7396231851	-2.793755885	-0.4630974556	-1.077274872	-1.302674766	-1.426622388	-0.7383080154	-1.060172291	-0.5905799719	-1.466837584	-0.6149320679	-1.900110496	0.7352097385	-0.5457101376	-0.3193770906	-2.029958832	-0.7614164465	-1.887507878	0.4542760688	0.2558489914	-1.848662737	-0.2935991608	-0.2346241349	0.7952828637	-1.461582211	-0.9958368223	0.7223240043	-0.8849305058	0.9560841866	-1.01147258	-0.8376427019	-1.066413132	-2.274277988	-1.72933005	-0.2861805581	-1.400750988	-0.8921128578	0.5350411255	-1.146810324	-0.5059232099	-2.222528364	1.855398067	-1.196279411	-2.499599113	-0.5199977141	-1.126291226	0.5795038855	0.7023247251	-1.904255091	-1.058568041	-0.4123476284	-0.2696980653	0.1651059667	-1.703917118	0.78014995	-1.110620483	-2.906075631	-1.955060709	-1.678171322	-0.8127931433	-0.7924904489	0.4639391428	1.76798982
0.1078972331	0.1954541128	0.2422736337	0.2073172775	0.1741306351	0.6359372451	0.2889321656	-0.5864341431	1.340879032	-0.299246266	-2.322773656	-0.7306790346	-0.8334454659	-2.369618041	0.08689318779	-1.73053045	-2.277956549	-1.512174865	-1.36176278	0.860452363	-0.4763521183	-2.11897341	0.2701186835	-0.8719725207	2.451167301	-0.5372025098	-1.780046536	-3.019617646	-0.5766182647	-1.988365027	-1.708836098	1.719516838	-1.592855372	2.317043321	0.07417576972	0.4550605268	-0.07208865824	-1.172100543	1.740485365	-1.349920128	1.868815306	-2.273629636	-0.7080731586	-0.8732358055	-2.206677888	-1.896372446	-0.09191818911	-1.699791857	0.2517635564	-1.780313801	-1.312591401	-2.184643769	-2.080381718	0.722168614	-0.1624565119	-2.50077318	0.4871155329	1.22217349	-0.09008049024	0.2595649433	-1.686920203	-3.135312218	-0.8108695748	-0.7246384209	-0.5805309795	0.3116023199	0.7096395442	2.344745623	-1.582743296	-1.212986489	-0.7922882087	0.06535175132	-0.4638778635	0.7074880903	2.697797972
-0.983767375	-1.079827995	-1.102723877	1.139479528	-0.7676059234	-0.7294550868	-0.4235746274	0.5633185065	0.7945253468	-0.586661098	-2.794185293	-1.385432093	1.315661249	-2.986396662	-0.9545439241	-1.372200295	-1.422785967	-1.641589001	-1.15048013	1.298012494	-0.1785679718	-1.839773742	-1.831027439	-0.04391100842	1.117681804	-0.5759622636	0.3262929058	-2.63019442	-0.666486637	-1.580499864	0.9685595698	0.813582855	-1.818698716	1.770932221	-0.1138093393	-0.5818432662	0.5475755052	-1.536826476	-0.3952336345	0.1613688146	0.0854900962	-1.335520091	0.705776279	-1.184064074	-1.782489952	-1.43025415	0.8301960907	0.126000108	0.9723441096	-1.421667613	-0.8227009939	-1.791730938	-1.953232942	-0.4354172495	-0.934747366	-2.317718458	0.5178084643	1.500361268	-1.179325087	-0.7099969732	0.1006104489	0.2393182981	-1.212777955	0.6078555226	0.232861828	-0.7330819772	1.614786423	0.8827517293	1.330895374	0.6093866065	-1.608509733	0.3722731934	-1.527028281	-0.3880750994	1.01542913
1.905307261	1.828678428	-0.396622862	0.8542170318	-0.8475693263	-1.380611624	-1.442573089	-1.190326242	0.3243287478	-0.7829060277	-3.099730746	-1.163940748	0.9178820938	-2.537874991	-1.353844509	-0.6452408375	-0.4027709875	-0.9206653672	-1.322208821	-1.351803162	-0.5771924761	-1.489234311	-2.517073277	0.04789018282	1.147666369	-1.085058971	-0.2802403192	-1.872794973	0.02073987184	-1.628353581	2.367246481	0.3579669724	-1.910592407	1.342332004	-0.430346783	-0.9461200793	-0.5206812264	-1.203012931	0.8627864768	0.5551627121	-0.08422596473	-2.422817824	1.156105773	-0.1110928686	-1.963591111	-1.170066835	0.2390494846	0.8121279477	1.166103246	-0.5446084731	-0.6151481781	-1.350910179	-1.306493796	1.353840429	-0.8899215839	-1.501672628	-0.6124640304	1.308967085	-1.775911306	-0.763463085	-1.379443851	-0.4460804747	-1.368104422	0.04206577228	0.353810672	-0.7851219024	1.971480178	-0.03699818385	2.615269242	-0.8673983704	-0.575924196	0.7593147878	-1.167960915	0.08647866964	0.6832893438
