melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144
0.9694486398	-0.1571881512	-0.8520795059	2.461900985	0.05023143801	-0.7473809086	0.0761693328	1.119101997	-1.609561346	-0.6764226616	-0.129129638	-1.506215397	0.8624912293	1.59199971	0.7817112776	-0.1398485698	-0.5405452287	-1.070391416	-0.3343516879	-0.2104300292	0.04081500218	2.121576942	-0.07115730031	0.8582022961	1.052603024	-0.6470261014	-0.2527617935	-0.126856063	-0.7375529203	-0.3522550609	0.5445501164	0.5757621447	0.4878936908	-1.863556033	0.1161487946	0.3951241803	0.3719104628	1.514813956	1.664976353	-1.734906355	0.5647367051	-0.2011913308	-0.3197545072	-0.09775661105	0.1294460472	1.592556501	0.2737375902	-1.396067302	-0.4536733915	-1.414895134	-0.9699102467	-0.263933901	1.807207294	1.11224851	-0.8673455178	-0.4109228254	-0.5615718974	0.4698402846	-0.3789384079	-0.2040789396	0.560422104	-1.01578055	-0.2146404928	-0.3988080827	-0.1542476551	-1.896646613	-0.3020239738	-0.3429252099	-1.741866555	-1.00467797	-0.6971778834	1.081874362	2.165925633	-0.5512204469	-0.4845227419	1.436830653	-0.8363114548	-1.132119567	-2.727870258	-0.7328232845	-0.2819249117	1.522421864	-1.059638587	-1.224615012	-3.003819279	0.4892003546	-0.9457395105	0.3049743595	-0.5175444717	-0.8490871248	1.337919834	-1.159749407	0.0437804597	0.5044510857	0.5080636448	0.6422746993	-0.1605450527	-0.7266343417	-0.7240469882	1.182872813	-0.1219314651	-1.963152003	-2.499870721	-0.8295115976	-1.626742627	-0.3880781832	0.6209579805	1.01698546	0.1303819205	-1.482079304	-2.333675475	1.307296718	0.5713677056	-0.4152498021	0.8946744563	-1.809148373	-1.219196682	0.753448812	0.4259226341	-0.00899578245	1.397533662	1.811331413	-0.2916059401	0.8326867964	-0.2532792957	-0.07583444027	0.2328877375	-1.133581311	-1.148308894	0.4797372527	-0.2681903808	0.1078682813	0.3062627923	-0.5815297523	0.1541688061	-0.946890106	-0.11774988	0.1381811071	-0.1641085991	-0.1524625794	-0.08180277704	-1.582474575	0.0162604977	2.171788624	-0.815698826
0.9574263857	0.02216149265	-0.6160986053	1.82660015	-0.1844631316	-1.332841688	1.052181683	0.4637009814	-1.698514323	-0.9189695259	-1.125471455	-1.020728098	-0.3522010847	1.084090392	0.2536738737	0.32787285	-0.8932046576	-0.1320850283	1.333970748	-0.1400831481	-1.274419195	1.786160954	-0.3714128612	1.069058183	0.2052375807	0.2375016009	1.454980803	-0.7056930392	-1.124686931	-0.4288257481	-0.2749883232	0.3627637027	0.09778262674	-0.1022987698	0.00683094738	0.8453514861	-0.648949794	1.124335409	1.416161217	-2.325578963	-0.1908999748	0.3648345445	0.6646765528	1.362791351	-0.2944011488	1.277982506	-1.256711439	-0.2248803714	0.8998310381	-1.330193197	-1.082319133	-2.386438365	-0.9114613297	1.246608754	1.469233519	-0.08656347795	0.09054776969	0.144546834	-0.5346919526	-0.8380438518	0.6794493078	-0.09229449119	-0.5261394941	-0.9701856115	0.5464196104	-0.946468507	-1.155576346	-0.6912467263	-1.46710879	-0.7211232144	-0.3667729819	-0.01928506219	0.8076322051	-0.5752024295	-0.9514443272	0.9746182543	-0.1453922863	-1.483593093	-2.191770845	-0.2093515129	0.8035139441	1.585263213	-0.6847268194	-1.09455849	-2.693704705	1.111166637	-0.5198116279	-1.355567207	-0.147624874	-1.382978035	-0.08983077897	-1.225575882	-0.9882348779	-0.3660932491	0.7467365749	0.0743842724	0.09544573716	-0.5566144266	0.8124695777	0.8971841762	-0.4041560215	0.2268463713	-2.962968818	-0.9149066341	-0.9286666036	-0.5539726116	-0.5343457134	1.401238036	-0.4948507894	-1.166481469	-1.137538539	0.3065890044	0.5384527071	-1.280854957	-0.2289038464	-0.4981497888	-0.4874704614	-0.2229228265	0.1842812579	-0.2413756975	1.802258398	0.5227456306	-0.5382870696	-0.3229834621	-1.360529287	0.264237194	0.5177436801	-0.3538098481	-1.276922347	0.02907939259	-0.6750203642	0.9337371679	-0.6509320304	-0.6770263058	0.9151674094	-1.474425147	-0.437598567	0.1382958911	0.386641974	-0.0800285244	-1.063046008	-0.7611321892	0.3711944635	0.0260995624	-0.4199107332
1.081328508	0.1289252879	0.5204017035	1.349041271	0.02573724962	-1.266428995	1.135921648	0.7532416512	-1.514310816	-0.963911341	-1.44030255	-0.6067449241	1.556091401	0.8535233685	-0.01424103264	-0.7981203132	-0.7403186654	-1.188734949	-0.8381458808	0.1736260809	-1.276958059	1.638155166	-0.5359719403	0.2016946282	-0.6736287469	0.3236896253	-0.901115174	-0.1832017455	0.04740137929	-1.12289304	-1.130377055	0.8054416839	0.6935586388	-0.3950802848	-0.3095233169	-0.8053543782	-1.364490415	-0.2119476903	0.2672188649	-2.225814422	-1.03347208	-0.2219889326	0.3909357947	-0.7205042895	-0.2711082583	-0.7334896792	1.755196559	1.469685414	-0.3377693419	-0.7816228462	0.3189302987	-1.478746268	1.213606898	1.646379873	0.6979050451	0.4202613728	-0.9640887481	-0.7414673066	-0.1490280066	-0.8669867929	-0.6561372842	1.000124977	-1.277102446	-0.1024752484	-1.168174519	-0.4797734505	-0.5320150401	-0.6619427166	-0.3403448504	-0.6792256819	-0.201716746	-0.1087954282	-1.016818827	-0.2519499585	-1.37439597	-1.207424007	0.3469236268	-0.6460693607	-1.038068759	0.3739246533	0.03376591891	0.4905034193	0.3264722606	-0.5963497174	-1.416426514	0.9794110958	-0.7236292219	-0.5734000024	1.059395678	-0.3747195974	1.005977796	-1.742220221	-1.349086858	-0.4452553516	0.901671339	-1.343585987	0.1828383524	0.432288659	-0.3577712004	0.6478266293	0.7509349773	-0.4076704132	-3.18105457	0.1150504747	-0.6199192374	0.09702653508	-0.8719564652	0.4894200627	-1.077986727	-0.5382916649	-0.1177923805	0.852367714	-0.6847731811	-0.350735477	-0.5022203758	0.1971730496	-1.455623808	1.017101618	0.2559271995	-0.01361683925	1.135148008	0.7928539213	-0.1863136369	0.7205570218	-2.615020124	-0.6440448153	-1.229660589	0.3562107824	-0.5103037191	-0.7332332824	-1.266139459	-0.424062964	-1.267631959	-0.302060028	0.8953386696	-1.635921025	-1.264309378	-1.207838459	0.8438681481	0.5948131502	-1.1342371	-0.1304466465	-1.254966063	-0.2200515454	-0.19890609
1.030483444	0.1425487338	0.3838183249	1.411930346	-0.1497931874	-0.8135015616	-0.08077410376	1.465902139	-1.354175545	-0.9370043299	-1.523404752	-0.3110203933	-0.7483864343	1.021938646	0.2545161793	-0.2565310757	0.08609991142	-0.2437661178	0.8075660758	0.3723692637	-0.9366848384	1.899354418	-0.01152900729	0.700990776	-0.157864908	-0.823086304	-0.6427476564	-0.005257019875	0.3589251682	-0.7768363952	-1.434613321	1.626834943	0.5385497086	-0.04178549951	-0.07056070029	1.952822342	-1.041675755	-1.612136971	0.5896998016	-1.644340107	-0.788411888	2.071463915	-0.5145002681	-1.444369315	-0.5592530925	-2.605571543	-0.05068034974	2.131020715	-0.8802189926	-0.6624202087	1.072620312	-0.3616389109	-1.640712183	2.012466648	0.5048430551	0.1498809262	-1.290526682	-0.8316191797	0.2295699829	0.4812295555	-1.66785339	1.384765354	-1.153747537	0.4989463216	-1.148957157	-1.067835664	0.7701958953	-0.08582250142	0.3176648529	-0.2167498288	-0.8388973434	-0.7323042562	-1.7776235	-0.532391344	-0.7214443668	-1.255693099	-0.6313387788	0.04762820109	0.5586984444	1.273940701	-1.232814606	0.459275409	-0.4319357958	0.3715732499	-1.300329264	0.7447422917	-0.1583862645	0.1146897597	-0.02899570385	-0.3508369701	-0.3701892075	-0.7944136062	-0.8485038212	-0.4283784852	0.4523613248	-1.119974182	-0.8911536648	0.5600144691	-0.1904972577	-1.002438927	0.7321035309	0.9492935493	-3.484860375	0.4302824377	-0.3129300606	-0.1597917164	0.02256799717	-0.8072978181	-0.9169050384	-0.505379231	0.118205316	-0.7462196853	-0.6052107683	0.05559912877	-0.4691592183	-0.3264704984	-1.633634409	0.1639387429	-0.2175953997	-0.01314505093	1.899864967	-0.02540426903	0.2845011306	1.120240625	-1.93135334	-0.09357216332	-1.848068752	0.3511489383	0.124033071	-0.7785375507	-1.17579634	-0.5030401224	-0.9869601831	-0.6753129644	-0.6789792912	-0.9250119462	-1.889601312	-1.796559	1.448324178	-0.0393568749	-0.1806190593	0.4452629745	-0.7862342662	-0.04494846689	0.2613804833
0.904842075	-0.04004340695	-0.6740867291	1.967448325	-0.09490869178	-0.837813543	-0.07963503677	1.002923173	-1.793604024	-0.7307607734	-0.7637220458	-1.239533951	0.4743174604	1.060679858	0.4435271553	0.8574182707	-0.1727333011	-1.206497911	-0.5080230324	-0.04226064025	-0.2179767202	2.419310336	-0.4366610368	0.5561177189	0.5181979257	-1.225699494	0.6036293089	-0.3014092066	-1.337134378	0.1857001031	-1.227272039	0.9091655736	0.1426513419	-2.249785813	0.09108187088	0.1060422635	-0.366213206	0.4508161575	1.779536842	-1.896877797	-0.3242965989	0.4604658648	-0.8821727902	0.4807301076	-0.03577930151	-1.867967517	1.786463208	2.543237512	-0.5713715525	0.106421323	1.173025874	-0.1885699606	0.5192995622	2.047975822	-0.1952663221	-0.1196312499	0.7032813245	-0.7239376476	-0.1105756418	0.8782551361	-1.155729956	1.624677571	0.7233274591	1.116516944	-1.250246532	-1.651413834	1.067375737	0.3766986528	0.6400333328	0.001447672686	-1.274540222	0.5523244613	-0.1138417461	0.1338268735	0.24336376	-0.2826998766	-1.05432929	0.2781831687	0.889872484	0.237863381	-0.9083343835	1.489109141	-0.8536929996	1.61811445	-0.5023477583	1.147318212	0.4037143566	-0.258103206	-0.4544426919	-0.3202204655	1.594610315	0.6341044217	-0.7542595566	-0.1571553193	1.582220292	-0.3748823679	-0.2335620269	-0.07356260561	-0.4161092374	-1.055742134	-0.3806653856	-0.1741510847	-3.007760768	1.094647305	-1.117914636	-0.5956463302	-0.2839864582	-1.861706216	-0.6352499472	-1.19514131	-0.06974939017	0.1337428799	-0.3819792003	0.5085934937	2.392366646	0.1523085211	-0.4894470118	0.3827513187	0.4960684769	0.1001396111	2.241772755	-0.5270574503	0.6402233912	0.364913282	0.08510256608	0.4478033509	-1.056552323	0.1324225245	0.2548699629	0.4656509819	-1.343343547	1.277087739	0.6134544742	0.2005034178	-0.02645752848	-0.8862259464	-1.300616735	-1.481957652	2.782466539	-0.6233285737	0.3867275809	0.2374707584	-0.006689312122	1.312421325	-0.03085547507
0.8559945964	-0.02388615469	-0.9225888453	1.878996738	-0.1061574588	-1.356455678	0.8931529953	0.7427615318	-1.461528014	-0.6281422748	-2.046993105	-0.5830207607	7.848414174e-05	0.8020696338	0.1369469212	0.4513782255	0.1354449334	0.5793786035	1.814997396	0.2539182325	-0.03021753596	2.184696868	-0.4315834168	0.5750270146	-0.6041152337	0.3743438116	1.286518567	-0.438857798	-1.053726464	-0.2087174332	-1.309331685	0.9731489801	0.7522979115	-1.761459865	0.06532404885	0.8143774222	0.2777494167	-0.792664747	0.9160509053	-2.375163022	-0.7153228704	1.005958353	-0.4196979951	0.1808737565	0.1615007506	-0.957658172	-0.4471991532	2.930541544	0.335599578	1.187495788	0.8517488705	-0.2225361966	-1.776633287	2.168846191	1.636106015	-0.1919997066	-0.01630610435	0.07114362731	0.1133417075	0.7908134708	-0.4459681698	1.333361106	-0.7006775692	1.598663535	-1.074195555	-0.0084841046	0.7617147262	1.984083266	1.40157156	0.5785983245	-0.2003808484	-0.06473125003	-0.9303317532	0.7282980762	0.839059037	0.06026182088	-0.8121785202	1.150959367	0.7454203164	1.462233233	0.01540016263	1.755395503	-1.162019927	2.111169409	0.237705583	1.721162158	0.2566372273	-0.5254322561	0.4991658974	0.4739076562	0.7970899991	-0.5253132396	-0.2537591467	0.1861643145	0.6156252286	-0.5525966284	-0.5810484745	-0.01077468005	0.113984075	-0.4932312863	-0.1194019094	1.327358108	-1.70382615	1.157112581	0.3842645068	-1.016328014	0.1734871696	-0.52891678	-1.447831429	-0.6623293632	-0.1162984695	-0.08747686567	-0.8501903612	0.2038889072	0.6590997484	0.8975951429	1.467017855	0.5324910586	0.9278899528	0.3384116454	1.649059469	-0.4798472569	0.5380316614	-0.5124966597	0.5634849152	0.2091585375	-1.262043943	0.5245840109	0.4343648731	-0.09928707269	-0.7842312377	0.3397170922	0.4404357306	0.5613285849	1.887252292	-0.07405373803	-0.4594066533	-0.6357867386	0.4337344716	0.1286728891	-0.843080864	0.8659957456	0.2334319249	0.48774193	-0.9372616141
0.7803429996	0.1242315686	-0.06784840723	1.142001717	-0.129606308	-1.232898764	0.6687920998	1.120460955	-1.226450651	-1.073278654	-1.546276215	-0.7104258794	0.9054408532	0.5333271641	0.261390444	0.08478240115	0.5800769522	-1.51814269	-1.06855057	0.4709900981	0.275440931	2.271263904	-0.2586153342	0.7075053239	-1.129756034	0.07604368426	-1.160531061	0.5632073494	0.3958225207	-1.149082512	-1.048931452	1.236410437	0.4393713413	-1.091708769	0.3689771689	-0.8911360785	1.207479657	-0.1878745898	0.3825068424	-1.195391161	-1.453447283	0.1147836202	0.3349449287	0.3416372866	-0.2080848321	-1.071594167	2.105433187	2.137253737	0.2006505138	1.937925593	0.7503312361	1.177029811	0.2215200169	1.336333507	0.5955861479	0.1210363282	-1.155904282	0.5593084542	0.03987529085	0.008684452189	-0.6199073223	1.654992601	-1.217851351	1.699664944	-0.1269037134	0.5964821068	1.225166258	1.613555641	1.90373947	0.8660262291	-1.798640594	0.6072088198	-1.31105305	1.271402783	1.238621056	0.1040062291	-0.1202173603	2.848018983	1.330081097	0.9926435859	0.6018628466	1.255894088	0.7349876965	1.572938683	1.127297673	0.9886888428	0.6391412405	0.801399144	0.7441394563	1.473034909	0.722468781	-1.149212874	-0.1078542228	0.5015840226	-0.2360797168	-1.07447332	0.3732234618	-0.2817528265	-0.4574020519	0.006892614718	0.825557044	-0.5249047857	-2.23387498	0.5995517314	2.83354034	-0.4489496572	1.909869862	0.2955626709	-1.486842707	-0.499185917	-0.8926347592	1.297596401	-1.180991688	0.7029711834	-0.3159440109	0.9958541702	0.2972765977	1.901077662	0.9296650714	-0.3382589878	1.404526946	-0.4009958578	-0.02994691784	0.3535679562	-0.09954975583	0.09204237519	-2.123666095	0.6772875815	1.133086452	-0.3859230189	-0.4381776063	-0.8467407774	-1.773263053	1.487019727	0.956778289	0.08904810085	-0.1500192119	-0.3291645453	-0.5094186437	0.3553282888	-0.8370016399	1.495073731	0.0397680564	0.2397392344	-1.836714728
0.4680676458	-0.1472878408	-1.075961754	1.975108805	-0.09475656294	-0.405143887	0.7750824592	0.9653636046	-0.8672975281	-0.6014582036	-1.266003164	-0.6398826829	-1.020667148	1.115077493	0.8674606497	-0.619390231	0.4113123973	-1.324616553	0.7896132961	-0.0421324958	1.287921925	2.026793752	0.5111922786	1.034579891	0.6311988654	-0.424803682	0.873968871	0.5452059298	-0.3308315045	-0.2742828047	0.02514742441	1.393405044	0.6993388214	0.946275249	0.5337427844	1.166489418	1.303298307	-0.7867135961	1.073771461	-0.5630176272	-1.252920683	2.137680789	-0.9160819604	0.5986658314	-1.201636673	-1.359518721	0.7384924314	0.7343988302	0.2661578009	1.008197502	2.064843864	1.374704786	-1.955612077	1.195455104	-2.437289293	-0.258393223	-0.4260522085	-0.6494798906	0.1360672244	0.6357240584	-1.543738114	1.91578897	-0.8716723098	0.9257147742	0.2649569877	-0.1166260618	0.9922926109	0.8221947527	1.7063884	1.429017393	-0.6689507072	-1.559684204	0.34229405	0.05979079568	1.164636062	0.413099126	-0.9638663685	2.831788098	0.9545218867	-1.391248746	0.7417217171	2.039492091	-1.263542733	1.606334499	2.227131055	1.054141468	0.09853325578	1.214333062	0.1109923783	1.063335779	0.3225590067	0.1248609028	0.1462535997	0.3496942134	0.9196615611	-0.0582279358	-0.1479373312	-0.282406894	0.3655324105	0.5014601172	0.8531585774	0.629466613	-1.607923399	1.321047775	2.302826034	1.965050188	3.901522046	0.9208087043	-0.130353992	1.318556046	-0.5823771787	-0.9616068505	-1.483203147	0.1733588202	-0.7165135372	-0.7514952733	0.189990234	-1.750139399	1.164683764	0.1680289822	2.024790629	0.5737671607	1.110069368	1.686105526	0.9590197263	-0.1549877135	-0.979366103	0.9920002232	1.595049163	-1.741080748	0.6210040034	-1.14572218	0.5891953257	0.4368768461	-0.3332377816	1.453715666	1.596648568	-0.4038774298	-1.493033366	1.159643157	-0.102021316	1.093988339	0.1045546585	-0.0592182244	0.5504832202
-0.8520895136	0.3159937623	-1.472995218	-0.5777066489	-0.5809040002	0.8793182717	2.203776424	-0.280630523	-0.7953472659	-0.3506875252	-0.07719474223	-0.564945135	-0.6219818411	0.2489099202	0.7380970219	1.817463556	1.04608572	0.764282538	-0.8179733456	0.7553890673	0.7619244081	-0.3711025098	0.8185231356	2.718003057	2.137015202	-3.563171266	1.583151089	-1.599810662	-2.827387164	3.063040263	0.1366782756	-0.5301339501	1.20735063	1.42427911	-0.268638147	1.064503849	1.799431346	-0.1438183002	2.61268868	2.479300327	-1.72707637	0.06063312595	0.1537082189	-2.354521333	3.601529343	-1.595890837	-0.9314783844	0.1081795196	0.09723412934	0.4543711059	3.087300397	1.089611931	0.2054104823	-0.06831779424	0.490568963	0.3357406709	0.4022764069	0.004256115439	-0.8279468064	1.626828605	0.4531729254	1.885468536	1.897811603	-0.1840836338	0.1959234253	7.719711083	-0.6053856114	-0.4632579234	-0.1041856829	2.531977317	1.09193908	0.01144008674	2.822164534	3.448972052	-0.3701029889	-0.02343451654	0.5693590651	2.74978455	0.6574199055	2.578601325	2.415885577	0.6996609438	1.384729201	1.15719731	1.719517302	-0.7274693787	0.9698047868	-4.708705214	2.112399627	0.04913726087	-0.2788354197	6.129344437	-0.8991449663	0.7771953458	0.3230202287	2.459233505	-0.5288716988	-0.1854160698	0.2550868198	0.4180880559	0.6981137353	-0.6775010531	-1.100510716	1.979642874	2.054241572	2.663526918	2.687412177	0.6316070973	3.603436189	0.8558681549	0.08924203658	-1.45573985	0.8256347526	3.111350281	2.059810677	-0.1604306504	2.508389143	2.312547307	0.6292689193	0.1978418859	-0.5377266302	-1.135929067	0.9604800006	-1.728668789	2.490977105	1.713356611	1.801942233	3.286302108	1.990293958	4.649054321	3.89905607	1.277439058	1.311248814	3.191624465	-0.2275934641	0.8121082924	5.808874454	3.851633835	0.8804790319	-0.5764570534	4.248092272	4.981739304	1.234633963	-2.024346703	1.627864243
-1.953579921	0.7654044135	2.146893775	-2.681313638	-0.4566052065	1.25097371	0.4041806409	-1.534647261	-0.6058699511	0.3601557692	1.062496948	-0.6331310503	-1.44930449	0.2991682808	-0.06764298029	0.6659892315	2.366587737	-0.5129683782	-0.9420389802	0.2828899435	-0.03582055183	-1.464173647	-0.06063824629	0.309120517	-0.4605169236	0.7873723003	1.351203155	-1.446030052	0.3962141412	1.405833482	1.208517043	-1.571832878	-0.4037264908	2.972153719	-0.8912731634	1.028271313	3.321282441	1.818512187	-1.072037263	-0.2871510029	-1.749826796	0.05551844767	0.9301022772	1.176652178	4.079691114	-0.8814770928	-1.392649601	1.430628306	0.1776000832	0.06432435469	1.241089165	1.185643543	0.75758409	-2.219530512	2.541262087	0.0802523102	0.9058777212	1.554556525	0.2249692514	0.9495044127	-0.3092675623	0.5819844037	4.862554552	-0.3924195608	1.508709579	2.792955565	-0.7964011257	-0.02597399675	0.08104049242	1.882474861	-0.4807397416	1.589848474	1.970792579	2.740380017	-1.032621679	-0.1609795611	-2.302465185	2.663614271	0.3951507639	1.091961491	1.713754554	0.1666462567	-0.783848544	0.3858904284	2.115532129	0.1584059243	0.7626970856	-0.945591921	0.8676000471	0.7178786732	-0.4926333462	1.972459925	-1.078574542	0.6362706355	3.245066807	1.50962774	-1.085331446	1.52527294	0.1151226712	-1.074401852	0.09680085436	1.451634545	0.8698286112	0.1466288246	0.3895441691	2.00665167	-0.01429703826	-0.1253264263	3.506442563	0.5419862019	0.8872973226	-1.395801626	-0.1832674048	1.366825752	1.370699868	1.262048128	1.366671734	2.586688541	-0.6630672274	-0.4015731963	-0.6174127086	-0.8149578049	-0.2147585357	-2.070186472	0.9311255365	2.56316115	1.612805474	2.590161172	0.793095961	2.402678581	-0.1264766564	-2.126199796	-0.9213255731	1.461836296	-1.241699664	0.8811786488	2.382121972	3.417667749	-1.875546749	-0.2813186752	2.027100601	3.303481511	0.3777204246	-0.7672968077	0.1883762445
