melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145	melodic_146	melodic_147	melodic_148	melodic_149	melodic_150	melodic_151	melodic_152	melodic_153	melodic_154	melodic_155	melodic_156	melodic_157	melodic_158	melodic_159	melodic_160	melodic_161
2.571316045	0.9333605456	-0.1853781792	0.09654296471	0.4191967443	0.5600709509	0.6811975147	-1.565287023	-1.982782614	0.6391505724	2.543233113	-0.6128260113	1.837740916	0.600345698	1.478660829	1.391154596	-0.468321242	-0.8910175124	0.1936642317	0.08315639878	-0.7542543095	1.071189198	2.110009907	0.08846762083	-1.132465559	0.2201407922	-0.6410374568	0.3850868604	0.805785866	-1.672089808	0.7644936907	-0.074824876	-1.006850479	0.2748864916	-1.220941647	-0.06073189872	-0.195329246	-0.6440329707	-1.231374059	-1.016763019	-0.596934433	-0.3934590643	-0.7816647975	-0.08415480072	0.3686223795	1.734819485	1.068557166	0.8647504378	0.1160191269	0.8440250619	0.085648014	1.287067944	-0.6915727772	-0.2104931098	0.3013201166	-0.1915745355	0.2446139995	1.470751145	-0.3350790288	1.163810691	1.129360839	1.802401661	0.02467250693	2.583533297	2.352916594	-0.1204728438	1.048119112	-1.135584015	1.013285092	1.41224953	0.8655420632	-1.451926547	0.5187490747	-3.476259517	1.18648669	-0.05345732954	-1.478923743	-1.23455805	-1.451372384	0.7677037657	-0.1653237762	-1.818299848	-0.5998577153	-0.1120668741	0.03537165763	1.505349803	-1.100551873	-0.4760368653	-0.3226394667	2.22131042	-0.2065792074	0.2323014196	2.007266645	-0.7927544054	-0.6985146106	1.590014973	0.9570143279	-0.1565900555	-3.024707863	1.560396536	-1.872200073	-0.2554050881	-0.5390403686	0.2351060104	-1.702108755	-0.4717043743	0.1672969257	-0.2239768076	-1.694680804	-0.1477355999	-0.1280464857	-0.7044025285	0.4737528402	1.43548715	0.4341904424	0.8297821643	-0.2307071201	0.4802354747	-0.2767793712	1.114251912	-0.7241858576	-0.6796750264	0.03212235654	-0.2257223336	1.026560348	0.4200904656	0.5942507773	-0.06695872256	-1.354774022	1.519473009	-0.746718768	-2.126299541	-0.3118462628	3.100990241	-0.7656656921	1.744594205	0.205951469	-0.6914503163	0.735924465	0.04267019886	0.1445078444	-2.251909251	0.1392542715	-0.7584241013	-1.154486088	1.289846528	-0.1830550237	-1.221765201	0.07428504239	-1.729122242	-1.81806088	0.853711949	-0.2377186607	-0.8638813824	-0.3240475095	2.475599479	-0.7709640031	-1.782455351	-0.7192380429	1.86397546	1.32847868	0.2251328969
1.907012093	0.7246446177	-0.3158469917	0.09629837747	0.2598566902	0.1989310806	0.3531407286	-0.6546072987	-1.785453765	0.3418473388	1.669131913	-0.7269580938	1.846971511	0.3962200385	1.702895554	-1.066346522	-0.395263686	1.98881122	-0.2002548132	-0.2185217697	-1.670631182	0.5115729951	0.1446082231	0.1454508967	-1.318942546	0.4398131274	0.2890705465	-0.3049487088	-0.04145081448	-1.65985055	0.03546349266	0.1920682599	0.9657933388	0.7176793174	-0.8774247228	-0.06921080013	0.3319310466	0.1241629954	-1.036859329	-1.356347283	1.22310872	-0.8240329376	-1.54363755	0.06217514499	0.2210442387	0.03151125686	1.289217332	0.6854343887	0.4211244021	0.2084841645	0.8670497207	-0.2329907982	-0.6781363468	1.469143823	0.4664760783	-0.00941419133	-0.81945854	0.7387603752	-0.1502828137	0.04191191007	0.5499286434	1.349817257	0.4015612155	2.275909414	2.804299895	-0.1951693019	1.457959105	-0.4343931184	0.8835476025	0.449794868	1.02624737	1.507859043	0.02439539368	-1.658353777	0.1299798999	0.09308988593	-0.8303374694	-0.8818542327	-1.328907736	-1.099245278	0.1231764319	-0.7583013051	-0.908148778	1.435664054	-0.294098363	0.7318179669	-0.8782009909	0.1150456553	-0.5659230903	0.3625209899	0.127912333	0.48386612	1.185615078	-0.5139620136	-0.3961742843	1.052485756	0.76227779	-0.5786346795	-2.114441092	1.315698376	-0.8213755491	0.9241630046	0.7524348959	0.1624881606	-0.6108713699	-0.2821750529	-0.1246123413	0.4832464705	-0.9348691677	-0.007036352245	0.09070563004	0.1787379156	-0.07880299929	1.100801022	1.024811358	-0.1900169226	0.1574240723	0.683242364	-0.7008602706	0.1492400396	-0.122666273	-1.087168399	-0.2461467414	0.4609385821	-0.1276505994	-0.2834312499	0.06835706352	0.2399091996	-1.376775895	0.8855866203	-0.484992713	-1.576429093	-0.08711420646	3.199820458	-0.1318496178	-0.3362170186	0.003343955793	0.8708136379	0.1800130446	0.7550115814	0.4734367785	-1.464207866	0.4834435943	-0.5295139022	-0.788337925	0.8113614776	-1.402427237	-0.9479574663	-0.1555540222	-1.444766792	-1.414352784	0.8453295774	-1.215148093	-1.300365048	-0.6646946354	1.24675703	-0.9909722001	0.7440620794	-0.5177531029	1.073418801	0.946825059	-0.06559023094
1.575247586	0.543777474	0.4665877783	0.05286820472	0.4370481864	-0.2210519495	0.1521833012	-0.1389242826	-1.393441011	0.08946639808	1.69476537	0.2564283977	1.450372835	0.1809686752	0.9505515207	0.4064078574	-0.3428403336	-0.3902131397	-0.2762342304	-0.5896212244	-1.329898259	-0.07230956764	1.016358107	0.4955335687	-0.6518067896	-0.3829130289	0.3180934443	0.144848421	-0.4547197253	-0.9380111703	0.6406636231	0.4737091072	1.101981712	-0.09210292098	0.3016727873	0.942424762	-0.2025140848	0.514129635	-0.4906331003	-1.315482706	-0.3544237026	0.9082152121	-0.4001348903	-0.1090033097	0.04905581639	1.379782514	0.4647882354	1.326224583	-0.5247040132	-0.2101313418	0.5877885968	0.9005144055	0.3717943744	-0.4773368725	0.760952118	-0.1441334801	-0.916002702	1.286113598	-0.4962409271	-0.546938522	0.4759712006	0.306109767	-0.1594355699	0.6901536342	0.5168057061	-0.2005824094	0.4461912078	0.4139549382	0.3116471258	-0.447536355	1.374311135	-0.4850050417	-0.3847633842	-0.5701856451	0.2447625619	-0.1912946785	-0.3630608413	0.3695115702	-0.5764162571	0.5443449162	0.8078676325	0.6917972694	-0.8691320746	1.166717946	-0.2422668559	-0.3487516472	-0.7795990997	-0.04329355686	0.1160157713	0.1524525366	-0.09868278793	1.048052219	-1.296129735	-0.4642981317	1.317640327	-0.800741894	0.3617089235	-0.8397108171	-0.9719578567	1.153100555	-0.2966922481	0.01341449464	0.5620267675	-1.174384228	0.9436212009	0.5537299554	0.6982445279	0.07073911233	-0.6061302747	0.9982294977	0.601651067	0.4381609775	-0.5442872452	0.5393406439	0.7974624094	0.07101355484	-0.1403037878	0.39921168	-0.8457389563	0.6270276048	-0.3793285145	-0.5259103739	-0.4311352742	0.2320349143	-1.562079153	-0.08309938741	-1.27419206	0.8334527062	-0.5327069166	1.335938803	0.5798434241	1.210129721	1.108395423	1.415174039	1.30068141	-0.04386130296	1.504030394	0.1539674295	-1.223451889	0.5651076923	1.489519189	0.4295342755	0.2551045649	0.08081418553	0.5455091462	1.269603443	-1.937710619	-0.1196541214	0.4839434434	-0.5596378766	-0.0747945279	-0.07238757924	-0.08595483241	-0.3907103247	0.8888709603	0.9931229679	1.09701077	0.8288322548	1.816019367	0.4454639221	-0.07431403107	0.3249874972
1.842018324	0.8368986394	0.819335589	0.3635568063	0.5751919701	-0.3810412307	0.7582102498	-0.7369982568	-1.099459642	-0.05171512309	1.535663616	0.5070761354	1.386583905	-0.1353581556	0.6604445871	-1.351050724	-0.287532394	0.3728814475	0.4624780419	-0.4510513031	-0.07435573128	-0.6604280819	-1.840990344	0.2030787494	0.09343081239	-1.001346047	0.1895053299	0.3323372994	-0.4633324875	-0.2897359867	0.954247327	0.533992813	-1.131932268	-0.6655200032	0.5090284617	1.446309324	0.257711725	0.209797697	0.08922990306	-1.54014605	-0.9202697645	-0.1295155468	-0.2665977134	-0.6842874552	0.3689171017	-0.9773247863	-0.3950685783	-0.5013648266	-0.6393947306	-0.2393844533	-0.1976707259	-1.080566778	1.587764876	-0.5532159583	0.5150280289	-0.1739446176	0.5466182291	0.2359594715	-0.6119865284	0.6149177357	0.8292188048	-0.1722006075	0.04196661773	-0.6658015781	-1.442883301	-1.369028024	-0.5967840507	0.5832579932	-0.1682484175	-1.342298868	0.7007033863	-0.4907550142	0.3742333755	-0.8857405342	-0.5944738467	0.6789874882	0.2486300533	0.5825242239	-0.2455248363	-0.7222464551	2.217456894	1.393775019	-0.5534543398	0.01225816177	-0.1832855742	-0.04254719227	-0.5462146296	-0.1790803213	0.09895523161	-0.627173102	-0.8899437646	0.9630134663	-0.5049376088	-0.1419763588	1.066669128	-1.522678994	-0.2638997641	-0.5111410305	-0.4428390041	0.8385235947	-0.884955497	0.3516638758	-0.4302461539	0.2908103972	0.4761849292	0.3637614006	0.3896952373	-0.07350637449	0.1313514397	1.497852827	0.9312213826	0.6283889495	0.4133916267	-0.3262105601	-0.9046963646	0.1019416268	1.681088094	1.298827928	0.04775433181	0.9953542264	-0.4769404222	0.4053672871	-0.5982285084	-0.007077338733	-0.5077376733	-0.5175698454	-1.741807273	0.4382015578	-0.6255164207	-1.000039118	0.2478576374	1.690780129	0.2863476355	-1.78674525	1.160050196	0.3608277189	0.2101269933	0.04477540131	-0.2254660036	-0.6243257957	-0.3623095557	0.845629679	0.2682017628	-0.7621631619	0.7629245243	1.786494632	-0.3260830628	-0.2997520136	-0.5203020514	-0.599768018	0.6595446992	-0.8173661505	0.6836574688	0.2686890379	0.1010454841	-0.03018051659	0.8052339227	-0.194072705	-0.8840769522	0.1918408351	1.224644026	0.3930112398
1.548961652	0.9716899113	0.1121435009	0.5936643713	0.2602821937	-0.2665254044	-0.5877511285	-0.5297311271	-1.345175284	-0.02785485734	0.861815879	-0.7431341693	1.831478432	0.4837827899	0.9202404129	0.0286996074	-0.3375285133	-0.9651130214	0.3824641667	-0.09068097259	-0.4056128545	-0.1252188165	0.7894385625	-0.3811676495	-0.1529966504	-0.5101614075	-0.4397204475	0.1420804177	0.7447965937	-0.3600296084	0.3521984968	0.2119424238	0.848284882	0.7935029823	-1.201757309	0.4427348985	0.9622214189	0.4287979402	-0.7564564592	-1.40525513	-0.9246893605	-0.376554435	-1.374307348	-0.6768815145	0.3643567745	0.8299470577	1.139096916	0.5587817224	-0.1145102571	-0.3573283091	-0.05455226524	0.9622830527	1.868357869	-0.2650993417	-0.2775166545	0.07029679615	-0.7658615186	1.283289986	-0.9361646012	0.3279292158	1.311411948	0.0915056539	0.1164265897	-0.8369913188	0.3602941841	-1.759811064	0.7197591203	0.3825360416	-0.1580197159	-0.4536368102	-0.3670415933	-0.2999338228	0.05493672126	-1.21080269	0.1858029351	1.107420724	0.469477953	-0.9266979898	0.08092170075	0.09371601003	0.9106501285	0.3715919678	-1.00249881	-2.012922392	-0.1060636928	-0.01313497046	0.02878067974	-0.3243370455	0.4111860764	-0.4597536284	-1.231148138	-0.009890818559	-1.92974734	0.04500515704	1.514208291	-0.2094002638	-0.1978058535	-0.1787752119	-0.4046048945	0.937216264	-0.5975205821	-1.129100552	0.2375171126	0.769750507	0.2695651122	0.9889998626	0.1867742962	-0.1824581891	0.263218524	1.364697432	1.084437001	-0.06651932559	-1.438144267	-0.4482689167	-0.5598432259	1.475583794	-0.4333001937	1.104175373	-0.1852780192	0.7649435922	-0.5034104628	-0.8481450144	-0.4757628943	1.075141346	-0.1943114043	-0.2872088697	-0.8433912186	-0.2323710385	0.2915151036	-0.4090825714	0.3106490365	0.7071855876	0.2230134521	0.2461417782	0.2286216226	0.3611300175	-0.06934970064	0.05512581076	-1.160152238	-0.2010254535	1.279002271	-0.1628830692	-1.343486392	0.2640441174	0.4209478262	2.027669227	-0.648333994	-0.8052583421	-0.1892089377	-0.8880181802	0.04635232959	-0.4738193326	-0.688378618	0.225216228	-0.2638238811	1.17693997	0.31926622	-0.9806699966	0.9704189264	0.2554298112	-0.08468964403	-1.123409464
0.9909840123	0.7534501539	-0.07122580223	-0.3388211354	0.1167280323	-0.3328864874	1.340795402	0.2381330973	-1.015108051	-0.1343793645	0.8833609468	-0.4754058919	2.062509646	0.7012565188	1.014204925	2.029874827	-0.5414989943	-0.2327363497	-0.368371864	-0.5781278246	-1.048270163	-0.2179576675	-0.4469856151	0.2076508728	-0.3136902737	-0.1875811884	0.6230961807	0.3511288692	0.783879205	-0.1689896881	0.433245945	0.8314904894	-0.9658495401	0.2474263483	0.1605889573	0.6161317082	0.2993497703	0.9114611956	-0.7066265725	-1.256204923	-0.7143748087	0.1854481158	-1.079039464	-0.2565442052	-0.4851064297	0.3660535104	0.7901971748	-0.2815877853	0.3341255801	-0.2092547303	0.9374548706	0.07648229117	1.416468228	0.8247712351	-0.4067697282	-0.1724509455	0.07524820005	-0.2968545684	-1.055828043	-0.7386311659	1.43727362	0.07487692742	0.03498980234	0.07711810155	-0.4030605558	-1.009897504	0.6664931658	0.09574124475	-0.5446162482	0.5997155144	-0.181714708	0.1296022228	-0.6069125932	0.2466687172	-0.1634836426	1.519307461	0.4494141074	-0.2506568376	-0.3247787047	-0.5116116314	-0.08286886754	-0.1074157754	-2.024837644	0.3116656086	-0.5748030973	0.03655848096	-0.3667202062	-0.2533935861	0.2558279985	0.008631058972	-0.1116731702	-0.5020437554	-0.4488822447	-0.0182388134	0.7613506188	-0.2713075809	0.02453711961	-0.07678808871	0.1478680117	0.8980311949	0.01634887792	0.8530727461	-1.217998904	1.011404905	0.4382780414	1.413348171	0.9775053594	0.9017932515	1.191437085	0.9361156956	-0.2884120652	0.6057821328	0.2275969781	-0.6083851588	-0.3505951699	-0.1913075367	1.08651421	-0.06879150733	1.844623506	0.3640595496	0.07899832685	1.242842163	0.02766505765	-0.5598499761	-0.3812820673	-0.4455159275	-0.7057599228	0.2335062848	1.014693692	-0.1639650127	-0.314263415	0.2145063983	0.8361626672	0.4169939531	-0.8082117781	1.141291198	-0.1518284694	-0.5568054678	-0.03502395295	0.01930308801	0.9213602427	0.4290481508	0.57670197	0.5454042456	1.443133512	1.541789694	0.09296254585	-0.356641106	0.2297019218	-0.8306439703	-0.102284831	0.1349940605	-0.07281664446	-0.5580094095	-0.3351444866	0.7597114552	-1.471590995	-0.7426489322	-1.020316303	0.1933137702	1.446745231	-1.123362796
1.458275123	0.9884403926	0.4217671183	0.2742881261	0.1825081437	-0.2850672998	-1.153810277	0.2162678108	-0.5434795009	-0.2390866961	0.86597035	0.245048669	1.30455626	-0.2500672922	0.7216205381	-1.53905534	-0.4694991211	1.452450518	0.1966847542	-0.9235067676	0.07317055606	-0.6811235691	-1.23652566	0.4389158408	-0.03271414273	-0.457902008	0.9699731633	0.4875335699	-1.321493805	0.1268337971	0.6872555641	0.6266984515	-0.1041330564	-0.1884207542	0.6741964842	0.9979444484	-0.03559745439	1.198662127	0.2051156529	-1.474327935	1.37842229	-0.04908965633	-0.3849966647	-0.3121374753	0.009407347767	-0.2198836482	0.2404285749	-0.774831561	-0.7554526395	-0.4822330498	0.6216983062	1.238316184	0.2105571786	0.2972167131	0.09797714505	-0.1364400146	0.4021988297	0.5737267117	-0.3360051575	-0.6633325947	1.215806687	-0.1117867129	0.01929182691	0.4576600794	0.4092014579	-0.2059718378	0.09093098104	-0.0360309508	-1.058066492	-0.4425094153	0.2597506001	0.4019252146	-0.6679579972	0.7300406015	-0.5432514211	1.354585506	-0.05569302812	0.4742218964	-0.3723257237	0.2077760747	0.6149696033	0.3190232678	-0.3543356605	1.293422043	-0.4490084956	0.08721589276	0.04257121312	-0.04314135971	0.5426844949	-1.286743231	0.8836367442	-0.03974085523	0.3733398915	0.1798915019	0.8992317722	-0.08555721477	-0.0242700716	0.1541851202	1.038607005	0.4364725781	-0.02786595257	0.4438041277	0.2167851701	1.086973428	0.1983222616	0.3737484649	0.51057901	-0.5379844209	1.362813207	0.1616963502	-1.225108916	1.201434633	-0.8281321561	-0.2100965265	-1.172220239	-1.317921921	1.306348284	-0.2762388123	-0.5912471196	0.6506755049	0.04859848187	0.2769669767	0.3808626286	0.31557555	0.03881288328	-0.5587362669	-0.1596168672	-0.224362324	0.8287010649	-0.2017238841	-0.1723999981	1.26688739	-0.8138610443	-0.640537303	0.31657079	-0.1589060251	-0.8195151738	-0.2657570001	-0.0572822927	-0.2055741847	-0.137569033	1.036584255	-0.9558058574	0.6735625293	-0.0589417426	1.016785329	0.03608875155	1.150044797	0.4172420171	0.4706102635	-0.1868025745	0.009261867187	1.188618014	-0.04166748912	-0.8690747798	-0.2901155076	-1.120730956	1.142100626	-0.3068308661	-0.7030496523	0.5413528294	-0.03553136901
1.985912879	1.145659367	0.07456867897	0.3882595906	0.2756304915	0.3384513699	-0.5629962254	-0.6277086559	-0.7195537608	-0.2658497183	0.7195146629	0.3615250082	1.511547116	0.408168467	0.05708103883	0.1131647065	-0.1119981838	-1.054058752	1.213371103	0.08214041706	1.001137996	-0.006615257792	1.417550277	-0.1613489444	0.4174717492	-0.4662141534	-0.407652802	0.9439629613	0.2973500053	0.04395015141	0.616581909	0.5731164702	0.1248557397	0.1331693987	-0.5828092892	1.256223654	-0.8025101602	0.795983214	0.7202764796	-1.104166902	-0.8525347258	-0.4965724184	-0.580272475	-0.4123841723	0.197065034	-0.5992755232	0.2420825629	-0.1618029317	-0.09553373072	0.1744742311	-0.1836681137	-0.6694546742	-0.9409776058	-1.446605425	-0.07364320323	0.5240594415	1.151366949	0.2317268321	-0.5329311286	-0.1361855781	0.7799042013	0.6609316235	0.01594087959	0.5055691108	-0.08567014489	-0.4789445224	-0.04708238659	-0.4920706115	0.3587467998	-1.253867583	-0.4349177303	-0.7898089914	0.3900306372	-0.6949101912	2.470222532	2.095770578	-0.1563030912	0.6711493202	-0.8274993668	0.8324888121	0.2195223805	0.3943599979	-0.156720424	0.3293835835	-0.3915744657	-1.100259663	0.07172078161	0.345466499	0.2767919872	-0.8135235025	0.6557045175	0.6786179963	-0.438098155	0.3327169437	0.5047385096	0.4313032653	0.001436825927	0.1405181154	1.857554547	0.3846888494	-0.6286643109	-0.8668109412	-0.4367927996	0.07555130131	0.8671371036	-1.161131785	0.2415608312	-1.216033483	1.508180743	-0.07081541978	-0.6410249188	-1.644538905	-0.5809711582	1.067178913	-1.211355674	0.5141541533	-0.6185368869	-0.2726160479	0.5834642229	3.01078436	-1.10350601	-0.6236363755	1.832243243	0.3541851985	-1.670279507	0.5722365042	0.8187583072	-0.5607462991	-0.2273185222	-1.761576922	-0.5934739668	0.2673211994	-0.1051263515	-0.5143026631	-0.2229258483	1.353559746	-0.8154389908	-0.09348956145	0.8448533241	-0.1341284056	0.1830882899	-0.5507794935	-0.6488205743	0.5942544533	0.1792511266	1.392232451	1.639167853	0.703024919	-0.6579786496	0.02032516194	0.04548305913	-0.7481830072	0.506603622	1.445383645	0.07421452513	0.6386934326	0.1979884547	-0.5403392909	0.2533874277	-0.09278369673	0.04533072784	-1.071718692
1.030519028	1.117593983	-0.4979093373	-0.04974730665	-0.1251013092	0.2733540219	1.214837668	-0.01490356923	-0.7336094891	-0.3229373757	0.3864912418	-1.020403705	1.940420268	0.2181018537	0.3710776031	-0.8733951762	-0.7023008857	1.313815653	0.7541698021	-0.2920265478	-0.03580985767	0.01754001535	-0.2524012684	-0.4096853538	0.1013085919	-0.1748194066	0.4108924122	0.4144473591	0.1315613625	-0.08725042505	0.2423114063	0.5899076584	-0.2417806832	0.4489641835	-1.042569804	0.488945728	0.3859112833	0.2624844925	1.071604563	-1.376690464	0.7584930724	-0.9387721057	-1.590770863	-0.2588299469	-0.3628561957	0.2195148556	0.2351178482	0.8294248344	0.579968852	-0.2039770231	0.215402209	-1.765314446	-0.8235571076	0.466124417	0.318351199	0.662116847	0.2916263954	0.6100400331	-0.3043865083	-0.2572552792	0.5624743537	0.7074811329	0.0748197759	0.6042413165	-0.3669663095	0.1146755035	0.6532232263	-0.2221818054	2.387744375	-0.8259545144	0.8699844325	0.872523237	0.1872089526	-0.6956358394	-0.1776022819	1.904337858	0.3061803242	-0.9616057685	-0.929348899	-1.86132251	0.5084763847	0.156181497	-1.745822166	0.5896635802	0.5038127985	-1.163700983	0.1021771837	0.6110006249	-0.1112100346	0.2776628261	0.1803082013	0.4802830042	0.2228730074	0.7955024683	0.7779899829	0.6831133536	-0.4607231134	0.4423760507	2.026857303	0.5174982811	-0.03134221338	0.4426984774	0.3842446094	0.2408974118	-0.5772152553	-1.296997233	0.3997876061	-0.6636417895	1.832149688	-0.3893365167	-0.4256014207	0.09891641998	0.3783617128	1.335754515	-0.3361011486	0.3406387057	0.1316391882	-0.2250010657	-0.170117022	1.247914398	-0.1038420182	0.05195392465	1.518085767	-0.08162682805	-1.711816859	-0.9338527184	0.6583060012	-0.2335991482	-1.350157519	-0.6455663825	-1.362409706	-0.4667276633	0.1921621986	-0.3698940217	-0.1472714468	0.1715026168	-0.4467682197	1.453303124	0.2381513344	-0.02720457613	0.2901125312	-0.322651028	0.4526888736	0.6295497858	-0.5971395007	0.6605061021	-1.277699548	-1.202383734	-0.9937107981	0.5688261154	-0.1689944978	0.05280406095	-0.2357712834	0.1970264461	0.6037606146	0.9820102349	0.09135660863	0.3548546506	-1.407081375	0.2983302994	0.577626088	-0.6934877955
0.733210689	1.046808431	-0.5454320588	-0.7547028514	-0.3863394892	-0.01190460115	-0.4146561371	0.8705546293	-0.8132783176	-0.6555456756	0.3495731151	-0.6921115502	2.091809807	0.3795491394	0.3139434369	0.08247154642	-0.7223758633	-0.3910391773	0.06735206336	-0.4749503119	-0.2157937834	0.1882101184	0.7344606637	-0.04432423708	-0.5139776981	-0.2174050348	0.7109425418	0.2843778559	-0.2213839665	-0.03669284271	0.6251339423	1.29945115	0.7114433976	0.8002355789	-0.5222996713	0.3367308508	0.3358811381	0.2403317873	0.8840932953	-0.7924111458	0.7131833029	-0.1198387343	-1.156351819	0.255943567	-0.6747155615	0.2013316503	0.06560050369	0.1465201032	-0.849273088	-0.535415966	0.9301476407	-0.3055841396	-0.6365495617	-1.574209059	0.4730573452	0.4346490799	-1.039342176	1.568010409	-0.3315448159	-1.154268474	-0.4292911227	-0.4772457805	-0.2040547834	0.1881499111	-0.5288732402	1.189107507	1.078949607	0.5118697644	-0.0695575522	0.07577244773	0.4447655667	-0.1791178941	-0.5374609979	-0.4695242038	-0.7226511463	0.8639385889	0.05509575663	-0.3685036425	-0.4966164144	-0.172018635	-0.7642785836	0.0737250584	-2.591611573	-0.8091314105	1.587961708	-1.073424867	-0.5546944596	0.8652331835	0.2856863957	0.1127452294	-0.115525112	0.6137255413	-1.520146549	0.5794170499	1.568456517	-0.2332254838	-0.6452487799	0.3122313374	1.772048456	0.934134412	1.192620589	-0.4695697835	0.583926634	-0.7827048279	1.27168181	0.07029371911	1.328605325	-0.6546141409	1.229746453	-0.7276262877	-0.4350568929	0.5169398762	-1.211270097	0.01218696932	0.3756761577	0.8652665839	-1.851674415	-0.4821710679	-0.7614265202	-0.03731533977	0.6942197319	-1.619244177	0.4499073299	-0.6987634905	-0.5750807357	-1.245930218	0.8189091555	0.2668890001	-1.308157533	-0.1087277198	-0.8202432474	0.8206631277	1.029513739	0.342031434	1.864359784	-0.2285464027	0.2408743246	0.7008811647	-1.414609227	0.7699446895	1.994121932	0.8483933669	-0.8651298507	0.7627981543	-0.5237083046	0.5888988858	-2.619188868	0.05724398132	-0.6249602426	-0.6265423328	0.3544695505	0.6247274179	-1.285861747	0.2830908959	0.7630528812	1.878382094	-0.1775867112	0.7304746414	0.4844662852	0.1434918972	-0.0750361129	-0.1953693858
