melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089
-0.2506060922	-6.015715719	2.843213881	-2.512823246	1.913582023	0.8376609057	-1.538664631	0.8106136128	-0.340015898	3.59763844	0.9932320277	-1.87231637	0.9748915869	1.530974738	-2.261166736	2.435037103	0.4345238577	1.852862425	0.1118705568	0.2378056248	0.7066445677	1.927420519	0.6976097043	-1.160225804	0.5812114685	0.080369302	-0.6853593898	0.6659703802	4.675084738	0.3716065534	2.344805512	0.007919622583	-0.09525706865	2.21496318	-0.4899486157	1.306957403	-1.041217439	2.013131463	1.708036962	-1.546786171	-1.239948725	-0.02435615841	-1.605641038	-1.537219166	-0.4185885558	-0.2221524342	-1.152247259	-0.3748434513	0.1341270276	-0.466866276	2.376122973	-1.571855526	-0.946467277	0.6531364305	0.7470572617	-0.7745950926	0.2721612662	0.354543748	1.915575566	0.4195098223	-1.02995929	-0.05712172075	0.5544130207	-1.950443181	0.3813731685	-0.6484279067	-1.875334867	1.573600556	0.1841358259	-0.0683822149	-0.9848838786	-0.4414921738	0.5702606659	-1.153189081	0.1086038622	0.2138839588	0.09657688523	-1.396882492	-0.5906294767	-1.012719071	0.9795873099	0.1129307548	-0.3087039417	-0.7803120346	-0.7585339218	-0.2237940167	-0.03896800574	1.451114161	-2.172631762	-1.842976161
-0.5269728444	-5.757972659	2.511646385	-2.295603842	1.862519397	-0.1794473313	-1.186200896	1.393269021	1.292255981	3.799230817	1.829252217	-1.748854318	0.9623509274	-1.206768364	-2.070713834	2.361735123	0.5189226284	1.846699687	-0.7695949266	-0.4596069947	-0.3045611613	1.562729706	0.5967336472	-0.725471805	0.3951507099	-0.1442008418	0.1016001416	0.5892090814	3.720078628	0.3389491058	1.859497401	0.3210099849	-0.5817659077	2.034859115	-0.06491154128	0.7138345418	-1.223486838	1.635394338	1.450906793	-0.4267832358	-1.122109729	-0.2164171315	0.5760438661	-1.615970591	-1.090167755	-0.00305724793	-0.5619347601	0.1253195523	0.2549659992	-0.8402741808	2.471242073	-0.3778014675	-1.694482949	1.233454254	0.3094353496	0.295485288	-0.4725848546	-0.08810012094	1.946250464	1.773389931	-2.033184663	-0.3083193328	-0.5544654154	-2.68996693	0.7125014039	-0.7634654382	-0.641582374	0.7835820034	0.8203372611	-0.3318376765	-0.9879332094	-0.7449313052	0.1284819716	-0.4363734202	-0.2049045051	0.5072187395	0.740435752	-1.086195014	-0.2207955568	-0.6829648492	1.534083554	-1.745137139	-0.2754802019	-0.3279117179	-0.5390584861	0.9357298927	-0.3887971344	0.8062066081	-1.218249826	-0.3539102111
-0.3328404979	-5.299291291	2.431331356	-2.916357089	2.009233607	-0.7645578883	-2.227357388	1.382769904	-0.9917368244	4.241578464	0.4514272724	-2.058632512	1.210501108	0.6605961602	-1.644195429	2.30667407	0.601612413	2.231060429	0.9689572702	-0.5816623021	1.695365155	0.8558721099	0.5951393282	-0.8283444149	0.4070843911	0.2006999973	-0.1516104588	0.5508151973	2.052669859	1.12952911	1.752100851	1.20229643	0.3130085905	0.2643138547	0.5002512744	0.07165595476	-0.144128679	-0.04161091747	1.022374476	0.4034821454	-0.9347798362	-1.159203982	-0.01111351061	-0.4726319536	-0.8708076308	0.5068284655	-0.4083895289	0.2671076461	-0.2789871703	-0.3603920853	1.78476674	-0.4977009921	-0.9774946854	0.8102944491	-0.01718691616	0.7696674255	-0.8235414877	-0.01037081052	3.159950302	1.008020651	-1.921413396	-1.43454614	-1.298049624	-3.169861864	-0.04610871114	-0.822100967	-0.2482007111	0.2146730518	0.4920653262	0.2551426336	0.6307721934	-0.9517001181	-0.2662737195	0.363491021	0.1247345795	0.819697481	1.480366002	-0.5929495997	-0.242260742	-0.4755665132	0.7895398528	-1.049371274	0.296843564	1.14604115	-0.9213301519	1.194237895	0.7613696222	1.756467869	-1.308490483	1.376350752
-0.6190751004	-5.469061427	2.299653237	-2.52937009	2.359342897	1.140505674	-2.069445541	1.162327623	0.001308081377	3.914030486	1.125260645	-2.105545696	1.239649425	1.732866197	-1.958438258	2.497508858	0.2044992281	2.132122022	-0.6996694358	0.2348687798	0.8921465434	1.535660759	0.5965773216	-1.489751568	0.7070398581	0.3979679505	-0.754633786	0.4193876714	0.9773129244	1.048368134	2.250056105	1.718346686	-0.06318049334	-0.7250194238	-0.5393051254	1.128407994	-0.2967489595	0.6942285248	1.764674554	-1.555878878	-0.9527159981	-0.09908495415	-1.399596799	-0.3674451104	-0.890786131	0.1751456809	-1.023382623	0.6753197094	0.3427408657	-0.3691392063	0.5567979474	-0.7275943414	-1.644817943	0.6918544236	0.6790221243	1.386092673	-0.277439459	0.5632399025	3.487630033	1.444745576	-0.7968626918	0.4748476722	1.029121262	-1.98472794	0.7375523879	-1.580678114	-0.3431730241	-0.2412797744	-0.3736835149	-0.1906064909	0.1244514884	-0.5912466885	0.1587664772	0.9431547411	0.9208596334	0.02375283901	1.008910062	-0.1811713242	-0.2804209857	-0.1736730721	0.1312973305	1.418596411	0.01918273543	-0.2523068507	-1.325444234	0.8701036716	0.8324602741	2.729393614	-1.966312688	1.874307306
-0.803002788	-5.380696074	2.156676056	-2.216022181	1.925498503	0.01378191688	-1.404649473	1.75876222	0.8904148919	3.892618717	1.838432586	-1.751828845	1.208081686	-1.473245459	-2.016341855	2.311904057	0.3570938478	2.245811595	-1.327270668	0.9272776837	-0.435371575	1.095929812	0.4693766972	-1.18829329	0.2110586495	-0.5568446058	-0.4941246275	0.3180802087	1.318357941	0.7652299197	1.551988913	1.510228961	-1.276498326	-0.0825003426	-0.7184111872	0.6592492557	-0.7574581755	1.460529703	2.654442057	-0.8627757034	-1.102498082	0.7731007477	0.03092076949	-0.5194146173	-0.8267572875	0.3575913549	-1.222235406	1.091485284	-0.2111558786	-1.058896727	0.708320631	0.2056881612	-1.471338053	1.275168254	0.01713025745	0.9088034646	-1.361651358	0.1705144914	2.536792235	1.514481501	-1.77447769	-0.4826893593	-0.1142492724	-2.687044371	0.2922374974	-1.147653384	-0.3834094006	-0.3169230223	-0.2000125037	0.1645480163	-0.9935910489	-0.2609385162	0.3599259769	1.304207127	0.1632344147	0.3614255327	0.6893963981	0.4159309831	0.2418298232	-0.6195840619	1.262796575	-1.927207807	-0.03416707033	0.1119648882	-0.07443343138	0.7328709644	0.8447491223	0.8008103957	-1.798003519	1.867338657
-0.5695966673	-5.040381366	1.965703818	-3.031492009	1.890988832	-0.7813254554	-2.549399837	1.838211671	-0.6326614296	4.114648093	0.9678313334	-2.096391757	1.477268134	0.2308276445	-1.601613398	2.153231141	0.154311391	2.385648751	0.7367674428	0.3002182972	0.7283860355	0.9668961281	0.6727584416	-1.651909353	-0.2441835003	-0.267110331	-0.811265285	0.7171936192	0.8022440004	0.4269367239	1.349786221	1.916667267	2.013580095	-1.121788585	1.391632455	-0.2825027941	-0.1866707511	-0.2770975192	1.236687975	0.6078907291	-1.210681953	-0.6131495996	0.2507658168	-1.097925043	-0.6254020781	1.218690136	-1.366339167	0.6795821878	-0.08426748516	-0.2158984033	-0.8373910387	-0.2559121219	-1.041429458	1.081923434	0.07210069703	0.9793250707	-0.9879175973	-0.6494853774	1.957855622	0.7545675218	-2.821699724	-0.5987879203	-1.244294091	-2.96085787	0.5943078793	-0.430838571	0.3353866604	1.488868672	-0.04434439596	0.4025870796	0.4153944427	-0.2248519029	0.6621306332	2.148189513	0.4408651414	-0.1818758491	1.04267633	1.538572234	0.6528131276	-0.9436119509	-0.06977149929	-1.748031992	0.8640975376	1.237122578	-0.4674125718	1.222686539	1.092974509	1.452319911	-1.641667942	2.990681241
-1.14310581	-5.203859936	1.604302382	-2.519022075	2.614448212	0.6436123074	-2.7482117	1.156926685	-0.6768971945	4.208474933	0.5873083386	-2.006865382	-0.9613895486	2.045616977	-1.423954461	2.186233785	-0.1255168299	2.012388276	1.232106921	1.052576591	0.6288593391	1.204720966	0.6062651832	-1.932112806	0.1055619818	0.02467973038	-0.2846482471	0.4726161222	-0.3716300561	0.6208348214	2.252388627	2.049464845	-0.3966820396	-0.9895614456	-0.2633431393	-1.112293418	-0.6947647402	0.007640750025	-0.1853865304	-0.7206758678	-1.751711186	0.464741655	0.02233626881	-1.184939235	-0.4194529974	0.8911614434	-1.554489637	0.6204128351	1.250574937	0.1102270281	-1.561946461	-0.8036917508	-0.7293929289	0.6409031528	0.8464653572	0.7132181889	-0.5120683862	0.9595628667	2.49652893	1.037479655	-0.6957174676	1.442648662	0.2283582404	-1.604039596	1.062002906	0.01857970314	-0.5691376495	2.004954357	-1.013134909	0.1512495431	0.6705999412	1.033570978	0.0333766954	2.479129442	0.4313574842	-0.3812156026	0.08022842744	1.025370189	0.007787547902	-0.6662352497	0.04257922987	0.2757065371	0.9567462162	-0.5143260396	-0.2290856558	1.117941251	1.164757482	2.906476537	-1.117851038	2.053896413
-2.179989474	-2.953194311	-0.7310426561	-5.403329976	1.073692424	1.346201648	-2.364363638	0.3749159053	1.960231526	-0.4722648355	-2.124355192	-3.45330069	-3.183495125	0.6782412772	1.923703738	-0.1094348819	-1.163313516	0.1921472536	-0.8846138336	0.1727593076	-0.9652214105	1.945796271	0.5765472341	7.822916415	-0.9121309347	2.764028696	2.806397248	3.269163859	-1.746821604	1.81681952	2.728577106	1.090226743	0.7600084344	0.3082658213	4.002418942	-2.070152569	-0.105594147	2.989474738	2.153242262	-0.3842246301	-1.585646581	0.6618690242	0.7402004463	0.5306523727	-0.05643778114	-0.03409963713	-2.960156681	0.06666865089	-0.9858536351	-1.059947369	0.785876439	-1.94047175	3.248620103	2.539700438	6.1100513	-1.097875099	0.267621014	0.4748607481	0.8604617133	-0.5027713707	-1.841342623	0.4561910718	2.170197079	-3.167527916	2.245644291	1.399122454	0.2098983367	4.365896486	-0.6992784742	3.772150372	-3.445181507	2.149049528	-3.680817155	2.028960836	-0.5860429679	2.6763134	4.553847238	0.4314162758	3.268552788	0.5467806901	-3.397512395	-2.620465349	5.544121102	0.3535359802	1.008862978	2.122749452	-2.591255885	-0.5208204772	0.9031401205	1.033205811
-0.9628368113	0.1005598801	-1.165981965	-1.592808315	-0.2491386314	0.1432128574	-0.5130207957	1.233832815	-0.5724143163	-3.977179167	0.09994678911	0.04059037195	0.7460395099	0.4949184299	0.6225464842	0.4389033239	-0.9912680302	-0.05794061927	0.9066479496	-0.3247319785	1.599461178	-0.1856408266	0.1122599764	2.365107966	1.060727935	1.026030519	0.402142499	-1.053828866	-1.390476377	-0.6607093894	-1.974316242	-0.4256359775	1.22662054	-0.9448340819	0.5331522384	1.560354893	-1.25501499	1.789634495	-1.728083538	-0.8506238551	0.9938889875	-1.981085864	1.098016111	0.5824815176	1.744078109	-0.3480794352	0.2927866961	-0.2708015683	-0.2856618132	0.2900796583	0.05865643693	1.473433356	-0.3967571649	0.1601123279	0.4769405657	-1.221892686	2.096290688	0.1549523069	1.956654583	0.8006921937	0.7704966339	0.4810319514	-0.2973957352	-1.576092148	0.1359925057	0.1801560689	-0.007356286144	0.9138643726	-0.154820915	0.9443095768	1.185319297	1.097333163	-0.1528553472	-0.1993805195	-1.094458035	1.026446765	0.8132713051	-0.9891557046	2.246355378	0.7232354902	0.9538127746	-0.2545201053	-3.614680103	-0.2805446062	0.2033926219	0.2149544092	-0.1978143815	0.4223637626	-0.5722352912	0.06974164272
-0.1308915744	1.479835996	-0.254670481	0.7432725383	-0.2171858651	1.448896991	-0.2086497086	1.536865934	0.8702688395	-1.465914627	-0.1668940639	0.9358967631	-0.06877206705	-0.5164100154	-1.371548047	0.3979942203	-0.2495613669	-0.5212406476	-1.129783942	-1.215900916	-0.3996136471	-0.9027850985	-0.06679960289	0.04661927633	0.1571851596	0.7564677138	-0.90931204	-0.5550627246	-1.290119247	0.09735886571	-1.771186181	-1.276084631	-0.7883966353	-0.7787402628	-0.5516039047	-0.7917520269	-1.392850432	-0.326694243	-1.403626672	0.8578822836	0.3228671472	1.33420886	-0.5319866106	0.7692047222	1.17071428	0.1319489773	0.3412895262	-0.3209918687	0.5898045411	-0.2600944693	-1.444402656	1.456662037	-1.352967705	1.052115345	0.3699286839	-0.71486391	-0.918340233	0.5959353158	-0.1210506852	-0.2730684407	-0.6357427289	0.344214945	-1.402454207	-0.2918024367	-0.6929979301	-0.1685955217	-1.67337124	-0.954556746	-0.5014376694	0.2631335137	0.125535049	0.6452284844	-1.01228161	0.0401899898	-1.067354041	1.056063829	-0.1321232385	-0.3654214122	0.2031534359	-0.3286350825	0.761027911	-0.5649072627	-0.807770977	0.1938218803	0.4713773474	0.7521185072	-0.9123903252	-0.39431251	0.6657440461	-0.4909865473
