melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107
-0.329840438	-0.05320181119	0.1411636977	-0.260909025	-0.3243057918	0.6466367521	1.783541736	0.4329550254	-0.2932953313	0.1162456947	-0.784170621	-0.6100239422	-0.6823652709	0.5497290407	1.190706173	-1.272762189	-0.9529729075	1.654803531	0.3320790702	-0.5850633462	-1.145418627	-0.04921072935	-0.2593361472	0.426804216	0.1665157264	1.401201224	-0.6775347002	0.4114307653	0.3270811591	-0.3323168174	1.111022164	-0.6702603533	-0.6081470689	0.4953293427	-0.3348948268	0.4885394136	0.4245348622	0.09143883207	-0.01309910813	0.1742425212	0.2785529852	-0.1214055693	-0.4686138151	-0.1417538649	0.08689894856	0.5338821992	0.1657469839	-0.0456979532	-0.5514833538	-0.416311328	-0.5302903411	0.02044951223	-0.9729519376	0.4553244305	0.3584149665	-0.004100049268	1.376241694	0.6880911128	-0.4929869459	0.1025625677	-0.6395592658	0.2658346227	-0.5110318604	0.08179355586	0.07451383605	1.066422707	0.1710839384	0.9590272908	0.8369274934	1.704172103	-0.7857953375	-0.3525024141	1.18221342	-1.25996972	-1.517236701	0.9420241994	0.6317900373	0.9188096588	0.066124061	0.09500336841	0.2244941397	0.6127141017	-1.331610656	2.798391044	-0.4974802887	0.8240086836	0.5476567235	-0.1015272605	0.6506918558	1.874794004	-0.02837799584	0.1895724968	0.1828532366	-1.06138849	0.1133679114	0.536546917	-0.4735057875	0.08590841674	-0.1464470522	0.2091979978	0.03128211316	1.020404188	0.1648907125	0.2342472283	0.4981010204	0.53519582	0.8522128432	0.8330018812
-0.6017572853	0.3637275688	0.2978999025	0.9643950582	-0.8508702839	-0.8549895633	0.07417508968	0.2025129594	-0.5050738393	0.04667005742	-0.199670855	-0.9658917724	-0.2804957816	-0.2482388782	2.434163005	-0.3175716997	-1.07010835	1.368497193	-0.2684693808	-0.06473445617	-0.475636749	0.4050100575	0.4128677384	-1.75036576	0.2937147427	0.4447130848	0.6107606095	-0.7035569225	0.5552887989	0.2213870619	1.075638351	0.7961635635	-0.5462920057	0.3299662332	0.9443759111	0.09817602213	0.8048825634	0.3294381743	0.3270509782	0.08905370704	0.7313249541	-0.6356464992	-0.5691059104	-0.2667595266	0.3269304225	0.6846469465	0.2736314018	-0.2591471358	0.5297230345	-0.1892740432	0.003794419519	-0.5499956204	-0.1085555196	-0.2550866108	-0.4665497967	0.9922727646	0.189362229	0.8150797289	-0.620666303	1.167254752	0.1709601002	-0.06440482561	0.6181488351	0.3509605741	-0.1145536433	0.9925656505	-0.2908381	-0.2730943524	0.4104695458	-0.7006953424	-0.2690585296	0.2302001292	0.1525546174	-0.5897940231	-0.4971649906	0.3387504149	0.892691417	0.9688819313	0.1833364052	-0.9254132867	-0.5961086508	-1.363948854	0.1748947097	3.329534193	-0.5786664635	0.9589836717	0.9387522876	-0.03294133101	-0.003131506364	1.177860152	-0.5918182553	0.003419887073	-0.03305388433	-1.539807421	0.07371868729	0.8087444539	-0.2509573082	0.3291576701	-0.2172206142	-0.1965715457	-0.2648944162	0.9186885659	-0.1038010527	0.3354894571	1.451658075	0.9158981849	1.117186333	0.5116855205
-0.5504991481	0.8487137949	0.4230765241	0.7287049871	-0.9516295833	-1.168739914	-0.9959635511	0.4185313904	-0.01857016709	0.2261595133	1.068989043	0.1091777052	0.02775673138	0.001276314555	-0.7634248437	0.001353762948	-1.124496039	1.030289326	0.3350213563	-0.07921618425	0.411010705	1.000852539	-0.03004234449	-0.2334841723	0.3662366378	-0.2656718043	1.364700836	-0.7388727053	-1.173191395	-0.1862787509	0.08154644011	-0.6507500674	-0.4247078972	-0.05611236096	1.570779875	-0.322174347	-0.6891500458	-0.7841768664	-0.8038281685	-0.9896201672	1.11747807	-0.0933972115	-0.04507201089	0.2314070308	-0.2624806834	0.5778077618	0.6177986864	0.2294409807	1.265300962	0.08738981874	0.4219122545	-0.1413130474	0.5608520538	-0.1936165815	-0.6588549784	0.8825410302	-1.233051632	0.265830398	0.5477529366	0.9126385493	0.6276591187	0.2054602884	1.160766897	-0.9363726948	0.9343277056	1.299202547	-0.7298656301	-1.421426643	-0.4807296102	-1.074101098	0.2232668227	-0.03420410115	0.6473489671	0.5314732528	0.7420485245	0.2919828951	-0.2286181329	0.01298488987	-1.1150178	-0.7425331188	1.579782737	-0.5048329069	0.4006524986	1.220287131	-0.02231763721	1.16130217	1.03481116	0.8348276523	-1.390812711	0.1495994746	0.474832472	0.5441683145	0.284388196	0.2386806113	-0.2186462155	1.585523392	-0.4714441354	0.5559968501	-0.1404124786	-1.046296913	0.7923438517	-0.2015182356	-0.2898588674	1.498886177	0.5729039962	0.7766538343	0.9212902086	-0.5847831757
-0.3094780248	0.1883031707	0.06509741064	-0.6135974099	-0.5729337974	0.8312922847	-0.2868928422	-0.111976127	-0.4553510632	0.1645035881	0.3565161969	1.740623441	-0.798284452	-1.168756346	-0.5393322669	-1.165965201	-0.8186986328	1.705243701	0.8185759727	0.1977830329	0.9842511293	0.6827820905	-0.2650315966	2.081855968	-0.06624301353	-0.4720889377	-0.3593850126	-0.4959248261	1.437889117	-0.5207751024	-0.9153342188	-0.7468705327	-0.1626766765	0.4904203399	0.3787322869	-0.2911877069	-0.1986416975	0.6116005932	0.7800780802	-0.2276166933	0.1870138084	0.02304925211	1.041056715	-0.1872851034	-0.8063648265	-0.9184086874	0.1014489012	-0.0126869317	0.6676994859	-0.08607585375	-0.3098716275	0.1758728331	-0.05540765013	-0.3713445973	0.1050149741	0.9694403083	0.2284277868	0.6340409726	0.3623059374	0.2311706762	-1.031212084	0.2861587553	0.03307854467	-0.6535791817	1.240012672	1.115089867	-0.5115751617	-0.3443395055	0.9890955726	-0.04501925386	0.3557352274	-0.5104995424	0.4902236968	1.460681641	1.70351448	0.1098966214	0.228918767	-0.7094038035	-0.7619596046	0.9595328829	-0.4963904024	0.1482640354	-0.2928226956	0.8109628592	1.569089617	1.631230487	-0.9154229116	-1.23299782	-0.200189401	-0.4992790117	0.3258119083	0.3767627475	-0.2164793023	0.6908709176	-1.472527493	0.350062906	0.5809528362	0.9941113006	-0.3002969105	-0.9115725302	1.157862426	0.3324273804	-0.7312746907	0.5042896035	1.071810467	-0.1214079799	-1.423317626	1.082750167
-0.5410124799	-0.01963495508	-0.16664096	0.3738741251	-0.7397070456	2.012582271	1.444816257	0.2212659869	-0.8521645066	0.008569765647	-0.6914757383	-0.7052255201	-0.5600250596	-0.7402061307	0.7657751933	-0.4494511847	-0.5208551466	1.349730638	0.4998583213	0.5699580528	1.099548181	0.7219486144	0.3520372303	0.5952697757	0.07805378391	-0.5355305627	-0.05762460433	0.3059506891	0.888118751	-0.3405373773	-1.037736656	-0.5103036108	-0.5126424006	0.3969539075	-0.1192905381	-0.9393085981	0.005163772209	0.6962492594	0.4898810454	-0.1232839191	-0.03207336988	-0.04268096087	-0.2212261263	-0.4296522759	0.03590535836	-0.8058293191	0.3580566667	-0.3208719594	0.2219434554	0.1568817866	0.3817923102	-0.04842447656	-0.3857554566	0.2323743357	0.05408069394	1.726865306	0.7037115551	0.8806446396	0.1624697129	0.02578705212	-1.311196148	0.5494131452	-0.6754161054	-0.04492692872	0.7930912693	0.4645832967	-0.3679450307	-0.6147084896	0.9944071359	-0.1614046958	0.8236924271	0.5116629486	-0.5477430387	1.652874261	1.727125126	0.5397732751	1.302814228	-0.749922182	-0.203447002	0.09124630227	-1.083588004	0.5907292905	-1.932128376	-0.1946061987	-0.1505336904	1.332821054	-0.6707785856	-0.1595191906	-0.6200512456	0.7868261189	-1.433405865	0.2146677231	-0.169593561	-0.8217566433	-0.6184007257	-0.9792702001	-0.1035511068	0.5260848494	0.01633715449	-0.2824118522	-0.7913583065	0.8672863612	-0.4952528863	0.1503194535	1.06526186	0.3999582755	-1.186377938	0.13208554
-0.5370677229	0.4087609651	0.128505376	0.9973494108	-1.167051434	-1.187921875	-1.107895861	0.3739472314	-0.2587883716	0.1342334669	-0.2401523056	-1.259537474	0.03658657084	0.860454705	0.8659217279	0.1203646608	-0.3639188389	0.7968470952	-0.9700371988	0.481767225	1.150993016	0.5486260914	0.3798837574	-1.268147457	0.01345413018	-0.5136566401	0.3274033788	-1.326719887	-0.3448560228	-0.5123667922	-0.66605999	0.7465505829	-0.6808764889	0.3759792363	0.04901605474	-1.024129268	-0.2306216761	-0.7434371235	-1.057062032	-0.6114759457	0.2037437007	-0.2269094902	-0.7324895999	-0.6389687714	0.6743594106	-0.79455623	0.6367677054	-0.3282702668	0.5464837572	0.4090240364	-0.09917782634	0.8115582516	0.3899744144	0.4558778741	-0.04961735651	1.150096491	-0.5513144922	0.1351292618	-0.04369409282	-0.4516464353	0.5504694274	0.5817453591	0.1728596548	-1.173873068	0.6299740055	0.05264371411	0.04027237225	-0.2298271653	0.5778249349	-0.2134456125	1.496689962	0.3661457126	0.3606553097	1.164460119	1.768039506	0.4491889126	0.5670622303	-0.6998164868	-0.3897132788	-1.593420313	0.3260293591	0.1975330061	0.08650389127	-0.4011521824	-1.251683379	0.9463175435	0.1818694122	0.4556532186	-0.6322591915	0.5753539827	-0.7546823697	0.2514846244	0.6940757745	0.5551732804	0.7379387292	-1.602678862	-0.3462022695	0.9004010653	-1.318049762	-0.2283737604	-0.6541257058	0.2264435388	-0.08551451465	0.8377335773	0.7541220424	1.412388646	0.4679636133	-0.590942726
-0.2982267689	0.6407134861	-0.1354099357	-0.5818595947	-1.033679783	-0.4670387402	-1.110278103	-0.1932603459	-0.02406132349	0.07441217439	1.928970622	0.9084779373	-0.9271957123	0.8283582252	-0.7057947052	-0.4943580364	-1.201220342	0.8859050103	0.9482127855	0.3251247809	1.500741011	0.4314904491	-0.600164517	-0.4375425529	-0.1218581582	-0.03654433942	-0.1238456824	0.8391581571	-0.6522471096	-0.694498323	-0.8688976879	0.6148139035	-0.7748503223	0.7717057862	-0.7271357127	-1.189712208	0.6394465584	-0.1950996015	-0.1486630907	-1.232188351	-0.2070236907	0.3126520843	0.01957991533	-0.6936905453	-0.3734286369	-0.5322665989	1.001802778	0.2899185234	0.5946587751	0.1397306098	-0.2382376755	1.071321392	0.04274798259	1.081407701	-0.6917052742	0.5187174592	-0.929814169	0.1745809902	0.1156895151	-1.254471448	-0.438088531	0.3586030341	0.2877525688	-1.904253345	1.842060976	0.303415947	1.208716644	0.6360276336	0.680528682	-1.337754713	1.697134413	-0.626266581	0.9223352051	2.037136279	2.101196473	0.2394501598	-1.409159872	-0.2735082445	-0.7709063362	0.5005655561	0.8412899647	1.053782741	-0.1072733178	-0.3590239748	-0.4321939461	0.9048380415	0.5753751399	0.5807248446	0.5512391318	-0.0754896017	0.119477675	0.7017096803	0.7055071054	-0.5780970718	0.6652042811	-1.522901407	-0.4780198746	1.098146033	1.567662175	0.3772398645	0.2879587935	1.125171085	0.2279692709	1.047551811	0.1029445471	1.172200054	-1.246192283	-0.1116605397
-0.3418272599	-0.1029165235	-0.2643353837	-0.1253620575	-0.5834497194	0.560127837	-0.6617488301	-0.1004003185	-0.7403764624	0.2831208425	1.464464303	1.715407311	-0.9673271249	-0.9494497174	-0.8948517888	-0.585810667	0.5331841533	1.511980207	-0.449424102	1.548527135	1.370603422	1.04544753	-0.1126401876	0.3166016351	0.0804139519	-0.5560298329	-0.08411485882	-0.8797233963	0.5252758578	-0.5999686276	-0.5281411209	-1.129914445	-0.4980983506	-1.019929974	-0.2627979733	-0.4328981327	-0.8547550107	1.024227949	0.9807806197	-0.1871142938	-0.118825475	-0.3601796206	0.3469905012	-0.3490355754	-0.1430999579	0.1400915065	1.233168904	0.5199038348	0.1398792129	0.4398953256	-0.2555763724	0.7080524834	-0.05897613856	0.8425476123	-0.5829946982	1.104276604	-0.869031784	0.8410366868	0.4821801961	-0.6382532015	-1.343388363	1.019271095	0.3294528807	-0.5158277705	1.391806537	-0.261668247	1.358881128	-0.2170385268	0.2860898542	-0.6369004482	1.677103766	0.05309952934	0.9105300754	2.521704715	2.269112316	-0.1454683683	-0.6448542246	0.3602801732	0.1206912112	0.7748886929	-0.5811278805	0.4450833905	1.145444332	-0.2261966709	0.7474105813	0.7705112233	-1.350367005	-0.4257256724	0.1325262192	0.1286833607	0.5779886709	0.8018490608	-0.1906424741	-0.2015045568	0.1293380827	-0.5798872736	1.926013091	1.386426759	0.1307138177	0.72353697	0.04370514218	0.7491853782	0.3718734963	1.188191284	0.7551281691	1.692752343	-1.480663403	1.186793204
-0.5637872532	0.2393841542	0.2268484588	1.161796056	-0.7075834021	1.290435273	0.4414960075	0.2333226212	-0.4047586032	0.5042281115	-1.252345753	-0.6634904118	-0.2215309106	-1.068678587	-0.08795759746	0.05727568452	0.1363816732	1.198434116	-1.000605392	2.244031599	0.7390153477	0.655465166	0.1704814536	0.3537183105	0.4007926416	-0.6063140903	-0.05609997037	-0.9637022856	-0.1239456856	0.1476263251	0.5122234393	-1.036678624	-0.3298560813	0.5439849923	0.8795232847	0.07335225315	-0.6873135197	0.1162223792	-0.7215569633	0.1136049231	0.8367143841	-1.128126156	-0.4924123806	-0.1294807953	-0.05290448699	-0.5007296911	1.206180011	-0.3737024293	-0.4246168436	1.079094917	0.2450949631	0.220302673	0.3914483204	-0.1726985295	0.281255752	0.5618237721	0.2434167632	0.8279558767	0.3471509354	0.8085320946	0.522814811	0.3649320872	0.2630424134	0.8553738138	-0.1698882668	-1.579578681	0.6109093676	-1.720815057	0.1781292319	0.5848188308	1.688456776	1.099541973	-0.1758972139	2.379452281	1.326289412	-0.5898381594	0.3187941724	-0.07070562143	-0.258864005	0.1000812469	-0.5948650095	-0.6263086371	-0.09439805486	-0.9990960811	0.5605766268	0.9275247799	-1.622014488	1.295083385	-1.06332087	0.9675130544	-9.283448253e-05	0.5246031126	-0.01032717943	0.8439577624	0.6371689804	0.3420449309	0.9444881729	0.8340730573	-0.03670116756	0.06948820621	0.4093529307	0.8322550326	0.7403507989	1.24677729	0.7618361074	1.796700089	-1.833218028	0.5527945119
-0.4732916442	0.7244868873	0.5651475725	0.7809034069	-0.9121393663	-1.408776839	-0.5630043894	0.5723992029	0.2774037284	0.4083724841	-0.1073344565	-0.9638687817	-0.1778309893	0.9886420512	1.229752488	-0.00653943643	-0.7640592489	1.024831807	0.0114480453	0.9028189057	0.1041587912	0.5454316733	-0.1022253043	0.2084668547	-0.05755494532	0.1310981258	-0.373729489	-0.6511117079	-0.3425017343	0.3069684643	0.4067091592	1.90989328	-0.5751025768	-0.4778742803	0.9590419615	0.4693931175	-0.8595814336	-1.530664991	-2.026303935	-1.246267198	0.773608296	-0.6002241731	-0.9154236513	-0.2868675634	0.6518566032	-0.9983497679	0.9703969612	-0.3576793352	-0.5659779503	1.019260816	-0.2413096264	0.7683279237	0.4218447313	-0.4440940606	-0.1224838178	-1.242675193	0.8220280387	-0.4190825322	-0.570088616	0.1689755226	2.190661464	0.1564970862	0.3964298371	-0.2068211722	-0.7167920026	-1.440947132	-0.412941887	0.6658633419	0.1631842597	0.9221951534	1.183797852	0.6967587275	0.6333713607	1.035051925	0.6140940025	-0.1054255697	0.7238712354	-0.2428101635	-0.8994028241	-1.163628602	-0.08751652354	-0.02772983847	-0.5710324943	-1.404458783	-0.3776601974	1.29685602	0.4302064635	0.8477594078	0.6472523779	-0.1820315159	-1.223327566	-0.09185151066	0.09315458971	0.6910415769	0.7780821397	1.023555032	-0.5391381404	0.2248579669	0.4683799906	-0.740718287	-0.009513251903	1.249351652	0.5227087457	0.5417306487	0.3401226552	0.8446524097	0.6435772332	-1.00527387
