melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121
0.9612566639	0.6505018592	1.290035087	-0.09986281269	0.8007161113	-0.9823575191	1.223409268	1.444379143	-0.3838015191	-0.2172418653	-1.391384327	0.1033911788	-0.01292762859	-1.400739189	-0.9518382955	0.5974719754	0.9809658905	-1.485709911	0.5693114199	0.5269608001	-0.6988472181	-0.5967676406	0.8340680514	0.4844798655	-2.009972098	0.000150520597	-1.404780075	-1.895984911	0.2529386212	0.7244510019	1.020697676	0.5583216442	-0.1651743651	0.4101349677	0.07431423889	1.009325263	-2.575776966	0.2619742692	-2.112266926	-0.4025702224	1.201130106	-0.2269782294	-0.4901154684	-2.218556396	0.5015392701	-0.1061475017	-1.209775422	-1.069010039	-1.4863821	-2.692969932	0.335632082	1.065521014	0.2217355783	0.6067508065	-1.051135787	2.078159912	-1.434148395	0.7071614449	-0.1007906885	0.6269035806	-0.8990717759	-0.8076140661	-0.9222843243	-1.409944404	-0.9300357896	1.098000092	-1.360322719	-0.5920238923	-1.845962462	0.1546414171	0.07158218592	0.2273652295	0.4598129533	-0.6190715332	-1.354915016	0.9192958319	-1.298266238	-2.312358007	0.2101295372	-1.015573839	-0.5318917231	-1.29443929	0.9746044988	-0.4280058472	-1.917836948	-1.667232372	-1.571222992	-0.4150884152	0.08047717803	2.382827734	1.372262213	-1.213894326	-0.7023647179	1.424439738	0.3435047715	-1.226640661	1.17723385	-1.758698793	0.6981253018	-1.139601503	0.1307846103	1.077103988	-0.4207970067	-0.6909590937	2.302533871	-0.70331846	1.815811429	-2.564864376	-2.866118371	2.171593413	1.8575775	-0.2926974756	-0.5994905331	-1.530376871	-0.5462120675	0.5479911741	-0.6329465984	0.5891426682	-0.8105160867	0.3676669621	1.020753615	0.897816929
-0.10733029	-0.9545829549	-0.6868150982	-0.8441806719	-1.328252284	-2.280583473	0.4856193212	0.1320669014	1.974163483	0.730731192	-0.9397044683	-0.2588068979	-0.2331352693	0.2210350818	0.1242724564	0.8056735239	1.099702078	-0.3731076725	-1.193409987	1.317981032	0.09521019108	1.105630908	-0.4583907794	1.463145713	-1.883495281	1.837033843	0.7713211337	-0.9076906303	0.929925239	-0.6862230309	-0.9594684627	-0.3772231673	-0.3180083502	-0.3230921756	2.761332744	0.6659666193	-0.4703761699	-0.2276880638	0.01344575416	-0.02919314391	-0.6566243761	0.3699756002	1.081348808	-1.911701919	-0.8522388451	1.156904189	0.4539740999	-1.275150001	0.1298244562	-2.607651255	-0.02128557342	0.5274057471	0.472966052	-0.5319474896	0.7893706961	-0.1341863661	-1.025790561	-0.4308297022	0.726383014	-0.3193776967	-0.1836781296	-1.313394139	-0.7007470556	-1.136633891	-1.069155467	0.4238805363	-0.1912986359	1.674743119	-2.134838117	-0.9301160937	0.8731653247	1.791141298	0.2274305097	0.03196172452	-1.309872854	3.423459136	-0.7947225771	-2.338445293	-2.20944191	-1.283414951	0.6620090769	-1.724604613	0.8985666493	0.09852980457	-1.124955429	-1.219050826	-1.331656045	0.782800349	-0.1072746045	0.2965735287	0.5671608032	0.07205227082	-1.515254205	1.658605154	-1.452942996	-2.270807313	-1.857746208	-2.67828183	0.3984814602	-1.492637007	-0.09296876733	-0.4181371985	0.673595636	1.07236838	0.6310310587	-0.4460977784	0.757606627	-1.318536137	-2.537426158	-0.0007496911628	-2.049086437	-0.4954855437	0.1347579889	-0.4785678649	1.554824786	0.1920518815	0.09712934583	0.8179522196	-0.9034723655	1.137721289	0.2969280449	-0.1848897041
0.311522494	0.7325850153	0.2016264621	-0.9570670558	-0.8045661247	0.38869136	1.696789729	-0.0264024141	0.138197554	-0.4556794567	-0.3317560467	0.900755431	1.174103095	-0.4883587802	-0.9524267903	-0.02328232179	0.05127933191	1.295791547	0.4075497462	0.1698358241	0.3494616866	0.5775517612	-0.44762641	0.1494731111	-0.4948212891	-0.7627919242	-0.7561880861	0.1281018348	-1.494589665	-0.7903428458	1.213307899	-0.60448477	-1.135759125	-1.57196149	-0.09924650279	-0.5916620641	0.8748744033	0.02009636111	1.372027999	-0.232896728	0.02534322656	1.175315682	0.4903025304	-2.327749632	-0.2143384329	-0.9107640075	-0.06017427273	-1.361333607	-0.4974020524	-2.628515056	1.751074406	-2.67727535	0.2687210503	1.594349582	0.798118898	0.398351738	1.635484814	0.7406891085	-1.053602786	0.9493230467	0.9627263169	1.082387231	-0.1386147992	-0.8562480516	-1.077921144	-0.03644349066	0.9972480966	-1.117051057	-2.112036889	-0.07843963415	-1.878953321	1.612631126	-1.12740454	1.361781116	-0.5631763274	0.8508970825	-0.6611332894	-0.4225394744	-0.1825817339	-1.363683746	-0.2707653313	0.3841832922	1.942859299	0.4087288426	0.2784618406	-1.933697401	-0.3609753349	-0.2059420723	1.715617959	-2.008064329	-0.02188427379	-1.319759752	-0.5552255106	1.7019201	0.6601033381	2.164123941	-1.481883591	-1.716586097	-2.514371576	-0.8583297162	1.011973984	-0.6522266815	1.686991329	-0.4667163722	-1.267690316	1.932834955	0.5136459926	-1.010465784	-0.5638294391	0.08547983298	1.323123609	0.2494292317	-1.625442029	0.03485794108	1.73448047	0.8734319273	0.9329884356	0.9500398578	0.8320091363	0.1691832618	0.04498651788	1.194665441
0.04474269768	-0.482181558	-0.759585547	-2.742686705	-0.14720584	0.4259737217	-2.698685997	-1.351588521	-1.097964344	1.783427691	0.07758376216	0.9339754988	2.602356868	1.786585743	1.609297877	0.6388801372	-1.371499262	2.507891159	-0.684134517	0.6092004404	1.461609982	-0.7232069219	-3.253488559	0.7813412487	-0.2983648142	0.1886248755	-1.865285655	1.696858495	0.9014041956	-0.8428629628	1.043732025	-2.191099774	-0.4333652429	-1.320052631	0.4607823288	1.382934381	0.698901734	-0.1903554304	0.3137184086	-0.1363107129	-0.4133098332	2.154935534	0.150231313	-1.725341102	-1.24376215	0.4709929514	0.1050843412	-0.3150467239	1.911168347	-1.504875759	0.9258370152	-2.002064796	0.3886470006	0.3411635232	0.4620160492	3.022596976	-0.2677911109	-0.4713016522	-1.107093775	1.085315462	1.897415555	1.886934965	0.8838386311	-0.5134103182	2.036436465	0.2932280569	1.714029259	0.929543712	-3.927890184	0.8544064887	-3.191735323	-1.069651981	-4.258878515	1.403217697	0.5031217905	-0.1299467209	0.1250590866	0.648408382	0.5068707439	0.7012697484	4.157229662	1.664470428	0.2606856027	2.802741678	0.7380876608	-2.172434599	0.5155993489	-0.3210772233	1.392880557	1.583506977	-0.879819341	0.2662072613	-0.6616941956	2.115853214	-1.837922673	2.91595909	0.621787617	0.04075940028	-0.6126438978	-0.192013058	0.3660629314	0.3815022553	1.639218694	-0.5580776824	-1.398912521	1.085002151	-1.754574679	-0.5346576879	0.433105614	0.2400825201	-1.091405059	0.7742982904	-0.4801407373	-1.890239573	2.55210084	0.9130170106	-2.059624815	2.663615061	0.1731465261	1.80613104	0.8087080518	0.945387733
-1.489295464	0.5074725251	-0.4382783951	0.7188153476	0.6733004761	1.073756699	0.7817793706	-0.4121025862	-0.832721139	0.00748730834	3.956716437	0.03188940286	-0.9056259584	0.2874900211	0.7949904709	-0.5422976031	-1.122196452	0.7419079146	0.8222509264	-0.9549898183	1.433898047	0.3517431136	1.03812697	0.4445465864	1.650940951	-0.7352412826	0.4388283025	0.09300357276	0.08732058422	-1.678832069	0.6765651936	-0.464989854	0.324952897	-0.8406794063	-1.047882643	-0.5412677449	0.6262375722	0.8125106718	1.944537527	-2.674853862	-1.298945264	-0.2566187824	-1.257111963	-1.460413524	-1.86612873	0.03165224943	1.114228348	2.800507991	1.702360138	-0.5824805867	0.4098389924	-0.02035156424	0.7309459941	-0.5835929251	1.790431598	-0.7306867057	1.657263283	-0.2356893334	-1.406094169	0.5735738576	-0.04572698329	0.4616432374	0.8624814723	-0.05540655848	0.5878733868	0.1482329923	0.7491365996	0.5729521113	-0.7196098495	1.502891154	-0.01367823705	-0.63569821	-1.114302338	0.6944381569	1.126234474	-1.602738185	-0.1517130027	2.281146461	0.7965390853	1.465391148	0.7511174002	2.689954307	1.758153124	2.586648875	1.034874978	1.099359978	0.3516839468	1.013490712	1.562907717	-0.3513927177	-1.829319667	0.1272892377	-0.8502097617	0.4005671052	-0.5867979468	0.2916653523	0.3784070487	1.087457983	2.503082845	0.4616645369	-1.179829793	-0.9665938482	1.242932084	-0.5163092352	-0.1177504263	2.208102099	-1.765790929	0.2441428743	-2.10298923	1.32525746	-0.9810882137	1.663551635	0.6325704194	0.7938274909	0.5563496356	1.195633436	-0.9852194368	3.049456388	0.2490829921	0.03843278225	2.717631924	0.8819983698
0.3687250945	1.058125082	1.272212747	0.3043257671	1.37626693	0.7641366351	0.8775905998	0.4826568216	-0.8379679421	-0.7880301992	0.53933632	0.1729026645	0.6597335963	-1.130739195	-0.7858118063	-0.7537112304	-1.139947771	0.850832159	0.9977929606	-0.5053741053	-0.4792740416	-0.5771753841	0.727811327	-0.4616571652	0.7006429428	-0.2927409335	-1.154385025	-0.2638834691	-1.133919534	0.6331608544	-0.1390269197	0.9440116503	1.414652259	1.214832201	0.2406406866	-0.3895818756	-0.7251421704	1.949015328	-0.6648775165	-0.2291681862	1.086205066	-0.9675609667	-1.157108765	-0.9781751285	0.9192937185	-0.186558276	-0.583925086	2.070431994	-0.7097375058	-0.3978560424	0.5940190468	0.5932288891	-0.004204846305	1.502466473	-1.41850239	0.4457557	-0.5631359236	-0.5537312373	1.67870088	-1.86413608	-1.136139483	-0.4491524075	0.6780309333	-0.4915201785	1.323981418	1.042572701	0.223153022	-1.28518589	0.6969213158	0.0685332483	-0.4985513137	-1.273148949	-0.2905268694	-0.4821962605	-0.3822867673	-1.960668154	-0.5800200097	0.2657338932	0.04602562024	0.8185778797	0.713738479	1.777800931	1.155856771	2.592375158	1.389035484	1.701770604	-1.470283776	1.207724478	1.142619417	-1.41159147	-1.073234649	1.039931126	-1.29555696	-1.628393891	-0.3631759807	-0.2658979719	0.5115691799	0.9660368407	-0.3753825767	0.8185217409	-1.462757933	-0.8785943551	0.7516420752	-0.8052523216	-0.544938785	-0.8769507866	0.362068429	-1.197484687	-0.5692225717	0.7095026148	1.236598081	0.2600314728	1.212988311	-0.2762394113	-0.2887486345	0.280212435	-0.7891116428	1.350920557	-0.4458904822	-2.869057588	0.05113983213	-0.01576670695
0.892263931	-0.8555551977	0.296043539	-1.384203247	-0.5285952029	-1.4123975	1.34550971	-0.005094364831	0.9242667783	0.399431516	-0.5652694176	-2.068987777	0.6463342265	-0.1444258761	1.400956089	-0.1426920096	-0.2449680891	-0.6943240004	-0.3582720759	0.2946144314	-2.039620475	-0.4605509823	-0.4992572059	1.27059008	-0.8675626793	0.9897136668	-0.3408481414	-1.188474588	1.264245547	1.015213669	-0.4990414905	0.4410812083	1.412674813	0.5024599002	1.387438894	1.629619719	-0.9920637063	0.5091298931	0.7701856596	0.09709389367	-0.460350152	-1.299501624	-1.059989555	0.05662265984	-0.7792665818	-0.6372109697	0.9250572556	1.664229468	0.05744237326	-1.114483717	0.2676543224	0.1595664082	-0.8076841275	-0.04372083486	-1.598291301	-0.8879700815	0.457577873	-0.1033035723	4.438814761	0.5963790733	-0.9189857662	-0.6314297169	0.4079352021	-0.1214750787	1.760112009	-0.7120309182	0.6413638925	2.219005246	-0.3232029022	-0.5407160111	-0.3237044878	0.1465737453	-0.8625233525	-0.361354075	-1.091945431	2.435414849	-0.8698890143	-0.5696170106	1.259787318	-1.750137154	-0.4489330795	-0.1712862778	-0.5584686621	1.633905718	0.06210576282	1.517323682	-1.928863545	-0.0004117939388	0.5090444627	-0.738048	-1.411034	-0.3157934463	-0.2685312781	-0.9647575147	-2.181152583	-2.742848156	0.3634918596	1.043264891	-2.245541069	-0.07912317197	-0.5061506682	0.1640015871	0.6603579119	-1.20424651	-1.135913088	-0.698570203	-2.326184761	-1.651219591	-0.6305734331	-1.307623826	-2.557321515	0.2737329984	0.9372567637	0.2127860742	0.7504342723	-0.396291387	-2.166387032	0.3439438887	-0.3983447397	-1.0557579	-0.3685343978	-0.5921233128
-1.25534341	-0.6193185375	-1.452880968	0.2592632019	-1.661855588	0.03712012509	0.5841728692	-0.7665615511	-0.8864866971	0.5904377748	2.502564794	-0.5284721671	-1.591745805	0.8106483652	-0.9703634013	-0.5134376285	0.693074779	1.977974341	0.9605514981	-0.4762999806	0.4390949624	2.632500467	0.8132325733	0.6285639271	-0.1781127688	-0.6638217284	0.6791281663	0.5155404589	-0.7144678719	-1.449624293	-0.4483223696	-1.370063412	-0.8254097959	-1.891852691	-0.0813555866	-1.374970146	0.0867193991	-1.679885833	0.4991069995	-1.298646427	-0.5883732131	1.341434854	-1.246788474	-0.08049312265	-0.2558772606	0.002771095461	0.6150798475	1.032024112	0.3844715396	-1.748102398	0.226032817	-1.624860155	-2.244838007	-2.480875237	0.5696553436	-2.507685904	1.562553525	-0.9086645143	0.1845190773	0.1989461578	-0.5419027565	1.226803524	0.63523457	-0.8355561931	-0.9068415135	-2.153656244	0.5433676633	0.383340528	-0.06254399137	-0.4939422008	-0.6995067038	1.176949402	-0.8361676688	1.821010273	-0.6870725468	0.6468972258	-1.051506782	0.6244502406	0.1137034843	-2.141921564	0.4134538362	0.2446369158	0.1168605366	1.08244457	-1.29412319	0.5820491512	-1.186693898	0.4926316004	-0.413084164	1.775707256	-1.224216334	-2.155479177	0.2750229516	0.6095349706	-1.533809604	-0.4676538205	-0.4392027756	-0.3912771485	-1.263416824	0.8383928804	-0.7973049609	-0.9221641202	-1.545165524	-0.8599808794	0.8884423334	0.2101009794	-3.683121155	-1.551938892	-0.5180555724	-0.2567518392	-3.158767551	0.2392658021	-0.3177678274	-0.2560159216	1.222731777	-0.1833449445	-1.461006149	2.212321449	0.2615402461	-0.1580300163	2.849062837	-0.547340299
-0.5151472256	0.9856234157	0.1334603218	0.6351640866	0.2343540699	-0.04743907905	1.392459148	1.121178874	-0.9777052755	0.375056425	0.6987565814	0.7152828123	-1.331810908	-0.6222770262	-0.4518893667	0.3332888624	0.5716501817	0.8821947092	0.3836496177	-1.12043179	0.3064791473	0.4610321321	0.8822700161	-0.1009417455	-0.7516166103	0.0294017512	-1.018587197	-1.438104006	-0.9200675386	0.4106578778	0.7811246422	0.4933747336	-1.498140488	0.2757319387	-0.9432685145	-0.9780752097	-1.025966768	-0.1605621711	-0.07036711683	-0.1642568975	-0.1860931571	-0.6121156224	-0.8134938653	0.3391639813	0.7284735902	-0.7607268166	-1.084708792	-0.7744520383	-1.475123252	-0.8316035953	0.6147532897	-2.036040223	-0.871974279	-0.5772503743	-0.5932448863	-1.094987682	0.6493408188	2.337891805	-0.8702552257	0.2434072945	-0.6508385417	-0.04889723501	0.4775945504	-0.519661872	-1.503701788	-0.7378859375	0.6385522563	-0.1967881363	-0.5373076578	-0.07795795369	-1.620671928	0.5872646761	-0.4026305341	-0.5913783924	1.057414205	-0.9581545797	-0.6283916971	-0.03848698282	0.3414800059	0.5374766616	0.6509264273	0.7941902017	0.228507099	2.006334794	-1.298260216	0.2181312972	-0.4084821918	1.040295894	-0.8002222478	0.6211429866	0.8108231974	-1.304247082	-0.02329014187	-0.1707632033	-1.661320232	-0.0377684819	-0.2503174715	0.2543040062	-0.1427722196	1.146886224	-0.3238063978	1.371818853	-0.6555322069	0.720832707	0.3591000584	0.5010345249	0.049084221	-1.417471013	0.6399639255	0.1671284236	1.934855003	0.52818034	-2.688581169	-0.6110052632	0.9462420543	0.8787271393	-0.4814232582	0.2867396507	-0.5889659505	-0.9061824893	1.261410656	0.3293104851
0.4756173943	0.09330234221	0.5068716629	-0.3645380488	0.5210595892	-0.9134554756	1.292882779	1.311886576	0.6738986809	0.6538831441	-1.755429098	-0.07718646162	0.2718552969	-1.4510816	-0.4748533504	-0.6726271402	1.131884586	-1.435188761	-0.3966671823	1.254781683	-0.6944867697	-0.2402429842	0.1455414405	0.7531091241	-0.749504287	-0.2720489064	-1.375316652	-1.60629604	0.8612847331	1.424731535	0.1392085973	1.626890286	0.3524768884	1.845604218	1.728390684	0.6552538138	-2.00330018	0.08454131561	-0.08529004484	0.5021460205	1.426131712	-1.032465217	0.5495920763	1.484539551	0.3706176432	-0.7101022076	0.2226130101	-0.4920083842	-1.218101347	-0.2824891854	1.072344733	-0.1773735767	0.820117017	0.4170546054	-1.227563533	1.213242857	0.2051756469	0.8841573669	0.8185525494	-1.11106356	-0.3351124273	-0.8893080785	0.682301053	0.4036522202	0.8926896434	0.1544615929	1.35870937	1.74886747	-0.5258327337	1.274312583	0.1750828145	0.1376568561	0.2288348234	-1.004912872	1.160922117	1.102764721	-0.2325170163	-0.2303803387	-0.07698172136	2.179658044	-0.7989270954	0.8182995918	-0.9910834497	2.568257326	-1.466807022	0.4014235588	0.1990018937	1.61631682	0.4441042288	-0.4855090302	0.2950076784	0.6714374513	-0.2403972771	-0.2568701163	0.08283888215	-1.344066075	0.4344788581	1.265975609	-0.1341541746	0.4613685675	-0.07007376603	3.266996638	0.5741402774	0.9924339563	-0.3144945969	-1.906194089	1.070691539	0.281293958	2.407021312	-1.718651066	1.566746874	1.215826742	-0.9718967936	1.341357107	0.07924238192	1.836430556	-0.1420603179	0.6882651623	-0.2373634644	0.6621446464	-1.539415707	-0.1028391543
