melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072
-0.9149345634	1.329430526	2.066742671	-2.216584808	-0.278189823	1.748268014	0.9238026895	0.2692411471	1.25299035	-0.04070667164	1.844188722	-0.2672156758	2.376954495	0.6639351779	-1.182206717	-0.2236160417	1.117620118	-0.06728351292	-0.4260848052	-2.88060934	-1.281957248	0.2855954769	-1.672883537	-0.3925164481	1.51502345	-2.88730367	0.6888458872	-2.938158751	1.088289546	1.418632066	-0.2768317643	1.580879076	0.7878768848	-0.5703886396	-1.524718901	0.061777312	-0.9780198695	0.4183190508	-0.9920274272	-0.1849410468	-1.973448033	-1.619304564	-2.081070064	0.7325132084	-2.088974679	-0.6360298695	0.1590326698	-0.6623220721	-1.000087092	-0.3600340243	-1.259695619	0.09630134067	1.320369958	-0.8569854001	-2.52778892	-1.956201129	-0.5215862154	0.7535652185	0.71057011	-1.215335822	-1.375559326	1.656949465	-2.182607189	-0.7162986431	-0.1197558756	-0.5590937403	-1.349270237	-1.556454844	4.41256043	-1.026911061	0.806552376	0.3035147518	0.1673898907
-0.2733060366	-0.1434401372	0.4446464336	-0.3414718771	0.3292950895	0.2964589901	0.2615034739	0.6316292927	0.2243917723	-0.8934051375	0.2203399421	0.3681946351	2.485209609	0.05970185154	-0.6722174924	0.02691017565	1.152954736	0.283045252	0.2883705024	-1.029898264	-1.0151599	0.07201767711	-1.117887186	-0.4050261569	1.263652775	-2.777637468	-0.2416326013	-0.6777250273	-0.3795534744	1.042916557	0.5062156095	-0.5410839826	-1.077240288	0.3100566038	-0.4168460394	-0.811345977	-0.9640794585	-0.3272253341	-0.9135859677	-0.1094302249	-1.972576329	-1.387023654	-2.052219743	-0.8215093124	-1.841937586	-0.4813064161	-0.5318370448	-0.6257964506	-1.313676936	-2.058990526	-1.635321207	0.4315413916	0.1521061027	0.571931487	-1.239605001	-2.471370821	-0.9394535348	0.5214841279	-1.097239113	-1.553483133	-0.7631177748	0.6456518504	-2.404082765	-0.9692866889	-0.94362568	-0.2601880558	-0.879429992	-0.7614454478	5.956680918	-2.507469075	-1.450812633	-1.010797314	-1.272894871
0.0545539844	0.9774152674	-1.155000415	-0.3398777954	0.0190275128	0.5425699873	0.6701256725	0.7555731306	-0.1759221053	0.6977594992	0.7710151706	-0.6501791625	0.604278623	-1.267752962	1.716062338	0.3651107055	-0.1009137361	-0.6353025749	-1.324260893	-2.238157216	0.2578983287	-0.4276924708	0.1841640793	-0.7247899581	-0.6856331424	-1.827144473	0.5754210015	-1.04973017	-0.6594365771	-0.2625264578	-0.09014068089	0.1463373096	-1.000646842	-0.5590945272	-0.4226245144	-0.6620810406	-0.4732328172	-0.5484182304	-0.6843830266	2.702657237	-2.424403633	-0.8967741788	0.02422763025	-0.6624463261	-2.391238853	-1.308660969	-0.1253309392	-0.7408981651	-0.6437256353	-1.779003069	0.2401989915	-0.4517830979	-0.3992401757	0.745093347	-0.7719907644	-0.696245194	-0.2680332463	-1.673205916	-0.8096342686	0.3738050019	-1.255562057	-2.067110254	-0.8370571166	-0.5543589016	-0.7553547937	-1.061280741	-0.4423866214	0.0602676661	4.983038112	-1.559725349	-2.603106769	-0.9152289759	-0.8798341141
0.3986992611	-0.6048772853	0.2728078093	0.2320598892	0.2342055436	-0.0006883991156	-0.3353433321	0.6495890832	-0.5699196426	-0.073356576	-0.7075189156	0.7413027354	-1.271604427	-0.7560280064	-0.2736516766	-0.3959191334	-0.7823759874	-1.059111301	-0.5071436723	-2.769614007	0.3045687575	1.269102071	-0.4941912515	0.2132527736	-1.502069336	-1.576259301	0.9649895961	-0.8269039472	-0.006446991776	0.2007646184	0.5843443074	-1.016500872	-1.501143819	0.5057767999	-0.7402516397	0.1194479821	0.2619108421	-0.1132421769	-0.1154873804	-1.184061749	-0.6482056846	-1.373187308	-0.3924039173	0.6719406477	0.1792728587	0.2345785557	-0.4449879322	1.844533167	-0.6925271999	-1.187432169	1.449597615	-0.1288150063	0.9058221456	-0.2196089896	-1.137652157	-0.8591845541	1.619934233	1.034521425	-0.9366308369	-0.3869302591	-0.3291794802	-1.002902573	-0.8248301181	0.08110914749	-1.066090863	-0.1708028447	-0.1785475741	1.555505967	3.361813734	-1.636082084	-0.4596751412	0.8489138069	-1.680515228
-0.1964457722	0.9183950019	0.2016058098	0.04252159797	0.05951394094	-0.3974230618	-0.481220367	-0.316198771	1.562193101	0.3621939909	0.641449898	0.03589023505	0.185360258	0.8163522946	-0.06070617957	-0.1725714304	-0.4327858827	-0.030492978	-0.7915870044	-2.379558233	0.3062576868	-0.1789268286	-0.5389826232	-0.9695419502	-1.250971175	-1.177470989	0.7861289295	-1.401284407	1.082291176	-1.35727287	-0.3445490062	-0.8023703658	-1.083233843	0.01966187717	-0.529144698	0.3934129335	1.55740431	0.6690582261	-1.176235758	-1.724328419	-1.273483863	-1.611870351	-0.6102747581	0.7718557344	-1.516141895	-0.5566455806	-0.4114029421	0.7336394741	-0.3766510672	-0.9048685242	0.1983611966	0.4122869064	1.272787371	-1.74929257	-1.111840966	-0.584357915	-1.564936861	0.2865554242	-0.596114803	0.8530656865	-0.5251084521	-0.7263403355	0.3039521616	-0.3050468395	-0.9401601047	-0.6390923874	-0.7729175393	0.4253446483	0.2219611358	-0.6310424507	-0.1804283045	0.3941880049	-1.825855352
-0.1111378408	-0.3019508821	-0.492874259	0.3026114314	0.3562801131	-0.6556885829	-0.706559446	0.8946355992	-1.056697718	-0.4793696099	0.1993109341	-0.06307358749	-0.7141722737	1.143372171	-0.4150541694	-0.2633181263	-0.5873852228	0.217842268	-0.6513293386	-1.239892069	-1.270434559	-0.401333822	-0.8755406018	-0.8727646764	-1.295483003	-1.289084804	0.5295729301	0.1242959643	0.6411405588	-0.01040370625	0.4333897505	-0.1996631704	-0.8781230449	0.7360108	0.06493946397	0.285864142	1.546802881	1.521455758	-0.1066890436	0.4954618254	-0.3432184034	-0.7847487678	-0.6418600996	-0.7597824008	-1.25079606	-0.7228506522	-1.56581464	-0.260068654	-0.4924124979	-0.5180771036	0.4784493582	1.28154201	-0.921462088	1.764794921	-0.6417356917	-0.4097649577	0.5370687883	-1.060175396	-1.443302851	-1.043379842	0.01362824321	0.3082027672	0.2604764488	-0.3980592201	0.1414947922	0.8623918977	0.03131222781	1.101400554	-0.5303485236	-0.7064214101	-1.027806229	1.214257625	-1.070134477
0.07782609396	-0.6035556299	0.4424802306	0.1018816685	-0.2277963489	0.3418384866	-0.4761259068	-0.4572053274	0.7314447383	-0.2266209127	0.9345938803	-0.4601501915	-1.076981519	0.8695873626	-0.5374369261	-0.155270991	-0.62412191	-0.5117082658	-0.4318453281	-0.8406335946	-0.4497066574	-1.060259099	-1.100174377	0.04012979954	-1.369960973	-0.3768507467	-0.9956536551	-0.4407393215	0.06587243055	-0.989161404	-0.2811645744	-0.7631625841	-0.4900709877	-0.7368166793	0.07295793345	0.3516508422	2.073222675	0.4250358336	-0.01738740567	-1.400737242	0.01745024592	-0.9076262751	-0.4383904478	-1.0173601	-1.15788784	-0.4512616779	-0.2894747551	-0.2232975353	-0.423141841	-0.5550614843	0.7366969145	0.936675285	0.9789669427	0.9483763001	0.654121587	0.2735447542	-0.6428182426	-0.5420017867	-1.256888294	-0.5647418042	-0.01397629385	-0.3979627009	0.4775296221	0.3905618954	-1.85518856	0.617778009	0.7560504076	0.569302673	-0.2014316783	-0.1564615926	0.02873434395	1.083925809	-0.9127543463
0.2197214335	-0.3594048706	-0.6351559248	0.4722847362	0.2721714927	-0.7072076549	-0.3848326229	0.3255331587	-0.9362574014	-0.2652629751	0.04711486475	-0.7163153277	-0.8010006847	0.3123341895	-0.7713424517	-0.4600266368	-0.2355570658	0.4601900356	0.8160317334	-0.3672731177	-1.105065273	-0.3859151943	-0.7466863705	-0.9282669165	-1.186314229	-1.066376013	0.5980578008	0.0836002927	-0.919364815	-0.3938847302	0.06804401379	-0.6647371812	-0.9668731076	0.9010330746	-0.2195546456	-0.006221250674	2.259737242	0.7751385689	-0.2402502005	0.3038177429	0.3788213125	-0.3479026564	-0.6092199972	-1.125872511	-0.1821864828	-0.1258977816	-1.002100649	-0.5540781935	-0.4264840571	-0.4096458936	0.5377515179	0.4646254854	0.5852526271	0.622263015	0.7152121384	-0.02522696735	-0.4672339299	0.05429286951	-1.986994683	-0.7516992683	0.8606696628	1.148271768	0.8145910617	-0.1866474154	0.4765219154	0.8500899378	1.837354396	1.177598137	0.3054481818	0.1939336842	-0.2828350567	1.116149215	-0.1551155066
-0.1704251699	0.5318689776	0.5208461808	-0.3680761963	-0.4346161175	0.2290409769	-0.1585186943	-0.6179701403	1.990585005	0.2987767715	1.563731132	-0.3680765233	-0.29911129	0.7718445874	-0.06181089771	-0.02073488129	-0.2564949225	-0.4016827198	0.08473299567	-0.4841109275	-1.039868051	-0.1394234568	-0.5286737031	-0.6655940475	-1.015726187	-1.193924377	0.594419069	-0.6151662874	1.167433312	-1.166395864	-0.4832690982	-0.4608787883	0.2275170294	-1.244838924	-0.4146553287	0.221501928	2.064205006	0.6736111322	-0.8497737544	-1.366545988	-0.4660632275	-0.4528503503	-0.1872745115	1.068938493	-0.9618927668	-0.5550638627	0.09234809469	-0.1427114112	-0.6834238295	0.8318786008	-0.9324962089	-0.6628463798	1.641036571	0.7751949831	0.7671998821	0.5751368641	-1.534961611	-0.7679790584	0.1649399376	-0.9814640939	0.2564621745	1.124148882	0.1553386752	0.5635652329	0.2211193439	-0.7421627326	0.9655101172	-0.9396495793	0.3235264161	0.2990840254	0.7539509734	0.7992305049	-0.2800840121
-0.2765550421	-0.4017541706	-0.5123241676	0.2942769625	0.7139395764	-0.3940896251	-0.806821383	0.3044143124	-0.8801315934	-1.14217693	-0.03766844645	0.2709660395	-0.7974791742	1.453157107	-0.4669655442	-0.1831814577	-0.4355463679	0.6833048712	0.7838478907	0.5805442497	-0.8542505536	-0.6893063842	0.432598183	-0.3775799428	-0.2893333364	-1.769183912	0.5800815538	0.3991549581	-0.5116302724	0.07246658832	0.3751538209	-0.6813779012	-0.6611739444	1.345084673	1.087484803	0.2954528207	1.205205433	0.8660135325	-0.4488782219	-0.3368390495	0.7653561393	1.306156158	0.1049186217	-0.455102176	0.2690283112	0.06429047845	-0.1413570735	2.461964401	-0.3189268404	1.110263178	-0.9351871664	-0.4188619575	-0.2144484565	0.1065092148	1.355739712	0.5934716849	-0.166694528	-0.3420001848	-1.356048699	-0.7698139922	0.5889362179	0.8386365504	-0.08647439996	0.3496333501	0.9136479479	-0.2213472544	0.7925633501	-0.1004708143	0.07385527223	0.1958207946	0.8662534482	-0.2523980856	-0.1261837442
