melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137
0.008919758713	1.503154192	0.3555490356	-0.7356582807	1.029738665	0.2432583842	0.9917607498	2.045568113	-0.3066221686	1.059252227	-0.3597114739	-0.8859755642	-0.8595868048	-0.7223183546	0.9039950643	0.08594322199	-0.06711683433	-1.778039638	-2.304764677	-0.2399446737	0.1604204272	-0.05345035759	-0.1252504199	1.132054754	0.6889758381	-0.008029937758	1.251961422	1.050942201	-2.282624452	-0.6803841856	-0.4251193162	-0.04871785752	-0.9256580659	2.075601886	0.4490672276	-1.13756156	-3.996895463	1.496088188	-0.8518864236	0.7057479727	-1.091875537	0.4167913636	-2.928296625	1.567969522	0.11089532	-0.5175477168	-1.362172813	-0.9951440355	0.3949632358	1.967237599	-1.804740746	0.08839135074	-1.539046245	-0.7283963286	-0.4202451641	-1.857526364	-3.029503173	-0.9754648436	0.5254910387	-1.040104745	-2.855212577	-1.77880304	0.02478483817	-0.9509807076	-1.383011224	2.087921837	1.029026221	0.7587456483	-1.760222411	0.1140953674	-1.186538338	-0.4375988945	-0.5513003923	0.1773965755	-2.978496416	-0.5507499643	-1.226430237	-0.344032221	-0.5780899469	-1.057967255	-3.469825663	-1.158588928	0.3859095389	-3.823645613	-1.249310335	-2.631540937	-3.41936807	-0.6449496143	-0.6014397318	-2.056449768	-1.065397304	1.594436424	1.037025052	-2.413629372	-0.7133433021	-0.973657474	-2.653617884	2.073504338	-4.304797236	-2.153721801	-2.556070565	-2.149610512	-0.00276962117	-1.52199187	0.4391399659	-3.7619747	0.4287158711	-1.084537041	-0.6037061396	-1.281817063	0.2209677029	-1.818170141	-1.024445826	1.274080337	-2.776271754	0.3166502785	-0.7168639167	2.009050439	-2.012068609	-0.3456798903	-1.983098565	-1.855179011	3.180929073	0.2103068905	3.261216475	1.965779169	3.198750631	1.694760338	-2.236593698	-2.443769221	-1.527568901	0.3751254449	-0.5414325144	0.511289508	-2.682383881	-0.603289812	1.255533402	-0.4121812611
-1.946088139	-0.5996704629	-1.288883273	-0.3746057182	1.377366311	-0.5598211967	0.0663039873	-0.5270574765	2.035384853	1.508003388	0.2123781676	1.595706142	1.349858837	-1.709828423	-1.082901381	-0.8138128113	-1.151127462	-1.947781192	0.9986369798	0.4658393887	1.539577749	1.555794933	1.575165018	1.585016255	-0.04963391726	-1.109442051	-1.617271764	-1.342575464	1.698557077	1.30308447	2.528278082	1.065286015	0.3986083932	1.689835546	0.4858781972	1.312537391	-3.667407396	0.2129210904	-0.1766989474	-0.6614648586	-2.672153674	-1.708483783	-3.611561735	1.828965686	-3.383714411	1.214660821	-3.343026242	1.007333366	1.66819557	-0.986687221	-0.7934824834	-1.619063027	0.7147552511	-2.028670766	-1.568401426	-0.4316034207	-0.5702574576	-3.880991285	-0.9255047051	0.6411760161	-0.2441925003	-2.58863784	-1.765714363	-1.57815485	1.325426124	-1.302662906	2.075076124	-0.6536957237	1.903262096	2.230514676	-0.3772312416	-3.663527486	-1.947272227	-1.700760104	-0.7734185419	2.273366455	-2.531275669	1.146361223	-2.332929878	-3.811000933	-2.581627448	-1.340367777	-0.8409072842	-0.1143571173	0.08745113382	-0.4550812184	-2.397022651	-1.079885153	3.338253609	-1.76816968	3.141451251	-0.5554508455	1.865570378	0.8134751218	-1.023646246	-0.3774816526	-3.437749639	1.693082356	-2.817297242	-2.354789087	-2.186356917	1.035419785	0.9430213735	-2.282641248	-0.2361723211	-1.365098071	-0.436163584	-1.110427017	1.000097431	-0.2739724173	2.220528765	-1.364745352	-0.6738210667	2.761824819	2.269195491	-1.259335594	-0.111407262	-0.09388178677	-3.199404026	-0.6731384618	-0.9552552029	-0.6101584321	0.3169168881	-1.05827588	1.20129929	-0.008151494108	1.768105911	-1.123664526	-0.6988945214	-0.1177010628	1.643075388	-1.350734286	-3.014014761	0.2251954815	-0.1120098674	-0.1014700572	1.410002366	1.185196063
-0.5999696573	-1.238090446	-0.5778396557	-0.1255368602	2.523064077	0.798799387	-2.783212024	-1.243581729	-0.4887625878	0.01162205773	0.1308164741	0.5668833317	0.05080670136	-0.6812788124	-0.3622297703	0.1355097885	-0.7400194127	-1.449184249	1.139543661	0.4419291999	0.4529667763	-0.6711101579	0.4500620134	-0.003931607397	-0.4607289808	0.7373317955	-1.354486377	-3.003115765	-0.5493627604	-0.4001635305	0.2319350274	-0.3540273328	1.561004501	2.184857117	1.723968839	0.0668056026	-1.468152172	2.406072142	-1.294420831	1.083062075	-1.136054463	-0.609090124	-3.423747953	-0.970469408	-2.406320963	-0.1996881789	-2.697353738	1.661596553	0.2104164085	0.2220586147	-1.214216803	-1.472230449	0.8327417707	-1.23188688	0.3690469256	0.9854225121	-0.3830303842	-1.453622461	-0.6981382339	0.8218789537	-0.03724730161	-1.210915792	-0.2139136209	-0.9781017562	1.113654665	-1.184520192	2.124230772	1.170933238	-1.060809356	0.1313299381	-0.09073065549	-1.585229263	-0.1401354408	0.0444470952	-0.5945787201	0.6362805603	-1.24757457	0.4616701223	-1.320592351	0.18880265	-1.866190127	0.1219864526	0.57701192	0.2158379891	-2.192044953	2.08572891	-1.414324682	0.593769407	0.3991030992	-1.332402061	0.6063523504	1.403800132	-0.1534129495	0.1571061087	-0.5934261303	0.4437988767	-3.985987683	1.221539242	-2.946495356	-1.155373097	0.1601106523	0.8421384153	0.2670707245	-0.9087919787	2.097373432	-0.8075113842	0.9196889995	-0.1284292564	0.1811446126	0.01407967853	1.338706353	0.06186641339	0.1820876677	3.263864222	1.415413858	0.3453138051	-1.131599762	-0.4473584881	1.045232687	0.6635395248	0.6984814243	1.368042451	-2.579660349	0.2195217776	-0.8627364096	0.8081003574	0.6251456674	0.02872894111	0.9151609679	0.279357799	1.748160081	-2.276993385	0.8651262175	1.457439482	1.705858923	2.36446046	0.613331198	0.5007833608
-1.185342461	-0.02536455339	-0.3348308949	-1.241639728	2.55442175	0.2324377414	-2.09076937	-1.423923419	0.4259792286	1.259878706	-0.6350409615	0.9484515727	0.4384380697	-0.9472084448	-0.604620702	0.2700922883	-0.7114935924	-1.428287424	0.4662445318	-0.4023930209	1.505185975	1.618616093	1.761551522	1.144199952	0.9221313408	0.5928334614	-0.871447344	-0.8761760495	1.324265642	0.9921071055	2.573925946	2.416476009	3.388055797	1.71637976	1.790795292	-1.622646702	-0.7947115947	1.29275699	-0.6003157121	-0.7260160151	-2.063429953	-0.5672943488	-2.387148348	0.9157747831	-2.790483609	0.3711631628	-2.133964386	0.9417527757	-1.047512811	1.458549519	-1.079150395	1.123939082	-0.7935964533	-0.09039879911	0.8058673185	-2.427995534	-0.5643355991	0.02485372031	-1.145286397	-1.545445946	-0.01425178696	-0.4008489946	0.5538585234	0.4376169993	0.1665272458	0.05725081423	0.434588395	0.6910984401	0.05786499454	0.1255590058	0.780176216	0.5143368658	-0.9107591984	0.217401251	-0.4285837255	0.09169558853	-1.658088422	-0.8859564496	-1.569509761	-1.111979253	-0.4715080854	-0.2150275612	0.5095360109	-0.8222448348	-1.332469363	-0.3855480734	-1.166805499	-2.331980887	-0.5074031492	-0.71881187	0.7831473825	-0.5127334213	0.60112381	0.1504287295	-0.5221960602	-1.661160733	-4.365304815	0.511876246	-3.015510128	-0.3463070503	0.321792794	-0.02053051563	2.037397502	0.1076610858	0.6422463142	-0.03522181486	1.045342057	-1.111541104	0.846731233	0.0668993545	-0.8212147076	0.5371356661	1.282244869	2.15693572	1.012001053	0.6342490582	-0.12635295	0.1417099151	-1.840937071	-0.7514433381	-0.3158601332	1.398446835	-0.7653367496	1.068597597	-0.197263146	0.3421195821	1.894024745	-0.2678356287	-0.2616918211	0.02514250945	-0.9230510296	-2.589378851	0.7298723578	-0.2942490776	1.668710272	1.560007915	1.198289206	2.367841057
-0.5710545252	-0.58161661	-0.3524040806	-0.05558354132	2.825017367	0.2853858566	-2.795349903	-1.589389224	-0.4173238142	-0.2784217402	0.2337252453	0.1747932812	0.4281358678	0.1685194844	-0.155498314	0.4705925269	-0.9051223397	-0.1909207698	-0.01876191698	1.095527755	-0.7616122493	-0.1229270099	0.2285252984	-0.06776892594	-0.9076587461	-0.3935582539	-1.414733192	-1.171846466	-0.8087218986	0.005725457654	-0.3084532381	0.06108201762	2.544729187	1.828812535	0.7820549245	-0.2981628439	-1.528895075	2.581403108	0.4420357126	-1.091462492	-0.1695064215	-0.6430609074	-0.3739294899	0.6892431633	-1.40381474	-0.6578877693	-1.162475829	0.7000499384	-0.430448842	0.8043158713	-1.569279075	-0.9955615162	-0.2346320102	-0.8185223367	0.8179049549	-0.627773555	-0.8149988305	-1.236748105	-1.244849034	1.188321171	-0.3999791991	-1.207652491	0.8166245506	-0.2369002679	-0.603443329	-0.3145244638	0.7091417585	-0.568197449	-0.7909150866	0.5426827101	0.2667383049	-0.479144502	0.1334889427	0.5118736817	-0.3822082324	-1.299020202	-1.299987112	0.9376872491	-2.207885551	0.1377209018	-0.5596673006	-1.14373032	0.2715354243	-0.4163159888	-1.836609159	0.747298363	-0.2856573659	-1.134117288	-1.249372499	-0.2583620957	-0.1375606454	-0.1901019504	-0.756501121	-0.3041031388	-1.054118217	-2.548518084	-3.198677583	0.1631281487	-1.198681745	0.4685559739	1.770201478	-0.4085073626	-0.3315756753	0.223417003	-0.05148846041	-0.2708259911	0.9616521847	-1.157740159	-0.314944798	-1.821092851	-0.9527907071	-1.047813079	1.099145845	1.813769595	-0.7191089822	0.4004138036	-1.272297789	-0.462233234	-1.64579114	-0.3208489873	-0.9954142244	1.108974848	0.259810748	-1.104362021	-0.2142830068	0.453202614	0.1903898793	0.1657630378	0.7737815216	1.279306819	-1.412806265	-0.3127098762	0.2487727327	-0.2698880715	0.6529105667	0.3306571854	-0.1871187572	-0.2389504573
-0.7280267312	0.07043532581	0.01254696018	1.238284057	2.807984427	0.910646612	-1.28237531	-0.8969975659	-1.109216102	-1.694432669	-0.774993031	-0.6122569811	-1.413531311	0.8844624004	-1.32131845	2.195603486	0.1679618427	-0.5436561728	-0.2881577183	0.3973214657	-0.3743400058	-0.3313177942	0.3716492649	0.04907159285	1.590696662	1.483601111	0.8647993739	-1.055657102	0.6460750427	-2.194246723	-0.2896671291	1.556219461	1.570804702	1.081390481	0.9020916622	-1.741375513	0.7956260964	4.101850721	-1.862922923	-1.322341104	-0.6805067682	-2.761678839	-0.3184150697	-1.806467975	-1.311130281	-1.042718409	-0.1714112872	-0.4540123698	-1.925645317	0.9251396628	-0.9080723199	1.057503297	0.2039612412	0.5596672391	-0.2080261294	0.6290784861	0.7188750116	-0.5004154624	-1.11737749	-1.109164964	0.8834062261	-0.2961557724	1.014639568	0.1217633933	0.7939644192	-1.390377184	-1.289869389	0.4718710885	0.2485024886	0.3797280421	0.5716330039	0.8939738822	0.6997541238	-0.1444690839	-0.02725320458	-2.508654984	0.4757770964	-0.9940832075	1.19904427	1.555068163	-0.09729093222	0.7964476346	0.7873840495	0.09169009579	-0.1640983593	0.23202299	-1.489250273	0.06641458398	1.024404362	0.2854816795	0.2645162802	-1.451773007	1.996147652	-1.489365702	-0.136586163	-1.446242669	-1.372016007	-0.4266595705	-1.282140711	-0.1548777724	2.943389624	-2.146517561	-0.9004239346	-0.7913237957	0.5746982291	0.1944862205	0.3536424848	-1.008201341	-0.6461830215	-0.9571599188	-0.9916746505	0.783772302	2.301416849	1.059260235	-1.078363332	-1.703100865	0.894397333	-1.591040384	0.1525687086	-0.6669862043	1.315899578	0.5094691598	-0.6306013941	0.9901817552	0.2024271444	-2.995268172	-0.4640861919	-0.05199353779	1.018962574	0.06116484195	-0.5160539428	0.8504282176	2.914769667	2.264277351	1.165843113	-0.0986503166	2.477944214	1.998320242
3.09741833	4.217850905	4.378069233	2.398607803	-5.162298375	-1.699202173	0.3304992499	6.043039272	0.1772277644	-0.06928513837	1.239131055	0.06549735876	-1.132573762	-1.498758137	6.344620491	-3.254600715	1.535164664	7.382471729	0.6686788259	-1.063602511	-1.217060987	1.003663368	-1.111930397	0.01896964794	-3.320469733	-1.354008985	1.104461322	1.571840358	-2.235610692	-1.407505141	0.9796131315	0.2636966439	0.2443254236	0.9287317209	-4.905651462	4.609739889	-0.1677012336	4.530090044	2.533086512	-1.777867146	0.5905883032	-0.9384238782	0.5782332917	-0.5070789571	2.287009958	0.2338525471	3.179964837	0.17905872	0.0434096886	-1.115229585	0.3993469765	0.715987667	3.337663469	-0.4214351291	0.8080935059	4.560253961	0.5738789566	1.392537008	-0.7403732336	0.8524078561	1.257852158	1.827754513	3.05092731	0.9311125985	2.802594208	1.74307843	-3.378715614	0.8354947059	3.337715427	0.7558496205	0.2755761188	-0.6530897312	5.012753798	-0.01373233197	0.6272552977	-3.024050418	0.2144694525	1.665548942	6.357603336	2.506159373	0.3740583862	1.824534881	0.3418249305	-1.034335788	3.704106199	0.1157698402	-1.342580946	2.511728701	1.433532352	2.362513929	-0.6341589119	-2.863274806	-2.933520063	-1.676963778	1.947418513	3.100253742	4.002752333	1.70656887	1.734443768	0.3545145655	1.957805581	0.9366884269	0.6803335842	-1.742196725	0.5018992271	1.448432425	-3.714335048	0.281206967	0.9354558466	-0.1453678855	-2.689804699	2.50732424	1.383503805	-5.061024812	2.661627164	-3.57063346	3.060293143	3.446756861	4.590245335	-0.1294389525	4.243809098	1.107006779	-2.438698033	2.742054509	-1.195400154	-1.602482472	3.512437845	-2.545476529	-1.460872861	1.501740115	-1.326478036	-1.891485915	6.099162778	2.863750093	2.793613899	-1.451596101	1.708228908	0.4297179502
3.225485616	2.572045958	1.666759817	0.02847241174	-12.27496566	-8.837031491	2.390919605	1.600665488	-0.9195934164	0.0007241388396	2.131820602	-0.20437075	-1.173492599	-3.645209466	-1.135648364	-4.940493642	1.173898321	1.660721851	-1.806335547	-2.328734451	-2.24891109	-0.3062877629	-2.298432739	0.4313122263	-3.365094981	-2.516316061	0.2639397687	3.373978927	0.3948018776	-2.387017015	-0.02604014549	-0.1209191978	4.563784748	-0.2036187643	-5.345519652	1.571916723	-4.957065296	-0.6590502416	0.9797735067	-0.5623671697	-0.3139809907	1.760604111	0.005630159122	-2.117516459	1.623048527	1.096866449	2.540529655	-0.1847011716	0.0338664352	-2.716572998	2.28086352	1.06490075	3.55598483	-0.890758915	3.523135692	0.7809015785	-2.182252465	0.6068858509	1.793420279	2.049351167	-1.477008399	2.269732774	4.77379069	1.734510264	0.149084256	3.339097718	-2.502632827	-1.353618602	1.759441482	-0.8608027745	0.9482801161	-0.5169413854	5.275164532	-0.1376122059	0.26249592	-1.979068698	-0.3131311124	0.6829152653	3.915234273	3.480564576	-0.309455143	1.360348134	-0.4754469528	-1.832374959	1.814108185	0.264283783	-2.230875645	4.222823558	1.687619537	1.313952978	-0.8961722029	-1.2035948	-1.017484748	-1.334444042	-1.738421199	4.695005598	3.869053651	1.663619067	2.363326584	0.6415549896	1.413493188	-1.433148099	-0.6518677961	0.3076708813	-1.49400003	0.6417007978	1.743084707	1.034498826	-1.034210519	3.664101998	-0.7645109511	1.110494084	0.007509695195	-4.846538093	5.114480035	-0.7626148402	2.191195015	2.04428718	-0.1666980726	0.4938229052	1.367037172	1.257427721	-1.317448123	-0.7965009413	1.015516961	-1.003029225	3.094548656	-2.439385904	-2.744911471	2.552494534	-3.721764677	0.6962992272	3.366552867	-3.606890958	2.421286938	-1.896405418	3.874061731	-0.1741379676
1.83508111	0.1761192918	-0.348342758	-0.583480561	-9.966917491	0.3315750168	4.375608726	-0.4539105202	-0.003020200153	-0.5642814329	-1.359283899	0.7549103534	-0.2535469406	-2.144506577	1.994660492	0.2678020665	0.5190547567	3.083627435	-4.67571696	-1.206820651	0.6418478422	0.2898529311	-0.1677454823	1.05608072	-0.3249075259	-1.655648635	-0.8487928634	2.590212433	-1.837096338	-0.554754421	-1.137644024	-0.6764935578	2.230425425	-1.899563328	-4.38946851	-0.7955186286	-1.217851697	-3.13470105	2.708954057	1.605755126	1.104923497	-0.6656356794	-2.017338473	-4.871701048	0.04791928086	0.1779658274	2.612674847	-2.314064692	-3.914635452	-0.4984914484	0.5942309204	-1.130711593	1.609526234	-1.163318631	3.1998408	2.675559869	-2.469607049	3.607239779	5.048740136	-0.8125538796	-0.6148895709	0.2499625462	3.007587844	3.625072173	-1.327513587	0.1942373371	-2.16490556	-1.770705291	-0.8494592719	-2.267313531	0.7940337029	0.2004105276	0.4124082325	0.6655239031	0.7217393347	-0.7101134474	-1.431796926	-0.3426544089	3.066738673	-3.508915722	-0.4205902134	0.8010773811	-0.9470302111	-1.495350676	-0.037170077	0.3886492833	0.2257929635	2.528556542	2.348465563	0.4575251483	-2.237184418	1.807077612	0.3159517694	-1.048860441	-1.148324527	2.776117455	3.213263231	1.913809623	0.7759813161	-2.214731054	0.1964968777	-1.33545856	1.023924672	1.139229616	-1.357610633	-0.762355196	-1.385024057	0.9434272812	-0.5689225012	4.270396475	-1.012929951	2.782417185	-1.043865099	-2.445551839	-0.2321715951	-0.07813240408	-0.2030759594	-0.07681562524	-1.109944177	1.860459243	-0.8293387808	-1.506104369	-2.746749735	-0.8604921164	0.8638548502	1.812600482	1.606481093	2.2386817	1.651759733	2.982103745	-2.825713469	1.522163562	4.671234001	-0.1394287523	-0.71203764	-0.6163467796	1.39575677	-2.24615546
-1.114452884	-0.2345137296	-0.3009703975	-0.7895425182	-6.146551209	-1.591118918	3.174318594	-0.5441090987	2.468214124	1.386729757	-0.01883089332	0.7771856	0.6464168439	-1.710941385	0.2593608329	-2.548634854	0.4652068488	2.012756709	-0.815322398	-1.344250905	1.666938732	1.9730928	-0.3679148373	0.01337681375	0.051012678	-3.135694168	0.5848230639	4.825821447	1.633215307	1.448310692	0.08295595969	-0.3235794083	-2.971172055	-2.467449962	-3.803210691	1.564181118	2.633497531	-4.243708831	0.8427197804	2.292347626	0.1053445735	-0.5400230134	-0.7255679205	-0.1392393793	1.616651477	0.8020694513	1.439307384	-2.23594264	-0.3678066367	2.205722768	0.7818470104	-1.077584136	-0.02382491964	-0.3876130698	1.751207051	1.893925114	-1.228942617	2.325358709	0.5178968293	-0.4837201086	0.6624668935	-1.234183861	1.689243739	0.5156146746	1.577523784	-1.649531685	-2.16166482	-3.738579752	4.143856307	-2.531518921	0.5832955678	-1.070694793	-0.870697843	0.1364562356	0.09762645036	0.6611679225	-2.408123822	-0.4922779372	1.374969613	1.857859088	0.1924663243	0.221646555	-2.967533442	2.928798294	-0.9928787761	-0.7526512671	1.427324837	-0.4083015524	2.485999181	-0.2949282677	-1.50889789	-1.851677218	1.121180702	3.063704422	-0.6851039143	3.698554647	-0.04718955156	0.9550716054	1.524049066	-2.754255321	-1.330243071	0.6691672073	-0.4401857544	0.4113613167	1.278366774	0.07165271256	-0.9203605226	1.481295073	0.5347555549	4.957358247	1.234414845	2.058752669	0.5215608451	0.2991250592	-2.523111593	-0.1626002268	-0.4405795162	-2.841610941	-1.046118253	-1.627341864	-0.6038267551	-2.270216911	-1.805578938	-0.3938513681	-0.3593969299	0.4455609629	-1.61426038	-1.948196851	0.7596357756	0.4804009049	-2.496289201	0.241967761	2.555931047	-2.825870222	-0.446792927	-0.9458978164	1.08193652	1.185473709
