melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128
-1.2448131	-0.7471836072	-1.868712788	-0.359391643	-0.08806702633	1.820850738	-1.142281855	-1.119953885	-0.7192146475	-0.05153537569	-1.352768607	0.6699149099	-0.8118927548	0.3890898111	-0.5680949199	-0.06194239577	0.2610963955	2.402460303	-0.9473031715	-0.8122762262	-0.05560217863	-0.9990314765	1.323734753	-0.2586383465	0.6364176774	-0.3705877314	-1.357103713	-0.5145056917	-0.4424031509	0.5056933327	-0.03284859581	-1.410452212	-0.4991336463	-0.7410719099	-0.9178190164	0.6208448809	-1.338949839	0.423655723	0.3974799172	-0.4628951234	-1.55052547	-0.6766067036	-0.6612094491	2.874859041	-1.290421347	-0.7556559059	1.592487874	-1.192025229	-0.3414740269	0.1758265099	-0.9577570903	0.7839240773	1.677793518	-0.5812256902	-0.7507630858	0.3696715976	0.4214159729	-0.04421422252	0.6876578927	-0.7993794359	-0.6373827074	-0.06236417606	-0.7364110716	-0.824781015	0.1126108477	-0.3471701235	-2.281419676	-2.004902966	1.357216706	-0.882844935	-1.002684632	-0.7832999779	0.4201468348	-0.3472909271	1.134164398	1.061653121	-2.362883712	1.414095047	-0.0630278854	2.467472776	-1.07802571	-1.007496487	-0.5995626389	-0.4787273197	-0.4089596183	0.1987230558	2.038980884	-0.3100194468	-0.4018001268	0.8286867035	0.4701654367	0.508419435	-0.7127183411	1.431283425	0.3308985904	0.9120223877	0.3689859316	-0.02270102196	-1.466039069	0.8937649886	-1.365874182	-0.7461217537	-1.142734316	-0.07103633461	-0.9497795272	-0.7086240262	-0.6288752616	0.130293484	0.1432876744	-0.02040168573	2.591299535	0.1939817112	1.88668474	0.1014205473	0.2329713094	-0.2884957859	-0.7014549351	0.1217197923	0.4911940715	0.09007239275	1.612052929	1.312298499	0.1293153894	2.031310452	-1.301405065	-0.9409608712	-0.8524580594	0.9242097689	0.408207368
-0.4805552483	0.5585846111	-0.2224604438	0.8335645107	-0.03991735289	0.07438874012	0.524570825	-0.1407911719	0.1640807757	0.6523758736	-0.598727521	0.978847415	-0.6264327328	-0.6850126101	0.2883128744	0.2363895188	-0.125140486	0.5413716557	-0.8105607348	-0.7643422758	0.2231956531	0.8635557565	-0.4684677551	-0.2045974413	-0.8116930635	-0.4858644103	-1.65147192	0.3040690318	2.225614772	-0.1802526369	-0.6459564947	0.07313969949	-1.122859848	-0.1040113974	-0.7810118708	0.6917567154	0.9243932536	-1.684789325	-1.318635884	0.4163384977	0.201695836	1.217462466	-0.6542807122	-0.2258301164	-1.560525975	-1.237819382	1.536882797	-1.149635277	1.756549654	0.9566909156	-0.3854733857	-1.175413339	-0.08413709486	0.3763380365	-0.2683748414	0.5995597103	-0.254219985	-1.40740459	0.2550152851	-0.9462070105	-0.922574098	0.1244399466	0.8986176545	1.234161537	0.003431666294	-0.9139035936	-2.463812194	-1.884427414	0.8079156826	-0.4768970578	-1.320558497	-0.698350584	0.543337516	-0.3257677539	-0.8631088848	-0.9135656414	-1.031632428	-0.6770630142	-0.5603484694	1.20694973	-1.691233916	-0.04362048608	0.05899545145	-0.4245141653	0.5197778933	-0.742289352	0.480428781	-0.7273886268	0.8848602114	0.3116495704	-1.168371978	-0.9792992076	-0.2170643392	0.8151084619	0.03140978046	1.467180472	0.9342380391	0.6024674232	-1.686167607	0.8227131432	0.5277786772	0.4275852487	0.3074575604	1.071456838	-0.5711659362	0.327055215	-0.6190648476	-0.05860543422	0.7760507148	-0.4157391566	0.5478954032	-0.4312227813	0.9563089302	-0.6966782955	0.2225087452	-0.6823290297	-1.578454117	-0.773330309	-0.6818020671	-1.591030582	1.382447777	-1.298814383	1.269351221	1.429386329	-0.1868454755	-0.9712253815	-1.806507828	-1.200050307	0.8511971284
0.9058884116	0.9884600611	1.149120894	-0.4019351629	0.2827893437	-0.5939350705	0.5231862965	0.651727807	-0.2842533229	0.168903385	0.5674822253	-0.3466865072	-0.1358803078	-1.28191745	-0.6272602534	-0.4781990318	-0.7069659454	-0.6383709559	0.5765395553	-0.2761993684	0.01698453234	0.1708137105	-0.9293121775	0.6914647391	-1.115679059	0.06454525613	0.02121107613	-0.3106858117	1.211443379	-0.1650243046	-1.119312374	-0.663376805	0.0009755633639	1.699096978	-1.25148127	0.7913657071	2.475415271	-1.502545554	-1.39738426	0.2006684066	0.9845110584	-0.1573687556	0.2156705398	-0.8598073402	-0.710335612	-0.004416269518	-0.1747574167	-0.7598689813	0.704515608	0.6279877789	0.6246320292	-1.446170653	-0.1636954674	0.3271441518	1.997172409	1.107077337	-0.7834124456	-1.009776465	-1.292153803	-0.9910062358	0.3095203075	0.08669051826	1.513682724	1.031522989	0.3611855366	0.2278111928	-0.6709127746	-0.5168715757	-0.2787324578	-0.6932750362	0.7817692594	1.200118369	0.3941759884	-0.6221724452	-0.3922379586	-0.09640344496	-0.09267685587	-0.5675089353	0.3185299695	-0.8874103528	-1.319951227	-0.2604992559	0.09405958128	-0.1274268767	0.5759860882	0.09367614585	-0.7748102576	-0.5421334501	0.971074752	1.43054088	-1.607890637	-0.8068915109	-0.1708818006	0.0737726436	0.224347677	0.4333882951	0.8419524927	0.6216387815	-0.04493509998	0.4305880093	0.8012335336	-0.001251791654	1.100296601	-0.001024652932	0.6202094113	0.4886258202	0.5869395574	-1.183656592	-1.060554773	-0.09645797535	-1.180845774	-1.123062682	-1.148636852	-1.440451233	-0.6166615255	-0.1357550855	0.1577023189	-0.3828097542	-0.03858779089	0.04914596379	-0.2009724493	-1.069308534	1.198524689	0.319512481	1.424902858	-0.1217252746	-1.680546249	0.2870271353	0.6430448125
0.4620302056	-0.4640824338	-0.2116568738	-1.118975952	-0.7855700166	0.3975699051	-0.5934492495	-1.760865506	-0.5980163667	-0.4897122293	-0.9032789863	-0.05167810424	0.9545286625	1.911868481	1.353813494	-0.9854734576	1.586812615	0.03198750803	1.057541562	1.039756619	-0.838068752	-1.417589419	0.691919037	0.0310964	0.9553155481	1.199690734	-0.4276238214	-0.6188961349	-1.185086026	0.2083991882	0.6108902253	-3.385211547	0.7228981754	1.3011077	-1.299194293	0.4756418432	-0.4124770586	0.7176084194	0.52069815	-0.9075334093	-0.4734240325	-1.312850291	0.3464803315	-0.8862273548	0.6623248552	1.131890273	-0.6604956509	-0.6391393202	-1.33214981	0.2930081123	1.308702477	-0.06329940958	0.2094039667	0.07598800344	-0.3063909355	0.05075123518	1.228728895	1.752850269	-1.588079291	-0.2463239947	0.9718413759	0.80701699	0.2058142663	-1.951958396	-0.3172793918	1.058602594	0.4664437679	-0.4339965775	0.4084581166	-1.849585336	1.659448965	0.9720383128	-0.2162927592	-0.515553916	0.3595879727	1.105176339	-0.6827655911	1.226636048	1.77713111	-0.9786807815	0.1488516792	-0.5573474404	-0.5150277947	-1.893694405	0.3857103225	1.172456279	-0.8169631564	0.01116306486	0.1214173416	0.5641371374	0.1165965768	-0.8398141255	-1.133781348	-1.492200197	1.171601435	-0.3222716654	-1.205877113	-1.213555042	0.3529030076	0.9884011425	0.5227959617	-0.8574649635	-0.8819440963	-0.9268786074	1.335621197	-1.129417219	0.9767488405	-0.4711013285	-1.141930567	0.7366885982	0.6876461144	-0.6344733029	0.4061552009	-0.2857402154	-1.203128206	1.597336776	1.152130645	-1.005795077	0.5316015099	1.176207459	0.4930654505	1.649836192	0.8730065845	0.6518161154	0.3452726152	0.06272933235	-0.8494644314	-1.643400864	2.129234754
-1.006916736	-1.06149551	-1.151587961	0.1855958212	0.02605499435	1.945100199	-1.177494734	-0.6047607561	0.07471977647	-0.01253363893	-1.167015402	0.930002508	1.804050225	0.4569316221	0.2228875375	0.371939696	-0.3434806406	1.243723	-0.2837555247	-0.8748871863	-0.4819180558	-0.1916925754	0.2961814337	-1.11535781	1.085892629	-0.9738055729	-1.93519368	-0.7496948306	0.03025988082	0.9426139568	0.432166201	-1.696898344	0.9155585687	-0.2242781356	0.02891197063	0.09329851195	-1.812926842	0.9103334634	-0.2960985677	-0.1683857364	-1.426402968	1.268545931	-0.8500535067	1.402451512	-0.759991481	-0.2929790855	0.04922933753	-0.4154092497	-0.5609643754	-1.161239979	1.851328567	-0.07658241345	1.063906998	0.3740562666	-1.017983735	0.2559459616	1.22401622	1.532160886	-1.920966609	-0.08578543477	0.1739517965	1.101905362	-2.35513141	-1.338852908	-0.7322528109	0.6131331194	-0.97544706	-1.143379093	0.765491255	0.08459031218	-0.4712235916	-0.678132885	-0.7094824751	-1.27696477	0.07916566996	0.4868812135	-1.354838267	0.8193766509	1.241380469	-0.2028357242	-0.2335852581	0.06030362947	-2.127234783	-0.8908592978	-1.329777993	1.129874459	0.6856919776	0.1247965051	-1.133884895	0.5345194786	-0.9582780676	-1.632259743	0.09118321771	-0.4968576528	0.7706471568	-0.2299250797	0.3512777279	-1.079764258	1.79858685	1.690202932	-0.09260158461	0.8637910783	0.8840709818	0.1488664793	-0.6775009217	-0.8301022558	-0.5559518563	0.2534192242	0.6023763435	-0.3063218201	1.877602883	0.4248613311	-0.1831731195	-0.1877489529	-0.2234639752	1.181981278	-0.2508611381	0.1015459547	-0.7648696465	0.1063294469	1.319239261	2.121538067	-0.2278316876	1.326705885	0.4657878197	-0.1730459219	-0.2252064562	0.3671397337	1.291839776
0.3558510667	0.5617553315	0.2010217345	0.2805164556	0.1299067771	0.1375237374	0.009561167032	-0.2953660158	0.8768971898	0.5901605193	0.8804194581	0.6723669982	-0.7869637552	-0.5812018356	-1.017181224	-0.056977343	-0.06927726535	0.9419466218	-0.4960234265	-0.4574673145	-0.005556213168	0.2835803777	-0.631677813	-0.8464153197	-0.1671401008	0.008118464181	-1.220231125	-0.4786929887	2.38828997	0.6132892848	-1.412898185	-1.625893207	0.2490600419	-0.1588918107	0.195602938	0.6219913143	-0.1155047925	-1.454652617	1.239118874	0.5643500587	0.3547084955	0.1518762073	-0.3630084086	-0.006699734926	-0.471026278	-0.7519909491	0.2812466989	-0.4441834425	0.6857530877	-0.1827053083	-1.502830215	-0.8965462187	0.2080432078	0.4260186004	-0.07402088139	-0.6076285333	-0.4359022245	0.6664425601	-1.784480433	0.1520963818	-0.5020267841	0.2682624276	-0.5668616839	-0.01122959482	-2.20152912	0.5419123623	-0.8764025999	-1.192942179	0.2342492085	-1.090386068	0.2613720043	-0.7638814434	-0.6969328423	0.00285050274	-1.279620353	0.625651203	-0.4502172827	0.1918581388	-0.03729905395	-0.8203201384	-1.339310662	0.8724906598	-0.6056201944	-0.3576196132	-1.509551422	0.9725935172	-0.9606239125	-1.206641328	-0.1771060326	-2.885650372	-1.617900664	-1.44319078	-0.3147396667	-0.6432576452	0.216818077	0.02069084436	-1.424298235	-1.017877044	1.184343445	0.8943925911	0.09992758096	0.01872853235	1.245962475	0.3459907536	0.3826832911	0.3057899001	-0.5664623169	-0.5585674296	-0.07962565527	-0.1613126627	-0.5393529425	-2.283483204	-1.466484669	-0.7246371264	2.212813745	-0.1750697298	-0.07396515441	-0.3412697368	-2.002153226	0.231582251	-0.01315407385	-0.5620525431	-0.2826320994	-0.1189496595	1.552042209	1.175819209	1.006241938	-0.006277578446	0.3914115988
-0.3542922088	0.01233442141	-0.2352908941	-0.2419743333	0.5679448343	-0.6496116367	0.3946046384	-0.8678935218	0.4318888564	0.6363313895	0.09984677087	0.1694187464	-1.033614011	-0.2192398931	-0.7391106018	-0.534924508	-0.8829958196	-0.8019162123	-0.2632548518	-0.8313220746	0.03560979829	-0.1124558632	-0.9381832943	0.09875111231	0.05466663854	-1.117422766	-1.733368233	-0.07114095268	1.901072303	0.3782441156	-0.9797511334	-1.976231667	-0.04901302686	-2.142880256	-0.2400816307	1.299731279	0.8955124698	-1.431801605	2.482096887	1.23491748	0.4827986966	0.2783028718	0.8896697232	-1.222736827	0.971883911	1.908459452	0.9196061642	-0.07357848395	0.5167632783	0.3467801681	-2.144083563	-1.369999035	0.6092345142	0.4724973791	-0.4965045894	-3.214107076	-1.104927221	1.434012537	-2.410108659	-0.07516862124	-0.3494945132	-1.247191878	0.9509706063	-1.094212515	-0.0496730749	0.3494897503	0.8840557898	0.1400844235	0.1968012412	-2.531294855	0.8357596201	-0.8231043916	-0.9750974355	3.593610936	1.175856461	0.5793977923	1.250988249	-2.104314516	0.6508846464	-0.2585188383	-1.323057923	-0.1398653069	0.2643864553	-1.221474937	-0.4163684396	0.4658603654	0.4603815047	0.5035949984	-0.1153106624	-0.9572547359	0.178679438	-1.041830073	-0.01564422638	-0.7240177229	0.1390205545	0.01855110016	-1.760100427	-0.1310247706	1.528904162	0.8776648143	-1.151772955	-0.2978199769	-1.494904722	0.362940373	2.408301332	1.423166219	0.8598406478	-1.219596813	-0.020567719	2.251873896	0.4312712727	-0.2122219931	0.700294372	-1.314003945	-0.7879845825	-0.01996316316	-0.3990407552	-1.26165791	-1.621187257	0.6968703277	0.6622104165	-2.119880509	-1.022844163	0.09525490566	0.4032938771	1.292506543	0.7586648144	-1.546594834	-0.5961164932
-0.6090974212	0.2403982155	0.6444944557	1.257985008	0.2765661654	-0.7489546587	0.4213504929	0.69256659	0.2660286261	0.7325329461	0.3203437093	-0.3011237735	-0.8009304719	-0.1525846228	-0.7712505984	1.750368637	-1.104507588	-0.433909035	-0.624893666	-0.2135583094	0.5259861797	0.5814796655	-0.08711052998	0.5036154169	-0.2682729018	-0.3228823279	-0.7711394024	1.251434558	1.715867452	1.249638169	-0.1176296087	1.856149145	-0.2795571155	-1.354066363	0.5735864678	-0.1828362554	-0.4212699327	-0.5111476405	-1.519019437	0.7090711956	-0.2808080591	0.1023980417	0.3640992314	-1.599178943	0.5834361083	-0.7169633665	0.5836242358	0.2313412731	0.8614849947	0.6009341824	-1.292594512	-2.089393432	0.8622962971	1.161447768	-0.7410142871	0.6508695231	-0.3296868504	1.88660093	-1.652187831	-0.491839195	0.5556440296	0.4400265758	0.6610556052	1.145961034	-0.3826976954	0.6553135329	1.47027381	0.5145551818	0.3591083946	1.893494367	0.8945121848	1.496468247	0.7644297454	0.7010500472	2.338391169	-1.758018676	0.5409528031	-0.6245955068	1.613066133	-0.2760230101	0.7053510558	0.2590210136	0.2158979672	-1.037056162	0.5173801539	1.78982926	0.9281394134	1.205559622	0.4916345747	2.122650995	1.804112121	-2.687644824	1.251472748	1.309716217	1.338209805	1.549403349	1.651030922	1.343923668	2.114543389	-0.4808534097	-1.645668731	2.323647268	-0.05897475361	0.1056267485	-0.6250401469	1.82874984	-0.580297677	-0.7920796176	1.607851259	-0.08412446498	0.399242211	-0.7049661341	3.659473402	-0.2458569906	-1.611938395	2.337003474	-1.412669784	1.164510799	2.081458882	-0.6526086901	0.2587436106	0.2938040819	1.969879733	-0.6600551405	0.238525464	0.2866637854	-0.4102505122	0.9817021972	-2.277814019
0.7672728703	0.8956981966	1.40478645	-0.4667910153	0.07584296154	-1.093799449	0.6829969018	1.443342528	0.1459790829	0.476212055	0.6498405699	-0.4506394677	-0.7905142553	-0.5222432538	-0.1189289749	-0.7382959179	-0.8945010352	-0.616153333	0.7783164497	-0.7404048538	-0.008310792621	-0.09067871362	0.5358373057	0.8724522399	-1.650885412	-0.5378939475	1.021326981	0.7265361436	1.034035932	0.1204487444	0.7110843901	0.7857396289	-0.9168470614	1.544178434	0.9630431634	0.1272376991	1.495766802	0.6803865847	-1.040660223	0.4203873383	0.4809472557	1.271256106	0.2963446092	0.5460682934	0.892271575	0.3526830681	-0.97083947	0.949388978	0.215585041	0.1730762694	0.06902171636	-0.9807301538	-0.9032675564	2.298810578	0.7876971076	0.1912925289	0.49511614	2.320779198	-0.6757151733	-0.5278804154	0.2520691052	0.5194186137	0.2878788155	1.410234983	-0.2590762646	1.031135739	1.660179772	-0.4892888671	-0.2726830208	0.3593908861	-0.2760644965	-0.03596651135	1.171954586	0.4389842115	-0.2052353423	-0.09232807005	0.1163627462	0.5902242678	0.8622270376	-0.7680713102	0.4397650442	1.955023287	0.660731564	-0.976286036	0.4352136888	1.478432612	-0.2920102062	-0.08202928038	0.09642738429	-0.6822694667	1.535930562	-1.361045217	1.156979828	1.265400998	2.162408588	1.56418186	0.9291884355	-0.3515204072	0.7964294503	0.3217098784	-0.1177987352	0.3505590039	1.390967855	0.1947927985	0.7394018947	1.635830871	-0.07185809035	-0.3688342265	0.4310087421	0.104598701	-0.9283720903	-1.154009985	0.899830303	0.8611232741	0.7526759741	1.975134328	-0.1082039113	0.8825304081	1.361996882	-0.5888184551	-0.629524392	-0.002568506632	0.536779789	-0.5527716026	-0.978694128	0.7085178795	1.235944403	1.991444314	-0.7963056435
0.2281114592	-0.6844807533	0.5873372002	-0.7332428771	-0.5678660426	-0.8182218515	-0.4315807332	-0.6697742037	-0.5740231947	-0.6253304163	0.7062680088	-0.9620866366	-0.2569052806	1.388741237	0.6445964057	-1.614898591	1.140883719	-1.363593389	0.8399657183	1.079592427	-0.4669317722	-1.509135734	1.33487711	0.2496224168	0.9359285794	1.332684791	0.9090098298	0.1205988161	-2.510938129	0.02034775197	2.097966727	-1.051429329	-1.048567635	2.061921597	0.7676118485	-0.2577150998	-0.3482337907	1.877247049	0.7610647671	-0.7786458956	-0.6572650331	-0.6634205877	0.8471837377	0.3067287818	2.223786889	1.180306423	-0.3547680292	0.8275407533	-0.8415319428	-0.07152985311	1.449611651	0.3871946329	0.731175605	1.798833699	1.066820247	-0.3717739503	0.287297596	1.987519896	-1.039529538	-0.2572642906	-0.7069792347	-0.2663635474	0.1444338772	-0.09057995862	-0.3214116494	0.4700969845	1.108744912	-1.373156458	-0.5448213319	-1.125693222	-0.0409048414	-0.7132116484	-0.6316232314	3.563428262	-1.614110188	1.27557036	-0.5946521792	0.9061301538	-0.5427877385	-1.639583878	0.3746467918	1.812379929	-0.3292861873	2.280585714	-0.5190297672	1.740121678	-1.003074166	0.1347933164	-0.8129067959	0.2305961014	-0.04438874462	-0.4959785911	2.643958272	-1.805747414	0.8727775927	-0.2064237109	1.870074076	-0.3793053561	-0.8686375002	0.7703966466	1.076994898	-2.005580775	-1.856582145	-0.170366012	0.2511663254	0.9162872967	0.6581718957	-0.9167705584	-0.4206066915	0.6781164116	-0.3594010702	-0.05840796412	-0.08237966893	0.6300423195	1.197869496	1.65675688	0.7972701383	0.1445089226	0.281174635	0.4677534098	-1.050685297	0.9121761919	1.656325246	0.0602029124	-1.398898464	0.03511662125	-0.08749571793	1.422869289	-0.08755179645
