melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105
-0.5633225943	-0.3398501588	-0.3474180614	0.1844888177	-0.4709063059	-0.7488773886	0.5060807728	-0.8915498626	-0.5763809266	0.8768895225	-0.227625736	1.619734771	-1.410678402	-0.7846463362	-1.011960312	-0.4886542306	-1.493613173	-1.804247458	0.7368753971	-0.2872371269	-0.3125947339	-0.4621525966	-1.128309833	-0.2854970239	0.5533431469	-2.479886255	0.800576459	-0.5049123013	0.3170979282	1.137821453	-1.281634511	-0.7148912968	0.9633443965	0.8305684526	-0.9953378214	1.177288574	0.4648222981	0.9118827176	1.569532397	-2.601049199	-0.6822239989	0.43987003	0.4494136155	0.3980467807	0.3786558114	2.364352812	-1.272499448	-0.5421367663	0.5660375617	-2.022534414	1.87407821	-0.6433596556	-0.03268750819	0.9795007087	0.1732429073	-1.00695472	-0.4077378467	0.07143598583	-1.454080811	1.486603264	1.292311981	0.2149214031	-2.305346375	-0.2185895465	0.477297296	-0.2457578529	-2.495774442	0.3457235948	0.9704324994	0.3109782527	-0.2045667209	0.1576758864	0.1651007384	0.3866680397	-1.267849776	0.8073899298	-1.663836093	-1.723169347	-1.038447612	-0.7275351446	-1.819456585	-1.153324089	-0.4811628535	0.9907660702	0.4448521337	0.7443479299	-2.058576767	0.7326164305	0.2968224418	-0.2195840703	2.514307092	-1.336490114	-0.4518228325	0.1008832023	1.526832954	-0.3511859519	-0.914017294	0.2746150229	-0.06215676848	1.775597366	-2.061946476	-1.808603745	-2.352700673	2.281711435	-1.301742859	-1.169942735
-0.003294264715	0.7350056775	-1.07576377	-0.02369074278	-0.0260814948	-0.6662211633	-0.2082700496	0.5039338833	-0.7722841909	0.6130741832	0.008381570732	0.6374222982	-1.457401045	-0.5571413321	-0.964049794	-0.9225238344	-0.7790029204	-0.7811573066	0.6125422398	-0.9044615032	-0.8607528898	-0.232236343	-0.7360991616	-0.5659646531	0.6220921313	-1.242121454	1.044191419	-0.6926712037	-0.1047233772	-1.932339983	-1.381490623	-1.272093111	0.8542256714	1.589942885	-0.5699846009	1.449453248	0.5789751759	1.383393332	1.617464198	-2.394228147	-0.07453976064	0.09281279105	0.7125459893	-0.01657847036	-0.2002487267	1.522623474	-1.415192201	-0.8387809408	-0.5009980389	-1.797548462	1.952953497	-0.5167911403	-0.6906783191	-0.8397090919	1.306895287	-0.9316250982	0.5898172173	-0.3628597919	-1.274166311	0.7118552894	1.450086593	-0.5157058418	-1.926486327	-0.797425262	-1.270768944	-0.6235233321	-1.648564732	0.06692031091	1.197101723	0.2960110146	-0.2531008182	0.2203987982	-0.6537310457	1.007813352	-0.9659535849	-0.3561840426	-1.76483585	-0.3475775638	-0.766744715	0.2650751567	-1.324322926	-0.4910362658	-0.6600294823	0.9576371375	0.8350037853	0.7337933618	0.2101502381	1.276597979	0.2699804494	1.296010795	2.594384382	-0.7146399426	0.560731122	-0.1845201422	1.017132972	-0.6068645561	0.5612463014	1.264885864	-0.4434300719	0.8335950676	-1.280368091	-1.498190231	-1.10171491	2.04345336	-1.124766868	-0.8547084211
-0.9544457145	0.4895474225	0.9457083193	-0.4818874376	0.04383854839	-0.5257406847	0.6292587798	-0.8660901962	0.07422528104	1.059153623	-1.507174413	0.2325005268	-1.101587289	0.4186531603	0.1122879012	-0.3381128303	0.008470317765	-0.5425619679	0.3128594778	-0.5558798098	0.6038338753	0.2621196981	-0.5152537407	0.5641761522	0.3391932648	-0.425200726	0.5270408301	0.866442448	0.7778809303	-1.633138584	-0.9558016976	-0.9862254536	0.7821901998	-1.286246035	0.31938964	0.6736351522	-0.9124731667	-0.1844315627	0.2028331887	-1.093033176	-1.086609275	-0.1817110646	1.773989575	-0.865057239	-1.015658835	-1.459872171	-1.172070916	-0.7022379935	0.6432227933	0.1800251062	0.4987950528	0.676641704	-0.02397287724	-1.666738835	-1.079287432	-1.158896797	0.5076748431	-0.2490891383	-1.127271576	-0.3201271428	2.581889055	0.4961106306	-1.050692038	-0.4453846726	0.9785461418	-0.7938391372	-0.5063392033	-0.2501557466	0.2179818831	0.5124475514	0.52036281	0.7628049614	-1.581222968	1.077916461	-1.861615576	0.745987872	-1.58542607	0.01488474387	-0.670584967	0.00224578746	-0.209202646	-0.6819470004	0.4549142053	1.651793002	2.230663097	0.7918561072	1.499205702	0.2093154462	1.142742167	1.32823137	-0.3966872494	-0.01666100406	0.5712781941	-1.873168843	0.5328819745	-0.5658373805	-0.3142173498	2.699627665	1.380028213	-0.3999336886	0.7964716407	-1.39718913	-1.217521898	0.3862313386	-1.812231178	0.3573440352
-0.5215602492	0.8296818576	-0.03570555416	-0.08088585577	-0.669985715	-0.4834918672	1.377696594	-0.3865561147	-0.2780348148	0.8188552543	-0.726665651	0.5650976661	-0.5461908547	-1.050345971	0.284969457	0.2904141628	0.8375456307	-0.9161174595	0.1709700831	2.124427183	-1.162091071	0.3666961144	-0.1681770434	-0.7474120816	1.527438287	-0.4610940542	0.6417768653	0.1711795935	-0.3369828819	-0.5170354623	-1.703984694	0.6882144197	0.8778424527	0.1684702429	0.5967869183	-0.4087850961	0.4104589873	-1.566513037	-1.039613645	0.1340101144	-1.908533858	0.2376695975	0.2044412642	-1.45543338	-1.206918056	-1.366169382	-1.084059766	0.3082571364	0.4758771196	0.6896842379	-2.095390768	0.3237370585	-0.1182254888	-0.5272265737	-0.7954424526	-0.9766185336	0.1931191903	0.8479763317	-0.8242542267	0.7258302091	0.8713701356	-0.5699695533	-0.370209924	-0.4702403331	0.5970288812	-0.7477766185	0.04962869734	-1.158752436	-1.92466149	0.2401560844	0.7200413299	-0.5255738564	0.4865722718	-0.486255707	-1.409286315	-0.4306433406	-0.6500856145	-1.149093405	0.169605345	1.876995874	0.6003708035	-0.9065237578	-1.139050876	1.466139978	1.266564552	0.3924098623	0.8976443611	1.119595008	1.060046633	0.7151505195	-0.6030375882	-0.06662592623	0.3493045161	-1.143853961	0.2083648788	1.037333493	-1.510313098	1.4554573	0.9232457609	-0.4924310356	-0.2039497319	-1.230169178	-0.8399801964	0.6412946074	-2.011453885	0.9250120774
0.4698731098	1.586279469	-0.3218605445	0.07373928259	-0.6606392313	-0.6302856313	1.075593654	0.4739171803	-0.0503148702	0.2573137962	0.135727544	0.2219140508	-0.7139340047	-1.097352735	-0.4377032022	0.1316454036	1.243427499	-0.9496766443	0.427895037	3.456470672	-1.593263939	0.0007035430615	-0.4280279569	-0.460821523	0.2464473166	-0.8418928608	0.7302749123	-0.6489044751	-0.1675235335	-0.4512676065	-2.286071059	1.288793298	0.8252865641	0.8556097735	-0.1249589957	-1.084592877	1.651941623	-0.1538845285	-1.780953429	0.2833960437	-1.563923971	-0.09793346127	-1.034630788	-1.315683624	-1.788532338	-0.5142059645	-1.001950654	0.8959625651	0.586053306	0.1677716182	-2.591275128	-1.793050909	-0.848968713	0.8070507895	0.5515971817	-1.124394654	0.03878322165	2.3045278	-1.534736074	-0.04660707261	-1.4044858	0.06093155404	-0.5610908759	-0.4785477581	0.338872603	-1.472140855	0.09508540147	-1.386905679	-0.8079628841	0.3184205863	-0.7165366488	0.3129049044	1.644279903	-0.2470583829	-0.4133526209	-1.477410309	-0.8710176698	-0.2324181828	0.4391204207	0.9707766166	-0.09715223267	-0.651924947	-1.111256227	1.426783482	-0.06303410388	-0.006638935078	1.388710456	0.8300017457	0.682096084	1.305327143	-0.5412201864	0.1924346071	0.6889940471	0.5597531011	0.3982967787	-0.03257485042	-0.9746804923	0.9506476318	0.778111088	-0.612955034	-0.3940140472	-0.8467583309	-0.5920038437	1.525723407	-0.816429713	1.796313454
-0.02930521824	0.9257616835	1.016952019	0.2306710906	-0.1271760798	-0.9396198378	0.6195477215	-0.1653186124	-0.04633190676	0.694150502	-0.4965279631	0.1603882388	-0.587377691	0.2000282205	-0.5627587937	-0.3855280521	0.4834121134	-0.2988401255	0.08901770248	1.376446058	-0.3180583215	-0.4508726899	-1.063340032	0.3421823899	-0.9838046999	-0.6521918855	-0.1286783391	0.4148231421	1.606133366	-0.7177760281	-2.057622496	0.5446196693	0.08201981417	0.3254753001	-0.8582797564	-0.614219543	0.02564823417	1.086387911	-0.7032839325	0.2844095762	-0.9634572605	-0.4825124978	0.1645063024	-0.3408008528	-1.740025907	-0.01677263622	-1.63493046	0.7503634643	-0.1580505239	-0.3960501563	-1.586668495	-1.222746468	0.3080565617	-0.6327249682	0.04786484658	-0.798432738	-0.1701410697	0.837913646	-1.838425752	-0.9543344235	-1.857056518	1.578742991	-0.4786916015	0.3551532545	-0.9540049985	-1.546457725	-0.1604832247	-0.03416604785	0.1671471619	1.343315412	-1.466398039	1.857536864	1.038021763	1.393458997	0.5177202751	-1.02123195	-2.076880515	1.504232979	-0.09860364094	-1.199390007	-0.1938075259	-1.054852947	0.1767102524	0.9791493957	-0.08500645463	0.01400442122	1.477445475	0.1393995267	0.4000777911	1.232626042	-0.01748064748	0.2969312113	-0.5028346113	-0.2318630198	-0.03120055292	-0.2944827831	-0.8574551593	0.7784381856	-0.01550407128	-1.188854646	0.2919126334	0.1084595806	-0.4703477836	2.004915454	0.4178337947	1.551259909
-0.09797087395	1.084436789	1.250323889	0.8120263618	-0.1781050508	-1.433834257	1.013923383	-0.3122285312	-0.441740084	1.032565869	-0.848747864	1.289801654	-0.6525995331	-0.03210731199	0.4285608963	-0.4910075161	-0.8370887022	-0.465145976	0.2360961284	0.6735067259	-1.54689102	-0.7683204579	-1.334023942	-0.6390165212	0.4000168462	0.02344121656	-0.6053822183	0.1933481086	0.02608323409	-0.5178789996	-2.203418643	-0.7835956504	0.6757393119	0.8204756806	-0.7965968311	-1.147156977	0.276031584	0.2324232076	1.007163786	1.401010634	-1.009145095	-0.2570827891	-0.3356977722	0.471596303	0.4187646836	1.302900168	-1.202789603	0.03212578869	0.202786294	-0.6782229795	-1.234705078	-0.6646821943	1.492767548	-0.150471811	-0.5641747297	0.7262048665	-0.1327780929	0.7945306202	-1.30953943	-1.318613614	-0.4446564536	-0.4119743357	0.0420161774	-0.6006040574	-0.6124456183	-0.9035377923	0.5997799682	-0.005619844443	0.5848760399	1.770470614	0.1137938495	0.4716106905	2.189480812	-0.7256713223	0.7739167268	-0.6188063449	-2.402567984	0.1167864055	-0.6589390728	-0.776409025	0.6817969898	-0.2772334722	-0.2459911694	0.8878198642	-0.0046096069	-0.1500906131	1.565925998	0.2808012171	-0.06799713545	0.5183426556	-0.99589319	-0.1830826802	-0.7271343704	0.141229082	0.9881882393	0.5090560213	-2.393829616	0.1878323105	-0.3035383742	-2.051388368	0.5939718473	0.2896680456	-0.3225267354	1.283659552	1.930385357	1.24397143
0.6100356794	1.169221083	0.7268745794	0.9634899747	0.1896851992	-1.766226821	1.040195638	0.04723545495	-0.5258161072	0.4418952778	-0.1461010202	2.444488672	-0.8593209497	0.4448694191	-0.1698453517	-0.8791984677	-1.077579801	-0.8124372498	0.1182637305	0.09418906355	-0.9407009999	-0.9386803797	-0.3849623882	-0.8911654432	0.3603595037	-0.4125373104	0.06524568329	-1.758354163	-0.472179211	-0.3591443442	-2.11553548	-1.085321157	-0.003046190033	1.293689003	-0.5982145699	-1.769079804	0.9261857774	1.95852636	1.383398262	1.647025488	-0.7264686716	-0.4342549257	-1.625927288	0.522543422	0.6451728549	1.696045376	-0.5936406273	1.224551316	-0.43944427	-1.128002502	-0.4442785155	-0.852952713	1.251341504	0.4842315539	-0.6442417673	2.164128249	-0.1828259962	0.9690029811	-1.429092316	-1.707488753	0.3488630759	-0.4305278346	0.3225685706	-0.4244859663	-0.3383911432	-0.8890595501	1.507451705	-0.3408871031	0.1597790896	1.344588517	0.552811695	1.506743715	2.622705169	-0.5400788055	0.2314766003	-0.395718688	-1.629035229	-0.05430183452	0.09030136366	-0.5247985383	-0.1454820786	-0.2242438206	-0.4301443454	0.03425698222	0.6535121491	0.6425911288	1.032457378	-0.9992454845	-0.4592515552	-0.05282248446	-0.9486095629	-0.2214500725	0.08265933261	0.3147818923	-1.081708871	0.08672143451	-2.222310489	1.563213883	-0.4360866124	0.3894174541	0.6768699777	0.2968208384	0.05123577055	0.7679533016	2.827322315	1.814661246
0.4867519703	-0.4790977971	1.378754704	0.8536558223	0.6834763941	-1.827416549	-0.456527935	-0.1886543365	-0.3465604476	0.7810617467	-0.3293089235	1.962476672	-1.247985441	1.784397013	-0.439021692	-1.192789787	-1.301804638	-0.9495812559	0.2463348566	-0.9929680838	1.035856758	-0.9966542231	0.7687306855	0.1044241807	-0.9653640473	-0.6369702322	0.389890014	-1.49518433	0.4064223095	-1.110525937	-1.661795031	0.1130210809	-2.6234662	-0.3163563204	-1.039339692	-2.018247083	-0.8578508989	2.78847642	0.9611894302	1.570372905	-0.7642785578	-0.4354870049	1.132416256	-0.05185594977	-0.7465191289	1.513184534	-0.5254420929	1.532361937	-2.105857818	-1.185519097	-0.3971238673	-0.1946664699	1.085540494	-0.5507149231	-1.316959374	2.266204479	-0.9448988352	-1.690478921	-1.095277422	-1.861490529	1.192684212	0.5610546128	0.2067822124	1.072163537	0.06612298308	-0.8587599272	1.113099215	-0.6395264026	0.1476963892	1.128410785	-0.1238169675	1.938339748	0.8464465688	1.543068918	0.2916888665	0.6068591079	-0.8413185499	-0.6807708186	-0.177114349	-0.2122609042	-0.8116058486	-0.6512404583	0.07667860106	-0.452548386	1.391516595	1.437563555	-0.4215652908	0.03628880087	-0.709831693	-0.6961899575	-0.7592928473	0.1107044508	-0.1197294904	0.6370410931	-1.076561072	-0.1857063224	-1.379521806	1.362338531	0.03251775129	0.07830177466	0.1021739631	-0.1171113664	0.6135471252	1.473556294	2.138994253	0.5849335568
1.331707927	-1.287630321	1.901914248	0.7268275545	0.4250894848	-1.548293078	-1.052402321	0.6836027383	0.1460159467	-0.1774636905	0.1358563888	1.283614772	-1.891470902	0.3512487321	0.5988580521	0.06066013871	-1.113223467	-0.5501897815	-0.1819915444	-1.497497088	0.4925748353	-0.8153456461	0.6597097237	0.02332116426	-0.4396014265	-0.02195356562	-0.4811169802	1.483103769	-1.056716275	0.1151095766	-1.112486223	0.1106378224	-0.260454518	0.819044722	-0.5613557585	-0.8293132177	0.04927019742	-0.2302904733	0.1989093112	1.233469689	-1.36944587	-0.4266668677	1.161196197	-0.2925897134	-1.4254114	1.130854833	0.8443640776	-0.05491758996	2.31917703	0.05133618172	-1.00597041	0.2965382393	0.4758889307	-1.058533486	-1.867357045	2.302593278	0.7158461939	-0.05967957277	-0.9577247095	-1.307808232	1.084807407	-0.2882987221	0.1246361761	1.576870095	-0.5680679811	-1.179988523	1.733733686	-0.6797942061	0.02884744989	1.733018949	0.06348325261	0.3042566436	1.515926407	-1.932200486	-0.05537999635	1.848394281	-1.61750223	-0.5300963586	0.04291818789	-0.1263357802	-1.023980834	-0.03977711921	0.6030609411	-1.133373215	0.3810317284	0.6546781439	-2.361390607	-1.603236795	-0.4382184025	0.6790725012	-0.633554894	-0.005042037061	-0.3045700186	0.9507542791	-1.207048596	0.03588154689	-1.773998364	1.137288094	-0.4331131367	-0.8304837041	0.1168638692	0.3691305722	0.08202429641	1.625786426	1.583141933	0.5947060736
