melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095
0.05376125982	0.8988610653	0.3590004419	-1.366981367	0.3055739897	-0.6075588985	-1.011771955	-0.5704784076	0.1011682263	0.7607047903	1.144472532	-0.9414612869	-0.8573702293	-0.987006583	0.9100752702	-0.6796521692	1.082609849	0.5893405823	0.5785545499	-2.243121324	-0.4392332708	-1.635034172	-0.9044660275	-1.18189291	-0.03880962427	-1.635804208	-2.843818071	-0.2076021088	-0.7759447185	1.424959415	-0.3486034093	-1.316432804	-0.5748959076	-1.858234666	-1.768666258	-0.1367303854	-0.2730785517	1.189299701	0.06122533681	-2.489696905	0.7267859352	-1.223519335	0.3598593059	-0.08474401189	-2.003757791	0.6635392757	0.3149642301	-1.840157563	-0.6688361169	0.4820533424	0.7274327085	-0.5129160902	-2.474929353	-2.14435684	0.9554226755	-0.9263054837	0.1596655434	0.07817052592	-2.070130372	-0.5992622703	-0.245253713	-2.332163272	-1.64705872	-0.07846102891	-0.5138573715	1.888773328	0.5429986057	-0.3968214955	-0.6803977056	1.142701606	0.4499739627	-0.3224244318	-0.5227645364	0.5370792462	-1.768596413	-0.2157856767	-0.7334031618	0.1777739006	-0.1760180056	-1.909428609	0.8886376072	-0.01276477505	-1.047383754	-0.8936161305	2.515455481	-1.492160699	0.9206821377	0.3909667395	0.791208551	0.2063683593	1.29520546	1.985415715	-1.289902801	-0.5805072524	-0.84580288	0.2797816238
-1.505923295	-0.6427941047	0.6492809372	-0.611783403	0.3302350777	-1.153678214	-1.15377869	0.6815884063	-0.7089368864	-0.07680701293	1.146240582	0.1638907599	-0.7193800383	0.8017652364	1.938088216	-1.891232761	1.167499844	0.6017337865	-2.333157643	1.07441895	-0.630052679	-1.170395342	-1.944454614	-0.9657313446	-0.8701897163	-2.146255272	-1.91637937	-1.242735002	-0.5537941464	0.9176482585	-0.0807535563	-1.369747234	1.229029332	-1.640353479	-1.527994817	-1.118937097	-0.3849559673	1.198186377	0.6095975212	-1.569526878	0.02164307165	-1.006318127	0.3622600183	-0.7406188454	1.224049894	-0.4278162486	0.3071312186	-1.65106004	-0.08023750449	0.8235753004	0.07718274274	1.378391167	-1.858102947	-2.078757705	-0.8439568373	-0.1060179477	-0.009919994937	0.4828983725	-1.743207116	1.059138213	2.043801541	0.5317423748	-0.05188963626	0.6321240082	-0.3390343975	-0.7618325582	1.121870809	-0.2797732492	2.647947416	0.4756225585	1.210470406	0.8567182954	-0.8054796075	-0.4547188767	-1.578918241	-0.7632364903	0.9644170275	-1.029190589	-0.8959808864	-1.460871632	0.5898939699	0.8215453014	-1.088288333	-2.004753358	-0.1080005356	-0.2076562399	0.9459667882	-0.7686368886	0.0719793319	0.203106871	0.1358355048	1.519523054	-0.8595412095	0.1575608686	-0.7534690555	-1.581075739
0.4145335695	-0.7243001785	-1.062041454	2.173089664	0.3899186949	-0.774376134	-1.407637917	0.6332250237	-0.6307875818	-0.253811362	0.5149547409	-0.2214198864	0.5719203351	1.215848158	1.358278114	0.7192253903	0.3449892104	0.06485871354	0.6181099984	1.432203015	-1.690780999	-0.1826052352	-1.956266804	0.6231505124	-0.5369504033	-0.5770202524	-1.012098601	-0.7176012319	-0.5116824851	0.8792016679	0.8127872101	0.2648984518	-0.9175803386	-0.333255297	-0.7272416088	-2.650507068	-1.393237936	-0.1291624014	-1.894065996	-1.822157035	-0.4620486754	-1.677903456	1.089113406	1.163601682	-1.120949299	0.2464440997	0.8153350684	0.09239744022	-0.3554660801	0.2801654228	0.1324055252	1.467968796	-0.3492887994	-0.5069690622	0.1113788941	1.201628415	-1.262573235	-0.2365991995	-0.7503583335	1.805139468	0.4447044404	0.6158487488	-0.219624496	-0.17881761	-1.104877761	-2.211028551	0.9514964015	0.5633970328	-0.4268696496	-0.982166644	0.5231469621	-0.1827145252	-0.746623105	0.2928893988	-0.8221597243	1.298047613	0.1605653719	-0.171980082	0.5822951698	-1.235217381	-1.046799088	1.229171924	-1.372713353	-0.8356281674	0.4007973827	-0.6080818656	0.18783748	-0.1618681398	0.412853027	0.1649714545	0.710793438	0.5343716424	-0.2493032773	0.1459738693	-0.5120787083	-0.4270716358
-0.1454874834	1.8842035	1.043293687	-1.500362227	-0.3931286925	0.5397255374	-1.68503659	0.1856513407	-0.464939438	-0.346796186	-0.7387158995	-0.7763816942	1.14923266	-1.123135536	-0.5107101697	-0.220759774	-0.2378256504	-1.406102636	2.2741316	-2.42609769	-1.41727871	-0.1744402109	-0.720268449	-1.059054049	-0.160611768	0.8863676949	-0.6293146613	0.5685784182	-0.06893688023	-0.7677789646	0.3475571507	0.6149746883	-1.228839456	1.08322845	0.4821266685	-1.000731606	-1.248170726	-0.622756341	-0.4819036834	-2.250174365	-0.1419286254	-1.94893168	0.7863531882	0.1326672945	-1.260609805	0.4167150419	-0.6478620043	1.213289215	0.6148936267	0.06007879023	0.4802797538	0.9970869773	-0.2586479045	-0.1577542172	1.806708664	-0.4977460039	-1.239929344	-0.2410805337	-0.1777790738	0.02138460633	-0.8669441308	-2.120151087	-0.4160478629	-0.8062731409	-0.7366464324	-1.007166754	1.248328398	-0.5298604124	-1.649090511	0.3335317193	0.4394757245	-0.9049652726	-0.4524000437	-1.607376642	-0.1911511295	-1.662886151	-1.40215479	1.119860694	0.7638459541	-1.320525765	-0.260117161	0.8471980257	-1.625420646	-0.2670039556	1.820969502	-0.8283912387	1.228110219	0.2620073636	1.620921494	-0.2403042996	0.7456001496	-0.904306546	-1.148436772	0.2518613701	1.002554518	-0.6929489839
-1.247240541	-1.528893382	-0.05328315737	-0.2687082876	-0.8090880583	0.58866662	-1.101910118	0.3079316283	-0.6706282801	0.1323467089	-1.432346852	0.1430937067	0.8639947518	-0.6797409163	0.3698538044	-1.049403386	1.831389699	-1.188578269	-0.2476013966	-0.7587338489	-0.1816216081	-0.5992140351	-0.3636082707	0.3272542219	1.048184183	1.347778739	-1.063131868	0.06221721211	0.5150575421	-0.2074182322	0.1367585293	0.2710272435	0.3213246816	1.200409761	0.5198187337	0.5941156866	-0.5288347139	-1.797312015	0.2739137394	-1.398180501	-0.2537479871	-1.367407827	-1.373214806	0.869864299	0.5914756477	-2.295954422	0.08492378808	-0.2146335366	-0.6548806331	1.371226928	-2.832026625	1.194321017	-0.7199264878	0.9578051409	-1.043479268	-1.189200546	-0.7310620071	-0.03065477313	0.8158637098	-0.3636402726	-0.2833405121	-2.024865139	-1.546560131	-0.5784632773	-0.01466027038	0.6140820874	1.347992379	0.8171707905	-0.5707445513	1.155142393	-0.319444394	-0.7293135349	0.5599672753	-0.1101823311	-0.09567207828	-0.8724824626	-1.62833464	0.7677448743	-0.4101241977	-0.6807756225	0.3864344575	1.032486596	-1.40729398	-1.50928059	-0.6873441859	-0.5757765545	1.609900673	-1.145266346	1.754320037	-0.2761670423	-0.490135883	0.8106302492	-0.6317651606	-0.6066096503	-0.06582073081	-0.2731444882
1.227897577	-0.8566688039	-0.9880839519	1.120190255	-0.3951808972	0.2795545978	-1.92441035	0.5978017027	-0.6208346231	0.6619763233	-1.443579618	0.03210912582	0.7456368539	-1.278937091	0.5172163743	0.8192230025	0.4919683543	-0.3476013114	-0.9640786583	1.53717877	-1.028585744	-0.03964045421	-1.186267867	1.521221594	2.323227796	2.218509931	-0.8243622577	-1.087184714	0.7104626342	-0.07655505309	0.2365711199	0.03907134757	0.06155756141	0.8183407403	-0.3036850234	-1.003619256	-0.1582821118	0.745907707	-1.421210183	-2.421747793	-0.5314542314	-0.9865373568	-0.9626274075	-0.1053447584	0.8078845942	-0.2028668787	1.560134626	-1.314930599	-0.8321547037	0.5350982834	-0.1214986466	1.282270726	-0.0650109451	0.9383239727	0.6142240234	0.618984494	-1.275458828	-0.08320799122	1.10537925	1.09271542	0.5413450668	-2.21943641	-0.00329022994	1.178459095	-0.2553414254	-1.568344909	1.689083851	-0.1632422785	-0.07269638948	0.317564527	-0.6279381642	-1.577315148	1.175777375	-0.5794328388	-1.003027701	-1.534426537	-0.766727162	0.5464752205	0.7609853902	-0.3117447382	-0.9107227864	0.4489870219	-0.5724682123	-0.7774847436	0.2835374088	0.1507126845	0.5796023849	-0.7734024376	-0.4371683755	0.1511460047	1.059949344	-0.5855437415	1.479270846	-1.220272351	-0.6437183545	-1.057046062
0.3113816686	1.362280886	0.4945871446	-1.177899626	-0.01009974994	1.213780091	-1.796448598	0.2523580268	0.1266279042	0.9653169657	-0.7583201088	0.6426729363	0.632598526	-0.1572912685	0.4407662103	-1.485730535	-0.2505551055	0.2581101359	1.747526859	-0.607918496	-0.8375980243	0.3733566737	-0.7226541321	-0.6395952095	2.278064473	1.877331095	-0.05453201135	-0.1198623269	0.0003175743103	-0.1868045929	0.617908137	0.2061003722	0.08195512659	0.7512344533	-0.08274289374	-0.1572243134	-1.011455203	-0.1895229998	-0.03695854904	-2.135565177	0.1835239013	-0.9107118982	0.4759368887	-0.02548693807	-2.039227958	1.273313531	0.1359454111	-0.8532441729	1.543710995	0.8762743277	0.4069022551	1.127067265	-0.03673659023	0.8488197363	2.122619896	-0.5380264083	-0.5333833752	-0.4476947726	1.521680116	0.8998833119	-0.7542341209	-1.838074185	-0.04823040793	1.498427775	0.7378676247	-0.5417129921	1.628639464	-0.1966592903	-1.653128201	0.426004957	-0.4840535507	-0.7112287733	1.112436593	-0.7657528064	-0.6519838738	-0.08329952187	-0.9797968487	1.423693063	0.153344053	0.08401522556	-0.3478378329	-0.6868606855	0.2166721898	-0.453815347	1.029456272	-1.514674053	0.05821075921	-0.1369508654	0.755842278	0.5609685038	1.008721342	-0.5393903493	0.2679189358	-1.172010483	-0.01747894498	-1.57773574
-1.126659349	-1.169609002	-0.8866532694	0.2514526845	-1.13309163	1.679185904	-0.529090822	0.305474951	0.8728358928	0.5860909598	-0.9439872617	-0.2998964514	0.5089238878	0.4191526983	0.995951789	0.4081155232	2.620154131	-0.8995879748	-0.9467270253	0.09033811817	0.008597600516	0.582261372	0.5022856357	0.6356230185	0.5139056586	0.3493055158	-0.03296917202	0.1180616718	0.6031126095	-0.9563526614	-0.2275322733	-0.4963691638	0.3363836271	1.503551347	-0.0142763319	1.03548512	-0.08707466393	-1.534072083	1.126686349	-0.9484244684	-0.009159137887	-0.1745020966	-0.6660910797	1.415065336	0.2077282094	-2.289137112	0.7268709895	-0.01238347814	1.115355735	1.31344671	-2.895886208	1.089745447	-0.5191619377	0.4385910658	-0.6471206683	-1.223369612	-0.6129946555	-1.691126164	1.199743259	-0.1131498997	0.4805194721	-1.100282315	-0.9621505768	0.4734953026	1.108112213	1.198701756	1.656300774	0.5029688534	-1.018545517	0.8870358788	0.5239316372	-1.127425332	-0.1367241631	1.75731205	-1.212911071	-0.5554657367	-1.177448101	1.539565288	-0.8971265444	2.230761782	0.4489610435	-0.126999522	0.09213051933	-0.9475235278	-1.202397019	0.4959398352	-0.416205303	-0.4855628101	2.061740568	0.7485515545	-0.6603650256	0.169239088	0.7367925401	-0.8321689816	1.014926762	-0.7496410682
1.36758715	-0.5697437599	-1.074241477	1.086750951	-0.9620267119	2.251146151	-1.863213146	0.8567346857	0.2118871549	-2.004547006	-1.048976619	-0.6308937087	0.844309229	-1.09712655	0.3216042106	1.33310453	0.6372196557	-2.249524382	-1.09504949	2.542966823	-1.217437536	0.04095464824	0.2491454547	0.5887435524	0.08521986467	-2.190782429	0.7484480382	-1.141552099	0.6717983112	-1.718592297	-0.2462349169	-0.4907567156	-0.3935979467	1.23727121	-0.2049425694	-0.6261960497	1.889338776	1.448404868	-1.147435974	-1.91594338	0.6513687148	0.8840086035	-0.6682496986	-0.5841354609	1.456568265	-0.3508217207	1.296340221	1.047625526	0.7903953208	0.3451895887	0.2986852848	1.231034836	-0.5512853774	0.4898233624	1.088265086	0.6543044321	-0.8543499876	-1.460771273	0.420996655	0.8328483894	0.5919236634	-1.48155367	2.19665856	0.7310643649	1.150376192	-0.7672198593	0.4698852472	0.006747557956	-0.2594283247	0.1250127603	-0.5063211883	-2.001552596	-0.4301810474	0.1099696686	0.03323373672	-1.938339353	0.2585024671	0.5899774329	-0.1672614008	3.663156756	-0.2914391232	0.1788895788	0.1973733846	0.4376476014	0.3158172774	0.7025359669	0.173272897	-0.6881704787	-0.6902796147	0.7217292212	0.07354062226	-0.4892195965	2.917497481	0.2496411526	-0.5932563061	-0.7292002491
0.4681359802	1.028595835	-0.2863886989	-0.9577390646	-0.01847883558	1.0212374	-1.882775736	0.7055486346	0.2626219716	-1.605178822	-0.1031339694	1.522247717	1.339031257	0.299029454	0.310281355	-1.658194723	-0.7412669145	-0.7710583276	0.7888983175	-0.2256467508	-0.9628235306	0.6153360295	-0.5275021836	-0.3823841167	0.4388036115	-1.13978493	1.909155187	-0.1822338696	-0.5417853342	-0.7824277438	-0.3843842314	0.7669512784	0.7175157385	0.4648630151	0.9580262862	-0.6206172511	0.7051149392	1.5939432	0.04564864139	-1.555975357	0.7724746348	1.276792366	0.500942747	0.6817490171	-1.986559684	0.8332037923	-0.4741907519	1.764517337	1.174178752	0.8861937536	1.385163894	0.1509807179	0.285274802	0.428973998	1.780118589	-0.9469881095	0.5013400814	-1.464687498	0.6007580239	1.011339546	-0.4372327503	-1.931625667	1.871038663	0.3745165713	1.446370325	-0.1227527422	0.5070065275	0.2056469243	-0.4257615086	0.02659576817	-0.1793254848	-0.2867594328	0.6944150727	-1.189142528	1.121365066	-0.002283534513	0.5477082228	1.179358996	0.2555788719	2.103052894	-0.1777344911	-1.15130009	0.5215278574	0.9092309364	1.095972509	-1.219941116	0.3919275719	-0.004740433994	0.4956964978	-0.06218222025	0.7492575946	-0.7287995813	0.4405708008	1.194054702	-0.6841198149	-0.6375673226
