melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145	melodic_146	melodic_147	melodic_148	melodic_149	melodic_150	melodic_151	melodic_152	melodic_153	melodic_154	melodic_155	melodic_156	melodic_157	melodic_158	melodic_159	melodic_160	melodic_161	melodic_162	melodic_163
1.324715738	-0.5096733255	-3.217340757	2.303898671	-0.4101508886	0.2605508717	-0.9925577954	-0.7530795766	-0.3609734734	0.9561629728	-2.461512049	0.8824956414	-1.545737669	-1.822627846	-0.8464409234	0.9875689984	0.9481455476	-0.08596293803	-1.279249483	-0.9841677153	1.172041721	2.216729659	0.6194385436	-0.9123428496	-1.108439119	-2.589258038	0.9108135094	-0.8144484221	2.294189255	1.069358424	0.5915015876	-0.3341772949	2.28108541	0.5925963384	0.3830846554	1.907572252	2.455630518	-1.786532981	-0.9894699782	1.576229465	0.4750439852	0.4527026564	0.4387514409	3.754630446	-1.417710147	2.181279234	-0.6247665956	-0.08856941193	1.700467778	1.235882775	-0.5968272663	-0.1812735091	-0.4058158535	1.194417857	2.197562449	-1.202887181	-1.534294651	0.9132823946	-1.816150839	-0.8953513468	-1.102744849	1.941283689	0.7567311123	0.3347747551	0.2783319026	1.493763832	1.873421951	-0.1990825866	-0.08126409783	-0.3616947875	-0.3599893714	-3.434828106	0.2063464924	-1.259448072	-0.04937303395	1.018923499	0.2927523142	0.4174592226	-0.3825759887	-0.5563406508	1.415166612	1.248199912	-0.5453489174	-0.7884439118	-0.4372291741	-0.535058007	-0.4300315832	0.8558776432	-0.8095942928	-2.218546493	-1.08811878	0.454564642	-0.2861376153	-0.1474640019	-0.6983688419	-0.1045926361	0.6073109041	1.134813819	-1.11154214	0.3661333327	0.4155107549	-1.663417544	0.7939922021	-1.017410676	-1.560047822	0.5638458154	0.6039011983	-0.05427019048	-0.2064980522	0.9208417989	-0.08078948387	-1.986679499	-0.949998869	1.246278484	-1.028941496	-3.172990308	1.131820179	-2.287063229	-0.7472225411	-0.6606858492	-0.5440927038	-0.5292762974	1.092304346	-0.414994807	-0.9583709277	-0.9993019895	-1.452341176	0.3112304232	-0.08338971958	-0.09791059365	-1.811002324	-0.6722404288	-0.9962774271	-0.3378660378	0.8567222344	-0.7169124124	-0.1377000952	-0.6006730205	-1.199372726	-1.250110081	-2.193436726	-0.9885753088	0.528647218	0.1660665073	0.6872395696	-2.211401574	-1.359304118	-1.853555544	1.311645557	-1.600306091	0.4752638107	-0.8886411814	-2.260936692	-0.438711823	0.2982074378	-2.528400892	1.137308214	-1.770703203	-0.7051960971	-1.107782704	-0.05732318136	-0.5684662337	-0.8368061769	-0.202266878
1.089130437	-0.03624945455	-3.349087541	2.433180393	-0.3014363642	0.5831573242	-1.028676187	-1.34458335	-0.4336259034	0.4486732054	-2.56816307	0.06418205508	0.7013014202	-1.674736194	-0.6320420058	-0.1985348072	1.938954525	1.145660674	-1.401739985	0.7859703293	0.6253859104	2.684648923	-0.7782386371	0.3981969494	-1.431269852	-1.953284755	0.5311527125	-1.129121188	1.816900754	-1.169433816	-0.1609520657	-1.045846191	-0.388666412	-0.1270541253	0.8867330568	0.4490324724	1.885496218	-0.8295922523	-0.6045531322	1.228721526	-0.01070708428	-0.1547475779	-0.08881068295	3.395968877	-0.8256000241	0.1209856974	0.5830512171	0.3465625853	0.5491186927	1.163761522	-0.2395692862	-0.9095241816	-0.1241435628	1.047667922	1.488308093	-0.2633945843	-0.4153154437	0.3832439054	-0.1760407853	-2.681091554	-1.08327886	0.118204528	1.30181631	-0.1805769243	-0.5785695783	2.390066654	1.551439347	-1.197883571	0.8203917583	-1.118475225	-0.8134923923	0.08661731329	-0.7858834723	-1.109039539	-0.04533232449	-1.451402249	-0.4233204662	0.4961028968	-1.82057072	1.011775205	1.820614979	0.439179944	-0.7321566534	-0.9911106233	-0.5171770315	-0.9470840571	0.1398335148	0.7005567271	-1.509118676	-1.845088697	-0.3397842338	-0.2030904718	-0.436265436	-0.5747189672	-1.374574637	-0.05659934629	1.834751618	1.453994369	-1.117683049	-0.2146968213	0.5767527944	-1.435195045	0.1050324479	-0.6505737466	-1.567923424	0.5161871436	-0.3753947191	0.5628972084	-0.6491768598	0.5751703369	0.5577783851	-1.458615454	-0.8038090831	1.334570459	-0.1407556056	-3.374086893	-1.825864057	-2.613742906	-0.1023781617	-0.8231346452	-1.267636234	0.5797814054	0.9304648729	-0.1458741868	-0.859746024	-1.070928556	-1.249737272	-0.3460421692	-0.2039306828	-0.8567834031	-0.2274422049	-0.8195625123	-0.6468248765	-0.1326128362	0.4335837139	-0.03385764937	1.288006932	-1.242142619	-0.5187078583	-0.09122149646	-1.770270592	-1.097211769	0.2061780078	-0.3439107876	0.6343067048	-3.001982086	-1.152410297	-1.824683234	1.861730565	-0.1478898724	-0.3697491592	-1.342408507	-1.357913086	0.008587705775	-0.2084989688	-2.081154477	0.7707790241	-0.6789096233	0.2569455904	1.047449024	-0.7877318551	-0.6709489892	-0.7076916934	-0.8105993158
0.8314977853	2.122106189	-2.32042112	1.572896264	-0.06555197037	0.6933440106	-0.8670300421	-1.262183703	-0.01765738825	0.2471943302	-2.16118198	0.006686931768	-0.3937707613	-0.5136496616	-1.269922047	0.4525443697	1.184753161	-1.120001825	-0.6968221883	-0.2084788056	-0.4323092637	2.03392732	0.2710915877	-0.02687435861	-0.581538665	-0.1993681577	-1.227156115	-0.6800203863	1.999466578	-0.636516823	-0.03675308788	0.2666948101	-1.446834796	-1.541522347	1.640651439	0.09241575556	1.50125055	-1.033739467	-0.2867612883	0.6021229613	-0.2432987635	-0.6391212516	0.4408291727	2.123828202	0.4667528456	-0.7743227328	-0.7998786612	-0.1482539021	-0.6213996509	0.6291838248	0.4044817425	0.5722211058	-0.2031154349	0.8099213172	-0.9466681472	1.664732717	0.7269810261	-0.8836997184	0.731253421	-0.2573512513	-0.3174232659	-0.4878735386	1.038077875	-0.5492924513	-0.9287230995	2.162218275	0.8098055418	-0.6685485019	-0.6298314082	-0.6523657476	-0.5059330468	-0.08503564466	-1.103082458	0.3691806767	1.904659079	-0.2360700984	-0.7102136909	0.8564961283	-0.9206517802	-0.4465941117	1.331500499	0.3903226935	-0.4314322989	0.4658456853	-0.361896325	-1.454970789	-0.1834483446	-0.4972789489	-0.3895864981	-0.3729402557	0.3682337781	-0.5178267165	-0.6947070929	1.750619526	-1.324844233	0.4889130855	1.066695255	0.6195863945	-0.1895039176	-0.2136900099	0.974491205	-0.1906518378	-0.8134852316	-0.468239831	-1.243452891	-0.2882182761	-0.5247688684	0.08703789225	-0.04569899935	0.7132786944	-0.1464238242	0.08835118057	-0.9312006954	2.000760951	-0.5114803727	-1.257375258	0.8271555819	-2.096086555	-0.6542102519	-1.058243074	0.6778448957	0.1642802788	-0.1201792095	-0.8734645221	-0.247381985	0.6375587418	-0.7542405626	0.1624702125	-0.104266328	-0.7942497955	0.7030940287	-0.2842799082	-0.6677676264	-0.7548024831	0.5450916583	1.465938696	0.577202122	-0.5624025668	0.7534610643	-0.1389725561	-0.5249477896	-0.372968363	0.02789897562	1.347761343	0.8809360069	-0.9446816018	-0.3646842552	-0.6660596413	0.620899253	-0.8181451559	1.095397876	-1.711509109	0.1460103866	-0.6523160237	1.565384019	-0.4699838492	-0.5495895996	-1.290628934	0.3792808861	0.7945817572	-1.274806725	-0.04095631776	-0.08475284479	-0.9780067542
0.8997431028	-1.1112239	-2.225269156	1.254910768	-0.1579064558	0.8333903491	-1.015306059	-0.5895834145	-0.4767718522	0.7377381283	-2.372044812	1.132450588	-1.010036756	-0.5138163187	-0.8809720433	1.540560288	0.9037216047	-0.4920226971	0.1110063641	-1.799790176	0.5567697607	1.296894536	-0.2911537497	-0.9355908013	-0.3866492405	0.1032870869	-0.3057823707	0.4904552369	1.397284614	1.396773105	-1.157871679	0.9746368704	1.774769541	-1.496315405	0.8645339459	0.1457604017	0.8285647164	-1.180121342	-0.06160596695	0.4802326223	0.1510902315	-0.7471947092	0.6400691685	1.744225382	0.6663760432	-0.7620724021	-0.5203961279	-1.102792657	-0.9749721898	0.3312930335	-0.3656115979	1.113894443	-0.2355480809	0.6688898204	-0.9643536868	1.302274293	0.4903624939	-1.102157969	1.064381696	-0.201341216	-0.5111833686	0.688840458	0.2571189454	-1.148946956	0.3665780199	0.9636132619	-1.69530464	-0.9250829018	0.4748867097	1.022705076	0.2051637641	-1.176402106	-0.4920638734	2.090094874	-0.4540250574	-1.098621004	-0.8275017532	1.021233101	0.5071231083	-0.6273057224	0.6846811538	0.4394873328	0.1675407717	0.2356247293	0.2388245985	-0.1052082228	0.4538084387	1.776390986	0.5041634234	0.2622868013	0.4648286434	-0.6941777059	1.449650411	3.408128784	-0.007773439996	1.508328699	0.5591987269	-0.1180090933	0.164696635	0.5295046685	-0.1969211538	0.987363944	0.02575133086	0.1452608196	-0.4977067919	-0.3524541499	-0.582669015	-1.401188846	0.8254685717	0.3098201614	-0.0214195705	0.3367215768	-0.755988996	2.846692745	-0.5738338118	0.197472208	1.104730192	-0.8866667199	-0.213047651	-1.141365952	2.016390018	0.1640284258	-0.1488721517	-1.411570674	-0.6408627393	0.7450851373	-1.553451884	0.4465435526	0.3858995389	-0.08485467997	-0.2082240569	0.3388938912	-1.048531835	-0.6473013846	0.5117347672	0.698242343	-0.3492275128	-2.015903876	-0.8242671406	-0.2423973832	-1.587845416	1.424357369	-0.7312818816	1.082189193	1.396324256	0.4883421498	-1.656448742	-0.2048276672	0.004274783704	-0.9015932181	0.5827407715	-2.870517082	-1.583990986	-0.3733594871	2.23184514	0.4744196383	0.06049944668	-1.653361883	-1.30129088	-0.8829912761	-1.023109131	0.4417434263	0.3127880855	-1.57118425
0.9459537609	-0.6008022736	-2.083826751	1.809350201	-0.2277998526	0.86847871	-0.5035103697	0.07561306338	-0.5519723727	0.893448068	-2.356767817	0.3379648037	0.8935412033	-0.9944060355	-0.1501075371	0.4613548934	1.546218212	0.6986071341	0.7063913337	0.4637690145	1.195298055	2.197830235	-0.462052343	0.9530464023	-0.1976963765	0.07488057298	1.051407282	0.9666699473	0.0481141307	-1.508518852	-0.571509955	-0.7038100101	-1.195050423	-0.5346922938	0.6478820094	-0.5400879351	0.8745454046	-1.83522971	-0.4986781223	0.1233673756	-0.6152136014	-0.6117622747	0.4756125618	1.630164542	0.7107152047	0.3492657543	1.407594641	0.09802401513	-0.5995604946	0.7430535485	0.1574106125	2.123564211	-0.3520161664	0.8824167315	1.253544897	1.011245549	0.3548487599	-0.694769944	0.8175604995	-2.153425087	-0.3532023266	1.044813335	0.5690936999	-0.3159370425	0.3367556047	1.086452508	-0.5808243569	-2.003054166	0.1205897722	0.8902795129	-0.281273072	-0.1162848727	-0.8085776462	1.107568208	1.295566833	-0.9501133895	-0.7176483678	0.665601881	-0.7446335943	1.113761973	0.8036108359	0.4260011508	0.6626001291	-0.151772325	1.397071443	0.3435610804	-0.8885728293	1.285633544	0.3003431163	0.04206802883	1.245582525	0.01078075435	-0.4429207541	2.806765355	-0.7216731068	-1.106805328	0.7022213525	-0.01520496648	0.2013428918	0.2603375759	-0.1843914049	0.5516731839	-0.4322380698	0.7368566357	-0.8189610442	0.5453297698	0.635713152	-1.051837448	0.7076399607	0.01676565504	-0.2796260697	1.179094222	-0.034415154	0.658976454	0.5787697182	0.6511130556	-2.069147977	-1.893456779	0.8938643026	-0.4382799359	-0.5163194246	0.2203098893	-0.07031078695	1.153915489	-0.7051732658	0.4667659795	-0.325346053	0.006093866866	0.2476789535	-1.475818432	0.03294971804	-0.08071989718	0.1874234278	-1.756155917	-0.5701973244	0.9047967863	0.2920209707	-1.443760623	0.08677117604	-0.07669950574	-1.188664745	0.9377024298	-0.3479042025	-0.5758078525	2.088067325	0.4627689048	-1.255725663	-0.6687346675	0.1909229987	-0.09578315992	-0.492887935	-1.944660694	-1.351878166	-0.2262348162	0.1930597862	-0.7365473624	1.066101143	-0.6964893993	-0.9593214089	-1.129899504	-1.47719128	-0.03685442597	-0.4191970367	-0.272368978
0.7624365155	1.526184265	-0.8715899341	0.9161529389	0.088359422	0.6320019262	0.1807424012	-0.2094966997	-0.1287231905	0.3919336911	-1.275865237	-0.5536763333	0.6009224366	-0.8879068333	0.03104975755	0.7956033279	0.7722201673	-0.3519427166	1.512256819	-0.234532747	1.71487472	1.371071131	0.4760713644	-0.5539632154	1.011019926	0.4149629422	-0.6403443499	0.9103173279	0.5398967189	-0.0513047039	-0.2131961128	0.2203526204	-1.859070636	-0.4629452566	0.2503567575	-0.5881242669	-0.04576663392	-1.075236769	0.09787756271	0.5748919408	-0.9244832987	-1.031341169	1.108750943	1.142855333	1.19486195	-0.563042106	-0.5011708353	0.2066531626	-0.2483697867	0.3286914272	0.8931233312	1.479296493	-0.07158081707	1.081400573	-1.30217339	0.8871887067	0.7949420192	-2.038113061	0.5350881415	-0.8274694683	1.048286113	-0.04804507466	0.6473827305	1.087399805	0.1762962893	1.899264894	0.6466272437	-0.6799230439	-1.780030185	0.8454254643	0.2124954657	-0.211721411	-0.4930820407	-0.8789459891	1.50544192	-0.2201570141	-0.1303307144	0.4060733364	-0.1360178384	1.103310406	0.7340812861	1.555996819	0.6401312301	-0.06506190662	2.036968869	-0.8082762289	-0.1321462671	-1.920144781	0.7025307903	0.7759290058	1.636563586	0.7731740923	-0.7556795777	1.063549465	-1.093450698	0.1003319139	0.6767530607	-0.8664005786	0.6736007369	-0.3589878291	0.1413126067	0.6899575436	-0.2838489229	0.001997350419	0.513401624	0.09467071189	1.333547552	-0.6236718675	0.234661044	0.03394593452	0.01009424333	1.643501432	-0.8636167092	0.2624047505	-0.623530204	1.300713649	-0.3150807425	-0.1459958606	0.4771361114	1.500599128	0.2573609758	0.5726011022	-0.6433785481	1.24877321	0.1176496941	1.594864673	0.0492491304	-0.003983090273	0.4080363523	-0.6835945622	0.5003831612	-0.8486371504	0.03836640953	-0.7271720296	-0.05931541782	1.174820275	0.9769284895	-0.03987025288	0.7281067331	-0.03321263055	0.2726764436	0.07256351967	-0.182763351	-0.6694857163	-0.002378783785	1.380857119	1.538274338	-0.1490947054	-0.8123487745	-1.181923547	2.14623291	-1.143615131	0.9381655565	0.05978698547	0.4670330667	-0.1189506128	-0.5711167925	-0.4046267219	0.3566749554	-0.1494427367	-0.5730422596	0.1533891902	-0.2356870278	0.2453242003
0.4577509798	-0.6274114934	-1.56713047	0.4720983202	-0.3127640881	0.5212405034	-0.4595048269	-0.5275981093	-0.0480862112	0.8812313923	-1.384092841	0.2290708564	-0.118673159	-0.6554449896	0.1209839225	1.233220287	0.4641902066	0.9439424134	2.150452134	0.1099633246	1.39779091	0.3714608518	-0.3489480108	0.4631465538	-0.008757581206	0.7822650437	-0.8550224628	0.8430273213	0.1780888132	1.117022535	0.7395784537	1.446569843	-0.5181728357	-0.4315251907	-0.3234611784	-0.1490902053	-0.2224182851	-1.25873428	0.1925269326	1.36227984	-1.469041678	-1.102786567	0.4439725246	1.214448187	0.7092710468	0.0718325889	-0.0503132441	-0.05467226066	-1.762475486	0.3118101515	0.2241940929	-0.982753555	1.185284543	-0.01942706046	-1.102249582	0.4922629676	0.9438647612	-0.7049311481	0.9501369223	-1.822667588	0.8668340581	0.7931893173	1.591122278	0.1920669137	1.521671895	1.400441045	-0.09530495148	0.2280092586	-0.3304045267	0.6092114812	-1.638354265	1.065828102	0.3504696167	-2.198638756	0.06654985657	-0.1741830907	0.3947205079	0.3503676934	0.3091679213	0.6416323773	0.6339484017	1.226996638	0.1362224356	-0.4986691715	1.740819521	0.572290101	-1.345905892	-0.5221867951	2.153129986	1.173343279	0.391787511	0.7423859208	0.7995692364	0.3043904284	0.3765518508	0.8016518693	2.522095742	-0.8618335269	0.4642102582	-0.01186015697	1.41363178	0.919357873	0.663092269	0.0475832663	1.037175683	-0.8197856071	-0.8023844882	-0.2174777257	0.1081142029	-0.3800206733	1.388047192	2.015769794	-0.3326881992	1.469301501	-0.009277532425	1.942497202	-0.05691250242	-1.125047098	-0.2399097057	1.353004714	-1.14719355	0.578089138	-0.4263439254	-1.197578672	1.455249508	1.225949002	-1.739147548	-0.07719654143	0.5288226286	-0.8964796477	-0.9126241189	-1.058275491	-1.087053767	-0.9719153441	-1.105856712	0.7974079465	1.550584224	-1.069589612	0.897953449	0.008780596257	-0.7824939063	0.2898524043	-1.329736224	0.2381647335	-1.016796745	1.260190129	2.206730473	0.4762008382	0.1018262905	0.436497181	1.530647128	0.1276456308	0.02023167768	1.031635642	-1.154249787	1.480314053	-0.4458480799	-1.028622183	2.08689212	0.3910991441	-0.04259119142	0.8372973425	0.6676047035	-0.6890199578
0.8777939811	0.5375360833	-2.561837847	1.118409471	-0.3029419376	0.2288272962	-0.788523927	-0.4831389424	-0.1687104359	1.360993454	-1.959151649	0.02904565949	-1.56124883	-0.4844264303	0.04339274331	0.5513434079	0.09839947145	-0.3483427731	1.440711664	0.2635820223	0.09524345883	2.052123995	1.901089428	-0.4510691653	-1.26925257	0.7295851751	0.03721433818	0.7087519346	0.6239082405	-1.56089557	1.06638258	-0.3771126734	-0.3272279781	0.3403172482	-0.963611706	-0.4747625133	0.8694464366	-1.701713775	-0.967212392	-0.03061795013	-0.5621774121	-1.485630899	-0.6332860479	1.865376352	-0.4429386622	-0.1712223991	0.03763959773	2.1271854	-1.522890193	0.08133058054	-0.1555657797	-1.031871116	1.469510115	-0.8375130207	2.340403215	0.4889915263	-0.566285374	2.392954773	0.02077515034	0.1712656794	1.188496095	0.1041847029	0.08545187716	-0.3932874603	1.435715495	1.230715209	-1.295585567	-1.136461886	0.069977673	-0.2559641783	-1.011257605	-0.2768924486	0.5177394529	-1.376921915	0.7708918697	1.040706568	0.6009790971	-0.03964635415	-0.6869037725	-0.3732699181	1.007155669	-0.268581301	-1.028882863	0.04904498055	0.6442675789	1.744051744	-1.137523543	-0.2569197645	1.058149898	0.6028837663	-0.2568256472	1.351215652	-0.398931687	0.2351761568	0.5221667149	-0.5274095138	-0.2708671841	-0.03232444791	-0.4908139209	0.1830405478	0.617266033	-0.03699806475	-0.1410446381	-0.5704093558	0.3148982343	-0.007457085573	-1.152345998	-0.7294692424	0.06958868988	-0.07876603587	1.832712991	2.213633596	-0.4428770457	-0.5749201747	-0.530466763	1.520151949	-0.08233527821	-4.686916164	0.6560552372	0.6909582224	-0.5684112884	-1.178575246	0.4209862318	-1.19169891	1.863988008	-0.2808702701	-2.223541177	0.1022943527	0.6472763666	-0.9378412028	-1.982178705	-0.691916823	-1.942224783	-1.849426599	-0.6381691465	0.362305134	1.938570696	0.1604460413	0.5441299055	1.34820686	-0.5858589222	-0.1290904668	0.07485563828	0.6667653303	0.5244487575	-0.4467589841	-0.7771341775	1.165655922	0.3923330139	-0.08375068162	-0.8881548669	-0.1226080764	-0.451014045	1.476144803	-0.723243043	0.8352350558	-0.1299110242	-1.527438064	1.106282179	0.1174370291	0.3164186774	-0.4522535262	0.2686705813	0.2105553427
1.188546449	-1.028397343	-2.121579344	1.579273654	0.09814519292	0.4995021325	-0.4443584515	-0.5339515646	-1.15674914	0.5679003035	-3.519698152	-1.862191128	-0.5361758206	-1.126349957	-0.6022452423	0.652076501	1.089023663	0.9881761625	0.6197116349	-0.2956619171	0.2006839135	1.257318447	-1.072089218	0.4316402125	-0.6183599343	0.1919588612	-1.222554193	-0.2717907966	-0.3234982337	0.2648057669	0.2145885481	1.215561332	-0.5771553764	1.138457734	-1.673206595	0.09094851695	0.6303902943	0.5569583886	0.1431984102	-0.9140757765	-1.439205314	-0.6248747622	-1.337683503	1.668964679	-1.099438454	-1.182079085	0.8324905013	0.4158451752	-1.318099751	-0.1599128557	0.06240066314	-1.034476413	0.1515601215	-0.9123526864	0.2376591262	1.255253981	-0.5569665734	-0.6999524994	0.5903498697	-1.123371285	1.611956164	-0.8538996978	0.308628476	0.437717207	-0.5398306484	3.05038071	-0.4992461948	-0.960763233	1.984131263	-0.1822334647	-1.528522112	-0.7154321171	0.2490990046	-1.174722518	0.3350553883	1.192311197	0.4724274827	0.1850542115	-0.8477158531	1.431536074	1.915924065	0.02998913971	-1.113520538	0.06455068737	-0.3842993054	-0.08630912134	-0.8283172588	-1.255583804	-0.9596704046	1.143961577	0.3134109801	1.462447624	-0.0262546649	0.09577596429	0.2411423845	0.7297836183	-1.412791217	0.4902918938	-1.113505159	0.534834849	0.630322935	0.6212811536	-1.141345093	-0.6512007137	0.6916035148	-0.01863553753	0.8341898587	-1.063797351	0.5855017019	-0.07554585125	0.2193229961	1.766971616	0.211988787	-0.391004893	-0.4823968845	0.9365269353	-0.2642283587	-2.386231774	1.342112195	-0.5273032748	2.980096404	1.308668882	0.01783863379	0.3130661254	1.325461417	-0.3013805011	-0.2901718508	0.9827163226	0.7642580676	-0.4579148182	0.03839545615	-0.472524709	-0.9332200525	-0.6181021154	-0.5509673714	-0.511070559	1.568937217	0.01541900303	-0.8982354749	0.8967954485	0.01234592005	0.9199287391	-1.168232213	0.7754888688	0.6470459985	-0.8113986294	-0.4660789121	-2.017040656	-0.7086284588	-0.228561486	0.1301346623	-0.9391064337	0.9361340023	-0.6609565495	-0.6567344675	-0.6430664492	0.8374286567	-0.9673930352	0.7225706973	1.662551545	-0.1639225103	0.2645212116	0.7365744101	-1.73852871
0.4865186503	1.146508634	0.5885985111	-0.1556166257	0.5047779059	0.03753829604	0.1518577539	-0.7784718638	0.9463478432	0.8492292815	-0.1753628696	0.6275446122	0.5427523818	-1.27035984	-1.040916624	2.50233937	1.700894717	-0.4512468253	0.4270717635	-0.002528784537	0.1910885934	0.547746119	-0.5331143897	-0.9601288925	0.05268808468	0.2981267707	-0.3108570717	-0.2612490348	0.01061925727	0.5629785607	0.6844797882	-0.1416281747	-0.9106172052	0.9174210521	-0.124057822	-0.5772323416	1.476605857	0.4309015636	0.5120700967	-0.9074643434	-0.6969210454	-0.3712414545	-1.378524992	0.6100318647	-0.9788807882	-0.3218807613	-0.8312486194	-0.9712164013	-0.532369122	0.2002803316	-0.6903770734	-0.650722911	-0.2710445396	-0.4297938579	-0.4027403521	1.475102424	-0.4771203618	-2.68661678	-0.6233501671	1.101600311	0.7603437754	-0.7713490811	1.002367837	0.172785282	-0.6908521756	0.8161636112	-1.809076071	0.8844194452	-1.002771427	1.075790563	0.04819128172	-1.24387926	-0.4636627684	-0.8716193796	1.013036818	-0.4501548637	-0.2595963783	0.6921733734	-0.6115084598	1.085821994	1.852913645	0.2697112058	-0.9599293416	-0.5515518244	0.3395234101	-1.260159116	0.3307860419	0.08520546355	-0.5792001378	1.787233265	-0.4085396583	1.08569426	-1.405054845	1.481895425	-0.1287562919	0.9383953605	0.1814493325	-0.3215917922	-0.6325571475	-0.01302714418	0.9842915896	1.441082565	-0.7544054902	-0.7235910817	1.314248991	-1.314428298	1.285092572	-1.296960033	0.9782094716	0.9639796158	-0.6171935542	1.258859567	-0.3466454472	0.7751936216	-0.8389223612	1.058316848	-0.4837922116	0.5396329819	-0.0888894104	-0.02479158274	1.594480507	0.3176942068	-1.663024323	-0.7041464646	0.894961968	-0.9243493192	0.4257480531	0.5320802745	0.2551995392	-0.3951645461	0.7490197067	0.8992062033	0.6277405032	-0.4015486814	0.1183609504	-0.1666548448	-0.5580378288	1.579639673	-0.2537413603	0.5977291271	1.998634728	-0.3128314166	-0.3207539795	0.9781098622	-0.2781691899	1.011070351	0.7046532731	0.6830446111	-1.106236191	-1.465182957	2.05862667	-1.043661753	0.02217387387	-2.446958162	0.0618903233	-0.3490747804	-0.1611260884	-0.786074363	0.01293532987	1.200003052	-0.6792555798	0.7629201277	1.320669801	-1.000334987
