melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106
-0.6869918405	0.4840693774	1.091999882	0.287393381	2.08477361	-0.7230664663	2.19000022	0.9813223117	0.00992575347	-0.2975826818	0.1558005778	-0.5225746064	-0.4675767646	0.8886872787	2.522348464	-1.186995626	0.2554468216	-1.379578484	0.8360095009	1.041143112	0.1097838715	-0.9740865548	-0.00648515567	-2.284214434	-1.27983966	-0.5360088865	0.1226747864	1.185309864	0.6247785076	2.216652114	-2.70380762	0.1528601465	0.1474542031	1.059341986	-1.824950716	-0.1959099917	-1.056713466	1.006589204	-0.2078343584	0.05950687661	0.204284693	0.1046347795	-1.224062783	0.4261597147	-0.358623799	1.014742114	3.043893709	1.398668836	0.973342194	-0.02997435366	-1.208718286	0.5538600337	-0.5886000931	1.780025322	-0.7611116182	-0.6548535694	0.9434084362	0.08325683086	-0.09976847906	1.417908878	-1.360667772	-0.594827028	1.122839694	2.572947247	0.3267144424	-0.7339856447	-0.4877927888	0.8763777442	-0.3611168199	-1.466550047	-0.4106205889	-0.05206434737	-1.434411574	0.2848552868	0.9126546681	-0.322264219	0.7398478483	-1.42622692	-0.1345212511	0.5585984774	-0.2241951121	-0.6919717659	-1.521511059	0.08065869724	-1.375016534	1.023656623	-0.1652849754	0.03554616813	-1.017308836	-0.6593951218	2.088273943	-0.3216553765	-1.378360189	0.2476259575	0.2810729904	-0.1440028986	-0.3075855995	-0.06420823788	1.629995176	0.6757549711	-1.269284009	-0.6494149258	0.9737838642	0.2448809397	2.289813958	0.9161394591	-2.560211572
0.9533552324	0.7998763654	1.230626123	-0.08369367311	2.517240079	-1.269363984	1.428196847	-1.290506809	0.47051542	-0.1239845859	0.4858891314	-0.4047375139	1.124096564	-1.599145039	2.457761696	-0.5276863664	-0.9106436615	-1.291042422	0.5360253798	1.143141801	-1.450259906	-0.784798767	0.5021037511	-2.438380834	-0.5981878393	1.037566881	-0.2777132086	-0.4608580107	2.254925282	2.114157463	-2.143237785	-0.9584206198	-0.1958124958	0.007727771386	-0.9651477586	-0.3353730096	-0.3655497747	-1.656453334	0.4557079719	1.987281888	0.06974917185	-0.5643243146	-0.9229179725	0.1161459658	0.2963906713	0.5823564409	-0.1545205165	1.129056979	0.8115787397	-0.2671702044	-1.449876161	-0.5508752586	-0.1407165462	-1.110591471	1.608288552	-0.6428056094	0.04418548482	0.7157128724	-0.9168129889	-0.9039671161	-1.663481517	-0.7156446232	1.887336302	2.502941862	0.8802021961	0.6373873022	-0.2181147287	1.089958794	1.11539363	-1.101227653	-1.092157434	-0.4876734367	1.949778305	-0.3835933426	1.560866036	-0.3164680809	-0.05354334712	-1.361637043	-0.8822317145	0.008286096756	1.427365817	1.400870043	-0.2434578495	1.469543004	-1.628277316	0.5352513939	0.07270627239	-0.9721174175	-1.145782509	-1.020942479	1.5022199	-0.5268982256	-2.012847581	1.294628454	1.028638232	0.06653715799	-0.40802909	-0.9296068941	0.02888613393	0.9282113898	-0.3863729679	-0.6722655848	0.8823432765	-0.3099260692	3.513535653	-0.2237287309	0.2441535547
-0.6640543413	-1.104781609	0.904901905	-0.5127847606	1.953459114	-1.396651802	0.0298291139	0.6827258462	0.6345084803	-1.095728506	1.136537039	-1.277720687	1.604226938	0.7260514022	0.9096212348	1.610679952	2.437354516	-0.5724925763	0.08997470207	0.6273883013	-0.9716422437	0.009651799418	-1.381450028	-1.054680129	-1.941896249	1.126225188	0.3276743241	0.4326600177	0.3332210081	-0.2815595897	-0.679011701	-1.241903075	0.235920668	-0.3774510411	-1.523171088	-0.1156759226	0.7973951959	-0.32320276	-0.760008813	-0.5001919483	1.186552569	0.275397388	-1.647969373	0.341937743	-0.7322196657	-0.09701016508	-1.299478243	1.674827592	0.3850912113	0.5352204228	-0.6461281946	1.511086719	-0.1737157235	-0.6596332119	1.944755897	-0.1750268989	-0.8105360947	-0.02927053548	-1.552933504	0.16962976	-0.4539918679	0.2362680146	1.804921794	2.199184878	0.4479397569	1.730306753	0.8151034541	1.243806957	-0.8549653253	0.04824461693	0.07943636865	1.13657221	0.9793497535	0.6505131925	-0.1829576154	-0.0776575675	0.1103337214	-0.4684937388	-0.8885136146	0.07374160934	-0.2335881032	0.3300921669	-1.578856364	1.318032699	1.122402377	0.4239467342	-0.09802272671	-1.044616602	0.8212854268	-0.4204806886	-0.8819431717	1.189628434	-1.345088811	1.90645251	0.4318896021	0.8110256188	-0.1571737005	-1.795561746	-0.03329661574	0.6297867566	0.01476610574	-0.3785294196	0.9516932244	-0.2308790903	1.520129057	-0.9968023671	0.1239327119
-0.2456696754	0.9260532147	0.6841560921	1.500324625	1.700575343	-0.6295975336	-0.4761151136	-0.06482088003	0.5895440717	-1.284567239	1.07273901	-0.8525169027	0.7655210773	1.174948743	0.399585943	2.345135091	-0.3826385854	-0.5698788286	0.1942401261	0.5200767895	0.08792087477	0.8113106555	0.08814705344	-0.5543240139	-1.532758168	0.500077348	0.7481752333	1.086482107	-1.061741972	-1.274998835	0.5165811229	-0.7785201038	1.163139188	-0.0366526147	-2.292799227	0.5608585873	-1.117320495	1.301616699	-0.8363873327	-0.9399035603	1.057062545	0.7062793079	-1.094275157	0.1373834194	0.5094148681	0.3642456423	1.026651656	1.498165928	-0.378104628	1.788214283	-0.4303612992	-0.5147338675	0.9077557748	0.1825237988	-0.4248325169	-0.8484133613	0.7977892665	-0.4752195651	-1.22849581	-0.672262416	1.665670057	-0.3524679398	2.317584177	2.05370863	-0.4370636725	0.8423954831	1.859725387	0.1693971419	-0.1970218464	1.081659585	-0.1569912641	1.726373155	0.005615548516	-1.343603763	0.05050143598	0.1772174815	0.1931270153	0.5889726835	-1.362884063	0.06919566272	-0.03805879247	-0.7103683661	-1.936040428	0.3206135738	1.632078777	-0.9449894452	0.05823335442	-1.8550717	1.097993874	-1.231029465	-0.8852770721	1.506805343	-0.09096405741	0.821213594	0.9445605311	1.214885439	-0.007939514425	0.3132746778	0.4384888904	0.4614835167	0.3687623378	0.7090546053	0.7004620831	0.2988518665	1.851994837	-0.8824210786	-0.6323552585
0.9641825667	-0.4134723359	1.009294991	-1.864215587	1.730289824	0.5511017299	0.1998516796	-0.2494824931	0.1088661168	-0.5116271582	0.7361952771	0.4665449236	0.2854316979	-1.504064	0.8922331021	1.776646576	-0.2130068098	0.4093961334	0.7407598059	1.05788956	0.818812468	1.356362421	-0.4323303286	-0.3910519525	0.1991945467	0.4413789817	1.582539461	-0.3894322281	0.2335229401	-0.5657136607	0.9079832805	-0.6060378138	0.8659268514	0.3087803722	-1.52909113	0.2838470599	-0.9226827031	-0.786323207	-0.5704601056	-1.495410188	-0.3939732667	0.4378164924	-1.253594523	0.6054550139	-1.163984937	1.196783615	-0.03874986709	1.443408312	-0.02919484608	2.398516834	-0.7480622924	0.5793811342	0.5232677298	0.5217667298	-0.5504186781	-0.3292609182	0.5496892235	-0.8644918371	0.2793171392	-2.160999178	1.040938347	1.001908928	2.011796852	2.125335715	-0.09668696379	-0.3106618263	2.397201126	-0.007886619063	-1.084158407	0.3510993388	-0.4879962454	1.774196446	-1.335588646	-1.85307646	-0.2045293806	-0.09065340358	-0.36129936	1.25573342	-0.7379423991	-1.142738107	-0.3553099758	0.5775058361	-0.7264521688	0.03569966173	0.3635215391	-1.187354606	1.063057415	-0.2606956633	1.866635703	-0.575780936	0.6167904244	1.093226775	0.5215140112	0.1649881519	1.409811467	0.865803743	0.3214959312	0.7857374888	-1.301062817	0.708059952	1.126620329	-0.2280641136	0.3161028639	2.192687356	1.929200225	0.2958924263	-1.243060748
-1.369527184	-0.9732185469	1.327817157	-0.007664179961	1.594746483	-0.1867871319	1.29992759	-0.5421873041	0.07470437854	-0.9330412914	0.4363528819	-0.161141036	0.5101290011	0.6191252433	0.3671396715	0.8677725122	-0.7939152056	-0.4502091999	1.556897839	1.751291594	0.3560434849	1.307523033	0.1937974101	-0.4193663468	-1.384937244	0.2717213293	1.483230781	0.6812412984	1.242015845	-0.2966994173	0.7499565273	-1.107366919	0.4321616063	-0.1395805537	-0.1843207436	-0.1059929106	-1.332578502	0.6395604038	0.8463162526	0.925259804	-0.6064035559	-0.1580247122	-1.289857489	0.1300456838	0.276875522	0.8065231009	1.14208022	0.9427899415	1.040970567	2.281966645	-1.046621649	1.24086554	0.3853486338	0.2413571608	0.6437830481	-0.1254081171	1.328146206	-0.893606982	-0.02738982399	-0.4984908351	-1.984018576	-0.5339090904	1.641900888	1.715717289	1.847094383	0.8383822554	1.787768694	-0.3477593268	-0.6868724308	-0.7993015761	-0.7359458243	1.144839647	-1.577934981	0.6906806095	-0.8268933993	-0.4459456676	0.3095497224	2.180890379	0.654307015	-1.763805583	0.2489825927	0.5122296512	1.006428648	0.4657093994	-0.8713357619	0.2769523808	-0.7249655452	0.4930563155	0.507058039	0.6478335035	1.375711994	0.2060639155	-1.908877869	0.4250031608	-0.1879411131	0.7350479732	0.7435631004	-0.1165609648	0.750516129	0.4455406207	-1.147991387	-0.5280477077	-0.7055198656	1.127412606	1.055930207	0.8796211684	-1.650643834
1.094195937	1.079102222	1.471855721	1.0040758	1.231761949	0.3936577087	1.781153849	-0.7997158326	0.5015107038	-1.153342536	0.7104797887	-1.058727183	0.8263066335	-1.572579298	0.5210210551	0.39877297	0.3734800274	-1.168503807	1.814265294	1.295318454	0.1196504197	1.266670634	1.305008519	0.2510902716	-1.582690486	0.3817124543	1.245010871	0.6062341185	-0.2416892527	-0.5937855067	0.8228056963	-1.388001213	-0.9014769344	-0.2811291606	-0.7257284731	-0.2954444397	-0.2069159912	-0.8254432183	0.3201524989	2.222648708	-0.7227358663	-0.2818229866	-0.9992223053	-0.08576547734	-0.556623559	0.4621041894	-0.399054239	0.3617633086	0.6284806846	2.214130284	-0.08391365034	-0.5709209604	0.3969639309	-0.5034121007	0.83867978	-0.2026462631	-1.80910524	-0.9361426359	-0.0266797179	1.011298242	-1.113800004	0.5471722606	1.634929577	1.255731238	0.3196191307	0.7548529676	0.5192975911	-0.8684866273	1.169218766	-0.8377912372	0.1577369653	1.139075572	-0.2486734831	-0.5075308916	-1.188014546	-0.3075600741	-0.2348857026	2.01483664	-1.216998132	-1.916524286	0.8377623187	-0.04787154329	1.262395212	1.080157655	-0.09798426336	0.5272701679	-0.2106745859	-0.8952972156	0.2689978235	-0.2778702182	1.561670752	0.5505177653	-1.179332187	1.225593276	-0.814019103	0.2653416166	-0.4025766883	-1.622847538	-0.2518405919	0.02003375201	0.2746483262	-1.315686998	0.1727266608	-0.6883564688	0.08649641968	-0.8141795124	0.5154228158
-0.1999582314	-1.479537998	1.534889693	-1.269434309	1.58078873	0.6921127897	1.778675219	1.023086487	-0.03775694024	-1.071452096	1.000518016	-0.3032414478	-0.712101207	0.2010326124	0.8250042485	0.1916562218	1.975968214	-0.8658196044	1.810586655	0.213981695	-0.01015433004	0.679605653	-1.617512976	0.06746621193	-0.2028159903	0.07998318988	0.8936813164	-1.372134636	-1.091097188	-1.419217069	0.5720561311	-1.22092711	-0.7134666019	-0.03290296755	-0.4620049385	-1.806476393	1.54079989	-0.5900716627	0.3131488406	-0.7587072754	-0.4449174881	0.4347550805	-1.193612719	0.8653835051	-0.6817335706	0.2913638004	0.4587374265	-0.1338201293	0.6331608421	1.986805457	-0.2930561357	0.6859550162	1.062462062	-1.325592155	-0.07864906392	-0.5106314665	-2.180735908	-0.8520868805	-0.001287426989	0.7332405184	1.231398395	1.200368139	0.1612331135	0.5905517088	0.3800107872	-0.1347341164	1.199177298	-0.7443349507	0.05102228394	-0.94029354	0.08421493122	1.008844253	0.2407378044	-0.7003857082	-1.023441316	-0.3123117904	-0.1002628575	1.220518071	-0.9695936633	-1.450369576	-0.3678630702	-0.2558123099	-0.600879396	0.8738071111	-0.279118617	0.2555139282	0.7671013447	-1.024003925	0.3124419138	-0.2480442307	-0.003432088408	1.688662488	0.2502505134	0.9861373028	-0.6771732943	-0.04422299261	-0.4381360888	-0.910702607	-0.7947397667	0.5973074852	-0.03112954291	-1.496072939	0.6333022474	-0.406300746	-0.1007064167	-0.6346347623	-0.6921578948
-1.132537898	-0.08495533915	1.503723368	0.8553510536	1.587788372	0.2171741546	1.513638616	-1.2015673	-0.1771419616	-0.6964804693	0.8322999515	0.6904642107	-0.1452846312	0.9256154079	1.696823547	-0.1762903656	-1.420411917	-0.8107580957	2.301509609	0.4032240088	-0.05588007165	0.06174743134	0.1808925678	-0.4978147159	0.5295380349	0.9708668839	1.405189914	-0.05240195	0.6122415415	-1.196470393	0.1575226004	-1.104567392	0.2584490416	-0.6856759966	0.2703651591	-0.9163690195	-1.328624517	0.4425899061	1.112902447	-0.8549266912	-0.3223183137	0.7095991045	-1.053768956	0.7615961316	1.274913094	-0.09734945532	0.7229959056	-0.4634319857	1.0510739	1.659650228	-1.061114993	-0.2973968314	2.171432368	-0.7912270282	0.4083592676	-1.180527364	1.542009392	-1.083578422	-0.6158825548	-1.839507557	2.084076409	-0.06790910027	1.027785019	-0.2095220852	-0.2681937691	0.4758261096	0.4881602486	-1.891249655	-0.2884171221	-0.22324904	-0.4248706605	0.2930339624	0.8314187918	-1.015719292	-0.4356694165	-0.3230926408	-0.2525210745	1.30470255	-1.107400195	-1.356468327	0.6217595478	-0.4837013545	-0.1474938092	0.3034062989	-1.496803575	-0.5981551598	0.4861882028	-1.303647538	-0.1433866093	-1.383566952	0.109214066	-0.4956908123	-0.5996787788	-0.7553912476	1.388228551	-1.39431785	0.06290229334	-0.3841149926	0.1403559138	0.3355322439	-1.64001817	-0.4687344377	0.1008099197	0.01983165512	0.8411566681	-0.476179429	-0.9937843475
0.9679904995	0.7962802769	1.890401926	-0.5567926371	0.831832106	0.5870726205	1.474892573	-1.408074698	0.1535617321	-0.3429608844	1.39020127	-0.1151435343	1.429819133	-0.5326363231	1.305132405	0.3460098233	-0.3485737903	-0.7520152915	1.304973087	0.5673495258	-0.1899429541	0.3048602237	0.5810173675	-0.1762030274	-0.8223839914	0.7857120118	0.6227276561	0.4862137324	2.070403564	-0.09809749722	0.2562462816	-1.519775118	-0.1327464072	-1.479839234	0.592870438	-0.6732919933	-0.3308022028	-1.638402097	0.8109949079	1.337876438	-0.3599085123	0.1300912986	0.01200486249	-0.1789708512	0.1393435477	0.5626473498	-0.4433731345	-0.6582915595	1.135862622	0.7011784841	-0.1475472706	-0.9202781533	2.006509412	-1.168456625	1.853765499	-0.3996944975	-1.317342491	-0.8119101282	-0.3157627011	-0.836063422	-1.251078519	-0.3392897922	2.38076736	-0.7176509921	1.372776953	1.052581178	0.232819163	-1.996454192	0.524252401	0.285543824	-1.805723738	0.4738083483	0.9810659002	-0.7948170649	2.032624923	-0.6408000726	-0.9245277197	0.9407933235	-0.09406742265	-2.005273791	1.774143575	0.9402017311	0.05870871965	0.8206996683	-1.169547972	-0.5728402078	0.06248317048	-2.198501387	-0.1038131953	-1.926274158	0.1596515009	-2.217784921	-1.321019946	1.559506879	1.045474056	-0.3002518099	-0.1235709252	-2.39689457	-0.3686010748	0.0583809322	0.3875100153	-0.1360043939	0.0842888846	-0.7697873494	0.7249509136	-1.378735301	0.8626956806
