melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145	melodic_146
-0.1691534353	0.5448345554	-0.2585016223	-1.096221269	0.5370086743	-0.4283905401	1.068482096	-0.401097069	0.4080845206	2.192289259	1.421060607	-0.7649137283	-3.418382658	0.9221679914	1.846219393	-0.2092321674	0.5084981523	0.574637792	1.552911994	-1.969454573	1.206839449	-0.1931394089	-0.5520822971	-0.3293912861	-1.198516023	0.9120722744	-1.468157622	0.6039606455	-0.6291863066	0.808781702	0.3365582112	-0.7709551605	-0.1161881894	-2.04214105	1.240865042	2.700800527	1.026914535	-0.2503478403	0.7277739762	0.8089392535	-0.7270612905	-0.3918853493	-0.006515197671	1.414995837	-0.09397330779	0.2322824335	-0.8878843609	-0.5988433574	-1.999576171	-0.6369850835	-0.4499072009	-2.103543251	0.06443666683	-1.835101945	-0.4602892765	-0.08418194279	-0.64143636	-0.872987387	-0.6117728975	-0.7438901877	-0.09990364451	-1.928362508	-0.7211792966	-3.28402185	-0.7049185106	-0.2322308685	-0.3252718545	0.1110971681	-1.332526883	0.2235834555	-2.309647527	-0.5307602359	-1.978367953	-1.513321043	-0.06862008155	-0.5843364981	0.5183665041	-0.4894553434	-1.052181375	2.095309213	-0.4408367307	1.934077565	-0.5888358853	-1.294440452	3.44947556	-0.9912883738	-1.107901738	0.2050179576	-0.1883038866	-0.8439919704	0.4557630251	0.1088569614	0.6953615802	-2.405657879	1.645377246	0.003305804373	3.313594127	-0.6721424087	-1.916231522	0.3607664181	0.3573592798	-0.8954296171	1.429145144	2.242714334	-0.1280485232	-0.2825264351	2.215705369	0.9397200647	-0.7175749017	-1.922872641	-1.053574326	1.310901429	-1.7853794	-0.6587794693	0.9950813432	0.08128484988	-2.127124616	1.181341692	0.02854209652	-2.012604537	-0.007537451384	-0.4336671649	0.2249763385	1.202495502	1.115157034	1.531067328	1.470793476	-0.3010250661	-1.04940575	-1.510346119	0.9667199117	1.710749763	-1.40376453	-0.7577396234	0.7791918818	-0.141053971	0.7003629492	2.760688647	-0.1333660378	1.929830388	0.425600155	-0.03239495573	1.256019683	-1.468211479	1.003382268	-0.1778276649	-1.921546633
-0.01823493974	0.08443329579	-0.6760146803	-1.040745023	0.4666315627	-0.05178651231	0.8544317163	0.6920034903	-0.2672561104	3.543257412	-0.4262541988	0.2034954787	-2.890680866	0.07800979161	0.2878256044	0.78772716	0.7606951244	-0.3401130188	0.4572464355	-1.509096034	3.335116236	-0.4930467377	-0.2468390481	-0.7675392561	-1.375252002	0.3105480047	-1.170960779	-0.1489180224	-0.7740744492	0.8351616192	-1.219254474	-0.924024325	-0.5124533283	-0.7142066796	-0.3198491754	1.559824202	0.04097010866	-1.087048738	-0.4413482295	-0.959443391	0.4614382473	-0.3973490032	-0.4232094644	1.764452346	-0.6008807366	-0.008612057433	0.7779132809	-0.8939957946	-0.880861928	-0.1784186262	-0.8473143621	-0.4236915578	-1.289409165	-0.5933287494	-0.01000264469	-0.00835432441	-2.707063859	-0.4196107532	-0.2200903261	1.583277319	-0.8272204593	-1.545155221	-0.4217183226	-2.71039842	0.1223619795	-0.5555192667	-1.183835001	-0.09964017615	-1.538252673	-0.1694484295	-1.245468769	-0.606435376	0.3072402623	-0.4647851174	0.3187510919	-0.6800602797	0.2888511604	0.1371623301	0.9798168302	0.08918061895	0.5950728302	-0.1395837196	0.6128196058	-1.253877714	2.046342285	0.4924646128	-1.780854094	0.8033936042	0.1110968696	-0.1437276837	-0.8378100736	-0.04982791746	0.3735905514	-2.039294088	-0.7891216437	-0.0296985731	0.9572915175	-0.3450339359	-1.979986498	0.3184512499	-0.6101588299	-0.9205223272	0.3078728189	1.274681905	0.246682655	-1.849071959	1.953656143	-0.4674368622	-1.765045857	-0.2024108724	-0.1106681364	0.9930160768	-1.536499051	0.2075677672	0.1528086844	0.5855142269	-0.4528190277	0.3213467445	-0.5141552	-1.55247598	0.9355388791	-0.4396413221	1.187237795	-0.4336442915	-0.001966963198	1.549062495	0.008776593914	-0.426951732	0.2617189139	-0.0141294647	1.638816128	1.044705755	-0.8152962061	-0.7400488532	0.7378634567	0.2858489555	0.02745808374	0.8026060241	-0.3497892979	0.1733630285	-0.2928393855	0.2337090033	1.164868014	-0.5366091202	-0.03459812301	0.1836708239	-0.3160996649
-0.2863371596	-0.115455597	-0.05792223626	0.01763977757	-0.9663788147	-1.639089203	0.6142233289	0.757362538	-0.8478872914	0.6726255409	2.457398876	1.116592058	-3.144729331	-0.4372000184	0.8040462423	-0.08494329791	0.6024885734	0.1568830154	-1.077744471	-1.690645268	2.326908716	1.845402085	0.3328811315	0.5296441357	-1.127102243	0.402337794	-1.360042788	-0.5085946852	2.614746687	0.1677377633	-0.2027715564	-0.8182763626	-1.369853975	-0.6805159111	0.456756652	1.967776501	0.1917964863	1.211660367	-0.2152812864	-0.6838269947	-0.01071663358	0.7700786512	-0.3546086954	0.9475438647	-0.4922701132	0.3920401816	1.202067383	-1.107085099	0.3995317568	-0.19702449	-1.280664979	0.2021410226	-1.739905321	1.777297802	0.04833745673	0.01301923447	-0.8150048869	0.1735347954	0.02589343763	-0.7333240588	-0.2839241032	-0.205705007	-0.1606124566	-2.501686532	0.8873737146	-0.9980055864	-2.309194303	-0.9987072122	-1.091342284	0.7663115016	0.2041000368	-1.131698266	-2.367305431	0.7851486107	-0.6925573023	-0.7780544368	-0.3552855082	0.06783839572	0.8435888733	0.2567258837	-0.3974199825	0.4863683255	0.395370204	-2.558793818	-0.481257779	1.047208599	-1.825874395	0.7370840318	0.5673020466	-0.6124161403	-1.394981807	-1.020161478	-0.1907063271	-0.2109001248	-0.9737062564	-0.2166219162	0.9385021097	0.2359623683	-1.286020645	-1.415091848	1.118357594	0.1975541709	0.8087725695	2.21810812	-0.6754801039	-1.778082786	1.620610694	-0.4746047487	-1.442904141	1.029765907	0.5734758843	-0.01698740866	-1.238760758	-0.07819197347	-0.6322769126	0.1783536243	0.966802466	0.5392235366	-0.9867993542	-1.647940002	2.04193874	-1.112101606	0.3723573094	-0.1251930027	-0.5854364562	1.368822149	-0.7092835168	-0.6956534456	1.15433748	0.3193364761	0.74983224	0.07200857153	-0.2148649776	0.6935722022	-1.765783994	0.2604410078	-0.1932524222	-0.5745028217	0.3892812148	-1.566539056	0.7334662122	0.1334382467	0.6157389177	-0.5595662252	-0.07594828105	0.2215405595	-0.2528892279
-0.06650364283	-0.0324759658	-0.9321955084	-0.7029440414	-1.030020615	-0.7742394671	1.156027378	-1.523231588	-0.1892393989	-1.702656959	1.853973247	0.852592524	-2.38961051	0.4677984264	0.5226483109	-0.8061421364	-0.1442589955	0.4135974936	-0.9376328765	-0.6220659634	0.02115414534	1.730395156	-1.789953509	-1.64256831	-0.6920661127	0.6222921892	-1.328252921	0.1540736251	2.171298924	-0.3457792014	1.388291201	-0.487034822	-0.1587905199	0.03558049437	1.920127688	-1.115154009	1.488856621	1.426044214	0.8379306517	-0.182849546	0.3846791704	-0.09368977455	-0.03687016689	-0.1219428478	-0.5772055046	0.276492295	0.1641275878	-0.845478695	0.1103431145	-0.09708783269	-1.00211804	-1.201860341	-1.395066471	1.356030257	0.7301649111	-2.101979594	0.801599078	-0.02224837051	0.6023972129	0.2487583809	-0.9516158279	0.4596204322	1.621666831	-2.441892747	0.9124601968	-0.5578845697	-1.537988325	0.1863918465	-0.0401215661	-1.091772904	1.194515476	-1.009333863	-2.019701331	0.7517374266	-0.07614001025	-0.6647451386	-0.8766918599	-0.3949382062	0.3039264171	0.9255407286	-0.9174359366	0.7791514038	-0.03720197338	-1.149475872	-0.8974645127	-0.126530714	-3.236727182	-0.4551377635	0.9653086333	-0.4228631925	-0.5034529089	-0.2929350088	0.02528088028	0.03688107926	1.378833132	0.1752525922	2.202000978	-0.1042264532	-0.5536968024	-2.06505888	1.840932976	0.2211591232	0.8623215603	2.27772309	0.4901217954	-0.9262730798	1.335135478	-0.5385460131	-0.2449758177	1.140639008	0.5550590387	-1.396074348	0.1100551893	0.471653607	0.07907437784	-1.00058385	1.913577685	0.03331095912	-0.859568531	-1.110950806	0.7167983426	-0.8076926553	0.1868101055	0.2953019014	-0.7363794288	1.299940839	-1.349967969	-1.821322498	0.062571918	-0.8087881292	-0.6051562051	0.5460415486	-0.8448570043	0.2244005496	-1.060311325	-0.3409183578	0.3366083087	-0.3355598642	-0.1383381487	-1.052740718	-0.2709630566	1.564309856	0.3469730734	-1.779120124	1.050814543	0.6813156881	0.1591852443
0.5576335098	-0.07249465803	-1.215374027	-0.4984002089	0.5860466308	1.561927724	0.6290660298	-1.313290985	-0.68691777	0.1888513224	-0.4726256675	-0.3216599398	-2.966918092	-1.512931536	-0.3090680596	0.5038449878	-0.2850622606	-0.223528719	-1.074957348	1.990950494	0.8286582184	1.376733687	-1.567728599	-1.416358872	-0.4184395545	0.961585134	-0.605881987	0.4194061619	-1.844985132	0.2843936639	0.1090177672	-0.1736326089	-0.9600704472	0.8471882467	1.352352043	-2.746948256	0.6811991206	0.9398871771	1.865289802	-0.30137428	1.050696394	-1.354396457	1.680874811	-0.801078227	0.7076743589	-0.1565027129	1.804663075	-1.486315144	0.2292046938	0.3537447467	-1.003310543	-1.33371657	-0.9042864726	0.3781378151	1.544311307	-0.5672886804	0.8082026944	-0.1990632932	1.565445863	-0.3003084561	-1.648026783	0.3011810871	3.004137446	-2.251404302	-0.06062605974	0.00873870928	-1.30142951	-0.5347385897	-0.2321764168	0.5131056749	1.534732795	-1.050988958	-0.08689351671	1.470523861	-0.02890652586	-1.300961819	-0.4303903818	-0.312453014	2.187533499	0.2849835672	-0.3215722605	0.7577970825	1.875319625	-0.9810640103	-0.565766097	-0.8554255893	-1.617302296	0.6270596568	-0.1764234365	1.008432333	-0.03249030154	-0.1032764411	-0.08115207804	0.4810531013	1.2299535	-1.452350709	0.4847826893	-0.3040018209	0.293258554	0.003846718621	0.9143743982	0.1882248802	0.3942285752	1.932594797	0.6678553588	-0.7196770923	-1.079566803	-0.5930809633	0.2521876028	1.052177391	-0.3001027142	-2.515143941	0.1089905282	-0.3360025816	0.3959792657	-0.1061141945	2.986949099	-1.167348194	-0.3131484921	-0.2246154111	-0.323513032	-0.473121573	1.590445724	-0.1041381229	-1.47103268	2.303852033	-0.9463145853	-2.09441767	-0.604514374	-1.626735719	0.7460742687	1.414985516	0.2309526969	-1.585258965	-0.05169543741	-1.587612444	-1.72674033	0.512059332	-0.8339390622	-1.068722107	-1.468321387	0.1010425384	0.4738294761	-1.535913641	0.8724014438	0.2696792972	-0.1402181427
0.4567718825	0.3417268407	1.507295569	1.153299507	0.03550601365	-0.09783237183	1.010097493	-1.315158714	-1.58504779	0.9595079558	-0.2138373012	-0.7636345318	-3.076098142	-0.5012708908	1.071309155	-0.07846037981	0.07659777504	0.4480824995	0.5601509061	2.639412345	-0.3221546607	1.072297931	-1.864609915	0.6061946597	-0.103485844	0.3860419448	-0.2762382462	0.2372640198	0.7629036975	0.6879301545	0.2463948848	0.5411258551	0.6307231652	-0.719131573	1.053940451	1.111571109	-1.371889761	1.297126577	1.903814281	-0.2641450648	-1.668794809	-2.22253088	-0.03558026356	-0.9810763568	1.377724409	0.2541523801	0.8972695986	-0.7179111515	0.4949214432	-0.2010367128	-0.6489883798	-0.595550285	-1.01668776	1.380990308	1.212868369	0.1380405835	1.29109872	0.1030941167	1.903381485	-0.840926696	-1.097682304	0.1871359292	-0.1813715165	-2.00333771	-0.2800036787	0.3105668157	-0.9379280237	-1.732696921	-0.8407530363	-1.600490906	1.460273805	-1.512467535	0.1843828022	1.319269674	-0.8789510862	-1.004282096	0.02200826956	-1.028625889	0.6570417503	-0.2632589075	0.5178102194	1.050422399	2.760521283	-1.82269215	-0.1877496352	-1.278729699	1.162198656	-0.0636696628	-1.511327244	0.922888319	-0.6794368848	-0.9472542551	-1.293208618	1.29255772	-0.08996743508	-2.195124869	0.2810429506	0.0935526427	0.03212380251	1.279589486	-1.356921579	1.4180764	-0.2107407783	2.999304607	-0.5265899209	-0.9571125876	-1.906537665	-0.09171608488	-0.1975102564	2.53185957	0.17029214	-0.854310526	-0.5918568495	-1.072059188	-1.217926467	-0.7833918488	2.834727112	-0.9502932651	-0.6789898497	-0.06938208402	-0.793279518	-0.3921038649	1.12646818	2.324238994	0.1658474818	1.559188929	-0.6364746953	-1.632346308	0.1963340126	-1.679461486	0.7766345029	0.5987053813	0.2089003385	0.1562933428	1.146359518	-1.032295416	-0.9087377506	1.212839557	0.1005830447	-0.8046208141	-0.005965248206	-0.3127764563	-0.3301496036	-2.316832932	-0.3322406747	-0.03521068818	-1.477560433
-0.05636896758	0.7352092768	0.7623412825	0.3152032547	-0.2588720357	-0.393987614	1.115297557	-0.8635055185	0.2756845506	-0.1115085759	0.1364597601	-0.2116371223	-1.581127802	1.804227409	0.580137526	-0.4092789843	-0.7804557039	-0.07786934807	1.783499872	1.277010919	-0.8715621393	-0.2225785617	-0.08240409875	0.2897937622	-0.1273994649	-1.94768277	0.5467059187	1.090099979	-0.6491044007	-0.02716312898	-0.01700713374	-0.3178205873	0.2799907926	-1.659959486	1.890942207	0.3871598559	0.1775044911	-0.08249505994	2.114786584	1.031777049	1.113631016	-1.919119407	0.2260114013	-0.02354021008	-1.223463854	0.08285843452	-0.5679425171	0.4747078106	0.177272558	0.06023026313	0.1148045741	1.138125627	-0.04901475211	1.594261723	0.7572495834	1.220454995	0.9841121758	0.2018553438	2.149620535	1.28551148	-1.210020159	1.014935624	-0.5645007192	-2.378026193	0.8910467278	1.104539134	-0.2817361376	-0.5912056598	1.020957285	0.1127483637	0.191855104	-0.9790721833	0.0728119133	1.979664287	0.7423734099	0.6455276861	-0.551558613	-1.185411056	-0.8628398773	-0.5855758539	1.777550574	0.1995110818	2.029954698	0.716431014	0.02565769979	-0.4072662295	1.531680551	-1.800007043	-0.9990005926	0.1734758668	1.260821991	-1.681749926	-0.992889772	1.378585375	-0.7561112726	0.4065590922	1.663617208	-0.1410923935	1.415605617	0.03531925609	-0.460883645	1.220426428	2.13825605	3.970211655	1.699898863	0.3171511265	-0.5320752374	0.2835189011	-0.7742542769	2.519093103	0.04484887376	1.326823501	-1.306087979	-0.1832896602	-1.167930561	-1.717369029	2.083132744	0.007481272337	-0.5494561859	0.1507594458	-3.104456586	-0.009946921302	-0.4294943268	0.1223257976	-0.8279376872	0.5801075844	-0.406601843	-1.879207544	-0.6577392023	-0.1488137141	-1.197385539	0.6706018552	0.9595407197	-0.1471804658	3.11868426	-1.471671961	-0.04705296646	-0.4893887511	0.1443201022	-0.689266412	-0.7961449668	0.4264460174	0.7271448817	-2.549161033	-1.450930188	-0.2537430164	-1.888900329
0.4229819717	0.738583413	0.7308665191	-0.2934487543	0.182671147	-0.02905638443	-1.325573692	1.833656881	-0.3955714216	-0.5453283304	-1.213971273	0.2168898444	-1.259719369	0.7193585203	-0.4885076151	0.4514921667	0.4475361546	-1.249495412	-1.368683456	0.3205432632	-0.5871918773	-0.4786615064	0.3706599194	2.082190227	-0.285896662	-0.2617049268	0.09632872465	0.6677689604	-0.6557859228	0.162189699	1.239317443	1.203363674	-0.4963723795	2.319728069	0.5402658842	-0.3919360356	1.571887259	0.7256030885	1.474201114	0.7257809977	2.227560299	-2.324956663	-0.1380271053	0.3925579711	0.4278948724	-1.412992694	1.030359245	0.660229766	-0.3783254514	-0.1667402018	0.5944305132	1.963063805	0.1593992336	1.247632372	1.642121241	-0.08756897583	-0.2547302043	0.5503536097	1.826574399	-0.1824726866	-1.333538779	1.669840883	-0.2587710909	-1.385549491	-0.1760439818	0.9382768486	-0.1292400838	-0.3287639755	1.605838941	1.664263344	-1.489502688	-0.4646368751	0.5705863392	1.765931064	0.4796400898	0.5380417625	-0.8593231828	0.230950876	0.6955908909	0.2684473054	2.098064594	-0.5145391338	1.528857634	2.405887863	-0.1313270929	-0.02531805458	1.058778165	-0.2736425589	-0.2410993495	1.164175124	-0.09358379629	-0.5157135125	-1.429099494	1.976388926	-1.043104432	-0.05984859946	0.1454618135	-0.07418671605	1.646200611	-0.03005476945	1.761002396	-1.553397109	-1.815230811	1.868008474	-0.3530794211	1.920101228	0.5946057124	0.8868225091	-1.635004529	2.192666333	0.7637340823	1.075691657	-0.3834295061	2.019645485	-0.4073603538	0.651645305	0.8136712426	1.291669489	0.09441255775	0.3595166201	-2.176437983	0.5779158526	0.5133475485	-0.3362292418	-1.001378626	0.5699486867	-1.745699696	-0.006346071576	-0.1798798765	0.2534315264	-0.2114735725	0.2672621382	2.37646258	-0.3301481564	1.63026107	0.5116362795	0.7542478601	-1.388755376	1.091602043	0.5379648839	-0.3343799268	-0.02904882711	0.097954137	0.3233418894	0.05435720864	-1.680495722	-2.429122866
0.5143276545	0.9117914486	-0.03822011843	-0.4898694614	-0.2493892135	-0.4461400364	-0.4599744134	-0.6747717665	0.8875420064	-1.469630652	-0.9640092205	0.004752737298	-1.769856076	-0.557639306	0.1367345878	-0.6368081308	0.8199449572	0.3066819985	-0.8272545013	-0.9458273045	-1.186177254	-1.609287366	1.708916838	0.03008837358	-1.446645209	0.8499187586	0.06028954232	0.6280651187	0.1896146296	0.1163989911	0.5441593463	1.624171113	0.1927967302	0.4170439491	-0.04187927333	0.267347786	0.2318571747	1.633713177	0.7770208267	0.3034517882	-1.68691108	-1.96475617	-1.128256603	-0.1770298569	-0.877892547	-1.174622112	-0.03843004847	0.7246401423	0.08810546484	0.05285141707	0.8285592824	0.2454358611	-0.02322331022	0.9981822142	1.111877298	-0.7457675635	2.177564516	0.7229935095	1.817708427	-1.889255581	-0.7044014062	1.526442866	-0.2216879991	-0.6878663939	-0.2361028212	0.4853437381	-0.3193940384	0.4128094503	2.506885247	-1.229396025	-1.542602488	-0.02414060669	0.6077002986	1.709285035	0.1632903382	0.123868693	-0.4359590119	-0.385141624	-0.1350240273	0.9669485388	2.080650533	0.3936337584	0.2523061007	0.9965488912	-0.1822823048	-0.9978640637	-0.6243150288	1.909840881	0.4728396458	1.282178473	0.5187232432	2.305403302	0.01515904633	1.591594522	0.626515326	0.4831686717	0.5225209334	0.7848219377	1.766013424	-0.1105580205	-0.1162226851	-0.1811419344	-0.7692455019	2.225377525	-0.4154052508	1.885854007	1.284647842	1.562339346	-0.1392720945	1.776614437	0.8704719634	1.712306553	-0.4160991597	-0.1752953061	0.1061288361	0.8895767324	1.092953515	0.3664235382	-0.2745265927	0.5764706274	1.11607414	1.238693281	0.0945374938	3.280260428	-0.09297093069	0.584993162	-0.5897921258	0.1094000705	1.608484158	0.1592564668	0.1188350713	0.2879631593	1.014684984	1.391578179	0.3210741424	1.199460668	1.005496158	0.3088140894	1.067226785	1.543999341	0.03741473667	0.3654933615	1.862648416	1.629108239	1.197894448	-1.197478108	-2.429066105
0.4131219864	0.9348094444	-1.192860716	-0.7210183963	-0.09625488002	1.19864714	1.426327428	0.7428343846	0.4803984302	0.997329756	-1.152999433	-0.3575098587	-1.260523987	-0.9309831474	-0.4841891092	0.4203313177	0.8016206953	-0.1865529185	-0.1982794697	-0.9658149864	0.3192937249	-2.062761936	0.9417869788	-1.070627395	-1.150795768	0.5980765317	-0.8197119335	0.1485414992	-0.003225390202	-0.6279698513	-1.883787881	1.587477984	0.9689366806	1.214713601	0.2732034437	0.09081951559	0.5030514692	0.7424025333	-0.3783509771	0.07836621663	0.3203248879	-1.015050155	0.5208492137	0.5556273159	-1.397268917	-0.9042020834	0.4818612588	0.788029683	0.3929952609	0.2564941272	0.6334383738	0.560107242	0.5374234604	0.3492596639	1.898328611	1.212782661	-1.072384967	0.2369319957	0.7721875002	0.5726656435	-0.8817654637	0.9593080325	0.9113280925	-0.8585982288	0.6574101276	-0.4787619457	-0.3075548945	0.3407938373	0.8113581203	-2.187878017	-0.6207584587	0.1815361306	2.161830879	0.4388749492	1.144743035	0.09171987954	-0.9255061842	-0.2690819651	-0.1121051984	-0.3236586291	-0.1204467058	0.7056337828	-0.1206900297	1.184114059	0.4747007868	0.1876366977	-0.2679816178	1.330213091	0.7822168067	1.002950424	0.5167364498	2.148679785	2.845891682	0.9282118031	-0.07545321792	2.095924238	-0.3777147075	1.010099272	1.226244699	0.1295800139	-1.536257247	0.201145171	1.261330887	1.93381623	0.9305966297	0.4181738754	0.8802892358	-0.02912593465	-0.2667721207	0.963931521	0.5649437734	3.201672477	-0.7627597121	-0.8395278133	0.7156213183	1.326421604	0.7203775175	-0.6245068825	-0.1288453342	-0.3266698684	1.029723946	0.6271691735	-0.1996677733	2.332274156	-1.478688154	-0.1572747988	-0.5674167659	0.315963514	1.53228188	1.189180474	-0.2713697012	-0.2471956502	0.9411096372	-0.6697776606	0.5517154809	0.4443208101	-0.8886104606	0.1023006502	-1.013806895	-0.3935643928	1.441230273	-0.5265792763	2.447623375	1.231932198	0.2605569008	-0.8765284417	0.563085476
