melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131
0.8525580778	0.05570978357	1.233426685	0.8838799479	-0.8089888796	0.3444235069	-0.1808499124	0.8043930461	1.60326886	1.098108948	-0.2656882924	-0.5675039028	0.5095210315	-0.3450569698	0.6417841924	-1.235270681	0.2541233361	-1.140727122	-1.928412103	-0.6870114264	-0.6071600411	0.6989345421	0.9913198218	0.2518758402	2.656710393	-1.235119657	0.2886822759	-0.9256547814	0.6587088916	-0.653825385	-0.2455549722	1.231695181	-0.5257227968	-0.5008296598	0.1076118005	-1.489719889	-0.5875490124	-1.126749665	0.4460800973	-0.9768845904	0.7099633017	0.9412347418	-0.1152748069	-0.8919538408	0.4106812865	0.2863104626	-0.8483681998	-0.6085214123	0.4540889558	-1.105715229	0.2088500623	0.4289073401	0.1664335496	-0.7967674747	0.4920078418	-0.3167344605	-0.2847836431	-0.4909755188	0.09461962305	-0.8093314192	-0.5267851772	-0.04794473485	-1.168042789	-0.43455004	0.2093998311	0.2143247471	-0.4817241122	-0.4398781449	-0.9775395602	-0.7726595334	0.3250378431	-0.4983810033	0.7461391067	-0.5815979316	-1.817965905	-0.6511766391	-0.4714760159	2.077159216	-0.7849194321	-0.8391581233	-1.300318274	-0.6652123557	-0.5327665093	-1.183157776	-0.4181980643	-1.200325701	-0.9646186038	1.3268002	0.8020077153	-0.5326983692	-0.4274976887	0.1576284331	0.9436791584	0.3061468646	1.114263338	-0.1304781157	-0.5450023109	1.124460768	0.1487070337	-0.4592298213	-1.008344981	0.8570278195	-1.053475768	-0.3716693462	-0.8009618806	-0.6531812452	0.1256547956	0.8826296149	0.08833560767	0.8013405263	-1.444560853	0.8356434669	-0.2057376267	-1.354882105	0.132974363	-0.2989378991	0.2099296311	-0.3939041342	0.5710219383	1.346827248	-0.06816046185	-1.795057538	0.05080353892	1.936702325	-1.645111404	-0.2701210588	0.2271442993	-1.887810659	0.2730891061	-0.9333739657	-0.2151914876	0.623208168
-0.8974234434	0.241343801	-1.435558189	-1.444518464	0.2494624794	0.1355687134	0.23664802	-0.6059426147	-0.8191272069	-1.414274314	0.4340332599	-0.7615261128	-0.9639006392	0.1419672201	-0.8839163334	0.9597894455	0.4862792892	0.1565380999	-1.75195653	-1.078186878	1.701530501	-1.140869168	-0.4975839901	-0.229908546	-0.5362314131	0.07065159272	-0.3316620518	-0.2719010881	0.6664779355	-0.8057497186	0.6740581775	-1.56656857	-1.35051007	-0.6467315875	-0.4319812168	-0.4098387891	-1.387259559	-0.2607052256	0.68276945	0.2710805061	-1.750414752	1.130291071	-0.2323892417	0.6760190751	-0.05726920432	-1.70389477	0.3338743049	-0.7146610264	-1.094869544	0.496493287	0.2937239964	0.4804804945	-0.6542550194	-0.1599840553	-0.1018889952	-0.1648322354	-0.9060946586	-0.317050166	0.3220627972	-0.1361388365	1.066249641	-0.8318794037	-0.9650894928	-0.5580477317	-0.3690829335	0.3173408664	0.4437365559	1.375755679	1.230094777	0.07667658816	-0.3271058271	-1.111475053	0.08233467059	-0.8820222369	-1.333906521	-1.013568117	0.002770980733	0.4533259261	-0.7114268519	2.062028082	-0.8994617211	0.352289122	0.3474458706	0.2575830347	-0.3292845558	0.2109135182	-0.004408978023	0.3454179629	-0.8704522621	-0.2454100841	0.7075512244	1.404583091	0.5320153187	0.2187942123	1.135730079	-0.4844255792	1.311661079	0.6975101158	0.2895659438	0.8881241223	1.067439046	0.06444043921	0.3763041974	-0.1038468713	0.1125963775	-0.8960183659	0.1323165572	1.468451137	-0.9392600511	1.072725085	-0.4131716029	-1.297112684	0.4394947016	0.7810885572	-0.6614837233	-0.1812916239	-1.505072801	1.161201159	0.118876427	0.1056859173	-0.1832421259	0.3534063563	-0.5546439679	-0.6497683453	0.8796734267	1.936482513	0.7063905316	0.4397904755	-0.3261798939	-0.6795723744	-0.09481499374	-0.1649500954
-0.3835592072	-1.272222469	0.3188535186	0.5543532896	0.106535732	0.3144579785	-0.3834677499	1.144381935	0.07563911246	0.113517508	-0.1765426941	-0.1221660024	-0.08657502362	-0.6266414963	0.4141729199	-0.4119495608	-0.1333879589	1.025610321	-0.5937315205	-0.07898172032	-0.2240649966	-1.626038547	0.4672345877	0.9704675624	-0.05297428298	0.5924564428	-0.989862384	1.844471136	-0.7540106779	-0.889496913	-0.2884846672	0.727155406	-1.034383215	-0.9261697534	-0.1603655777	-0.1859482892	-0.06973897324	-0.6958225032	-1.688333825	0.8685160008	0.2476236452	-0.7987029732	0.266163884	-1.128436149	-0.8107874415	1.157418237	-0.5558211447	-0.2619418722	0.3099160358	0.9990213326	-0.0367796524	-1.622216276	1.125769204	-0.2767965202	-0.8605283025	0.1674478313	-0.0851912736	0.3536397728	0.631526138	0.3134859848	-0.4540518525	0.7545990494	-1.282812497	0.531499913	-0.09939543136	0.02059589179	-0.7474262326	-0.3144905628	-0.9889659807	-0.6036579384	0.4940024464	0.1481465482	0.8712928397	-0.9156060696	-0.7497715645	-0.3147098899	0.5717368925	-1.403737105	-0.5787128443	0.05121078277	0.2201693947	1.062024246	-0.6091345031	-0.5427709192	0.3786697709	0.3031445771	-0.748749687	0.4049500019	-0.763243611	-1.253709184	0.3953911727	0.7704674241	0.9849669971	1.010124365	0.07453585059	0.8460847921	-0.573370149	0.4025604252	0.5456233033	0.588389147	0.041592178	2.189327371	-1.0653711	0.7288551584	-1.207177706	-0.5686959477	-0.1194023431	-0.04244151574	-0.6956865482	-0.4333584934	2.758638562	-0.284671857	0.2820652775	-0.09611032197	-0.2734604658	0.2594455051	0.8970128991	-0.8787925702	-0.4211230107	-1.124834136	0.2973181366	0.258860505	0.2511416901	-1.537809182	0.5554115211	-0.4570071079	-0.2788236978	1.470393975	-0.1065222386	-0.533191735	0.1192473671	-0.580866284
0.9384660675	-0.1880246222	1.196383175	-1.107122929	-1.043459961	0.008043277998	-0.7601518809	-0.8951467023	-0.1307549013	0.2904618555	-0.02090860077	0.07692079547	0.8466694251	0.9259423032	-0.738779696	-0.5840321816	-0.1807834854	-0.948292572	0.04576498722	0.6689094005	0.741146376	-0.007973793574	1.63955022	1.180132527	0.2670980193	-0.6035760184	-0.4546619262	-0.6443315699	1.860549172	0.06029797042	0.2598155522	0.3369494316	-0.2524420632	-0.4638919901	0.331839109	0.03348710456	-0.2085661427	-1.098775529	-0.7351521353	0.03401760711	0.7999034218	0.7541897413	1.615600912	-0.1717704318	-0.7021436493	0.5861914109	0.8718775078	0.8031941506	-1.26996887	1.767069065	0.4298093318	-0.5299897823	1.572617638	0.04814416003	-0.4280862356	0.2807583526	0.3197357576	-0.4544316607	1.481298988	-0.6864222344	1.342054849	-2.096667732	-0.5666609883	1.271346334	1.311006297	-1.384752292	-0.4128544198	0.385531402	-1.251776284	-0.6596681732	0.9849763018	0.5194781281	0.7423803389	-1.401788811	-1.14185553	-0.5231032113	0.7145110505	1.036061677	-1.097049245	-1.516885788	-0.3472828103	-0.6367159381	-0.339858011	-1.402381964	-0.09155366087	0.7224490923	0.3315846913	-0.8840651406	-0.1722489711	1.463060041	-0.7612560221	-0.737531248	-0.6951342736	0.4891768174	-0.1209590936	1.075595081	-0.1860373774	1.277071263	-0.05267024452	-0.2351238082	-0.461738057	0.1995127109	0.4307916123	-0.5005304701	-1.552830245	-0.03201699729	-0.1945010522	-0.2581370472	-0.01507920307	0.5570287597	4.029561621	0.1480853468	-0.6771761949	1.509737512	0.784915599	0.3586542203	0.3803224255	-0.2891224475	-0.4648760604	0.7451736859	0.9817224591	-0.7739241542	0.155226142	-0.2645660199	-0.08503275264	1.185549268	-0.5782650691	-0.5282024499	-0.6800324018	0.3040995138	-0.3609630499	-0.4680707141
-1.077403939	-0.3809164138	-0.3620978004	-0.05834419145	1.280691561	-0.2464523511	-0.2869491416	-0.5979599359	-1.295753235	-0.820870628	0.2542776001	-0.3139208574	-0.2802219045	-1.785665295	0.02114209364	0.5035232523	-0.9355126466	-0.4394787605	0.5160184102	0.5019703595	0.1413765333	1.313874211	-1.219942581	1.168636319	0.9864991813	0.6529319958	-0.8741143567	0.1145275616	-0.5814791966	0.2475961998	-0.08256832431	0.9678211864	-0.1868079654	0.7930073707	0.7559973556	0.3493248726	-0.3714140517	1.05839583	-0.0680978188	0.2514176182	0.1259946051	0.8699692407	2.326482455	0.03232445383	0.3629282903	0.07537322793	1.050414966	0.3455479522	-0.6264812322	1.023577323	1.035423144	0.08862022959	-0.2035058266	0.2776768731	0.2676054509	-0.514723338	0.4220643371	-0.3862036567	1.400868886	-1.32298928	0.4946309344	-1.057127774	-0.01027998008	1.807162466	-0.04643774982	0.2916102961	-0.02626798409	0.4202876749	0.7523340758	0.7243227489	1.048476219	0.9435629956	-0.3728089768	-0.4444458841	0.7039702651	-0.4670178264	-1.33131773	0.1438759091	-0.3371707085	-0.3707187021	0.7009299314	1.168367648	-0.05277009834	1.022977153	0.4851008869	0.8762492099	0.08815711569	-0.6712078643	-0.385560382	-0.05526756338	1.241867092	-0.5994428381	-0.2770199803	-0.5258674421	-0.2473152283	1.083427824	-0.3702232963	0.8126567367	-0.00297393062	0.9167245322	-2.443963121	-1.861428915	-0.06099796466	0.05587646571	-0.3093007061	-0.1564227382	0.07108028326	-1.250971589	0.4100180675	1.695603909	1.076392361	0.8325366601	-0.2282521471	0.3279854664	1.325272492	-0.3167848009	-0.9470608892	0.2324028516	-1.311144211	0.9922986974	-0.5408839465	3.199960413	-1.089841741	0.4002645159	0.6281531706	1.68405797	-1.163903299	0.278486109	-1.464976347	-1.319155976	1.100371613	0.5656520066
0.8712554145	-0.2121018804	1.223285187	1.693763166	-0.6644241493	0.3218104676	-0.3575500922	0.6053730795	0.6664245372	2.618813485	0.6076814745	-0.724232184	0.8397078179	0.1651868529	0.6056509713	-0.2715985199	-0.8357013838	-1.035314164	0.9493018432	0.3936013492	-0.1050815985	1.068202469	-0.2311048832	0.2730582811	1.050114629	0.1964349728	-1.352839818	-0.7914093331	-1.31699853	0.6664405271	-2.154830204	0.9609651477	0.9430410768	0.357152979	0.9325021973	0.4087510954	-0.7636000763	-0.2637035432	-0.2171014974	0.2090016915	1.49230193	1.130002309	1.844206179	-0.4698440529	0.5776002262	-0.2199865656	-1.264360918	0.1977986455	0.6330186601	-0.6259423071	0.6421537987	0.3896549603	1.367662115	0.5842557074	0.5894514265	0.321739511	1.396859041	-0.2494606699	0.9736164208	-1.472288353	0.6266125551	0.694783136	-0.4850897949	2.029143083	0.205574689	0.4275515118	-0.110886754	-0.3278584916	-0.1707854825	0.4013878617	1.140383646	1.324622176	-0.850764453	-1.262751398	1.107449057	0.4732345105	-0.9861929853	0.01804249083	0.3164868372	-0.706718026	0.2897333482	0.3356158383	-0.9233995169	-0.4964430308	-0.7668635711	-0.2893398288	-1.258403871	0.3737166724	1.64084818	0.1162373086	0.3818574913	0.8021785601	0.2284927252	-0.01402669398	-0.6160307643	1.260628943	-1.288318839	0.2334333799	-0.4856301371	0.08066063947	-1.242830889	-1.165390373	-1.198281898	-0.1390759066	-0.7481859276	-0.5345204863	0.08474214901	-1.881706848	0.2093560958	0.8060085517	-1.583328323	1.295882904	0.4367792423	-1.023610741	1.174264637	-1.261368796	1.005200997	0.5802130094	-0.7865050486	1.212737138	-0.3263095652	-0.2369616339	-1.004570593	0.5797922175	-1.428825504	-0.7865056673	-1.057953821	-0.4736797735	0.0512465131	-1.882369391	0.1703523111	1.11272306
-0.9078240161	0.9006576296	-1.528141671	-1.66998443	0.3506409947	0.06650064572	-1.426673261	-0.8993547179	-0.3516924407	-0.6348610406	1.142479427	-0.6230913019	0.9083908191	-1.09634532	-0.9678963721	-0.4528295429	-0.6261550107	-0.1423458501	0.2796869701	0.5564633852	1.17883548	1.358369961	1.540589321	0.4073262553	0.4921646544	-1.067780066	-0.7656208766	-0.4249728123	1.249405941	1.261620106	0.3622974438	-1.250832433	0.5628653239	-0.5510700335	1.942264063	0.1482359849	-0.8364582603	-1.359689234	-0.1853160147	0.832197152	0.5262865846	-0.1545212976	2.974261029	0.8491083175	0.024727764	-0.7462896362	-1.033846899	-0.7531875444	-1.970093675	0.5831269451	0.1664920854	-0.3576325726	1.325070175	1.13303767	1.047142966	0.2569857373	1.421877289	-0.6882488954	0.5095934943	-0.6102648187	1.311872316	-1.81804603	-0.4491068716	2.17454145	0.6681227841	0.1614263996	1.054076182	-0.06128538162	0.6686581559	0.05709668058	1.546994506	0.9714814175	-1.181248217	-1.442140694	1.151288915	0.7924011727	1.296536696	1.265897751	0.1122530737	-0.6773743548	0.08466435116	-0.873574776	0.4995620156	-0.2634752584	-0.8790594369	0.2336697157	0.4029388925	-0.4676553271	1.557596237	0.4216702888	-0.6819825558	0.9103215006	-0.1584860752	0.6567296325	0.6557341808	1.540960471	0.3557956037	-0.5014194069	-0.8963028059	-1.80755672	0.6804023834	-0.5193485223	0.3516938095	-0.3969885539	-0.5566522869	-1.391404067	0.6160620711	-0.01199280796	-0.04998581639	-0.1708758553	-1.417077214	-0.1527013873	0.364078359	1.014625327	0.4937138235	-1.697116307	-0.3810270402	1.021108263	-1.020402571	1.649123481	0.733232187	-0.7743124038	-0.2835933851	-0.1255687696	-0.1738767862	1.446228519	-2.237283113	0.2257247686	-0.1726234277	-0.5611905386	-1.737592487	0.480500646
-0.7858326495	-1.442140005	0.3086877092	0.509551939	-0.6533699712	-0.146490878	0.5846615221	-1.105418042	-0.5936647048	-0.1139106169	0.1121274919	-0.5130340418	-1.563875279	1.006619468	-0.06137322871	-0.4448383578	-0.8921701948	1.262776514	0.5795767204	0.4054426955	-0.9701514791	2.139310783	-1.256276612	0.6563630036	1.21805745	0.5076134781	0.1072472371	2.12114443	-0.4486726986	1.587762586	-0.07030858787	0.4891496554	-0.3184054841	-0.03143655855	2.007273437	0.6558421181	0.7251352984	0.6808449763	-1.212121358	-0.2378095863	-0.2715071599	0.2211241548	3.155335099	-0.3092742143	0.4350321499	-2.237739546	0.8580109426	-1.052350786	0.7554305785	0.8815353455	0.6724265305	-0.9348582898	-0.3214039173	0.97830109	-0.3636276948	-0.431023832	1.734163212	-0.2143021816	0.9287879705	0.5186142642	0.53454385	0.8227572584	-0.4142057893	2.395114784	-1.205763891	-1.113197153	0.04037546744	-2.178315531	1.241277298	-0.2535321711	1.632114432	1.906420713	-0.3649817117	-1.262503631	1.921034212	0.8205520278	-0.338434002	-0.5806426121	-0.4106518379	0.1616699407	1.036606956	0.001410844901	1.243814374	0.3074638801	1.67886042	0.2221860084	0.2822506049	-0.3468924708	0.4160076788	-0.240832638	0.1739022081	0.8145305105	0.3018310211	0.3760231994	0.6005521523	1.967751283	-0.6222063364	-0.6581014038	0.09064493483	0.989700241	0.4502548868	-1.047539542	-0.3889484985	1.079364028	-0.003805494507	0.07279350569	0.1769987859	-0.3335975158	-0.1072293795	-0.3833686855	-0.8489734026	0.2865240195	0.8932649601	-0.7101551379	0.6183170408	-1.008766345	0.2788978489	0.1567748235	-1.000641452	0.7057344157	-1.08062883	0.4279516021	-1.112352476	-0.9207298941	0.8827984422	0.3248846964	0.5949732417	0.5154248219	0.7178661907	-1.077731815	-0.3114124305	0.2570230423
2.062259059	1.022666524	1.045090228	-0.6273418102	0.439237299	0.6123649868	1.080124079	0.4268934358	-1.267137189	1.395490235	0.4281170778	-0.1251231455	-0.5356581406	0.2719444776	0.5130559158	1.23112166	-0.2102571929	-0.006662679003	0.7849260042	0.8462260012	-0.1483319807	2.282117244	-1.370316349	-0.6707919037	-0.1023066175	-0.4329531818	-1.223764739	0.4701363495	-0.9799961777	1.437299329	0.3785447047	1.418475949	0.0401464069	0.4919307055	0.5605712829	1.108114018	1.872021149	-0.7101092829	-0.1462994203	-0.6952781638	0.3164246478	0.1216129563	2.471412658	-1.091967223	1.207642274	-0.7660072489	-1.130472848	0.5565619441	0.6454100215	0.2158826367	-0.1436197418	0.3243888501	-1.910678856	1.940160116	0.5892449335	-1.280564897	1.723031073	0.9726869246	0.6326738085	-0.4223651186	-0.08396128022	0.9711523845	0.6166039733	1.155383106	0.2209994104	-0.1591380186	-0.913923323	0.7991826698	-1.971691041	0.551080518	0.2343007425	1.240410944	-1.308685924	0.07138523585	0.2808647375	1.334155966	-1.928482163	-0.8686299794	-0.9709079811	-0.3821160086	0.8769848058	-0.4824238655	-0.9138934387	0.02097673765	-0.4078078448	-0.4701724148	0.9825953556	1.214111802	-0.6948190005	-0.2502544377	2.041034761	0.9276772497	-0.1302564787	-0.3405598983	1.433452703	1.103168537	-0.764972143	0.2528543767	2.012306771	0.05705701417	-0.2035038972	-1.584940939	0.898721753	-0.0785683786	-1.806368742	1.310242573	1.143409096	-0.08869771372	-0.3814609563	-1.792128166	-0.4854016529	1.411755429	1.011519988	0.7741732479	2.398406095	-0.3798296675	1.721353277	-0.06069164076	-0.2096845035	0.6866099643	-0.6344314124	0.6966191638	-0.4405149687	-0.9736528187	-0.2557745878	-1.582130824	-0.9368187334	-3.94532635	0.4089584105	-0.1533991594	0.8234583119	0.4103297503
-0.7970870512	1.310743634	-1.10394644	-1.1362009	1.106886793	0.7260616276	-0.4366000401	0.8250424526	0.3349515397	-1.766849318	1.121616727	0.1147636661	0.4808259441	-0.5594711288	0.8723792058	1.214182373	0.3031296871	-0.9653019223	0.8052398179	1.309102174	0.0492092802	1.349731321	-0.9156512907	0.2495499917	0.06280947173	-0.6112739677	0.9550378926	-0.6095912389	-0.4971567907	0.9169929247	-0.3380989636	0.146671878	0.6618132979	0.22044464	0.6432651834	0.3732453134	-0.6494260719	-1.733244093	-0.392356624	1.008543496	1.202055842	0.009607737363	2.136430497	0.1447499662	0.8795065375	-0.7729724563	-1.587161435	-0.2320708336	0.6628711605	0.4055879778	0.1135890186	-0.7369657227	-0.01486792104	1.721078868	0.6787896317	0.5560091914	0.4487578733	0.6436849048	1.385995928	-2.262968957	1.057934826	0.916071487	-0.2254173162	-0.1169792152	0.4274081285	0.8127100218	0.2916762938	0.6240737067	1.104477815	0.2834191542	0.5130464482	0.177927225	-0.4187442347	-1.999720548	1.632263589	0.9362855998	-1.123670808	-1.061937826	-0.2257031126	-0.8667534724	1.225752539	0.222766383	-0.4697692225	-0.7884712763	-0.2371539091	-0.3938505417	0.916231027	-0.08773670811	0.3510175269	-0.1230704854	1.60159952	-1.084068342	-0.8301253913	-0.1862380223	0.7733389889	-0.1328309909	-0.6891566604	-0.4148681673	-0.340372353	1.179296323	-1.925141604	-0.1911851655	-0.9881947226	0.1482353356	-2.97563993	0.1340802785	-0.3526841925	0.1591983938	-1.76149319	-1.528828598	-0.2319413391	-0.7428305372	1.903626922	0.4002655567	2.291021293	-0.2245110819	-0.7276942839	0.3015182112	-0.8738021878	-0.644352183	0.4112151982	0.1276989961	0.3553477381	-0.6338302189	0.8411832494	0.5593918156	-1.415466254	-0.01877637239	-1.40362938	-0.06375906918	-0.6637376262	-1.442536164
