melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078
-1.410260762	-0.3797851316	1.407299366	-0.6607309369	-0.8343021774	-0.3403811333	-1.272050637	-1.627607696	2.17157134	1.664421821	0.664402347	1.791417169	-0.0758212802	-0.1698188061	-1.066001828	-0.2513036381	-1.831499305	-0.2585773544	-1.499857291	-0.437808249	2.012888105	0.9802078895	0.4251415929	-1.112684277	-0.1282132622	-0.4581773691	-1.151736431	-0.07428090973	0.5109458472	0.3495176724	-0.9540888293	0.840251858	-0.4834749544	1.183275364	-0.1504222145	0.6816699788	-0.9910167218	-1.379966226	-1.105804755	-0.2875744007	-0.6202678187	0.4610926991	-0.9999570337	-1.444925871	1.104104755	1.72042802	1.197834643	0.4528569588	-1.026211927	0.660200493	-1.087272892	0.3531309369	-0.9968062323	0.8584996557	1.151216071	0.1327667202	-0.810744692	0.03697238415	1.915533919	1.331683108	-0.7546687822	-0.2261843823	1.269915228	0.2005892126	0.03590783832	0.9939168438	-0.6646055543	-0.5651618785	1.54081356	0.3437639037	-0.8636335766	0.4577248065	2.666530974	-0.6713600549	0.6339981082	1.351075533	-0.9638999875	-0.1425073901	0.2803066969
-0.3658911326	-0.9478281829	-0.5111028803	1.232172514	0.1602854173	0.2944880451	1.885777675	-2.115806356	0.7808274025	0.3847015976	-0.1047030676	1.644811203	1.111121019	-0.09823249042	-0.4842336216	-0.1993944931	-1.691313578	-0.903008961	-0.5632513737	-1.09534589	1.268784781	-0.0656504949	0.7703321696	0.6983510678	-0.2393498488	-0.3186081758	-0.9551029999	-0.6097999764	-0.2912624852	-0.2913491309	-0.8959967255	-0.7696441654	0.5062355424	-0.6197088595	-0.1783807487	0.0515810648	-0.861241551	-2.064562777	0.555300977	-0.4787362884	-0.4388269674	-0.7499257682	-0.8486789118	-1.288284542	-0.9463649227	1.152279311	0.772560939	0.3221623909	-0.5572524078	0.4950844167	0.6465774977	1.765970923	-0.1113904041	-0.7338334819	1.16735503	-0.4214472127	-0.1698744775	-1.028654649	1.141297267	-0.582055878	0.3556810703	-0.5806598638	1.336020024	-0.8524715057	-0.4191910443	0.2741494383	0.4857949838	0.772492579	2.192389634	-1.728926625	-0.2276732022	-1.393037642	0.9108255549	1.057190225	1.271798016	0.006722255053	1.20765276	-0.5474215883	0.1098820907
2.306582019	1.513737945	0.09957607683	-0.9235830785	-0.1314468186	0.7074243035	1.741356973	-0.7266408977	0.2612888228	0.8451317725	-0.2965664832	0.4494368332	-0.3565157143	-0.5391714953	-1.101897882	-0.8403318295	-0.5810489998	-0.5999445082	-0.4335431843	-0.9024735647	0.4570173781	0.02753894391	-0.0143332495	0.2909981949	1.029303245	-0.7745987393	-0.6169741149	0.611195079	0.2835568898	0.5808246982	0.2528542468	0.8352566134	-0.3263080289	-0.6308223445	-0.4629022419	0.7049605702	-0.1225243768	-2.205208607	-0.5380494397	-0.8489579717	-1.535376668	-0.8067710596	0.1889585895	-0.7161481775	-1.4383352	0.9746737119	-0.248894706	-0.6747419685	-0.08448457796	-0.4339441443	-0.2174424985	0.7279802184	-0.4334162249	-0.3109014042	0.5716673965	-0.2836941082	0.07086047052	0.004079675821	-1.40117524	0.2750507552	-0.4816348489	-0.127577464	-1.596630295	0.1416177965	-0.1228297113	-0.8763623015	-0.9968838522	0.2121877724	1.006507774	0.1895985693	-1.159181613	-1.399568952	-0.931893288	-0.5364929062	-0.6167819468	-0.5647834805	-0.2237169653	-2.282359203	0.9081358971
-1.295777358	0.5615231992	0.5926711129	-0.8514122912	-0.8152085313	-0.7152586356	-0.9895197485	-0.5405516575	1.198356872	-1.549869479	-1.132504444	-0.03381375906	-0.4854835921	-1.108691394	-1.291964021	-1.435706046	-0.2855651744	0.6980162743	-0.7305977902	-0.3654474553	-1.207436426	-0.7492638434	0.5854084543	-1.445240317	0.830202757	-0.004872492236	-0.1120509086	1.132525827	-0.9736762902	-0.5852965046	-1.491647198	1.288377353	-0.8207324651	0.4825297663	-0.04191094711	-0.2554677177	1.07441101	-2.644195133	-0.09803825314	0.08080553417	-1.527951946	-0.02772624439	0.6856629579	-0.8407983325	0.1248503369	0.09809114725	-0.1954579879	-0.3041745796	0.3679051201	-0.1561378286	-0.1382849116	-0.4195806308	-0.7845754384	0.4577838215	-1.925009953	-0.4075993389	0.2614230044	-0.4196442516	2.331620489	1.387727078	-0.1726032133	0.2878224672	-0.5557698384	0.4613938273	0.4205679428	-1.509003831	0.0669318119	-0.1196744713	0.2320941175	-0.4348934725	0.1260322163	0.1230031455	0.4526261755	-0.6262768156	0.625292827	-0.6405889692	-0.3447341123	-0.4196094691	0.1794304301
-0.6000977368	-1.045424064	0.8809219	0.7256137396	0.5034191295	0.1810897315	-1.130573119	-0.3688645906	0.7072015872	-0.2493087366	-0.1862936449	0.1675192406	0.9898709733	-0.475521612	-0.3443587713	-0.006336916283	-1.396411672	1.776786364	-1.18004499	0.2869061101	-0.2418285832	0.001894760464	2.096574572	-0.1861147734	0.8987661029	0.7335568292	0.3304777342	-0.1370199262	0.6808127166	1.064176594	0.2840777101	-0.7854169335	-0.1985926311	-0.3583846855	-0.09035705199	1.122801432	2.160858118	-1.69514671	0.7525014864	-0.8388065403	-0.5103532934	-0.3522921428	1.234876546	-0.360007728	-1.273388125	0.3330614643	0.772375071	-0.1774050232	0.07291788455	-0.5920084893	-0.5025675372	-1.221474879	-1.07169826	-0.614263035	0.7313895375	0.2889971738	0.9119048664	-0.7480418626	-0.3760174207	0.3663315042	0.7371111691	0.5845364657	0.8920633318	-1.027170753	-1.061883118	-0.12283668	0.3397379404	0.6888712041	-0.4874578043	-1.322695869	-0.006492761731	-0.3155084445	-0.7023680101	-0.9041214696	-0.08370033161	-0.469753106	0.3384608706	-0.589188779	0.1437720462
0.06610844796	-0.8432063583	-0.5330250603	0.8330478832	0.5503844778	-0.276368174	0.5271738259	-0.6444256086	0.5621582784	1.630194018	0.9019388133	1.39364075	-1.290722634	0.0165854037	1.133442983	0.5072335846	0.1577512567	-1.80797121	-0.02440202198	-0.1598683428	1.864290711	1.046157529	0.8573732977	0.9059181151	-0.7409337052	-1.159540476	1.701940179	-0.3505417915	0.559183553	0.8123158777	0.821474904	-1.351441219	-0.09820427088	0.173280373	-0.05331805776	-1.32926108	0.629864357	-0.04940950787	-1.902418902	-1.118535458	-0.6737900829	0.3135352944	2.424445682	0.7354696698	-1.117591341	1.64442113	0.3840731629	1.360635894	0.6052151774	0.4056110875	0.08154108647	0.3434424549	-0.5408271385	-0.06292457128	0.4243580972	1.550810298	1.48758466	-1.066564571	-1.217978962	0.1447651395	-0.7612539041	-0.1649688976	-1.119450668	0.7402987806	0.4846610961	-0.344253028	0.1504243996	1.627666142	-0.5442198821	1.904869568	-0.5582556164	-0.02859825044	-1.272082189	0.0331313178	-0.02584154146	0.7369915549	-0.6864358436	-1.028921741	-0.08702834838
0.8093241402	1.461138953	-0.2473779654	-1.121608278	-1.729393755	-0.7151977493	1.035184098	-0.8475779828	0.4505725937	-0.8720916762	-0.2284833329	1.30944133	-0.6772015577	-0.4818386213	0.08940745938	-0.3771924219	1.482239262	-0.5373488074	0.7483368481	-1.363120051	0.3481218474	-1.597187326	1.03020999	0.9821607389	-0.2071823472	0.1358852123	0.241931072	0.07710527164	-0.558355153	-0.4518641321	-0.4679326026	0.9410603525	0.9092017859	0.04708682422	-0.03173424739	-0.11248863	-0.1343518709	-0.7479337083	-1.184647043	0.2595237559	-0.3576297326	1.281283541	2.299193491	0.7787862976	-0.2505263002	0.7231447003	-0.4135270469	-1.052633571	0.644995099	1.342651059	0.8626811443	-1.331615092	0.9110217231	0.2576160047	-0.7070434398	1.469394249	1.501458809	1.074603327	-0.5001354061	-0.1868658424	-0.4406408018	-0.7174937917	-0.8996430771	-0.1634470974	0.8353566215	-0.7342883657	0.2781310021	1.150775608	-1.027248511	-0.8187816657	0.1097773757	-0.8155298082	-0.617328053	0.1261613775	1.14513659	-0.5670887181	0.3772640771	0.001861798824	0.7624311653
-1.384254616	1.364622893	1.580825002	-0.2741980367	-0.6906431519	0.5672578874	-1.045423811	-0.7497097196	0.6524450498	0.3620577893	-0.7205666494	0.9601064458	0.04192173882	-0.2610518703	-0.2519849733	-0.5859833486	1.950821783	0.7032782712	0.7219558454	-1.248457158	0.6883450801	-0.246403551	0.1693165167	-0.8146287383	0.8062431684	-0.2649919083	-0.2632184051	-0.1664817952	-0.4383780754	0.6137542153	-0.8460417631	0.7872922526	0.04270176222	0.06532176792	0.1557926383	-0.3282287488	0.3854449614	-0.8661253168	0.2277408495	-0.7139169577	0.200257054	0.6034673068	0.6848474583	-0.5000643105	-0.5668131114	0.5702239906	-0.4360153837	-1.14155925	0.1514356374	0.3661328108	-0.161586062	-1.020998817	-0.1442920348	1.767365755	-0.03531559272	0.2967961598	0.689393951	-0.6127606985	0.7098449391	-0.1237601429	0.6827722507	-0.4526054493	-0.08911827731	-0.002448561963	0.3901961692	-0.7298380019	0.6246614879	0.6567154584	-0.1925666099	-0.2445931638	0.09451009189	-0.2319220087	-0.8869685231	-1.002464124	0.8215356461	-0.9258333581	-0.04712365168	-0.2578959812	0.7167240795
-1.246094684	-1.168602073	-0.1443450514	0.8867105572	-0.2168904449	-0.9161291956	-0.8611954801	-0.5614591396	0.2305977258	-0.6176198349	0.5630380122	0.9793280721	1.40428837	-0.1223414045	0.3515539251	-1.124122931	1.598319132	0.005306093437	0.6623406539	-1.27053419	0.8509975767	-0.3717251537	0.1284748033	-0.04553245526	-1.020493601	-0.3320654469	0.1071204351	-0.09289288246	-0.8013222273	0.1774494485	0.2102266365	-0.9647167611	-0.6717660713	0.7181113418	0.5875798236	-0.9989129816	0.1533988107	0.2423047499	-0.4010840349	-0.9049556752	-0.5847424072	0.9259943497	0.277056297	-0.4654875331	-1.926591435	2.065155025	0.02957062852	0.6427946374	-0.4999204108	0.4997249569	-0.4108627804	2.360000693	-1.323324469	-1.118268473	0.5636527504	0.5391973057	0.5204934747	0.1544896819	-0.5701582053	-0.3376415031	-0.8667182131	-0.8289602416	0.1497051249	0.4502581125	0.278216941	0.1403290542	0.1184140258	0.9885655962	0.5767927917	-1.494522606	0.646065936	0.1624924025	-0.8802594307	0.2315003819	-0.5216756885	0.6596025621	-0.5185176277	-1.285907128	0.1709836978
0.1555258521	-0.5949661326	-1.160172285	1.462844019	1.25383043	-0.2919853219	1.269285033	-1.041905252	0.9138814476	0.4693995666	0.7244182122	0.8297869057	-0.6279156753	-0.571226175	0.6153795551	-0.7895672325	1.100084192	-1.646764627	-0.3386554024	-1.016410929	0.1569178114	-0.3221436583	1.068999423	0.8451334059	-0.1157261843	-0.4185619897	0.7011962409	-0.03837499902	-1.319370575	-0.4217015164	0.6182543456	-0.7343204193	0.2769734916	-0.7793724808	0.07497701174	-0.4054686228	0.2127341317	-1.130503571	-1.072213288	-0.4889567469	-1.038532579	1.286405232	-0.1787430791	-0.420874522	-0.9095728936	0.6749978255	-0.4191777747	0.8257236192	0.8654276471	1.741126077	0.9380633349	0.5560262326	0.6574949896	-0.2739602832	0.2724296109	-0.6525590445	0.2421870986	-0.7377093378	-0.5654569458	0.03206903578	-1.011151553	-0.4470074166	-0.3406686742	-0.8292187097	0.3242362605	-0.2913974673	0.4657765532	0.3571320028	-0.04258556855	-0.2849281518	-0.5137461243	-0.5954415486	-0.8507159739	0.729071244	0.7689864721	-0.1715698896	0.8791357614	-1.457560628	-0.5481706135
1.497411574	1.455788087	0.5110575851	-1.268995814	-1.204567261	0.9618804664	0.5402713713	1.098399513	-0.2683925887	0.6042317202	-0.3987991299	0.7558661198	-0.05568161017	-0.2397855128	-0.3642080677	0.4835633723	1.241812921	-0.4578817247	-0.1523822958	0.9071438417	-0.5336515298	1.435368136	-0.8799654446	1.10192961	0.03757882785	-1.267313138	0.9729048628	0.7790288049	-1.709792366	0.360991964	1.042937511	1.07544301	-0.06756905188	-0.4025813058	0.3030826187	1.008321052	-0.4133267853	0.1699366666	-0.7662473698	-0.2350234052	-0.2623482783	0.02934245197	-0.1719821882	-0.0712555042	0.406528637	0.8473958616	0.2594115185	-0.7233565276	0.2812500638	-0.5015101321	-0.6768656346	-0.6252076613	0.2190706061	0.290197363	0.4408788115	-0.08878720978	-0.6409060162	-0.6294161426	-1.383560201	0.1898234986	-0.6623343702	-1.162908225	-1.204297995	0.09186243852	0.195206802	0.2896107306	-0.2453611757	-1.401010734	-0.3707466759	0.2138869341	-0.7174348959	-0.6213984225	-1.026590143	-0.1034937356	0.001871033328	-0.8834933107	0.06791718625	-1.120028048	0.23644162
-1.415122237	-0.5953720956	0.8591128397	-0.8248581435	-0.7712874988	-1.384692604	-1.144361706	1.222089587	-0.9379700458	-1.432931758	-1.407352755	-1.170683979	0.4106132554	-0.6251811079	-0.7588987227	-0.2126133794	1.334191588	0.864412881	0.5070724168	0.4323847746	-1.72349059	-0.3835297554	-0.2550480755	-0.6718463216	-0.42707106	0.8000552624	1.189573083	1.129825514	-2.020898873	-1.395059038	-1.544046292	0.6096056242	-0.7745691041	1.623162198	0.6067418235	0.2199814892	0.1988997925	0.3604333003	0.7746059843	0.5674765614	1.677987477	0.4539145574	-0.4834831193	-0.3873666018	2.209988533	-0.4352342519	-0.2143023382	0.3072310167	-0.08305958697	-1.137655863	-1.103986872	-0.4566693468	0.08459639728	1.090116502	-2.09775636	0.1184641031	-1.548897154	0.4875858597	1.437249026	0.1687745103	-0.4740627374	-2.375635834	1.426008882	0.8049175811	1.13436989	-1.214771861	-0.3836226561	-1.598003565	-0.3029245196	0.2044767395	0.7937921771	-0.7951413994	1.263098986	0.5708648378	0.4323498617	1.756217224	0.1043114614	-0.7078349054	-2.189863827
-0.2622785312	-0.8843472895	-0.8997766628	1.234806363	0.8143242082	0.8341202597	-0.8394626736	0.8629333254	-0.2479111345	-1.287308279	-1.55741905	-1.185634346	1.679363611	-0.3988900863	-1.830986252	-0.5722608668	1.190875127	-0.5792970309	-0.1842852435	0.9990878016	-0.7904171497	-0.2418284512	-0.2615105143	-0.1708090269	1.475872817	-0.1839512399	0.3963723704	0.05151310204	-0.5123211245	-0.04926677219	0.5583857587	-1.667504612	-0.2808944513	-0.4887556916	0.1647475004	1.022905387	-0.7431944877	-0.04095578104	1.929657648	-0.2009575596	2.228259687	0.6011610747	-0.7257783414	0.157193811	1.879794471	-0.9812236677	-1.03134701	-0.2367729041	0.1432627083	-0.6165259204	-0.07365769053	0.2423249501	0.5155812793	-1.964712718	0.6488447488	-0.2829814579	-1.447662578	1.152745061	0.498176138	0.1350213908	-0.5454070454	-1.057709768	1.163602597	0.1543498312	0.2677579611	-0.590799667	0.8577385105	-1.398188062	-0.04680216872	-1.849011848	0.7703914436	-0.08444176182	-1.222401744	-0.7651451384	-0.1333994155	0.1900799654	1.45642181	-0.3492598097	-2.257936463
0.6530741319	-0.2000401661	-0.3719136965	-0.7730405792	1.041396457	0.8844074337	0.09090077785	1.529699155	0.1481418976	1.194618221	-1.188659542	-0.1001152414	-1.168585976	-0.01405525244	0.1976405987	0.5372778984	1.248155052	-1.495512948	-0.4460355247	1.369402552	-0.257036629	1.766623904	-1.240484993	0.7804993493	-0.446507889	-1.880532686	0.4391568273	0.5443073549	-0.5702511838	0.8381245261	1.08714637	-0.7611862521	-0.1502232543	-0.2586158692	-0.3050270163	0.3647351516	-0.7681719905	1.312022104	-1.953040905	-0.1681452013	1.36614231	-0.2450903696	0.4112845021	0.9946773095	0.7993979019	1.712897702	-0.9620178023	1.119131157	0.9312010394	-0.04698550187	-0.1850802227	-0.1552674714	1.073031784	-1.148756234	0.8515230853	0.02287271048	-0.8028316376	-0.9803305329	-1.505673474	1.546464804	-0.2232548699	-1.652442849	-0.06163408886	-0.4428579608	-0.5312603583	0.2448949389	0.8572473656	-0.8506154094	0.5285680235	0.3133328321	-0.5164474763	2.257615091	0.167500755	0.4299392753	-0.01797820975	0.7498527538	-1.036720658	-0.2959262554	-0.02366454522
0.4518078621	1.708794333	0.2083019028	-0.8325543218	-1.303255271	0.0774438947	0.2934724034	0.2737431449	-0.5295651634	0.008193215484	-0.08251427	-0.32827277	-0.3067878118	-0.1983226943	0.1959983075	0.8076848936	-0.2220508885	0.7072636724	-0.07172653385	1.011899647	-0.4196814553	0.1072111695	-0.1276130933	1.257549356	0.8712503403	0.4880445729	0.8599017735	0.7236235977	0.8271740463	-0.06367865238	-1.218961018	0.9459268222	1.015418787	-0.4977246718	-0.3030684534	0.5930636327	0.823648657	1.009573016	-0.2205567594	1.171699703	1.133209993	-0.03145570082	1.298766582	1.306100462	-0.3479197443	0.1639635155	0.08870311356	-0.9802775163	0.4154035638	-0.6481911912	-0.5617359438	-1.336687048	1.12899715	-0.3545071556	0.8160196094	0.07878496485	0.3446213754	-0.9375596392	-0.9157664956	0.2482419216	1.105124162	-0.7699263625	-0.6769026268	-1.209486383	0.3977686834	-1.153696762	0.9394182476	0.4193138993	-0.4877646571	-0.5972307504	1.12529786	0.6922315366	0.3231002739	0.4953712477	0.3416677994	-0.6276848605	0.8041662586	1.362835134	0.7291610164
-0.449162475	-0.6536297374	1.801085064	0.4361287502	0.3226492036	1.070669469	-0.9528135364	0.1179480316	-0.9704990215	0.5842223675	0.6806556299	-0.9448383473	0.6348238481	-0.1815355123	-1.160676148	0.1648312479	-0.4109442988	1.543072452	1.033196204	0.6499307578	-0.5544759712	-1.018611472	-0.708502645	-0.9255975427	1.28782057	0.7087895257	1.103373201	-0.1805650238	0.1160206369	0.7798214134	0.5213624747	0.3239184171	-0.0330762374	-0.09153669253	-0.350065916	2.975412485	1.831651217	0.385189183	0.6117720026	0.3290681763	1.984523002	-0.2953310319	0.9510323505	0.5939552777	0.885874191	-0.5051799031	-0.7319177588	-0.621639036	-0.6211451003	-2.429566791	-1.415062613	-0.3067733631	0.192600367	-0.3128336054	-0.3251186574	0.3074495754	0.5490778972	-1.192848165	-0.9376089113	0.1460142835	1.004632681	0.06532172803	-0.1821183272	0.5752321164	0.4066177161	-0.8992681573	0.2609376625	-0.1307996913	0.05104720994	-0.2977637841	-1.124565177	0.4461128885	-1.014248511	-0.3713997064	-0.9401992153	-1.518934029	-0.2655963182	-0.2984778166	-1.764950269
