melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125
-1.369957375	0.4525173879	-0.9941894384	0.9526034278	2.423229484	0.7495780899	-0.03297328919	-0.882140629	1.336494803	0.6241975708	0.4881401147	-0.8194999066	-1.331743602	-0.06538110593	-0.5489321052	-0.2380894686	-0.1617206881	-1.204456486	0.2062531664	1.903888377	-0.9223336602	-1.115494695	-1.474273496	1.394267587	-1.537993656	-0.3477743366	0.1912529537	-0.222335981	-1.654590157	0.03644087148	-1.920920107	0.334485486	-1.65560078	0.691540584	-0.1691346447	2.647279695	-0.7348954097	-0.681944698	0.9678542365	1.625151118	-1.038267057	0.5836403729	0.7856555781	-0.9287756713	0.3559551228	-1.745312359	-0.2398105996	-0.4275591827	1.098540703	-0.05771253882	0.4560369179	0.2428821489	-1.16796749	-0.4471507469	1.269748919	-1.292917561	-1.736474952	0.6251909771	0.5499742586	0.6470154882	-1.03484553	-0.6938920142	-1.183742554	1.5534208	-0.4116348525	-0.4746459842	-0.2705231051	-0.8045013041	0.9659452855	1.52695912	-0.482228832	-0.09477223053	-0.4369873958	-0.7619517512	0.8213867831	0.07789283618	0.7076200757	1.983224925	-0.2614232684	1.132279719	0.4584186589	1.282804737	1.718631671	-0.344522835	-2.36643526	1.236816914	0.3381270537	-0.8431006633	-0.8937109725	0.8854186812	-0.1809838479	-0.7626460074	0.4307314777	0.03525014212	-0.1604898865	0.1719155591	0.3927699525	0.3651739175	1.171555149	1.940910763	0.9180845901	2.159813872	-0.4227316685	-1.293947357	1.756822814	-0.7431357873	1.386765927	-0.6002781631	0.4609604427	-0.02417543283	1.232231577	-1.828419459	0.8981270577	0.6056658827	0.4029250927	1.780730856	0.4720306017	-2.595433495	-0.4168339818	-0.1198338614	-1.312536778	0.1987580441	-1.399336013	1.142163316	-0.8026800805	0.04983096801
-0.8866168964	-0.5713906152	-0.06872495646	-0.8496847366	1.062364478	-0.06700459776	0.819422021	1.953901494	1.087187593	-0.3126063575	1.209835655	0.4948039647	0.8245596485	-0.0001743023318	1.106674465	-1.404039681	-0.1354309857	-0.7858857179	0.3915547279	1.435371661	0.723145239	-1.743798054	-1.870173769	0.2035938456	-1.800193122	-1.016017291	-0.2296214676	-0.677653191	-0.4587929677	0.8767925135	-1.392728537	0.05544978968	0.4754785737	-0.1800801494	-0.3059419847	2.233898409	0.662746902	0.0864448376	0.7118074728	-0.07459837239	-1.338396989	-0.8201047326	0.6524570809	-0.4941407101	-0.05536294537	-2.284485771	-0.9436467127	0.5382747615	0.006868974783	2.37253147	0.02231742923	0.6424794505	-0.7567559105	-0.6155735091	-0.3569690079	-0.9389301541	-1.090876629	-0.2422698438	-0.7566751846	-0.2772435101	-0.04316442538	-0.004579030902	-0.9381831342	0.005938912755	0.3029860411	-0.8356818718	-0.6572787791	-0.08588029248	-0.7223348544	-0.02721550964	-1.184941116	1.81038037	-0.435811444	0.05242730804	-0.8065813758	-0.299343473	-1.04077278	0.30932387	0.5633723876	1.135050647	1.080979	1.622754979	-0.4113356594	-0.2581163798	-1.15260587	-1.263236467	-0.6909171295	-0.2200974123	-0.8655907411	0.5599011506	-1.493787132	1.731544308	-0.6528031036	0.08728607878	-0.5756722733	0.7656273855	1.254268597	-0.0272717785	-0.2622682412	1.112145897	0.3629266101	0.853895865	-0.1751244842	-1.538599497	0.06502886909	-1.707241062	0.4039658158	-0.5624340652	-0.1091598625	0.7913265717	0.5867547805	-1.41599145	1.015273094	0.1616518684	1.301224262	0.3851646548	-0.123253582	-0.8548554801	0.1738532037	-1.552227527	-1.138148781	1.072903216	0.3917815749	-0.8138450744	-1.150538427	1.349538695
2.206952535	0.8011213631	1.778064139	-0.1524020177	-0.274536143	-0.102325423	-0.07412771333	1.873417457	0.238245014	0.5547140882	0.5100192248	-0.2041318426	0.6284790841	-0.4550808821	-0.9334160903	-0.05210671714	-0.9259781574	0.2935129199	-0.5656827266	0.538058203	-0.5898587973	-0.5348017311	-1.670986367	0.7148812109	-0.003432044178	-0.9839354318	0.3879152521	-0.8094000178	-0.1564133592	-0.499321802	-1.591271348	-0.2067655133	-0.9269033042	0.2744959474	-0.5454728157	1.3581701	-0.1979759087	0.2080796251	-0.7205022091	-1.931026374	-1.508093944	-0.494380293	0.2725344951	0.5275583361	0.1872946506	-2.234818888	-0.5752162544	0.9933583111	-0.4330246065	-0.4897901435	-1.081171526	0.08016609506	-0.592344219	0.8478368168	-0.2397599131	-0.5013889703	0.05463188813	0.441920578	0.3650322485	-0.8625810191	-1.58056296	-0.7866895313	0.0371068267	-0.5451777251	-1.503280972	-0.2679571828	0.4719651713	0.155403565	-0.7323928604	-0.1125812523	0.8446038729	2.168889222	-1.685577189	0.2312472423	-0.2778217752	-0.4059168263	-0.02693009306	0.6985324304	0.2700534357	-0.6747169344	-1.225618612	-0.1349537012	-1.633979141	-0.5943441947	-0.002951372742	-1.013795275	-0.8177287795	-0.2102147577	0.2785351207	0.004890611089	-1.395843512	-0.06133811147	-0.156074848	0.4027010672	0.2487192629	0.6331027433	0.422425201	-1.769868662	0.8672272532	-0.07899984602	0.8007608927	-0.4626096557	-0.29781379	0.1996426187	-0.1940391825	-1.140127957	-0.2706909962	1.402696313	0.05178004051	-0.1831655897	0.6682651235	-1.596822943	-0.5441248058	-0.2065912974	-0.4951709963	-0.8800021425	-0.350232604	-0.2813283024	0.5747749659	0.2416050074	-1.520618094	0.428748272	-0.6328339459	-1.509107853	-0.0934845613	0.7367242543
-0.446495251	1.15828084	-1.089541002	0.2348575017	0.6089803215	-0.8931537563	0.05286138412	-0.7105622473	0.3592722199	0.3435436735	-0.8599900497	-0.903075293	-1.192407928	-1.192859357	-0.5878378182	0.9643227323	-0.1602171248	-1.705159223	0.01304062802	-1.127763591	-0.5771333593	0.3731744071	-1.60959051	-1.497543448	-0.004142339179	-0.4751090772	0.5720963023	-1.203651052	-0.7125685867	-0.3043840406	-1.674197149	0.3480793014	-0.6940137242	-0.624763061	-0.2311653263	1.007316284	-0.9259462305	0.9889646729	-0.7470516424	1.309155847	-0.4726639304	0.08021499228	0.4326305788	-0.06178229624	0.1658670229	-1.764121773	0.09621307887	-1.066424434	0.1517347212	-0.01762222173	0.09469778239	-0.625901749	-0.6129971594	0.03799307933	1.282972602	-0.7208624886	-0.3861139735	-0.6722723203	0.9613003342	-0.6899228477	-1.595034555	-0.3121432542	0.6657460562	-2.161909208	-2.081353617	-0.4691371758	-0.3448159073	-0.2976239946	1.119976749	-0.8622066968	-0.5130638966	1.137506172	1.540176309	0.9511394111	1.004728364	-0.8490345332	0.8352649388	-1.330179769	0.3661774323	-0.4054573143	-0.5947815191	0.2900635755	0.08747730817	-0.0271428096	-0.08710586977	0.3284315498	0.01884367371	0.5364468193	0.06045771861	-0.7705012261	0.6781918625	-0.6376521972	0.5116742821	1.262612742	0.3095696325	-0.4290735858	-1.542121456	-2.526149856	1.949898404	-0.4604498928	0.7272370643	0.7616266677	0.08382709382	-0.05800303121	0.4204266501	0.7011266739	0.290901134	0.5914139575	-0.2359857381	-0.4046814482	0.4965424943	0.05580327306	-0.4497400064	-0.1264016862	-1.287736801	-1.740406428	1.106199962	-1.775356236	0.6014384391	-3.015881862	-0.041717701	0.2368813441	-2.144188702	1.142078891	-0.4355126934	1.247336519
-0.9651592391	-0.5535980924	-0.03076182434	1.407736365	0.8835257063	-0.4033887299	0.7724254725	-1.156050309	0.5878065239	-0.8538399836	-0.4681711906	-0.4023514213	-0.137755777	-0.4662786476	1.078174063	1.262499179	0.4376712863	0.4970310625	0.6849810826	-0.07754566269	0.09505458364	0.7585639714	-0.8004280356	-0.01418866281	-0.8843938286	0.2098562854	0.3423772436	-0.4721330645	-1.002777039	1.294728373	-1.370161291	-0.7469070071	0.02757565491	0.1893133002	0.006469285115	1.309063005	-0.2361947138	1.564636715	-0.874374327	0.05649450568	-1.091764657	0.452750584	0.1737820962	-1.181824531	-0.481233343	-1.620152453	-0.3666143713	1.398611231	-1.122628082	1.326427795	-0.3807058339	-0.03876300257	-1.635971453	-0.9361361457	-0.04124855136	-0.1645330789	-0.6041784203	0.1973539164	-0.2504727081	-1.208961826	0.4109625688	1.970190903	1.099995936	-0.9326483743	-0.490946142	0.3056317838	-0.5488698833	-0.4131326455	0.7504374169	-1.098140892	-0.9244634789	-0.4434535793	-0.05073627415	1.628431487	0.7379043468	0.4098787909	-1.043778569	-0.1894733446	0.3021589775	0.07759726757	0.09884409909	-0.833769414	-1.411178585	0.06057823755	1.033565168	-1.109536327	0.4127988107	0.2185469525	0.1110241612	0.3557781024	0.7263570485	-0.7826456231	0.3647812794	0.2474317138	0.7243792832	0.305254572	1.116619063	0.2300244971	-0.8699480122	-0.05291212998	1.205098604	0.0883086006	1.138984493	0.7450749607	-0.4907887714	0.1695915043	0.8176625886	-0.4682375423	-0.01983274818	1.204481587	-0.742516744	0.01152794425	0.9026179076	-0.3738185741	0.8399051253	-1.326244895	-0.01372436356	-0.2519211769	0.1947155948	0.242215295	0.8565328696	0.6572363017	0.1314407911	2.053130202	-1.549048018	1.173782192
-0.7062375699	-1.022253791	0.08088697604	-0.1986335402	0.7050358926	0.9396960107	-1.858506841	0.1510872483	0.7893032519	1.617993177	0.2645654438	0.1163333778	1.153203792	-0.06098467507	0.396427398	-1.338580841	-0.7629565779	0.6165299097	-0.7271695109	1.772120412	1.168954083	0.3524034559	-0.8298181379	2.438578855	-0.1192412518	-0.1764583596	0.3558935882	0.4030770108	1.193659938	-0.3499167212	-0.1123814657	0.07443956721	-0.5921785289	0.447692824	0.4641146675	2.185601094	0.1568164626	0.598956401	-0.5380745675	-1.14535293	-0.08546005791	0.1907262162	0.738872303	0.2364091876	0.02251113405	-0.6558885277	0.2097707178	-0.3323623407	-0.6964228462	-1.32172844	0.2228826325	0.979620741	0.6035518328	-1.061720028	-1.066902619	1.245205738	-0.1064150867	0.5476532591	-0.7270364534	-0.7813806525	1.309267165	0.7566959902	2.248085999	1.418961571	-0.7154602946	0.1773475583	-0.269169479	0.5064282022	0.9831886186	-0.1287826596	2.363677779	-1.311042328	-1.200319461	1.935457296	0.7007085126	1.021611219	-0.1595931555	-0.4215636051	-0.02746257705	0.1048117842	-0.8676784923	0.5290688475	0.4611573212	-1.950691974	1.971421438	-0.9972569735	-0.1489047037	0.8139286717	-0.5344834811	-0.8328714612	-0.4215470816	0.7746693574	1.093262374	-0.9861488478	0.1582775553	1.901506547	0.5312115182	0.8059094483	-0.8547920902	-0.02227382186	0.3808978072	0.7907351506	-0.5342390336	0.6224374879	-1.499097747	-0.8855867033	0.5679287195	-0.6266100616	-0.1552175438	-0.4120656216	-0.3005000993	-0.8629971211	-1.381104325	1.516099727	0.006940712212	0.8941817499	-0.786401215	0.3562690887	0.9606045189	0.5182857853	-1.456822644	1.09284832	0.8856214658	-1.926251506	-0.9745003657	-0.2450732374
1.706332754	0.9356820213	-0.4756293269	-0.4618993878	-0.02662829606	0.02837383783	-0.1627874316	0.8227994098	1.663563465	0.3041386657	-1.129443786	0.802607411	0.9489167495	-0.7397045015	-1.114392926	-0.4138160667	-0.2481787351	-0.7864757604	0.1172164499	0.6220620835	-0.6794114758	-0.6732983208	-1.11919454	-0.4274587014	0.6723836659	-1.067825162	0.5132345446	0.2079580956	-0.4271956466	-0.5970204704	-0.1592653629	0.2668767901	-1.480034776	-1.655760987	0.4788126355	0.5400412884	0.9838297707	0.7725992605	0.0960303066	-0.328551629	0.06755359646	-0.2189307503	0.4434141162	1.931583261	0.8106025649	-0.4851685396	1.255493029	-0.2048351445	-0.2322110881	-0.685273608	0.7787978883	0.1065424645	1.911694706	1.416870201	-0.9340514919	0.9702885677	1.899778313	-0.4917639796	0.5915618434	0.6613495326	-0.04509618285	0.0616550087	2.443537174	-1.173013706	-0.5739762119	-0.8890212967	-0.4550200718	0.2908151518	-0.1547603367	-1.602548497	-0.02326352702	-0.6604275672	-0.9563276223	1.948852344	0.5170441268	0.1828176249	0.2826335257	-0.3725122333	0.2840985047	0.6818088641	-0.6367194651	-0.145901983	-0.3877594512	-0.5168952176	0.9924998789	-0.2825888033	0.3232685719	-0.3986053124	0.4778779319	0.5961725153	-0.1032370531	-0.3609770073	0.06773428695	-0.4997579947	-1.187624016	1.252715211	-1.293708072	-1.265542269	0.1795523999	1.012296762	0.001478002326	0.8877649543	-0.7134134213	0.05704969851	-0.8161842966	-1.232015148	0.3244862396	0.2863177069	-1.189311134	-1.22960789	1.618385845	-1.163075294	-2.145533088	0.1451311408	-0.2712449601	1.152171654	0.133707082	-1.229871956	0.7142608527	-0.7725569178	0.7493838706	0.7159284237	-0.004567606113	-1.732059611	0.9368658266	0.1138144897
0.09971439745	2.034966521	-1.672910718	1.023226494	0.2573340535	-0.8766484408	0.5554036892	-0.8657322956	1.456521483	-0.477460199	0.4831666449	-0.5295624961	-0.7757823061	-0.5283526606	0.002713792267	0.3167962661	-0.8097873029	-0.7908925685	0.2275728315	0.6229026577	0.3038270712	-0.3112044296	-1.0706177	-0.03430461947	1.085049626	-0.8651246359	0.5432055397	-0.2522315346	-0.8795341614	0.3278431081	0.03986327191	-1.013751442	-0.4048078347	-0.3058002858	0.2447335145	1.259847311	0.006880905519	0.7206276424	0.3885934647	-0.1189955346	-0.1292079917	-1.15953636	-0.1249443397	0.2393156373	0.2530196397	0.1206873283	1.118862824	-0.03779954828	-0.8419143948	-0.6006202672	0.3861874576	0.5713277675	1.499967016	-0.2021785228	1.575167203	-0.5587344129	0.7344233597	-0.5771581896	1.004216941	-0.8293264428	0.5681956589	-0.3276524893	1.025163755	-1.335656479	-0.07438430977	-0.2478208101	0.1121328758	-0.2490161386	0.6363592373	-0.8745347046	-0.5602564438	0.3220970596	0.3777860966	1.219826809	0.2672182434	-0.5684366115	1.181383368	0.6840062806	0.3810760375	0.02552051505	-0.0454193641	0.154812423	-0.875317976	1.31374865	0.5578576773	-0.3655581715	0.3228559826	0.6847925474	0.1550129079	-1.953682272	-1.547764837	-0.1314694663	0.3780688508	0.613906516	-0.5409595288	0.2017246647	0.2081686044	-0.09321726189	1.540600474	0.290019816	0.3499707451	1.230591724	0.06560517054	-0.5465088265	-0.2717032339	-1.019767806	0.2814832087	-0.6764283898	-1.366990908	0.2967459588	1.309722906	-0.07625366968	-1.052906894	0.953065737	0.6882647392	-1.097581906	0.3287930865	-1.571908157	0.7614238219	-0.4703271117	2.371711997	0.8010834929	-1.730479941	-1.10800068	-0.1240617954	0.6751178896
-1.238186904	-0.7909932182	-1.058787889	0.1506955523	0.4908303457	0.2302312482	1.162249583	-0.8810369719	0.7533369936	1.249040726	-1.477589547	-0.5885462295	-0.2108663435	-0.1331287755	1.228565705	-1.27401981	-0.2960398981	-0.2943107372	0.4428661175	0.9377554826	1.122737438	-0.1494415828	-1.049691133	0.09546644184	0.937870115	-0.723177537	0.01681744695	-0.7826174011	0.5023226777	-0.8156684643	0.5204915099	0.1179412367	-0.4657162007	-0.005618533726	0.1726026917	1.748650557	0.2866512655	0.1275550671	0.526895511	-0.6015717321	-0.6755134835	0.6309733205	0.3499908451	-1.810281108	1.065511772	0.2444154487	1.173098636	-0.5562953	-2.041771463	0.05985331427	-0.4233205273	1.928015668	1.594916955	-0.2969473483	-1.046031322	-0.4587204735	-0.2750788364	-0.5608949067	-0.3339426988	-0.9896216563	0.5292929093	-0.7229508401	0.4385630607	0.1914032738	-0.6128046653	-0.5192616555	-0.245625811	-0.3295496462	0.399265238	2.275391247	-0.976723461	0.166299447	0.384747712	0.9680909069	0.2734841307	-0.7619420602	-0.9180251178	0.438962617	-0.6292513696	0.4449225399	1.022218262	-0.2307234579	-0.141403707	0.62225442	0.3529823217	-1.745422362	-0.8110549106	0.6021971282	-0.3879603226	0.5763548069	-1.367016048	0.4107524282	-0.8741211758	-0.01260078975	-0.04791040652	0.7894416363	0.638107642	0.1690501444	0.03798409346	0.1871514396	0.5127035106	1.023234577	0.3569059682	-0.7436672848	-1.184919801	-1.192698485	-0.1032352652	-1.014723415	-0.6193142896	0.5878976838	-1.114238751	-0.684101417	-1.842910724	0.6601355621	2.011601408	-0.8112217744	-0.1972875136	-0.6908613239	1.218750879	-0.8588962187	0.408538914	1.095368543	-1.136666422	-1.73354471	-2.564722397	0.8132674692
-0.3532566446	-0.7346518587	0.3436459425	-1.129378559	0.6511200763	0.6641228078	-1.056410711	1.057205992	1.043720895	-0.6059900979	-0.08731805878	0.3922532467	0.9808653372	-0.4728696772	1.864962823	-0.938759931	-0.1342579674	0.3265994658	0.1469328799	0.3337968833	1.341414087	-0.1201408947	-1.236597342	0.7582160479	0.1773686066	-1.137002938	0.2041545869	-0.6494527063	0.0304321573	-0.9870584818	-0.1624489155	0.1048939512	0.8768316094	-0.2546279298	-0.01766616088	1.137730146	0.7368747703	0.9142772477	-0.5654989309	-1.190905519	-0.7774950741	-0.3259905782	-0.157385238	0.6803572136	0.1209662477	-0.7827136996	1.642473261	-0.1628225001	-1.074209776	-0.7879945257	-0.1930751977	0.3467545395	1.62892932	-0.6704875062	-0.8504999646	-0.1668767367	0.6385626624	-1.124009101	-0.613257048	-0.8594555746	0.6005830282	0.514678428	-0.1815939356	-0.02495254791	-1.381836839	-0.8505082005	0.03440614683	0.9970830772	0.3906574253	-0.9560277817	1.333793004	-0.2931663143	-0.3747878326	-0.05946118135	0.7167091713	0.2623841261	0.2116637977	-0.6643306956	0.4407433577	1.019755926	0.7971292055	0.5625353799	-0.2592001629	-1.100504543	0.2908938914	-0.8081984934	-0.2796597317	0.6483856112	-0.3243537418	0.5317321113	-1.541402939	2.053813975	-0.3217418751	-0.0330054059	0.1742098278	0.2791570467	0.08122707281	-0.1337356609	-0.362234441	0.6346363235	0.3664978946	0.7206231637	0.3526367294	-1.574015433	-0.05057106407	-0.5076062144	-0.878756197	-1.353588753	-0.7506370408	0.5599214019	-0.726037186	-0.7188212949	-0.4326624586	0.6056793908	0.3760409146	-0.6806933979	-0.5728980784	-0.1723854561	0.9789701922	-1.54913887	-1.569229613	1.061042225	-0.3899755083	-0.750112681	-2.299542223	0.3407586835
