melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145	melodic_146	melodic_147	melodic_148	melodic_149	melodic_150	melodic_151	melodic_152	melodic_153	melodic_154	melodic_155	melodic_156	melodic_157	melodic_158	melodic_159
0.6137264402	-0.3508509239	-0.5556457982	-0.5142958013	-0.02771800353	-0.1381056097	-0.4053970803	0.4897176148	0.4877308953	0.2861538794	-0.1841182756	-0.3434996795	-0.4135577176	0.1106818572	-0.1531112447	-0.2866113091	-0.3942606554	0.01743046793	-0.8083491072	-1.048891177	-0.2169401909	-0.07120777266	-0.5416385949	0.5093088495	0.5038127426	-0.6495031287	0.3410085834	-0.9122846894	0.6175204489	0.399509134	-0.1211711085	1.198132456	0.8633626709	-1.068692238	0.6051217143	-0.2792502106	0.3258859068	-1.800343525	0.5572669012	-0.7297440248	1.725246927	-1.164255413	0.3722530823	-0.4886423867	-0.5098423218	0.4652099445	1.905547557	1.034496956	-1.718543317	-1.91187473	-0.8578198586	0.4880094335	-0.1566653096	0.03667480045	-0.502052917	0.4675587136	0.6121258066	-1.181549378	0.1761090486	-0.1681270212	-0.7585626893	-0.4666898765	-0.1087633055	0.7377441656	2.684587586	0.2114704869	0.080538998	0.2823304856	-2.445409611	-2.616093537	0.6534156129	-1.305486802	0.6131468692	-1.767026367	-0.3749036217	-2.579441748	-0.5812982661	-0.4680532551	-1.539486648	1.443994694	-2.02150054	-1.206911781	-0.5533488701	-1.373760572	1.376128534	-0.1840956776	-0.03895761312	1.077011419	0.5431492968	0.3723478618	0.04607232546	0.3741330963	-1.176707557	0.3165555178	-0.04744204196	-1.294245688	-0.6584323584	-1.135097963	0.5197305613	-0.8703519975	1.58371611	-0.4949275305	0.6380206877	0.4604289347	-2.093804215	-1.266628855	0.07422234908	-0.06812387428	0.6978934932	0.05719843151	-0.01762753076	-0.3307834755	-0.9944648346	-0.8553999171	0.5102823318	-0.5838125743	0.04234572321	-0.6915016838	0.6036804492	-1.491555053	-0.9662902193	-0.2146334564	-1.128221045	0.4932214229	-0.7448622857	0.4519979326	-1.428110134	-2.479115445	0.2385613138	-0.7879700621	-2.499256791	-1.044025171	-1.488128172	-1.38969222	-0.5396823645	-0.6491047246	3.901484303	-1.085679865	0.4278925403	-2.480017703	0.1167924801	-0.6962557844	-0.9247656887	0.3455033913	-1.527265965	-0.1295855723	0.5385669225	-0.1755329154	-0.4255176236	-0.09512161922	-1.567423611	1.779472648	-1.231728348	0.2655311139	1.566960493	-0.08944251908	-0.0889842797	0.6013386325	1.080704498	2.404512667
1.099696649	-0.8489487129	-1.139033318	-0.654470176	-0.1940070143	0.005920052643	0.2697331467	0.1279003931	-0.03591613675	0.2529063533	-1.490664776	-0.182367924	-0.5659862309	-0.2569240071	-0.2113143505	-0.2802460073	0.110417883	0.1109283357	1.677471497	-0.4778700017	-0.4917459306	-0.2207265876	-0.5932860635	0.1339494424	0.6637449449	-0.4113087051	0.5941553133	0.01191469042	0.7294622724	-0.3506266782	-0.2242598245	-0.326393245	0.4464546954	-1.835003302	-0.1717346353	-1.521766193	-0.7139642005	0.2499352351	-0.7497840548	0.9157577418	-1.101109582	-1.322117431	0.07483161944	-0.6701073821	-0.6054261725	-0.03843964292	-0.8140983664	0.2226796697	-2.147419311	-1.586104412	-1.414064516	0.05764955219	-0.2897316312	1.020357353	-1.497353873	-1.680286947	-1.102056857	-1.433221251	0.4851677682	0.1008133913	-0.8663351942	-0.6260940891	-0.2698223428	-0.6783959996	-1.096716887	0.1018522691	-0.5749408781	0.2370510556	-2.495066917	-2.543410729	-0.314373255	-0.8158515564	-0.5019684238	-0.5181515383	-0.08945773246	-1.586739524	-1.583020643	-1.623746507	1.511553375	1.94503084	-2.204111556	-1.917265004	-0.7746080528	-0.5971367218	2.234555209	-0.9401540345	0.3944672325	0.9676580189	1.002811182	-0.3717718652	0.7453522151	-0.2016139738	-0.7034458922	-0.1797570111	0.4644078367	-0.2463060076	-1.239644587	-1.654870359	-0.1049289055	-0.05616452798	0.534531039	-0.9219883652	0.4878426636	1.502622344	-1.22634589	-0.6422748322	-0.06775619246	-1.272508969	0.7482170555	-0.1844048516	-3.136378729	-0.7375948662	-1.212330686	-0.5464471237	-0.5071102361	0.02364113008	0.1941657177	-1.29944473	0.4935095703	-1.483965372	-2.742366668	-0.008606422128	-1.369300398	0.294180404	-1.899995457	-0.2481824096	-1.57220536	-1.540269124	1.12382327	-1.764885018	-2.362197275	-0.2951154672	-1.438083527	0.05907422216	-0.6576469951	-0.509090646	0.8494194479	0.3391634935	-0.3841424693	-1.697290938	1.157561672	0.9012301367	-0.058434239	-0.7684431533	-1.731542242	-0.4422029974	0.6788022142	-0.3508341407	0.2817278647	-0.5232121486	-0.3655619849	0.6038351068	-0.3484852008	0.2700324462	0.8658398896	-0.9953598143	0.1118535741	-0.5328815079	0.2131392835	0.9062359181
0.9011960177	-0.4994863392	-1.559907838	-0.3929343602	-0.1693882316	-0.1755480413	0.2262565126	0.2683255742	-0.2287272367	1.256844034	-1.491126298	-0.676965291	-0.3925185259	0.5070285409	0.7449925729	-0.32293901	0.5164485468	-0.8628957959	1.427778575	-0.004759231385	-1.191055409	-0.08530431933	-1.086122655	-0.07546590639	-0.2797473978	-1.539776767	0.007115475328	-0.1715273101	-0.8608455992	0.2663592915	-0.1476132566	0.3540877234	-0.06001497616	-1.045722848	-0.7698268124	-1.404096133	-0.4988413468	1.530662156	-1.777412099	1.265181403	-1.484291167	-1.096976125	-0.1097439058	-0.2192616861	-0.1171723376	0.1349050319	-2.941061233	-0.3508724131	-1.435492013	-0.5241937369	-0.4493791528	0.07865789507	-0.4197702674	0.7717883179	-1.01227622	-0.9311511808	-1.645875111	0.450692581	1.818736062	0.7110537291	-0.2914414466	-1.183243327	-0.2380244571	-1.077487623	-0.4300469332	-0.9196022807	0.2829015835	-0.09206967899	-1.321718282	-2.319593662	-1.794736175	-0.0606177117	-1.377442451	0.3900851035	0.7521049678	-0.3255484609	-0.6810967025	-1.489749937	1.302854655	0.8531484158	-1.126739095	-1.825130131	1.425463555	1.755381283	1.181615504	-1.534506673	0.4568239363	-0.07841526446	0.4108487423	-0.1657030688	0.08850132938	-0.5318800154	1.010117538	0.2326459415	1.848864462	-0.5643632192	-1.299501682	-1.020583045	-0.6273694162	0.08559215828	-0.3135187532	0.0005991686353	3.700100364	0.6734524904	0.1183458599	0.4379680916	0.4722787292	-1.307931982	-0.6099224949	-0.6215712081	-0.9786243886	-0.4494073852	-1.918230142	0.5408365889	0.1330298523	0.4383926092	0.5022653498	0.09855326247	0.4283774066	-0.4256072598	-2.45522187	-0.02939793504	-1.319371996	-1.177496993	-0.2607583324	-1.256234485	-0.2388938905	-0.7412676529	-0.01910658308	-1.429361006	0.3144298415	0.7651191475	-0.3367192013	-0.9145674419	0.3587555372	-0.4282127014	-0.1751288616	1.672374599	-1.554154157	0.5331417933	0.8103644035	1.32655797	0.176937926	-1.115730763	-2.056335553	0.1706480298	0.1571514724	1.397809241	0.04286881608	0.3206167047	1.062305883	0.12812431	0.2734859153	0.9613561554	0.3993876205	0.4432875192	-0.4198285019	-0.304806016	-0.2805092812	1.156384834
0.731606697	-0.3987575514	-0.4098837761	-0.1833259468	0.01708077191	-0.1066871085	0.1705025553	0.4492810856	0.03519615533	0.6688629828	-0.854643617	-0.3886984611	-0.04986538621	0.6011102285	-0.0004936451826	-0.1487896841	-0.2107712994	-0.1974290499	0.5942280386	-0.5031253134	0.7322234789	0.324411471	-0.7319077649	1.096638548	-0.4486188697	-2.266241677	0.3243058939	0.2605678372	-0.2263040323	-0.5961103466	-0.008272985813	0.7635123773	-0.1565742952	0.2004320041	-0.7619150276	-1.438434529	-0.3423188466	1.062836576	-0.9039228989	1.162178363	-0.4844581363	-1.379122866	-0.9211928579	0.7139312984	0.294553659	0.06000369698	-2.00788828	-0.4010206325	-0.6694823146	-0.3704269686	-0.1136463811	1.807404937	-0.402063244	-0.6891248718	-0.03710480694	0.2881567911	-0.6367802775	1.446358922	-0.01538220713	1.260358782	0.2654592771	-0.606585374	0.09094289373	-0.1076161067	-1.481827758	0.2947597339	-1.113253848	0.08181159904	-0.6046248386	-1.439349054	-0.3833151895	0.1443267877	0.2014279037	-0.8906188521	-0.5223112012	0.1892116711	0.4696812735	0.1476201497	-0.6274141246	-0.3005859377	0.4031017575	-0.7805635905	-0.4876983371	2.514680504	-0.2122828002	-0.1113792807	-0.9422854617	0.7503658533	-0.6503537899	-0.9766390781	-0.286979792	-0.8997660248	0.7367442796	-0.8161075721	-0.9688642662	-1.281562778	-0.7421867186	-0.1455159008	-1.254671353	0.4066095886	-1.012371777	0.8515295094	0.5564915603	-1.116554288	0.07074117076	2.206609456	0.1972546208	-0.8857113996	-1.403692424	-0.4282775053	-0.3711873945	1.169615707	-1.254768384	0.5121084632	0.3859642247	-1.175834983	0.2965476673	0.9106332912	0.7046450156	-1.002497358	-1.222336258	-0.6763192832	-0.2455434999	0.0369062773	0.195492599	0.2970186678	-0.05295529255	-0.2836337703	0.5577503974	-0.07079004576	-0.3077782904	0.01702757863	-0.4950953875	-0.6777713486	0.330112483	-0.8641220004	-0.2344658637	0.01326736532	-0.4261279433	1.176380624	-0.3879193948	0.04864927151	1.030354883	0.5691501662	-1.169048171	0.5523308787	-0.4371118369	1.814811503	0.3580738405	0.222074391	0.6574615343	0.2519644524	0.501370206	0.2917784701	-1.133141909	0.4188797115	-0.7001466645	-0.2277139372	-0.5574315962	-0.1955914751
0.5639931491	-0.01670297335	-0.1133827808	-0.3773784044	0.1135322396	-0.214948286	0.7793529764	-0.05253649009	-0.1799896302	-0.3393120411	-0.59899107	-0.6061855222	0.09085529158	-0.05803750778	0.1131854568	-0.0507318623	0.5880853284	-0.1605837851	1.629462394	-0.1463481891	-0.2637658684	0.06209907162	0.3218754983	1.709264487	-0.2117846912	-1.106846512	0.4841950942	0.2098049984	-0.4123680424	-0.9236197054	0.2227274849	-0.4078300247	0.00226663239	1.137420746	-0.8724402743	-0.4569535819	-0.9782124743	0.5641507296	-0.1079806907	1.550267555	-0.6153598202	-0.9981577828	-0.8894929887	0.5176458213	0.01137028854	0.2415174503	-0.9651154093	-0.3222452378	-0.01183464491	0.7110292692	0.7378710014	1.470991088	-0.3325735108	0.1295532801	0.3243573798	0.2843715468	-0.0637867672	0.8276064186	-0.5122642176	1.004211706	0.5017991346	-1.090670917	-0.05093118673	0.5019948407	-0.7984075985	0.09963473614	-0.7878291172	0.4029376705	-0.1179636372	-0.5953404554	-0.3079661805	-0.138113142	0.1579421414	-0.08793504819	0.6522283623	0.2652628475	0.7158127438	-0.3351692188	0.7729059825	0.5712179658	0.5711518236	-0.5722136016	-1.174226552	0.4846630613	0.8131715031	-1.456375614	-0.4664407243	0.1291896915	0.9918155305	-0.3620437893	-0.0378878896	-1.001674359	0.2703586727	-0.1475929851	-0.2059040266	-1.3056399	-0.5630770098	-0.975592998	-0.2050522852	0.4680691975	0.03025460406	0.5325253268	0.5325975621	-1.211269642	0.8204809794	1.220900673	0.09743247564	-0.2720462914	-1.161605355	-0.1207652645	-0.3475679073	0.9406036864	-0.388451664	0.6059752	-1.152526088	-0.689525615	-0.6547214785	0.3612642259	-0.02239574317	-0.6927357347	-0.6659757314	-0.6928982391	-0.2950306383	1.064162677	-0.3573984184	0.3789885104	0.3799705739	-0.8517233489	-0.3239234971	-0.9847446467	-1.313967613	0.6633560324	0.3304341377	-0.2812039151	-0.2552060212	-0.8142689857	-0.6925283116	-0.6443110113	-0.07714647874	1.202468343	0.5802067253	1.799942179	-0.313699013	-0.0369178112	-0.452233278	0.7891626621	0.2661560223	-0.9181557782	-0.05768217148	0.04226035761	0.4561755606	-0.3484246778	0.321231809	0.4304092313	-0.3719709121	-0.2603320949	-0.8405411687	0.2974592196	-0.6030099851	0.5994725876
-0.139980417	-0.1121024534	-0.6875647496	0.167849642	0.6163985268	-0.2170072031	-0.3374521484	0.06656182474	0.3186492184	0.4012877057	0.1652018485	-0.2162430793	0.219175292	0.4019434623	0.3664929276	-0.4414623723	-0.2714282013	-0.5777011099	0.7875622355	-0.8800530547	-0.486377936	-0.33681466	-1.289101587	0.9691933535	0.01685637171	0.09513784586	-0.1099819431	0.1561362687	-0.4151262385	0.1627106823	0.08962719414	1.560833543	0.2940065068	0.5491057716	-0.4249715714	-0.478403508	0.1831718784	0.4432888343	-1.062671362	1.547795788	-0.628094695	-1.425546873	-0.1125266718	0.0007308669841	0.5372622917	0.75188441	-0.1109401701	-0.08862611131	-0.1649718115	1.221479895	1.418939919	0.6759928534	-0.5633996733	-1.150196369	1.276717198	0.4866458572	0.01465599413	-0.703870148	-0.274818816	0.2937886955	-0.2618097645	-0.8221596916	-0.1803097805	0.4171356352	0.5639702429	-0.7042428644	0.9221864097	0.5531816528	0.3526803768	-0.4464177585	0.2411195183	0.722596806	-0.480234734	-1.423156878	-1.019664891	0.2611905543	1.473754277	-0.3035048407	0.2725593594	-0.3739588305	1.117227817	-0.01519794805	0.2680500649	-0.70012061	0.4230609392	-0.6464964408	0.06540784276	-0.1204420517	1.038904795	-0.3377411521	0.1675154534	0.9241991517	0.05649986033	1.60359506	0.5566759877	-1.152000376	-0.5378836658	-0.7199791298	-1.390347946	0.153520609	-0.0812179021	0.06077147742	0.42024844	-0.470853509	1.743877551	1.724827544	0.7100723083	0.05586189067	-1.235819728	-1.529454593	0.2545303488	0.2136950445	0.01679935083	0.5285978163	0.01218990269	-0.4435032875	-0.02473277456	-0.02327981943	-0.3901868142	0.01481476588	0.3676964238	-0.4227950987	-1.484721133	-0.1254471387	-0.09517367171	0.2594321382	-0.6108786011	-0.8534357554	-0.519004323	-1.512091174	-0.07265186867	0.8341185244	0.4386381857	-0.3721522835	0.1753343107	-0.8728389854	-0.1723572262	-0.5226865105	-0.1286450027	0.518695743	-0.2466434899	-0.6371074318	-0.9945862543	1.396112106	0.1588978958	0.7771001946	0.2984832972	-0.4327585686	0.2399074467	0.2540140312	0.171201336	-0.02369343075	0.01982124176	0.7902537089	-0.1105013482	-0.4550678139	-0.8345792139	1.008800771	0.204229865	-0.4774579368
0.1327405028	-0.2059752822	-0.249313808	0.003920452175	0.3446644335	-0.05854601822	-0.4248911927	-0.6291367808	0.1057168423	-0.6097612754	0.5255037471	0.3768288493	0.427584093	-0.1383762591	-0.1054575406	-0.195160211	0.4054580601	-0.1375462313	1.50620887	-0.4583287557	-0.4877112445	-0.3621350419	0.1964195829	-0.1009378724	0.3441223467	-0.02897448794	0.7921535596	0.03611524199	0.0004489192995	-0.446093597	0.2357122399	-0.6334330881	0.0364304299	-0.3857888917	-0.4766086443	-1.056987239	-0.2060092326	-0.1148776851	-0.7423915458	1.381057189	-0.2333326722	-1.150636509	-0.4039642963	-0.4476143386	-0.1140690616	-0.3159307319	-0.3077089756	-0.1967409414	-0.7521089907	1.30644934	1.961516702	0.6366298755	-0.2358967736	-0.0466474051	1.195379567	0.1959947014	-0.09975120304	-0.8127697626	0.02165174364	-0.7196123245	0.1459751651	-0.4714191068	-0.6395381052	-0.3778799399	-0.6870195024	-0.1605674252	1.153528893	0.5214614122	0.9873716529	0.7601658738	0.4342764417	0.3763656838	0.5542284592	-0.1352783645	-1.036771786	-0.4588003562	1.430311883	-0.07597652461	-0.5769756212	-1.310504424	1.574678655	-0.17540836	-1.183184723	-0.6466584344	-0.2576525791	-0.6267341791	-0.4491211508	0.4111231409	-0.1707863581	-0.8083906476	0.521907844	0.42989983	-0.1288851934	0.04004254593	-0.1251071615	0.04281336504	-0.4341636742	-1.176230434	-0.5026561483	1.102588397	-1.006194489	0.1813333101	-1.092168492	-0.2528761521	1.662452759	0.4410405734	0.306275803	0.8254001839	0.1477513234	-1.431059245	-0.5352609109	0.1712372822	1.44610701	0.5384895046	0.1694928533	-0.4675042091	-0.1490741664	-0.1357463208	-0.07480081825	0.1376774105	0.1027340789	0.1825930128	0.1661904413	0.7068719123	-0.6786961685	0.1367887992	-0.2829981316	-0.1152254608	0.69263412	-1.261824753	-0.2483922657	-0.34506684	-0.3176451904	1.969335032	-0.1806675289	0.2486276338	-1.390226024	-0.1983551677	0.8784297963	0.3828094397	0.6323068315	1.47449958	0.7649383833	0.1236200592	0.2392495595	0.6889560298	0.2628642261	-1.239269874	0.4914110953	-0.2057448129	-0.1942439218	0.6079209941	-0.2018619027	0.802328514	0.8871538639	-0.9454248631	-0.2673246349	0.8315114604	-0.4533652088	-0.6333108904
-0.1665632139	0.3032399259	0.03363393505	-0.07964006714	0.3635212218	0.1598779926	-0.4502850281	-0.422115581	0.3185988682	-0.5565773482	0.2627767609	0.9158712515	0.1765811684	-0.5049371998	0.4340035168	-0.2521389333	0.7822184297	-0.5329024306	1.796352594	0.1364090231	-0.3222697289	-0.06369854025	0.9509658747	-0.01847231419	0.6437273925	0.3229331308	0.1735101117	-0.08004319034	-0.658457625	-0.198479711	0.2461010275	-0.868127231	0.04564717666	-0.1111094385	-0.4284919971	0.4751250951	-0.1265464148	-0.3286474476	-0.5289091326	1.252890322	-0.4140653303	-0.9231485265	-0.432716726	-0.470440009	-0.4969255188	0.4413697283	-0.724140835	0.1207517708	-0.2509328719	0.9730448545	1.482512427	0.5622311353	-0.6884367856	1.028967827	0.8444684665	0.1286179036	0.3296442118	-1.126050622	-0.6802349838	-0.9192663596	0.4898298854	-0.5569008197	-0.170880475	-0.2497141203	0.2146005258	0.172088745	0.1496732833	0.1295613517	1.621673646	0.4204566566	-0.8744488515	0.8767903858	0.1550025755	0.4531058261	-0.2012849725	-0.2009208341	1.25308282	0.217102439	0.06819804861	-0.088281306	0.8799929459	-0.2678180429	-1.620737543	0.2762377617	0.6520693977	-0.7173123357	-0.8017705816	0.6776385626	0.3894762773	0.1408369853	0.5090230148	-0.7164333919	-0.4795797806	-0.2540728895	0.9067812679	0.499109286	-0.125928251	-0.7451336221	0.107257857	1.157254495	-1.017063942	-0.1659471847	-0.8121563805	-0.0513408043	1.260680018	-1.147687261	0.4113051401	1.871371964	-0.6453022591	-0.2208812632	-0.2659648861	0.1318694344	1.688909757	0.677448819	-0.1498383869	0.3547110004	-0.05855483821	0.6432397482	-0.07436340557	0.261621394	1.28134355	0.0332903107	0.7520457794	0.8220419901	0.1366169742	-0.09639742752	-0.2787439037	0.05846884278	0.3540371564	-1.87923184	0.5002444045	0.7592162813	0.4614815137	0.3718861705	0.2081991579	0.18910546	-0.8452850009	-0.6443612758	1.002444711	0.1355513462	1.328685208	0.3520375854	0.1013328775	-0.16424213	-0.1168908548	1.237561114	0.3772548715	-1.22607443	0.5690295613	-0.09999422637	-0.1148614189	0.6718582607	-0.9332063316	0.3821673286	1.34222357	-0.1712093272	-0.2219657982	0.1955467359	0.7349401897	-1.176512362
-0.6107511453	0.4408520866	0.1577641924	0.6258917882	0.8103438071	0.02734801071	-0.9336427222	-0.07000613809	0.3517427097	-0.2653645631	0.8152854225	1.432522016	0.2065741255	-0.4038955715	-0.4203719181	-0.05194164194	0.2109335318	-0.2530178988	-0.01048768687	-0.2843948566	0.0594521307	0.1290596492	0.05739001086	0.250603213	0.8060169622	0.277701005	-0.4361772407	-0.2072628139	0.5450597297	0.2542872679	-0.2961740301	0.9426200141	-0.05018503752	-0.02865303087	-0.009595111734	-0.8668500724	0.1131340879	-0.01550946733	-0.2216199518	0.3231912509	-0.1553037337	-0.06897727542	-0.3836062309	-0.07717637719	-0.1827083514	0.01036223258	-0.1824109623	0.5781091675	0.2654192244	0.5477098174	0.8865801351	0.1369170167	-0.5649757667	-0.1375718852	1.06355069	1.179348573	0.6074076903	-0.1220399869	-0.5348860887	0.9586239071	0.1606499607	0.197866145	-0.700619204	1.069933316	0.7527427145	-0.6155198854	-0.6990351227	0.09116936508	2.073533248	0.660364764	0.2848963222	0.1636322773	0.6444192311	0.06252240091	-0.7374915613	0.4453879896	0.2127983594	0.1149129047	-1.557441725	-0.5484823354	0.4104125234	0.2027390873	-0.7355069015	0.3191143111	-0.7654403222	0.2982225945	-0.2515017638	1.964500626	-0.5292571143	0.5590076755	1.024716465	0.3251229826	0.6272923967	0.2277472489	0.3299270962	0.02078377857	0.9571575655	-0.4091697398	0.1838187265	1.378894163	-1.071104941	-0.1004700356	-0.8353178619	-0.07729052626	0.2908010963	-1.158428617	0.4218617625	2.302664728	-0.9954142704	0.4514335863	1.068148214	-0.1111202655	1.173595397	-0.004790305904	0.4606068235	-0.1581616422	-0.1046691455	0.8177810365	-0.4539248042	0.1702285487	0.4543297156	0.7394574041	0.1488821201	-0.2797676535	0.4467622953	-0.5679373747	-0.04809829073	-0.546261511	0.1491102857	-0.9238071644	1.188306812	-0.1735316518	0.6060112792	-0.8959860804	0.6941499479	0.1304861875	0.6253795061	-0.4696606434	1.34902156	-0.7160142659	-0.847988663	-0.5116778261	-0.0297466724	1.453367916	-0.1586775503	1.252197389	0.3148081917	0.5049241234	0.4716563082	0.07183673068	-0.7666428778	1.261309166	-0.1567429074	0.2148306738	-0.3782878112	-0.1154315711	-0.7778472669	0.1880382527	0.3321288412	-0.2437549063
-0.4749841283	0.1689608924	0.6017324742	0.3691187721	0.2176713571	0.2098728799	-0.6581978775	-0.3907799874	0.1465261558	-0.4562415804	0.1921214741	-0.2714474802	-0.1032655793	-0.2971342659	-0.4572795115	-0.4718118342	0.3731340166	-0.1378302067	-0.7111297995	0.2990935367	-0.2831466211	0.7013519083	1.386418851	-0.3814003289	1.550883188	0.5312182504	0.2145867687	-1.118951709	0.6128075895	-0.59618054	-0.1319013252	-0.8548577556	-0.1742002613	-0.6707643295	0.5558743194	0.1032323404	-0.2390312203	0.2911812132	0.1933448559	-0.5265651504	-0.1307932043	0.7054755316	-0.201770644	-0.7004821932	-0.4893891096	-0.5909110117	0.2296922115	0.3728927269	-0.09913546282	0.6753247305	1.10293609	0.4828510794	-0.508683589	1.482190858	0.9547883138	1.312675427	0.4524579273	-0.2013226516	-0.01195797034	1.361345285	0.05984765692	0.8646856011	-0.4464971118	-0.1892520745	0.3521448707	-1.250184097	-1.015628874	0.1666068909	1.807088118	-0.06160250786	0.6646615221	-1.102508304	0.03105441482	0.4055992373	0.6319814026	-1.138973374	0.4240648894	-0.6917213018	-0.2771236697	0.4636586422	-0.06880389953	-0.03808193889	-0.4175304379	-0.8758594907	0.8444811212	0.2079630808	0.03993720017	1.296524483	0.6727634464	0.01963273662	0.6906352499	0.356644391	1.082334746	-0.6576899797	-0.1999929254	-0.1021153231	0.8975046907	-1.253642508	1.098307733	1.3066586	0.1934705546	0.5513114869	-0.6872359631	0.5062202258	-0.8641599045	-0.5900889497	0.9699940048	1.947102376	1.446084116	-0.2935138193	0.1180247434	-0.1434378609	1.664104384	-0.2993423567	-0.5315625601	0.3360924886	-1.000661939	0.3624945441	-0.4701748855	0.8078767309	-0.3936128073	0.7961389065	0.5914885645	-0.1851563149	0.4599466067	-0.502101018	0.781526268	-0.9716177056	-0.7790123916	-0.6300143044	-0.2984748203	0.03697355268	0.8605550375	0.2711843762	0.005798904337	-0.4827931531	-0.5946402547	0.09711370901	1.641922243	0.227725905	0.4114411792	0.6223096172	-0.04970405783	0.1545983464	-0.4403767779	0.1961640722	0.8544708464	-0.4923792	-0.6179473988	-0.7376959171	-0.1852504645	0.651312537	0.597250452	-0.1629849081	0.1312633655	-0.2437238507	-1.34171093	0.3967860837	-0.7621960155	0.6538478577
