melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098
0.7243976375	-0.7345492748	-0.6569977701	-0.5932235769	-0.668412012	-0.4198841443	-0.3565241974	-1.196910122	0.1793217224	0.7638154922	1.574248501	-0.8976685957	-1.547371635	-0.807963857	-0.4338246501	0.07692326361	-0.5411933105	0.1834133309	0.3469079852	-0.5406690832	0.5918759821	0.04034154084	0.302697324	0.3781539599	0.2026739284	-1.448725591	-1.306033978	1.147833196	0.7639330933	-1.476899374	1.009140444	0.3664046168	0.4521704631	-1.798267523	0.8073065812	-0.617102244	-0.2881604407	0.3426826467	0.5320242026	-0.0951567183	-1.659618555	0.3245219485	0.6283296397	-0.1101217925	-0.8361424103	1.764957326	-1.90136054	-1.200723817	-0.403398744	-0.8951331402	-0.3891274446	0.788841217	-1.255475255	-0.4831198581	-0.427203886	-0.6310048622	-1.406962571	3.074913702	-2.220609443	0.5700059747	-0.5072317186	-0.3970400875	0.3871446069	-1.295367135	0.4408032956	0.3024927607	-0.1210763619	-0.1700292022	-2.909120502	-0.5992652276	-0.2153143964	0.216426531	-1.213574975	1.431599999	-0.5996818682	1.134785783	0.9334373916	0.3486107685	-0.3279184392	-1.097528239	0.5299927579	0.5527883373	0.1831311993	-0.2497396942	-1.434285242	-0.9430778695	-1.125976677	-0.7146213536	-0.04154065163	-1.68170657	0.3016104274	0.7138128674	-2.145178413	-0.3574131033	-0.3286823701	-1.554996394	0.5973781079	0.2109581232	-1.92433725
1.296113912	-0.1717999083	-0.5393594243	1.574940961	-1.063402552	-1.804586128	-0.6084227589	-0.5035226909	-0.4679455913	0.6819574559	-0.5851013355	-1.097048211	-1.408056454	-1.191878174	0.6795906959	1.252668285	-0.395984097	0.03524673067	0.4688867594	-1.688724693	2.439596443	-0.1252433383	0.5747588615	-0.03097670101	-0.1981504584	-1.363288449	-1.851468498	0.4466716923	0.363903104	-0.4042752868	1.007558874	-0.3727094679	0.1916718615	-2.250994074	0.8069710019	-0.7684152063	-0.8222671331	-0.2754538126	-0.119223624	-1.239192156	-1.924439849	-1.084906432	0.5980043357	0.3030446482	-0.2942914422	-1.419629028	-0.9196225507	0.369280428	-1.177092818	-1.658734062	-1.146752385	0.1223861836	-0.6993069646	-1.069796928	-0.6301731647	-1.613372633	-1.58819393	-0.6987334696	-2.573423597	0.3008714759	-0.5906391418	-1.301371144	-1.362377464	-1.026999202	-0.6096224998	-0.2577679831	0.1958664222	0.3974549849	-2.391503918	-0.05172326495	1.02539043	-0.2778867867	-1.149696813	1.718771002	-0.6290803804	1.159274941	-0.8370115383	-2.288932659	-0.5473120234	-1.221377242	-1.365352683	-0.654660156	0.340275447	-1.087203549	-1.146638443	0.6758525103	-1.52816527	-0.9454989597	-0.3811345004	-1.407006009	-0.0951598268	1.940311936	-0.8557520012	-0.4019251709	0.139119836	-1.805880496	-0.2253186757	0.4324884228	0.2084112438
0.7775216336	0.284616734	-0.1234766023	1.239535481	-1.731892249	-1.76745844	-0.4138275739	0.615506869	-0.1076142981	-1.037661961	-2.345326973	-1.08215883	-0.4020835314	-0.6367540928	0.7012956153	0.7571308563	-0.2618326072	0.06280462144	1.216447794	-1.560883354	1.554672596	-0.5720808292	-0.06377879668	1.051689324	-0.4584416355	-1.835268208	0.08081082937	-0.6284741614	0.3103344861	-1.121715108	0.6969996048	-0.3691306297	0.5276972033	-1.54254227	0.1531746124	0.2450681113	-1.279570068	0.264064099	-0.3876364563	-0.6591767412	-1.359906618	-2.365097752	0.06831370742	0.9164210441	0.1386107351	-1.378852133	-0.5810402161	1.070074407	-0.3038974525	-1.200170977	-1.188645515	0.1866315102	1.336928055	-1.13710698	-1.081511176	-0.7129471054	-0.08225299374	-0.07115013997	-1.185267019	0.3583658372	1.209249383	-1.40048426	-0.5186878863	-0.1679130073	-1.350506146	-0.5105693797	0.7130798454	0.247472118	-1.001471883	-1.255035352	1.162062863	0.3933403793	-0.3885395946	0.1560942486	-0.1564491126	0.6679787316	-2.751907496	-0.5855044722	-0.496869734	-0.2856225965	-1.896174588	2.267899343	-0.267400448	1.715926285	-0.144754312	-0.1200989925	-1.128456378	-0.07150588941	-0.7392839662	0.2425871612	0.1236897705	0.4892304764	1.133658337	-1.243297433	0.5584997639	0.3454407695	0.1115746034	0.4435408348	0.8894623506
0.5267275071	-0.07031883832	-0.6599420204	0.8711517469	-0.350292581	-1.032063922	-0.4415367925	-0.7525807972	-0.09014406832	-0.3380847098	-1.654742506	-1.830386195	-0.6533524553	0.3738858647	-0.778442226	-0.8087468504	0.2609230242	0.3194982682	0.578778874	-1.763504716	-0.140379873	0.02019171519	-0.279058166	0.04659450306	-0.1054129611	-2.260824819	1.1833981	-0.5536230883	1.392778504	-0.308144417	-0.6537722861	1.207264297	0.2302602042	-0.5121337335	1.534823531	-1.014317137	0.5952855855	-0.1318751235	-1.005152792	0.3198558139	-0.6244976732	-1.036460286	0.1190213067	0.5983181927	1.871199902	-0.6150880377	0.4617461024	0.7274325501	0.220775381	0.2868569359	-0.8735816629	-0.1848459608	2.214914441	0.325108963	-0.3192693317	-0.3150562876	0.2988140465	-1.06432634	-0.4233308903	0.04857710128	-0.6121679185	-0.05891252055	0.3893361026	0.04485071491	-1.254851716	0.5679060071	0.3621546325	-0.2090506877	0.2817012078	-0.1396259991	-0.6513687693	0.3510942123	0.1749039907	-0.6295207817	0.1352302051	-0.7278279784	-1.04891444	0.01577359606	0.3418907307	0.07602119577	-0.3072215536	-0.2469657267	0.2879368942	0.2599735475	0.1289569834	0.5963923344	0.05374855372	0.7048346978	-0.3237178061	-0.4314402687	0.1460824885	-1.478340848	0.2478361747	-1.208171974	0.1688384043	0.3680295941	1.486929302	-0.095720404	-0.2905347245
0.4498287476	0.7264082791	-0.2532010833	1.718674773	-0.0908014029	-0.6907103331	-0.4632987646	-0.1980831001	-0.02672118676	-0.5311846777	-0.6337167996	-1.320373602	0.7143127897	0.5184562208	0.6947242785	0.5955089463	0.4278718293	0.282022826	-0.1943035977	-0.9296361578	1.077890744	-0.3388068247	-0.1748086587	0.2752431348	-0.4185214157	-0.9922561124	0.9940658169	-0.6251684949	2.270786305	0.2113767584	0.8293449275	1.061152163	-0.3205242809	0.1690789207	0.8633308812	-0.5353934873	-0.3742235614	-0.572080324	-0.5024344389	0.314622871	0.161974937	-0.0522077663	-0.2838253516	0.8292034785	0.2488432691	-0.5843715349	0.3750423875	0.3791342698	-0.06307100817	0.5897722006	-0.9357364061	-1.001988491	0.4745470824	-0.1707620365	-1.576889258	-0.3721317813	0.175899393	-0.790246228	-0.2359010887	0.06043752357	-0.1058999095	-0.6494478612	0.3327834907	0.108175482	-1.096220397	0.08940188312	0.1230495694	0.3344227827	0.7169618856	-0.4531113975	0.3312169086	0.5253896648	0.2897397326	0.2102658662	0.1275867458	0.5212288276	-0.3360195449	-0.9584366147	0.6391848726	-0.9474321402	0.1493784768	-1.300660465	0.08666987867	-0.8147454662	-0.4532791788	1.022818764	0.873008239	-0.03747699783	-0.5920239596	0.3255991303	-1.436676708	-1.177530558	0.02943237039	-1.441552704	0.2803577314	-0.3776688023	0.302579458	-0.2792036486	1.212230106
-0.2380739014	-0.449385622	-0.6653134985	0.7295325223	-0.9060210849	0.3056418327	0.2166173419	-1.543403637	0.437653499	-0.2651304011	0.03922343043	-1.173738068	1.45730124	0.1083925194	-0.8386291225	-0.8807453717	0.06290640371	0.3621654091	0.3126421054	-0.5227678919	0.134064358	0.07352046859	-0.2814356175	0.112348703	-0.6235540741	0.2874375501	-0.3200180926	-0.2827157232	1.608914474	-1.409210853	1.031252084	0.4398645996	0.5512018628	0.1058483655	-0.469727606	0.6051959188	-0.04783722859	0.3342824591	1.029905452	0.5159009854	0.918784977	-1.130033541	-0.2884665738	0.2107810712	0.8485316572	-0.5064513004	-0.531888821	0.5610105735	0.3430599908	0.8348944547	0.3396807261	0.1432744828	-0.1361727039	-0.5589544878	-0.8676603482	-0.2741969895	0.2286561334	0.4363593539	0.5065978613	0.205451921	0.7086420477	-0.7441204009	1.33907148	-0.1021100056	-0.7853090802	-0.09933852646	1.005280501	-0.5276809282	0.9083289821	-0.639839058	0.3062977318	0.9222824844	-0.1015307189	-0.6738793237	0.5773238018	0.004674839956	-1.129383254	-0.8853401159	-0.04791329811	0.1059769652	0.8315718695	0.1990418603	0.2950837321	-0.9176842005	-1.001025196	0.4540007889	1.055564708	-0.7117965012	0.1549006849	1.19523824	0.3466427192	-0.6523205673	1.652175153	0.3193546485	-0.577529588	-0.4995264996	0.8953357561	-0.6789089347	-1.316364944
0.1396928625	-0.4097666504	-0.6773059337	1.124441472	-0.29938319	0.6912863075	-0.05911289444	-0.3169932466	-0.4558091704	0.1175193984	-0.2206543461	-0.7615227491	2.213321488	-0.6577073874	-0.7437612506	0.5227477411	-0.7872446429	0.2745890951	-0.6092942845	-0.812346255	-0.9266399295	-0.2736673486	-0.2335830635	-0.5829311687	-0.221156652	0.1648637303	-0.8476323634	0.09239956219	0.1302716589	0.3265369593	-0.2713684381	0.4983431116	-0.06952389618	-0.4342228668	-0.005203735366	1.080094942	-0.08101260804	-0.2920767609	0.1064568132	-0.4002737947	1.082782454	-0.4806377262	0.5215660732	-0.9612525353	0.2199425098	-0.2282027205	0.6744490593	0.1705458094	0.4747270167	0.8421409466	0.5036729439	-0.8020520636	-0.7413330485	-0.2358420746	-0.5982101343	-0.616039069	0.7002937574	-1.216517368	0.8411761547	-0.106410859	0.1319085033	-0.1568655642	0.8049041633	0.1448302835	-0.6260702663	-0.3072691172	0.7407819429	0.9727375749	1.847774087	-0.1505668783	0.3675119993	-0.1396174921	-0.06919810801	0.2747290771	0.5745296497	-0.380227069	0.6581321936	-1.192988269	0.5625177298	-0.805413025	1.077489683	-0.4460710647	0.3019089592	-1.364265795	-0.9428238361	1.390554022	0.3698202505	0.007870415688	0.02065745748	0.6735182389	0.3995527266	-0.3146110926	1.401638759	0.5888349831	0.1543273818	-0.8734076355	0.5172390325	0.4462358906	0.3988340596
0.00973843379	-0.201330023	0.03348163557	1.116651386	0.03862969738	0.605000898	2.546027789e-06	-0.2694539664	-0.3137840589	-0.9127351241	-0.2698966797	-0.3402956852	1.533419474	-0.2145840668	0.113892717	1.427853159	-0.07544475018	0.2624623066	-0.3436067857	0.4248124917	0.284787845	-0.007157987152	0.5731826825	0.7719512731	0.2444943735	0.428132751	-1.185525419	-0.01542671513	0.152651162	0.8816009764	0.4409421327	-0.03942896419	-0.3266740691	0.1558561593	-0.02909847862	0.197143909	-0.6366998189	-0.9191320459	-0.3368409112	-0.05278006168	1.109175273	-0.07174080743	0.4950849175	-0.624095827	-1.364725116	-0.605184455	0.3488576757	0.3596889613	0.6640847279	0.6116317799	0.3906063354	-0.6877906104	-0.3007042883	0.2455397215	-0.6352756773	-0.4225954501	1.118591221	-0.7754704661	1.198629212	-0.01445097267	0.2621895569	0.3308188145	1.445988049	0.2166239519	-0.8953552969	-0.1140049188	0.9846189328	0.3648060266	1.246760249	-0.5964548356	0.9001485422	0.5371775959	-0.8149574323	0.3053310518	0.3325399303	0.05164362459	-0.1804883455	-0.826337082	0.8202231087	-0.9425552352	0.9132492293	-1.058852392	0.3661484369	-1.622221296	-0.7317752576	2.055416676	0.8039979209	-0.2262160455	-0.3275965618	1.042281491	0.1980004416	-0.2416646255	0.5273400452	-0.69701244	-0.4126446816	-0.933185506	0.3508499406	0.7446344577	0.001847433753
-0.4854074999	-0.8736772809	-0.2436829398	-0.1521072651	0.09683650077	1.111454937	0.5508557751	-0.7109740863	0.4348168884	0.4824334775	0.02315862291	0.07081321276	0.4253739961	-0.3195359184	-0.5784997171	-0.2301411713	-0.04787469466	-0.255268043	-0.04570032223	-0.5879003286	-1.147398711	0.1694648721	0.6612206862	-0.1467703177	0.653778986	1.003994184	-0.1120185433	0.575449434	0.5026877351	-0.2293957835	-0.4908814393	-0.03700384135	-0.3948602633	0.3727299457	-0.3860420109	-0.5663804048	0.3792378801	-0.06076491718	0.2078178473	0.9090842878	0.6943426116	-0.04528397865	1.441116745	0.4785047417	-0.7842572299	-0.3754390315	0.6186659905	0.645391769	1.049768668	0.006948302763	1.028461651	0.3377207983	0.1682693864	0.5916136093	0.2930866186	-0.4780710992	1.404592517	0.5200859904	1.99998183	0.04283668847	0.001742522765	0.4574864127	2.542760073	0.06396830913	-0.1876132816	0.1058401146	0.9953112241	-0.6653440029	0.3240804578	-0.2842477055	-0.2799166722	0.1306625497	0.05942237928	-0.2466056912	0.197164478	-1.223413693	0.5274703203	0.9511335799	0.6097930967	0.2050327218	0.6807520895	-0.2925444168	0.9212476727	0.131017893	-1.499915727	0.9630157688	0.3041404948	-0.04240630246	-0.3837975538	0.190548866	0.1080793142	-0.1604540098	-0.268398901	0.9141534937	-0.4386076253	-1.049328867	0.9125968339	0.6744052851	-0.1915972805
-0.2834092845	-0.5513871861	0.09746781027	-0.697385827	0.8324141206	0.3920021616	-0.05251914639	0.2308116346	0.007296404403	0.5640588519	0.6944608175	0.5437403747	0.7496436054	-1.427699524	0.7522403619	1.599021621	-1.195641703	-0.4010305556	-0.4185781366	0.008268096452	0.3100833734	-0.09620064279	1.350580016	-0.5327519453	0.2404662882	0.4989074584	-0.3879852421	0.6556655352	0.1967340704	0.2880225798	0.9908901345	0.37453654	-0.4319509376	0.07434823327	-0.2431059982	-0.4824774242	-0.1052108073	-0.06937796236	-0.2319500918	-0.1148544913	0.272425522	0.244168205	1.527071041	0.9973165361	-0.7641516135	-0.2683609354	1.645502084	-0.1896860423	1.309735509	0.1210758252	0.8752964133	-0.3662153723	-1.437339435	-1.038052766	0.01789837383	0.2961226861	0.8816050822	0.06195226306	1.633269392	-0.5682962232	-0.9847734435	0.3915463308	1.505387299	-0.6818068138	0.7177469905	-0.2496377633	0.6867023888	0.1413878928	0.2762019669	-1.31579908	-0.373028085	-0.8555839	-0.5491461965	1.22711131	-0.5755935421	0.1656958305	0.8179274282	0.4897586463	0.2646688621	-1.085451925	1.235926599	0.3602778844	0.1394202459	-0.2396085812	-0.7187655271	-0.38657829	0.2846945968	0.9571608509	0.2173110278	0.4469312223	-0.8689538998	0.9306533392	-0.5932433237	0.932521028	-0.7314501529	-0.7283516312	0.1935107331	1.230700754	0.445863186
