melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136
0.9805746778	-0.5763442245	-1.001255638	0.9230957707	0.1970975329	0.3886565612	0.7102822477	0.6867680436	1.336126556	-0.4773366553	0.2386745988	0.8207565104	0.57418602	0.2699610745	-0.670146872	0.7048249775	0.4939511307	0.4796161155	-0.4164393675	1.102969069	-0.2218797825	0.96150664	0.1831179388	-0.970763053	0.9842302867	0.6316836492	0.03030205355	-0.08727135468	-0.6855730591	0.4191393754	0.06710741192	0.09996298511	0.4287264014	-0.1345962727	-0.1103415023	-0.7008707507	0.5123634458	-0.3062051501	1.599595847	0.004609516085	3.312711817	-0.3011194287	1.047397131	2.5338281	1.59071195	0.6049412558	-0.6194290738	-0.07576170523	1.251942374	2.364645599	-0.5377214242	-0.3863877788	0.9800430137	0.06804023661	1.324593676	1.615544083	1.009506128	-1.143320325	2.261138242	0.2136711015	0.3210601209	-0.5304016052	0.1813969811	-0.6705335999	1.877873597	-0.01643320109	1.541002632	0.2379431685	-0.297979868	-0.6589864842	-0.7531538961	1.448725566	0.5635687387	-1.419104406	0.3569585827	0.2500076894	1.77848721	0.006686714792	-0.6779543505	0.6090395718	-0.6363383664	-0.9335111335	0.2164739379	-0.553265325	0.3546522295	0.4857273936	-1.01940749	0.09005019345	1.014358518	-1.117802393	0.9321161321	-0.2233706502	-0.5248958042	0.09722812095	0.8067383554	0.9572876188	1.004548411	2.572556916	-0.9351052778	0.9515802312	0.7592682538	-0.4769293786	-0.9861565533	1.262357621	0.01271954626	-0.4280020661	1.883861658	-1.471671047	-0.6446304432	-0.6678886891	-0.5359026696	1.007251673	1.059514218	-0.4457988875	-1.140536922	-1.971935011	-0.04062453793	-1.220809261	-0.3330772385	0.5439853734	-0.005063898588	-0.5793946604	-0.06430320833	1.176634516	0.4482884595	1.422472384	-1.786177066	0.8044482588	-1.171246808	-0.5451425766	-0.09627143532	-0.9052772313	1.674622732	0.7746465223	-0.9889681631	1.059627597	0.262164195
0.6471930002	-0.6675429546	-1.014249655	0.6582394362	0.2081990355	0.3673571142	0.6930678287	0.9204220743	1.445342008	-0.5866000306	0.1325234607	0.1938742463	-0.9221948272	0.1024398809	-0.3028008744	0.4331966303	0.3415752955	0.5334760774	-1.387802831	-0.8573557725	-0.6334721849	0.553456	-0.2562290216	-0.4216483198	0.7947216157	-0.2588018913	-0.01127881101	-0.1227315975	-0.5650526157	-0.1829592151	0.09370986066	0.5307763048	0.5145612784	-0.2491928391	-0.5757640855	-0.2341026914	0.2027170083	0.2590697205	1.796140693	-0.07116294042	2.807329103	-0.4653108532	1.033940276	2.195789442	1.048661356	0.6775760093	1.091739822	0.7422841269	1.216015055	2.160119183	-0.9515633107	-0.07000287319	1.013649469	0.7261728592	0.02306836751	1.28593621	-0.4113076131	-1.226066844	1.611097674	2.322302477	0.8159716308	-0.6859528389	0.2258718669	-0.2735080653	1.255947791	-0.2100445503	-0.2044143019	0.4455785124	0.6261933899	-0.03565649467	-0.6361546919	0.968497442	-0.01802394451	-0.8131565674	0.393561301	0.8476177398	-0.3959638226	0.2801551277	0.7744231461	-0.02272205698	-0.6615942339	-0.8936424447	0.1467789811	-0.644321611	0.5308679334	-0.8805489541	-1.536610915	-0.04912338187	0.6101569977	-1.068196035	0.5900205971	-0.6847324658	-0.3920224513	-0.07811995288	0.7706508413	0.3587831955	0.9685332736	1.554275826	-0.8066113666	0.7704759946	0.8241372942	0.1368329665	-1.232709006	0.3887852987	-0.2775123751	-0.4640062821	1.967735422	-1.611538432	-0.2805525424	-0.2637230811	-0.3258741384	0.9093513086	0.9935454922	0.4331071821	-0.8162916612	-1.909514962	-0.3014231115	-0.2432768072	-0.1064011603	0.1004615361	0.05588329726	-0.3930701385	0.1247938076	1.756438202	-0.6608284339	0.6608128637	0.5697106208	0.8765849361	-1.344456163	0.05877459375	0.2166119311	-0.1314009021	1.430846222	-0.2039679806	-0.06296100794	-0.07506831155	0.04400194957
0.7045966758	-0.6206092085	-0.8680079585	0.4494402852	0.06640276416	0.3475018861	0.6968478016	1.054741288	1.410952586	-0.2727367274	0.116642327	0.1993158756	-0.8039244269	0.1089384569	-0.2929795376	0.3016685697	0.1011441944	0.4398031095	1.259841928	-0.5808808089	-0.5231541603	-0.1399917661	-0.2259889885	-0.414952752	0.7636841453	0.3462262893	-0.2531745203	0.2536777286	0.2125508881	-0.650773456	0.02252934497	0.1179815881	0.4343203074	-0.5178289066	-0.9904790552	-0.7019444102	-0.3169311665	-0.4443987252	2.229448256	0.1836291816	2.346153935	0.2938914912	1.586204101	1.539060934	0.2408585127	0.7742186806	-1.303143372	-0.1762704347	1.416041295	1.690912171	-0.8277861378	1.294472664	0.348539392	0.2049526587	-0.1673631505	1.192847348	-0.4476334877	-0.01332980385	1.192834049	-0.4889846331	0.6201693992	-0.007122850213	0.4899752444	0.2088169625	1.826520201	-0.3769700903	0.5073299611	0.07946115328	-0.4828454005	0.8613198136	-0.3297834787	0.9415763302	0.1751208467	-0.01893967143	0.2460251952	-0.3185310414	1.007624993	0.2562510545	0.8009728066	-0.7166003446	-0.08191201286	0.07847388176	0.2094878972	-0.5174599451	0.2281779471	-2.306597515	-0.6217286164	0.4155788043	0.6520912145	-0.7503618877	-0.1167002919	-1.12905001	-0.6482064774	0.8754902884	0.207859784	-0.3411220974	1.053274853	0.89219213	0.08189974678	0.7956719342	1.49606114	-0.2747748155	-0.322452656	-0.9998079409	-0.2627071829	-0.270519991	1.304426028	-0.8828357003	0.1534033397	-0.661716386	-0.4263180832	0.6841939668	0.3379957659	0.3436494042	0.09959695764	-0.3257697477	-0.2619095888	0.7363814463	0.4535986207	-0.2001643585	0.3569150078	-0.4025311784	-0.4394952371	1.092882176	1.811637731	0.4341689416	1.077824833	1.959217139	0.5721596814	0.8338098778	1.225605881	-0.163713064	0.3359295078	-1.097357975	0.01008032482	-0.8389161659	-0.07698650618
0.675300332	-0.4869963638	-0.8382612608	0.3845325325	-0.08813458623	0.3261433921	0.5758007708	1.095310924	0.9168046497	0.08367048597	-0.1277718765	-0.01800798067	0.255113634	0.2427425643	-0.6003590633	0.3865426205	0.4330761002	0.204804145	-0.3217777099	1.834952986	-0.736993435	-0.02758431607	0.9344471012	-0.3010679697	0.7671581511	0.1586970088	-0.1789750694	0.05251377521	0.04287678096	-1.146031419	0.2078535259	0.5748027416	0.2818397528	-0.5200357063	-0.4389018764	-0.230767936	-0.3788814076	-0.4315498796	1.86685597	-0.3783048352	2.105280606	-0.02921914116	1.749230918	0.9806649248	0.4911375866	0.3008934026	0.5531345634	-0.340511596	1.122907871	1.208720912	-0.6078020607	1.749612151	-0.118427882	-0.2540761053	1.930579533	1.109829232	0.4822426946	0.5153644287	0.8606103328	-0.3011366459	-0.0077983297	-0.6274658067	1.042969104	-0.4289530514	1.806925038	-0.873307175	1.153815187	-0.1619601629	-1.447109113	0.3696162699	-0.3372188306	-0.6298979866	-0.03154591168	-0.81648144	0.4289621766	-0.126634644	0.9114666256	0.2541162089	-0.2071661352	-0.7047325022	-0.8422331777	0.8198765265	-0.02474954527	-0.504868835	-0.0006845793678	0.4704183861	-0.1076880919	0.4012364126	1.294354941	-1.061158098	-0.07948019226	-0.5367625541	-0.1005532526	0.4470430579	0.04293156578	0.9052238533	0.6686969853	2.133049002	-0.5007410265	1.34630065	0.5574920139	-0.7398815178	-0.7623721551	0.0350951701	-0.418517562	0.09790511574	0.6982517341	-0.5839659794	0.07655512715	-0.5171921188	0.5780737266	1.269097393	0.1864086532	-0.7748909256	0.606525624	0.2076705133	-0.01908865812	-0.62219113	0.2100152587	0.5445840652	-0.1047749455	-0.2772547094	0.5372824754	0.7787405024	0.1460886305	1.173250038	-1.5953851	0.8527375063	0.1780510555	0.2786912363	0.04847693455	-0.2002153512	-0.6131163105	-0.7485022563	-0.6695642712	-0.2110674242	-0.5426211608
0.8573261055	-0.1263125929	-0.681087162	-0.1780625962	-0.2998767372	0.1339511197	0.4788704231	0.2185264598	-0.06694908878	0.1937660782	-0.2643806213	0.08125745823	-0.475626366	-0.09429152505	-0.06696462532	0.000654596322	-0.2237290539	0.4746163205	-0.3488659492	-0.01237049564	-0.3709719189	-0.191195301	1.023811823	-0.4247547308	0.2506418515	0.205443562	-0.1076270813	0.4039323392	-0.6522459686	-0.6923230304	0.3403847676	0.3408111434	-0.1771956531	-0.4420065012	-0.8149044983	-1.698219785	-0.3827129644	-0.2878694144	1.286978063	-0.3035435428	0.807505663	-0.4277951018	0.8220089297	0.06287033092	0.07646445616	0.001318692445	2.147687095	1.815775052	0.4028572724	0.5010459102	0.5519078354	1.059344795	-0.2809130139	0.989520694	0.02441557065	0.4863778788	1.974128931	1.253081056	0.6244394451	1.29158268	-0.2782149445	-0.3870431454	1.31243631	1.26673392	0.7789186286	-0.9446922721	-0.8983622411	-0.1257333858	-0.2011910833	-0.09875594037	-0.1669345435	-0.4178345834	0.2098570645	-0.45234414	1.221078448	-0.03084374679	-0.9778733381	0.9976215141	0.8783809966	2.185566887	0.236623634	1.409703709	-0.04299067334	0.5318514967	0.01579320165	0.2437647948	0.5929855581	0.1242697938	1.651999991	-0.9178440629	-0.6055094185	-0.6084208389	0.4885058838	0.009145159282	-0.7031399675	-0.3964665096	1.415386051	1.736869413	-0.7418742651	1.074735565	0.08624711853	0.4434000273	-0.8355445689	0.992752592	0.6481177833	1.046660007	1.123662644	0.3155284391	0.389749177	0.2504392652	0.6382941492	0.2184259549	1.050091181	-0.05557703105	1.112549542	-0.5463615384	0.986125472	0.3289995857	0.6235026273	0.8443120863	-0.2915792757	-0.3027081949	-0.2937287569	0.2502889053	-0.8526962796	0.6093495972	0.2174749423	1.284412257	-0.1237525314	0.6416872427	-0.4710366087	0.4796068439	0.1832811064	-0.9791944232	-0.4633863573	0.4303759882	-0.7495813098
0.4476699753	0.07374579614	-0.3408707311	-0.5581865921	-0.1246154202	-0.08983864939	0.483051015	0.4391225595	0.423123015	0.06314334795	-0.1158127207	-0.3143167524	-0.1385506389	0.1603283506	-0.3311373662	0.1104596505	-0.2455333176	0.3215087439	1.691801517	-0.6333770478	0.1645292014	-1.249724549	0.3329845111	-0.1235593296	-0.02381522746	-0.6244621628	0.3192513427	0.1776724942	-0.5145899906	-1.223700944	0.03128167614	0.5039275472	0.1876200491	-0.9415647465	-0.5485232176	-0.05716158904	-0.286007965	-0.2433851924	0.7072691148	0.4159587827	0.4275775335	-0.7771206296	-0.05838953133	-0.673034275	-0.3671925748	-0.002596373006	-0.8253565305	0.7435100227	0.5466635379	0.6452012514	-0.3755270712	0.7864142497	0.1495909095	0.2940320415	-0.907770692	-0.5105701102	-0.2888052727	1.419102701	0.3688674378	-0.2543340203	-0.6251552263	0.4950030532	1.006769234	-0.08065741146	-0.1556419718	-0.5314861547	-0.4866700208	0.04027438475	0.8679273388	-0.3451394099	-0.5924412653	-0.2099473048	-0.2991153198	0.4031297691	1.35747385	-0.3159850797	0.179773936	1.096834973	0.1153543598	0.1349579731	-0.006833792967	1.685288938	0.4999604439	0.4741691673	-0.1451974875	-1.578983305	0.3158931414	0.5332232541	1.253578179	-0.4417702971	-0.3291423421	-1.105437876	0.5847321353	0.565102197	-0.4554747074	-0.1399013701	1.16472181	0.5230867506	-0.4690470817	0.3123360362	0.7710675426	0.08299244895	0.6583831004	-0.7576492764	0.06556374237	0.8388609995	0.5688245878	-0.5059889789	0.4761684444	0.2026606547	-0.4516699856	-0.4274638288	-0.03621272976	0.8605844653	0.1332209381	0.02166716286	-0.6357270949	0.5467016846	0.8001836442	0.1314760063	-0.03167400871	-0.6243919994	-0.9511502727	-0.1894335094	1.371519745	-0.7342630249	1.328013621	1.553985055	-0.1889677972	0.225714989	-0.6239901231	-0.2519483199	0.08700908904	-0.969606684	-0.1091950626	-0.3086786403	-0.4499384886
0.6329168081	-0.06522123559	-0.4868079059	-0.6446929096	-0.6662323347	0.06953808782	0.3831873619	0.4491485301	0.1401838231	0.2141334316	-0.03950928135	-0.3710984712	1.747237913	0.04937049704	-0.004950816928	0.1092196617	-0.1590727543	0.06809821065	0.8249219368	1.509410889	0.2283616145	-0.9636676252	0.8247105955	-0.1987720493	0.432131744	0.3998565992	0.0409560075	-0.4387088033	0.5468062552	-0.8633147286	0.1659256937	1.173012095	-0.1385104124	-0.5175620677	-0.9409047485	-0.5630115198	-0.5772482751	-0.3066019261	-0.3610790173	0.07657517545	-0.8020772293	-0.4464894134	0.2503663847	-0.6475711815	0.4568483651	-0.1306013902	-0.1794435163	-0.5044427834	0.2360483581	-0.2761678281	-0.03293791783	0.797503449	-0.3407416157	-0.6134574634	-0.6118741121	-0.6575365343	0.2274960591	0.9527058042	-0.2382937204	-1.319675229	-0.4902795835	-0.2030804638	0.337412242	0.5559547506	0.3582899411	-0.7043841382	-0.3778911161	0.2290383868	-0.7792107306	-0.3189901423	-0.4772449012	-0.3734503399	-0.7351177679	-0.9708056995	0.7582330294	-1.121606054	1.13031875	1.012703102	-0.5847933765	-0.6003687458	0.3693809635	1.602219178	-0.5987345315	-0.3941422072	0.8566664511	0.3871757772	0.6418731614	-0.4274963568	0.7416565985	-1.678156678	-0.9386715869	-0.3076079745	0.2168361629	-0.2011697187	-1.107942385	1.274836494	0.8355965295	-0.06387079619	-0.3195944488	0.2934494863	-1.575980398	-0.6838908901	-0.2239757499	-0.5884972258	-0.1330833955	-0.9431462215	-0.1350922046	-0.3925805322	0.3103421829	-0.238475925	0.8646501567	0.02646454533	-0.1353557187	-0.2388710846	-1.143466156	1.137393446	0.1018285593	-0.8980211078	0.5064447574	0.5966284286	-0.1961537379	-0.3755184396	-0.1204658926	0.6398580539	0.5627937341	0.4661800308	-1.955196757	0.7308925218	0.8438155392	0.5754809156	-0.7929757735	0.05167485875	-1.097577519	-0.8925636443	-1.109821101	-0.2091561338	0.2044838555
0.5694754202	0.00927102167	-0.2048954588	-0.720097465	-0.559184644	-0.06301411594	0.3733854485	0.06956647457	-0.5152483351	0.3815185088	-0.1231419073	-0.2530520011	-0.4262677415	0.194528979	-0.1010233446	0.4205601712	-0.1051110135	0.3347724179	-0.8219404723	0.2955881751	0.01622017179	-1.309274063	0.7215679688	-0.2017550726	-0.1019403996	-0.5419641774	0.3187463247	-0.1542953734	-0.2745028829	-0.972551506	0.3800271998	0.2957123632	-0.3617632131	-0.2637723505	-0.618600816	0.2747123816	-0.6673586906	-0.2323970485	0.2141389469	0.3665696571	-0.8877737418	-0.3109435654	-0.2348142568	-1.008064296	-0.3334517844	0.06492013294	1.916151198	0.5807497039	-0.01564380285	-0.4368845482	0.05253098331	0.5068215487	0.1661117942	0.3152774769	1.133431459	-1.246425173	0.02207099292	0.2475575745	-1.074325171	-0.2744108856	-1.16027882	-0.7932654834	0.4175529359	-0.302876036	-0.2720212602	-0.7513526616	1.168402497	-0.07026976227	-0.06340158507	-0.6608724455	-0.4850009545	-0.2370903646	-1.625180939	-0.2934582809	0.7845013656	0.1015250228	-0.7958124915	0.03733828478	0.5148877527	0.1221789212	-0.8218561063	0.7620938588	-0.8334689287	0.8328670642	1.035619114	1.474312781	0.8754895294	-0.01931170024	0.772896625	-1.440950979	-0.4111922002	-0.4704934342	0.2243395448	-0.2554764777	-0.8571332368	0.47281948	-0.3348472271	-0.1582226289	-0.6141518013	-0.5324402346	-1.943333258	-0.1348330022	0.1669574037	-0.5007094086	0.08021420353	-0.03871640747	-0.0224018512	-0.615867382	0.970171809	-0.5720060039	0.7120391896	-0.2706787856	-0.09216533122	-0.7551155403	-0.1793135912	0.1784086772	-0.848373422	-1.119105075	-0.3058300581	-0.06253582659	0.8692538066	-0.415164307	-0.1424307107	0.293864043	-1.767516323	0.37168134	-0.01087009042	-0.3428875585	-0.02536628092	-0.9329512108	-1.296231846	0.407622708	-0.9464357005	-0.7224000845	-0.8406518977	0.6357454899	-1.149942154
0.5903415068	0.4968731061	0.04133367195	-1.017030646	-0.4000310713	0.1287024266	0.427139402	0.1591152669	-0.2023094804	0.3529636524	0.07668192828	-0.4303395985	-1.030166971	0.003490642118	-0.09641237493	0.6640292809	-0.4809606742	0.4539287382	-1.107699088	-0.9592820027	0.1832255782	-1.506362467	0.2751949312	-0.3179497532	-0.566725775	-0.2466576574	0.0890279507	-0.02711079699	-0.3539894943	-0.7823230556	0.1801903225	-0.1955389905	-0.3191294565	-0.2201351615	-1.352989759	0.8621364093	-0.1549069072	-0.2763450483	-0.06391779413	0.3653822978	-1.085781134	0.1532812063	-0.5229084478	-1.332948545	-0.603581267	0.224409572	-0.2861074305	0.1095882859	-0.0179847053	-0.6882640446	0.370659141	0.5313697778	-0.5276964496	0.1169378002	-0.2225649924	-1.774259135	-0.5184957424	-0.1150049917	-1.687879634	1.310622778	-0.5595655119	0.3536227538	0.317068921	0.4760181082	0.1202668352	-0.28948302	-1.079689635	-0.1022560981	0.8994931946	-0.1615071404	-0.02920613946	-0.09344666374	-1.888200957	-0.006035781494	0.3019697718	-0.03964195957	-0.9899015209	-0.112772814	0.5833061314	0.5011030976	0.6910772321	0.4298584487	-0.4652395404	0.5726754343	1.071534727	-0.407921222	1.03336794	-0.5139198831	-0.5726898628	-0.9372462023	-0.3799063519	-0.440261598	0.5932210298	0.9532089154	-0.270636692	-0.7707715578	-0.3989071826	-1.124445977	-0.3703316072	-0.7641214546	-1.891807202	0.2882016498	0.0003871805735	-0.2668209884	-0.2492432975	0.3409783693	0.4991364674	-0.544142399	0.1743088644	0.1075611561	-0.3938471083	-0.4142109288	-0.599237263	0.01303205336	0.6263531128	0.5098084577	-0.07200908897	-0.4831012041	-0.3602875262	0.07692827065	0.309807328	-0.7402641034	-0.6014701913	0.8017791397	-1.108066553	-0.9567447724	2.286461129	0.06086548471	-0.009230024404	-0.8273290667	-0.1002383379	0.3559536559	-0.0893812012	-0.6019718759	0.3432980426	-0.253980258	-0.6699070678
0.6121992167	0.5805866145	0.1678731642	-1.180927072	-0.3939757393	-0.04232279471	0.3852408313	0.1022073828	-0.1778552173	0.8169956137	0.03512896412	-0.1424596504	-0.8053298015	0.3099646222	-0.1611101287	0.2375014249	-0.6041823507	0.3406951232	1.273292457	-1.014551937	0.3639575148	-0.93349789	0.2578712389	-0.1925102628	-0.5198151017	-0.6536500833	0.1054326261	0.1522329725	0.07931571979	-0.1701371488	0.1266498966	0.0004741832127	0.07219209423	-0.381169409	-0.7399384323	0.08728425397	0.3309557862	-0.107306452	0.009861045981	0.3815809569	-1.07302077	0.2859345511	-0.4244182441	-1.204127825	-0.3823618435	-0.1050473066	-1.381961363	-0.3058211506	0.01670316005	-0.8364569253	0.477007324	-0.0522521313	-0.1344762001	-0.7567360756	-0.7485523588	-1.261240524	0.1185142574	0.2917543376	-1.753683309	-0.3355270926	-0.5752293194	1.991461272	0.6455263682	-0.4653486503	0.08401287908	-0.1705530611	-0.9444691612	-0.2533993429	-0.3854354152	-0.2463351955	-0.2258415639	-0.5051923113	-1.624035959	-0.05269632179	0.05404668839	-0.9072786598	-0.6500710905	0.465871464	-0.1498854727	0.3848593736	-0.01407250014	0.4728192456	-0.2761053154	0.806044816	0.9768180327	-2.066649552	1.365600207	-0.1772689721	-0.3222779648	-0.3111583602	-0.1072981002	-0.5275729127	0.6115525745	0.07719812497	-0.04235262023	-0.6720872725	-0.3002801248	-1.153686237	-0.2578199467	-0.5395158342	-1.328132556	-0.9436370155	1.009213444	-0.4295834349	-0.3772071633	0.7658019286	-0.1245849785	-0.5871061266	0.1903716953	0.2861938988	-0.7915251275	-0.3752322953	-0.1493677915	0.1624390837	-0.4778601927	-0.007937133303	0.1355791633	0.005564666451	0.2821366871	0.3307236209	0.3037736005	-0.6261736544	-0.5738235552	0.06554338683	1.071499036	-1.154229653	1.616224443	1.291258715	-0.03359808028	-1.235522324	-0.4712915494	-0.8549146549	0.0929379386	0.07556844144	0.9551775394	-0.4111595761	-0.9199598903
