melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145	melodic_146	melodic_147	melodic_148	melodic_149	melodic_150	melodic_151	melodic_152
0.3636701472	0.6090333238	-0.7038991962	0.6111008637	0.05354923219	0.6448968503	0.182627923	-1.083362721	-0.552604866	-0.5726697186	2.444490082	-0.6461040667	-0.9455547928	-0.7662643792	-0.6534010549	-0.1114679909	-0.0318556538	-0.8446608734	-3.493261347	-0.1248445933	-0.7664139554	0.8100495637	0.7579087233	-0.08652326089	-2.393881286	-2.036825176	-0.1332181877	-1.028113245	0.6076247198	-0.7348017128	0.6522942149	-0.6084344497	-1.334293413	0.0177770363	0.4062341541	-0.843981475	0.3593827135	2.948115643	-0.9427297417	-0.8249034484	0.9400715164	0.4562607345	-0.4964155035	-0.8309007408	0.1687978871	3.221938741	-1.272497779	-0.3209712917	-1.009811584	-1.83407287	-0.2957506933	-2.272979805	0.1533678201	1.229157544	0.1888413567	-0.1532095254	-1.570590212	-0.9568423925	-1.122923938	-1.281000854	-0.2312244069	2.677109881	2.485269904	-0.6220379325	-0.4431479522	2.807746474	-0.3841907921	-2.610551806	0.6110722319	1.176402971	2.801278692	1.292337115	-0.3049848356	0.420165481	1.01429037	0.1166020327	-1.95351834	-0.2078009637	0.4985652745	0.5082635517	1.043467047	1.505062165	0.07707817124	-0.3669994108	-1.058038783	0.625508576	0.01622887745	0.7598531668	0.3076134396	-0.5919137357	1.935580236	1.306499738	0.7667111894	0.2525783396	-1.311476623	0.9232874498	-0.118686246	1.051963929	0.2774380547	-0.7937987952	0.504667505	1.027196767	1.431357185	-0.8466455698	1.335670727	-0.6556228303	1.479480705	0.8025893666	0.9632615561	0.7826057137	-1.100342601	0.9319447178	0.4239388312	-1.90746471	1.510069904	0.2232345982	0.5007353886	1.378271921	0.3686862552	-0.5971421163	1.564610212	1.438428181	-1.239350662	-0.2133363447	0.9566091204	-0.3700100994	1.628746	1.391263028	-0.7348339794	-0.8007288662	0.3909559514	-0.5313352671	1.035753934	-1.313548999	-0.6217786714	-1.437505304	0.02869705882	1.552666375	-1.11507	0.9431368601	-0.06946194038	-0.7033704606	-2.046228851	-0.03428927092	-0.9348644159	0.1011371659	1.148143952	0.3832962693	-1.728797897	-0.2005420042	0.2172875151	-0.1433852627	0.1538688375
0.3555528255	0.6651960484	-0.08140608931	0.6443349304	-0.2726853774	0.3710256145	0.002398674566	0.9601384267	1.650099557	-1.128605933	-0.4534556089	-0.3318160436	0.4686767767	0.08748532165	-0.08436365332	-0.1621272066	-1.37390134	-0.8561276443	-3.130903166	-0.1988040753	-0.9937376032	0.0239296304	0.4452785928	1.00702431	-2.509997738	-2.184404051	-0.1087321638	-0.3370958419	1.078716049	0.06094288842	0.4935941325	-0.973142494	-0.7723333835	-0.6972520169	0.1632324662	-0.6954875105	-0.2888579032	2.386473951	0.9992036653	1.37564656	0.1932297197	0.3422151045	-0.3803780184	-0.1028657433	1.18944031	2.309713786	-1.009138977	-0.5974573914	-1.434362468	-1.820374733	0.2272733903	-2.355308348	0.3734783801	0.01833548229	-0.2058939964	-0.925152718	-1.034167673	-0.01853776962	-1.665123064	-1.246843939	0.007228615258	2.581374346	0.6111444085	-0.6393078926	-0.6059685463	1.995814166	-0.5161652811	-2.359304427	0.8141186897	0.7740153115	3.161873238	-0.7240800146	0.174308692	-0.09978319588	0.8027444172	-0.4975761709	-0.8518356576	-0.2274986252	-0.9945717663	0.4538045896	0.4881214044	0.2788499519	-0.5480727248	-1.483354668	0.5271069377	0.3596875635	0.09040868721	-0.2336487311	-0.2825502579	-0.313019999	1.259564911	0.411722906	1.263292538	-0.9963426376	-0.1854171059	1.966687586	-1.342928322	-0.3068914481	-0.5286151789	-0.6977555589	0.2053452486	1.201747829	0.1041352926	-0.1622008735	1.856346623	-0.4657726989	0.6760940416	0.5917878407	-0.1208055107	0.7243704163	-1.269430965	-0.2343674408	0.5713441414	-1.277206497	0.4715736026	0.4345471179	0.7716767415	0.4928832001	0.06992836094	0.3603085064	0.4867035657	1.00445703	-0.9363347788	-0.4969805343	0.5699183165	-0.5032267552	1.261329877	-0.3569841144	-0.6462229592	-1.1654724	0.3026003907	-1.007412455	0.3048186589	-0.9791093723	0.00833984238	-0.1174441688	0.5672240763	1.314181113	-0.9256148412	-0.5197607574	-0.8936589693	0.448748782	-1.016277503	1.467681803	0.09135643174	-0.0148166441	0.4932670063	0.962677244	-0.9526040466	0.3740699243	0.6995804997	1.442318128	0.3851669974
0.4453637287	0.8692220096	-0.1935301384	0.676412772	-0.4030583036	-1.077765598	0.1745916898	-0.9908068939	-0.6995728594	-0.850755277	-0.1784649046	-0.3458132116	0.01880478535	-0.5808561324	-0.1214706488	-0.5020043354	0.8460017233	-0.4300782377	-2.472655968	0.3759995248	-1.088078146	-0.2993878136	0.5690775899	-0.486139909	-1.789972053	-1.92207695	0.3459431945	0.7656850745	-0.3074773064	1.384009768	0.5984426211	-0.6632516299	-0.547036636	-1.296795851	0.2269826887	-0.3326167703	-0.6472025527	1.605728509	1.133568205	-0.3883609087	-1.031458584	0.6368885232	0.2736168559	0.1077078131	0.2763445246	1.48549167	0.3671801716	0.1317287858	-1.495948516	-1.095098631	0.1140835817	-1.186551286	1.425985774	-0.09892901749	-0.3956781332	-0.631849352	0.1982545774	0.8628749835	-0.2909055521	0.1185888898	-0.4143131995	3.699164224	-0.6841759991	0.6708943343	0.2499493698	1.65430424	0.5295893773	-1.666267741	1.299672243	0.2250775623	2.005402388	-0.9522551123	-0.2313663487	1.152016012	-0.8640097491	0.5687091337	-1.051466699	0.02288652691	-0.2991416397	0.3817255364	0.1236864404	-0.4297720455	-1.594230725	-2.294172044	-1.121862747	0.09661909505	-1.120697873	-0.7121451028	-1.135544566	0.8145293431	0.8577897143	1.35408262	0.8698169182	0.5682879575	0.7387571511	0.2575701832	-0.3698816931	-0.00350040585	-1.419458482	0.1754433382	0.4896612935	-0.1684189944	0.1118546367	-0.7484670353	1.78012735	0.882631033	0.6791928037	-1.136577163	-0.3558360342	0.3315754161	-1.486550663	1.007627044	0.8103279692	-0.4982502708	0.5010523409	0.9429374556	-0.4685910334	-0.5347977146	1.340198644	0.4183769207	1.826132865	-0.6122100166	0.0005741621585	-0.1086003863	-1.045186426	-0.5549591801	0.9868631744	-0.304385534	0.4049032392	0.3598628074	0.1294167561	-1.690749045	-0.102756273	-0.3881835597	0.08067655133	0.1022157171	1.301197034	0.423851279	0.6626524997	-1.158377641	-0.4825872087	1.726159764	-1.150964894	2.637004833	0.008406105385	0.301344617	0.8754116408	0.1462886447	1.278534685	1.035602358	2.924106684	1.397346479	1.362145131
0.6202886671	0.5220698484	-0.1878813205	0.8936301086	-0.8123463879	0.5999274968	0.3136718764	1.481299475	1.35203936	-0.510578931	-0.2321278888	-0.5655759088	-0.081450816	-0.6820329562	-0.1395688313	0.05857065878	-0.3861123449	-0.06529084225	-2.364554207	0.3394244223	-1.251610763	-0.7175051688	0.2855526635	0.7701355831	-1.475067298	-1.193298241	-0.255897879	-0.60322354	0.3661583452	-1.017761879	0.9169161471	0.7147842498	-0.570452324	-2.041056813	1.560005352	-0.09526950315	-1.012746343	1.989921739	0.862819253	-0.105737008	0.6157755934	1.618430882	-0.02778525888	1.635214615	-0.2803487879	0.4344430022	0.6571242371	-0.6862591988	-1.651389941	-1.060519432	-0.01813984717	-0.1832988432	1.111580127	0.2039030291	-0.2094901231	-0.5775187024	1.424187854	0.5622449534	-0.4619843804	-1.355060251	0.4145202481	3.029069263	-0.968625995	-0.2355989357	0.789956827	1.163711069	-0.2459790779	-1.373041152	1.102811996	0.928747802	-0.2692676826	-0.2001174653	-0.3092508098	-0.0296239017	-0.4072941328	-0.8815319279	-1.022801244	-1.605953751	0.451185216	-0.9783399633	-1.217645349	0.07801625324	-2.23336239	-1.453215461	-0.4731094048	-0.10960467	-0.3582073567	-1.022072259	-0.9817823854	0.2357772887	-0.2716885409	1.573772209	-1.032130146	1.223352458	1.765206016	0.02357736538	1.530202712	-0.7432993789	-0.5820576292	-0.1316192405	0.07619422787	0.7590611649	-0.6346023831	-0.2631260433	1.760198013	-1.484711297	0.910739747	-0.7865297206	0.6805307916	-0.02448832692	0.4122808349	-0.8614540443	0.4805980836	0.5525196702	-0.3473467588	0.2379229883	-2.040458803	-0.04565155941	0.2337803586	0.2186290762	0.2306518603	0.6971699425	-1.027749309	0.9478213202	-0.7871896754	0.1768438704	0.5638962191	-0.2474875229	-0.09403313895	0.1633444297	-0.172921673	0.6547094203	-0.5904735091	-0.8060291159	0.6450503028	0.3229903635	1.354934777	1.472352029	-0.1311335261	0.2683469219	0.7730553809	1.552449513	-0.4669497256	1.126925173	-0.4546613146	-0.9772865721	1.356729787	1.340245466	0.2169128791	-0.1750442184	0.5481484942	0.9317662097	0.2361493026
0.7972321929	0.6999594675	-0.3982613068	0.8658879893	-0.755363766	-0.7384071962	-0.3445750464	-0.7175596518	-0.7389264136	-0.6810937852	-0.6677421691	0.1207887743	0.07404466742	1.408774905	-0.006500871371	-0.291430912	-0.6894517457	-0.866162699	-1.592220752	0.8646400115	-1.516635251	-1.210859009	0.07769020584	-0.4433000172	-1.621824201	-1.791151767	-0.8655859599	0.5521255975	-0.6188540207	-0.2581902364	0.7426728383	0.6468813846	-0.5951960041	-2.017133069	-0.8449421517	0.1617551516	-1.26315661	1.317596244	0.4910487462	0.06219425867	-1.437047781	1.934846212	0.44911289	1.143702623	0.7043525792	-1.311496608	0.4646677077	-0.8990555894	-1.842569438	-0.979547906	-0.6453482403	0.2389969537	-0.3861152722	0.2725956313	-1.045007873	-1.007413541	1.720218878	-0.5833255647	-0.228873964	0.3489074199	1.631679876	1.094681441	-0.4957292886	-1.234119547	-1.084088826	0.5729333617	-0.6709670952	-0.8539181522	1.727326971	1.707878283	-2.365888583	2.636060193	0.369430064	2.283593033	0.05554767628	-0.8881189756	0.1429041447	-0.9799085702	-0.4199591357	-0.9566058665	-1.645182299	0.8589305025	-2.468427495	-0.6119155115	0.001203576845	-0.3338808268	0.7488268129	0.8543598014	-0.9696740518	-0.211969901	-1.200632812	1.545276559	-0.06681692513	1.393573977	1.398313993	1.676278047	1.214742435	1.26410743	-1.280421174	-0.8211842122	0.1252082871	1.357702434	-0.6831739764	0.6543937515	0.2875134838	-0.9430543907	1.162092955	0.8576465574	-0.8185931722	0.5555392712	1.016400918	-0.2109234198	-0.05088804278	0.2250114562	-0.3163104355	3.314883533	-0.3510948829	-1.815328899	0.04757555369	0.1284988503	-0.444735416	1.4147892	-1.47729251	0.8612457243	0.5518737096	-0.229134737	-0.1211111234	-0.2381725899	-1.335520436	0.027762744	0.8879760703	1.642596032	-1.118305555	-1.393009297	1.478202473	1.045681835	1.443220652	-0.8501151287	-0.6703810665	0.3672615938	1.940829838	1.04267192	-0.3605992306	0.4765128702	-0.8763323332	-0.5339308955	0.6706002661	1.010777952	0.2682270559	-0.4814574288	1.965999987	1.0701943	-0.3815721327
0.888989793	0.1976180674	-0.9110845404	0.6720890385	-0.5926541998	0.5172226814	-0.1244427745	-1.235059921	-0.8436494925	-0.3020977709	2.540616998	-0.6767226628	-0.9457089005	-0.6845955147	-0.2587566696	0.1605256035	0.6187405349	-2.006648163	-2.17249351	0.6782315413	-1.386828847	-1.406731682	-0.0708850824	-1.149690308	-1.086024381	-1.893432313	-0.722619702	-0.5614249194	-0.3382643515	0.07392757419	0.05363117435	0.1129196937	-0.6303818191	-1.92431743	-0.3696292275	0.400719819	-1.80910343	1.672370901	-0.9170759826	-0.1644032007	0.6844633365	1.066305993	-1.020179748	-0.5123877867	0.2703924065	-2.713868953	-0.04449439487	-0.6501574051	-2.049987834	-1.078016401	-0.2035207001	-0.5198145481	-1.818110765	-0.1991029671	0.3111608727	-0.8206382419	0.9623654844	-0.7945485679	-0.3884807564	0.01144253299	-0.2753944918	-0.2798844891	-1.219259844	0.7850190817	-1.454786433	0.254329335	-1.579461017	0.1768193958	0.3850640496	1.019850428	-0.725823372	1.746577705	-0.3477644802	0.5748076721	0.5728858762	0.3890888757	-0.8967123958	-1.924369454	0.3698236158	-1.294950622	-1.747898483	-0.3002546544	-1.390772773	-1.139096304	-0.8424231651	0.03809612011	-0.1737520812	-0.08933747076	-0.584551522	0.2059991305	-0.830036658	1.078126563	0.5790358551	1.524045024	1.241132051	1.312535071	-0.5520311253	0.5271635062	-0.5409512167	-0.4253949033	-0.1037017152	0.2350485244	0.08640755082	0.8004275994	0.1747244076	-1.62864466	1.160357839	1.126158735	0.6085013276	-0.1309604349	-0.109050045	-0.01957039503	0.08954834188	0.4322944585	-0.5463222179	1.568396966	-0.5398628449	-1.682185501	-0.995071099	-0.4079905996	0.423090619	0.4488990846	-0.6875123664	0.3158940555	-1.452103018	-0.4984190528	0.2892310441	1.510568394	-0.4201100576	-1.085644999	-0.5593747629	-0.5728558479	-0.3085682293	-0.6526349616	0.7281114735	-0.0310758301	1.237366659	-0.1562045862	-0.05955632721	-1.492230232	0.9434315304	0.8971939359	-0.7531530025	-0.4568534148	0.5135449846	-0.731541291	0.6853826922	0.6997010156	-0.7701293011	-1.004414332	2.262830615	-0.3605251747	-0.1817650609
0.7706221259	0.5034915825	-0.6263528996	0.9165192965	-0.4953031039	0.2544384585	-0.3814839523	0.7252123604	1.898727474	-0.5961830384	-0.1385711809	-0.1478338785	-0.1324008586	0.1556436674	0.1794105583	0.6010603094	-0.8075023999	-1.51340932	-1.672268055	0.4620502596	-1.437378775	-1.464914863	-0.1491016922	0.6494123137	-1.060017086	-2.367975353	-0.3246429029	-0.3408030896	0.6549942193	-0.02384055171	0.2093032878	-0.2668247422	-0.7836927172	-1.852099482	0.6588325397	0.01269139062	-2.121223309	1.193768471	1.056020807	1.785742604	-0.2890921074	0.08970932579	0.05398057007	-0.3951216756	0.8029738697	-1.980966031	-0.6234565804	-1.239739907	-2.1058267	-0.8185433429	-0.3134940381	-0.1647502323	-0.877895877	-1.861684053	0.291980069	-0.47015165	-0.0361563365	-1.019848638	-0.9693746696	-1.441313839	1.049237955	0.02122252068	-1.165253741	-0.145924108	-0.9602539574	0.2588619457	-1.426043948	0.465986998	0.5442631694	-0.1265857615	0.8990850321	-1.024094166	-0.4497460665	-0.1871437337	0.5217682979	-0.01911808629	-0.5133694419	-1.871236012	-0.6496215732	-1.427821839	-1.05850216	-1.688560362	-0.487062407	-1.621179598	1.22602166	-0.005178472616	0.2738333913	-1.127305415	-0.9309160072	-0.009052359851	-1.424346549	0.834584126	0.7665201077	-1.11261365	1.571456446	1.395411489	-1.987470073	-0.0231856328	-0.4523672073	-0.6905657288	-0.2825096717	-0.7819929682	-0.7683086534	1.357175913	1.083088558	-0.8114902248	0.683794706	0.9310716969	-0.2613015429	-0.2087966618	0.0625206606	0.2005156293	-0.1096070471	-0.1407586599	-1.394954137	0.478200492	0.6822314468	-1.675632389	0.318014217	-0.04596991734	-0.0991681388	0.8356815125	-0.4243432666	-0.01625233542	-2.376964107	-0.2033298605	-0.5818576553	-0.7303674395	-0.1191456889	-1.651714773	-1.038128005	-0.2876612121	-0.6720989071	-0.6509265692	0.7360071578	0.6794284813	0.6871070221	0.6794535044	-0.2230859375	-0.4073490438	-0.695490438	1.342354299	-0.730538622	1.049909547	0.5105106889	0.1852675143	-0.2051159509	1.735743338	-1.708867475	0.006646466639	-0.4220259428	0.9059846842	-0.8949957509
1.026393091	0.6710647119	-0.3024101967	0.6405288588	-0.2107932513	-1.010625886	-0.09346329023	-1.156452197	-0.9960941028	-0.6739999655	-1.011118886	-0.7410816995	-0.1501794719	0.3636886932	-0.144809946	0.1062080753	1.145735021	-0.8164825296	-1.864308299	0.3869630787	-1.138417728	-1.45313002	0.1812676529	-1.521453944	-0.7727236869	-2.033145224	-0.1669698106	1.06093343	-0.7512092693	1.234304184	0.4134529062	-0.8057670782	-0.5323159981	-2.12644971	-0.7074906729	0.4519794987	-2.126803825	0.239784762	0.04346042167	-0.7178065903	-0.3379476316	0.5733774073	2.061442929	0.2621711725	-0.1906011179	-1.692858567	0.1371616326	-0.4018039828	-1.736533289	-0.1504775179	-0.4465635286	-0.5096932361	0.5058665393	-1.808393499	0.5295215847	-0.966056328	-0.2509498379	-1.344470828	-1.046877825	0.501659456	1.04111998	0.3168852763	-0.606564687	1.23993583	-0.8763756254	-0.4620661168	-0.7903183648	0.3801555278	-1.685931092	-0.03298152589	1.347805979	-0.890156442	-0.6810703334	1.308906431	0.3614213187	-1.150175673	-1.090430337	-1.909623688	0.2171088224	-1.777349107	0.342518224	-1.179138567	-0.1774955364	-1.73547068	-0.4215356013	0.1140557409	-0.5782056573	-0.8983899281	-0.7979943595	1.306916955	-1.006791798	1.065188759	0.3314550202	1.169623252	1.818047458	-0.1177455971	-0.4703183557	-1.091032547	-1.054672316	0.907365933	2.138114057	-0.1358223795	-1.656347476	0.7493976211	0.8499794655	0.2339705135	0.6971943026	-0.8703309001	-1.614781768	0.5385400568	-0.4137519022	0.2942748876	-0.5718714361	-0.5759660224	0.2053756802	1.42860787	0.4706965201	-1.300507875	-0.6127855636	-0.279887185	0.4068273769	0.05820365383	-0.7942363555	-1.075290274	-1.986073955	-0.2477473073	-0.6844101758	-1.272108625	0.7757671095	-1.149495953	-0.5441932449	-0.09928908732	-2.293629743	-0.2359201516	0.9107260497	1.968779674	0.936158332	0.03952422012	-0.1957308555	0.9075031765	-0.2935742296	-0.1346058773	-0.1054805413	1.344451974	-0.7867790527	-0.7162840363	-0.07110185836	-0.683988367	-1.029038001	-1.124544536	0.3901877828	-1.145273359	1.119677265
1.004328205	0.4198642245	-0.6889450945	0.7824381507	-0.8815897019	1.806496438	-0.2050983478	0.02388089613	-0.7751034781	-0.2964764362	0.9631027562	-0.6414560216	-0.4999350371	-0.5500361394	-0.2320159849	0.708511211	0.2055859285	0.03985721547	-1.342897991	0.6548755448	-0.7993920109	-1.411576667	-0.2086768939	-0.2975746798	-0.7067474411	-2.208907683	0.3252733711	-1.260673486	0.8363329243	-0.7835376983	0.3294718347	-0.9007761804	-0.3436906665	-1.893007506	-0.1619957902	-0.1317666319	-1.86785288	0.6679229003	-1.476509422	-0.644674758	0.5964656887	0.8024979249	-0.8717406516	1.096954629	-1.224230709	-1.241969304	0.5737351577	-0.2636964541	-1.039162054	0.6122976993	-0.1553853223	-0.6260376982	1.221004175	-1.418105887	0.4892338525	-0.9768676936	0.5703353775	-1.071844707	-1.108329985	-1.029957911	0.2071346656	-0.01953087905	-0.6607387882	-0.5682956358	-0.7671767462	-0.6618036133	0.3328185663	0.3520214298	-1.207513272	0.1421245929	2.52529351	-0.5291563192	-0.2590920441	0.06392953005	-0.7312323181	-1.091529448	-1.340033678	-1.394333519	0.3342722834	-2.243188524	0.8161797047	-0.3459947457	0.07994294204	-2.331238232	-0.2680327335	-0.8614473868	-1.369744773	-0.4667364497	-0.2955626111	0.9068926031	-0.3988071193	0.4360764852	-0.1389246616	1.67982753	2.455048777	-0.8338380242	0.458223433	0.1464020106	-0.7062191724	0.4260096649	1.309883483	-0.1961349051	-0.3761327313	0.3913222171	0.8498818568	-0.5728109541	-0.2973162654	-0.2467956166	0.08275255504	0.621768143	0.9037401547	0.3773107478	-0.234197464	-0.43135709	-0.1430780968	0.5994912867	0.3078680298	-0.9281921344	-0.1806329837	0.4795324195	0.08429314735	0.5104245298	-0.1732124675	-0.951012604	-1.791396768	0.1093991693	-0.1142013914	-0.2429292299	-0.7344853605	-0.5075735412	-1.411805629	-0.7505223004	-1.467685177	-0.5169627441	-0.48425534	1.108769607	1.724402577	0.3018700409	-0.05889286523	0.5683447786	0.3335418932	-0.8079252068	-0.05965327219	0.1884147895	-0.3359415803	-0.330055638	0.5370427002	-1.003794151	-0.04459254515	-0.9252050986	-0.02489604148	-0.4469956726	0.9593463418
0.4428025987	0.3829301623	-0.2163168682	0.5013415311	-0.5172874832	-0.20967628	-0.1013849987	0.04831385979	1.499527556	-0.4734945683	-0.5646722013	0.2355734613	0.2331323964	0.8120780358	-0.1045660024	0.6602759992	-0.472198298	0.3243839024	-0.7233423708	0.6883124202	-0.9948775307	-1.078681804	-0.1412588279	1.667288277	-0.714664583	-2.365604902	0.5076426483	-0.376800151	0.5606104766	0.4877137621	0.302898448	-0.7406902689	0.1434494806	-1.024154046	-0.695272419	0.08736931801	-1.46927752	-0.1269614959	0.8001688887	1.078924291	-0.756629847	1.106237792	-0.4256260999	2.043526489	0.682119463	-0.4697445669	1.065583928	-0.9584346171	-0.9328803009	0.5108207376	0.2829764428	-0.2016558992	1.432822686	-1.65851789	-0.4637184314	-0.5206061827	0.9509403802	-0.4856410389	-0.2064954578	-0.8535016743	0.2747000825	0.5100488049	-1.009770366	-1.182508969	-0.9231230362	-0.1847291477	0.8002848399	0.4079067088	0.4623819663	-0.08195309679	2.769012093	-0.09260591179	0.7165524644	-0.8632502653	0.07155021559	-0.9539482093	-0.236025573	0.1593051261	-1.641741764	-1.82260571	0.8032885032	-0.3189650695	0.2991823469	-2.113720203	0.3721205897	-0.5428848611	-0.7394957714	-0.372201738	-0.6575071354	0.3548251398	-0.4575229446	-0.6547365029	1.111995325	-0.7395517751	2.310756704	-0.16014205	-0.6004108189	-0.1597304187	0.8369370791	0.1960482862	-0.07697989537	-0.574852749	-0.1392642823	0.7599257233	-0.02531913298	-0.94249669	-1.207026904	-0.1088260304	0.8132695978	-0.5319415815	1.827018241	-0.1660053119	0.3470338404	-0.1600688128	-1.376890932	0.08400891899	0.4145655488	-1.72563031	1.026863075	0.5760335168	-0.5143372379	0.358371248	-0.07643720825	-0.7844573681	-0.5626826898	-0.2241418058	0.4143792591	0.1360334883	0.252130238	-0.7299288837	-0.758348632	-0.4975036812	-0.7516374728	-0.727673008	0.3928909663	1.968226936	0.9275384534	-0.8597685184	0.5113087674	-0.4460567614	-1.474170155	0.008414020672	0.3745938824	0.7682514079	-0.651747967	0.3203435221	0.6328704649	-0.06936189142	-0.0926287468	-0.7661813765	-0.1905739215	1.403855508	0.07730254416
