melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142
-0.720968751	-0.7765723178	0.5405180407	-1.15004987	0.8262951107	0.8476177102	0.388039114	0.9242954865	0.643306488	0.3938390487	-1.054979102	0.6981596601	-0.924869019	0.1891220508	-0.1561753544	0.7969239943	-0.4245215484	0.05756014979	-1.504843162	-1.396364041	0.126613036	-1.306278875	0.4941948917	-0.7756169535	0.8760269355	2.589191441	0.2739488064	-0.8014311762	0.7923464119	1.135406996	0.4151299222	0.02795883322	-0.1576965629	0.585821672	-0.4060118639	-0.7355974378	2.974710092	-0.6957637509	-0.4738674437	0.9176628671	0.523677319	1.003468311	-0.5323158578	0.2478247292	1.629356936	-0.4292876352	1.474185086	0.09690340271	-0.6943132653	0.4682880471	1.952578499	-1.2055092	0.2064667369	-0.966071078	0.7083935934	0.003710359046	-1.533082076	0.9453129868	-0.07360824213	-0.3916227227	1.077437488	-0.6249825625	0.8840537181	2.330413407	-0.8427301777	0.5628697934	-0.00858362142	1.476902606	-0.6284493748	0.3229823702	0.2078565883	0.1911681058	2.064949195	-1.702169282	-0.4510008635	-1.045295104	-1.487187036	0.8428437638	0.8285046216	-0.2929360943	0.9757367248	-1.324765635	-0.04506907545	-0.02255616484	-0.03984695752	0.3832292071	-0.4789606469	-0.01621221641	-1.002712465	2.095601153	0.1009711753	-1.527273981	-1.425707868	0.2414184546	-0.2097347587	1.75489868	0.3490718939	0.665281469	-0.2039400953	0.01831810187	0.4993706802	0.3656083557	-0.2856874377	1.114689834	0.1837214329	-0.5388709728	-0.8099625847	-0.1831993294	-0.4024726512	-0.02991300212	0.8110238722	-0.4409924279	-0.1239823165	0.8231054948	-0.5170423942	0.3934204263	-0.5555570339	-0.05562465508	-1.436870679	-0.8913415354	-0.8843871126	0.2067352405	-0.9845417939	2.235188888	0.9741143104	-1.427608903	-0.4858874469	2.233952159	-0.5397909878	-0.1367320027	0.01993447176	1.601103146	-0.7705154008	-1.378834755	-0.7461149448	-1.22709015	0.2332841702	0.5186537253	0.1706671294	-0.5034806553	-1.238295989	1.609327316	-1.082665252
-0.7021619861	-0.4863872717	-1.050136326	-1.053293107	-0.8084703528	-1.271470579	0.5161341343	0.4006551837	-0.02431417147	0.3085778691	-0.737713678	0.4898082675	-0.2782937364	0.4683614364	0.5928278005	0.1935276867	-0.6823432807	0.523527608	-0.4768843186	-0.9461164292	0.3877638323	-0.3190688959	-0.2498662066	0.470194182	-0.2800553914	1.505910803	0.2200304449	1.20581284	1.233611696	0.7891634571	-0.4948462975	-0.5107822034	-1.416185547	0.073483997	-0.8876287279	-2.002767619	2.428564097	-0.6969469289	-1.086367759	0.1283540055	0.6034353695	-0.1001388766	0.1472162915	-0.2521550829	0.06142611848	-1.223269557	1.454855726	0.02111788587	-1.08909072	0.8143944917	0.1953567159	0.1572968801	-0.04663629035	-1.23439836	0.8033774812	0.2017870432	-1.265693167	-0.3914550565	0.2972279595	0.5168735375	0.4406922325	-1.329512209	0.4106407689	0.5075372901	1.754774127	2.112564561	1.685671108	0.4234834434	-0.4468921664	-0.9054678026	0.01610063939	-0.04363753913	1.23071633	-1.110382604	-0.8449776542	-1.156507148	-1.396789739	0.8451139212	0.5616575816	1.958373205	0.911107743	-0.5022167064	-0.9185860303	0.399998264	-0.8060663608	0.4183395712	-1.474141791	-0.1250520259	0.702502072	1.854527012	-0.5946719925	-1.499726967	-0.9490075828	0.6845033377	0.5552182697	-0.3389445028	-0.02059995425	-0.1554383836	0.3273597324	-0.4940204658	0.7887172496	0.3267939018	1.127466317	1.34402701	-1.189081376	-1.590224571	-0.7925747066	-1.344429009	-0.6771819207	0.2450529455	-0.2109909876	-1.102275703	-0.2794641368	0.4473730972	-0.6205640074	-1.915985964	0.01165725739	0.8164589511	-1.988343248	0.3956147942	-0.1405610996	0.3806614286	-0.9513473823	2.161978635	0.8859567292	-1.31570959	0.2017769658	1.431982854	-0.6853794191	-0.6383058105	0.6178025329	0.1482449135	0.3841016822	-0.8241703532	0.08177069544	0.6665446504	0.5599209103	-0.1891452486	0.234868111	-0.003013252536	0.3177295775	-0.7327845699	-1.046250945
-1.16569712	-0.6333749905	1.185120864	-0.3310558079	1.539491579	1.171913684	0.0328774085	-0.64540606	-0.4437867225	-0.1309977124	-0.2187715219	-0.901232118	-1.964252059	1.081468942	-0.2140285453	-0.4168193427	0.1856443694	0.3483402575	-0.6665788518	-0.7941175301	0.4471561599	-0.1957492375	0.8594653849	-0.7653096955	-1.289551298	-0.3468246443	-0.03292462011	-0.2598462562	0.03211400234	-0.05032145993	-0.3293922775	0.05405337307	-1.103076919	-0.93482652	-1.291778084	-2.258084665	1.464636479	-0.2601566614	-1.17131274	-0.67863634	-0.02059908579	-1.762683434	0.4189989768	0.09812674793	0.3965249566	-1.476774686	1.530172392	-0.4300049338	-0.5305158343	-0.4122253528	1.804972235	1.998245969	-0.8180135693	-2.026005655	0.1078640958	-0.4193284539	-0.167942068	-2.086196252	0.9760552867	1.195547563	0.8358129134	-1.171099727	0.08581775804	-0.7118881735	-0.2556281421	-0.164567959	1.008124375	-0.1987091196	-0.10135777	-1.144479915	0.1292816112	-0.7616824566	0.6918444699	-0.2724462226	-1.704330298	-0.7221077981	-0.209300908	-1.136825856	0.3122052266	0.02066321397	1.24033353	0.2953687338	0.3985413723	-0.4843089226	-0.3030964292	0.9023511993	0.2953379571	-0.4546105667	0.1401240174	-0.02912805006	-0.08634532228	-0.0391746874	-0.4805083855	0.2710509822	1.026109938	-0.5326713506	0.08041363237	0.0401540269	0.2787249571	0.3430654865	-0.408394737	0.3755648372	0.8279762529	-0.7120692343	1.868339857	0.4009185698	0.2018308615	-0.7546284958	-0.2051985008	-0.9266826522	-0.007509880584	-1.160136141	-0.8937853861	0.1417279692	0.5337323436	0.7297670262	-1.05186132	-0.5858709726	-1.716209754	0.0802942774	0.4447832293	-0.4800703947	0.01671480381	1.646143923	2.2393678	-0.9430044323	-0.7391555801	-0.6387618081	0.4837196519	-0.7393721673	1.26129088	0.6521707465	0.4528026566	2.083011221	-0.7403281021	-0.2593500436	-0.4016928944	-0.1115842054	-0.2661206625	0.05137347607	1.032268466	0.2916667996	-0.3372519078
-0.7595112199	-0.6044861612	-1.14704072	-0.5979448834	-0.5101678461	-0.8813465817	-0.03020470754	-0.1443614696	0.0286837917	1.09606112	-0.2089416101	-0.8112696454	-1.684138081	0.8425323761	-0.04199079343	-0.03362615612	-0.3058576447	-0.6980090623	0.3031237545	0.06017341274	0.3232745131	-0.7235268176	1.292374106	0.6055933647	-0.7658739391	-1.166603772	-0.3359140138	1.065023943	-0.3042850153	-0.5972400247	-0.05689485213	0.3823583138	-0.279625986	-0.7978523324	-0.4362058715	-2.471189482	0.3864178726	-0.8179590266	-0.8138020669	-0.7300368729	0.3702633052	-2.307380005	0.5679754009	-0.4100567233	-1.503029463	-0.8894520301	1.286117267	-0.3132711202	-0.1345812682	-0.8222114149	2.718667646	0.7556619513	-0.08087762207	-1.663391976	0.02831705797	-1.30807232	0.608716861	-1.385211272	0.1146914892	1.271686864	1.4609348	-0.1960654265	-0.7257615436	-0.09912326648	-0.1653081306	0.5671843023	1.434304063	0.6664595835	0.8109430307	-1.064192096	0.8782868392	0.3508792787	0.3759646929	-0.2057343039	-1.209669072	-0.4938226751	1.512761668	0.6333601383	0.9900178068	1.372209697	0.694568035	0.1424001989	0.009614946132	-0.8726285482	-0.5007691478	0.676494951	0.2243645938	2.934189672	1.179400143	0.5817373329	-0.5650830531	0.6742495739	-1.238448752	-0.8824564393	1.183662468	-2.147273292	0.02316986528	0.4192988132	-0.4104955946	0.3431541705	0.1432521308	-0.2504549304	1.300280656	-1.055108957	0.7722776907	1.529137194	-0.3590497	-0.6776828478	0.9116444239	0.9065012806	0.24930213	-0.5218098594	-1.638229268	0.2001764088	-0.06757271946	-0.0458691308	0.2711636577	-1.18477111	0.2641889838	0.6290572017	0.3237691996	0.2763602622	-0.2914079347	1.102559035	1.456643501	0.3388384276	0.7479352595	-0.1815570512	0.149914194	0.1982935118	0.01698384112	-0.5181872545	0.769043595	2.020128131	-0.1012994736	1.300862794	0.8853105183	-0.5262740603	-0.8737251069	0.6278911352	0.6881456908	-0.5809889823	-0.5614340955
-0.6226353582	-0.5121790048	1.165859032	-0.2166729187	1.49336168	1.994832995	-0.3184616674	0.1487915593	0.001861878913	0.9642392646	-0.2713718748	0.1672454844	0.4005133006	1.215217529	-0.2076083499	-0.4958456883	0.009904703422	0.8701161079	-1.070119737	-0.2948496987	0.4106368245	-0.8855083872	0.4047716913	-0.4173215298	-1.632191374	-1.482414504	-0.3871948112	-0.03642296013	-0.05261373178	-0.5510155411	-0.3637775695	-0.03671926155	0.5127847126	-0.6573853101	-1.350259109	-2.383648355	0.03343036366	0.9298783694	-0.2989131036	-0.4467907821	1.333419175	-2.535305704	1.195108237	-0.6215750005	0.1089139267	0.5118887481	0.981428919	-0.3048556271	0.394831832	0.5837182207	-0.3089626399	0.9201985388	-1.411492911	-2.129405768	1.602607133	-0.9954997941	0.9849733698	-0.1074217017	-0.5161105679	1.661434314	1.47097664	0.210221785	-0.4281694096	0.856341188	0.1910500288	-1.061498998	-0.6545015129	-0.05134252245	0.5587910622	-1.248000561	0.5966485343	-0.4637987882	0.7095162698	0.9625899253	-1.184973916	0.1574080182	2.179603594	1.338791303	0.2452176897	0.06831568969	0.8096266644	-0.8522731515	-0.2010204295	-0.0409186999	-0.745995128	-0.345049204	0.1630272063	-1.080821003	-0.1525040048	0.558525312	-0.5474778235	1.288647206	-0.1242345963	-1.444114249	-0.2269729746	0.4215995337	-0.2664786306	-0.3973244235	0.5441297863	1.440628428	0.1396593266	-1.210382396	0.4961537317	0.5315051135	0.2496616135	1.058299223	1.848566229	-0.3026273612	0.6206807769	1.150682058	1.085343134	0.0179800274	-0.7160274118	-0.6377761948	-0.3500339194	1.085100896	0.7970401414	1.9032285	1.936749379	1.975503296	-0.9331535084	-0.4499307992	0.5119570496	-0.06412095322	0.8766594254	0.1648229211	0.9086080967	-0.4189135002	0.7416518188	0.5964568009	-1.577344189	-0.9917627728	1.21498433	0.6663626307	-0.5571324498	0.863441069	-0.3953429405	-0.7326569089	-1.483293198	-0.5022853837	0.4290559585	-0.08353972779	-0.6686820832
-0.5585745014	-0.208675799	-1.283956182	0.09022323229	-0.637025592	-0.8610243083	0.06012384101	0.07589851216	-0.4406175152	1.106470635	0.7306774427	0.6438498887	-1.165216637	0.9298793589	0.03729236054	-0.1416251152	0.8522317757	-0.08757437722	-0.2003713733	-0.1951180311	0.3623586457	-1.320077849	1.242594832	0.5911857537	-1.295166222	-1.416641544	-0.05327935499	0.9916919892	-0.0007743757175	-0.6072040882	-0.4540466747	-0.09754295968	2.026981453	-0.325888936	-0.2760804802	-2.316049991	-0.4762292966	0.0930712169	-0.8334781559	-0.05521790034	1.06004922	-2.578859807	0.5780035643	0.357815922	-1.608647195	0.4056338013	0.1607337409	-0.3192832928	0.006214270924	-0.4344932485	-1.108108537	0.2396573303	-0.6455844013	-1.595552124	0.183862047	-0.4633854991	1.417036249	-0.8625693295	0.4266972754	1.088533932	1.317783534	-0.156497423	0.2850249653	1.267143729	0.193844474	-1.012862765	0.4306446121	-0.9049773689	-0.33148446	-0.9238168565	0.9262562966	0.0903316258	1.693158998	-0.9699298554	-0.7185016893	1.34597392	2.516560891	1.067389298	0.3713241151	-0.3090552853	-0.5877452247	-0.7521773797	-0.3033050078	0.2765622441	-1.211839498	0.2633809393	-1.199020956	-0.8346636124	1.630144577	1.069638926	-1.583595118	1.06760436	-1.059799671	-1.126900124	-0.05530357389	-0.6945776951	-0.2625719374	0.1735808926	0.2941969393	0.875842774	0.09705381684	-1.211222525	0.2375288961	0.5460876893	-0.1232546892	0.2410922921	-0.2030135261	-0.3686491597	0.6306033435	-0.9183974152	0.5699339978	-0.2115373171	0.0797713945	-0.1554327799	0.3490966579	-1.623481838	0.218347447	1.656598261	1.480771486	1.019470938	0.9826715617	0.4536642685	0.2752514304	0.04190344721	1.394961684	0.6296368155	-0.02442188386	-0.4640491213	0.8689752426	1.128985683	-1.780311164	0.08904713843	1.690525981	1.094511635	0.7581972312	1.842413452	0.6344264189	-0.1144413634	-1.757802131	0.4127705832	-0.07840031689	0.1934659117	-0.7761085639
-0.5144263753	-0.2565784147	0.4179633387	0.3011999274	1.099725651	1.554971814	-0.5621630929	0.4391121061	-0.8042836161	0.7074644255	-0.5706133474	1.821950342	0.8408922184	0.7072243357	0.6362924148	-0.2635787277	1.000713889	0.3974541027	-1.756807272	-0.4735368515	0.5475899268	-1.284709805	0.4225835474	-0.8980373158	-0.9350699769	-1.157503419	0.596968194	-0.5180121875	0.6923693505	-0.5126142977	-1.101835368	-0.4030181031	2.937324677	-0.1751129013	0.4074795259	-1.95580793	-0.6874224717	-0.03908713459	-0.8215298471	-0.2445195206	0.3116764278	-1.935463508	0.5352974621	-0.9983648806	0.4534377545	0.7687538511	0.1705639586	-0.8481368099	-0.5253039882	-0.1658499197	0.09703784034	-0.7802395088	-0.5046334606	-1.536515983	1.691197792	0.3482364825	1.083654581	-0.2383343266	0.529857429	0.576480635	-0.3005719742	-0.6089199999	0.7281912933	1.340597751	-0.2403984909	-0.4017434238	-1.717647484	-2.306155577	-0.4867136259	-1.121672139	0.6039767625	-0.7076597867	0.2492657623	0.3450609217	-0.3352554684	2.095266129	3.098750063	0.3107283561	0.3996865684	-0.9223817691	0.8052047697	0.3048588869	0.109379802	0.8550141765	-0.3610851675	-0.3623131284	-1.623653241	-1.216098941	-1.331451577	1.558810944	-2.374222799	0.9698518787	0.5958923988	-0.6580293992	-0.8542784455	1.154936957	-0.7451687994	0.7570484509	-0.0151770572	2.483927282	0.01358393373	-1.347538416	-0.1741407599	-0.196909144	0.423776177	-0.8946261266	-0.708302278	-0.07277674728	-0.1930111504	0.03338386225	2.005717737	-0.6367337936	0.9920096956	-0.366623057	-1.073325071	-1.582204458	0.5247602585	0.4121989208	1.57689348	0.8777578593	0.1836852366	-0.2367005838	0.06654088506	-1.229117874	1.056713994	-0.6190960073	-0.04019261085	-0.273245374	0.8035916568	1.017842213	-2.579699417	0.05196587793	0.3122588612	-1.103207975	-0.3233981175	0.03396216187	1.222120948	-0.3177674989	-1.242150241	-0.5238942853	-1.138529892	0.9120435381	0.01479565398
-0.8302042663	-0.1743970849	-0.7036347367	0.708785916	-1.017968497	-1.108396505	-0.8902259596	-0.1883798219	-1.051217528	0.6816350501	2.030033454	1.602007095	-1.754038137	0.585435315	-0.2797807251	-0.4258484664	2.29480289	-0.5300306971	-0.02166326604	-0.4811518901	0.5529566285	0.350014078	0.4308286245	-0.8833385429	-1.528117848	-1.575248835	-0.07948793434	0.4181258475	0.09025981742	-0.2801445497	-1.739165487	-1.047735608	2.246089007	0.8490957866	-0.4081443366	-1.739274698	-1.539659178	-1.056440851	-1.927009247	-0.1862154356	0.147442467	-1.884952656	0.2126397385	0.1353177984	-0.3138549934	0.3873564663	-0.8357103254	-0.4129080357	-0.9361772195	-0.3943890926	0.2190201957	-0.5685750344	-0.5593481904	-1.171613901	0.4147509039	0.2420432617	0.9911663443	-1.039936443	1.983451298	0.01523529469	0.0636060892	-0.2207914413	1.362332604	1.27392927	0.7631405313	-0.4062391811	0.1274221033	-1.981087492	-0.8286910159	-1.681234109	-0.2282223925	0.238333401	0.7134681364	-0.9380163774	-0.1505402727	2.067892543	1.254606804	1.352466476	0.02095011113	0.07877386578	-0.2466554323	0.09338174687	0.6507793206	0.7039444429	-1.088544561	-0.1870702715	-0.9245050208	-0.4610644103	-1.899248002	0.8422958408	-1.977617937	0.1628439745	0.3574634742	0.1849428078	-0.9573921987	-0.1853437577	-0.341933449	-0.9692310775	0.007184523102	1.279600569	-0.7975285523	0.6132527587	-0.7633768969	0.3716702038	-0.09480776573	-1.81503495	0.2779490399	0.901478651	0.8419040445	-0.7757408333	0.5458554533	0.00977165982	0.06440609548	1.061534251	-0.6357921127	-2.013619485	0.373018723	-0.6242770042	0.7315449989	0.03447879728	1.078798425	0.8571151517	0.1776172096	-1.422979992	0.4918437351	-0.3611316395	-0.1884078441	-1.382876975	-0.2151011744	1.75506728	-0.1367136234	0.9550322308	1.72068027	0.5280922746	0.7485824655	1.910867077	-0.3137700503	-0.1489929385	0.1697456802	1.513696476	-0.6095552625	-0.389514212	-0.2275787158
-0.4116734274	-0.05406329341	-0.3477258733	1.205027126	1.268493492	0.3547778014	-0.9110683281	0.5035815912	-1.415003532	0.7524210094	-0.2204234492	2.115118571	-1.009638685	0.3924789334	-0.1524709071	-0.3625195359	2.037552303	-0.2549281961	1.366866719	-0.2141460516	0.5691416919	0.1006974906	0.6998552764	-2.042716271	-1.233705903	-2.106403589	-0.982636995	-1.547250544	-1.173485558	0.06609596102	-1.594714389	-1.958992042	1.441928321	0.5786668908	1.919482909	-2.718577294	-1.392981519	-1.839007171	-2.192038619	-0.5609502517	1.025810467	-1.858714099	0.8660647944	-0.5263342122	0.2512815004	1.324858716	-1.457061329	-0.6103935787	0.3071373456	-0.1929650461	0.4610828917	0.1789290451	-0.7712934735	-0.7212470312	-0.6947326299	-0.5138757069	0.7633603856	1.850918275	1.688727173	-0.8831072693	0.3048999174	-0.8720402787	-0.1935345056	0.9957486296	-0.7273929572	2.470507073	-0.9068051957	-0.5243167426	-1.636550285	-1.423482692	-0.7006661075	-0.06819605547	0.4721884591	-0.4372161016	0.2839536462	0.9085490686	-0.4389417994	0.9669571434	0.448283385	0.3228807063	1.893954011	0.9888867648	2.99800338	-1.519008541	-1.18287986	-1.46236536	-0.0198704043	1.454153432	-0.9536890938	1.463887893	-1.729809136	-0.951848847	1.273999467	1.899428383	-0.5689840289	-0.375904016	-1.053756941	-0.07490496125	1.568832732	1.000682701	-0.102264202	1.016547741	-0.3188334924	0.8046187357	-0.3418509821	-0.7409137662	0.3069092423	1.427151159	0.879538516	1.574526827	0.4553986509	0.02006916297	1.823234665	1.165833023	0.8461649149	-0.1384231493	0.8535283111	0.837865745	-1.282828989	0.6601443459	-0.7355489285	0.3699430431	-0.08652367162	-1.252639453	1.54973947	-0.5826124866	-0.2005018994	-1.015312251	-0.6796239068	1.890676214	0.02150243747	0.6276362567	1.967150103	-0.1812913193	1.851372919	1.114955572	0.2677307726	0.5216533759	0.657433378	1.884844946	-1.398438032	-0.2188198603	0.1314765746
-0.6093047602	0.2164827041	1.562307912	1.946671673	-1.141496675	-0.4580811026	-1.005465125	-0.1458230434	-1.50457021	1.37023214	1.208403527	1.880961498	-1.195130584	0.6055277862	0.7822452188	-0.6241364229	2.709834285	0.3127246179	-0.8085078046	-0.5557094184	0.4924651614	0.3968822774	0.4240081925	-0.7675398794	-1.735731121	-2.480100328	-1.921894471	-0.9305780377	-0.5687211657	0.6864961536	-1.114485479	-2.06186169	-0.1371053318	1.377218134	-0.3790008778	-3.508114515	-1.251078477	-0.2135423799	-2.20621379	-0.5568560644	1.192251851	-0.8208319082	0.8527264987	-0.1984846822	0.002074309796	1.827268729	-1.5798095	-0.4169285178	0.5358602812	0.1429189742	0.7423693365	-0.4204715553	-1.168806941	-0.8840618616	0.1015858161	-0.5688463647	-0.002653597467	0.01131135669	0.3605765362	-2.253026112	-0.4333581837	-0.9639331562	0.1500270243	0.199279587	0.1027227073	-0.4744534331	0.06447195209	-0.2970474789	-1.357819878	-0.2741210665	-0.4154773241	-1.263892918	1.117976624	-1.043575361	1.010653224	0.3022710981	0.08891330337	-1.644836565	0.3236581874	0.3680879258	-0.7491227935	1.525962922	2.953570092	-0.6017413544	-1.437683939	-1.109575565	0.6717278226	1.478405279	0.2913857114	0.4723413541	-0.2978395771	-0.7785552636	1.010674873	2.320010859	-0.3622091146	-1.473337772	-0.6201113368	-0.6010519605	1.120167987	1.131804659	-0.4380228905	0.3433903443	-1.204034213	1.822348559	1.38512849	-0.04716210329	0.982629854	1.584957211	1.105010838	-0.4056313764	0.05244541837	0.0005379515509	1.117979218	0.6836311759	0.2829385244	-2.006742412	-0.02784989644	-0.9796592992	-0.6619531414	-0.2894786571	0.9215144822	1.164597614	-0.02249046607	-1.281923704	0.7133171928	-0.9910803002	-1.298647696	-1.750520996	-1.001876922	-0.1101125512	0.03144707311	0.4226601723	2.198039431	0.5647689934	1.576014448	0.5764961586	-0.9968463457	-0.2186937265	1.158303593	2.061144169	0.2920723164	-0.2216386558	-0.7196171938
