melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083
-0.6141371685	-0.2644764675	-0.284878409	-0.3991788263	1.455925324	-1.480363103	-0.08811099561	-0.7517015959	-0.1175592916	-0.6756349314	1.322246433	0.4912995098	-0.4265050787	0.5633977569	-0.1331571241	-0.9773283719	1.203011351	-1.256053688	-0.5486597903	-1.459946941	-0.4489023791	-1.300747479	0.5683644134	2.096623251	-3.375012348	0.3352095019	-1.438603767	0.686514482	-1.438493373	0.4038194698	0.1459183262	-1.370672009	-0.008428783031	-0.1234245636	-1.182614682	-0.1050119696	0.3958837841	-0.2073040502	-0.3177054827	2.685651008	0.9568766773	0.4852518546	1.407085263	1.364174907	0.5201401416	-0.072707594	1.400120911	-0.2694313428	1.416985144	-1.153576444	-0.5669149688	-0.8342292208	0.477537474	-0.3025255085	-1.833724801	0.9676336034	0.5249650125	-2.654517313	1.461997683	-0.4888993474	-1.018990189	0.09051884467	0.8754113161	2.254778495	2.92751319	0.1050783542	0.7230180232	0.6533575072	-0.5261349776	-0.6775268391	0.7638626598	-0.8553925439	-0.1689071189	0.9941057163	1.286001458	0.9419624955	-0.2294753511	-0.1978820548	0.6521874856	-0.05952018807	1.642075227	0.7283502305	-1.061037551	-0.3606947703
0.9529991983	0.3122455163	-0.5258369593	1.028696973	0.4830258325	0.6228270186	-0.2917415534	-0.5964511248	0.5955382069	-0.0611649113	-0.7712423061	-1.043514229	0.4330830503	-0.4897623323	0.8851585934	-0.3321184454	-0.8330506546	-1.224553623	-0.7694186894	0.3604503702	-1.196411904	0.5446121767	0.3166939706	0.79995238	-0.5910264331	0.7984363264	0.9323147895	1.336378557	0.2139448408	0.908379217	-0.9513624833	-0.4986523685	1.091587412	-0.7247649525	-1.764931847	-1.626935503	0.6180679626	-0.3953301147	0.08508654124	1.980760347	1.218760075	1.689507637	0.846183885	-1.186582654	1.391648135	-0.200720205	1.040085977	-0.7205781804	-0.3082536981	-1.233552399	0.01148144194	-0.5132559026	1.568458482	-2.100269166	-1.446838882	1.231524462	-0.2822224649	-2.279959249	0.6480184409	2.124379805	-1.637153936	-0.5552069701	0.5533436161	-0.3337082911	1.75906132	1.341390164	0.6790652886	1.516877004	-1.033355807	-0.8000065142	-0.6699940514	-1.155834082	-0.8250422387	-1.010698613	1.157638889	0.5077235716	-1.792471508	0.7971937047	1.527962308	0.6508299707	0.7677515154	1.022198431	-1.101611404	-0.7278346422
-0.5763599495	0.03469955084	1.434335791	-0.5436883012	-0.04042090621	-0.6767792518	-0.6171312259	0.1176525948	1.059532347	-0.5078798862	0.2710251065	1.102542022	-0.09459612566	1.189096712	-1.049173394	-0.816652029	0.491581271	2.152509601	0.3861061885	0.06149285345	0.005230287113	-0.5270604223	0.6731788656	-0.5277315298	0.2712622092	-0.6848615668	1.589975218	-0.2878848469	1.85495619	0.4181115287	-1.41889304	-0.4607091261	-0.5866650443	0.1093188571	-2.033719463	0.3652639579	-0.704741623	0.7232607948	0.08110265026	0.8932826569	-0.1885662445	-0.7075655547	-0.3888884331	-0.2749009772	1.468302243	-1.089220708	0.7713979664	0.3926486842	-1.532441914	-0.4853736834	0.1370063371	-0.9207395528	0.6883826318	1.882126515	0.1060150948	0.5828842402	-0.5664597765	-1.618068205	0.9140296327	-0.518570046	-0.7777444313	0.05959051546	0.7533204918	0.7057029689	0.3470716437	0.4609195453	0.6170728428	0.08071842666	-0.10131025	-0.07079151399	-0.3559677419	-0.5447368065	0.6600327829	-0.07046840372	0.4624451729	-0.5822725615	-1.050788262	0.1208481039	-0.4380802216	1.298460054	-0.1988628336	-0.863375987	0.08314404117	-0.7713643439
1.481421271	-0.5626601996	-0.7996286012	-0.4131308519	0.4293874242	0.06779103618	-0.3630177147	-0.5597182682	-0.01324046168	-0.3999210348	1.046175579	-0.760038701	0.2988476943	0.2185795099	-0.3326999418	-0.4057049784	1.481842888	-0.5596142799	0.6753121941	-0.3228072041	-0.1645116735	1.134715768	0.210505536	-0.2625276783	-1.005847383	0.04455713986	-0.6978216071	-0.06237300171	0.3665266743	0.3684013655	0.1231174914	-0.07132071191	-0.7550597677	-0.6202963484	-2.072119934	0.8733448581	-0.4719487334	-0.004613371519	0.4292697237	0.9266920535	-0.2646190518	0.2685215041	0.4440194749	1.349467402	0.1981595109	-0.5931236342	-0.1179471219	-0.3352382787	-0.5858887748	-0.6122486968	-0.6335561541	-1.400617504	0.8024472014	-0.8122477086	0.2882459999	0.7722858331	0.3179591594	-1.047066719	0.5736299211	-0.7511517469	0.1395527697	-0.2159540406	0.5546660677	-0.08004986776	0.8155218784	-0.4701826099	0.248545052	0.3159252678	0.4020585147	0.7717696168	0.4703400592	-1.904233395	-0.7395852868	1.289463704	-0.01982336877	0.3114776694	1.21288858	-0.759139495	-0.8606217899	1.407508567	-2.356449335	-1.378032627	0.6822033699	0.8738581637
-0.07380829117	0.9529463133	0.2400733283	0.3385149975	-0.6641980748	0.6077679624	0.0288910887	-0.6375048846	0.3315934995	0.9689107213	-1.856432702	-1.042985166	0.742956768	0.04055230527	0.4689641816	0.1909045352	0.3811972019	-0.6465515713	-0.0804670332	0.1230493629	-0.9327324387	0.07436655598	-1.494465013	0.1244181598	0.5174911967	-0.3521789294	-0.7976174598	1.638380104	0.1698914675	1.273618679	-0.1775864289	0.8710812915	0.8606081386	-0.07747868251	-1.895203931	-0.9441532679	0.1726769103	-1.016263135	-0.3259336362	0.2502475742	-0.043370532	0.8431889934	0.5518370087	-0.3118769584	0.7569712501	-0.1943660103	-0.01369888933	-0.7649632409	0.4569597341	0.08937473806	-0.4822421515	-1.200276753	1.103394302	-0.3341090145	1.124288698	-0.4054542057	-0.7931126173	-0.1614919568	0.04448662561	-1.572964894	-1.435300033	-0.7947757121	0.5783803133	-1.264007407	-1.057820269	-0.105189789	0.05087556094	-0.03721018211	-0.431612665	-0.05580958284	-0.9339574815	-1.413529458	-0.04415480776	-2.324474252	0.5971889191	1.061677766	1.801596331	-0.4051406639	-1.242737183	0.2176850202	-1.63376547	0.04415377099	0.7052373924	0.6366080799
-1.133574408	-0.9804051025	0.039419882	-0.9378308038	0.1263329134	-0.9587223383	0.06274421078	-0.7074723043	0.6874639316	-0.04175730552	0.04857960522	1.049875527	-0.1010647669	1.911508079	0.12860452	-0.0103463463	0.02983756333	0.2256709851	0.5516966898	-0.8757744877	-0.6290672162	-1.106164235	-0.6593217742	0.3107769464	-1.178237412	-0.1891410163	-0.8880879653	1.580189658	-1.285041166	1.631837835	0.1501381825	-0.1987497514	-0.2202888306	0.1950373035	-2.35479838	0.7294738774	-1.231758728	-0.5716706004	-0.09373254372	1.113704723	0.1732945439	-0.5945919288	-0.6095792247	1.177038515	0.6722172203	-2.186441768	1.663556562	-1.250012495	1.223241157	0.6728864522	0.07118142643	-1.942058988	1.200353466	-0.5736002081	1.06158732	-0.9676834174	-0.480391284	0.8281532403	0.1609241576	0.08123318351	-1.46675232	-0.373208664	0.523582409	1.142207071	-0.2690147173	-0.5327270619	1.016327085	0.5911063651	-0.5234200709	-0.2460155006	0.08905827411	-0.5657433432	1.105348594	-0.2967021504	0.2490864444	0.7106229865	2.455453102	-0.2781227776	0.5400273368	-0.9280498571	-1.797284667	0.2903452792	0.9129151373	-0.6300476608
1.513424572	-0.3813154314	-0.8839186763	1.468667501	0.688411101	0.4172470717	0.06816287106	-0.6831835879	0.227067021	-0.2110083075	-0.7661999395	-1.324780809	0.5119639477	0.5096659487	0.3355615271	0.01792037144	-1.019002738	-0.7725725649	0.3742952792	-0.696452754	-0.6522826531	1.150319021	-0.1716376108	0.988385369	-0.5235220905	0.4330576669	-0.03893303255	1.315937609	-0.3859114758	1.625838035	0.03590650305	-0.7513421995	0.640456445	-0.4848766939	-1.645284855	-1.462467861	-0.5633814825	-0.2535344593	-0.1880861475	1.239173651	0.6776242371	0.4676866429	-0.5108088698	-0.6669797173	0.2714089391	-0.2414788614	0.3624347322	-0.7929159956	-0.6214450592	0.7686211586	-0.6319859063	-0.5027891985	0.8161909533	-1.208977431	1.082487845	0.1267845035	0.1874041631	0.6938103912	0.3191815531	2.287419511	-1.874694958	-0.6414074442	0.6590458853	-0.6019169968	0.6448487855	0.3792882067	1.425842576	1.227296099	-0.08669344655	-0.9994335828	0.5486859748	0.06424497014	0.2366928557	-0.1700420547	0.556763293	0.2508778563	1.733946231	0.144442726	0.4153291678	-0.26506734	-1.025163278	1.006746586	1.404824485	0.17672039
-0.5220647369	-0.2271913804	1.424289113	-0.9477390673	-0.3911977101	-0.8531582408	0.05057028981	0.1624087917	0.5855422595	-0.5324860919	0.07106972083	1.270545807	-0.4991377153	1.345538019	-1.229344081	-0.4747657434	-0.5098144889	3.284548315	0.8530663509	-0.5608781449	-0.2250425521	0.3786332291	0.1807362072	0.9199645295	-0.216124533	-1.452392652	1.022491263	-0.6370133345	1.383169026	0.3998771034	0.478441148	-0.9888724925	-0.4213714389	0.617299473	-1.626699452	0.3092352309	-0.9791271213	0.1101844796	0.9165982229	0.2216865368	-0.05256044947	-0.9561710094	-0.2403284961	-0.8798839257	1.413739816	0.2627329485	-0.02370392122	1.954834732	-0.2522128445	0.9748175212	0.4819552314	0.4567422295	1.498708691	2.010859462	1.168306864	0.5365060144	-1.56420865	1.387216188	-0.001615966699	-0.6775912281	-2.043988329	-1.254983603	0.4650215908	0.1571244763	-0.222167746	-0.5495176554	1.371019826	-0.2472792095	-0.6817465631	0.6120850725	0.7354071244	1.338122547	0.4951010796	-0.4111425731	0.9691786892	-0.03595375358	-0.4015836076	0.5846310874	-0.6006709261	0.3330976285	0.03562009252	0.3481155018	2.708995177	-0.7441312921
1.996931865	-0.4114319783	-0.4546281629	0.2230839808	0.06563173906	-0.4699181831	-0.4423721453	-0.6530823981	-0.2920163763	-0.3719565234	0.6141246369	-1.06937365	0.4058509566	0.3499061599	0.369372793	-0.251955159	0.930675763	-0.5569625135	0.9810010422	-1.122551298	0.3879234105	0.1527357723	0.5896920682	-0.2050974118	-1.467403391	0.989123824	-0.7506899253	-0.2987816491	0.2089691072	-0.3588804832	1.75356447	-0.8768429724	-0.6727503326	-0.5917505887	-0.8384576027	-0.890575696	-0.3844935139	1.484871416	0.9253287247	-0.392161495	1.012856442	-0.5359922574	1.136106639	0.2262640834	-0.1794145353	-1.172540269	-0.5438812506	-0.2079772564	-0.006520334531	0.6342472498	0.7886214821	0.209677366	0.9949926059	0.4552823678	0.2863188023	1.047544976	-0.4525009529	-0.1829506088	0.009967039769	-0.5250934864	0.04968699686	-0.4524429268	0.08304428779	0.6048942691	0.3496507566	-0.3667432689	-0.5109767788	0.08631462669	-0.1331759713	-1.427631927	1.731876288	-0.6119657622	0.2403965656	1.916293046	0.51123062	1.007867534	-0.3104497621	0.228841898	-0.1454275283	0.1056910582	-0.1023542965	1.581446679	1.478931268	-0.006973436751
-0.5742970169	0.8818257306	1.115724307	0.225212359	-1.890850823	0.8047384453	-0.1764474124	-0.4573156986	0.2179118067	1.203822869	-1.457770222	-1.35576047	-0.5299145344	-1.366680456	0.8448053961	0.7900628327	-0.3266227069	-0.643559104	-0.4997611864	1.134780236	-0.4107585285	1.027121324	-0.8875330338	-1.064623912	-0.2736005315	0.2977033274	0.0762918591	1.240986879	0.3900377183	-0.4343835623	0.7457886699	0.2894779622	0.8558312999	-0.3673113909	-0.4674288643	-0.6136588143	0.5027483643	0.9494649287	1.03370697	-0.1970751631	0.1920442188	0.1186774478	1.443499083	-0.4352045366	1.220608242	1.170057197	0.4639583374	0.1643470065	1.855139151	0.002483417267	1.140547421	0.7990357332	2.49604905	0.07977391452	-0.03286866103	0.5230858044	-2.00139375	-0.9508834971	-0.8553620341	0.2768225894	-0.9206768036	0.7243467086	-0.2645546165	0.3518030643	-1.31823694	0.3635274989	-1.101734767	-0.9236595435	-1.212860123	-1.423586681	0.02047160699	-1.607405867	1.629426059	-0.3944603716	1.095985552	0.727056878	-0.8120338346	1.160194399	-0.4825364242	0.7673609804	-1.298664796	1.161166512	2.648865462	-0.7212074128
