melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124
0.7966068785	-0.7229404211	-0.8141329647	-1.267070133	-1.233124409	-1.758016094	0.4476588151	0.1371473306	0.2241023198	-0.5612359229	0.6746292999	-0.3324010834	-1.301650671	-0.5074650119	-0.4117805827	1.178387031	-1.01684726	0.678993812	0.01926630272	-0.4134421503	1.401559319	-0.579229063	-0.6286428428	0.3029899394	0.06982740041	0.6836835463	-0.3772328236	-3.294868491	1.449274103	-0.8882639429	-1.887665951	-1.061331557	-0.8850493809	1.210615962	0.8703277942	2.119475484	0.8373175701	-0.2269409452	0.4187409766	0.7343880236	-0.7178080981	-0.3933709262	-0.9147131409	0.1384611572	0.1736616633	1.505531745	-1.832141923	-1.204383443	0.2569222522	-0.3990220374	-1.012605409	1.740309276	-0.04104848905	0.4737626864	0.8088269507	0.4589667539	0.9459499044	0.6830207789	2.328044528	0.05158629008	0.4411125031	-0.3038911331	0.2415326755	-0.9211647575	-2.648591266	-0.1729322352	1.146300871	-1.216198495	1.52758779	1.037454848	0.1293521027	1.13480079	-0.8639508059	-0.5363278298	-0.3057441831	-0.3905194733	-0.3583407339	1.714864621	-0.7234168962	-1.118932526	1.641219589	0.93956002	0.4076180519	1.452550518	0.3681021741	-1.142635234	-0.2075782589	-2.464289738	0.3983024896	1.076476604	-0.7594986577	1.351024699	-0.6465448803	1.877638062	1.264283456	-0.5567166053	1.200920478	0.8060094964	-0.9804539283	0.578200393	0.2512480768	-1.105074225	0.7805317609	-0.5338679501	-0.6426535363	0.1334052352	-0.6088023881	0.5470893719	0.3144977867	0.9754476318	-0.8576666664	0.1968614471	2.390755871	-0.07170253113	0.5041404666	-0.4763357151	0.5739324696	0.6388162424	-0.8398892345	-0.504158551	0.04588703755	-1.622030685	0.394481393	-0.2697079464	0.5076478684
0.1578936084	1.772041888	1.353024906	-0.5188829668	0.4132789293	-0.50566049	-0.2670744934	0.069891071	0.08235776384	-0.8554753363	0.5992731026	-0.5393262237	-1.075119838	-0.7237104239	-0.1772293543	0.4477335059	0.03486359006	0.7627711246	0.3408477025	1.238933751	0.8629048556	1.350348377	-0.2510468365	-0.4999739723	-0.7549485678	-0.0916359852	1.290434744	-3.055715642	0.009917067749	-0.4736004651	-1.690821855	-1.319855948	-0.2990430597	1.082368772	-0.5004477637	0.8116170922	0.8381497864	-0.511291006	-0.4223571943	0.3164858078	-0.1294611465	-0.3748792837	-1.046074194	0.5892852697	0.4381560771	0.5234023551	-1.947230491	-0.4943737526	0.3158587694	-0.9016115371	-0.7579462062	-0.4157004597	-0.4061830169	0.6610683992	-1.297139106	-0.06409019001	0.8289552964	0.05725816532	0.7197161944	0.1464342091	0.7285332767	0.1781101909	0.07634220813	-1.266771206	-2.11365528	0.3265777168	-0.466206418	1.050773083	0.682019784	-0.763653713	0.2404231111	2.696190034	-0.4272229478	-0.7411872033	0.11644518	-0.3017701154	1.364642177	1.608935424	1.581897463	0.6072157272	-0.6214477668	-0.6424384387	0.7376665677	-0.2399587019	0.08877021632	-2.246074947	0.5546460071	-1.883939506	0.2157744536	-0.2024694624	-0.4754521513	-0.07803551626	-0.3928999558	1.649781971	0.02680912016	-0.2211616183	1.402485844	1.04032568	-0.7859971494	0.7926428492	-0.2343440185	0.2997139607	1.598212457	-0.6090084337	-0.2778800416	-0.8589522124	-1.100426261	1.151166372	0.02224218782	0.927596834	-0.4764797463	0.3127039799	0.001864786019	-1.175098496	-0.7024889338	0.9677284565	-0.1504721802	0.6027101943	-2.671511914	-0.6842665974	0.0005048062818	-0.5641917189	-0.6868633697	-0.1244048903	0.09047755884
0.3860453595	-0.7922118231	-0.8028068087	0.1065512783	-0.4904679152	-0.5639247791	0.4230435778	-0.3775027067	-0.2824131025	-1.043151981	-1.158903688	2.713429523	-0.7857499963	1.210471052	-0.4599325603	-0.9006297697	-0.6762511628	-0.1475755052	-0.05760697284	-0.3257631549	1.316373934	0.2026542852	-0.5225295992	-0.6361290114	1.29144277	0.4684743669	-0.3982107939	-2.417960554	-1.414143986	-0.5679673912	-1.066269711	-1.064178709	0.9081489466	-1.582841228	-0.7162037987	-0.4908143819	0.5705285381	-1.388365973	-1.823343172	1.237231701	1.314026438	-0.8613126605	-1.151493127	-0.8406471688	-1.359177662	-0.7352538861	-1.316098346	-0.6528177194	-0.8205098532	-1.079772578	0.8902970055	0.3752303026	-0.5890942734	-0.3393574765	-0.7646218568	0.7400763904	0.283712553	-0.8501143938	-1.708629164	-0.6677257578	0.1917331978	-0.5070844311	-0.1985605579	-0.4632889239	-2.326218021	0.2166916982	0.6120585163	0.726279967	1.093937871	2.036245257	0.4778667305	-0.2969227126	0.210590338	-0.3397143303	0.7130250133	0.6125971468	0.615976647	0.1702796848	1.993010566	0.03204748332	-0.8565241823	-0.3081080156	0.2695833758	-0.1031303581	0.6151992218	-1.571247319	-0.6010205513	0.01174107594	0.1847713748	-0.6911947721	-0.5741859442	0.7692911246	-0.7752592071	1.12141607	-0.616960622	-0.7037169948	-1.444030677	3.008130231	0.9753863766	1.443295854	0.2015320006	0.7771316291	0.951138871	0.2407818703	-0.4622152382	-0.6365031706	-1.56594476	0.183295736	-0.7780987073	0.4074896756	-0.6197932277	-0.7079510574	0.5240904504	-0.464241929	-0.3699507906	-0.1377019421	1.401508093	1.788663408	-1.359691472	0.1070324437	0.2247124474	-0.02076424066	-2.186522291	-0.2805595072	0.3339921204
0.8634035008	-1.35169555	0.3551448424	-1.204467465	-0.7921858494	-1.25488887	1.251189281	-0.08199672665	-1.759623346	-0.05189287908	1.656227049	-0.371227467	-0.05997674174	-0.4157040076	-0.1815785977	-1.42345384	-0.7359570053	0.150915069	0.2236191435	-0.7951860667	1.642726444	-1.571006658	0.02554517283	-0.6515999398	-0.6009207787	0.349466275	-0.07197812503	-1.466458958	-2.434652654	-1.330602039	-0.08110069114	-0.8482105561	-0.4898396146	0.8884318599	0.3975814648	0.7118266851	-0.09627447572	-0.5852784919	-1.556001832	0.8811213732	-1.167984874	-1.403691129	-1.576071468	-1.406714309	-0.9466760068	-0.3018162593	-0.4183165785	-0.4560894708	-0.3414695013	-1.087927033	1.064715576	0.4921692229	-0.1353698067	-1.071370534	0.4113649638	-0.4637545258	-0.8541012735	-1.267022282	0.1468109828	-0.144622354	1.575880619	1.801605717	0.1572945513	0.4468896815	-1.328494124	-0.8007333739	-0.5701508093	-1.129730811	1.127330064	0.4456253377	0.3046898661	-1.438819773	1.413487596	0.279069989	-1.316772918	-0.05807300644	0.7089552333	0.2452626569	-0.7010617515	-1.246279366	0.6675419371	-0.3521423094	-0.2802623161	0.4599568658	0.5769711214	-0.2887506861	1.190870751	1.087733698	0.7856911058	-0.9828742722	-0.9654105342	-1.421631373	-0.7684169659	1.244641516	0.2104640361	-1.706305062	-1.744991081	1.745296571	-0.1659975196	0.7963111339	-0.7720098861	1.331302959	-0.3885410565	0.001335139898	1.251183677	-0.1302991136	-0.8675190086	0.2214720136	0.6962448649	0.880043723	-0.1384923521	0.3475587382	1.297613315	-0.7606641309	0.8362888008	-0.4630590541	0.1170994782	1.456202747	-1.039318661	-0.9225164339	0.7492443231	0.6151168208	0.9085347606	-0.5952542882	0.2939759817
0.3014796936	0.7579964793	0.6473689206	-0.2836427083	1.644749369	-0.4276248611	0.4266018378	0.2691543655	-0.8397100041	-0.8713781549	0.2155092919	-0.6495395683	0.08766964574	-0.27908602	-0.1395950612	-1.377811208	0.236420831	0.4313036953	0.4798229335	0.4236428984	1.237366318	1.45797931	0.1149376822	-1.577836582	-1.11682162	-0.9815217569	1.012962131	-2.358370089	-2.537629918	0.1286475149	0.3106686373	-0.6477569529	-0.9723084736	0.6830544456	0.104241604	0.4468743306	-0.2614484986	-1.145815174	-1.754454456	0.4615114546	-0.4067752623	-1.170372209	-1.115327219	-1.351217722	-0.06002630634	-0.2705621127	-1.302469478	-0.8604078276	-0.1954928611	-0.5078863261	0.06428889443	-0.9766475925	-0.3516893773	1.197687538	-1.710883863	-0.3683519037	-0.9058266033	-1.168735131	-0.1389555749	0.7875671733	-0.1112971012	-0.6776137211	0.3765661943	0.4655041129	-1.348229241	-0.2195237227	-1.179077443	-1.132330541	0.5226015516	-0.5558411603	-0.03709663509	0.7239986289	0.7233671286	0.3136704055	1.457177383	-1.863013973	-0.2242174502	0.4890131563	0.6566983757	0.6219795394	-2.287039921	-0.7632378712	-0.2247840886	0.06928824875	0.7198661761	-0.245328235	-0.03487112342	1.011415024	-0.2860650815	-0.7523944632	-0.6511310303	-1.190202688	-0.7977686104	0.2235953761	0.2236790335	-1.682580273	-1.074765572	-0.9487409625	-1.778920284	0.8884315402	-0.6619278014	1.764956095	-0.6575550076	-0.1903704358	1.648205922	-0.8132304888	-1.484420551	-1.759825243	-0.0554474113	-0.2478052219	-0.7076131535	0.7210887179	0.2400097029	-1.653929641	0.1394343552	-0.383675595	-0.6328481391	-0.001364877148	-1.410120806	-0.7782032982	0.9269389069	1.32619905	-0.1412956494	0.1821268199	0.08019961622
0.4029448725	-1.418772974	-1.140275614	-0.2674833659	-1.131392872	-0.6962303009	0.6471533785	0.3670807713	-0.6596337582	-0.9881947841	-2.335662385	1.755877044	-0.326713834	1.154540494	-0.5336624202	-1.488730439	-1.199909751	0.4862552731	0.1877289887	-1.033607206	1.560161043	0.5264985279	-0.6214796725	-1.127756116	-0.3248546029	1.40853614	0.1150844847	-2.075282063	-2.017481231	-0.04799157056	0.6619051313	-0.1853819835	-0.1071352778	-1.062060385	2.600234202	-0.6325516772	0.2380964759	-1.114126918	-1.927451557	0.8670549519	0.7741849714	-0.9124031783	-0.9119066251	-1.375341049	-1.510316791	-1.597762691	-0.4679363943	-1.059842764	-1.219061302	-0.6213861031	0.5634975288	-0.6444092519	-0.3602385682	-0.9169035459	-0.9928628784	-1.208135047	0.5006346275	-1.263727461	-0.3654908177	0.5849601363	0.2939891441	-1.023285494	-0.6029230693	0.4732888303	-0.7854068211	0.9582642683	0.2839863678	-1.538868727	0.6150930728	1.407427048	-1.52363888	0.01641816956	-0.8678068343	0.5662438907	-0.4900113156	-0.787298014	-1.443568574	0.25157828	-2.221966779	-0.5513288577	-1.2141079	-0.3227007025	0.1064708506	-0.04284769158	-0.3783209036	-0.6204796097	-1.113487504	1.498439496	0.67413021	-0.4343072102	-1.288339744	-1.776496013	-0.8976094257	-0.2996644889	0.6126763165	-1.991077181	-1.791204592	0.6156155102	-0.8567754736	0.8949601796	-0.9650263663	1.608008123	-0.5112193269	0.06345090794	0.8111073013	0.1123003469	-2.887823278	-0.3032318749	0.09339456795	0.52771897	-0.1311754684	0.6163845548	1.604840007	-0.5436394126	1.635934477	-1.293663232	-0.1948894546	1.165351156	-0.2063633252	-0.9241450529	-0.388894968	1.106265387	0.3664640812	0.4498817056	0.6242613106
0.365040961	1.330212126	1.700554934	-0.3868872846	-0.3911488139	-0.8468471745	0.4816466489	0.4987493277	-0.5693270095	-1.343717544	0.4406193927	-1.293874567	0.1898446425	-0.6669554596	-0.46204371	-1.016636931	-0.9667940008	1.133388227	-0.3051524609	-0.06963455318	1.582707317	-0.8012127081	-0.950643511	-0.6879560097	-1.059860618	0.04957590638	1.071665647	-0.8958158019	-1.373553268	-0.650150595	1.58013814	-0.1351302344	-0.5535365188	-1.24792611	-0.6242432908	-0.8578753764	0.7164997268	-0.3897266129	-1.367546411	1.124588517	0.05439588105	-0.5459051622	-0.697210637	-0.7201047328	-0.5125793502	-0.6265992958	0.8930659768	0.04730517591	-0.7263145948	-0.7621158665	0.488174032	-0.7236183037	-0.3717202374	-2.311429977	-1.184596991	-1.403472011	-0.2165290657	-1.408866373	0.5457391795	1.3239148	0.5005590212	-0.04030902114	0.3499887783	1.538921253	-0.5167015923	0.9261130092	-0.5701279863	0.001920523245	-0.1221867652	-2.263445957	0.7359623364	-0.2333102732	-0.5043743491	0.83681362	-1.68801248	-0.3746588333	1.220173123	-0.1099909931	-1.289745018	-0.9578434303	0.3815826355	-2.244885052	0.5552806819	-1.342743557	-0.01392918322	0.6663926298	0.9196092216	1.038732238	0.3852529224	-0.7329009599	-0.9423935321	0.04532842961	-1.071319481	-0.5639303135	1.297089724	-2.234554783	1.008656443	0.05684540928	-0.03067624818	0.4342797674	-1.727225143	1.203574353	-0.2991672614	-0.1131075631	0.4769447679	0.001010504708	-1.533681395	-0.05320126287	0.6756239707	0.1272401743	1.033409412	0.7248196728	0.752405532	-1.57338197	-0.375821429	-0.7628653334	-0.4738787409	0.1211426939	-0.1299986119	-2.721261809	0.9792406478	1.306393235	1.327020523	0.4412338772	0.3507469532
0.4430645821	-0.1038773047	-0.5097770744	1.586078762	0.4495019462	0.0534676492	0.5619394598	1.066903944	-0.7566824342	-1.006785305	-0.5142323636	-0.8937855646	-0.1872842341	-0.01960765192	-0.1184845809	-1.009147366	0.4215834029	0.2202777149	0.1160708667	-0.3703120086	1.219709244	1.212845364	-0.5340075181	-0.450253721	1.049722611	-1.295326958	-0.6368383445	-1.143430926	-0.7150830822	0.1198332078	0.7368518201	-0.2329571565	1.325042886	-1.452752094	-0.7263136206	-1.354239768	-0.1058090901	-0.6341539159	-0.5097258366	-0.2557847492	2.673304771	-0.990016474	-0.6930856206	-0.9094209454	-0.5272858576	0.4189335502	1.043205482	0.3495411422	-0.6262330105	0.2481408665	-0.2653777077	-0.07873398559	-1.336070532	1.30118122	-0.8250019325	1.538770457	0.01610020922	-0.806744114	-0.02266797281	1.063891006	-1.053396009	-1.365686859	0.6979219657	1.523125087	-0.1611578232	-1.250123509	-0.4483148854	0.1335463872	0.3824634226	-0.2885335608	0.8920680307	-0.3161494387	0.4080153625	0.7614824373	0.665349717	-0.7099605225	1.132999406	0.04177190663	0.7521296005	-0.9374935195	-0.2737947948	-0.07259719162	-1.077648434	-1.166217943	-1.226024782	0.2538189731	-0.942687742	0.2895335779	0.04673710582	0.05937051305	-0.921890533	-0.04802298688	0.1960615601	-0.7807806562	1.925935016	-2.46260906	0.9803313817	-1.181711675	0.3561774654	2.086413784	-0.8614842031	-0.6602855841	1.052046754	0.3677556115	1.570077727	-0.8525370663	-1.482864773	-0.592974526	-0.5409557725	-0.2729327745	-0.3431013507	-0.4251093897	0.7531719982	0.7743874109	-0.4290624155	-1.648800738	-0.7128204713	-0.6110800034	-0.8111524315	-0.4415918983	0.3557090636	1.801346546	-0.1108935896	-0.705726181	-0.8671194861
0.598093088	-1.176744939	-0.7935198279	-0.5989888534	-1.023840827	-0.6515117609	0.6779206806	0.04131730604	-1.528259954	-0.9319650454	-1.830345977	1.435027171	-0.7045202493	0.2044530696	-0.5581295335	-0.399917311	0.6023549868	-0.323100054	-0.08310980507	0.02523585222	0.8327654533	0.473133841	-0.9001144014	-0.05199253415	0.9301295234	1.008710412	-1.513942971	-0.2516420917	-0.5982335949	-0.2225717734	0.4107336525	0.1309278609	-0.07705401467	0.4849357316	1.686992445	0.7688827947	0.1974357122	-0.6075033361	-0.769780267	-0.8730442235	-0.08818326574	-0.6872754812	-0.6363088309	-1.22610868	-1.413178198	-1.025626066	1.00409713	-0.4106464133	-0.8897600004	0.618913942	-0.1704491427	2.164253468	-0.6791310815	0.2445020333	1.923519363	0.7077001034	0.9762786678	-0.8212411599	0.4127837066	0.434761044	0.1228192804	0.7489641325	-0.4107035444	-0.02636041637	0.1069461125	-0.3549084087	0.9193946136	-0.7451311698	0.7847264601	0.475542112	-0.141999809	-2.268637868	-1.001240561	0.2645437713	-0.8106434005	0.05934347141	-1.265448405	1.703642179	0.7343465076	-0.6943007824	0.6112421294	-1.485300674	-0.492578596	-1.035872457	0.5729628176	0.3537946093	1.710734666	0.4743067715	0.6688630854	-0.2829788218	-0.5416852748	0.3320471752	-0.7312522661	-0.6016326919	1.043711127	-2.081444478	-0.1679238615	0.2903395379	0.4718379398	1.153374889	-0.6520327699	-0.2199960093	-0.8330166411	-0.05699858913	-0.2830146492	-0.7296138277	-1.905912846	0.6934885791	-0.5780196426	-0.004965626833	-0.6540424587	-0.922463765	-0.09810467694	0.008508473501	-0.6699471551	-1.079190499	-1.105522201	0.3451320975	-0.2651445825	-0.09614418982	-0.8073655159	0.4864896028	0.6549419595	-0.7548600805	-0.2268315064
0.6612962124	-1.248480752	-0.2432497345	-0.9404039415	-0.7068864369	-0.7875395243	1.160861063	0.5704204609	-1.380371842	-0.9164215656	1.521711743	-0.2517048628	-0.5411001704	-0.787066767	0.0141497868	-0.3735227105	0.09965029551	-0.04599685978	-0.2598626207	0.006037322688	0.7798310921	-1.286025157	-0.5719986564	-0.2699379563	-0.6376403437	0.3317233327	0.4859837014	0.3252720251	-0.1949253306	-0.4147834381	0.03727017087	0.7553880853	-0.7777061518	0.8739876311	0.2300322242	1.612463318	0.1863097666	-0.5860598375	-1.261645798	-1.428857761	-1.09535546	-0.9435437019	-1.678694986	-1.124363111	-1.974274765	0.1947279521	1.059259444	-0.2011229534	-1.171377298	-0.3653641932	-0.3773896917	0.4050074164	-1.274077558	-0.7795742642	0.6402815531	-1.210137992	-0.4737847531	-0.8126753451	1.155166339	-0.2723250567	1.627956068	2.626030374	-0.7942507601	-0.9709395719	0.5114133881	-0.4708137546	-0.3879497792	-0.9126646988	0.1274701252	-0.4982280603	-0.3722806936	-0.6718317298	-0.7324057504	0.1864273511	-1.306911564	-1.270100588	0.7132238761	0.8807028827	-0.2410363117	-0.02225769428	1.795234566	-0.3880613492	0.3500837175	2.208503464	0.646458899	0.0833624535	1.132905889	0.3192973017	1.094168489	-0.1277236513	0.8908731822	-1.400641739	-0.5179407536	-0.1432949784	0.4580017833	-2.079531913	-0.6775163283	0.9084051448	-0.3273516272	0.4747214353	-0.8789920478	0.07881727511	-0.7709872295	1.116555146	-0.1690380237	-0.3392140429	-1.316025766	0.4153918072	0.1662974188	0.7607794483	-0.8074101734	0.2055609852	0.425881058	0.184889098	-0.1324621468	-1.603639556	-0.9861313656	0.422869064	-0.806240377	-0.216672658	-0.405110369	0.5811528442	0.4052528955	0.3318730692	0.4191286072
