melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123
-0.2855882723	-1.644379832	-0.5638242055	0.2766507833	1.00484227	-0.6337081824	-0.4286469789	1.52094076	0.08238606893	-0.4943792767	2.254203914	-1.120897302	1.497257093	-1.72682714	1.464430903	-0.2541296283	-2.814056525	-0.3231544475	2.200476848	0.1616767124	0.1474957749	0.4479939808	-0.6130134363	-1.088762189	0.4451801995	-1.947133428	-0.8180265512	-2.351373089	-0.8599840276	2.486824521	-0.01709550013	-1.312323393	0.4486990751	0.6818472773	2.494652387	-0.2288188374	-0.6516981002	2.06857577	1.061448156	-1.076533775	0.6322052608	0.8673536716	0.3234285384	1.349822885	0.4359139675	1.094042202	-1.93084885	-0.1542938162	-1.261171577	0.1990212678	-0.6661211626	-1.299413157	-1.297930689	-1.630288394	0.3772770859	-4.29946156	-0.658467517	-0.1260361255	-4.034278862	-3.205932195	-1.650547194	0.9602263863	-0.381518485	-1.485727061	2.448796005	-1.419845104	-0.6347624933	0.5017631083	-0.3127534055	-1.349586065	-1.277074339	0.6273092116	-2.381626872	-1.855025582	2.697460435	-2.101769142	0.4797832586	-1.876385124	0.5830383911	1.005146053	-1.073763994	7.412867587	2.238017833	-3.274757768	0.4292780082	0.2510054381	0.2566050217	3.950915597	3.081001143	0.08193425973	0.2385945912	-0.3513200717	2.383355332	-1.023920634	1.088933424	0.04174368824	1.500256761	-0.1681672502	1.035756541	1.617623535	-0.930374724	1.119879203	2.535256245	1.048518597	1.306183413	0.5112200458	2.329466438	2.654311861	0.9796045456	0.2128232044	-3.159883113	0.2129987461	-1.171969423	-0.3404636878	1.765240264	-1.941778417	-1.024787541	-0.416141502	1.482550465	0.5422772279	-2.682505617	1.593001413	-0.1781436426	0.5051636524
-0.03601699489	0.9972201563	-1.018961278	1.394876334	0.2708422255	-0.154428041	-0.6784549662	-0.9929857887	2.090505104	-1.349210562	-0.1831864922	0.156414985	1.207492984	-1.089548951	1.554353147	0.5210486523	-1.754646304	0.6705043074	0.1495127169	-0.01637400873	1.029181538	0.1683923563	-0.2814247187	0.4090845146	0.262031411	-1.183803219	0.662905559	-1.008839898	-0.4368268306	1.180034365	0.7526204629	-1.32367297	1.834220894	-1.654614837	1.61474694	1.076392803	-0.8191180535	-0.8597124049	-0.4498170689	0.4980391203	0.7521364575	-0.373175444	-0.4738105449	0.5375456725	0.7174318611	0.1702012046	0.2278232688	0.7415116807	0.3098463318	-0.3072034202	0.01475919479	-2.615591398	-1.434947186	-0.4724180863	1.391148995	-1.759518249	1.974540712	0.3071987175	-0.8272877052	0.05801231022	1.193474125	0.3724300483	0.7515574768	-0.0214380459	3.709968224	-0.3247591122	-0.7807312064	0.1806944127	0.9614914425	-0.2932550374	-0.02304257815	-0.1797461911	-0.621874878	-1.099908803	2.756102889	-0.8595505485	1.344019051	0.6281086375	1.670150018	2.869295386	0.2873507015	-0.08806165375	1.104123562	1.049025125	0.9754475562	-0.0537867951	2.464784926	1.094121594	1.795031628	2.093433914	0.3728660669	-0.5829876622	-1.155466328	-0.1769120113	-0.2393848807	-0.3313618311	-0.1964498144	-0.08361269544	-0.2068637852	2.133738367	0.2650705256	0.1506295974	0.9963821874	0.1815944778	0.8378852148	1.257503599	-0.4307758593	2.16220987	0.602703972	0.2426069576	-0.2529501821	1.821584231	-0.9027443443	-0.5331269393	-0.4539296178	-1.514699471	-1.27658984	-0.1088160241	-1.68428063	1.361992686	-0.1999337965	0.6436720405	0.3697857388	0.8114558739
-0.2212021628	0.1171532278	0.1425891291	0.07628825954	-0.7352294919	0.4719186622	-1.082636063	-0.6350341909	-0.08717829848	0.04156107359	-0.1336358585	-0.7054542291	0.4354359451	0.1224329803	1.05274266	-0.3890617417	-0.04058015047	1.2376629	-0.5047827756	-1.077310004	-0.8478373557	1.295193911	0.9683152765	1.127703875	-0.3086223025	-0.8058706682	0.1146019048	0.1367721743	0.8796807404	0.6179940879	0.09090260068	-0.7142873317	0.01042679417	-0.2010003955	-0.8849384487	1.233024843	-1.042161069	2.01490973	-0.3853684675	0.7164228497	-0.1662011622	0.3149877809	0.03389052323	-0.6151607225	0.55903697	1.183185564	1.983938569	1.606194142	0.03427843217	0.06928531514	-0.05059890341	0.8884831735	0.922371822	1.67964387	1.28835214	1.075876987	-0.5480288257	0.1283017326	0.3517290209	0.001148415317	0.6498292491	1.569690835	1.433913952	1.028281958	3.271438411	1.212023998	1.328185434	-1.249522632	0.2591503756	-0.7874599489	0.6357297055	-0.5160435196	-2.285455909	-0.3906855581	1.463719875	-0.4416012526	-0.1436081048	0.03117525641	1.233002734	0.2498329722	-0.4694197079	-1.174037126	-1.351639035	0.1472551484	1.156807652	-0.763629469	0.2547132371	-0.9252642372	0.9197375581	-0.6214020728	-0.232767355	0.3663627319	-0.9403347749	0.113634664	0.7094381099	-1.112853932	-1.35513444	-0.7097128741	0.2549403618	0.3338797429	1.451294369	1.192277481	1.502695119	0.08422481977	1.390455285	0.554910545	0.309666945	1.303091408	-0.6900835588	-0.2906905339	0.125404899	-1.504377642	0.309491001	-0.4759153028	-0.2779904142	-0.1019134001	-0.9178639571	-0.00231481048	0.09820028653	1.292530401	-0.8870855097	-0.04438966669	0.6883104937	0.1472747367
-0.1123149271	-0.1968773233	0.05441421831	0.594853926	0.676018757	-0.7414814261	-0.6532661363	1.447359756	0.1228260299	1.796480893	-0.3501196502	-0.3212383284	0.455144019	1.467274295	0.3855360256	-0.4334452107	-0.3866290938	-1.044585421	-0.1375086321	0.02372388223	-0.4674884524	-0.8113622881	0.0763872344	-1.192441819	-0.7789044901	-1.037086564	0.2476969275	-0.2568868298	-1.750794804	0.4535214092	0.3541459806	-0.02868944964	0.1539557391	1.41122131	0.4323906057	0.6488074866	-0.816133848	-0.6950929671	-0.6297228986	0.02619052033	-1.33458367	-0.4045472917	-0.3208649562	-0.2237639583	1.418141057	-0.8253189776	-0.05910473466	-0.3779315647	-0.4730651261	-0.3122482472	-0.3163396697	1.674726687	0.5001166862	0.5763710592	0.7105006063	0.9039648767	-1.145670564	0.3062042973	1.422452651	0.8822214689	2.113983915	-1.587944001	1.261505844	0.04357951406	1.728057932	0.9460037835	-0.1484646378	-1.19174364	1.020030013	-0.1390145924	0.4358375617	1.224810366	1.4002897	-0.5344226926	0.7715260094	-0.8535013072	0.001932591382	-0.2136472378	1.566788364	-0.01678553787	-0.8131853773	-0.178964817	0.05216989772	1.27627092	0.2041281863	-0.1007913921	1.774337742	-0.1170512134	0.9638750111	1.238183132	1.192843482	-1.929343843	-0.2663045826	-0.9521436427	-1.11542071	0.4396702752	0.4638025954	-0.05176580632	0.8483951923	0.5451222457	1.037816606	-0.2597717558	1.165225967	-2.566934766	0.1479236066	-0.5354264029	1.476094278	0.2767292585	0.6325111888	-1.030480976	0.1728215486	-0.7098956659	0.9314144534	1.361383538	-1.143524833	-0.6986559311	-1.159108491	-1.594215707	0.2252491423	-0.6039032656	0.5187757507	0.8471910102	-0.2171777158	1.086139456
0.4455726508	0.4490281827	-0.6789029482	1.107081375	0.2088273418	-1.152696493	-0.4913884832	0.4887079973	-0.2015811264	0.9923562162	-1.712893132	-0.01896734413	0.4727786147	1.685460309	-0.1316371489	-0.4807729697	-0.1180264695	-0.04798730392	0.4744933275	1.003103186	-0.5852006391	-0.3789623518	0.08622355897	-1.576072828	-1.880875002	-0.9883505935	1.231494555	-0.8558477623	0.2625609712	0.5643509168	0.04305670162	-0.1967981804	-2.509792783	-0.2864585681	1.537800228	1.553218002	-1.597031645	-0.2817718377	-0.2612022686	0.1127666983	-1.20229973	-0.5408621691	-0.8002698784	-0.4185260101	1.664224285	-1.195951447	0.7360393781	-1.300501396	-1.405287639	-0.412436453	0.314094671	-0.1936908931	0.9880286726	-0.3335098485	-0.1247516443	-1.431664366	-0.4135349806	-0.2250441755	3.148201221	0.3169608248	1.105105053	-0.6188108848	1.373178945	-0.8538765786	0.7253943239	-0.260419628	-0.9840497055	1.795214987	1.975744199	1.440689324	0.4053400771	-0.9804603438	1.093013027	-0.5768186566	-0.8087440433	-0.9855890994	1.880541672	-1.443034377	0.4503790382	-1.686921261	-1.094388795	0.3629858637	-0.9721659088	0.9522915162	-0.2166488947	0.7229642473	0.9745787269	0.3379225409	2.339006017	0.1590947598	0.9295802754	-2.34207965	0.2307391832	-1.629428019	-2.34654774	0.6045546285	0.7022586773	1.561813573	-0.2107806955	0.6181592918	1.182240353	-0.2646003827	-0.181282537	-1.951320611	-0.8110718929	-0.2345412575	0.88201717	0.6683129332	0.5843359657	-1.308644313	1.244883705	-0.2478167076	-0.8832736244	-1.280967216	-2.510542986	-0.526090874	0.1961439788	-1.582535577	0.2963699184	-1.529409773	0.835566708	0.691729585	0.3745964872	-0.8953928026
0.3481633708	0.7685743934	0.2266564043	1.057896658	-0.3860616568	0.02854082915	-0.660850206	-1.058640337	-0.9673845201	-0.9882996447	0.9328967196	-0.6107335926	0.2045387764	-0.4599827852	-0.35075114	-0.6988393737	-0.2445006247	1.763277997	1.198277989	-0.1862492419	1.276810612	1.512150082	0.9689643924	0.6852126166	-2.111624301	-0.4758440497	1.04167536	-0.6294070045	-0.1845378073	1.278696719	-0.9857027454	-0.5606924195	-1.533740659	-1.248296367	0.1285388988	2.441781338	-1.807626772	2.868118245	0.929350698	-0.2416156727	-0.4418676453	-0.8052541848	0.1194278089	-0.5468393812	0.8376503578	-1.113347453	0.1716056064	-2.368598372	-1.404016844	-0.2477610672	0.1078575385	0.3000043217	-0.918810901	1.217483354	-0.7471129027	-2.531876594	0.558262666	-0.1990980035	-1.401617119	-1.784436459	-1.232728698	0.7845916845	1.169755429	-0.967477521	1.410839681	-0.2925684703	0.466245504	0.5371453774	0.07583895876	0.1565695193	-0.1432570467	-0.800960444	-0.8436719602	-0.3204876814	-0.3214448664	-0.2220299057	2.065092777	-1.678726829	1.287762814	-0.567016551	1.345417529	-0.4610144228	-2.174661354	-1.566421144	-0.2393806968	0.4068658609	-0.2127851468	0.2289293048	1.186335358	-0.7748658144	1.308532848	-0.0866431743	-0.524471173	0.2364689604	0.1735858491	0.5788408865	-0.01355266479	-0.3642521071	1.230459472	0.08129481082	-0.4772333485	1.32455036	-0.8200537401	-0.8133412072	-2.429061408	0.768780488	-0.2682070501	1.410025833	-0.00515266383	-0.644812427	1.241034694	-0.9009587251	-0.8241389549	-0.3490402641	0.3891258207	1.12262061	0.1290040188	0.3910880083	1.04999781	-0.3023891424	-0.5917950548	0.3202789056	-0.1756460414	0.2511219739
-0.117180285	0.2361223485	0.868643352	0.03433158409	-0.8561531965	-1.038941428	-1.260542936	-0.03736496813	-0.7035850473	-0.2428773393	1.234703111	-1.292326701	0.3602761632	1.31253421	-0.7369507194	-0.7850757231	-0.2026936794	1.87676351	-0.1158697433	-1.622865911	-0.7864000104	-0.1915644904	0.1579245586	1.950250319	-1.73270025	-0.626754734	1.367567097	-0.2472667982	1.344864125	0.4874914886	-0.2981536002	0.7718101553	-0.2504281176	0.2955857213	-0.8637284859	1.776152599	-0.8467381692	0.6778083079	0.5003169982	1.239693727	-0.6788747212	-1.758631239	0.1973853955	-0.3224716296	0.1766422081	1.43157167	-0.229447644	-0.140236744	-1.066493129	0.08068426144	0.1597047027	0.1456332273	0.990617847	0.4452296105	0.509438281	1.140959117	-1.781647621	-0.3686661359	0.1302988198	0.458786285	-2.089800721	0.9959242296	1.954453755	-0.2994303632	1.067678771	0.6716650984	1.029728655	-2.541726061	-0.0182193229	-0.7157566491	0.7167256365	0.8620862644	-0.8720459585	0.2282160899	0.4763493766	0.5709853342	0.202323817	-0.4711681855	1.848016227	1.328757593	0.7649149397	0.3198969555	-0.4261423593	-0.7601917948	-0.4980861202	-0.4546836768	0.8224700553	-1.525957872	1.220995656	0.02832424084	-1.148339388	-0.3668434133	-0.3955146169	1.245423936	-0.283840786	-0.6418751855	0.1875945664	-1.913768406	0.8703782743	-0.400156131	0.7359902878	0.6164265501	0.359939521	-1.603607977	-1.376661347	-0.07002531572	-0.05012876133	0.8264989323	-1.030285997	-0.8185552769	0.7208139472	-1.401786472	0.5016330447	0.9688542966	1.208382152	1.346473352	0.1513438675	0.5024962956	-0.1400617805	0.4493252789	-0.2019623483	-0.7345707097	1.043581655	0.8217434112
0.3054052854	1.203376105	-1.125525105	0.8857569755	0.8281566824	-1.492237797	-0.3094760063	1.744912941	0.1734969378	1.782346122	-0.7959143981	-0.9504403571	-0.0378684015	0.2235072738	-0.3223073906	-0.2078411862	0.08114166737	-1.485928894	-0.1952224034	0.1567301627	-0.7320445137	-1.036183523	-0.7801424437	-1.446347998	-0.7448935566	-0.515047352	1.618144655	0.3194891045	-1.982234126	0.3607927211	0.1680187832	2.025823347	-0.5508716746	0.9900799369	1.925780408	2.038245973	0.3094618184	-0.8362519164	0.6277203055	0.584322111	0.07181581722	-1.078080119	-0.4569715352	0.9790233048	1.29274186	0.05955686864	0.01542402561	0.427615885	-0.4578591917	0.2590225397	0.2396639041	0.1120900864	0.1896445627	0.8853847722	1.992532136	1.492551086	-1.88650366	0.150776194	0.4467291659	1.213530631	0.6076610726	0.3542716071	1.443180414	-0.3532244312	1.461487675	1.130923997	-0.6472990764	-1.578207526	0.7556639461	-0.5716377179	0.3595931559	1.259811282	0.3587171605	1.412490939	1.938542433	0.77187034	-0.9533540697	0.1752785315	2.084495724	-0.03906499354	1.746374982	1.355900575	0.6663707309	2.00590566	-1.090845696	-0.7551125496	2.065384705	0.6370711786	0.7637917827	1.25853872	0.4096298591	-0.09030814286	-0.1919059896	2.500273268	-0.9063403954	0.119949627	0.9104975979	-1.250825314	1.76742283	1.761658386	0.6381055773	-0.9563158828	-0.0294361348	-0.7847003529	0.5936253888	-0.5504630677	-0.5802170789	2.014960367	0.7559425474	0.2023801545	0.4896508507	0.3678203459	0.1982947791	0.5461481953	-0.97893925	0.9559971689	0.6897379119	0.06202134593	0.4678989061	2.36774357	1.777792229	1.444362542	1.079019516	0.4353450053
0.5514287413	0.8082705265	-1.256869844	0.9333931506	1.247054286	-0.2121299128	-0.4652538286	1.729940263	0.6303954171	0.662622016	-0.1723162085	-1.371696119	-0.6890152766	-1.165837945	-0.622542684	0.1852895029	-0.3753662229	-0.9489935566	0.4212423078	0.4055014983	-1.603249677	-1.361252151	-0.1249087053	-1.317036979	-1.219820413	0.1331518955	1.529025597	0.136675266	-0.8776018635	0.6317479843	-0.8331117864	1.540431472	-2.485606254	0.9998069109	0.8998003315	2.337414427	-0.9161158792	-0.05413808014	-0.3798144676	-0.7129318176	-1.014297427	-0.3824444793	-0.947856371	0.7157206884	0.7216696524	-0.6752795465	1.210358911	-0.8429661158	-0.5428100854	-0.4251996581	0.07585912327	0.9186770009	1.601028578	1.425550646	0.6530124563	0.6558597839	-1.149868393	1.528343761	-0.7727877601	-0.3371919098	3.011851405	-0.5148030699	1.931454088	-1.584264353	0.01443507913	0.6125053593	-0.49691862	1.8381274	0.6445909576	-0.2270557578	-0.8373695123	-0.4874884749	-0.1478085968	1.219218207	0.9543706189	-0.1437141607	-0.8639158532	-0.7029882788	0.4926507473	-0.9507986426	-0.06182062815	-0.3556469323	-1.020851872	0.1168164005	-0.3234965762	-0.9594072624	-0.5479210858	1.106031468	0.5813611949	0.1897158347	-0.3510823936	0.4354085667	0.663874091	2.487158212	-1.743324128	-0.3272919124	-0.5662922004	-0.8478793776	0.5456934898	0.04293802175	-0.1642951132	0.2515951211	-0.8537912019	-1.019755609	1.609446545	-0.8392914375	-0.5592725694	0.6032402837	1.003654333	0.6790683162	0.4303409203	-0.3415145144	0.134118367	0.1115132277	0.135110542	0.4265874635	-0.9618104984	-0.9934597876	-0.03353080301	1.8689077	0.1495156785	0.9989855911	-0.994639694	-2.542852081
0.6106839025	0.683770851	-0.5961268596	0.765452164	-0.1957751437	-0.5391238862	-0.2528603133	0.1801246753	-0.5869383243	0.6207812355	-0.1605864883	-1.021628277	-1.392023695	1.288110856	-1.335707046	-0.2873897036	-0.4499754588	-1.047877576	0.1949102806	0.4520454825	-0.4388394275	-0.9501461229	0.1821496372	0.8828314265	-1.816637732	-0.1736644444	2.082198139	-0.2383699409	0.8787747293	0.04311635709	-2.197218613	0.1240451447	-0.7814128706	-0.3804501709	1.823237157	2.00532799	-0.9786141211	0.1981124054	1.20057907	0.3258736155	-0.3322118652	-0.473455467	-0.8220756506	-0.1778509544	-0.4043515155	-1.283493769	0.2938437458	-2.526513044	-1.081561842	-0.4322557319	-0.2265817277	-0.3621949635	-0.0886320406	-0.9311170337	0.4571692413	-0.3664577692	-1.144117582	1.826486171	0.4778223831	0.9439699604	-0.7782923516	-0.7989956051	1.678170674	-1.896625	-1.111959149	-0.8353195255	-0.1574436403	1.187809346	0.379820167	-0.5507978048	0.005830075891	-1.194627926	0.2939936441	0.07782917744	-0.708387988	-0.1979673843	0.05810309191	-1.014807099	1.054388743	-0.8376797358	-0.7120178571	-0.5514470439	-1.618320229	0.5227573326	0.1690338509	0.3031165319	1.057922191	0.1723975054	0.756407333	-0.3069240544	0.6036927846	-0.389407676	0.8769481226	0.6971016333	-2.167019839	0.5841563034	1.226374307	1.567849782	1.078646395	-0.7440681281	-0.5529815659	0.2594844287	-0.6979892521	-1.629384323	-0.7864900715	-0.2066218044	0.3134670575	-0.5201921867	0.9543772613	0.39579875	-0.417878625	0.6181260806	-0.06704079978	-0.6243736083	-0.1326347669	-1.167878517	-1.746263946	-1.172112649	-0.6785942538	1.293029698	-2.641988877	-1.062478585	-0.6455064572	-2.241439055
