melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145	melodic_146	melodic_147	melodic_148	melodic_149	melodic_150	melodic_151
-0.8504002923	-0.5705338024	-0.655253124	0.1244261613	-0.8722411001	-0.8622278936	0.974013033	-0.1676212869	-1.02196001	-0.643681122	-0.8618146745	0.3994319681	0.2547400591	-0.4396904899	-0.03406011024	0.853367575	-0.8176083148	-1.006739172	1.540171267	-1.704009027	0.04677711043	0.7639864183	-1.01956514	-0.5036844974	2.07479862	-1.712305234	0.03800645604	0.8486074472	1.392400251	-1.732480691	-0.03630739607	0.1852296692	-0.1279824785	-0.5249878433	0.8939756279	0.7048938981	0.513996932	-0.3169189322	0.6240518526	1.109011653	1.776493874	-1.931425079	0.3687044109	-1.565746359	0.6155359511	-0.3672999542	-1.159549146	-0.8762294257	-0.9839039995	-0.7800755559	0.659603862	1.271000319	-1.654952203	-1.325857084	0.07195767769	0.3790178017	0.9159262416	1.010670787	1.21356469	-2.163822716	0.3688039395	-0.634867471	0.2909022977	0.7811087291	0.6815652841	-0.7298182211	0.4353598411	-1.636484445	1.197158628	-0.03928766914	0.0779753206	1.42168724	3.512970556	0.2947777819	-0.5583161239	-1.153975783	0.5745213419	0.09221478363	1.496995503	0.5148399027	-0.1124240086	-0.1669602106	-0.4373746563	0.08343779975	0.1790664412	-0.2495110165	-1.93039409	-0.2383407416	-1.216894713	1.69856889	-0.4980594415	1.41424554	0.8587354212	1.213207548	1.295532788	1.399084254	0.2712705699	-0.4809956901	-0.3913656263	0.729215432	-0.5587631773	1.299524901	0.2129432965	0.3304892909	1.039045234	-1.470105503	-1.424862375	0.436789997	0.1478441422	1.313340222	-0.5846825558	-0.002259979617	-0.306779118	-0.6267229799	-0.3868970702	-0.1924974586	0.7109524192	-0.3694768688	-0.05057142444	1.195622562	-0.07362378775	1.197063519	-0.752038693	-0.2546061363	-0.7063582462	0.2138067037	-0.6095264346	-0.81088371	-2.144261603	0.3916693975	1.466038726	0.2442324647	-0.4218624184	-0.3412003103	-0.04698906474	-1.225512196	-1.059105885	-0.3744979149	-0.5506444466	-0.06363282566	-1.242915822	-0.6636837476	1.883083863	-1.077466647	0.3962581253	0.8102142092	-1.402097756	-0.2757991372	-0.02054065274	0.5399832311	-0.5502894076	-0.9994915159
-0.7679651874	-0.221477105	-0.6205341655	-0.08298824212	-1.051561184	-0.6328191236	1.048901233	-0.1909060169	-0.8409041636	-0.3321009651	-0.9670470927	0.4463748087	-0.65439868	-0.4207914649	0.5495273053	0.1127985815	2.268357821	0.2996638336	1.202706548	-0.2733419072	0.1478026599	0.4752850592	-1.341749996	0.4309129525	1.901314029	-0.8808177372	1.65788098	0.8488954637	1.346876419	-1.498279224	-0.07535315604	1.299675379	-0.791302128	0.3704705303	0.4897326655	-1.649416908	1.606276335	0.3111839469	1.053844754	0.244091434	1.050138893	-0.8685344614	0.5305226626	-2.302935338	0.820093631	-0.8356582609	0.8798696448	-0.8111982297	-0.6883534211	-1.191743962	-0.3363400532	-0.2030443728	-2.03780411	-0.6924231908	0.05550218075	0.8581764563	0.4184221539	0.2748358342	1.040628268	-2.043794483	0.2758743333	-1.22383804	0.1126633305	1.950791685	0.4215236637	-1.469899062	0.3831742889	-2.251423987	0.3597026325	0.3444344481	-0.00863550472	0.8717880957	0.1733666319	-0.154664691	1.28924526	-1.061958002	0.2327065165	-0.8214445277	1.444294117	-0.826560296	0.5249255521	-1.639930272	0.8288409061	-1.036641915	1.192495687	-0.2054905775	-2.357065229	-1.68620045	-1.209343216	0.8159358978	0.2926944878	0.8735736476	1.16983908	0.327842814	0.7942694253	0.573685051	-0.4091995848	-0.9632780081	-0.1619721569	0.7817548159	-1.379205868	0.7577956256	-1.404522675	-0.1828359693	0.3605412563	-1.425063846	-1.096489238	-0.2826387815	-0.6150376923	1.741095253	-2.257575659	-0.3295907215	0.1710603403	-0.7785545732	-1.068521817	-1.402457162	-0.225800296	0.6435430913	0.6802346187	0.9950094912	-0.04206796013	0.1956490651	-0.5092937348	0.1640567087	-0.8687502585	-0.6803854232	-0.950060993	-0.09964527187	-2.775627523	0.4088467881	-0.07623647099	0.689075359	-0.7900718446	-0.6574330643	-0.246116526	-0.5682833308	-0.8287714813	-0.9077385047	-0.3522254251	-0.6064814511	-0.8204235838	-0.8493001557	0.5699403195	-1.758327271	0.1720914789	-1.029242784	-0.7200694817	0.01186995146	-0.2859301263	0.5429809604	-1.355361449	-1.704693667
-0.1738016288	-0.1665494514	-0.7346587856	-0.1593671888	-1.087281948	-0.8530799016	0.5295625675	-0.1002598848	-0.6751935477	2.240394008	-0.231268482	0.8616064574	-1.123600171	-0.6870481918	0.2466295227	-0.3361576661	1.160032032	1.397728802	0.1611198674	-0.2267178166	-0.2685972355	-0.5369856403	-1.173327711	1.442657905	1.420935383	-1.063998306	-0.2127064864	0.06530174658	1.365082425	-1.440709184	-0.6492573165	1.398844162	-0.6973420518	1.597351577	-0.1675332151	-1.513651688	0.6661224164	-0.02023360584	0.4124523353	-0.7264728068	0.7560141024	-0.742994492	0.8249187414	-1.974664736	0.7319445751	-0.9468211545	0.04172363062	-1.875793622	-0.3207105749	-0.7000355471	0.06077922423	-0.2442558836	-1.231141477	0.01964964947	-0.3951955917	-0.6465646578	0.1694533107	0.0356332044	-1.321091672	-1.537596567	0.3464519633	-2.06223901	0.1594268886	-0.1314068287	1.35471316	-1.625651579	0.1014878662	-2.393159399	-0.1821934427	-0.07206922771	-0.4507288157	0.5758401609	-1.291915996	0.4575967214	1.572984794	-0.8668250355	-0.4069067362	-0.4313739509	0.6026512261	-0.4966444746	-0.1892997188	0.3528013766	0.2560091262	-0.618444894	0.6184516235	1.414045949	-2.17540076	-2.117799523	-0.360187829	1.701520371	0.2121401747	1.118963238	-0.3137048763	0.1577445733	-0.240587644	0.9251322656	-0.202109256	-0.9899731787	0.05574339105	0.9651786294	-1.628444014	-0.5976526256	-2.153103031	-0.07714160549	-0.1173010302	-0.7603432701	-0.7276738269	0.04787809875	-0.5223169133	1.855098453	-1.901078731	0.0488167658	-0.576674849	-0.04089388604	-0.3047754862	-0.4780470081	-1.33432171	0.1281289157	0.02746018554	1.071183414	-0.4998313228	-0.08675898692	-1.111151116	0.1374619871	0.1680092696	-0.7169466371	-1.255181106	0.8084725011	-2.35813476	-0.7339895253	-1.619222007	0.09267653481	-1.568238826	0.595655346	-0.7255606834	-0.764272683	-0.9866082431	-0.3537794338	-0.1718635793	0.4414768932	-0.6842537116	-1.678183959	0.01904011965	-1.480983258	-0.3239739917	0.4280011395	0.5177999843	-0.4202117864	-0.7009625694	0.2660678127	-0.02901812242	-0.8639738557
-0.2015273348	-0.1969193698	-0.668246423	0.2492204675	-0.8320867597	0.07453136061	0.341712622	-0.3161170694	-0.3875715702	1.548320733	2.11808459	0.8524359601	-1.041136503	-0.764532938	-0.3039022436	-0.6519085118	0.1972331277	0.5080411151	-0.1268617146	-0.8510209825	-0.1497673839	-1.411911935	-1.193037086	0.5868833097	1.512523649	-0.7913612325	0.0474687786	0.4792190341	1.483422757	-0.3941092962	-0.5710944981	1.009873135	1.187970692	1.634468945	-0.7223444402	-1.154032814	-0.3717564562	-0.594152622	0.2669963058	-1.506606377	-0.0290592569	0.633111281	0.6897457745	-1.164959038	0.5871657195	-1.082714057	-0.7591624577	-1.524410803	-0.336484762	-0.9900599647	0.2806716406	-0.04345784928	0.240826352	-0.04959288242	-1.128935341	-1.542107368	-0.124084065	-1.528149598	-1.371594751	-1.065428043	0.7176592336	-2.296085322	0.1590984172	-0.4105193702	-0.1048033667	-0.875349409	-0.6784665073	-1.98019482	-0.177302497	-0.3511285508	-0.867041065	1.48225766	-0.4013195669	0.8619971603	-0.03368961708	-0.5789067556	-0.01217729435	-0.1531704254	-1.430866943	-0.8970024013	-0.5014495281	1.806929216	0.8799757325	0.2820436208	0.3583651541	0.126191095	-1.787105978	-0.8121568434	0.6513071825	2.214342509	0.3983108717	0.9569530082	-0.8057747511	-1.980928538	-0.920251136	1.523769032	0.4601341877	-0.767227958	0.3013842839	-0.2416472561	-0.972164438	-0.2656479575	-1.834280375	-0.07558420385	-0.997224808	-0.6496758748	-0.2388856955	1.128953065	0.5362815572	1.856334018	-0.5019247751	0.2753036993	-1.221966973	0.005099959077	-0.8867807507	-0.1244144877	0.1362407569	-0.4633372182	-0.3257645957	0.4358438504	0.5369318599	0.08421290246	-1.125097702	-1.160973372	1.552662396	-1.478455053	-0.2095744476	1.144355093	-0.1520044571	-0.7170508808	-0.4275691119	0.4489173134	-0.3464201142	1.125900236	-0.7998113534	-0.4377412426	-1.160572896	-0.8585208204	-0.2097385801	0.9926049236	0.5548637082	0.2690523659	-0.8756499192	-1.202119755	0.1832241524	1.748860302	1.326709067	-0.7304199576	-1.306502191	-0.2370039332	0.8674443085	0.5271679009
-0.229941491	0.05097783982	-0.7512122684	-0.01961606074	-1.029722091	1.972824499	-0.1113540735	0.3592034579	-0.01491717422	0.9163832234	1.156704993	0.3906313777	-0.8452491061	-0.8919057454	-0.3363298556	-0.6838112476	-0.1391370098	0.02535558842	-0.6076496204	0.008396446141	0.006203127498	-1.698302096	-0.9531239649	0.4315966114	1.528160037	1.486387919	0.5584286225	0.3751364104	1.462264474	1.288970172	-0.8605930033	0.7325686834	1.203308895	1.052577392	-0.6904547828	-0.8674822398	-0.01841376321	0.1016362612	0.4519324189	-2.093465132	-1.016160358	-0.03189292353	0.5572244151	-0.3903616769	0.3828932568	-1.329389961	1.052416939	-2.271087119	-0.6033508012	-1.022406924	-0.2283286317	-0.06537442395	0.654554005	0.4263121551	-0.9105267188	-0.8128025962	0.2124938403	-1.565171389	-1.204832372	-0.2569593879	0.8152371565	-1.547766959	1.501403279	-0.7634689019	-2.131668695	-0.8510198461	-1.691231171	-1.644788575	-0.6992629285	-0.2231287402	-1.277050486	-0.882871556	-0.02621933074	1.919283901	1.316085627	-0.6247970555	-0.44536785	-0.13244921	-2.198407154	-1.296464213	-0.9158079446	0.2568582583	0.4470477079	0.08950556713	0.01445320603	-1.571434349	-1.390619196	-1.689922136	0.4544599433	1.7217721	1.062853022	1.728275019	-1.298602042	-0.9780468244	-1.521201652	1.356064742	0.6464056961	-1.993915362	-0.5443553072	-0.2678871905	-0.9926581251	-0.5062449251	-1.250208436	0.5834899056	-0.5785484619	-1.311605566	0.2116965411	0.4380930224	1.650545334	1.218719001	-1.029914757	0.5802472878	-1.597643788	0.236833845	-0.7206009105	-0.6020867567	-1.010864497	-0.3172243501	0.6845440464	0.6879101419	0.764794454	-0.8256470097	-0.7454964835	-0.8148025	0.0878177379	-0.6898503004	-0.955129233	0.4944247895	-0.2858752185	-0.3353400361	-0.6769164251	0.1246709739	-0.1296826182	1.228269705	-1.193360673	-0.2679713228	-0.2005998165	-1.367841535	0.3283965315	-0.2258243578	-0.9212300618	-1.504255532	-1.13832891	-0.3019703904	0.2404210577	0.170145965	1.03668403	-0.7746201328	-0.2681512119	-0.8044523361	-1.171982264	0.1779538483
-0.3872006777	0.03022190798	-0.8300099299	0.1595856629	-0.5438002765	1.024665856	-0.004206944613	0.4746451921	1.883823647	-0.09718010533	0.3845034266	0.9198057855	-0.5004554618	-0.7131616882	-0.6345426552	-0.647491126	-0.526143368	-0.1447512565	-0.5711200093	-0.6123552191	-0.1271847067	-2.05197415	-1.378232582	-0.09526080857	1.661839248	2.056723243	-0.5496263949	0.4651155769	1.336484654	2.306928691	-0.7935709944	0.5683921899	1.514525371	0.9438972172	-1.00023294	-0.08115415069	-0.9324703455	0.1795805271	0.5509410087	-2.004188652	-1.623799644	-0.3197296938	0.7729290911	0.2123520842	0.334001284	-0.9654041968	0.581554423	-1.809524809	0.1274851344	0.5515327301	0.07932963648	0.3193268246	0.4746526378	0.4349380288	-0.873118802	-2.12273847	0.09833556326	-0.9771421625	-0.7798085836	-0.1612084076	0.662528143	-0.812294869	0.5792294288	-0.2520083378	-1.1497696	-0.05762340082	0.4933458166	-1.242116051	-1.045620779	-0.2972234136	-2.456778821	-0.5677114854	-0.6799255657	1.890478007	-1.046640629	-0.07510874576	-1.037579181	-1.403184944	-1.566600069	-0.4846107402	0.4129230842	0.5027867287	-0.1563298222	0.837737603	-0.3143513595	0.4574854103	-1.104789313	-1.541606229	0.2180103636	2.003763541	0.3543342972	1.110347426	-0.7113744941	-0.5257347578	-1.613789957	1.328103032	0.6125268242	-1.685039219	-1.570048008	-0.8276800387	-0.1541389376	-0.2952290956	-1.18703529	-0.05538756201	-0.2208743631	1.323260967	-0.05682588706	-0.1134560439	0.8601413217	0.1560146929	-1.589711265	0.6402050631	-1.068071968	0.8692270493	-0.6700374884	-0.1323924888	-0.706224496	-0.08354737152	0.2480380755	0.307195384	0.8394375555	0.2068538051	-1.13682492	-0.772341789	0.2301011153	-1.770371773	-0.3111509826	0.306595153	0.1193611826	0.08070786276	-0.9855370868	0.2293859591	0.34053627	2.851628091	-1.739991378	0.2034493959	0.4757688099	-1.659099073	0.5705641778	-1.112863754	-0.6938064163	0.05366844348	0.2911713088	-1.49412864	-0.7185431701	-0.2854406379	0.4077221218	0.002966409506	-0.3752101011	-1.22653284	-0.8562314845	0.1825557196
-0.6678479408	0.3939310832	-0.6363597119	0.3132139149	0.1743343553	0.9671406653	-0.005983248983	0.160526571	1.477831238	0.2038859732	0.2844804546	0.6526362925	-1.634225902	-0.1797764955	-0.6110179726	-0.8102800017	-0.8670664036	0.2057597011	-0.5290051555	0.6945740783	-0.241325297	-1.58361502	-0.4940344067	-0.2130686824	1.708906003	1.557159104	1.350558957	1.27188398	0.6920633671	2.017448999	-0.7163511124	2.05588938	-0.1757411948	-0.5604954711	-0.6125895536	-0.7403210888	-1.298755552	0.2439133614	1.808250515	-1.810030269	-1.696499133	-0.1259497046	-0.1230741773	0.4273110371	0.1546372234	-1.115449526	-0.345446948	-1.239998312	-0.04540841991	2.124736096	0.5554184351	-0.1052002218	1.257549713	-0.2054833744	0.5266766204	-1.088127096	0.09430442705	-1.800542885	-0.7990238848	0.151674678	1.162800487	-0.615410528	1.446919423	0.2657921426	0.8830847448	1.004755523	-1.569992338	-1.217080958	-0.8907954838	-0.06492530895	-1.881688496	-0.2291402338	-0.475809175	-1.043174778	-0.6411872319	-0.08858163894	-0.3928559216	0.3478903362	-0.02994604768	-0.723948893	0.6484050985	0.4763273253	1.254398254	0.8516846626	-0.365341639	0.06054217013	0.03599657604	-0.6666097643	-0.4649463614	2.01476124	-0.2839739376	0.723692221	-0.1316517186	-0.595165015	-1.129230937	2.798946246	-0.1858512666	-1.279449787	-0.6864831536	0.04908100091	1.592707168	-0.6556818749	-1.575361763	-0.4585961765	-0.9709779914	-0.9967411334	-0.2684732387	-0.06829487974	0.5454329047	0.2363691619	-1.730037556	1.233772186	-0.6327346665	1.341426794	-0.261977007	0.1634523781	-0.7605692254	1.1225326	0.6696567153	0.5184835787	1.089507383	-0.4601699134	-1.630979597	0.2042714109	-0.09547178435	-2.58989302	-0.6137858153	-0.7544879794	-0.06646175115	0.3768650318	-0.7057882546	0.3819817271	1.505004929	0.7981092119	-1.490966599	-0.6882699032	0.1313054353	-1.11018544	0.4087540258	-1.077762225	-0.4121704804	-1.150336539	-0.896336754	-1.108005288	0.2574228334	-0.6506383919	-0.8300474897	-0.3937383368	-1.467972629	-1.18122219	-0.8712214962	-0.9174561889
-0.5737691624	0.4052283192	-0.5402040835	-0.147326059	2.315649547	-0.1043536992	-0.8197085836	0.3391649764	1.238402625	0.1334982419	0.2968275663	0.140283029	-0.1682816327	-0.1887955238	-1.258756562	0.1735393897	-1.344926727	-0.6005706296	-0.4948474082	0.47323395	-0.5610618804	-1.004643117	1.618983213	-0.3577836698	2.18262919	1.848094622	-0.4046737097	1.40576305	1.624907177	1.063034375	-0.7993484907	-0.499170851	0.01992797516	-1.852716059	0.05882582052	-1.014498231	-0.6155652443	-0.126808914	1.456884308	-0.7692605143	-1.225407521	0.5150841834	-0.3077203229	0.4116146681	0.5104892283	-1.03161541	0.4217661368	-1.159915602	-0.3949583	0.09027771815	0.4131327119	-0.225477147	2.21416688	-0.0257386817	1.017470704	-0.5763115716	0.3492584475	-1.216507168	-1.652768516	0.852417523	0.29731912	0.1936187924	1.383843633	-0.4287996438	-0.2551925617	1.060246891	-0.7372781884	-0.6700093053	-0.1602669462	-0.1603549755	-1.371925126	-0.8875409194	-0.3874949639	-0.3382021434	-0.2235138564	-0.04749112066	0.2030875898	1.376766914	-0.4234865437	0.8982046815	0.09356005671	-0.5263027007	-0.1280457655	1.263603653	-0.8353663562	0.1159266216	0.8484264689	-0.3761918926	-1.423077628	1.691801186	-1.005825109	1.27682141	0.3255411935	-0.3334190036	-0.6413821625	0.7738714984	-0.4859730633	-1.671168561	-1.517393745	-0.3053258817	1.385640984	0.3726623157	-0.3023359836	-0.3254009363	-1.078813273	0.09329562622	-1.307235651	1.436538314	0.436297737	0.1526333642	-0.1730614294	1.36975129	-0.5976622353	1.716162338	0.4186672943	1.415747071	-0.6216075461	0.7221233544	0.2705552971	0.9283083871	0.7609534517	1.599507855	-1.743156662	-1.177404023	-2.036812468	-1.004413356	-0.7204139409	-0.06655601914	-0.2375615653	-0.05112283175	-0.2245301772	2.015516182	0.4171005747	0.249929304	-0.2528790373	-0.7200851794	-0.3150042696	-0.3386418791	0.02976966912	-0.7268519973	0.1960624225	-1.007467041	0.6412702014	-0.05894788599	0.4797786617	-1.332629689	-1.007963279	-0.08300427032	0.4264590659	-1.633900366	0.3835897389	0.2946520159
-0.5658000045	0.2627564922	0.0399242578	-0.1637269359	2.263037816	-0.182602634	-0.9462277313	0.05464847185	1.188431992	-0.4583190217	0.3288462901	0.2545420654	2.531925143	-0.3009222931	-1.503261965	0.04993291981	-1.068596896	-1.23536664	-0.7313101533	-0.7460079594	-1.481116921	-0.5927213794	2.180214028	-0.2705007817	1.868573462	1.813901629	-0.616712866	0.8233123534	1.812306032	0.5744593567	-0.7437053113	0.4954799586	0.181603167	-1.701500027	0.321795448	-0.2119818503	-0.4223394675	-0.6096423585	0.6261319352	-0.3605003785	0.2282575858	0.9201707067	-0.1971426288	0.1616593563	0.6805888928	-0.5668000333	-0.1531356946	-0.8316925819	-0.2283916578	0.2214143485	0.6967120535	-0.4020069225	2.217472232	0.01785517737	-0.07277126336	-0.8596766321	0.2592277971	-0.5206818549	-1.463036955	0.6679547557	-0.2128112201	0.3966114539	0.5291373583	-0.9248729653	0.435151748	0.9631114756	0.2336069769	-0.3713474385	0.3154892623	0.08163176808	-0.4477326004	0.6235940452	-0.554436757	-0.2549520487	0.0262434291	-0.6655749726	0.1836035553	0.04695100972	-1.215112003	1.478921697	0.1353765309	-0.2937591673	-1.015565832	1.036594663	-1.168727976	0.3754666366	0.3713150503	-0.4317253022	-1.880212754	1.689763354	-1.686486134	0.2519975557	0.5163785692	-0.7522333806	-0.4526654567	0.7709689742	0.2689058298	-1.263889528	-1.297512026	0.3984109558	0.4089506829	0.6754976664	1.758624988	0.1563596286	1.030937146	1.600620863	-2.282561828	1.412205368	0.2293280765	-0.1101382302	0.2190373833	0.8024711662	0.03021811566	0.6905654882	-0.0692181479	1.648888952	-0.7365301244	0.5794585826	-0.9115376727	0.4321760013	0.5884586945	2.290827387	-0.7546538993	-2.566210617	-1.083732313	-0.174827287	-0.3007403113	-1.68371415	-0.1925888178	1.423480444	0.4622102941	1.791228632	-0.08762856465	-0.9328721074	0.8271438897	0.8659532722	-0.6100851836	0.5480997432	-0.4479212233	-1.236574544	-0.2705450645	-0.2985717528	-0.5480284138	1.196277333	-0.4042004125	-0.8613626349	0.07775205262	0.03761199174	1.03975906	-1.397705554	0.7191203524	0.8322393382
-0.5844502417	0.29929024	0.2409778251	0.2661898753	1.821886534	0.4602013447	-1.209873615	-0.3534617628	0.8268389255	-0.2102034428	0.5312404042	0.2965438476	1.529106483	-0.8102675951	-0.7498686122	-0.1980094254	-0.6899117325	-0.9261684423	-0.5596021723	-0.3724042762	-1.598261048	0.04739990372	2.013060337	-0.8175806158	-0.8900154219	1.90282261	0.7425667587	0.5318475194	-0.9439800542	0.3439813445	0.9180211462	0.5697095992	-0.6324306448	-1.749915889	0.8461199705	-0.1182321701	-0.5250401661	0.8259226235	0.2962443507	-0.4513969503	1.141507009	1.424459113	0.003952584708	0.4993640554	0.5798248984	-0.6748855799	-0.144923231	-0.4764849748	-0.1309715357	1.1124221	1.221990747	-0.4547589609	1.437971409	-0.04511990957	-0.6636776543	-0.2357042169	-0.1301986581	-0.9775126827	-1.384568289	0.1259779458	-0.723832821	0.6254619726	0.2115608693	1.153961682	1.635464044	1.445414054	0.02251959872	0.8096885086	0.5930745534	0.1074698203	0.4769821949	0.7914300385	0.5381750296	-1.307968188	-0.1325584108	-1.00599483	-0.1185751485	-0.6481999555	-1.576320073	0.8250089874	0.4969563769	-0.3280285292	-0.9287221353	-0.3344068502	0.08171956089	-1.281824375	0.420526754	-0.4072680826	-0.9556695269	-3.848456115	-0.4134677189	1.329524778	-0.1369081005	-0.237831323	-0.4702725179	1.066982017	-0.1672710582	-0.5894076787	0.6260304825	1.075670535	0.6690240712	-0.7026699816	2.533635046	0.3430971351	0.3287356004	1.279354859	-2.009264219	0.865080771	-0.1481463062	-1.076844317	0.1781625237	0.426411541	-0.06981968401	-0.791209233	-0.3566338196	2.054244654	0.622722211	1.766941268	-0.3661512589	-1.92449239	1.679900817	1.279473733	-0.1511302595	-1.109995032	0.1379738625	-1.785353661	-0.8541185268	0.6945382033	0.4482519297	0.9426341463	-0.01906491504	1.615283803	0.380814293	-1.306961861	0.5220048394	0.8701698973	-0.466300284	-0.2674836947	0.03593611047	-1.600144373	-0.2611821328	-0.7268167293	-1.368143338	1.402711068	0.634293256	-0.3562629865	0.7409113499	0.0002198175961	0.7020796235	-0.09126770897	0.9506142644	1.021879536
