melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082
0.2949885826	2.012160104	1.774758092	1.131924541	-0.1269171054	0.4414377429	-0.6433944543	-0.3449947831	-0.4037307932	-0.5336253552	0.1802287138	-0.4468090745	0.01968795002	0.3188091942	-0.3270354963	0.566302268	1.372214848	0.2202845768	0.4064119016	-0.1153617296	0.1121397646	-1.609313277	0.3975651907	0.6810810296	0.5731194622	1.515977713	0.825387719	0.05860180594	-0.003544138139	-0.8436567658	-0.01542314647	1.415239758	0.4033411026	0.8516662064	1.170466784	-0.4885299962	0.1469449884	-0.6320518527	-0.4986623786	-0.007726766358	-0.5660575908	-0.9298207625	-0.1677009252	1.104566925	-0.6492228436	1.142178629	-0.567357843	-0.4127898289	0.3234410016	-0.002935085312	-0.5518591822	1.13497123	1.302959841	-0.2109945046	0.5273427477	0.7467980135	0.8931343028	-0.6255963173	-0.5443262352	2.070865155	0.3227473541	1.341618307	-2.368493481	0.5713897916	-1.112758116	1.340439011	-0.407671508	-0.1141506603	-1.065420717	1.084638371	-0.9539394853	-0.7261770983	0.4888399187	-0.6232658073	-0.1728964078	0.1892970123	-0.3880372453	-0.5391732546	-1.058525508	0.7660437677	1.396608118	-0.3136251373	-0.6787425691
1.591580995	1.375814059	0.8816567115	0.144431913	-0.303949718	-0.1941275642	-0.196943918	-0.6645021043	-0.6383841499	-0.530805323	-1.214109472	0.06967721431	-0.3971111764	1.012785481	0.1807821277	0.1364955725	1.050511826	0.7918633421	0.2256340137	-0.2240246628	-0.2216748353	-0.7478659842	1.263467747	0.2767025465	1.13375398	0.2470112165	0.8811758824	0.5827544199	0.1240181601	-0.5086485946	0.1480429228	1.162831255	0.5321970247	0.6085520629	0.4991798739	-0.4094520511	-0.6675824323	-0.2583864463	0.1251411755	0.1348311382	-0.9898787622	-1.036912657	-0.01319281454	0.667712105	-0.9128373575	-0.8722914733	-0.7565963923	-0.2923893908	0.08693622761	0.1193585585	-1.189442551	-0.8916784926	1.841516171	-0.6142280848	1.015295517	0.1842997386	0.5147702063	-1.518019468	-0.759520483	1.541930674	-0.1578412657	1.33070209	-2.347863159	0.7016570149	-0.7441997975	1.193142915	0.2470225039	0.07478747514	-1.217691444	0.9967760108	-0.4528262663	-0.8102335254	0.8541361381	-0.2740471858	-0.1616171515	0.2922850445	0.3685216495	0.1846857623	-0.9455537799	-0.5037135833	1.320654585	0.1501703469	-0.5063236448
1.560358922	0.419424671	0.06228141488	-0.4261341646	0.5884197172	-0.8474271201	-0.11405813	-0.934138501	-1.155014614	-0.6411528168	-1.456631544	0.07097439209	-0.1798572551	0.2325565116	0.6913126699	-0.7204706701	0.547340564	0.8648821447	0.1577849479	-0.1258410568	-0.6586828138	-0.6094866853	1.162680474	-0.09714629377	0.1991562977	-0.1128449074	0.6597786381	0.1792201335	0.4069505081	-1.050840662	-0.3090887211	-0.1297103115	-0.6280595468	-0.1125757422	0.452959346	-0.1764160364	0.2505955562	-0.04917760503	1.516269163	-0.1434774355	-1.672685231	-1.285366009	-0.6113474564	0.4048486127	0.1208425004	-0.4349263889	-1.20310417	-0.1777632612	-0.2569756337	-0.03700902287	-0.6431729568	-1.136860761	1.664576899	0.5791814107	-0.1638204949	-0.5493961203	0.2992565569	-1.174706617	0.07675543743	0.3048226755	-0.3714034856	-0.4880575133	-0.8835526455	0.2735512415	-0.5797054041	1.896806133	1.625167594	0.6230095092	-1.02103382	0.3717080014	-0.1482811875	-0.2119114012	0.4668578327	-0.7737754951	0.05798516069	-0.6294047589	-0.0287700082	-0.4142364005	0.2477009493	-0.2068793017	-0.8429695314	0.2243181944	-0.1452150604
0.7210074107	-0.2502227271	-0.4971187155	-0.9029357356	2.164244653	-1.220921007	-0.6806117013	0.502104224	-0.8079916249	-0.5938485356	-0.8532444888	-0.3194716835	-0.3538033405	0.224489826	0.09109485965	-0.3654715067	0.1214500331	1.110766665	0.358183304	0.09943559356	-1.730157906	-0.2197053316	-0.03800651663	-0.2047290512	0.4046724728	0.5299958188	0.55681773	-0.09871770601	-0.01085015487	-0.9891773748	0.8177870909	-1.038562212	-1.540253068	0.3748026671	0.0165278225	-0.1412443569	1.50357366	0.124268313	0.2043805435	0.4157078101	-2.049900716	-1.265684645	-1.307191148	-0.4797486481	-0.2142494164	-0.3803013521	-1.044476869	-0.07527579294	-0.9057530328	0.3096465882	-0.5990759901	-0.1863697696	0.9889345714	0.7279699288	0.09452619977	0.01289211248	-0.3255625651	-0.5032955102	-0.4049938357	-1.188381869	-0.7389361029	-1.197955129	-0.9516544001	-0.8842425081	-0.2396520192	1.284828826	-0.06128932938	0.04002978735	-0.07437573274	-0.6759083647	-0.0172600812	0.1279820286	0.5213730532	-0.09998438355	0.03184055312	-0.5207641096	-0.2254292797	-1.125602156	0.6760923744	-0.5405561419	-1.224053012	0.6206006995	-1.492409777
0.194735621	-0.4046938971	-0.4656758193	-0.9039678915	1.9529386	-0.9342084723	-0.9214131945	0.6921500664	-0.5792553126	-0.3604554821	-1.217951143	-0.5005061741	-0.6432478743	0.9691071554	-0.3257511931	0.7856215969	-0.1808179482	0.8404094253	0.1619922254	-1.018745277	-1.371296855	-0.3356324242	-0.6399809046	-0.0884672346	0.9366059711	-0.1408367177	0.02128525043	-0.6576686744	0.1442686869	-0.9829718899	1.660062944	-0.8969253678	-0.5782768756	1.112144	0.3030452522	-0.6675493801	1.564211316	0.1840649605	-0.857891988	0.483051581	-1.439554073	-1.084961477	-1.141596936	0.2159293525	-0.7084200585	-0.7560925382	-1.136185403	-0.6143286143	-0.7980376691	-0.7695646568	-0.6951510768	-0.1843956728	0.2137259467	-1.066391159	0.5896105527	-1.420860249	-0.7898935414	-1.13411231	-0.4246106166	-1.418757921	-0.8338246821	-1.222447333	-1.062824054	-0.1291182095	-0.5471396104	1.579994009	-0.440754849	0.6063936722	1.088080551	-0.211635289	0.1940107357	0.8265309057	0.5263916801	0.8642864647	-0.0348642844	-0.6259514141	1.462618456	-0.9012615943	0.2597339976	-0.2689717215	-0.647243593	0.9744472822	-1.167160783
0.8771879394	0.5283122666	-0.2096710202	-0.9802752699	2.403575182	-1.455963757	-0.4179453021	0.8382615053	-0.5206103422	0.03660918406	-1.009304203	-1.77828726	-0.3591370916	0.01849077063	-0.6544232651	-0.4898760647	-0.7749683704	-0.003048411053	0.4079884327	-1.185030622	-1.05178516	-0.6177984201	-0.6024009398	-0.09499431145	1.079747014	0.05237249643	-0.4391196137	-2.088021516	0.38446164	-0.5020433674	1.241452355	-0.8756292529	-1.485691882	0.7984306851	0.1384298398	0.3106891582	2.156384465	-0.0595692044	-0.4038909863	0.1660499619	0.003974138644	-1.203452177	-1.036446336	-0.7985250411	-0.8279753626	-0.5112039428	-0.4337606868	-0.5931828557	-0.1189829585	-1.520260593	2.619953282	4.91740031	0.06459630846	-1.194000418	0.7362451681	-2.226194346	-0.2595491077	-0.3688661976	0.9015661566	-1.555643682	-0.2524581367	-0.1533946182	-1.73167402	-3.593192483	-0.01526005795	0.5418123709	-0.2054805296	-0.09997005102	0.2647814192	-0.6982182115	-0.04800565699	1.80751063	-0.5118381221	1.222923048	0.7867823145	-1.059935311	-1.540375377	0.3599838491	0.1805363081	1.472918253	-1.860112609	1.456731302	-0.07673644196
-0.8178688377	-1.094906535	-0.994268761	-0.8270490508	0.2160204366	-1.301504725	0.3122481036	1.716689816	0.4985361103	1.595591599	-0.2214795914	-0.4356261884	-0.2545656488	-0.3196995246	-0.2736560173	0.01973776784	-0.8176147174	1.049529395	1.789797629	1.062402532	-0.6153253021	0.8278919092	-0.9834510185	0.3794326603	0.8423254199	0.7761228886	0.7745797494	-1.422705723	0.7001690887	-0.7040654547	1.489078369	-0.6220060853	-0.3020095754	0.04700396778	-0.03223368319	0.07944389773	1.97308625	-0.0894523576	1.422965369	0.6283566254	-0.7590384149	-1.061875613	0.5448194212	-0.7015403919	-0.14904061	0.4058794048	-0.06494357116	0.08446309423	-0.669628134	-0.7749004596	1.375738263	-0.5954676738	-0.09981033143	0.7520606264	0.6870179068	-1.082058516	0.05963678891	1.304809324	0.1533861569	-1.173374865	0.2506798578	0.5648792912	-0.8565404458	-2.380387929	0.185682168	-0.2720604542	-0.03734761296	0.05973936754	0.5529467484	-0.4406816888	1.285840076	1.453866227	0.1717068137	0.2427174563	0.6442701587	-0.1250492874	-0.9194550523	0.04681860446	0.4909841694	-1.127274072	-0.5819028119	-0.5536363615	0.3864045165
-0.9954274609	-1.073739981	-0.7519582847	-0.4104266874	-1.116102566	1.196583214	0.4507037263	-0.1773814888	1.687834295	0.5836055773	1.05578591	-0.7042787592	0.1436566103	-1.027093295	-0.7568906508	0.42536802	-0.3055881513	0.7317350296	0.05257420032	-0.3793549671	1.267078139	0.8861108993	-0.9437319072	1.23576447	-0.63383883	0.867008597	-0.05096577041	0.5093895431	-0.4680682253	-0.8708489721	1.82044297	-0.200711115	1.272282919	0.1860130579	0.43265758	-0.7524253622	1.319730833	-0.6007568678	0.9229454705	1.042399416	-0.3584777842	-1.150495207	0.2025725732	-0.4314415797	0.3244152633	0.2230812894	-0.2118344534	-0.373866348	-0.3873712475	-0.8437106239	1.205568675	-0.1904309455	-0.4552967411	2.095966163	0.6816787447	-0.3735743532	-0.4202464925	0.822056178	-0.9473947599	0.08316732123	-1.095980056	-0.1103413422	0.7132503217	-0.6503496746	0.5259258589	-0.9710428799	-0.5490612262	-0.608126635	0.9846255071	-0.4055078881	1.128247879	1.186128865	0.6770979629	0.8727833054	-0.4062477208	-0.4400043412	-0.3798516007	0.5643062945	-0.4176733011	0.5388411845	0.4027069572	-1.434204091	-0.02345071032
-1.101214845	-0.6662442774	0.7829018975	1.754093871	-1.103814467	1.154348751	0.5030351831	-1.062626054	0.1859366195	-0.3007516121	0.4052227098	-1.10167074	0.0787848324	-0.23741677	-0.8783034937	0.886083038	0.3746919622	0.6009379898	-0.1061146053	0.4843995634	1.551127716	-0.0341906536	0.2520324813	1.566658109	-0.1863456409	0.5662232471	-1.555647871	0.9466889302	-0.5105123703	-0.5032804906	1.714883248	0.6318517925	-0.1161785103	-0.5914228161	0.5655053467	-0.6520103109	0.8763646713	-0.2500559665	-0.5072371926	0.8155253469	-0.6376560271	-1.232504454	-0.2028315377	0.3396947499	0.2576244647	0.4461988966	0.2465769865	-0.696733994	-0.8486048606	-0.314642295	0.4454161762	0.4234252308	-0.5484204442	1.76338973	0.9449534678	0.4677551981	0.05010099286	0.2800375252	-0.1318787791	1.054425497	-1.68749701	-2.215934837	1.007568958	0.2506505472	0.1410791023	-0.6144890972	-0.2630553148	-0.1824836716	-1.753856175	0.02703560869	1.424552885	1.218476637	0.8303474929	1.383481877	-0.2120084258	0.2266245914	1.23984239	0.2301924068	-0.3117783631	1.663161714	-0.1434932564	-1.124622701	-1.253908316
-1.23068183	-0.7176315797	-0.7135805672	0.4531953864	-1.321364082	1.333355998	0.5222622289	-0.9776077021	0.3181646245	0.1629426219	0.4001953389	-0.9723364892	-0.1648846824	-1.174403175	-0.2503929752	0.1010594232	0.1908286555	0.9437607916	0.001117452935	-0.02936984256	1.389929769	-0.2164775555	0.5861534737	1.34466877	-1.425750639	0.6705314123	-1.758816624	-0.02010907646	-0.4957841199	0.1864374997	0.1391991719	0.6409200312	0.126856893	-0.208294413	-0.1515993388	-0.6611324449	-0.07789133258	0.5321808814	0.02742038888	-0.5937888872	-0.7300405855	-0.6703571986	-0.7660880516	-0.478338652	0.433774511	0.02494333986	0.05774490961	-0.4530667161	-1.0748051	-1.022051161	0.610007554	0.8229736681	-0.9167541036	1.863055959	0.4653931769	1.293904336	0.06462442053	-0.215751574	-0.3861628055	0.3321669902	-1.072497495	-2.285540178	1.298652406	0.2505365901	0.5346325366	-0.3806980062	-0.5102251306	-0.4484354328	-0.9117912569	-0.3500383333	1.398040927	1.130220651	0.1379072352	1.376036382	0.4264343372	-0.2842752459	-0.2578150734	-0.04297235309	-0.5042733738	1.659846766	-0.9559085446	-1.068831889	-0.9048435956
