melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100
0.05515969473	-1.946559625	-0.8538309925	-0.6444386457	-0.4134581054	1.733222325	0.8727336976	-0.7215832778	-2.411529392	1.116407177	-1.409841898	-1.187914479	-1.859472294	-0.24256028	-1.104860176	0.9398164074	0.8202824558	-0.4647201273	0.7129252076	1.822740861	-0.4427921843	-2.616276447	-1.081448069	-0.6245632325	-0.5755317967	-0.07758530713	1.439700078	-0.5337143451	0.1608536157	-0.6193371371	0.2685272313	0.0555024411	-0.3617590839	-1.112570165	-1.040869534	-1.823560156	-0.8611799224	2.002418097	-4.028468268	-1.673184628	-0.2284027792	-0.4734897162	0.09083002057	-2.636408687	0.1373318078	0.6318262201	0.589996506	-0.9357778625	-3.167510763	1.54238265	1.651765303	-0.6903427959	0.6082559403	-1.303518041	-2.340362699	-1.168090364	-1.016269607	0.02376272635	-0.3682477879	1.162800022	-1.439360071	-1.09408711	0.4717172357	-0.2416698113	-0.09438023242	-0.1313679245	-1.442481982	2.370768022	-0.687617973	0.1769506643	-0.4846579736	-0.2951605415	2.01151941	0.3002981443	0.1668625355	-0.0241798219	0.5621555179	-1.412717161	1.068922861	-0.6639375186	0.3361012404	-0.4814182151	1.463679538	0.9098191845	-0.1260792752	0.2199026381	-0.4285570853	-0.3110269401	-0.08243774567	1.661714286	-0.7948284162	-0.3826693162	-1.733368443	-1.943035661	0.9075389299	0.8088684647	-2.060951899	-1.575365037	1.43970877	0.7107923204	0.7679328331
-0.4928222771	-2.090620942	0.04975881668	-0.4316652854	-0.7588662169	0.5345912706	-0.4773426295	-0.7898141577	-3.404161528	0.8871486899	-1.663144661	1.309140298	-1.635140267	-0.8453737881	-1.255518033	1.577049883	1.213538294	-0.0652193622	0.4007044274	1.574598031	0.08809260587	-2.122849966	0.1449933956	0.8151541791	0.01892904842	-0.0122525586	0.2948030756	-0.6511311519	-0.1899427654	-1.748629097	-0.761646187	-0.5025993557	-0.4407046289	-1.629938531	-1.435770089	-0.7025510439	-0.2268287231	0.6336946505	-2.969938063	-1.356863707	0.8840480851	-1.401581037	-0.2113055706	-2.32273017	0.5473728387	0.4205495798	0.945517307	-0.688993092	-2.353561406	1.455238557	0.1912938141	-0.629412771	-0.03320287849	-1.448624433	-1.52224389	-1.057426357	-1.293144538	0.5415880749	-0.2189230894	-0.4978610185	-0.5622278153	-1.247974312	0.3484495071	-0.6750838899	-1.048217496	-0.160784144	-2.37988552	1.824639665	-2.324783559	0.6655110696	0.06828305739	-0.3017177611	1.615561404	0.338589625	0.5509147013	0.3052161879	0.6383907541	-1.651929679	1.672542137	0.1303236387	0.1705356488	0.8012104271	0.7856117821	0.5490835571	-1.901471307	-1.143162389	-0.7985977889	-0.7494881942	-1.827126684	1.265901308	-0.4347754998	-1.272540471	-1.917691017	-1.3329315	0.2718804563	-0.1040806418	-0.433482223	-0.2464992106	0.01908784849	0.7792998438	0.307142614
-0.6582252856	-1.604140505	-0.8201008214	-1.849946285	-0.705568011	-1.066516541	-0.2314345816	-0.1976095213	-2.138357321	1.284615658	-0.1211831006	0.01138604651	-0.4350861733	-1.376741274	0.4390392888	0.762213525	1.635275785	-0.05717379655	0.5228976351	1.536705937	0.09445293132	-0.5854434324	-0.04415514119	-0.4817349815	0.756824842	0.7442644857	0.5517053571	0.4629983413	0.7645636748	-0.3795906658	0.6298911731	-1.811299031	1.44891494	-1.067149941	-2.074587386	1.856563322	0.8500198632	1.760247367	-0.2933156273	-1.004595108	0.768516667	0.3952270874	-0.3329011702	-1.252773209	0.5018953428	-0.1176041771	0.6206584468	1.425871362	-0.2020331284	1.442610714	0.5349836087	1.192232681	0.4662826907	0.06624450781	-0.457368838	0.384022138	-0.5635013762	1.258979212	-0.04700335796	0.5093602017	-0.9458878014	0.9731416303	3.346659651	-0.7543363045	-1.488967557	0.9531274848	-0.7361686505	1.344956155	-0.7594803194	-0.1735885903	0.3171818644	-0.4293042769	1.822387387	0.6544281431	1.195760775	0.6570873617	0.8007605788	-0.7389315481	1.763437273	-0.6862817283	-0.8244828128	-1.308752913	0.3082852615	-0.8501308759	0.1960614879	-1.310199203	0.4403599478	0.5324513937	-1.182324274	2.073490194	-0.056131057	-0.007625987156	-1.277115951	-0.1248396435	-0.07093802847	-0.9325874382	1.780834357	0.2493502826	2.405509208	-0.2846888662	0.1801925998
-0.8115488683	-1.566220213	1.045334262	-0.8589823629	-0.5058830339	-1.053192534	-1.60582565	-0.8250849671	-0.4271070149	1.575104725	0.8031441171	1.076319122	-0.2270421119	-1.447045658	0.636501649	0.5094635778	1.470507621	0.2520288624	1.189014896	0.9444021522	1.626511452	-0.4601331123	1.937924012	1.249004291	0.7482567896	1.494675274	-0.3761453296	0.4115880213	0.5169657023	1.703282627	0.9849473267	-1.03566585	1.613682653	-1.449196593	-0.7410880265	1.74661067	1.830573357	-0.07557758353	0.4743014205	-0.9064662731	0.4246611441	0.8323382096	-0.2837719865	-1.344282733	0.6510875044	-1.007947406	0.9418414426	0.7422631092	1.156206758	0.7632434357	0.962819475	1.809582026	0.7304137561	1.99268097	-0.2999461954	1.185819406	-0.027362749	0.7779172748	1.252471899	1.335104509	-0.5431490324	2.09075614	0.5919456567	-1.35221332	-1.982172545	1.205506627	0.3721906576	0.5293406951	-0.3023043361	1.109971207	-0.09660260109	0.9646681142	-0.222556439	-0.3326765345	0.7615935633	-1.644363653	0.1194232117	-0.1068223709	-0.001877028883	0.1513513461	-0.8221228533	-0.5218981926	0.454853634	-0.4207421524	0.08962215904	-1.350169551	0.06123485945	0.6070712111	-0.9026814308	0.9481363972	-1.097113977	-0.7657477661	-1.188061575	-0.1572921798	-0.3478252045	-0.6992909452	0.160195795	-0.7411506639	2.13433456	0.3715965101	0.4242321984
0.4978353679	-1.961621657	1.029819484	0.4899003417	-0.7547282145	-0.9672982304	-1.441433206	-0.866406195	-0.1404207812	1.479006054	1.608159568	1.084596667	-0.1438409482	-1.768963014	-0.1025585038	0.3100191536	1.101388333	0.5822992596	1.413429481	0.5990259187	0.2431904995	-0.3674515387	2.791669453	1.479476283	0.9669476448	-2.072708171	-1.82455534	-0.1148070898	0.2066218101	1.179535117	0.4941950106	-0.3981865904	-0.3586514547	-1.205047079	-0.00713136178	1.212500244	2.566450684	-0.9066160893	0.4372625268	-0.8946514772	-0.5903261297	0.6592648056	-0.8001236902	-0.6872793164	1.625875522	-1.095920223	1.084937723	0.7647167384	1.534275198	1.146193667	-0.5944912872	2.28957689	0.2918147731	2.216117287	-0.3332257317	1.350007824	-1.107824643	0.671937514	0.4110031854	-0.2536451835	0.2840462994	2.223418732	-0.4904773168	0.09199053213	-1.431614013	0.5097003946	1.0882578	1.301937019	1.139295814	1.638054823	0.009224078988	1.449320742	-0.2319345865	-0.4766686162	0.2740903184	-0.175512486	0.6194790554	-0.1200784165	-0.4250960835	0.1323987428	-0.6828940473	0.9716658733	-0.4380928511	-0.577004676	-1.283410855	-1.593796459	2.565409943	-0.4574912399	-1.126346341	0.5216434975	-1.221251061	-0.3501629994	-1.341902672	0.05626966684	0.288528048	0.8407106426	0.8829782513	0.01425288928	0.2000007501	0.6560558717	-0.5467079081
0.4784142551	-1.166780238	1.759384209	0.7789652369	-0.7289630257	-0.5088131212	-0.3278274194	-0.08894802816	0.1448814628	1.647036825	1.237039722	-0.2432868524	0.5332815429	-1.378519123	0.1280604793	-0.5758106664	1.416041041	0.2354344654	1.609410059	0.4654216032	-1.240261956	0.17012464	1.03819277	-0.4658753184	1.017812454	-1.750544281	-1.312079979	-0.4744980548	0.9317461478	1.711603105	0.8494574684	-1.002860815	-1.28598794	-0.1746928671	1.160757679	2.519060164	0.7575695385	-0.9963184181	1.030035396	-0.2244102104	-1.435750268	1.796483448	0.3018933127	-0.04567760353	1.801914438	1.802366785	0.628698863	0.8638424911	1.562444363	0.981162914	-0.8313021057	2.256779106	0.2022700865	2.036429709	0.2814791091	0.6969732561	-0.890378999	0.9188890686	0.1779625189	0.5945193981	-0.2584156312	1.402892343	1.247718491	0.9461344662	-0.7448762227	0.1445530299	2.055196211	2.246667269	0.8552029952	-0.9055910133	0.08726512831	-0.1572662035	0.009864783203	-0.244579726	0.476210161	0.8662923788	0.7816526125	0.5940973831	-0.3101743753	0.301938578	-0.02214023122	-1.040628278	-0.03328081732	-0.8059942869	0.735375781	-0.9614336374	1.428452714	-0.3361672459	1.457272433	0.3186857423	-1.215169124	0.9018915658	-0.649004442	0.4734945622	1.228649384	0.1831566924	1.223349449	-0.7087095384	2.010002234	1.842674548	1.122037202
0.649393593	-1.005775305	0.1887033634	1.534643967	-0.6057364069	-0.2581272488	0.5634114236	-0.6973832276	0.4134484424	2.22995364	-0.07704932265	-0.930367168	1.217013236	-0.5830336621	-0.04384560992	0.6204664389	1.073347489	0.5408742913	1.651399569	1.207910288	-0.838702694	0.7374752442	1.574602045	-1.193419677	1.798572216	-0.252852135	0.5106733409	-1.048640449	0.7062083626	0.6817095848	0.9112427042	-0.1289173355	-1.128499729	-0.7848402235	1.147544023	1.170929199	-0.09712923558	-1.39701778	0.3893408293	-0.07191125403	-0.4819895603	1.087927206	1.097396356	-0.6846877254	1.238712662	1.099399503	0.8243884953	0.1436641818	1.547666048	1.467569187	-0.5842148484	2.128012276	0.4412812316	1.517799591	0.2888251818	-0.1193436377	-0.4760830524	0.351768654	0.9283035269	2.499361868	-0.6375820166	-0.2694491676	-0.2830076723	0.8835368587	0.3813372583	0.2553023132	1.761005212	2.011146794	0.6078689543	-0.4952947098	-1.02759684	0.5119274264	-0.1207265639	0.6932031852	0.02182841265	-0.4973643281	0.01744695282	0.8960601164	-0.9116448501	0.125616385	1.398339492	-0.1408106593	1.368567364	1.271654809	1.040823878	0.4266701437	1.293709508	0.6757498712	1.523002517	-0.3284199795	-0.8012834317	0.6877697224	-0.263388543	-0.6147419765	-0.3181922801	0.03584201434	-0.9462938976	-1.28928573	1.322458187	-0.3123735567	1.75390053
2.334607436	-1.429016189	-0.9460943035	0.3105395679	-0.5191207065	0.6526715473	0.05265702411	-0.9447301941	0.5741644495	2.081615519	-0.2189810845	-0.6469880827	1.674915864	-0.5418673231	-0.1823411889	0.6589195381	0.900751931	0.8836937347	1.645325274	0.6840883638	-0.6435475135	0.6812799207	0.9976379458	-0.4854348468	1.356733979	-0.4136244018	0.971979361	-0.1656079166	0.617251353	0.2248582197	0.7558017138	1.018070067	-0.9281795739	-0.4380584602	0.5921994102	-0.3001464984	0.5294574314	-0.7165709203	-1.474192268	-0.1942366282	0.7449618541	-0.01196909613	0.8318024761	-0.6496512487	1.369723468	1.408989725	0.7842251435	-0.6339409899	1.089425258	1.274447222	1.385754799	1.467011209	-0.00428265167	-0.2474167495	0.6088935816	-0.03286935889	-1.130193123	-0.3206838008	1.273498876	1.866232425	-0.1779199172	-1.162508544	-1.606568565	0.7491316114	-0.3208964557	-0.4012467714	0.5392618054	1.307329386	-0.7263749089	-0.7933532993	-0.9554422189	0.5804643651	-0.63980528	-0.4442332056	-0.2525578994	0.7220618121	0.04881121727	1.089653771	-0.9119517038	-0.2539164269	1.030651873	1.190237841	-0.880895232	2.211198768	-1.434036369	1.160372751	0.9462881374	0.03555050694	-0.7263501546	-0.489326498	0.05777878784	-1.69280496	-0.3846730921	-0.1197671607	-0.3768823031	0.3029129701	-0.7075376759	-0.6866637099	-0.5333793314	0.09218169075	-2.016139482
-0.4746532197	-0.9503900098	-1.206393439	-1.297994579	-0.2869299147	0.4051165635	-0.03183824934	-0.4997060822	1.157772143	1.895933019	-0.4018420564	-0.6822570684	1.40893267	-0.3972783001	-0.2592749728	0.02880102501	1.486129223	0.1981490593	1.604029704	0.4544234528	-1.485236111	0.920211667	-0.9126248094	0.5562566215	1.159949965	-0.3770001188	-0.1727498381	0.3212803113	1.676894269	0.48770012	0.8604945799	1.126612119	-0.6844270232	-0.3692771675	0.2052197457	-0.02680718911	0.0383387828	1.333874587	-0.9558920814	0.005305289292	1.105790729	0.5834613717	1.148898036	0.4061664773	1.438021526	2.01042698	0.5725643016	-0.03642020612	0.6741302106	0.6432571334	0.8752613243	0.4001293648	-0.03004024739	-1.663576215	0.7082460557	0.8391909125	-1.45717849	-0.02236541797	0.7676856952	0.9373860668	0.746547907	-0.8771120817	2.155816643	1.656344704	-0.01965748256	-0.7453337924	1.28043011	1.519133186	-2.010297865	-0.4688563235	0.3848056374	-1.554664058	-0.5718910479	-0.4493184161	0.3994178541	1.161845157	0.09433523868	1.461842502	0.5357520152	0.6292984542	-0.8230922552	-1.437435151	-0.2362514614	1.041888199	-0.7810845065	-0.3953468531	2.141463009	0.678516513	0.3401800915	0.4805052081	0.03620388693	-1.829890426	-0.163811596	0.9451303777	0.990055443	0.4062521324	2.126860663	0.7676911833	-0.1063084331	1.009335097	-1.029142442
-0.9644349413	-0.9130803555	-0.2547057636	-1.053965215	-0.2805281536	-0.731275535	-0.4585577854	-1.002285133	0.6355737642	2.10536797	-1.224174006	1.829526816	0.4847512059	-1.001497795	0.6463802827	1.756989164	1.681510293	-1.406415767	0.805087944	0.6036701525	0.6127321249	0.6090246716	-0.211865427	0.5134754175	-0.8361990089	1.601003087	2.022724481	0.7978806414	0.9661696084	0.486220716	1.08244408	-0.2149652066	1.318292425	-0.9295047657	-0.8713002036	-0.4774186636	0.5651981219	0.0988331477	0.157266736	0.4445040903	1.548437488	0.656416856	1.241890085	0.3287184438	0.2411467547	-1.158173641	0.8380422004	-0.6473398258	0.972376999	0.4617724305	0.288210768	0.09338607054	0.2451831305	-2.017345013	0.7601639732	0.7996042884	0.634034311	-0.07892796037	-1.106047006	1.602904666	0.2387674237	-0.9288303476	0.5501910404	1.240809449	-1.125418865	0.8095005452	0.9302649274	-0.4687041367	-1.061855335	0.3530338351	-0.3388426058	0.3970305837	-0.9101404249	0.2719807813	0.9260187717	-1.621441738	-0.3262672821	1.25568665	0.9003599011	1.36869879	-0.3547695178	-0.4579925184	0.6403488168	0.489191878	2.303000914	-0.3841446996	-0.6799090014	-0.2470693471	-0.8450381421	0.144368046	-1.200240291	-1.342160675	-0.2143003677	0.2870626045	-0.7206181945	1.274026695	0.3069883302	0.9364274321	-1.197366109	0.7579303266	-0.1892314475
