melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073
-0.3444893411	-3.609797513	-1.394792271	0.5873646075	0.3345590447	-0.6147208274	-2.592344155	2.337322992	1.6481307	-0.2467109702	-1.452438915	1.550271536	0.3627277471	3.421988688	2.204109457	1.328331317	0.04305662812	-0.03480612559	-2.176361858	0.01928713473	0.132740629	-1.146493279	0.9315692859	-0.4609787698	1.948067493	0.8900988122	-2.560476625	3.048205889	-0.7890003305	0.44930098	1.445465348	-0.03392518545	0.03624321309	-0.268149329	2.086074367	-1.301348155	2.662978814	1.619962752	-2.981530122	-3.19006035	-0.7493152844	-1.327769866	-1.743507733	-0.4149015029	-0.4292961272	-0.8823292443	-0.4022598451	1.10924294	-0.6573625277	-1.612245017	0.3910043946	-0.38133832	0.3990768565	-2.069808836	-0.4597203346	-1.146519696	1.339639735	1.249319019	1.13963779	0.270528267	1.372255709	0.2865569241	2.121649198	-0.05874623953	1.091209247	0.1096882896	0.4848987994	-1.2783655	-0.07554264096	0.9389839715	8.02907153	-0.4648010627	0.8055916937	-0.2228931524
-0.3629785108	-2.089921672	-0.8028148545	0.1026268706	0.5150021221	-0.3863738758	-1.145722307	-0.2155860235	1.484826987	-1.530905685	-1.949800561	2.176435916	-0.09792665534	2.860687404	1.883169752	1.018168065	0.26391797	0.5648964028	-2.053400816	-0.04047200542	0.7140734809	-1.142946261	1.02286467	-0.2908168935	1.374782762	-0.6438266877	-2.020738627	2.668847986	-2.451794502	0.7656836254	1.162346137	-1.156585456	1.466969634	0.6351079765	1.22977882	0.7261346062	2.64582241	0.9953407316	-0.6780671532	-1.788253225	-0.5270250516	-0.07258179324	-1.230050003	0.3806514324	0.3491913339	-0.5539688993	-0.5507110249	1.094888946	-0.286820616	-2.431602476	0.4529995276	-0.285953358	1.167171082	-1.034838888	-0.2457297761	0.6232926878	0.5133729527	0.6555389375	0.6164313084	-1.438966369	0.4182266824	0.7432715368	-0.3866081155	0.2761275223	-0.7193466051	-0.04742264301	-0.2782190119	-0.6277868871	0.1124701879	-0.4733426654	5.148381684	-1.36484657	0.9923601963	-0.6196046053
-0.1444470832	-1.857704598	-0.7201380845	0.5027378083	0.5521821683	0.7201878833	-0.9302259668	0.127921434	0.8820505728	-0.483935765	-0.7370549611	-0.4861463475	2.036007806	2.302917538	0.5148767287	0.7342633573	0.488182612	2.484350341	-1.490069167	0.629420395	0.7121589618	0.2904909881	0.8806391624	0.1346515053	1.502102399	-0.06572262926	-1.833568747	1.196856605	-1.042827252	0.7004854279	0.6811409395	1.02241007	0.7191210335	-0.7246972266	0.5517776495	1.868848224	1.914664313	-0.5932788859	0.3825330257	-0.5825428003	-0.9273606755	0.05316176878	0.3216849452	2.381770741	0.3164203551	0.6868275565	0.02634099228	1.135558325	-0.04723870892	-1.257618077	1.376706298	-1.86997909	-0.9467801704	0.2723530583	0.6293303663	2.078322735	-0.4640664762	0.6234975753	-0.1317324358	-1.120398809	0.6713693153	-1.4185052	0.6271377257	0.0005917585763	0.4782500615	-0.9707440191	-0.5100415342	-1.616226543	1.104100235	-0.4567048021	-0.04858348536	-0.5599439392	1.383517604	-0.1513494564
-0.01564199149	-1.714498969	-0.4313648963	0.2923759862	1.622257835	1.084832691	-0.3451732541	0.1786791471	1.120802557	1.152316231	-0.5513677318	-1.765131146	-0.474640528	2.227267417	0.7920835355	0.861388639	0.8908284061	-0.5575268277	-0.2886220176	1.271709717	0.511995363	0.7994466424	0.9362089715	0.3533549906	1.961945456	-0.1322428105	-1.719757032	0.9949751318	0.7473614791	-0.1633204606	0.8041991995	1.295196	1.323358916	-1.848206387	-2.036000826	0.7133508621	1.671228063	-0.01580480177	0.1974022377	-0.4024350907	-1.153242583	0.452899517	0.5787251727	2.598905849	-0.0918398318	-0.4772244771	0.951924799	0.4625834079	-0.56510293	-1.412719273	-0.01681261145	1.07435267	-1.999191407	0.1550954768	0.9748767155	1.970734706	-0.2122420595	1.023061674	0.3449832801	-0.9232726987	-0.4768703803	0.5766447233	-0.6467287358	-0.2593949215	-0.5570616316	-0.4664400879	-1.447740756	-0.8739151191	0.2204713696	0.08379750312	-1.851364463	-0.2472372609	1.066748848	-1.333110879
-0.09218197623	-1.683223625	-0.3096097693	-0.01845831045	1.482608915	1.613615331	0.3923296926	0.1014406167	0.926423834	1.045972346	-0.4738746754	-0.7844485705	-1.282195001	2.225836431	0.006610476041	1.600135936	0.9868963383	-1.134729049	-1.923884675	-0.929685334	0.5915908827	1.33721695	-0.3612374379	-0.312860198	1.138553634	0.799560767	-2.148918787	0.9870397465	1.568468832	-0.21785773	-0.2321180865	-1.040791188	0.7829826278	-1.76251978	-1.88272757	-0.09102548905	1.961870873	-0.07816861425	0.569474604	0.45994987	-0.4251934539	0.781433394	1.143235744	2.355539949	0.214438186	-0.2717163157	1.694218396	0.2561306094	-1.594519642	-0.7921270531	-1.088474644	0.6750861262	-1.674981248	0.4022907568	1.080476195	0.4332295673	0.205759784	0.7132735601	-1.174667143	-0.9637365567	-0.6582067095	-0.01440019588	-0.8345810398	0.06822176625	-0.8786281371	0.5761009329	-0.3938222444	-0.8845465243	-0.1965723079	-0.9067572545	-0.8031763195	-0.231217138	-0.4767543747	-0.9730215898
0.07046227616	-1.088216132	-0.2471371535	0.8072055325	0.9892951154	1.526729027	0.4791870207	0.6613017048	0.4687829081	0.8259905667	0.08530320911	-0.3617707931	-1.059507307	2.521875775	-0.5304628934	1.061694379	0.2622197448	-1.506701616	-1.196488856	0.366360758	1.298828336	2.340776641	0.35726556	0.3043728246	0.9259679765	1.391266356	-1.040026146	0.8302795552	0.01585987943	0.00783938507	1.252409238	-1.930073606	-0.1348719713	-0.6604969541	0.04616425071	0.9481884371	2.024659725	-0.5026956407	0.27785955	0.4301807905	-0.1552915864	-0.07446740571	1.548718616	1.347512907	0.7715148522	0.7096714023	1.480363384	0.6986058463	-0.3775903786	-0.6960339759	-0.7352555637	0.3988027487	-1.466711556	1.108532808	2.053876233	-0.7760304327	0.4948898411	0.6106437264	-2.196884454	1.74613384	0.3282886838	0.5143808478	1.379482088	-0.5052645978	-0.6815885102	0.3852478146	-0.1872175331	-2.644307446	0.2325458525	-0.7846708907	-0.8359511095	-0.6555617848	-0.33780683	-0.11935041
0.004951767895	-1.239512603	-0.05446672993	0.5533228736	1.344674299	0.9567244988	0.5100734387	0.8887841343	0.1174170932	1.809039148	0.1123530976	0.331006954	-0.921779849	1.840657933	-0.4122752625	0.7967292591	0.398243258	-0.938450174	-1.013161169	2.22649433	1.31976095	1.869382148	1.374358982	0.686246235	1.044481374	0.3507687129	-1.181431113	1.013494819	-0.2552099294	-0.8154569366	-0.2458133033	-1.413492741	-1.01310328	-0.7339856718	1.132149909	2.334169267	1.574566815	-1.294642175	0.1583633949	1.520006797	-1.078697717	0.6906714765	2.155807204	0.3451045608	-0.3443107948	1.118007732	1.48747278	1.326447333	-0.5781351368	0.355336446	1.784132111	1.598490742	-0.3761693562	1.648088498	2.438494143	0.6352453772	0.1173955937	0.6039031744	-0.2240454233	0.2252919153	-0.5921406887	0.3175722962	0.7715828188	0.9146038713	-0.5740924732	0.08784803104	0.02754240956	-1.482461428	1.735987436	-0.5457318814	0.5998323298	-1.373860095	1.07462113	-0.05371021145
-0.01192998224	-1.295504232	0.439403325	0.5022428161	0.9486486395	0.1288174448	0.7730361168	0.2273589333	-0.4041886119	2.031277733	0.2550625207	0.01384559702	2.095407654	1.486371483	-1.137408059	1.45902876	0.7887240299	0.5372571978	-1.493348313	1.19641369	1.242707484	1.657695091	1.80097957	-1.144963341	1.257048746	-0.7056691945	-1.341296772	-0.4761670148	-0.8220621335	-1.148208617	0.1808796197	-0.3356465533	-2.014735304	-2.569745851	0.6510779842	1.432507651	1.529801803	-1.933660067	-0.6690385156	0.4701069307	-0.7976048526	0.06431030158	1.730099023	-1.480814849	-0.3046607459	2.313053442	0.563100579	0.339915686	-0.791305693	-0.664626656	1.219623928	-0.9337954275	0.5604081427	0.8796563649	1.415728597	1.297454028	-0.8518000963	-0.2877995534	0.6116381498	0.1462385181	1.770312929	0.1548466736	1.40810605	-1.67216696	-0.6218433259	-0.5349654496	1.724312583	-0.8020580086	0.3976194898	-0.4421349702	-0.5592727324	-1.190010445	-0.9901219754	-0.2888205338
0.05101195679	-1.13594576	0.2300865317	-0.09878915328	0.05337228063	-0.02072027736	1.025957759	-1.70267431	-0.512844596	0.6262782836	-0.1392098324	-0.9019610475	1.769367614	1.084538518	-0.3914753199	0.377924315	0.4963301641	3.16365198	-1.887844485	0.9725994736	0.2211140015	0.07785681753	1.460504281	-1.197081875	1.162732596	-0.8169738281	-0.9310174273	-1.729135281	-1.36502022	0.1146378754	-0.1262205787	0.5138395616	0.0403027548	-0.3533061437	1.59623695	0.4743866279	1.251996139	-0.7705866411	-0.6648139594	1.165660827	-0.7665766526	0.5192382763	-0.4155259537	0.5143299561	-0.5092664239	2.240209805	0.3524234416	0.6250338281	0.1956459185	-0.8952739569	0.7716519604	-0.4127984388	0.950082626	0.5272244305	0.08880413521	-0.6104666898	-1.242219991	0.1995125151	-1.369368731	-1.477055341	0.08407513551	-1.291476298	1.105388058	0.2617159359	0.7561717034	0.3789847188	0.7158248948	-0.9002687539	1.667633943	-0.2955144628	-1.729504164	-1.773290501	-0.2417916707	-0.5092578269
0.068652578	0.04861433718	0.3907255621	-0.163773168	-0.738615425	-0.4647631251	-0.4949957042	0.4223755509	0.1336280209	0.5361343104	0.2449379364	-0.6066228766	-0.497248478	0.2346790677	-0.306831276	-0.2027048432	-0.2760828569	0.475130938	-0.4485546359	0.4648576154	-0.3148820845	-1.352488998	-0.5471790407	0.1949777443	0.5562931266	0.1974692767	0.1945146505	-1.474903738	0.7657804669	0.554382165	0.4905810282	2.478466225	-0.4902822382	1.800835785	0.1434404348	-0.5744740609	0.1546511427	-0.6936117791	-0.336142931	-0.3087506571	-1.1774331	0.1966376627	-1.003675515	-0.5431473196	-0.7642217994	0.7092021032	0.9956547371	0.964916239	0.759245064	0.2806418167	0.3404896872	-0.6454709961	-0.3246462278	-0.08099323797	0.4075312546	-0.9617344379	-1.657134804	0.6083797221	-0.8595333711	0.5361885872	-0.04722132486	-1.906338743	0.9620922729	1.05208949	0.2035043561	0.1205246103	-0.4646290533	-0.2931732183	1.776411969	-0.06840379504	-1.880060123	-1.045416615	0.3736391238	-0.7387231371
