melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120
-0.06023722469	0.9513561571	1.552614015	-2.954699358	-0.4913112058	-2.073007352	-3.072440224	-0.4936409358	0.6113383205	0.4665842651	-1.038055483	-3.415485846	1.37189988	-1.740048429	-1.897940871	-2.104447879	-0.5193374053	1.794868226	1.241194707	-2.3360299	0.1236242487	-1.861503496	0.4330573529	-0.01346182238	0.1350739722	-1.186220023	-2.026929821	0.1489273526	-1.987715943	0.1700528268	0.4237330097	-0.7413543249	-2.750659847	-0.5826902684	0.5567020228	-0.2740384537	-3.707997464	3.779947608	0.5838391295	-3.2660601	-1.050184262	0.1409127464	-0.901817756	0.9131670676	0.8056189386	-1.387590888	-2.627737559	0.7481144777	-3.975100365	1.700186424	-0.2974450412	-1.376775542	-2.627269835	0.5287074683	-1.29848109	-1.632282489	2.062041639	-3.344849426	1.255286883	-1.452363741	-2.020733559	-0.5465979852	0.9729928597	-0.343313748	1.439384747	-1.25900982	-0.7939678109	-1.561706708	-0.09730430781	-0.3793977052	-0.6423936375	-0.3173392706	0.4271342016	-0.6973817681	-0.5086744709	1.416425176	-2.026158767	-2.38764057	-0.1005184851	-1.437245886	1.011118454	0.6171593642	0.1652314019	0.01951156573	1.515722677	-0.4965854731	-0.4361822131	-1.280475473	0.8876851388	-1.504427656	0.7040522865	0.285486484	0.7252646619	-0.127581302	-2.515832452	-1.470022261	-0.1475687514	-2.094495225	-0.7852202408	-3.292980984	-0.205838872	0.438789811	-0.08838185978	-0.1289897246	2.766938034	0.3690256934	-0.4558600655	-0.9403971338	-1.097088442	-0.541592441	1.038387431	-0.6534925127	0.5603003614	-1.080494377	-0.7193403558	-0.8639188185	-1.356862025	1.75314259	1.541357556	1.031484358	0.5603029161
0.5379301252	0.7743013875	1.599998174	-1.399363119	-0.5654746408	-2.437306101	-2.680284746	2.339768455	0.4600762734	-0.2731935339	-1.265587665	-3.567071296	-0.9613496946	-0.7491127578	-0.7452505673	-2.709696616	0.5739997201	1.067315368	1.044974365	-2.401177546	1.137800706	-0.9371418049	-0.02113031001	0.7104336574	-0.206631831	-0.5450630375	-0.6350173853	-0.5175900438	-1.430886243	1.153514196	-0.2930030216	1.35630706	-1.222128863	0.4550518569	1.410015254	-0.1951104325	-1.753059021	5.277697586	0.4326415703	-2.68251614	-0.6836095532	0.2153526529	-0.1634498513	-0.0879405516	0.6311155239	0.2945773307	-2.586554465	0.4466652314	-3.392067259	1.553324133	0.6733797094	-0.8680374415	-2.011687159	0.492361329	-0.3372070613	-1.158211191	2.158190503	-2.856109334	-0.2789652839	-0.5438760295	-0.6897006105	-0.8729595818	-0.827907497	-0.6124079928	1.006402829	-1.457727631	-0.4085612386	-0.5159224887	-0.06664771496	0.5442939604	-0.3649439338	-0.1295425906	0.05438616013	-1.298206039	-0.08882471975	0.08284173809	-1.047503304	-1.690740541	-0.0005236944023	-1.742280531	0.4713183291	-0.4113404494	-0.3817742183	-0.4423024312	0.821568269	0.8316737184	-0.9052143003	-1.452131077	-1.25735221	-0.4640149776	0.6394950534	-0.4356806738	-1.695693988	0.02598252958	-1.404289605	-0.9334860852	-1.199555144	-1.02943843	-2.43300825	-2.822927696	-1.164609008	1.612306851	-0.209772146	-1.228325493	0.7667433349	0.1973655516	0.006079772049	1.358687264	-1.462111477	1.431349554	1.752210314	-0.8228836894	1.619748662	-0.4746047996	-0.918821265	-0.2337325074	-2.119897729	-0.1674516379	0.03233969849	0.6688248054	-0.1092211868
0.8984430437	2.97207595	-0.9361870335	-1.580592399	-0.5262171073	-1.785440802	-2.449982559	1.6891567	1.03869446	1.036458521	-1.155300126	-2.66592661	0.1582659919	-0.6008296166	1.244751552	-1.903460231	-0.8865682263	1.556573492	0.8578414432	0.20532994	2.625016149	-0.8801827589	1.046185818	-1.158078492	-1.320957486	-0.1405723965	0.5395858041	0.18907735	-1.950849929	-0.1698872667	0.1823963033	0.2244867058	-1.056334975	1.609677031	0.9974064751	0.6666577054	-0.2656152671	3.610710394	-0.1264589336	-1.444898551	0.7480851926	0.2592889004	2.037435536	-1.174152146	3.281555575	-0.05292995688	-1.447832039	0.2779259097	-2.307822301	1.059794829	0.7778394868	-0.3865052648	-0.857262533	0.6505183084	-0.2506949931	-0.2908081903	0.685396847	0.1367041964	-0.6139413842	0.9809681752	-0.2371119798	0.2821918456	-0.5845093291	-1.256778971	1.547296778	1.158527159	0.08490506243	0.6093976313	-1.058088152	-0.1707427472	0.4245199867	1.873619119	0.2082728652	-0.3871891961	1.352777019	-2.406389575	0.2822199577	0.5100469624	0.3404043824	0.313001091	1.113817999	-1.785642972	-1.086977852	1.225602715	-1.351257172	0.1196704601	-0.8113750345	-3.940446762	-2.275857807	-0.2706163242	-1.531885398	-0.5956059679	3.302628775	0.03860463564	1.651009796	0.2467142313	-1.280687265	-0.5781109966	-3.309533065	-0.8394566451	0.1410833695	1.950787128	2.126067635	3.101806938	-1.740101882	1.27244105	-1.992369117	0.9696945332	-2.608899469	0.8889519455	1.071305664	0.5767601104	-1.177153024	-1.327910849	-1.305841389	1.3177145	0.2111330129	1.69674248	-1.955131107	1.36267729	-1.630594931
-0.2012215965	0.6291121775	-0.5866357837	-0.9428663685	-0.4262749301	-0.2261219521	-2.375639878	-0.7610291731	1.477085056	-1.22643423	1.420740938	-0.2560540981	-0.05065531715	0.5183670249	3.196136355	0.3074631806	-1.273787415	0.6875481333	0.7348296584	0.3761515564	3.081244889	-0.2905052525	0.9703265066	1.632265353	0.3605865934	1.282226646	0.3529433503	0.859100155	-0.1098003136	-0.5329092766	0.7445012625	-1.15072284	-2.153883264	1.941387601	1.748383793	-0.008174607534	1.430518914	-0.7142821719	-0.9089139908	0.8000079463	1.921912221	0.3699636706	0.07543694683	-1.147622676	-0.2307369661	-0.4485772166	0.4472327728	1.114779841	-1.12026964	1.367459276	-0.7351259581	-0.6360015575	0.3146054949	-0.161522691	0.4459789666	1.290142665	0.03983438992	-0.07342315772	-0.7997913394	1.521264744	1.458880337	1.149481244	0.4292743689	-1.126162079	0.1617715136	0.3205287005	-0.1991930042	2.104438387	-0.958136888	0.9759941636	1.604579622	0.229146359	1.336134901	-0.7792692587	3.002760388	-1.146422238	2.070497755	0.8786526351	1.275229782	0.67975636	1.532525386	-0.458890338	0.03648850799	-0.3503135036	0.3085981964	1.393573182	0.4238073778	-0.5029448029	0.6884955346	0.7996176169	0.3221816678	0.6800528722	0.9060003033	1.339113789	1.151078425	2.076934852	1.863424094	0.7183787445	-0.1135083045	0.3746573344	0.5296082707	0.7378763467	1.329298813	1.192818564	-2.427244729	1.418239323	-1.316914478	1.292884409	0.8132919154	-1.000529378	0.08225203239	-2.398376582	-0.8031602264	-1.962029182	-1.869078616	0.6805650195	0.2020485441	1.821207725	0.06618409399	-0.4056832271	2.71135182
0.07523998386	-0.1901589914	0.8061875042	-0.4104162476	-0.740228326	0.04315630086	-1.931861598	1.496691655	0.3315742658	2.175839723	0.5383458467	-0.4030440237	-0.8837070374	-0.6757133019	3.114281686	1.076421438	-0.8459948273	1.622078184	0.7993398433	-1.059202686	1.311564802	-1.253812292	0.5356723983	2.37002367	-0.9714593669	1.292504519	-0.7775082967	-0.6146834224	-0.9874947594	0.6822449948	1.168359986	0.578366758	-1.317623049	-0.6185369233	0.5603768071	-1.784442259	0.9227985465	-2.579234225	-0.5545198743	-1.275583375	0.8917309778	-0.1532393444	0.7365160441	-0.03165386461	-0.3944516616	-0.8523701097	0.4643364158	0.329463681	-2.009734974	0.3272210759	-0.6573458075	-0.8382349651	-0.1554589663	1.232736874	-0.1333462901	-0.2381542298	-0.7792026647	-0.6282528822	0.1220567266	0.385416144	-0.7400102049	-1.093646224	1.374768125	-0.6659809465	-1.036288747	-0.372936811	-1.873901428	0.9452358473	-1.981066515	-0.9796747711	1.062030719	-0.8942660772	0.7135723658	-1.151154435	0.3925282142	-0.0913582848	1.365844318	0.9300290581	-0.8851570194	-0.6715775746	0.8126782475	0.5827735635	1.063602395	0.1738403748	0.4804110172	0.7788050756	-0.341958585	-1.017992372	-0.2513213317	-1.553713776	0.9408754488	-0.9852510705	-1.05996022	0.7322293319	-0.9063145269	1.898014183	-0.9003217352	0.6973636667	1.094617707	0.2375773418	0.09487345473	-0.4294594424	-0.3097245013	1.198547442	-0.2596295329	-0.2577373943	-1.679710046	0.7867471896	-0.00547319047	0.6199082202	-1.020894527	-0.6891793972	0.363258477	-0.7006640772	-0.849603839	-1.386669398	-1.114686317	1.987188983	0.826230324	-0.4758697859	0.7851465572
0.149996721	1.726322611	1.650404622	0.07231677206	-0.2898157428	-0.1603451697	-2.053839292	-0.508372278	0.3441078996	-0.6926522486	-2.106239756	-1.544618687	-2.176679735	0.1154659668	2.312118928	-0.7240376746	0.2692212712	1.662054371	0.743642874	-0.2252079883	1.77400884	-1.140811137	-0.144565796	-0.5325958117	-2.294977214	0.4468318528	0.04998588217	-0.7567402996	-0.4881675358	1.213269384	0.2414110679	2.647263023	-0.6904375533	-0.7397703061	0.1998823047	-1.323950405	0.6162865045	-0.4285122484	-0.1789273098	-0.7830782601	-0.0238038933	-0.144199741	1.213419507	-0.1863934292	0.4833925932	0.1503781155	0.1324523136	-0.01504765461	-1.610744538	0.001710476838	0.3849992087	-0.3227966988	-0.2704286618	1.29585353	0.4543625603	-1.662657332	-1.264552408	-0.7493766267	0.4486918396	0.323133264	-0.9877967703	-1.812177675	-0.8661670705	0.04014740459	-0.6516215801	0.1267277769	-0.7671684119	0.7319144546	-0.5516905776	-0.2374655563	1.273903809	-0.5424175344	-0.3109643051	-0.6931986337	0.02966406053	-1.279059064	0.5282758881	1.177598637	-0.4986230064	0.06257724472	0.2146594397	0.662368826	-0.2922461833	1.47481539	0.08752600284	0.2848957089	-0.1085976898	-2.069096261	0.08297544731	-0.3333238005	2.303766009	-0.8449052524	-0.4334230011	-0.01619406848	-0.3678881971	1.945300647	-1.588886444	-0.1319865202	0.5106140014	1.029799309	-0.5979405511	-1.323370505	0.3344075295	-2.775014077	0.5267376257	-0.4202742138	-0.1555623885	0.9728502762	-0.4614809258	1.419332291	-0.1264276819	-1.839165635	-0.2715427162	0.2932186745	-0.2796624148	-1.289398678	-1.084407238	0.001712056815	0.1165864226	-0.308928927	-0.5741139238
0.0009611390839	1.372255641	-0.04424406339	0.03667135863	-0.7145048246	-0.2885276431	-1.787060786	-0.1348198143	0.3925189157	-1.286422906	0.01351740214	-1.407129547	-1.219418782	0.6059428847	0.1109344103	-0.9584161944	1.062216739	1.420398507	0.7112578221	0.7380345632	1.04103705	-0.8078185893	-1.732025946	-0.9315707803	0.5923342384	0.525189258	1.216024563	-1.555431862	-0.3627175612	0.4523468457	-0.7599771738	0.3650871886	-0.8458728696	0.592210437	-0.01539071623	-0.4558043189	-0.232885673	-1.259011336	0.9246846257	-1.21646091	-0.05652294045	-0.6748166866	0.01691797749	-0.4387592362	-0.2201455433	-1.14185823	0.8542842157	1.804054972	-0.5091110217	-0.4606851642	0.784659208	-0.3177345132	0.4358286407	0.5762293086	1.42873631	-1.761016818	-0.3430539446	-1.791614979	1.714074012	-0.146651562	-0.6370009964	-0.4977830622	-1.363825262	-0.2779549827	0.3555829544	1.995843274	0.8250415963	-0.3097696565	0.7402962363	-0.1353759422	1.662979635	-0.01867145566	-0.2204310125	1.095679688	0.3506275538	-0.6892035256	0.5321402048	1.159100286	0.4547680183	-0.6547530075	0.4946248771	1.292552266	0.06669910276	0.7085050941	0.3477450322	1.781290055	-1.133687226	-1.714991195	-0.4967205811	-0.8675655069	1.364261959	-0.2068498763	0.1655174688	0.01528586452	0.4782208421	2.038450732	1.366991964	-0.542234337	-0.9015192691	1.046076937	-0.4494472871	-1.76796642	0.3183304046	-1.545076182	1.170531224	-0.6130569431	-0.2084741087	0.2708037723	0.02167784449	-0.3577778239	0.4979283805	-0.9441774341	-0.6770882598	-0.4926917841	0.2603634803	-0.8490199354	-1.078326512	0.333386592	-0.2249705569	-1.426526303	-0.5526343906
-0.1197046646	2.666673018	2.360518434	-0.6266501032	-0.5038506806	-1.350642494	-1.496773012	-0.8888439788	1.338655899	-0.8392834947	2.284469822	-0.04377070965	-0.1328909721	-0.1142557916	-0.3249668082	-0.6175342153	-0.7891950522	1.939774614	0.9920510161	1.621593953	0.1907456887	-0.2503683302	0.4162519866	-1.70026065	-0.4270695706	1.106891681	1.476965808	0.801187889	-1.188152356	-1.744543688	-0.6866981635	0.4614390298	-0.6149208747	0.6653463857	1.052416813	0.7895384801	-0.2078403436	-1.551382784	2.254961851	-2.515771506	0.3184169201	1.275828326	0.9959767556	-0.6373149305	-1.242009341	-0.3552881846	-0.1777797706	2.623023797	0.6371535379	-0.7891900427	-0.9102497655	0.1684601875	0.7572133012	-1.018732709	-0.3286111828	-1.432718134	-0.315981101	-1.573427507	1.738957595	-0.8962491594	-0.137452182	-0.01402432295	-0.2178709643	-0.3294382896	0.1093519047	-0.7296248072	1.395454686	-1.065667778	1.071116141	-1.558677949	1.726770674	0.06545082269	-0.5094114444	1.297344814	0.02857495917	-0.6054980191	1.156166964	1.017415897	0.6090828395	0.7469096199	-0.02494356451	-0.8081978414	-0.4311649987	-1.945378064	1.920347642	2.479467245	-2.783880061	-1.13618288	-0.03989271473	-0.7908044566	-0.406624856	-0.4124126009	0.00951102731	-0.6095568304	0.4295176124	1.1869744	2.171954068	0.03097963896	-1.819706464	1.829111497	0.357341652	-0.1287539337	0.5005251321	-1.578679298	-0.5554089479	-0.9088580899	-1.010979532	0.1792909154	-0.9945613367	-0.8024910526	-0.01545456837	-1.102230867	0.5894771972	-0.3712742695	-0.6838633489	-1.419210939	-2.237572962	0.3351093321	-0.9181846963	0.6835577174	-1.019606688
-0.9597674498	1.94975929	1.200608696	-1.191318603	-1.140884443	-0.6475904751	-1.43833124	-0.3425038811	0.1574539023	0.1715344573	0.3921455399	1.058696402	1.582578325	-0.4229332189	-0.1039999067	0.0008719247329	-0.3954802154	2.204364786	0.774223318	0.8084496781	-0.1405238749	0.08501171264	1.165892669	0.1446380383	-0.366850496	0.9085088405	1.525509014	0.9929240688	-1.718412571	-0.4006110804	0.2185196109	-1.130421869	-1.012047945	0.1700110845	1.195655046	0.2990152923	-0.6044228373	-1.372393026	1.967083457	-1.18293214	0.3217891279	0.3052201958	0.760638867	1.938639364	-0.1252280623	-0.4446498549	-1.380828047	0.7092507154	1.434679102	-0.1190137348	0.1283492201	1.396419223	1.07770866	-0.4443153036	-0.7257478557	-0.9750702819	0.257365045	-1.155640337	-1.228344302	-0.684822182	0.4028169171	-0.4368998298	0.9219875126	-0.4464283581	-1.264113214	-1.34939009	1.720655097	-0.07377409754	0.1689924752	-1.148595249	1.461064426	0.7065733446	0.4807509544	-1.075059015	0.02289401751	1.099048829	1.806540629	1.229497966	-0.2230017915	-0.9651079117	0.7292485942	-0.4495680485	-1.061109257	-1.384670518	1.590842337	1.986462136	-1.505383748	-1.324310738	-0.08470238795	0.1695595523	0.970068143	-1.675164989	2.532450656	-1.046885756	0.6332738996	1.048281629	-0.4452513459	0.5350034228	-1.05079855	1.648743331	0.8048073545	0.4971843054	-0.2231742322	0.5379906515	0.5729217989	0.02881735826	-0.3481672949	0.7887910557	-1.50117539	1.404975508	0.2060906622	0.7007897526	0.6773581169	0.07570450121	0.4179415722	-1.016367679	-1.787641286	-0.1128333776	0.6650998717	-0.4435575035	0.6083469484
-1.060308988	1.26215376	1.166457324	-0.3851744086	-0.9413673905	-0.8300142699	-1.518054396	-0.0531408986	-0.03591109661	-0.4811327516	-0.2834428206	1.049779219	-1.669500094	-0.1721684526	0.2569840322	0.6226167417	2.277877864	1.434697764	0.5706369196	0.005633157702	0.07375518282	0.5160198795	-0.01562209803	1.306202519	-1.209577985	0.3648586486	1.684654293	-0.3176842356	-1.512396842	0.3624551375	-0.30844458	1.838381958	0.04592244035	-0.9022355893	1.429192636	0.4030548997	0.1519061617	-1.135043177	1.573968059	-1.045188606	1.183685627	-1.685001715	0.6234241298	0.2714062732	1.117588347	1.334620466	-0.7977950925	-0.0821855664	1.477398258	-0.652222446	1.877308569	1.355623554	1.427817266	0.3582016231	-0.5373937419	-0.5897212376	-0.40824702	-1.271084734	-0.2841938176	-1.455905756	1.550252273	-1.246285075	0.2092054569	0.2727478327	-1.49363542	-1.33172319	2.576427001	1.606881626	-0.3686280303	0.2612100341	0.1482249752	0.3146340131	-0.2057470518	-0.6743633833	-0.03531991967	0.2432705387	1.383358226	1.380719485	-1.370018319	0.3134480072	0.635632862	0.2404242819	0.5512253192	-0.7668950592	0.6736323406	1.698851905	-0.8643770212	-2.671027244	-1.651845567	1.325346394	1.559541641	-1.186301417	-0.3079768314	-0.8567758957	0.1134229185	0.7039050944	-0.5600326553	0.3489429912	-0.9158486885	0.6275165847	0.2580303652	0.06569458755	-0.5946928374	-0.7497398241	-0.2636350324	0.2436069855	-0.5115358414	0.5338950669	-1.457283218	1.782474533	-0.3323836845	-0.2522321823	0.7651116152	-0.2608669258	0.380081708	-1.238969233	-1.892139213	-1.84377074	-0.7958495615	-1.110231882	0.9484616122
