melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143
-0.758893364	-0.045533296	-0.6716237261	-0.847227158	1.236585128	0.3303704627	-1.359547949	0.8181085221	0.9050258255	-0.4714913659	-1.560059916	-3.780447569	3.245298316	0.1232865289	-0.5085052793	-3.157976094	-1.689049467	0.5489607041	-2.363704787	0.6213138049	-2.295175843	1.044941517	-1.953537597	-0.9453327971	0.9166917294	0.6533150664	0.3935815563	-0.8173899718	-2.226830469	-0.2403331487	1.918916061	-0.08764419388	-0.01817135434	-2.199614397	0.2452217178	2.389680345	-1.175925853	0.5406623572	2.124891277	-0.8113563173	0.8059634503	0.9718572238	1.785836667	-1.669274217	3.032275179	0.08157965138	2.572238412	-0.4683637379	-0.8985465455	-0.1179898843	-1.285797682	0.6207441104	-0.2941320075	-0.1813986843	2.411161394	0.7896971746	-0.07854299136	-1.210408461	-0.001706597113	-0.6133005416	2.188475172	3.292247743	-0.3581496771	-1.088262594	-0.4102970846	-1.529846594	-0.4662918013	-0.08746264477	0.5803429851	-0.5378627805	-0.1348484015	0.599319692	-1.614653722	0.6388862157	0.6224985574	-1.04333743	-0.1410774033	-0.1798329025	-1.441773694	-0.01135070357	-1.034604444	-0.1466121387	-0.8462841085	-3.742551382	3.117895336	2.404884087	1.245333481	-1.207493673	-1.729571541	-0.4347449919	3.262770733	1.16449131	1.527209412	1.595860221	0.1290139765	-0.428957971	1.388067379	-0.0709121067	2.181024201	-0.0123110093	0.7222543251	0.804395992	0.3444003875	1.643004722	-0.2127102552	-0.172740064	1.349590481	-0.8003031585	-0.7297022875	0.5000668624	0.260677732	2.63431864	2.086723571	-1.086071893	-0.5917029974	-0.5414850787	1.223012426	1.18838364	-0.5648549421	-2.016732681	-0.177954404	-0.6629035604	-0.184812908	0.2167542031	-0.8138229248	2.862970346	-1.626748698	-1.871788366	-0.7674441838	1.447900107	1.016317426	-1.154128221	0.4182445636	0.2157267163	0.1757822168	0.1404768806	-0.4628724981	1.286100373	5.297367625	1.083650398	2.091355784	-2.231650491	-0.3846993712	2.087915598
-0.4046314113	-0.09559452819	-0.7726038102	-0.3341989209	1.301401512	-0.4825033553	-0.9456741005	0.7517410609	1.301166282	0.1764534987	-2.135364206	-4.383333671	1.89041318	-0.3884852896	-0.383120611	-1.906088304	-0.5385595568	1.664302544	-1.60224313	-0.4438634788	-1.07930822	0.8119921195	-1.958580285	0.8801801365	0.3809940168	-0.3682300537	0.5323708755	-0.256346119	-2.837920325	0.4000993359	-0.3221961403	-0.7771842228	1.515012953	-1.696156406	-0.512620282	1.437191993	-1.07617043	0.1583573897	0.04339744575	0.5323883722	0.7341352897	0.4657526799	0.8083741391	-2.430800204	-1.078195111	1.373532561	0.4616383779	-0.4422588473	0.7151246586	0.6713963602	-0.2948538736	0.2470693208	-0.9135499139	0.2207120459	-0.2103705729	0.5201668309	-0.6843594467	-2.617585886	-0.6023393506	0.7477332334	0.9982284398	0.8630936948	0.6088841855	-1.367831141	-0.3695662447	0.1155454306	0.003449835683	-0.7334676412	-0.7181388935	-1.082103281	1.269030935	0.09388026387	-1.523841421	0.1887688436	0.02671804679	-0.08273813418	0.5123230924	0.7176185423	0.8967786793	-0.1859516172	-0.2423924029	-0.4304757299	0.2510312837	-1.765245482	0.9388801577	1.25812905	1.653601498	-1.530415059	-0.2193039194	-1.756652967	0.03407702578	0.7953611973	0.7807926492	-0.8771711272	0.05320981245	0.4810475574	1.28647666	-1.244728527	0.8630084994	-0.8185289484	-1.451420364	-0.7476391555	-0.3224139741	-0.314904157	-1.072561063	-1.349499854	1.963554943	0.7036737746	0.9980535551	-0.08557643257	0.521375101	0.6058169492	0.5066701498	-1.987858845	0.2631685577	1.362313534	0.6886934559	0.6658366611	0.006218097615	-1.855770701	-1.279993826	-0.6237863374	0.9833014039	-0.5808151941	1.096306555	-0.3579318805	0.671790971	-0.01255937247	-0.5623075612	1.163284217	0.001844085828	1.122492959	0.4367143798	2.382029185	-0.1800323693	-0.6865128532	-1.291479581	1.081383564	2.720292949	0.01976431914	-0.2211819923	0.4995913014	-1.322151445	0.01178624687
-0.3434416875	0.5050549468	-0.4333732886	-0.4537751276	1.269843164	-0.4329401372	-0.8208191909	-0.3485382081	1.230708194	0.107403651	-2.069042693	-4.242251819	0.9440137911	-0.3761079172	-0.572372525	0.3178904163	1.06062641	1.163222386	-1.004213208	0.7175511493	-1.126628879	0.3102986494	-1.831348573	-0.8921103573	0.7621237007	-1.009413375	-0.216137439	0.259125216	-2.711003326	-0.3990427076	-0.6084471173	-1.030704672	-0.6465606323	-1.163534433	0.7073045124	-0.1113321054	-0.7710498272	-0.6471374953	-1.304960401	-0.1370997233	-1.114299498	0.5200381427	0.3829619904	-1.899797194	-0.1176859525	-1.116076256	-0.4147363879	-0.9466114152	0.2566014985	0.7768227291	0.6622650938	-0.9605948214	0.7987883134	-1.531059501	0.5063993197	1.445577258	-1.487619202	-2.418586486	0.4353112413	1.079570068	1.348278839	-0.5563136748	-0.1789341656	0.7320119263	-0.6916802846	0.04665663387	-0.02073659636	-1.564557476	-0.232204221	-1.872866158	0.1468417578	-0.4036412947	-1.115301818	-0.1926897089	-0.7544685642	-0.2172807611	-0.1238635537	0.06431533572	0.797303003	-0.9366929644	-1.25572866	0.5872157591	-0.007523297571	-1.595366712	-0.8905589613	-2.094873241	0.904726972	-3.075379449	-1.412490878	-1.640969705	-1.853676026	2.766845443	0.7459889029	-0.07686427499	1.511427035	0.8038338346	0.212950568	-1.13854682	-0.8030934089	-3.163048115	-0.984419102	-2.407847915	-0.003427110789	-0.730991445	-1.017344788	-1.628545201	-0.228251367	0.5297330258	0.3257334278	-0.104427237	0.3713199189	-0.3491478749	-0.8534313459	-1.006190066	-0.2573759866	1.767729809	1.138720328	1.636104908	0.9602666688	-1.372606536	-0.7088019434	-1.09658711	2.909329402	0.6523577251	0.9138855544	0.637567389	0.3175392653	-0.4200510448	3.742065266	1.323611027	-0.1205900839	-0.8110095368	0.92603332	0.8887522113	0.1345040834	-0.1019844903	-1.102218814	0.01082276905	1.715957476	-1.707218285	-2.068849966	-1.137973793	-0.9415921959	-1.318923599
-0.2640949309	0.5266821414	-0.4403418926	-0.8197531448	1.055216519	-0.1446292036	-0.547272354	0.4286862976	1.475162686	0.1466621909	-1.286668603	-2.168835561	0.8293903662	-0.4880725082	-0.1432168021	-1.734782825	-0.1548793219	0.4387518517	-0.6912689949	1.769963595	-1.18009702	-0.5661630104	-1.300524409	-0.08509986799	0.4000491584	-0.9501493887	-0.2414700417	-0.4636687618	-1.543194317	0.6709579995	-0.06795223969	-0.9066833936	-2.338356318	-1.727766759	1.745194458	0.9008866676	-0.5988486245	-0.5683055162	0.09470187028	-1.159526253	-1.489435846	1.151916558	-0.767068197	-0.5873807093	0.1595325456	-0.880892719	1.294967208	-1.055433735	1.076514896	-1.680916686	-0.6820513122	-0.2462219289	1.322515588	-1.644309762	-1.463728059	-0.8919199735	-0.6354842474	-1.491095658	1.272975519	0.9225360523	2.4008236	-0.0991553253	-0.6028937023	-0.3995347705	0.9436567172	0.06189246703	0.06944438094	-0.643657838	1.399170526	-1.261398971	-0.1810543156	0.53753015	0.6778383683	0.6433116848	0.6791989365	0.2142395469	0.8169712182	1.991284539	-0.4254026711	-1.453566197	-0.9975920884	-0.9198999694	0.8632425955	-1.73727016	-0.6742445214	-1.75542059	1.174615598	-2.68039871	-1.437218765	-0.1167101792	-1.023801602	2.202900331	-0.3451120935	1.580754872	1.830560664	1.038922845	-0.1657999643	-0.8746251892	-0.205003	-1.860431562	-0.2356589524	-1.256520435	0.9952237888	0.4634980781	0.2903786237	-0.1354843312	-2.364561957	-0.04838301988	0.1688170045	-0.4417741697	-0.8433913941	-2.475725823	-0.8962452188	-2.026343442	-0.4121076232	-0.1096703887	1.286251967	0.8997105395	2.212445748	-0.236260395	1.965424176	-0.7394316598	-1.051582925	0.129827697	1.560967811	2.531151611	1.252382182	-0.8031926586	2.071343865	0.07521587296	0.2391159184	-0.4708617783	1.973525042	-0.1016624853	-0.06677968926	0.4825682044	-0.2852030746	0.2979704225	2.230492702	-0.718862344	-1.326400776	0.492333745	0.2917062903	0.5755437792
-0.1385731205	-0.3094571879	-0.4879530719	0.4455949708	1.140126067	1.380457107	-0.6605518208	0.8745308202	1.918090053	1.035466974	-1.265423031	-1.067340412	-0.1799465349	-0.7006437127	0.1906474375	-0.4240030087	-0.001188908584	1.020269116	-0.9802218514	1.213126699	-0.2050054217	1.999579163	-0.6175476817	0.5368678484	0.07945525284	1.121412187	-1.136112148	1.031182056	-0.5756729189	2.220762721	-0.1669533222	-0.2209491907	-1.205874177	0.7888603913	2.336507663	2.444312942	1.436445583	0.18975776	1.053625992	-1.482373354	0.02034672181	2.447233683	-0.7678123527	-0.9861688088	-0.6779847967	1.092324415	1.73380703	0.1550705337	1.251074553	-0.582810116	1.093895423	0.6750095987	0.4627187937	-0.3765779722	-0.9835975601	-0.2134692183	0.1077833697	-0.5120880078	1.074833483	-0.1359276936	2.311595418	0.2700481345	1.833464905	1.134859737	2.590481521	0.202478804	0.489287871	0.836003219	1.152800763	0.5079032151	2.334341646	1.46736423	2.040125136	1.482110928	1.441925557	1.146632228	1.516753262	2.197594116	0.9050598398	0.6217931884	1.352179679	-2.022322898	0.6370413828	-0.1603479402	0.2302554351	-2.043075934	1.80292594	2.236388011	-0.8574801909	0.07248146191	0.09069629848	2.031269545	-0.5437138648	0.39775445	1.568884431	0.69285451	2.964818489	0.8803993076	0.9722260762	2.181634396	1.245503055	1.439480674	1.642453407	1.240895244	0.5660156176	1.974632539	0.8726847438	-0.3555884403	-1.234126823	0.5941852348	0.3485022961	-2.709481689	-0.5524111793	0.2537831348	-0.3869153118	-1.033476428	2.307398703	0.5522595207	0.9851610961	1.838231557	2.488816963	-0.5990192346	-3.536475378	-1.438122695	1.48535621	0.3765259451	3.650096568	0.1200902709	-0.6758402892	-1.123986419	1.131973136	1.851131961	0.1798123324	0.7618961331	1.341218863	-0.8646455026	1.797564391	-0.4364487342	-0.5736929748	1.869717769	0.09487638958	3.305112711	1.406595093	1.58332051
-0.513537324	0.7625459868	0.7035727073	0.185010995	1.206255416	-0.2500542317	-0.4726853331	0.793060235	-0.2602742359	-0.1199661256	-0.2999204172	-0.5820712318	-0.02032818775	0.7935694047	-0.9068436972	0.5407532803	0.5475622954	1.791440343	-0.5010684219	2.23450583	-1.996876544	3.028115651	-0.3188868583	-1.291425278	0.7763244576	1.955469476	0.8670361043	0.1776872228	1.115992437	0.1318698309	0.8518466842	0.4746439596	1.01394178	1.503343535	1.922822226	2.155279959	0.6272383682	1.322178318	0.334316288	-0.1427780812	0.4552208887	4.328461959	0.1831053068	-0.07957541624	0.6364837304	-0.1739638073	1.839555414	1.957780245	-0.06938223609	0.2028428531	2.333398889	0.6583361694	0.8758771693	1.326954835	1.277404547	0.1134295747	0.655983068	0.1480033148	2.037568003	-0.3714633871	0.5068961274	2.44553865	0.5215797403	1.792904567	2.994144112	-0.07523322208	0.6220484352	0.8234406877	1.263168715	0.5144042512	-0.8035748302	-0.001919270193	1.230502189	1.709653201	0.8454644831	1.648295021	1.29425513	0.8874456145	-0.8286902168	1.545975919	-0.1730854123	-1.071175222	1.488554875	1.212089531	0.6735272292	-0.6473879961	0.1775744243	2.52311866	-0.01837045229	0.4938658761	2.076513696	1.351361986	0.4636083769	-0.9734979972	2.423949681	0.8065308875	3.14306964	1.470229563	0.1057353163	0.2485195285	2.519943796	1.898532677	1.701590949	1.126114164	0.5859438273	2.255033563	-0.191971862	-0.2130623807	-0.2265750011	-0.1235853075	-0.08292311096	0.1594749712	1.278711411	2.395482016	-2.521813853	0.5704003748	1.945529717	0.6669749256	1.639718739	0.1571287665	1.975568694	-0.9257259003	-0.4779095061	0.2853578611	-0.3356015422	0.8123065812	1.206125064	0.6022285396	1.589218812	-0.03172639476	1.38384063	-0.07408121399	-1.675001756	-0.1871492135	0.8853468713	-0.5571695461	0.3368348516	-1.623510717	-0.5266398976	1.23495625	-0.9315548419	-2.381783415	2.639493477	1.444487878
-0.3304978607	0.8463152551	0.6620948218	-0.05024967502	0.2109515898	-0.1013675362	0.1396661108	1.899192618	0.2952086431	-0.5511446815	-0.1556199531	-0.1628778845	0.4679964768	0.03312337427	-0.2225289103	-2.00639975	-0.862477471	1.679860839	0.8768900026	1.52100928	-1.928191418	2.850315481	-0.7565614746	1.797621023	0.9533902524	2.180605696	-1.051811496	0.05050829765	1.906866556	0.5931138915	1.243292155	1.846272763	1.822229218	-0.417523048	0.2232726336	1.858580358	0.2201305452	1.050252841	1.075868515	0.5558689843	0.291351592	3.806204153	-0.9324838039	0.8374487643	-0.7348737092	-0.1358303676	0.4929757696	3.731021932	1.461192276	-0.5642177217	0.38527173	-0.2680367129	-1.034684571	2.557135675	1.037313953	-0.2774783674	1.525314278	0.3814191202	1.187015873	-0.8517106334	0.4133028221	0.8012439286	1.179199283	0.2403578569	3.031466066	-0.3149366641	1.568666963	1.04452967	1.618338924	0.7023820894	-2.018217455	-0.05685999889	0.9041301704	1.387026666	0.7804178386	0.622344117	1.312286169	-0.9773778127	-1.279018512	0.7213313061	-1.827098326	-1.098083371	2.325553207	1.134506422	0.6594483315	0.1859667038	-0.1046245691	0.1627325988	0.8440307185	-0.09536916441	2.491641573	-0.2312749658	0.5480556812	-0.1956435804	1.198807387	0.8778240912	2.579457645	-0.3582976004	-0.849197417	0.3616246266	1.599417572	1.477248589	1.133856839	2.12431759	0.2938469911	1.556740448	-0.9038994888	0.05737370071	0.4680019664	-1.415552186	-0.3293387237	1.151903033	1.130607947	0.1484350515	0.5010067648	-0.04707108298	2.016862521	-1.244758262	1.0484742	-0.1384907297	1.491769515	-1.165547687	-2.277332494	0.4543716121	0.8965566983	1.762782196	0.6379477697	0.01104748089	-0.5737800389	-0.3589685579	1.517830428	-1.042353875	-0.161924478	-1.317556341	-0.8496545932	-1.521482883	0.7293369653	-1.491900872	0.909151845	0.3727321378	0.680234007	-2.380764098	1.119681868	-0.4333652824
-0.1238347314	0.8879089409	-0.5113575639	0.5450158857	1.437523875	1.522879739	0.7320797361	0.6592007513	1.790167016	0.5010075132	-1.134317878	-1.060754614	-0.2743189309	-0.4683724667	0.8599624485	-0.4466281759	2.349433465	1.014012218	0.3121473366	0.2085628848	0.3367991411	1.93741343	-0.1079640078	3.368865085	1.055834002	0.2609118939	-0.8400214025	2.519245066	1.014095854	1.87175943	-0.2909310142	1.5697807	2.50689652	-1.53982037	-0.2633624114	0.8275243579	1.098024432	-0.3238265603	0.1162248344	-0.05641643173	1.878824566	2.252067763	-1.532026873	-0.1701405985	-0.3528494573	2.993097535	-0.2446154372	3.641368692	-1.829566002	0.9724225156	-2.209272186	-0.5288620352	-2.194442369	1.342811122	1.514329018	-0.1368145029	1.32955409	-1.230421984	-0.7396268216	1.34203774	0.9719933788	0.05534091709	-0.8088586145	0.3039206525	0.6928476253	0.7431886441	1.067971763	0.6209361473	1.373513352	0.1234646914	1.431817445	-0.2733613361	5.04385085e-05	-0.8817028918	-0.1906274434	-0.08544904094	1.029237774	0.710388385	1.019251353	-0.3837447036	-1.245641058	2.417672461	0.3000954813	-2.424788855	0.1270643666	-2.320389564	0.2330127009	3.49537589	0.6149250098	0.7762034391	1.148450342	-1.588652983	-0.9426763988	1.975266936	0.9283619762	1.020725599	2.57031655	-0.4436928098	0.8692384236	-1.30445342	-1.13300204	0.1404271082	0.5541622286	0.1913434307	1.355785016	1.664400263	1.67008098	-2.09748158	-0.5513714644	-0.02060196056	-0.04373863644	0.7054780288	1.226604186	-0.6851561109	3.491599818	-0.4822716507	3.081656144	1.544594519	0.3416148046	0.1481467172	0.0841416059	2.232180369	-1.654157414	0.2648190551	-1.187133466	1.556404856	1.598826605	1.326531675	-2.618790548	0.5446525702	1.3814909	1.63681229	2.039018142	2.900156166	-1.728549576	-1.803615076	1.257710093	-0.5740840795	1.000398181	2.280799697	5.884922383	0.7084763765	-1.663220228	0.1942203496
-0.418435578	-0.9758905247	-1.654079378	-0.1211959262	-0.3267797308	4.003516333	-1.67256645	-0.009728646038	3.865018775	6.051958237	-1.329358252	-1.693255907	-0.5680960171	-2.567332954	1.068028667	0.5306294643	0.3184866632	-4.594771124	-3.104428787	-0.6724864448	-0.8644786539	-0.2910009279	0.281381787	-0.2485443153	1.334269136	1.225620606	0.4353170483	3.011526726	0.8638387404	-0.7987460405	0.2648226147	0.5058447649	1.974816536	-2.983149214	0.2624505023	0.3317390906	-0.01672382366	-0.2996837935	-0.4856424804	-0.3235889735	0.6129981313	1.126301822	-0.6340052752	-0.9295404672	0.6939498361	1.957877498	-0.3133320241	0.296564019	-3.945523443	0.4107661874	0.01330005513	-0.05133910484	-0.4927361972	1.39535813	1.443243157	0.7620684715	-0.145579191	0.4885993396	-0.3280761338	0.4242009472	3.579274164	-0.9264170029	-0.7546661823	0.6278654123	-1.664299449	-0.1636085688	-0.5469145561	0.4085953724	1.039495476	0.3870483089	1.6745824	0.2369572139	0.2258414832	0.4529753896	-1.092913307	0.04035970292	-1.890078402	0.3677737694	0.01866863739	-0.4620779129	-0.6798770746	2.475769263	-1.795643074	-2.088002546	-0.3892000433	-1.444604915	-1.588250878	3.780404458	0.2064216959	1.886092882	-1.477620914	-1.815947091	-0.3607644758	1.776905163	2.020498488	1.113370072	3.943666864	0.2439392595	0.1490414726	-2.370558944	0.9489909227	-0.4293896997	0.2830840916	0.3011986505	-0.4306012899	0.7418308884	-0.407142049	-1.100797504	-0.05646552027	0.6278227585	0.9925510137	1.226500939	2.557967134	-0.4371183818	3.600646861	-1.039309	2.982532663	1.010623029	-0.845603815	2.340432972	-0.886558424	0.506139959	0.1232368925	-1.105137785	-0.1126497067	-0.1494415414	1.325979969	-0.8519480323	-2.54162374	3.44637554	1.244137029	2.934265844	1.88909702	-1.01238738	0.9418840471	2.424753385	0.6670384326	2.567158817	-0.730503476	3.736092298	1.86516436	2.024866025	0.01502339317	-0.3658116482
-0.9416476721	-2.190176507	-2.099811184	-0.1763503122	-1.576507883	2.361140735	-1.634752437	0.6336969116	3.317074527	-0.08486243021	-0.330316967	0.01163429053	-0.1057090155	-1.492263108	0.9043723745	-0.981986158	-2.782754065	-3.239602667	-2.910478819	-1.08909212	-0.6654725179	-1.393246271	-0.6978884264	0.1061447594	0.4888452213	-0.02365915764	1.146930142	1.011806955	0.4150488439	0.3246695573	0.02885367139	-0.9908725428	1.059284475	-2.079036376	0.8385324931	0.1854723414	-0.8545257459	0.1396029207	0.9879646829	0.2551727711	-0.3759432727	-0.6651959409	-0.8153931081	-0.2993481142	-1.055525145	0.188432143	-0.6407366086	-1.675485547	-2.153925909	0.8470063305	0.1923857026	0.2231297587	-0.6935885295	1.579358152	0.1485501318	0.142325072	-0.8609772701	-0.3507552548	0.08469497129	-0.159353479	3.313706956	0.1100083983	-1.171778238	-1.711754358	-1.278405852	0.8149674129	-0.5811821376	0.6355644071	3.018735434	1.649015182	0.6317938236	1.743543882	0.2688908516	0.6785779439	-1.141515736	0.4709530907	-1.902651857	-0.3743625814	-3.029567771	0.4617369462	1.478180848	0.5579301386	-0.7440117256	-0.8820261546	-0.1388029388	1.690060367	-1.575481846	0.7615364117	1.237994012	2.199770848	1.801941037	1.753105944	-0.006360341428	0.3299425701	2.429119139	1.158236587	2.504851928	-0.6539826491	0.3236092324	3.15826877	3.498841872	1.386481069	0.594855416	0.8362978577	-4.003605837	0.1040971985	0.03909993739	0.7985701642	2.154692416	1.558899476	0.4985882159	1.562590236	1.092968934	1.019917197	1.498849576	0.07922288582	-1.313476652	0.1454390665	-0.5634929554	3.550590831	-1.614122424	2.832813581	1.094766105	-0.8964429348	3.626105351	-3.267539207	2.011776139	-1.087514162	-2.679942705	1.398469513	1.17681528	0.8021721512	1.204326393	-0.4025921187	-0.1761783185	0.5872702113	1.147372966	1.974122547	-0.2171635193	2.335787265	1.661010379	1.483780504	0.125121624	0.5967564937
