melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091
2.400804134	2.408107901	-1.445410235	-0.688231599	-0.8287717271	-1.185183681	0.4432309911	-2.798552358	-0.2355693873	-6.417767913e-05	-1.505891179	-3.062513548	-0.4080768135	-1.459634143	-2.098862304	1.372237401	-0.2795781086	0.08236069681	-2.210364489	-1.740105492	-3.099762542	-1.650816748	-0.0193915202	-2.584998571	-2.551396843	-0.08909099656	0.1917685479	-1.161401151	-3.431523701	-0.940554129	0.7669827617	-1.804639658	-2.614823707	-1.357285169	-2.370973771	-1.939569943	-3.051457069	-0.3205981068	-0.9135253554	-2.85085641	-0.9316379429	-0.7592772379	-2.143224786	-0.9486532127	-3.17574296	-0.9524307472	-2.91085214	-0.002328317762	-1.589720994	-3.031751166	-1.724547711	-1.514057239	-2.945171231	-0.7233271219	-1.575697764	-1.977613465	-2.229409641	-0.3841454085	-2.53363745	0.3466325873	-2.072948363	-0.1384214163	-2.559572212	0.06255788674	-0.8320631351	1.427728734	-3.651866579	-2.597690062	-1.115597861	-1.959249307	1.108967195	-1.697229841	-0.3503609769	-0.5082895948	-2.598372278	-1.733035213	-0.8539418482	-1.030154685	2.951392855	-1.672516074	-0.5933668155	-2.415639451	-1.847405809	-0.1765673529	1.119917146	1.233437847	-1.269563488	-1.095485578	0.4221500299	-1.865689375	-1.055858552	-0.7151802892
0.07648291235	2.737456267	-2.841516087	-1.43091143	-0.8901278332	-0.5378626245	1.103249313	-3.77699056	-1.572264205	1.895986283	-2.885840402	-4.124541836	-1.058065164	-2.237764886	-1.386307803	0.4438196189	1.023663408	-0.4330868182	-2.949512746	-2.140115145	-1.721180139	-1.120221844	-1.670142273	-3.253206357	-0.6577036236	-1.330396163	-0.4596213999	-0.2355432345	-2.982447656	-1.576444243	1.42680038	-2.591708489	-1.901918658	-2.794704462	-1.826676071	-1.810176679	-2.453543082	0.1871639594	0.1017937056	-2.756105269	-0.3640241197	-0.5256272512	-1.994811755	-1.419975539	-3.325249166	-2.931790456	-3.827310723	0.4458378308	-1.701426814	-2.93426945	-2.230954726	-1.547624172	-3.367092307	-1.662832177	-2.725115114	-2.206174606	-2.665063293	1.626816686	-1.94619226	0.8331855966	-1.914253396	-1.430033866	-1.233556049	-2.458971751	0.1100012357	0.9828043342	-2.796779727	-2.176932129	0.3749060341	-1.613366012	-0.3665140107	-3.598863623	0.9778336907	-1.276063086	-2.378271162	-2.434093315	-3.073022537	-0.2638492541	2.470789136	0.3760259554	-0.3431662581	-1.234416175	0.8416970715	0.05296448998	1.56155069	1.404805244	-0.8893412622	-1.06339147	1.362631476	-2.665669731	0.5166690937	-0.4177113701
-0.9452268493	-0.2136843289	-3.645742387	-1.219040138	-0.8760794527	-0.1485981264	0.1579340683	-3.327697072	-1.600331735	0.2987975326	-3.584538236	-1.799436037	-0.06571817797	-1.394923618	-1.628654407	0.5549392069	2.130999022	-1.703723999	-2.981570298	-1.774124459	-2.403653573	-2.721372761	-1.952304452	-2.662585067	-1.287761834	-1.232668709	-0.3487348503	-0.1571848415	-1.08962414	-1.995590855	0.9078799559	-1.293468419	-1.785163949	-3.403376714	-1.394997818	-1.082392546	-1.607392943	0.2863088827	1.159338767	-2.53701139	1.411047926	1.505749557	-1.438135188	0.6308781791	-2.03920021	-2.997809658	-1.964918161	1.125390582	-1.667070642	-0.9028544932	-1.370630534	-0.8159508719	-1.924877846	-0.4022549579	-1.173249032	-0.9764224802	-1.655744601	-0.2496080083	-0.8443997252	-1.196815255	-0.7070562935	0.8690859028	0.2725095351	-2.34735216	0.8060776607	-0.1480156955	0.1808444083	-1.086733599	1.361803604	-1.494907931	-1.413642047	-2.430400219	-0.8205774882	-1.617075348	-1.122013653	-1.426889686	-0.5020243472	-0.2634260651	2.657313955	1.527964165	-1.217116986	-1.0391719	-1.593092664	0.56399481	1.298937247	1.235895611	-1.307698898	-0.7286187614	0.2897957107	-3.177094442	-0.03617187994	0.0002946791491
-0.4062399871	-1.129193376	-2.303780816	-1.234028287	0.5351954007	-1.704081839	0.844115293	-2.196068241	-1.459163655	-0.9856687727	-3.035075719	-0.2716603199	-0.1723413483	-0.9443738289	0.5435190128	0.7883082131	-1.567707164	-1.628824723	-1.45820963	-0.8544395031	0.3030118758	-2.377323292	-1.818188111	-2.53921914	-2.085183734	-0.8493340335	0.3203902248	0.4600596808	-0.2012090753	-1.373819657	0.160454571	-0.7832058106	-1.415587876	-1.451665887	-0.1414318094	0.099182744	-0.6285313338	0.3027057215	0.9199177629	-1.581696136	0.07190768954	0.2404714525	-0.2276542126	0.840728769	-0.7855649292	-2.174025896	-0.969320356	0.7389555693	-1.625194996	-0.3404414467	-0.6399472944	-0.3579788049	-0.5951712434	-0.06372028362	-0.1790498392	-0.9127209541	-0.6879290452	0.07407033983	-1.339239371	-0.9843471655	0.1896835197	-0.9510565181	-0.0522508864	-1.353344325	0.1490438067	-0.5928551893	-0.02355151661	0.09798551539	-1.664078473	-1.173838351	-1.913851456	-2.922581289	-2.041526779	-0.5143388006	-1.692470469	-0.8910993855	0.2287184227	-1.412293395	1.785811507	0.2186798327	-1.172971551	-1.79340365	-1.225759403	-0.03119187827	0.105732421	0.734692798	-0.4383875576	0.1918569708	-2.39493887	-1.083873344	0.4402430471	-1.303414544
0.1642966093	-0.7886222093	-1.93868578	-0.3936065056	1.137058783	-1.797178521	-0.2631087706	-2.488643318	-1.520947723	-1.627765321	-1.743112036	0.126872503	-0.9146426099	-0.5519063854	-0.1081525249	-0.1351133086	-0.3420355606	-0.9554576667	-0.8658483131	-0.456773994	0.8521321866	0.1547957756	-2.655250497	-2.458498719	0.109162148	-0.8049127762	0.7556146635	0.7399502494	-0.1452846463	-0.8929396192	-0.8275102761	-1.699602571	-1.486672274	-1.18446779	0.619512588	0.8046626131	-0.7786875496	-1.607055846	-1.022158703	0.1503566034	-0.841012701	-0.5800793613	-1.042262256	0.2857226185	-0.6736772889	-1.610957859	-0.8691757968	-2.909966387	-0.473914624	0.4085728654	0.3224891567	-0.6910360429	0.1046704738	0.7664456231	-0.09249989811	-0.1586781975	0.8756865603	-1.100009111	-1.037032914	-1.194529522	1.049075816	0.6592118671	0.2467476938	-1.140033942	-0.683846007	-0.2043148418	-0.7436419229	-1.520472214	-1.365878157	-0.6170075788	-0.7681814213	-3.044856164	-2.670757909	-0.3379359422	-1.967126089	-0.2963637245	0.7855672195	-0.4820192453	1.365418136	-0.1022023596	-0.3899282835	-1.287151484	-0.0779012524	0.8687710383	0.6536624281	0.7074362584	0.2609908696	-1.380518525	-1.989387169	-0.9181986797	0.2808303943	-0.5275480299
0.5408457053	2.675197919	-1.617089433	-0.801339026	-0.9803514182	-0.2918087026	0.1769242257	-2.612021587	-1.485447709	0.02126259657	-0.6905902045	0.1584977841	-0.3900147233	-2.462161125	-0.5869099129	0.3769836889	1.387806542	-0.9960490123	-0.483395265	-0.853134584	-0.5697868377	0.2692897664	-1.081671006	-1.483602528	0.5403708232	0.4973616458	-1.895788467	-1.682687848	-0.2167295947	-0.4444048105	1.179753725	-1.587286535	-1.496258656	-1.286614397	1.173968576	1.322814665	-1.171495625	-1.285276578	-1.136098164	-0.628694827	-1.49363678	-0.9431419491	-1.448405052	-0.04566162245	-0.01582960745	-1.41554802	0.970428151	-1.887585296	-0.5209344139	0.7716486375	0.9678958403	-0.5588294504	0.3872847923	1.302535479	-0.3851530191	0.07656631237	0.771415691	-0.7130596959	-0.4493643254	-0.4049884977	0.6246934691	-1.269082832	0.4356862171	-0.8919263348	1.290646598	0.582968909	-1.459034562	-2.038852166	1.100071682	-0.04670983755	-0.2778898772	-1.739115548	-0.2701975755	0.2838105124	-2.280011083	-0.6992802647	-2.008363196	0.6247052535	1.088495685	-0.7042360453	-1.150980443	-0.8942235676	0.8048043699	-0.378539824	-0.4584102892	0.5935797488	-0.01649207717	-0.8562553897	0.3081501797	-0.3634097521	-0.1439616351	0.3465751629
-0.8898112902	-0.1661637485	-1.381534375	-0.6471453876	-1.385047456	0.9927722038	0.07330956761	-1.502575683	-1.487696133	0.8261959556	-1.478321184	-0.06678630599	0.601273661	-1.712209563	-0.9348617154	-0.01060730818	1.595804557	-0.5729399286	-0.845621256	-0.5594887498	-1.109045378	-1.198198854	-1.288387363	-1.330731834	0.0510024121	0.3953645544	-1.502130214	-0.5863255271	0.3668263965	-0.2465655343	0.5208160836	-1.456018594	-0.7796516769	-1.822191514	1.093109575	1.058975963	-0.2788571947	1.300041533	0.564011117	-1.56705346	-0.5767256782	-0.2514087789	-0.514580353	-0.6778411298	0.0281226271	-1.071300374	0.9616962504	0.03168857049	-0.4651714329	0.009490216595	0.6188905995	-0.4069624266	1.001579147	0.6988735912	-0.5518050774	-0.1305044346	-0.08549569259	-0.01961251037	-0.4440528826	0.8404860809	0.05706272153	0.1693188171	-0.20144153	-1.353210064	0.5565507418	0.5106289651	-0.3610505855	-1.232523322	0.4319360074	0.0249223004	0.148437652	-1.375692704	1.019505778	-0.7375075038	-1.074091307	0.911895185	-1.428052021	-0.1582947207	1.714563132	1.569077884	0.722559782	-0.3063849832	-0.7972603377	0.6030625881	-0.02153665988	-0.07050197424	-0.2659599153	-1.227442717	-0.7983052382	-0.6814416202	-0.7836741291	0.3233578663
-1.273721067	-0.9684836777	-0.8517505013	-0.5895585777	-1.239974444	1.268501976	-0.09258859541	-0.5729332194	-0.765137033	-0.8954300577	-0.305589916	0.5735004053	0.771713555	-0.2483174703	-1.684553347	1.589540257	-0.6057636296	-0.2898701431	-0.828038975	0.6482295925	-1.414123083	-1.202921055	-1.200181341	-0.5685106377	-0.02174996168	1.009581733	-1.335674035	0.4060733965	1.090209024	-0.8592300653	0.8071787875	-0.3729666366	-0.4020830233	-0.9509446805	1.302757488	1.420974222	0.5092371017	0.2871680082	-0.6457974801	-0.7487280051	-1.286254632	1.415028564	1.134859545	0.5907267447	-0.1581101227	-0.2814213412	1.061086229	1.162616998	-0.5646628464	-0.4980372146	1.109453671	-0.1308837801	1.547281942	1.010362559	0.3578632342	0.06805632465	0.2445441662	-1.195936408	-0.5300393275	-1.62906977	-0.3008478844	0.3378857851	-0.02631291067	-0.1845969271	1.62527235	0.8670538642	0.799389907	-0.7953461862	-2.06300373	0.2668813521	1.304732662	-0.8446085727	-1.298038297	0.2582481339	0.6840414721	1.614081623	-0.5529537383	0.1597316567	1.125197628	0.4109683907	0.3721728219	0.36227464	1.607197372	0.317096855	0.8221109809	-0.6287071281	0.7413968312	-1.259524863	-0.4302686805	-1.101635814	-0.3566936339	-0.5982743167
-0.9763302265	-0.8993326275	-0.1176211743	-0.5573636664	-0.4785022379	-0.1047594693	0.2196295337	0.2131387551	-0.07725848146	-0.06088877806	0.418807443	1.320001185	-0.1851390193	0.09031964736	1.169507377	0.4290796048	-1.465444413	-0.01039076423	0.4054372979	0.7833074824	1.706435622	-1.19928816	-0.08383247925	-0.5435700897	-0.8378380367	0.3306239127	-0.3547814781	0.7419142575	1.207716176	0.100595308	-0.3791082996	0.02773521599	0.1645786365	0.4273269058	0.705851751	1.073034781	2.130616056	0.4146469941	1.172052096	-0.05399422706	0.6141595483	1.066139183	0.890822931	1.182867171	0.006414308795	-0.3808195656	0.3359584202	1.725693236	-0.5591641845	-1.623139124	1.675160105	-0.3580878784	1.146243598	0.8587126672	0.1874988481	0.3259738994	0.6787452482	0.1546322998	0.6879314288	-0.5988960715	-0.1439352245	-0.207614401	-0.02601832513	0.703258247	0.09161384901	0.8986434414	1.231062124	0.004919684891	-1.472478981	-0.4860035922	2.219064645	-0.9378460932	-0.6388923132	0.1333723578	-0.2462314819	1.984122085	-0.7430116024	-0.8771514822	0.4907222942	0.6634163475	-0.2252187975	-0.1986997845	-0.08073405197	0.9594258424	0.3200316927	-1.429560596	0.5803230898	-0.4675515335	-1.024677445	-0.3079554696	-0.4073600033	1.291247959
-0.3664604929	-1.112594097	0.5320259234	-0.2684076018	0.07339122118	-1.768360601	-0.7324207786	1.241644079	0.3442782545	-1.761934627	-0.2717812115	0.9222857891	0.5346364465	1.69612242	0.5067916507	0.9520476207	-0.9375531869	-0.1203927482	1.904703361	0.2721136817	1.095885192	1.370673725	1.378073469	-0.6760209356	-1.148901703	1.614067004	0.9053420992	0.6193848966	0.1301947608	0.5025139872	1.096955232	0.7367160672	0.459735525	1.386607286	-0.7962502633	0.8356826456	2.680277109	-1.500299461	-1.186318317	-0.1097965031	0.3892986043	0.58322598	1.04450914	0.6585861005	-0.09190080802	-0.3760331566	-1.582866482	-1.591894125	-0.02179003343	-2.061592169	1.651684733	0.2470388943	-0.160650593	-0.05561082094	-0.5170406189	0.07145360716	0.6133498638	0.2198214811	0.7866246684	-0.8341442312	-0.3730929566	0.9131033188	-0.1527534004	0.2671396883	-0.9007152141	1.235304105	1.078556204	-0.7055200326	-0.75836292	-0.3599209815	2.37188332	-1.440868714	-0.8208040159	0.1821282605	-0.4245732152	0.6745102235	-0.8858880341	-0.2817055681	0.6436114202	-1.753770167	-0.3596740992	0.7341687432	1.362540873	0.2463910574	1.314109235	-0.533822389	0.4419354158	-1.074895078	0.02609311871	0.9448711991	0.4260150729	1.135549698
