melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145	melodic_146	melodic_147	melodic_148	melodic_149	melodic_150	melodic_151	melodic_152	melodic_153
-3.276156699	-0.5529803531	-0.1666468972	-1.138757401	-0.4313994111	-0.1230648896	-3.133342931	2.607410543	0.5992061739	-0.000421388527	0.2053257762	1.701422999	-1.258625653	0.05358063607	1.641516477	-2.922003804	0.07361497951	-0.8328910474	-0.1772777253	-0.07620275143	1.198942039	0.9655395563	1.090194393	-0.06233943631	-0.298436044	-0.8164873225	-1.314018959	0.01169963206	2.151237727	-0.9682820333	0.3623986353	2.21079389	-0.9412531176	-2.036035986	-0.3425406805	0.02534323907	1.361244568	-1.582899097	1.576232495	-0.585652178	-0.5115278416	0.1137216378	-0.5224904778	0.5768027502	1.367923257	-0.00915715082	-1.318527937	1.445079741	0.5872431329	0.2751708815	0.3383200357	0.2660757018	0.3040198462	-0.6360409364	0.8833884917	-1.034062702	-1.393413144	-1.785347386	0.006819441487	1.368145137	-1.35918601	-1.872633272	-0.2942115783	0.9695750988	1.477119581	1.78852097	-2.355251092	-0.2440328671	-0.135174257	-0.4545386248	0.006581771047	2.720420375	-1.073958469	0.4031556353	-1.441762618	0.8840200075	-0.7474572914	-0.8412735475	1.526515065	-0.1251492977	-1.832659909	0.5262591311	-1.004756316	2.929188574	0.3417715987	0.4791022145	3.498540659	-0.4042082929	0.4682070678	-0.1410234439	1.862533299	2.632408137	0.6106392005	-0.002404032418	-1.165055784	-0.5300193612	-0.4263060516	0.6727091554	1.754653276	-0.3676099542	1.096789777	-0.1960764487	0.3244666983	1.710100046	-0.4579755727	-0.06163801381	0.3684049839	-0.09578596538	0.9038609546	1.802380812	-1.531258121	1.503458934	-1.674858787	-0.2133577418	0.05814008947	-0.1032096775	-1.787257837	1.523826777	-1.168916898	3.19824934	-0.394836932	-2.101705878	-2.211374718	-0.8648272569	-0.3183752782	1.187008028	0.3915689396	-2.01125426	-0.3911678058	-0.3532149442	1.018728287	1.44501853	-1.825389024	-0.7744148	1.540799171	2.679804236	-1.340884616	-0.4927808359	1.898707007	-2.705436834	4.28877151	0.4219279024	1.676468273	-0.9808234379	-0.8107546725	0.3181282729	1.096445456	-0.297446203	-0.1592734356	1.05923543	-0.233805367	0.5473527407	0.5660673082	-2.787431176
-1.801978895	-0.3677061361	-0.8670783828	2.012048538	0.3025551444	-0.707685732	-1.156259002	2.627161608	-0.2876725972	-0.00710665676	-0.0106056249	0.9117157544	-0.3878173234	-0.2048753993	1.215029924	-0.497337841	1.557299291	-0.6863653983	-0.3266144844	-0.5957501968	-0.3954275878	-0.7669863923	0.667022604	-0.1633958537	-0.01476422953	-0.4088886036	-0.4308642648	-0.1550130376	1.123767034	0.158837094	0.4838585508	-0.3469676282	-0.5937986763	-1.788827567	-0.450178157	1.079721971	0.05431177092	-1.260143336	1.890184873	-0.2467494281	-0.01680528328	1.265866733	0.5445582231	-0.4150842241	0.7651737546	-0.3455640791	-1.35029604	1.839922714	0.6307173107	0.3582205356	0.1874579202	-1.297776757	-0.1420133405	0.9784998314	1.789024481	0.2094044751	-1.510033119	-1.258795508	-0.3418082894	0.1303506932	-0.1704784507	-1.334851698	1.413695452	0.7595845613	0.3172472117	3.363228196	2.143137942	-0.3147474213	0.2307703941	1.334580577	-0.1789967859	2.256235424	-0.1357658837	-2.259146994	0.7234451955	-0.2059505007	0.08883241836	-1.794181904	0.1203188041	1.256643539	-0.3069125107	1.065354389	-0.04997335058	1.65065694	-1.904174841	-0.259392863	1.572497176	3.499737274	0.6788153633	-0.4809181793	0.7602853729	2.202754982	-0.03755644078	0.05423940585	0.03041765823	-1.026019077	2.918128596	0.565192723	-0.9692326216	-1.544966011	-0.1632709186	0.7241331326	0.9466584391	0.912797274	-0.8716730605	0.8106050936	-2.607704756	0.6089848216	-0.5590733502	2.508118477	-1.039032649	-0.3326909553	-0.3207891236	-0.888217329	1.029436614	3.579960722	0.07426928547	-0.1186640763	-2.771372078	4.029757673	-1.167351197	1.349144971	1.744400892	0.9347289049	1.205388001	0.9030433719	-0.4764279333	0.7733908924	1.328385026	0.003514404425	1.363056153	1.998596972	-1.38936716	0.7905557118	1.446734735	1.880714397	0.1672415688	0.0420510817	0.841825219	-0.8737547564	0.2899901808	0.3624776313	0.2263356651	1.178843641	-1.626920838	-0.1661372159	-0.5110664551	-0.7813798714	-0.5998137772	2.782821053	1.041815392	-1.019568082	-0.3639661866	0.3416321578
-1.252825468	0.1493964488	-0.3093647343	0.2536999954	1.124414434	1.418798948	-0.8761973798	1.404232779	1.273848823	0.04844492861	0.8714913873	0.8970498601	-0.1609576586	0.1735672608	-0.138264634	-1.088831814	2.202610244	-0.7683848125	0.1559765147	1.17558063	-0.07715234126	-0.6838126761	1.479375797	-1.80866868	-1.417321531	0.3167134137	-0.4741274662	-0.9869575166	1.231707016	0.1594190814	1.508431868	-0.2027779516	-0.5934923906	-0.5742190889	-0.183854768	1.38831994	0.820866024	-0.3151650048	-0.2585716369	-2.099593656	0.05668831393	-0.491658199	-0.8785163987	-0.897639111	2.694366537	-0.08747897309	-2.177474456	-0.489956334	-0.6085600119	1.196225329	0.3874461952	-2.171041766	0.5647050536	-0.794706672	1.332216804	-0.4507421476	-1.175824738	-1.498274862	0.505816538	-0.143300077	-1.792036681	-0.06658876818	0.7421506806	1.032500013	0.8869051611	0.9897423298	2.784769449	1.159865525	-0.9085571301	-0.7735970127	0.3079472545	3.33402162	1.560039331	0.8062538006	-0.4212452325	0.2514049383	2.432930264	-0.3386383362	0.1705042833	1.533670817	-1.970005286	-0.1356328322	-0.1519434633	0.8735102697	1.327561314	0.1352836838	-0.9320469607	0.3687350998	0.7813229279	0.7099401371	-1.077714105	-1.677467078	-0.2717427873	-0.6900164447	0.3288385306	0.1769844664	1.040180275	-1.34665188	-1.132289844	-0.4671076972	-2.153743135	0.04984615387	-0.1464609433	0.8332124412	0.5076625338	0.1228116458	0.07221287511	0.6355870899	-0.736325422	4.37643682	0.03624941222	0.4713454964	0.07080491926	1.058440546	-0.24609397	-0.7696949521	-1.369977337	-0.5514771629	1.814333065	2.258882201	-0.4088407597	1.379064712	-0.6136542732	0.315082566	2.908922426	0.4158907805	0.5693921104	0.1693945612	1.705811398	-3.164507879	-0.004303376943	1.273470535	2.062555332	2.715077381	1.54364048	1.938306746	0.7872704358	0.04778860494	-0.8725044838	-2.393307118	-0.6070379468	-0.6729063028	3.008654374	-0.8565022144	0.3457499896	-0.5575479229	0.5359776025	0.0371577011	-0.6771880456	0.4003509263	0.3036648715	-1.497758342	1.138941605	-1.851139366
-1.511878724	-0.1077253749	-0.03613685995	-1.242202551	-0.8299133623	-0.880680997	-0.9748184852	-0.1022529934	-0.4426503815	0.291718678	1.240291488	1.079409733	-0.2006906485	0.3998728893	0.1139099798	-0.9486592785	2.174713604	-0.1520317698	-0.1631018287	-0.06419977761	0.2113629417	0.06007733091	-0.08012672048	-0.7851412426	0.1047058479	-0.1772709249	-0.3652017253	1.0053523	0.6176420596	0.3991961497	1.24487481	-2.096849256	-0.3580420042	0.3402866605	-0.3361831826	-0.3402703699	0.1369344903	1.095215145	-1.514050631	-1.279636744	-0.04060895572	-0.629419508	0.7460554543	-0.7806169444	0.7684964432	-0.6749143223	-0.7129521057	-1.026657365	1.606482958	0.1888102223	0.04331821222	-1.457938917	2.661626423	0.3722301543	-0.4097662539	-0.7581890034	0.2342419195	-2.061354873	1.205947993	1.558290234	0.342571627	-0.2143608463	-0.7095559581	-0.1085147092	2.135260255	0.8702402503	-0.3383058984	0.2592881811	-0.1500926483	-1.599227756	-0.6113679814	3.092068845	0.9372022176	-0.6756160732	-1.349214022	0.07706026219	-0.538251037	-0.8999103726	-0.4834890779	-0.5310769736	-0.9999137204	-0.7761684187	-0.1598682048	-0.669421857	0.3852508272	-0.8494254165	-0.9386254947	-1.780775319	0.709428252	-0.892361407	-0.5310527559	-0.04275941369	-0.06558212991	0.2697605915	-0.3472091542	0.7934831802	1.554820642	-0.3465715839	0.1538937677	-0.5796253033	-0.1609178041	-0.3848178917	0.4239940499	-2.106143104	0.1756295674	-0.352916738	0.9774887132	-0.6440660202	0.7468182691	4.566181452	-1.31076766	1.906710694	1.273828902	0.8417636563	1.164765907	0.527993707	-1.216266153	0.1441687917	0.7721627077	-1.148247787	0.6434388928	0.6565255302	-0.4484980848	-0.7924145878	0.2645658663	-0.3753605511	0.9103148524	0.5543229426	-0.08418578129	-1.443425191	0.7808397609	0.4414518873	1.19328243	1.374669454	0.8858517208	1.896540321	-0.2024711042	-0.941100801	0.3000107218	0.9585419657	1.720715978	0.5932244008	1.434863851	-0.790318163	0.5610060069	-0.3087106312	0.836092366	-0.5418815314	-2.075984388	-0.07067285056	-1.301798134	-0.4119436956	-0.1860464524	-0.3656693563
-0.8088505237	0.1169494085	0.1449103955	1.448459018	-0.8302660165	-0.8709075998	-0.8028629871	0.02429398573	-0.05488300094	0.4668765326	1.718324763	0.8031021187	-0.7406940026	0.6468455802	0.8682325844	-1.744871046	1.670993382	0.08925341781	-0.4068102492	-0.5665344502	0.07423878693	-1.42210871	-0.7624663376	-0.8169016901	0.2733590008	-0.4990111733	0.9659822028	0.4315926791	1.290487676	0.5905454104	0.2671155663	-0.8492097051	-0.5569484082	-0.1019285771	-0.09548395031	-0.9815231416	-0.5903136945	-0.0813150612	-0.4754157357	-0.936794443	0.7391574091	-0.738878942	1.144062732	-0.2344127469	-0.2959183629	-0.6289713535	0.0897402144	0.6103186912	0.8434537472	-0.912022556	0.952077048	-0.7760093657	-1.813590205	0.4385282736	0.4401207252	-1.012998364	1.075369773	-2.563947735	1.820923748	-0.3898748624	-1.109231877	-1.613738396	-1.010900661	0.1784347213	1.45527741	-0.5418222141	-0.6383063924	-0.9798293433	-0.909884966	-0.642210533	-0.9371209249	2.94666019	0.1723208046	-1.523979614	1.296464322	0.5569673175	-0.6416325957	0.8655859167	0.2289339115	-2.414140244	-0.1563649437	-0.4659711307	0.3534876087	-0.3370605488	0.6410880283	-1.228424653	-0.454402759	-1.502515348	0.587563874	-0.8329123089	0.8039098714	1.595561305	0.02734005952	-0.6143286861	-0.2041065178	-0.2717962456	1.800262994	0.9298144938	-1.148945981	-1.004595806	-0.7446949581	-0.3436834162	0.6868531053	-1.272013637	-0.6176111981	0.3501851894	0.2203891552	1.325110292	-0.8485289128	3.732550152	-0.6453812847	0.5013859253	1.251778447	-1.308808839	0.665672256	0.4214105729	-1.26780401	0.2053460402	2.010862968	-2.354001603	0.1897632408	1.678833862	-2.357258402	-0.9106399039	-0.8518507691	1.046267304	-0.03738126282	-0.02327655251	0.596005114	0.616258114	1.629037675	-0.9795633487	-0.0001631030617	1.084459101	0.7789623841	1.305747738	0.07003519614	-0.5070017273	0.7010255226	0.2326638075	1.182481813	-0.4172523847	0.6043826335	-0.935602156	-0.8421359435	-0.6705667622	0.07119448446	0.6517495879	-1.117767214	0.08089988941	-0.62769827	-1.116218258	-0.9070717476	0.6039086208
-0.4853778803	0.1089809775	0.384604425	0.3004319566	1.091279806	1.770346367	-0.3798107324	0.1543123465	0.06793772572	-0.1305800213	0.8344545733	0.5090904169	-0.527651492	0.3002845278	0.358243667	-2.182162175	1.046285582	-0.4232901066	0.1211440236	1.331126956	-0.3260249184	-0.9331385325	0.2017461845	-0.9661758321	-0.8885126931	-0.3061104944	0.723676871	-1.205310396	1.077447163	6.173664306e-05	-1.374255995	-0.806618075	-0.4601471518	-1.541476385	-0.4018714485	-0.1410597322	-0.3339544254	-0.6148115303	0.7119417724	-1.518563834	-0.03089467234	-0.5359671447	0.01569439532	-0.5448506983	0.275001349	-0.1733286776	-0.3666292567	2.018907766	-1.162148263	-0.1487729845	0.314513181	-1.534858287	-0.2522924369	0.2991911741	1.545846814	-2.068538773	0.9548531373	-1.901261372	1.225721193	-0.800474288	-1.584525566	-0.5292895427	-0.4819185732	-0.03006580948	0.4230041912	-1.183911246	1.205863048	-1.165477559	-2.091496396	-0.2829360617	-0.3464702096	1.952434077	0.2092009302	0.6467291749	-0.1745213018	1.602170581	2.251769036	1.974338416	-0.1081423081	-1.279519429	0.00893510681	0.2768180141	-0.5874972609	-0.8713122316	-0.1111196037	-0.6215020642	-1.115321905	-0.294585568	1.435065	2.192217661	1.033116535	-1.024652928	0.6867074962	-1.289254606	-0.2210779289	-0.2844674414	1.182054053	-1.251837178	-0.0677534872	0.1694362	-1.93255808	-0.1358860888	0.9714514162	0.5226246224	0.5301553466	-0.3937195804	1.146831829	0.3007410126	-1.435464148	1.996549343	0.3095316189	1.479218116	0.8804614938	-0.8012049274	0.03107870576	0.8312545769	0.01570236814	-1.344419788	0.7194650805	-1.236018751	0.4546865197	0.8143352057	-1.530698784	1.012377289	0.7639308015	1.74986875	0.90054496	-0.9018012061	1.579644863	0.6463474061	0.6968271622	-0.189011998	-0.167037025	1.283935289	0.157387399	0.4377939428	1.122952549	0.3829567445	-0.355597381	-1.483176313	0.3209421358	-0.8528937123	1.084570462	-0.08510656859	0.3524784462	0.7660113244	0.2210461369	1.619219513	2.037990354	-0.4098721374	0.01853421739	-1.362334292	-0.6142154362	0.3878478548
-0.4126083359	0.09175726146	-0.02958790755	-1.096580346	-0.9743335077	-0.7621940868	-0.4360728231	0.5560175216	-0.2607133771	0.08876170992	0.3550510755	0.2096602468	-0.5261264511	-0.1812786785	0.3462816373	-2.12284651	1.559703169	-0.3084999562	0.7467066067	-0.6393133288	0.6281695625	0.897945593	0.7202970665	-0.01926909398	0.2725972459	0.2542070667	-0.03918163254	0.9850103892	1.477332461	-0.2362112669	-0.1688042468	0.5644123633	-0.3933028422	-0.9099626504	-0.02009221323	-0.5173924392	-0.004061916375	0.3996702345	0.2097433516	-0.8347757183	-0.1940004624	0.3363761511	0.2871756192	-0.01831209099	-0.1634454576	-0.6529298078	0.8185569814	0.3478687834	-0.196365996	0.6351558184	-1.126697099	-2.39092999	2.935748879	1.490760851	0.6259706488	-1.328833294	0.7431153207	-1.548841025	-0.5273410511	1.013032852	0.3012566462	1.153592563	0.6660797786	-0.2431226626	-0.7610840797	0.4941779621	0.05679394879	-0.3507773714	-1.090749029	-0.4547589239	-0.3739984618	1.661999809	0.5812934468	-0.5038710298	-1.186283381	-1.248345269	-1.302037786	-0.3659244682	0.1153108337	-0.5581544285	-0.6449353389	-0.6563464254	0.0007384640751	-0.8842170024	0.2637356046	0.678981881	0.3768969537	-1.17466971	-1.063898092	-0.4136387053	1.304678543	-0.4621848935	0.1441401834	-0.4575293235	-0.8742856697	0.3230260813	0.4475446823	-0.08888925617	1.538323752	0.5250539982	-0.7879224221	-1.363606145	0.6628795683	0.3095254658	0.7372061054	1.549671224	0.2193985866	-0.8124461687	0.1103664338	1.620441091	-1.114492906	1.353303953	1.497951653	0.181863495	-0.3106423937	2.666057388	-1.585997686	-0.746450295	0.4234635806	-0.6483529924	-0.1924937595	-0.03030015169	-1.279128781	0.4491000806	0.1328946748	0.7394886908	-0.6090960831	-0.8633485544	-0.6605725737	-0.2025000232	0.7749563675	-0.2348531392	-1.547021146	0.1558491318	0.2042498895	0.3680216882	2.273495592	-0.8672398534	0.3489385511	-0.5101322836	0.1114198743	0.6169566009	-1.22822268	0.3753252016	-0.2401805907	-0.04003096048	0.2515705296	0.7803533184	-0.2305618511	-0.4890819997	-1.389647805	-0.326227701	0.05318179633	0.7171421533
0.3034011234	-0.1171409835	-0.2374970349	1.925510009	1.220579818	-0.8369055726	-0.1407993666	0.7669593907	0.4184686979	-0.1399482771	0.2712650312	0.1018462439	-0.7604068542	0.1576210806	0.5239761479	-2.947590271	0.9572152617	-1.117393592	0.6204488222	-0.9065781247	0.4777274734	-1.329968549	-0.3052950531	0.1890139833	-0.6508498266	-0.6627670304	-0.3666131583	0.1406647317	0.8123200176	-0.3744386313	0.57911241	-0.3917765628	-0.1999349088	0.006765435537	0.7696904004	-2.182003038	0.0720238527	0.5925166888	-0.6896494998	-0.9078151834	0.3145020651	-0.3432460605	0.6246328695	0.1671354391	-1.285212038	-0.4758659778	0.2896302901	-0.9007729663	-0.1523641136	0.4931669753	-0.05526554297	-1.460641799	-1.131971912	0.5494590325	-1.12778086	0.05784147591	0.7469630888	-1.725302609	-1.968251154	-0.4997787873	-1.769693287	1.084283143	-0.1069030723	-0.680222381	0.08381497783	-0.7557445842	-0.5427146031	-0.4873383398	-0.1480279626	-0.1894710992	-0.3036653034	1.485509983	0.9179025216	-1.132628437	1.48832975	-0.6102232216	-0.1795652197	-1.014603328	0.09484270728	-1.387644028	0.0004372250907	-0.6923239193	-0.5290047965	-1.013739581	1.233247545	0.4891381043	-0.09365549047	0.7887558705	2.081712628	0.78770573	0.3176371566	0.8735432669	0.6744964367	-0.6639503976	-0.1442447357	0.9685702134	0.6207455267	1.389671314	-0.7390344999	0.4677267948	-1.903709135	-1.140005353	0.8428852658	-0.3668812049	-0.1782619573	1.436262806	-1.801276692	1.271839232	0.4862773068	1.948731425	-0.4459377141	1.415984057	1.398336782	0.6428869516	-0.4868641612	0.398840131	-0.4078415182	0.001762677057	0.09513272048	-0.07985455966	-0.1636021966	0.5703470073	-1.071100954	2.525383024	-0.3413653699	-0.04720186382	-0.7873425136	-0.2571289577	-0.5312315678	-0.4305688227	-0.2562001625	-1.137748435	-0.8079896545	-1.675073858	-0.2439323451	0.5465746913	2.891671643	0.1760361796	-0.9572809488	-0.8376114895	-0.002105332779	0.2615766918	-1.292741387	-0.3994789998	-0.5908393259	-0.6730178413	0.2370562832	0.2177284898	-1.092547047	-0.4993494226	-1.032696815	0.1385618261	0.4243013603	-0.4864196918
0.1625651994	-0.07246709561	0.4886946098	0.06610012934	1.007021152	1.686812826	-0.410123745	-0.02890484344	0.01267320137	-0.2085354323	0.3309824465	0.5621784889	-0.5320068122	0.02629255181	0.7701773107	-2.488766367	1.079686611	-0.4276974874	-0.6360704504	0.5229988457	0.6565963192	-0.7453876405	-1.086740783	0.1927073427	0.4753974914	-0.5698294717	-0.2914931922	-1.072648205	1.819782989	-0.03172849514	0.08473134254	0.04136482365	-0.1593583984	-0.09308668073	0.5586180763	-1.71310852	0.3482909296	0.2953207388	-0.258160373	-0.002484406759	-0.3434248697	-0.1785244862	-1.017095866	0.6392483064	-0.4153306782	-0.3113089006	0.2114856943	-0.4958545135	-1.036468547	-0.4982876372	-0.3639707091	-0.3533559262	-0.8512623259	0.979038434	-0.7837759152	0.5359099087	2.022032175	-1.415534808	-1.548865243	0.2949330668	-1.927700253	0.9109555368	-0.4222666126	-0.2728322901	0.3450323127	-0.7099436415	0.9967699806	-0.6794592457	-0.5389204558	0.6778922289	-0.2622626949	1.798526313	0.162588017	1.203061213	0.6680156714	-1.320234946	2.331378335	-0.5805139482	-0.06073386047	-1.022188053	1.309075582	0.1726935376	-0.04837969064	-0.09107021825	0.7872066158	0.07188980566	-1.446513497	-0.9095813187	-0.2610141489	-0.08128063598	-1.635392067	-0.7048056425	0.7037849232	0.06173951537	0.1243405196	-0.6676917279	-0.01603093563	0.259750252	-0.3932603064	0.4482342353	-0.9675174104	-0.07245054418	1.062296396	-0.9574119798	0.1210906211	0.4410258445	-0.5512643454	0.2197915057	0.5176264412	1.161102886	0.3409896239	-0.4518170991	0.4491485367	-0.3423372524	-0.6662813119	-0.3308755999	-0.7659476954	0.1656052201	0.1402614221	-0.8507040551	-1.178981503	0.04065090942	-2.176511486	0.2348214483	0.0462348392	-1.253829657	-0.3225322055	-0.5662124406	-0.349439939	-0.305262766	-0.6915259929	-0.3200934685	-1.044433082	0.4547764562	0.5188459996	-0.4577050267	0.7899453413	-0.5755888327	-0.7770751106	-0.06507549488	0.2434482217	0.4819737831	0.50451317	0.276188402	0.4512243566	0.7431604388	0.0002998170387	0.3356166777	0.5292809136	-0.6336823537	0.224192487	-0.5660844303	-0.667267018	-1.434361883
0.01766896291	0.1931113684	0.737716327	-1.049423578	-0.01201694758	-0.5783673398	-0.8018578285	-0.4480433695	0.1625134262	-0.2405028745	0.2613343587	0.03264657401	-0.6181010558	-0.2012790192	0.5110392726	-2.616795695	0.5334144808	0.3547349197	-0.7458998721	0.9287321817	0.1877305695	1.526429459	-0.3403037395	0.3099220521	0.6772405772	-0.2376994705	-0.855885527	-0.4463682765	1.04049501	-0.3166117742	-1.333625073	-0.2077353903	-0.05512515358	0.2142126947	0.5641091559	-0.6081691721	-0.458004361	0.3716203484	0.08795662937	-0.646523843	-0.6441685245	0.01651857975	-1.440112709	0.8132854079	0.5874001343	-0.08895357783	-0.06323988135	-1.043340543	-0.7750220331	-0.9658841733	-0.4149897476	-0.2352932764	-0.6653859163	-0.2980436699	-0.3772923488	0.6864538418	2.47487304	-1.530167989	-1.778891825	2.339254794	-0.7928629649	0.8315130811	-0.1714053238	-0.3613628737	-0.67681271	-1.331341065	1.30495823	-0.1029719202	-1.180812343	0.1080550489	-0.2681404297	1.228376352	0.1074175645	0.6008524218	-0.5850210061	-0.6488345006	0.6194728179	1.193905918	1.021929974	0.4395112768	0.6550811479	0.2091801396	-0.793844877	-0.1010117334	1.161249544	0.4778308475	-0.6846311768	0.4381521389	-0.4522208529	0.3253449382	0.1479196934	-1.069588273	1.223048924	0.3268012037	-0.1643927349	-1.840606728	-0.2002882734	0.09285689927	-0.2987402791	0.5870093746	0.6357937174	0.00336026645	1.186386749	-0.1038930507	0.8993805622	-0.8074573649	1.89107046	-1.08079663	1.303143182	0.05047503597	0.01908056153	-0.3471671086	-0.1465886404	-0.05612792983	-0.06198148433	-0.7014200747	-0.06635628114	-0.1962106706	0.7026127159	-0.4517460336	-0.7047194544	-0.7757930823	-1.845152522	-1.134737079	-0.8602349241	-1.38957989	0.5964238806	-0.8685264195	0.0982492473	-0.7169087866	-0.2715637948	0.7930964196	-0.8231802932	0.3557931315	0.6463273029	-0.6210984067	-0.4041914885	0.09690211483	0.4832731447	-0.5397426576	0.5910030425	1.000054014	0.8038804844	1.164999667	0.9730023607	1.438232764	0.9877003223	-0.06841728517	0.7815449027	-0.543101436	1.176310401	-0.3281292714	0.001393818747	-1.578786743
