melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103
1.36126091	0.8666021453	-0.7287459337	-0.875221441	-0.08871108755	-0.4234771865	-0.7707555693	2.080148236	-0.7624671962	-0.3688136835	1.68265614	3.078351469	0.8924962371	-1.588668281	-0.1444817833	0.5770225663	0.07512472834	0.0113903377	0.01141984819	-1.22952276	0.4886593105	-1.837621811	3.618649539	-1.899783428	-2.086501434	-1.901685734	-0.4997177642	-2.011112178	-1.446843662	0.6866750809	-0.248134424	-0.1885439084	0.0995131767	-1.153125269	-1.825706734	-0.5083579167	-0.7228141991	-0.8033494105	-0.6015650655	-0.9470353782	0.002222307776	0.2018410699	-0.8001575535	-0.6885878138	-0.9382624418	1.105856578	-1.339203307	-0.5157431999	-1.3001169	-0.5757470385	-1.428877539	0.6402768399	-0.01837893186	1.126881164	-1.248413819	0.07332361195	-0.3350595448	0.9861735394	-1.202364495	-0.04279444823	0.8956339995	0.850198249	-2.639006739	-0.3567464677	-0.721780123	0.04962445815	0.5877714715	0.7689741674	0.3974498675	0.5643604194	1.335806028	0.05882443233	-1.814376866	0.2223696944	-0.9945988276	-1.313125569	-2.142846697	0.09375987543	-3.354540202	1.842996336	-0.100491835	-1.178964189	-2.053881161	0.3693974392	0.04275273232	0.0702295533	-1.863570602	1.428155155	-0.6955043356	-0.9104341233	0.04839313875	0.3502914048	-0.996303658	0.294883457	-1.064251087	-0.4461092511	-0.4490310041	0.06580301415	1.112349651	-0.3286988843	-1.479838331	-0.9756752411	-0.9638058675	-0.09755461287
0.9605064699	-0.259685157	0.4081879678	0.8895015339	-0.3118331029	-1.154018487	-1.008922517	1.133729815	0.8041719364	0.23091066	-1.474842117	0.4432476008	0.6810019322	-1.8224274	-0.2474345956	-0.3326309516	-0.5566913291	-0.2747176384	-0.6450472781	0.5724624873	0.3054971024	-1.58170083	1.603105064	-1.462186276	-1.642751171	-0.09502322288	0.1403150213	-1.982613635	-2.001216901	0.3322491069	-1.273849687	1.411856974	-1.668803872	-0.5446071619	-2.109765118	-0.1752781862	-0.6993254	-1.866583566	-0.6330329482	-1.769557637	-0.1884812306	0.4847123188	0.6405436112	-0.3605664777	-1.07695885	0.4568623585	-2.927352522	0.5121380193	-0.8261463821	-1.178270703	-1.007802521	-0.3990791557	0.08061116622	1.805327595	-0.108497436	0.3263439121	0.4438592597	0.1368962073	-1.079405118	0.1878515033	0.887857302	2.086116947	-1.571014674	0.5736855439	-0.4609380613	1.391026922	0.8514350776	-0.8173542053	0.02861738639	-1.082064846	1.821680794	0.4453313917	-1.083392217	-0.5739925875	-0.3680410857	-0.483960869	-1.497161083	-0.2988440671	-2.688614287	1.386683337	1.263461794	2.803002888	-1.688501037	0.1629787616	0.3972504007	-0.1104822176	-1.629290201	1.440705435	-1.1448964	-0.0174898899	-0.05184275257	0.7822629094	-1.346326846	-0.119191779	-0.7076606277	-0.05957006599	0.2586979788	-0.7470262256	0.2512159378	-0.8204504325	0.7672292633	-1.684826185	-2.161314872	-0.2730290753
0.44854343	1.113741498	-0.3582832261	-0.7052533578	-0.5628085896	-1.009818198	-0.7912680365	0.005493823914	-0.9240794499	-0.3637194908	0.2401794047	-0.4242196648	0.3582566314	-1.534794826	-0.1175080874	0.7074517456	0.9288701577	-1.858104463	-0.7742017977	0.9284738714	0.4623158141	-0.4925587454	-0.1620556098	-1.589096636	-1.072791383	-0.07233504331	0.6594881547	-0.4705055529	-1.515827554	0.470816469	-0.5792788854	1.817247996	-2.033604755	-1.282125242	-0.5319009942	0.6220594975	-0.1964101146	-1.74944994	-0.9985979716	-1.887136911	0.7714254763	0.2709723553	0.2193032761	1.612448886	1.391710076	0.5388394718	-1.43972126	-0.6597920032	-0.1450015136	-2.452068812	0.2955534818	0.641362401	0.2201259527	0.190344073	-0.1550317411	0.7847277565	0.1112303386	0.4835379362	-1.226105967	1.183644526	-0.29746628	1.192213867	0.2620957304	0.1192657537	0.7037939385	-0.0424731642	1.447655298	-0.8533431735	-0.08093052214	0.3604398533	0.4610254082	0.3748952399	-0.5234342884	-0.8893250813	0.4070623612	0.8690547955	0.4446192616	-0.6449338249	-1.275029626	-0.8252489912	0.3610440429	0.3151209309	-0.60488137	-0.5495477521	0.2146813962	0.2836735648	-0.9482353831	-0.9668953442	-1.496560093	-1.105756856	2.040756383	0.2534770571	-0.1556050304	0.2894872824	1.991467651	0.4934551362	-0.684863784	0.7659558224	0.8731019269	0.4679740749	-0.3376654286	-2.791169448	-0.9013911686	0.3139581677
0.06362703247	-0.1338346496	0.4752388967	1.501181744	-1.151163436	-0.8426356706	-0.4885823798	-0.4415828797	1.252918641	-0.1583506629	-1.169259169	-0.3596504148	-0.05366504933	-0.8417592966	-0.6381174936	-0.6490174945	-0.09722604453	-2.207359276	-1.004704787	0.4564302071	0.581721012	-0.2240701309	1.167528792	-0.7653315573	-0.4307298193	1.240407904	0.688895413	-0.459073948	-0.358254721	0.26179973	-1.213729328	1.924774813	-0.1206029069	0.2568725699	-0.62186766	1.398924896	-0.099336515	-1.227363403	-0.6768460513	-1.300488516	0.664539619	0.3006799949	-0.4284048624	2.7808952	0.9598967059	1.365021709	0.270060286	0.8269966092	0.09060274221	-0.2923221338	0.01041245175	-0.8803752229	-0.3179357112	0.4078344607	-0.9314448318	-0.2208808513	-0.2397654096	-0.3302074749	-1.264808252	0.1156736096	-1.10740448	1.44405917	-0.311566696	0.4886365666	0.5311935452	0.009067719131	1.218108378	-0.4987440856	0.3416712367	-0.08395488499	-0.6180546423	0.3332243486	-0.1629435898	-0.7584933397	0.452279659	0.05251973826	1.48623324	-0.03916812086	-0.7294314804	1.111386666	-0.360926074	1.303841065	-1.094589621	0.2008425225	-0.5098301343	0.3157817861	0.005618027144	-1.317356704	-0.3242897606	-1.842750828	0.4972440461	0.5916817414	-2.675895204	-1.010389902	0.8254129926	-0.1375320261	-0.2106422603	-0.26016225	-0.3079596663	-0.4758235521	0.9804692317	-0.6669158739	1.180653343	-0.5009128266
0.1161029547	-0.7865894318	-0.5770912761	-0.9323541648	-1.308637969	-0.182085676	0.7406434275	-0.9824733447	-0.7682141217	-0.05716007742	0.020741784	-1.503064049	-0.01780687359	-0.373861569	-0.2996142679	-0.3132126705	1.413864742	-1.804122703	-1.179568797	0.6009523026	0.3623348716	-0.8766931999	0.1697178854	-0.3931874085	-0.1794811334	-0.8933246926	1.344880215	-0.1897987092	0.1702791815	0.6595405615	-1.007515632	1.341655532	-1.048634633	1.444855156	-0.8507845443	-0.1808790396	-1.186364896	-0.7077768801	1.358938803	-1.393873831	-0.5103420152	0.1395642194	1.633954363	0.4833465841	0.2575962519	-0.7371678815	0.521737133	-0.591453257	0.3942896101	-0.5743544515	0.1407854905	-0.03061132883	-0.9673317289	0.2073597066	-1.098917295	-0.8121034535	0.3454904458	-0.4665328598	-0.9414081728	-0.1490159571	-0.6825881363	1.367165948	-0.7963183913	-0.407599303	0.6902668203	-0.3517296542	1.619864635	-1.215510274	-1.019469317	-0.2433142425	-0.411660415	0.6806655192	-0.6418665717	-0.6499017207	0.772640915	-0.95819175	1.273149131	-1.038841182	-1.102925898	1.067734081	0.8622996752	-0.2965270507	0.415751928	0.06187622129	0.2562749462	0.1236017263	-1.197679559	0.02846072074	0.1071026035	-1.34652203	-0.0253486173	0.7063778628	-0.2487191866	0.001026973419	0.9978272446	0.09038723419	-1.124225978	-0.8864886885	-0.7239579519	-0.9147538043	0.2786856946	-0.5624451986	0.05278771846	0.6047352108
0.3295482424	1.297060154	1.942852537	-0.5040651716	-0.9328442723	-0.1237772309	-1.381643209	0.2773733397	-0.8016802039	0.0660694119	0.3342671475	-1.306006531	0.5400379269	-0.3514759069	-0.7108671254	0.110563766	-1.783414733	-1.859614164	-0.4879459303	0.7791135545	0.8698305904	-1.069851595	-0.6740724762	-0.5040244115	-1.088105396	-0.2740277865	0.7121205436	-0.7321078369	-1.138263943	0.2397720661	-0.7491652662	1.560830187	-0.2862113363	-0.9528098844	-0.1095743905	-0.1553468734	-0.1273009965	-0.8305172343	0.6834599529	-1.726596107	0.3852128306	-0.4754888912	0.5749345342	1.560644233	-0.08999745275	1.015349568	0.6164440892	-0.3203807671	0.7569217966	-1.400656918	-0.7045004329	-0.2865653654	-0.8707769469	0.5785280834	-0.255995173	-0.6941884874	0.1429870031	-0.616526595	-0.08271851734	0.04423013954	-0.03785565273	1.454344307	0.6534940849	0.3096110025	1.023628677	0.2266081168	1.334669317	-1.170074218	0.455166506	-0.4859352794	-1.628823084	-0.7546593154	-0.8155244765	-0.9952750706	-0.01708942107	-0.2173242801	0.1886298797	-0.2063737859	-0.7268858869	0.6132208741	-1.023194935	-0.005386772094	-0.4107060817	-0.07125430082	0.691018517	-0.1025412469	1.273991871	-1.188905186	0.008578978639	-0.6074298176	0.3115561036	0.2396034859	0.2396524825	0.7705004041	-0.09724941708	0.5923806444	-0.6235738512	-1.606903352	-0.3005042642	1.038699601	-0.2194524744	-1.495997987	-1.856778261	-0.6874262441
-0.06293721501	-0.4741651598	-0.05680272396	0.4721680542	-0.9030504315	-1.309077692	0.818252533	-1.084192727	1.537306309	-0.9240225777	-1.602196007	-2.436619245	0.2931133432	-0.9679686441	-0.8540590283	-0.5141948228	0.5739099913	-2.040608845	-0.6866058392	-0.1612656368	0.6562911016	0.1054438061	1.216922724	-1.079075058	0.7481134111	1.359252589	-0.1010526158	-0.7766950659	-0.3904360074	-0.5342763135	-1.356844484	1.285325765	-0.4279601377	-1.693969498	0.8800262188	1.605860062	-0.1649689516	-2.252416545	-0.1510139748	-0.6429772635	-0.8212269717	0.7099368966	-1.079407131	0.2034515937	0.2393235903	-0.142108314	0.1633825035	0.4990474799	0.8208614096	-0.7296158802	0.2940500419	-0.09218497587	-1.230874353	-1.466247964	0.04913921688	0.1334596919	-0.5695164477	-1.096815843	-0.3935449917	0.6204390671	0.2703396176	0.08621582984	0.9231463129	0.6697460105	1.195062184	0.606626368	1.508200823	1.811217674	1.922170363	1.114955041	-0.7547037912	-2.508840098	-0.5861068667	-1.116520936	-0.5327428996	0.9333762955	-0.2628025007	0.794527696	-0.5220580059	0.7406038387	-0.1483407495	1.530823988	-0.646815845	-0.2938660639	-0.3568073583	0.2532591495	0.2047208465	-0.8547990869	-0.2660316489	0.1491369296	1.061191648	0.6445904874	-2.509567818	1.037710304	0.3768155789	-0.1625973805	-0.3952731863	-0.811610253	-1.035863207	-0.1494718575	-0.426206977	-0.05469155437	0.3563600806	-1.351375112
0.8210906509	0.6329770838	-0.454865066	-0.3276719911	0.03054206457	-0.9569928483	0.07839260158	-0.7684372634	-0.3728579058	-1.5062632	2.101208173	0.7030605408	0.7190574622	-1.220075881	-1.084572844	1.417136889	1.207156738	-0.25037822	0.6083200449	-0.6031668653	0.02348938844	0.1229579911	0.2370473026	2.740108687	0.7347575618	-0.3577256493	-1.018792004	-0.4578707303	0.9461691439	-0.01904698229	-0.854033916	-0.5290453434	1.650308255	0.4543846453	0.7902911111	0.5516157474	-0.1782788294	0.2032795939	-0.3807690041	0.1255423175	-0.5744716418	0.2146134715	-0.1539937455	-2.445510731	0.6822201387	0.106832254	0.9817686388	-0.5861792239	-0.0964095291	0.05674648302	0.2371004236	1.41977399	-2.082743576	-1.068484836	1.527770395	1.416038334	-0.159823141	-0.5301733841	-0.5863469397	2.524779316	0.9677700691	0.1055355555	0.8455661782	1.034927987	-0.1248421557	-1.095692989	0.8583359049	2.767242076	1.064334748	1.832414078	0.4062046389	-0.4394580165	-0.975965028	-0.3338349148	-0.7411961893	1.522502245	-0.2942173623	0.3578696406	0.5911658345	0.1888493653	0.0753173535	-0.6950424108	2.05166024	0.3144056832	-0.09420974515	0.1126169945	-1.761471578	-0.5366732243	-0.3586992233	-0.1103582984	2.253408988	-0.09674739299	0.5950703881	0.6603122002	-1.327768633	0.3823134105	-0.3074688819	1.34158631	0.4662842741	1.135033041	-0.383654516	-2.537354789	1.008048712	1.451144491
1.086011159	-0.04508525613	0.7488479989	1.413951237	-0.5234828943	0.1804386134	-0.7516278705	0.8119258469	0.6773802072	0.02611386374	-0.7113617814	1.99863143	0.5860963052	-0.5305834089	-0.6614265125	0.7632757653	-0.6480339694	-0.6968820859	-0.05755311963	1.154229058	0.3645719189	-0.8594125679	0.3577295711	-0.05577088623	-0.4511884929	0.09564276266	-1.163093332	-0.8037800322	0.6869325616	0.09365548769	-1.526975845	0.8749506272	1.18436374	2.168092355	-0.02641121917	-0.3744919337	-0.3752476289	0.8982078738	-1.17715751	-0.9910390963	0.4304775748	-0.01948601707	-0.2775174858	-0.3988847494	-1.807731813	1.190675375	0.4686389346	-0.2205743574	0.9627279634	0.5116870985	-0.3905227977	-0.8631276662	-1.65515447	0.5474267076	1.524254677	0.5067704711	1.438922824	-0.9463938128	-0.8882880083	1.668903488	1.262337322	1.215943386	1.051392157	-0.3435909359	-0.0471090731	-1.656462078	0.7049693625	-1.578497085	0.3229143524	-2.12734458	0.6861730678	0.526296622	0.4351570778	-0.4738259157	-1.006705439	0.4402926079	-0.463001606	-0.4811560857	0.9597281034	0.03264064541	0.2588272569	0.5469917113	1.084830657	1.437318819	-0.7061223235	-0.177040135	-0.5633192626	0.5473486319	-0.09593166977	1.167052392	0.1847161194	-0.9579985537	-0.4695428821	-0.3243156423	-1.133197761	0.3786599537	-0.8562073035	-0.9432670428	-0.0002148604148	-0.6749788259	0.5818190337	-0.7499786149	-1.095161162	0.2464588159
-0.0499762752	-1.021176851	-1.050820493	-0.9751874131	-0.4397162772	0.4002738541	0.7410566753	-0.5994378673	-0.5567587076	0.5998253528	0.6306896686	-0.04776591275	1.072608757	0.6767818725	-0.5545163763	0.999317051	0.9540033997	-1.095866069	0.1961787921	1.841394544	0.3169359559	0.08508406947	-0.6949339007	-0.6816233626	0.3551221735	-0.2515684518	-0.1684877479	-0.860330779	1.455288416	1.13379851	-1.278197683	1.705342549	0.148548637	1.464153708	0.9850286965	-0.7244832949	0.09848304027	0.8161312194	0.6734796494	-1.164972907	0.8842777404	-0.09986515955	1.519395339	1.027832528	-1.589148213	-1.021773659	0.6966773084	-0.9956537347	0.2212038345	2.152160521	-1.291940003	-1.14179219	-1.318357957	0.003832112155	1.927740287	0.3085113558	2.217904599	0.0431559846	-1.142733599	1.171876267	1.597259002	1.74782515	1.014184098	-1.302042078	0.9683002954	0.1960970708	0.8963174437	-1.416342285	0.6363654692	-1.00410189	-0.147279677	0.9294126343	0.3371740643	-0.4538024566	0.3418915266	0.1167654182	-0.1425683554	-0.6850751791	0.5429685315	0.5542007678	0.2113451819	-0.7665211064	0.3683481523	1.310561361	0.4967774459	0.01480792626	0.7910408663	-0.4876084926	1.725115267	0.4756079497	-0.1081798649	0.008734923434	0.6859929058	1.134549136	0.3151654018	-0.6661460925	0.023978386	-0.6746404995	-1.095352044	-1.261587934	0.3428788749	-0.0488135548	-0.09976547852	-0.3344937202
