melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134
-2.084182553	0.8424551806	-2.968308281	0.5876496207	-0.2283870582	1.096545543	-3.939421777	-1.014575363	-0.8234759341	2.678875948	0.5879034944	0.9418664702	0.4024573808	-0.4569908964	0.2965872298	1.143493188	-2.528302705	-0.1416614352	3.444134349	0.7614456928	1.132980471	1.743502264	-0.9318539298	0.0191576114	0.3913906783	-1.497327578	-1.491082396	1.736379356	0.1820457643	-1.013578881	-0.9315107303	0.5013525385	1.019227904	-0.8866136929	-1.850521375	-2.665423747	0.3924246638	2.532745939	-0.9158283821	0.1034472819	-2.491717919	0.2389331745	-0.9497891436	0.9050953576	-0.7076386747	0.2746018142	-0.8466233918	1.784852848	2.633004489	-0.481747196	-0.9934499269	1.981782919	-1.441546506	-0.0096305122	1.301661198	-0.444131588	-0.7757411948	0.1198922726	-0.02186549342	0.4545938225	1.221795979	-0.4519779763	1.369009102	-0.462597321	3.379962667	-0.4641243724	-0.06370977492	-0.3196855869	0.7969706404	-1.025571933	1.332372168	-1.320190532	-0.1945863905	1.638425875	-0.1085786988	-1.104685779	0.8502449486	2.687920196	1.734460949	1.06074953	-0.9250791974	-0.8593834773	-1.953754321	-1.056460906	0.9299186487	0.6860398949	5.399461097	2.483684584	-0.8743355359	-0.5410926285	-2.188089821	4.558538035	4.626819765	-2.093363682	-1.555630855	1.121042381	-0.7298327215	0.175693132	-2.074122552	3.100386819	0.1560335133	-0.5501459404	0.812817854	-1.708566342	-2.173247344	-1.277800885	-1.057206856	1.350813967	1.535172807	0.1719294493	-0.8771596841	0.01364772047	-0.4969271197	-0.9819481008	-1.89435218	-1.095482412	-0.1634269265	-1.927031953	-0.3807854783	1.272381923	1.527992776	-1.330246062	3.532995293	-1.589362896	-0.149627333	1.049050793	-4.201481227	0.9492087399	1.226525608	-0.2078248856	-1.008224559	-2.03659485	0.8931491769	-1.293226487	1.591039403
-0.2689354681	-0.258769761	-3.365454393	0.9567832622	0.02381039892	2.917032156	-2.005593807	-0.5128236392	-0.9373887854	1.446009036	0.9664188017	-0.02919349875	-1.122087296	-1.173287945	-0.7749732306	-0.9005227251	-1.532343027	-0.6943767963	1.208817658	1.297976958	1.157680526	0.9786239523	-0.01094451763	0.5827399385	0.8402234012	1.854259646	1.868911261	2.376214717	0.6583893145	-0.4129901143	-0.908497766	1.687705611	0.9169732285	1.603486291	-1.351181337	-2.998433701	2.054247856	1.52723597	-0.3713306153	-0.3837369948	-2.298045572	1.395222981	-0.04755442066	5.336289388	-0.2016613671	0.182940485	1.579519012	0.9598454542	1.541807996	-0.6311868144	-0.8222283601	1.429252398	-1.547580654	0.4133236737	-1.434928135	-0.09774473848	-0.2991517426	-1.371657217	0.2435759128	-0.3510750505	1.375434224	1.413945498	0.6977554037	-1.28506107	-0.9240014308	1.140457154	-0.2882676976	-2.259706032	0.2277022551	-0.8818232117	0.2410772688	-0.2308965797	-0.3021856164	1.969382935	1.441961221	3.667256113	-0.8514067385	1.144920216	-0.6515266657	-0.8786639928	-3.40303135	-1.513940022	-1.234046559	-1.38179052	0.7217076138	0.02290001874	4.981880612	0.9178356113	-0.1600038517	-1.751754583	0.06458337212	-0.4649379121	-0.8164594722	-0.9443337268	0.2592905815	-0.3708626011	0.4270586977	1.983650794	-0.9217985759	1.59743665	3.904568575	-1.053917639	-0.3899717987	0.3581137418	-1.02850532	2.248215473	-0.2291283304	0.1495819193	-2.175301316	-0.003429587836	-1.372949551	-2.204205526	-0.9428706311	1.399415121	-0.8274192975	-0.7750342685	-0.4619091259	-1.026124143	-0.4899512219	1.576171054	1.955762042	-1.657529194	1.436875606	0.5250064688	-0.2837818421	-0.8475627786	-1.638993545	-1.099204363	-1.188496018	-0.02698276587	1.151782329	0.1678605465	0.836741708	-0.5971847877	-1.386705156
1.007823689	-0.6028554255	-2.335101789	0.6730483979	0.07348519116	1.217853267	-0.848440306	0.2186516887	-0.9983212081	-0.2744330026	0.4107521307	1.19758122	-0.3603852467	2.341046749	0.4121037541	0.04962878379	-0.702067898	-1.410370324	0.7302231278	-1.659292383	0.7378550904	-0.5260660452	-0.8312094657	-0.1672551805	0.9937097321	-0.05516487381	-0.03935926816	2.13542484	0.6153572803	0.03497777179	0.5007942072	-1.057465201	-0.2904458412	1.174202038	-0.3483377342	-2.270030757	0.2726864741	1.243745846	-0.9272186498	-0.122500916	-0.09410736001	1.423850362	-0.4990505482	0.668839113	1.145449025	1.262936222	-0.4604326859	0.3435458893	1.214667881	0.3053334212	-0.9174102657	0.5984373137	0.5499003037	-0.5472314009	-0.8564438763	1.654764489	1.293338397	-0.7782897423	0.4740427857	-0.7854056798	0.5902918321	-0.9995622059	1.502901674	-1.005258485	0.7476948269	-1.721894721	-0.8294063795	-0.07004087519	2.31581166	-0.4213561636	0.7191715244	1.587576536	1.100204551	1.263727137	-1.325764359	-0.6020385854	-0.3446637299	-1.682148718	-0.08465686852	0.5088927386	-1.857305379	1.305985173	0.03827933666	0.4232311918	-1.305460349	-0.6922171434	0.5316000596	0.4508113776	1.579118927	-1.852809243	1.019750499	-0.1331470227	2.58471932	-0.7662564316	2.200137326	2.296243709	0.1048586825	2.104267554	0.9624673563	1.611646882	2.165873928	1.559155494	-1.289872868	1.587816924	0.7107117825	0.3892514648	0.6228161613	2.572276762	-0.9222483296	0.1759536229	0.1051044365	1.125350077	-0.0853826895	2.132639516	-1.107468746	-1.581239014	1.237431786	2.423549275	-0.5827322809	0.1845224617	0.8208666034	0.3782310285	2.810917643	0.4035911499	0.3016777158	-1.312922934	-2.250058654	4.353035417	0.8460998634	-0.5700049965	0.348404174	-0.4522024831	-0.9920514419	1.159419127	0.5477709215
1.363459604	-0.8321595055	0.3966784838	0.5933182341	-0.7209652478	-0.8241130152	-0.5828639922	0.5106461677	2.467417074	2.294657595	1.119440615	0.4887742216	1.489164646	-0.1554863996	0.01092029246	2.687217984	-0.3887036893	0.7568219807	1.889224763	-2.015725566	0.6034714592	3.105360708	-1.64611537	0.1367333141	0.3934865605	-2.359252308	-1.188335641	-0.008422458035	0.6656087938	-0.06286683907	0.6821034476	-0.3019887158	1.776178368	-1.540707612	0.1413950762	-0.9608929836	0.0412255425	2.892039823	-1.151027826	0.07768369569	1.146436424	0.4202112697	-0.618244719	-0.7957694886	1.951669918	1.011267272	-0.7944267446	0.9728903064	-0.9910361316	2.294096016	-0.6325455956	0.1139590508	-1.704904157	-1.232998599	-0.3215481985	0.5297130567	1.057880268	-0.3342040181	2.607042071	1.298703972	-0.6490884783	-0.6188593152	1.857495592	1.056732862	-1.779681155	-0.3744511655	-1.111803052	1.632818827	-1.190681113	-1.332686979	0.9922196083	1.079764303	4.083496641	0.02423620137	-0.791355955	1.095689959	1.303193958	2.293860821	-0.8548692393	3.468962691	-0.417669799	1.381179963	1.153064787	-0.5121173612	0.5239780611	0.7652021271	-0.4897455533	2.17093783	-1.07862816	0.2691182229	1.125155597	-0.7611166107	-2.182545906	-0.9699588237	-0.9438085318	0.5039383172	-0.3437923448	1.817062578	0.8905746783	2.234678589	0.1367150474	0.20570356	-0.9362086694	0.7737499078	-1.300903303	-0.7207676664	-0.1851653698	2.197946773	0.4603241486	0.7954967058	0.009952687274	0.2537190923	-0.4242241645	0.6841902867	1.099536968	-0.3291408412	0.5203296593	-0.4629576787	0.6229213242	-1.105690968	0.5521193949	-0.9815560207	4.007884692	1.213361297	1.026516142	-1.282619019	-1.370724462	3.294858324	0.7099248038	1.069534594	-3.126041778	-0.5190428408	0.2880987688	1.015386869	0.9145599876
0.6413828034	-0.6137250546	-0.4521002999	0.9871863735	-1.214741441	0.307791612	-1.115292841	1.417732895	-0.4410109145	0.8647624058	0.7576914608	2.169198294	-1.156718832	1.814284573	-0.1381419506	-1.535205061	-0.5764003291	0.4161422613	1.303583114	0.952832198	0.9050518701	0.7207440132	1.67055723	0.7102539588	0.3748607965	-1.550245638	-1.115995139	0.6577604538	0.5335837337	1.318170976	0.3880014171	-0.2857361135	0.6859872605	-2.531868141	0.08519388904	-1.122490661	0.758749875	0.4334250653	-1.764879195	1.772293205	1.018248848	-0.6735362578	0.4365503866	-1.510817723	2.115670996	-0.3086556447	0.1637837203	-0.02237177563	-0.1482790116	-0.3052490253	0.7116313129	-0.3040895097	-0.3522164592	-1.11322152	-0.4754537278	1.125498061	1.265644489	0.5469092993	-0.2022207507	-0.8465694547	0.1003700487	1.091784406	0.2692524673	-1.301633715	-1.746952278	-0.4105497148	-1.247948963	-1.520858384	1.572531233	-0.3784798239	0.1693079869	0.4649741359	2.320895949	1.826287717	0.4467289674	0.6227879065	-0.06001076451	1.594308093	-1.610691767	1.311798464	-1.222578725	0.5634469545	-0.550702424	-2.080947175	-0.2736384516	-0.3530541847	1.412210255	1.363512939	-0.9728045872	-0.3778720625	0.7693459187	0.3821808651	-3.126429486	1.281563461	-0.9769076836	3.575666555	-1.995677489	0.2842021352	-0.5021085623	1.819745601	1.071707596	0.03546576346	0.1445930735	0.8664196499	-0.04927907072	0.2242688741	-2.131986351	1.85601834	-0.02646073064	-0.317332065	0.5544863832	-2.894497372	-0.4506329537	-0.2321051488	2.408157874	0.5918538563	0.5193017956	-0.4737113459	0.2426714673	-0.2044760257	-1.435083005	-0.8738693927	0.6489311785	-0.04104836364	-1.566507192	-0.9484020087	-2.091686049	0.1822207149	1.622568472	-1.62303365	-0.08296347766	1.035659799	0.1634918991	-0.8172847847	-0.02386493649
-0.4337341146	0.997473827	-0.5723408972	0.09742674537	-0.7191843143	-0.06348493036	-0.9318408731	0.1658968697	-0.7292038332	-0.5702597927	0.5281172011	-1.333672551	-0.9892207775	1.191980248	-1.312559842	-1.023527872	-0.9616116596	-1.743866222	-0.1759376827	0.818630549	-0.6331928522	0.1106702714	0.6040191348	-0.2005959322	-0.7149128669	-0.007124891803	0.8052799461	0.8655849013	-0.4174105203	0.168228879	-0.7326771903	-0.7103003699	0.4427482151	0.1490121664	-1.683428096	-0.8272104615	-0.7604559944	-1.333544171	-2.305757239	1.10154716	-0.03802097283	-0.763052831	-1.547516985	0.4400865884	-0.4266137703	-1.72527342	0.3717881131	-2.203752687	1.360257911	-2.02488554	0.3943492417	-1.19880119	0.5712867079	2.096809961	-0.9844080365	1.015877499	0.4301462752	0.8766033765	-2.173800453	-1.158044984	-1.458393359	0.5099172968	-0.9074847209	-1.641929261	0.01219446191	0.4634383716	-0.4405455806	-1.030077193	1.460616238	2.232642976	-0.3587863325	-0.1318483731	0.2275962025	2.194994676	-1.022711777	0.6825072136	-0.3394722561	0.4050349232	0.3950248476	0.2067274936	-0.7525085324	1.764227076	-2.001081448	0.06995406493	-1.380308317	-1.056169111	-0.354269956	-0.2934675074	0.8369766149	-0.2135183323	0.839407582	-0.1799708676	0.2483975421	1.077298284	0.02492837587	1.0001185	-1.211891127	1.325138958	0.3490782	0.8069532529	0.2646695311	1.127383936	0.3378421005	0.2455275292	1.348770858	0.05669733299	0.3426772392	1.519763691	1.023637808	-0.8050452916	0.3187013224	-0.3265324792	-0.7794564231	-1.594346028	0.1193102212	-1.509397374	-1.287066133	-0.2290195637	-0.5933884305	0.2340556401	0.01920533124	-0.9316028901	-1.2808164	-1.659598277	-2.234887179	1.41805857	-0.220017516	-0.3784179567	-0.9100134087	-2.621832592	1.208757061	0.1859609155	-1.8319167	-0.8307973043	0.3084344781
-0.03847426862	0.8286530579	-0.08595734075	0.1018331053	0.5329601436	0.529266384	-0.05165748313	-0.7608101479	-0.2575234449	0.005601058174	0.6310253486	-0.4464157257	2.076505043	-0.2584352966	0.3336661306	-0.8728049179	-0.0001999554737	-1.371320708	0.3520212179	1.533343144	-0.5544646912	0.8399191275	-2.027306761	0.3017659722	0.8850992488	0.7332363272	0.5530344231	-0.01584298725	0.1327171058	-1.583489684	0.6473169847	-0.5244843357	1.206091459	-0.1812253173	-1.00661774	-0.9591854058	-0.01749347667	-0.876844862	-0.05033368547	1.258745264	0.9267932983	2.358891577	-0.3591016592	-0.2265814509	-0.04103223	0.4776497476	-1.175048944	-0.9931335688	-0.665060188	1.365717257	-0.8311637947	0.3936812846	-0.2568912965	1.337153282	-0.06068601515	-0.5695720846	1.762526247	-0.6216779672	-0.312689534	1.616071226	0.480012136	-0.8806951989	1.328695338	0.631729864	-0.9012181918	-1.179062691	1.03628649	0.09913609714	1.117416478	-0.6606914456	3.000428112	0.7286834521	0.3816326909	-0.7582288804	-0.7597967754	1.044277208	-1.131306614	1.208674803	-0.5161671976	0.6760764735	-0.1660609244	0.3364806626	0.6873087137	-1.209211856	-0.1450805939	-0.202794886	0.680708597	0.1449317913	0.5333569514	1.530483048	1.38068527	-0.4829802082	-0.06260983358	1.304712551	-0.706476185	-0.4674058033	0.8111325562	0.05880650995	1.591529996	0.9187844595	0.05836489611	-0.1771524026	0.3112651289	0.8623837161	0.3157569067	1.153684536	0.6731456084	0.7956547988	-0.3696010124	-1.40672345	1.981035097	1.403245667	0.4268342384	0.4395301286	0.5029892277	0.6095103021	-0.0864116852	-0.3607003872	-1.081292544	-0.7600914075	0.808173442	1.042354605	-1.034682955	0.1230073516	-0.4539311005	0.04889786695	1.090176264	2.875098802	-0.5826249284	-1.184151295	-1.258920782	0.127918136	-0.1889334207	0.5309474064	-1.228236424
-0.2563761619	1.10292437	-1.584196688	-0.02537413224	0.8639052304	1.031168729	-0.661982848	1.652497009	0.0101471181	-0.197675423	1.042792673	2.392220899	-1.162027594	1.949783174	-0.2304211742	-1.015784929	0.6214054491	-0.8480248087	1.336499046	2.337649831	1.378169075	0.1923622405	1.589243403	-0.6977120171	0.9351213782	0.9856964822	0.06735072676	-0.678653289	0.3291268484	0.3506229182	0.7079441963	-0.0367881653	0.4036171337	-2.333862352	-0.5551387466	0.5449947566	2.091108308	-0.890902585	0.6495180168	2.344136928	0.7943396337	1.913968457	-0.3179460082	-1.39537518	0.8724880462	1.010896139	0.5165549478	-0.2840170261	0.969303821	-0.1984505366	0.1329626711	-0.6394919816	1.553734507	0.5032572942	0.6550051175	0.3867833125	0.9070693308	0.978414745	-0.6990862285	-0.1468268678	-0.5816874752	1.09457906	1.12728733	-0.06667014912	-0.2205185747	-0.92222372	-0.0704575882	-2.342399161	2.120138184	-0.3139341078	0.6022388984	-0.1078388242	-0.6150614979	-0.4430045898	1.019285005	-0.4597183736	0.1338167257	0.10623183	-0.05123999406	0.9760460085	0.4603139126	0.2026405631	-0.01444285086	-1.138803353	-0.5127262205	-1.457470909	2.755873073	0.1061006502	1.039083094	0.4768973827	0.7962166915	1.920450034	0.6988280788	0.3296623823	-0.4080426725	1.107133157	-0.67851542	-1.328140391	1.020507872	1.293589082	1.17866175	0.2646425559	1.073466897	0.6734223294	-1.104178559	-1.435819813	-0.7979727536	1.553764468	-0.08179058033	-1.101679757	0.6471298358	-0.09682591479	-0.280780635	0.1969810388	0.4257619131	0.3321747696	-0.6707050724	0.2791016343	0.1993367967	1.39684318	-1.699606599	2.484028183	-1.253992502	-0.1680100871	-2.148937474	0.8063735465	-0.2313721913	-0.4054748245	1.600023246	-0.9068269423	0.6136865634	1.097762675	-0.3570986047	-0.9839080287	3.0827174
-1.464346717	1.019482303	-1.462500254	-0.7352069725	0.6253978495	0.5590643646	-0.1089163228	0.5755640382	-1.242083683	-1.192580354	0.8642929756	-0.8736841158	-0.8698453473	-0.2639445877	-0.9141068025	-0.7582870548	-0.1687270645	-1.450270785	0.4958554547	1.043602567	0.9026483365	-0.7631535051	0.3689286925	-1.715880288	-0.6749473736	0.8921523405	0.7960724827	-0.2347650863	-0.7287793701	0.8873819148	-0.4329161762	-0.2505270534	-0.4720065374	0.2943032774	-1.34446897	0.1304119756	-0.5265150856	-0.9454350007	-1.568621529	-0.2473468075	-0.4823642117	0.1291266073	-1.707488966	-0.4885330993	-0.4564291121	-0.4144566966	0.6162571949	-0.8896116737	1.477373929	-1.53416262	1.246655412	-1.388464887	1.57477174	0.8119169307	0.3267753012	0.8657731753	0.3104311651	0.8687538473	-2.253748897	-1.581589727	-1.347705198	1.133227502	0.2756171536	-0.9967898894	-1.546262502	-0.31076999	-0.7365382903	-1.085625118	0.3785659681	2.075360624	-1.071024427	0.00494455259	-1.133485068	-0.2863601287	0.1224752514	-0.1825442024	-0.5900927234	0.3895349312	0.2023665124	0.2263103615	0.1993890898	1.588804488	-1.61943906	0.2855591137	-1.181291618	-1.754151999	0.5098660526	-0.2441256125	1.068210401	0.3774316243	0.6501588459	0.09673984326	0.2254314881	0.1719273103	0.448265586	-0.3813350151	-1.208325583	-0.6774000949	0.947222159	0.2449720363	0.6301411657	0.09470331608	0.6250319396	0.2039230484	0.6636085343	-2.205705233	1.047565763	1.646363179	0.4383738121	0.2418116774	-1.347169038	-0.6377557108	-0.9829258792	-1.236954308	-0.7139433478	-1.891411741	-0.5073222081	0.5701944816	-0.4140560775	0.5013738154	-0.8886392016	0.3026123149	-0.481574627	-1.114191532	0.07837766858	-0.2506525605	-0.3167953678	-2.286089783	-0.6972799472	-0.0008957857755	0.8349379404	0.4569805947	-1.803430001	-0.9166798256	1.775541693
-0.3999837622	0.1739118624	-0.8124645282	-0.06980864513	0.6242872628	0.533214126	-0.6985007359	-0.9875338335	-1.157129046	-0.8204576421	0.4270236306	-0.328979781	-0.1661422001	0.9801328491	1.610408588	-0.8550218125	-0.6673971711	-1.140209913	0.3159621898	0.5810776127	0.8428375592	0.2289718528	-0.5836177931	-0.1457494281	0.3544154419	0.2532602698	-1.000747831	-0.1914540187	0.1361869744	0.2794866717	0.01432078832	-0.5283959281	-0.544489471	0.5331448629	-0.09179067194	-1.587478043	-0.269739373	0.413276989	-0.8159080185	-0.8087522326	0.5404738051	-0.09724211265	0.1072840856	-0.3402704811	0.3820278546	0.1596658687	0.2540009201	0.4237685274	0.2847829735	-0.1603867905	1.279404599	0.8251530701	-1.096811854	0.407856769	0.7659527828	0.6398641334	0.459711457	0.1216999143	-1.019803396	-0.4632469179	1.29322952	-1.142121799	0.8541148363	1.158736862	-0.9684326339	-0.8410675366	0.4980619421	0.6626728205	0.2939933059	1.43640426	-1.382796471	0.7402993186	0.6954385029	-0.6597511665	0.1326701127	-0.9822083609	0.009068509882	0.8439230736	0.3335325886	-0.3530707969	-0.3086953928	0.7049464296	-0.7700284176	-1.43879187	0.2917346406	-0.6270388817	-1.185385252	1.069722998	0.09071866447	2.039929252	0.3562718368	-1.030920589	-0.6274283352	0.5371581949	0.134963762	-0.3827870671	0.9394785329	-0.3831019324	1.425787459	-0.2052442784	-0.97349598	-0.06802495745	-0.2217000014	0.9571770512	-0.2146272457	-0.941630108	1.965498596	1.472759846	-0.8647737081	-1.002518516	-0.341108872	-2.711557832	0.3057700318	-0.8310312647	-0.04222504595	-1.296899308	1.095224713	0.1205992051	-0.3614793424	-0.8288994621	-0.6834359863	1.035810836	0.03644025003	-0.4493692241	-0.5553552241	-1.436985016	0.4848809429	-0.7649624546	-0.03510388096	0.3909986047	-1.065491169	0.02973709878	0.5709579988	0.1492418541	0.5823876611
