melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119
-1.057610351	1.184954787	-0.9041174704	0.7629098094	-0.9491949236	-0.9077584604	0.383588103	1.010100421	-0.299902479	-0.4286491537	0.5569490278	0.4694869301	-0.617801201	1.000171955	0.07482678636	-1.271714485	-1.946075768	-0.796739205	-1.229914426	0.7290437264	-0.4636424334	-0.04932765575	0.5943287518	0.03517537998	0.2113826532	-1.714968374	0.4211353227	1.414768004	-1.002135508	1.420517674	0.3845296358	-1.625281012	-1.856049561	0.5789276	-0.8569960424	0.3666408892	-0.1666386287	-0.4819304342	-0.6026034194	0.2928031988	0.9087432839	0.1157027186	-0.4060425681	0.4401619602	-1.785086945	2.253284795	-0.1564516801	0.1751235302	1.499594878	-0.2590725339	0.3871987754	-1.079002746	-1.233722112	-0.3709568129	-0.7000946687	0.3456712828	-0.7597743223	-0.6248302297	-1.938912489	1.034117599	-0.03713271914	-1.437389891	1.940167964	-0.04539103691	0.7375500316	0.9580140224	-0.5490831094	0.8812026093	-1.457036697	-1.270076508	-1.428085547	-0.13078982	-0.1788744592	0.8277214966	-0.5386957491	0.8216533226	-0.788784272	-1.002943746	-3.09637759	-0.3784621593	2.950247003	0.2464609022	0.4309987227	-1.214332104	-0.4053428953	-0.02837191418	0.06169215777	0.7144230016	1.227084568	0.1453297956	0.719542362	-1.010090937	0.3954087174	-1.287694937	-1.675818898	-1.479237608	0.1809555976	0.237007366	0.2071519972	-0.1865478398	0.6252134916	2.934825883	0.5199671827	1.019191892	0.5316272847	0.9326547294	-0.8814245736	-0.7833523035	1.382019312	1.206000042	1.190926733	-0.4870785248	-0.2341243208	1.304514015	-0.2387494245	0.8440576158	0.5136273958	-1.482452068	-0.06275540136	-0.2643158263
0.7410647558	-0.5180028731	1.948660047	0.5939811349	-0.6381571634	-0.7544047802	0.5217672807	-1.228960605	-0.3903184741	-1.312109986	-1.400334897	0.06292774421	-1.358792901	1.105600174	-0.5946490577	-0.2522438065	-0.9781178697	0.2081142805	0.209175463	0.07440647107	1.627788157	0.5264720313	0.7212735975	0.756833704	0.7664996709	-1.465326455	0.4352578014	0.4901465579	0.5942824271	2.591091121	-0.3444952063	-0.7846473577	-0.4773098338	0.3523356086	0.07475427441	-0.2327760565	-0.3083617588	-0.939999739	-0.7229179867	-0.1622521778	-0.2376643406	2.260074396	0.1411644298	-0.6937350199	-0.9211599181	1.383712447	0.4457449501	0.9102558433	0.6104242339	-1.523885772	0.728128178	-0.2416512589	-0.6986619242	-0.3957033504	-1.785164212	0.2881359377	0.1152330711	-0.4950532208	-1.300006904	0.02697852172	-0.2497254906	-0.931413565	1.684230187	0.5014787889	1.161271036	-0.5271817611	-0.1187938115	0.6344903844	-0.7637878655	-0.1133158546	-1.434797099	-0.7931706809	-0.4045852292	-1.343322265	0.659656623	1.310403436	-0.9602127688	-0.1444528142	-0.4090777409	-1.234039265	0.1035895746	-0.406705212	0.03168215565	-0.6897591594	1.084134661	0.9347449456	1.635916397	1.212948968	0.408923134	-0.1800530577	-0.8593037891	0.2367487321	0.7339613521	-0.9998022428	-0.2146127062	-0.07003813713	-0.2467179852	0.625245931	-0.5428253528	-0.3723404938	-1.952987119	0.154984276	0.8316349906	0.4613610604	-0.1311704814	0.1927399351	-0.2541839341	-1.283329062	0.5678023297	0.1683557032	1.067467585	-0.5892608258	1.249880811	1.194956134	-0.09527406988	-0.4870034078	0.6331620963	-0.9946860489	-0.3389297838	0.09286377123
0.1246418709	-0.4375659993	1.063510696	0.6525765815	-0.7405787708	1.20374789	-0.5453791522	0.06578859195	-0.8253813513	-0.7394273565	-1.186635987	0.07727606714	-1.654067519	1.292533871	1.14110831	-0.1817470598	0.694385163	-0.6321806648	2.367180447	-0.7258142167	-0.7965693414	0.7837800954	0.9851671349	0.1435986195	1.428654501	-1.589806021	-0.9035614546	1.237613583	0.9219764592	-0.4332947738	-0.7825457897	1.014376622	0.3090376876	0.0273148106	0.2496308817	0.9372076635	0.630857447	-0.5157981044	0.299328732	-0.1618028083	-0.1619544823	2.075262561	-0.8291952235	0.8778287415	0.3798059419	0.5561213461	1.300621093	1.965312307	-0.2172430137	-0.2259692953	0.03849375331	-0.5854430587	-0.296390425	0.680973983	-0.03429458858	0.3994268914	-0.4518628053	0.7605994958	0.2808494778	-0.1622503338	-0.6620864303	0.003087801225	0.9450689446	-0.522861113	1.752353541	-1.020334678	0.2644659321	0.3033774744	-1.061750611	-0.203326544	-1.388769555	-1.158141641	-1.646718379	-0.2262221217	-0.02597418075	-0.08111507997	0.3900470731	-1.70537198	0.6152699303	-1.768739494	-0.9985065287	1.488631186	0.4777171508	0.0554450619	0.1001787125	1.02836424	-0.4121660452	0.2994226366	0.1147834918	-1.630012682	0.1205986736	-0.522557984	0.3532177559	-0.3612883731	-0.4405906407	-0.3189049652	-0.4224700162	1.635145174	0.1766019753	-1.055428554	-0.5479504893	-0.6214463279	1.697547801	-0.88995627	-1.222137134	-0.634180435	-1.233014014	-1.326044073	-0.675430312	0.3748582764	1.279978322	-0.8524720988	0.2967147473	-0.988212304	0.5671742126	-0.168733911	-0.0009770993037	0.634948837	1.417770279	0.09811149884
-0.4238044513	-0.9355820336	-0.1744207694	0.6621776032	-0.5126030328	0.4594717722	-0.7241138628	1.884081055	-0.7857950874	1.280922158	-0.6076342537	0.1010405044	1.159740336	0.4867384887	-0.1019974813	0.076228956	-0.1542667768	0.3579140321	0.4659476481	0.08822509949	-1.581922241	-0.8420368763	0.4053689771	0.2474686061	-0.1839272726	-1.225785307	-0.4018748763	1.215420513	0.4339906048	0.5115192672	-0.07278362186	0.3085647632	0.8562537789	0.02735038217	-0.9717106164	-1.853673065	1.361252974	-0.8974532106	-0.04260608344	-0.1535993757	-0.03157605663	-0.003820776432	-0.1481071714	1.873206131	-0.4296781585	0.2136405033	0.2034135486	-0.5168266527	-0.1535241532	-0.8465479628	-0.3621688676	0.3439598847	-0.2260175445	-0.4191264171	0.6053697622	0.2567064321	-0.6543653052	0.830556891	0.4575260544	1.129000172	-1.080622158	-0.2114782532	0.6367447195	-0.7980092436	1.440217604	-0.1334672866	0.4589263866	-0.8990888603	-0.0718172646	-0.38810624	-0.4474648574	-1.011777224	-2.1023934	0.5010995919	0.540615435	-0.0598765096	-0.08740837117	-0.88817061	0.3491984568	-0.7780261828	-0.003181640502	-0.498393249	0.3047038181	0.07405483825	-0.005018524927	0.3287996288	-0.692269871	-0.3539748433	0.357843936	-1.865885637	0.7888668728	0.1287558907	-1.273262701	0.1963303188	1.201721434	-0.6184887354	-0.6431299974	1.056010918	-1.524675519	-1.850649825	0.9273970789	-0.5541800085	1.473374928	-0.5731684365	0.119352783	0.1220615989	-1.571707235	-0.8867307231	-0.8692862913	0.5092424172	0.7583994413	-0.04916028899	-2.003290061	-0.2755101368	0.5907551507	0.2216310296	-1.027214025	1.33014993	-0.9871853571	0.3074284947
1.196051912	0.5164724892	-0.7085980608	0.790368042	0.2227845483	-0.5082889582	-1.540857579	-0.2353486147	-0.5083180217	-0.4671615791	-0.1246167751	0.7210274268	1.978031733	1.045459894	0.650919296	0.9613617792	-1.549622351	-0.8739660257	-0.9980358875	-1.333820665	1.40443783	0.5024837813	1.23083652	1.349550646	0.4973270586	-0.6507593646	-0.2255585718	2.091840342	0.09307353162	-0.05223987958	-0.443415347	-1.735006892	1.083865466	-0.7776422161	-0.3459043073	-1.191967791	0.7667018497	8.330485443e-05	-0.2340260937	-0.7875681059	-1.506023707	0.109487024	-0.2519124033	-0.07423842996	0.1605946911	1.556678946	1.224359349	0.5127011551	0.4503094713	1.293460012	0.4962810876	-0.04141556801	0.2047858534	-0.8910889609	0.1716578645	0.2476430133	0.6853111749	-0.2989096207	1.459393364	-0.06657642149	-0.8941882792	0.05914508383	1.752816155	-0.2475963937	1.99060549	1.254810287	-0.4930432063	-0.7865547772	0.5253691249	-1.088646958	0.4183037981	-0.7101323938	-1.264437313	0.8773210204	0.2586612868	0.1097847771	-0.1493988526	1.641486991	0.5138196582	-0.7212559177	-0.7297066124	-1.674584396	0.2681632164	0.3978941515	-0.6707449256	0.2040323894	-0.4576823437	-0.1819336972	-0.3296545123	-2.500996589	-1.334677802	0.3356918383	0.5308256992	1.136865202	-0.1088565476	0.2036504876	0.7252138779	1.306074505	-0.409606177	-1.684137219	1.943510854	-0.7449997218	0.3675293344	-0.3960154034	1.009167315	0.1918467296	-0.897115711	0.5109280044	0.3934438512	0.2240402435	0.5696093202	0.3569689351	-0.8448937685	-0.8699116178	0.02736357486	0.5191660627	-1.699598948	0.6605423873	0.08975902153	0.964616913
-0.5234589508	-1.069846542	-0.4441037865	0.8430518714	0.04917291375	1.649819333	-0.8164694592	0.7991010378	-0.119714994	1.860610182	-0.7319329967	1.007173325	-0.6068234554	1.908444707	0.2656997106	1.546671206	0.4704741911	1.276074016	1.053514682	-1.346244583	0.04254646871	0.3163773061	2.256752649	0.2847355498	0.05211563492	-0.7611301881	0.1621142523	2.553460573	0.007651557901	0.2033511844	-1.556640411	-1.018160406	2.420188303	-0.3630640848	0.183878835	1.059063106	0.6449175398	0.2522801659	1.050979234	-0.4770962138	0.3896840569	0.9402652592	0.5170119902	-0.2118992422	0.4078031373	1.712008116	0.08511161943	-1.751968477	0.1421373764	-1.369429401	0.6890813543	1.723503337	1.131871467	0.001727087743	0.4899028274	-0.477497258	0.698267444	0.6425594568	1.298637537	1.278861774	-0.5242470287	0.7539500752	1.065750521	-0.6075245178	3.133788383	0.410213355	0.455472666	-0.2502138754	0.7501546639	-0.5182799601	0.6981797563	-1.548351618	-1.069352885	0.3104724065	1.166850189	1.627344386	-0.4085035463	0.01391200597	-0.7390444761	0.9706105663	0.4845807048	-0.3198907994	0.5516009216	-0.2875396006	-0.8618382095	-0.4512856736	-0.3102498112	1.419789976	0.1478907711	-1.28715816	-0.02797469786	-0.9887201322	1.826979838	1.906448293	-2.318456855	-0.8935334131	0.7394026662	0.920092556	0.143052355	-0.7786646305	1.465401461	0.3492983437	-0.5963179631	0.4332439983	-0.06874658202	-0.1275372908	0.6524351792	0.368515723	1.382274474	0.7814069032	-0.8414888482	0.7582067691	0.9699606728	0.003134949872	0.6993383163	0.6349330375	-0.6580806613	0.7629500725	0.8711764893	0.3062716589
-1.353430347	-0.3529882599	-1.298983866	0.8839685437	0.9420745376	-0.9941738674	-0.9263716838	1.532928915	0.002510317298	-0.530139416	1.261303306	1.440255227	0.5335827679	2.403816558	-0.02345276464	2.013849735	0.5846305116	1.123813918	-1.049672173	1.935502303	-0.3674816084	-0.3770023562	2.442543334	-0.1446822842	0.08386534934	-1.121058991	-0.07472264234	3.636285038	0.6889951505	-0.4377666355	0.8388287786	0.4791160188	2.715820562	0.3214407409	0.398133627	0.435434913	0.5525223043	0.1350183187	1.428011215	0.08741484936	0.5716127124	1.154968908	0.2156623629	-1.851223666	0.6131724896	1.927348851	-0.03545881079	0.5928240587	0.2965304165	0.4726408444	0.4781384489	2.186258383	0.8479295574	0.1630316346	0.2454937018	-0.5934637271	0.9464777905	1.325877031	0.8542469156	2.018063923	-1.010245892	1.309212021	-0.04039645863	1.227959778	1.451589407	1.906400124	0.4818246539	-0.7885020556	1.798234129	0.703265556	0.4167511517	-1.403129356	-0.1690133077	-0.4406209432	0.5727474618	0.1967462907	-0.73004324	1.178452076	-0.9363428427	1.506218692	0.4529185872	-1.139204568	0.8875269318	0.7895666541	-1.767047792	0.3778109167	-1.959420636	1.180409397	0.449816744	-1.400832942	-0.3376537008	0.3954325721	0.6783365475	1.672627959	-0.4629804511	-0.1035153462	0.8390097153	-0.3147343288	-0.8571466093	1.491311151	2.362493811	-0.2210061981	0.0156749559	1.361074677	0.7798216303	2.003994297	0.5710567922	-0.01876563256	-0.1568864576	-0.3153072601	-0.3069643298	1.150150133	0.5815670628	-1.231541211	0.192455486	-0.2040065328	0.05578925005	-0.8347153079	0.3992471241	-0.3346412396
2.227076558	0.4899300135	0.3406910218	0.6456810455	-0.2640612893	-0.5826010698	-1.466787441	-1.134560003	0.3622577234	-0.5520722511	-0.5117515773	1.119962607	-0.07532129169	2.71946783	1.660053573	1.555786965	-0.9434323939	0.8939599024	-0.5200558004	1.499894253	-0.3828939995	0.402281027	0.6839039478	-0.04298437848	-0.5834378352	-1.613291755	-0.7204659981	2.553142414	0.9148911024	-0.6499769708	0.3728070622	0.385394752	1.474433526	-0.2636370032	0.8842553982	0.05381452964	0.213548166	0.4763974456	0.3833882951	0.5971010365	-0.2431598514	0.8843164527	0.9042410736	-0.2734778028	-0.509087675	1.116014812	-0.6864781589	1.66478763	0.2485490165	0.8054143689	0.2462202408	1.547690367	-0.02766453631	-1.262619726	0.8151229921	0.2843040639	1.027401484	1.142267655	-0.009032798415	2.139002852	-0.2203430525	1.746564238	-0.9231715122	1.026755938	-1.263118974	-1.264910636	0.3465887725	-0.8249560663	1.096228951	0.5535896181	-0.4560319931	-1.850888135	-0.7552803629	0.9444124778	-0.4855055553	1.72186894	1.461126108	1.156489753	-0.2081252293	1.354196064	1.319586061	1.094162308	1.155437518	-0.7135615826	-1.015753795	-0.7331847338	-1.405358383	0.8702638671	0.9091564923	-1.836707171	-0.4310469019	0.2001664004	-1.088700428	1.783539465	0.2201925157	-1.571240098	0.5401641695	-0.947688141	-0.9220764535	0.7514028796	1.732576808	0.389007914	-0.08652776483	0.06603659777	-0.1660203539	-1.091582349	1.720028061	-1.195580437	0.1967193484	-1.545592325	-0.5250137429	0.0413185119	-0.006862012368	-0.09504701103	-0.2894998005	-0.0260574411	0.3489293269	0.2595072631	1.53655315	-2.117211048
0.0987002514	-0.3880098256	0.2456463984	0.5751087208	0.2970117856	1.649525578	-1.074893171	-0.3700200384	0.3998555296	0.4100396937	0.8147485902	0.838464629	0.2557573229	2.85828363	0.3484375494	0.3177673065	1.138498277	2.33100387	2.162064762	-0.2858116928	-0.9299079055	0.4972939961	-0.8789865645	-0.2677786238	-0.7777860986	-0.8028871628	-0.4556702336	3.577232694	0.1499117526	0.05037302505	0.1045811617	-0.7180416876	0.2723779244	0.8016923245	0.9076436604	1.650110595	0.8186588894	0.1976146341	-0.9008906591	0.3181658169	0.04428441442	0.5329503278	0.1537390745	1.676480934	-1.395429948	0.09199767249	0.1803171759	-0.9872499475	0.5727331542	-0.5162207781	0.2783162666	0.09418274863	0.06009915095	0.4811109543	1.454808162	0.1301739334	-0.2607109138	0.9751145049	0.06656636296	3.513559164	-0.5316579007	1.500967966	-1.018561047	0.4777049854	-3.103728048	-0.3966525765	0.4620841083	-0.7166806143	0.5972984253	1.019584002	0.9308824071	-2.253046795	-0.7436526113	-0.3614750995	-0.4510856588	0.8960988294	-0.6589710057	-2.071453331	-0.2886573831	0.02109611378	0.6057548788	0.4191192577	0.6412550396	0.1262792619	-0.7620484384	0.5868470507	-1.196124776	0.2125655473	0.327619557	-1.837564024	0.3878369837	-0.1070412594	-1.232935574	1.131379469	-0.4528927246	-1.166210766	0.2927290929	-0.08984209056	-0.007772163093	1.907204904	0.033480299	1.058911576	-0.2343222283	0.5432479524	0.4251852798	-0.1671747586	2.918708096	-1.126914054	0.430618944	0.5616141467	-1.005391575	0.07102356654	-1.239377134	0.1358202098	-1.068114106	0.542369524	0.5502347626	1.295463309	3.055678783	-2.305893234
-0.9732027251	0.2161787006	-1.143360071	0.4794041011	1.098805033	-1.118831702	-1.838079326	0.6763177308	0.3163665877	-0.582929579	2.573578292	0.9882523209	1.694887755	3.129497269	0.8260453377	-1.099229192	0.1022666176	-1.128741078	-1.05401789	1.287355832	-0.682995846	0.3738120139	-0.8823985621	-0.6430394592	-0.06548366156	-0.4492331194	-0.06234143505	4.274882257	0.3144786926	-0.6438734569	1.754260362	1.068862036	-0.5053582161	1.232093742	0.5604654727	0.4067569319	0.6731483647	0.5855986374	-1.163348885	-0.4114997886	1.567311796	0.8180063558	-0.9984500914	-0.5726247012	-0.266884674	0.3060916323	0.3920361623	0.1132670462	0.9522101198	0.9991322311	1.402136128	-1.836835604	0.1634014982	-0.1102490833	2.250636778	0.6403541847	0.2602080072	2.265458147	0.09671374736	1.808150451	-0.2239724146	0.421234874	-0.4200855017	-0.7940007219	-2.386632015	1.146758807	-0.6478970802	-0.4918227064	0.3606889445	1.72713572	-0.4251302491	-1.713387499	0.372557108	0.1417880133	-1.679063024	-0.7532267588	-1.526445144	-0.6105481977	-1.408280278	-0.4584372115	-0.7155111035	-0.610365558	0.6323490579	0.3896324147	-0.7591807039	1.182866063	-1.041538055	-0.13368275	-0.4182274204	-1.781889876	-1.139530246	1.666327539	-1.35635119	-0.1974816021	-0.5552489761	0.4665100463	1.471260598	0.5832290859	1.800797236	-0.7608011043	-1.386821414	-0.01480648884	-0.2540463298	1.534925041	-0.8279554437	-0.04711581756	0.9435793353	1.022200472	1.246430739	0.3393914947	0.1684121103	-0.134068972	-1.528819697	-1.792476958	-0.6078042048	0.690180566	-1.29397642	1.562276899	1.161322053	-0.4393263364
