melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088
1.044013952	0.2732898708	0.1699265643	-0.8305039741	-0.7358110382	-0.3979670101	-0.1065904687	-0.4647618316	-0.4531394322	0.9737043171	0.2294828496	0.9193984236	2.318246748	0.519984812	1.717748493	0.3597353081	1.6061284	2.636393651	0.9758746334	-0.9462638444	-0.7010988659	0.9913542865	-2.595264852	0.06993752617	5.041465002	0.5925642965	2.127187937	0.2940937435	-0.497798454	-0.5544020172	-1.382799586	1.982985686	0.1786954442	-2.184975786	-1.179135066	-1.659285901	1.008833533	-1.072452012	-0.8914504957	-1.006129213	-0.9006777442	0.8542203037	0.07470733405	0.4104386803	0.9859646375	0.9002561126	2.005351423	2.238386947	-2.025380326	-1.28610019	1.475633467	-0.6926993738	-0.7497502234	-0.7072070406	-0.4894290036	1.420347126	-0.4988510543	1.528471538	-0.2347731343	0.4804400493	-0.1193288789	-1.733936143	4.731812923	0.8976488528	0.7664888154	1.334639614	-0.3635920136	2.064553428	-0.5676302501	-0.2125486048	1.292812376	-0.4657666621	4.460009603	-1.013239452	2.455829347	-0.4064693754	2.102033961	1.040511427	-0.8062013562	0.3753691639	-1.172540407	-1.98077546	0.2023021804	0.1356550174	-1.280072588	2.245853765	1.453289139	-1.367242986	1.117767417
-0.07220437396	0.4108532626	1.029102177	2.007491108	0.2473182782	0.426745164	1.247660297	1.575438437	1.485136573	-0.3011381408	1.089282761	1.272765815	-0.1229010046	-0.1151414209	0.1314218335	-1.820422082	1.47643268	1.863367467	1.16495315	-1.116979875	0.9555094719	1.1082282	-1.427743946	-0.6699738489	0.0006466431313	1.620566721	-2.166774106	-0.3326683471	1.412690846	1.140759352	-0.3439178108	1.412972413	0.8817188091	-2.043729306	-2.724583139	-1.186315156	1.539958357	1.407387322	0.3773981161	-0.2600745297	-1.639193411	0.08985725254	-2.761406548	0.7344590746	0.5147174583	-0.3112058255	1.283565106	2.596957156	-1.350062338	-2.312593042	0.9817786051	0.04739984702	0.5727248238	-0.2841862717	-0.8410742849	-0.1792230309	-0.2409361488	1.069619296	-0.4089247655	0.5673083139	-0.9457337139	-1.107801888	2.589862478	-0.08905719131	1.642465421	1.570343409	1.391349224	2.146697566	2.364429098	-0.115897823	1.932835614	0.6906341085	1.37842341	1.907585492	1.956865687	-0.5833606503	2.318603565	1.532328843	1.761350534	-0.3105460506	-2.948434628	0.9408888525	0.2762003719	-0.5688388787	-1.255172595	2.8445755	-0.6120668931	-1.507864486	-0.8697285876
0.722461312	-0.6822848356	-0.8875438492	-1.47584586	-0.6398425459	1.930659237	0.5321781171	-0.8249347158	-0.9649961963	0.2067878229	1.555623729	1.934381611	1.471559448	-0.2656223619	-0.07862330434	-2.058672813	2.467550893	0.9065240208	0.6332810698	0.913909148	1.261036022	1.042133666	0.3819930342	1.000568219	-0.9318793106	0.6168806447	0.4805438319	-0.4838396	1.125041515	-1.158675605	0.5446076796	1.265023507	2.062711703	-0.7207376926	0.3714657827	-0.2664092225	0.296449017	1.201890351	0.9799962377	-0.6325050503	-0.3431858098	0.2777409718	0.2631497589	1.443614034	0.4835715123	0.544046571	0.4078893483	0.987383716	-0.02860700513	0.4852285267	-0.8852186801	1.165140271	0.8091410606	0.6953953564	0.5540214795	1.10861268	0.3542876124	1.281535226	0.321340445	1.843557055	4.192863001	-0.4631995979	1.267949854	-0.7900914328	-0.8436942289	-1.136410593	-0.4835213751	-0.07615297301	0.06941725263	0.2462223602	0.1804574425	1.792069338	1.783633954	0.151462281	-0.04511497434	1.275087756	0.960286803	1.585771304	-1.327130902	1.878711424	-1.260743027	0.7123659789	0.8077726999	0.7793830423	-0.9333014226	1.251220637	0.7574935113	0.9077555767	0.6407511743
2.285763657	1.187322817	0.1232644549	-0.3657852802	0.02777559278	0.813752186	-0.5889548989	-0.1173906101	-0.2437906476	-0.2973917841	0.350598005	0.2369547455	0.6630304119	-0.0276400684	0.4933404311	-2.155751535	2.767708223	1.353199832	1.088833883	0.3432549293	-1.236118155	-1.778702253	-0.03823399019	1.637715029	-1.311168898	-0.2450308072	0.3960827675	-0.7753605282	-0.6629461389	0.1116525601	-0.4285325061	0.3703291618	0.6332525619	-0.5544286575	0.1575011678	-0.9646954421	0.3770116036	0.04535648533	-0.8940984411	-1.149439899	-1.241101092	-0.09185612637	-0.7883338135	1.388815388	0.2479177559	0.4838247656	-0.9131148377	-0.153403871	0.06222570661	1.128700393	1.132112159	1.650355846	0.3551430057	0.1322257845	-0.4280822561	0.3430914486	-0.377471043	0.6172304106	-1.353063	1.020561536	2.191017895	0.322727632	0.3736115722	-1.164238105	1.499039642	-1.760684083	0.1037704961	-0.7017479483	0.1050582353	1.710586392	-0.6309446022	0.5702336857	0.7133946588	-1.0967394	-0.4789499877	0.3671266925	0.8021400507	-0.1811288586	-1.957395715	0.1293846195	-0.7117970997	-0.5035540565	0.4759548398	0.8735217061	-1.144033641	0.7097212382	-0.3375982432	-1.243235292	0.5485571696
1.087883476	1.28840094	-0.0999268973	-1.067088688	-0.4728941449	-0.7190904643	-0.470252073	-0.953284347	-0.726072752	0.1638980097	0.5525965091	0.9610527588	-0.5660981042	-0.8607835484	0.2286072932	-1.845343255	2.583054454	1.27192613	1.324566083	1.096302642	-0.6078536587	-1.777433631	0.02019196427	-0.09942865455	0.5198309617	0.4768679808	1.164377412	-0.485647217	-0.9352543681	0.1151614941	-0.3340398208	-0.5621370611	-0.0092833271	-0.6953273108	0.4881436047	-0.6498290025	-0.4855953166	-1.060464945	-1.041297053	-1.35436427	-1.311551883	-0.5680008041	0.1197540707	1.273441849	0.2745472002	-0.3359335629	-0.6147283884	0.3355015034	-0.2056476233	-0.4385813098	-0.9370007873	0.9985093802	0.584245375	0.3903144428	-0.6578572105	0.4924646882	-0.5405605803	0.7114869708	-0.08441964352	0.512596181	-1.618310024	-0.1718709479	0.361094119	0.5733055985	0.4818300268	-1.54731873	-0.6355096447	0.2929432356	-0.4757620105	-0.7219259724	-0.05216000763	-1.654226336	0.6770626367	0.7345553108	-0.255231092	0.1804761032	-0.274400351	0.3058443176	-0.8852647916	-0.1604107273	-0.2822732393	0.298444268	0.1915549258	0.1953526303	-0.2209964763	1.015975337	-0.014094031	-2.365082947	1.012911052
-0.09249594912	1.136049293	1.834336738	0.3202951717	-0.2301810484	-0.2981472322	-0.1141654225	-0.397505766	2.401790649	-0.04508586084	-0.1695233135	0.5346413482	-0.3325119371	-0.717461403	-0.04736428936	-1.914148102	2.505060493	0.6491240032	0.761183321	0.1253062429	-0.3327820756	-1.675947145	0.1190363867	-1.067906085	0.46493261	-0.2033812407	-0.4514665627	0.9463805294	-0.6574941825	-1.222267411	-0.6077161537	-0.9852110243	-0.5188927026	-0.7267151964	-0.71564921	-1.379086139	-0.625558755	-0.2200344924	-1.44881667	-0.7025607162	-1.244541908	-0.5217285851	0.2469833188	0.725973249	0.2587241236	-0.6388705504	-0.9693681793	-0.1634085531	0.03758916438	-0.5637130919	0.08862632892	0.4991472569	0.7368497432	-0.3430805251	-0.1051011189	0.03700092438	-0.5716142281	0.6344256334	-0.1801408909	0.06143668649	-0.9042007394	0.9434904977	-0.06183832156	0.8980793245	-0.1681984109	-0.956134057	0.09020127297	-0.4208053788	-0.1760831169	-0.1233295411	-1.064926022	-1.75704905	0.1737505856	1.426069192	-0.7359783625	-1.313324251	-1.91538219	-0.5501453437	0.3290393841	-1.078787514	0.2165334734	0.7102172788	-0.4424557062	-0.4948804577	0.8787576528	1.34623938	-0.05895595579	-2.384705683	0.1429894861
-0.8278765535	-0.7888655105	0.8868287869	1.300473767	-0.4908132303	-1.363413759	-1.019405267	-0.4068627961	0.8926327835	-0.1379294111	0.1887463902	1.373007325	-0.5825708972	-0.6628465983	-0.479574202	-2.218199493	1.956481523	0.1617013882	0.7484462881	-0.0873092683	-0.7292745622	-0.9075615641	0.6841620862	-0.7037838899	1.673523869	-0.8894419388	-0.05773999125	1.520238394	-0.387939599	-0.6848220791	0.02507588319	-1.096275608	0.3817464956	-1.08771554	0.9618562751	-1.349669369	-1.345063909	0.2755422278	-0.1484287047	-1.215587608	-0.504750445	-1.269459271	0.7982024746	0.05331738824	0.280677895	0.03068732159	0.1809293763	-0.4305092678	0.1327788001	-1.617229829	-0.9734963668	0.01643522993	0.6187274138	0.3260582374	1.089630461	-0.686897092	0.123998741	0.995460109	0.4696069836	1.448885135	-1.168759673	0.7079455148	0.2884308014	0.8306846505	-0.2555730628	-0.3878198477	-2.818130618	0.218668594	-0.5357678065	-0.9172209784	-0.1628454726	-1.253493767	1.379984066	0.6498992611	-0.2484390176	-0.4760869086	-2.481773802	0.7300142349	-0.5375177065	-0.6220969939	-0.03721151125	0.872272336	-1.45388	-1.234310427	1.455223087	2.040143823	1.614721727	-0.5301640513	0.3536227336
-1.073788988	-0.8967914132	-0.7990722688	0.663665966	1.169657383	-0.203986715	-0.523632305	1.588596065	-0.04335957412	-0.1072195112	-1.34628886	1.38799183	-1.091607636	-0.6741305627	-0.1959287377	-2.112943595	0.7684985648	0.5484999097	1.275236355	-0.9791719398	0.01875293664	-0.3925409821	0.7414218493	-0.5447455064	0.2632736755	0.7173072643	-0.1717088075	0.7517925274	-0.6174548191	0.5492180142	-0.168648472	-1.14417342	-0.6208620118	-0.405615618	0.07821449377	-0.9057681971	-0.3504188223	1.447903205	-0.07938436908	-1.101212736	0.3774611112	-0.9270396029	0.8380855176	1.146241889	0.4334659159	-0.6144686534	-0.1713781579	-0.1616082399	0.09572387758	-0.9411522835	-0.9042728356	-0.3241949535	0.2388768927	0.7521018981	-0.7392616576	-0.7229088151	-0.1457889418	0.7248212797	-0.7633642399	0.6041837964	-0.6836942777	0.5758096783	0.6391336698	0.1823394677	-1.55844554	-1.083809824	-0.3378566956	1.065144503	-0.783108116	-0.2491863716	1.452370971	0.7087495764	1.494707065	-2.432267626	-0.2686772887	-0.9047794441	-0.9357720393	0.8231090514	-1.01688685	-0.2222944165	0.6575216559	-0.7920226602	-0.07437338649	-0.4823835214	0.6348836049	0.09662153087	1.490014694	0.4013512672	-0.2414623474
-1.097345618	-0.939179924	-1.471129489	-1.338680715	1.495031002	1.054760615	1.473843618	-0.5440778947	-0.8987789125	0.2784416117	-0.4943984037	2.065878682	0.4620377654	-0.7876312992	-0.8057469643	-1.168044451	-0.1591353798	0.8083629215	1.209132689	-1.063623865	0.8800627853	0.01292304718	0.8630290579	0.01165705761	1.198156557	1.440259185	0.91691239	-0.5132243973	-0.6301011209	1.06595726	0.1929990248	-0.2599563108	-0.7160307847	0.07236209606	1.546205701	-0.5680649819	-0.5421627189	-0.7381667307	-0.6301341313	-1.211778109	1.000974491	-0.5483299443	1.54711372	-0.01359379444	0.8313316111	-0.03735470144	-0.4402938839	0.1898185291	0.9451275463	-1.622854647	0.1238580032	-0.3105288317	-0.234770558	0.9823757705	0.5226484801	0.5547200609	-0.2099311766	0.8756945926	-0.05574014854	0.4751791777	1.473119279	-0.627423585	0.937309128	-0.6236081439	-0.6382331628	-1.092968737	-0.347036945	2.018386038	1.013348239	1.051173209	0.4370713198	0.4848335021	2.99097569	-0.0489431845	-1.124912691	-0.2403884067	-0.3315414595	1.318217238	-0.879799995	1.694761098	0.457856243	1.055147503	0.4178370986	0.468019411	0.4847704913	0.3017847625	-0.09124054123	0.2825277356	0.8292173152
1.168530084	-0.2946253042	-0.9294772126	-0.704215401	-0.1905834293	2.246722049	1.284595224	-0.3638139316	-0.5662838936	0.3057582776	1.230545732	0.5492944024	0.2670739143	-0.7583452875	-0.556885079	-1.657801189	-0.149702865	1.129100183	-0.3260051546	-1.563867068	1.570575877	0.2519664328	0.7382423932	1.166617228	0.6203591274	0.07335292575	0.4716908578	-0.7962313655	-0.5887003466	-1.539636033	-0.7088527481	0.0896539338	-0.6572761766	1.015317484	0.01887753062	-0.7311913646	-0.1328901745	-0.3816971967	-1.358844613	-1.796832573	1.685233485	-0.5597988831	0.406628854	-0.2159442253	0.1616920917	-0.09929612094	-1.006936707	-0.4393254216	0.6157417326	-0.6624571764	0.07974350986	-0.1310145158	-1.27327508	0.9400369586	0.06648487189	-0.2657019959	0.1897577927	1.030554861	-1.511606644	0.5046245979	3.223877536	-0.5479114096	0.5650827103	-0.7807827491	-0.03398164146	-0.9600671858	-0.989636269	0.8240195604	0.04259698688	1.835887566	-0.4865889488	0.9232200149	1.971071812	-1.758895888	-1.080391731	-0.8657624446	0.6081574981	0.6428094286	-0.8858725892	1.303588736	0.009605520956	0.1712327359	1.586658887	1.306437409	-0.1045280281	0.5575176921	-0.7230968652	-0.9403205685	1.019076125
