melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145	melodic_146	melodic_147
0.4917745571	1.010126553	0.08730974705	1.036964933	-3.606767131	-2.040658845	0.1987328749	-0.3784190188	-0.307037329	3.159912016	1.461788425	-0.6574008116	0.9626078613	-1.063343867	-3.448568618	0.4562163077	-0.269599729	1.741505531	-1.429810884	2.094040035	0.5197769806	0.97722935	0.1382308965	-1.003387484	-0.4444076666	-0.5001790962	0.5442293843	-0.1893499653	-1.289486244	-2.005597143	0.4286512573	-0.4607219087	0.1749729498	-0.4832847676	-0.1421197191	0.5600053875	-0.9028102042	-0.9018675454	-0.04338812531	0.4466251674	0.7380070998	0.935440278	-0.213035385	-0.471121266	-0.4305268892	-1.508980503	0.6736634503	-0.4392703901	-1.506025189	-0.153887923	-0.874295147	0.02013295559	0.9504889696	0.8150058151	-0.5151170378	-1.049790977	-0.4112418611	-0.4149983453	-1.211601938	0.009564816909	0.951651004	-0.5751856188	-0.9340991866	-0.3263043378	0.008618548575	1.596613299	1.450235339	0.8092788931	0.2040976899	0.3589332118	0.7815231932	-0.3316807195	0.7478581682	0.3280577131	-1.124949403	2.316280249	0.8073067446	0.4939322775	0.532617481	0.8975301901	0.1659701059	-1.961026115	1.339731547	-2.391568619	0.179549866	-0.922071891	0.7264814157	-2.651557063	-3.454233858	0.2857871335	-2.045247136	-0.601568518	0.2387878069	0.4480058294	2.032619217	-4.592452152	-0.4992220383	-0.8350506921	-0.1821080145	1.260604005	-1.802804635	0.7704684955	-0.007052054036	0.97270204	-0.3615602769	1.767935313	0.1740524127	0.3884468516	-2.923472845	0.2241305556	0.8879318272	-0.5845646126	1.382884278	-0.5540332782	0.1740990276	2.011508406	0.3579928277	1.328480631	-1.622984232	1.556306057	-0.2779975816	1.28206547	2.014429653	-0.9787695524	1.700443106	-0.682037469	-0.4353893599	1.526203167	0.6451342411	-1.073908322	-2.115102026	-0.2308636444	-1.70642616	0.6959296962	0.06502760325	-0.4934334396	-0.1058437403	0.2290795259	0.6464182385	1.841776288	-3.194766969	0.04614701872	-1.926519088	-0.3193921008	2.269789667	2.019116059	0.8840180596	0.08314198668
-0.3661433673	0.2386553843	0.07436414042	1.641698154	-3.180154425	-1.627846699	0.1691888631	-0.537194741	-0.3586414	3.062117091	2.003024239	-0.5325449249	1.850898293	-1.145946215	-2.177272043	0.09998620124	-0.8714035866	1.804851404	-0.7434073734	1.879376389	-0.2650862535	1.225080669	0.06878305596	-0.6761621865	-0.9576922862	-0.3999990971	1.457674538	0.4433096421	-0.9418891521	-1.790263277	0.3227282779	0.9510236988	-0.2697533443	-0.1413422207	-0.1927048708	0.5513786238	-0.723067683	-0.5686611549	-0.3824551169	0.6271970259	1.376961826	0.6176982766	-0.1475536764	-0.5573538466	-0.6674100759	-1.131221573	0.5412256443	-0.04291925218	-1.258402719	-0.3743961166	-0.1898103752	0.5652200863	0.6241173885	-0.02179792205	-0.9103021131	-1.86502242	-0.5876291888	-1.316123142	-1.841176147	0.2413528249	0.5557836752	-0.9860605069	-1.143759391	0.4077164185	-1.236192465	2.036550226	1.000284257	1.147924358	0.06191647635	0.2449314228	-0.7319811888	-0.1752434731	0.4428439881	-1.206358626	-0.4013151083	1.553891381	0.5222499354	1.581596826	0.907900837	-0.06685382043	-1.01173115	-1.751364517	1.437721431	-2.213411505	-1.061497285	-0.8575897018	-0.8606180145	-1.954306925	-2.697033909	-0.2483847762	-1.528473302	-1.200282848	0.5481929132	0.290072992	2.027260015	-4.210564889	-0.7335937868	1.066763411	-0.2380023125	0.1639221528	-1.612656174	0.9262984714	0.5318153064	-1.658313906	0.7855535082	0.6322094602	0.7059794602	-0.5861086823	-3.200976691	-0.7108751389	0.7410695626	-0.4390137151	-1.385525732	-0.2795489296	-0.6649321483	1.851004976	-0.9792223261	-0.1771699662	-1.02592124	0.8459066829	0.325221384	0.1969379228	1.206859651	-0.5626082675	0.7536080551	0.1241922936	-0.2339887298	1.096823095	0.5903293905	0.1953999587	-1.968042404	-0.9229126565	-1.090946738	1.11683388	-0.4003439096	-0.2918478515	1.313456813	-1.032617165	1.251172691	3.109383448	-1.294062841	0.5107771556	0.003828005199	0.007559424675	1.242926033	1.714104514	0.3424269312	0.8017099177
-0.4321400903	1.209941479	1.431244658	1.682679104	-2.651181706	-2.529540293	-0.0972890696	-0.4288955538	0.3601153847	4.353168552	2.880684266	-0.5929399529	2.637720691	-1.041311406	-2.174170437	-0.3731094478	-0.7588518083	2.180283461	-0.3991671772	1.965142707	0.9689599533	1.277397834	0.6503664347	-0.01696143667	-0.3213137633	-0.7434412749	-1.231477834	0.4797333807	-0.8265693958	-1.373969315	0.7421096877	1.34987486	-0.1587135853	0.1217303188	-0.3066300628	0.3749153718	0.1624731275	-0.5713458698	-0.1589616819	0.5555628122	1.840517835	0.2263480228	-0.3072419719	-0.3878152574	-0.8565605142	-0.3547114396	0.6858004039	-2.23613853	-0.6013619422	-0.2471875819	0.06023262094	0.9614117029	0.04900709367	0.0739485984	-0.5705326435	-1.971790663	-1.267342336	-1.514120732	-1.617267615	0.3632346674	-0.475041135	0.3153070056	-1.123835539	0.8800695145	-0.8515052321	2.333220921	-0.4997917035	0.7782023315	0.5693062033	-0.09781604942	-0.1988226571	0.3355029591	0.2301713479	1.09019401	-0.2255545737	1.101700677	0.5310972322	1.583558583	1.305111019	-0.7419853738	0.3791189712	-1.357941272	0.5440390998	-1.994753991	-0.8579795533	-1.397766279	-0.4129076707	-1.607671815	-2.530037724	-0.6447604854	-1.540686111	-0.3760691581	0.8358046962	0.1340272067	1.979322792	-3.045749951	-0.3353343897	1.646534132	-0.5491335747	0.1295826561	-0.9216588644	1.974044754	0.705956805	-0.8645809038	2.956793446	1.366226395	0.3620261121	0.2430413819	-3.076931281	0.02023456466	1.042559566	-0.1115213134	0.3304293955	-0.2406250468	1.974982529	1.505941211	-2.071534187	1.635441148	-0.1808299521	-0.02441106928	-0.1772317853	-0.0775901595	-0.7897525503	-1.470897967	1.128119309	-0.6281123358	-1.600763251	0.7791998618	-0.9225486036	-0.9282696798	-1.278162913	-1.332683644	-0.2084000262	-0.5692442839	-1.004394872	-2.005991619	0.668673541	-2.323462876	0.2297318814	2.511738221	0.6103869434	0.2359640826	0.958580015	-0.4053720474	2.070779163	1.577023569	-0.8027982678	-0.02971611693
0.07345656929	1.141908638	0.2719451836	1.442521212	-2.652354947	-1.722310913	0.3435683786	-0.2823455154	0.04644064173	3.93539593	2.435484356	-0.5151741379	1.35868609	-0.6204723308	-2.743530871	-0.06313039953	-0.4259588195	2.286212116	-1.13182766	2.051265341	0.02558509182	0.8363961699	0.5288689583	-0.071814118	-0.4309027825	0.2334648392	0.1624179061	0.6997542958	-0.7229676861	-0.4263886439	0.9212355668	0.9140781223	-0.3067341898	0.01168837154	0.2508586015	0.3681293612	0.3641733175	-0.5613907728	-0.2931644083	0.3703662883	1.491849515	0.9192195432	-0.1197354602	0.01888161347	-1.259555547	0.1581855013	-0.2904077204	-0.9266115014	-0.1961156561	0.07966787801	-0.6211155131	-0.04506318051	0.9992661596	-0.2679609147	-0.1896541786	-0.8905951696	-0.2000046102	-1.021145177	-1.281868487	0.3774170948	0.6071829543	-0.1258976749	-1.2210926	0.3639203417	-0.237800796	1.21240704	-0.807150675	0.9490987391	0.6654924833	0.4473091263	-0.1897618346	-0.557630268	-0.1385774907	-0.2136316514	0.1494657522	0.756157673	0.5729700158	0.03868731763	1.53443572	-0.5698036727	0.7364551383	-1.627970875	0.1671568033	-0.8120196051	-0.7729714009	-1.037108923	-0.5536085846	-2.013114317	-1.812612276	0.6920572086	-1.632273406	0.6844608363	1.418224116	0.2775575902	3.130768324	-0.5297645844	0.5332556227	0.5057372874	-0.4083055837	0.1518336288	-1.117128361	0.9373101481	-0.2196660797	-0.2560007673	2.905359789	0.9342272745	0.5876718673	0.6251693224	-2.806015796	0.05789113636	-0.278140483	0.3891059796	0.02171970594	-0.7704099164	-1.1977693	1.056855485	-0.9530261986	1.634069271	-0.5015338342	0.4458479739	-1.058958429	-0.3120146339	-0.2199874578	-0.5480937391	0.6366110636	-1.099827176	-2.213529228	1.625183584	-0.4001342123	-1.000454008	-1.74351102	-3.475847681	-0.9263938693	-0.03359806249	-0.9341174589	-1.642233847	0.4645753021	-1.146085216	0.9332371612	2.111325439	-0.7635020032	0.7506319312	1.331707894	-0.3396636187	0.7435783598	0.3117076841	-0.5044223046	-0.07249688919
0.5575635603	0.05704343345	-1.178362787	1.571082964	-2.543216892	-1.77678851	-0.00634933071	-0.4997803507	-0.2655441119	4.054430627	2.872504952	-0.1401769722	2.137973656	-0.553293239	-1.876408836	0.05738914727	-0.8791923966	1.962191932	-0.6181607474	2.67932241	-0.6129947119	2.028600934	0.6931551188	0.5386961055	-1.198621698	0.9669363109	-0.3985038245	1.13920361	-0.4616983057	0.8368068674	1.304809642	1.294191483	-0.7475166536	-0.6540611143	0.03036681648	-0.08409276857	-0.02624937086	-0.05885859283	-0.1982829159	0.1563930952	1.018400489	0.5072764821	-0.7466134141	0.04653591814	-1.103102412	0.5729716727	-0.7643964951	-1.437663982	0.6066310167	0.5966982642	-0.8273344002	0.1343932947	1.44982999	-0.307023261	-0.1968232886	-1.040222897	-0.8208300138	-0.2853522077	-1.343363999	-0.779102829	1.533565109	-0.5755737629	-1.545685139	0.7174041357	-1.047409188	-0.152414577	-1.746923205	1.383215056	1.098476962	-0.1798056422	-0.9328589632	-0.635600493	-0.4477494376	0.1841054909	0.9405951448	-0.4265168729	-0.09789769101	0.8415150672	2.078748002	-1.080570756	0.8036026178	-1.340839766	0.09632703	0.2002640936	-2.021534898	-1.052902117	-0.08978446086	-1.154408787	-1.963553754	0.1260084866	-1.464910624	1.165944662	1.671781294	0.2972418688	4.720960792	0.5262401981	0.874944367	1.054313535	0.2196646412	0.7212390294	-0.8328290965	0.9758742871	-0.8942204045	0.1018299087	2.437511664	0.6568468736	0.8217158277	0.6283469799	-1.645985797	0.6614422395	-0.8013448605	0.4888529571	-1.355560396	-0.06883220229	-1.598719963	0.04308473068	-0.9361342068	-0.4389597397	-0.7133925509	-0.2352134498	-0.6263206094	-0.08400871417	0.7768466112	0.6949552759	1.30083692	-1.54185562	-1.545175958	0.5836450708	0.08061143423	-1.393396636	-1.665363999	-2.598696013	-0.828680693	0.06690119685	-0.9124178769	-0.5425700792	-0.04456992164	-1.156384718	0.380830456	2.353599088	0.5189053688	-0.07661248097	2.572842562	-0.1526540498	-0.8370453667	-1.36134907	-1.547513104	0.4136286895
-0.2151548762	1.341176118	0.6672573036	1.381414066	-3.005838407	-2.228972924	0.05374202507	-0.4181230377	-0.2733574035	4.113530071	2.618601766	-0.1772345892	1.271758629	-0.2764947806	-3.365834329	-0.3647392431	-0.304202271	1.844180631	-1.327798	3.182322731	0.3098361719	0.8828812857	0.2047237492	0.02381532814	0.06606739245	1.264254079	-0.4124498694	0.4735330876	-0.069680322	1.349443661	1.182737276	0.03090757579	-0.4185049937	-1.524166706	0.1357912746	0.4262468788	0.1068677883	-0.04425469136	-0.08306406899	0.4077955179	0.1105229534	1.121888358	-0.5321603979	-0.1364483078	-0.8411742557	1.073351572	-0.9707702273	-1.454320637	0.9026723283	0.05215718716	-0.6744786135	0.02703694498	1.890255586	-0.04805502092	0.04760109907	0.03804956405	0.06619778971	-0.8567525854	-0.5689975676	-0.7331199541	1.520218947	0.5328368207	-1.430399451	-0.4041895568	-0.3215576004	-0.6458482638	-0.989613166	0.5276690126	1.439270747	-0.3081948667	-0.4709116483	-0.3714779084	-0.8350682173	0.1943528446	1.143334413	1.559261386	0.9108961322	0.2147817642	1.320089965	-0.3469754233	0.2789746239	-1.322776668	-0.1495209727	-0.1215472832	-1.137498505	-0.4541713122	0.2821829587	-1.208732576	-2.537954048	1.43960755	-1.607306031	1.654464096	1.385311616	0.3678096678	4.620780312	0.9907189631	0.6119708076	-0.6611969108	0.7118442495	1.195214415	-1.041716883	1.099527292	-0.3166126516	-1.273089022	1.302984268	1.074994509	0.4547972792	1.594087702	-1.238425239	1.04561864	-0.06243473537	0.8564727417	0.6846170652	-0.775017148	0.02164404226	0.7527302632	-0.0769584655	1.230361155	-0.5543532509	0.2973462625	-1.24248182	0.7471396569	-0.07645010253	-0.1163934161	2.321856026	-1.711223885	-1.565240508	1.243096347	-0.327974137	-1.578297245	-0.4392298687	-1.849147874	-0.3195190511	0.3760203755	-0.6762393694	-0.5312220773	-0.203060766	-1.107716344	-0.1372330562	1.571277214	-0.08982523857	0.4769211552	1.456678023	0.2294714646	-0.201784528	-0.3564522913	0.2110573814	-0.2857957225
-0.03909230028	0.7223671149	-0.6620592579	1.693633476	-3.292016858	-1.408161667	0.006987445746	-0.7102025741	-0.5094392698	3.697556904	2.044309191	-0.06428488554	1.623165992	-0.129706908	-2.978463657	-0.5451869899	-0.633354541	1.600779061	-1.652054198	2.825955141	-0.02482579882	0.3963748605	0.029494303	-0.6854184565	-0.5069649459	1.48665222	0.7893985788	0.7518935861	0.7850703928	1.753050387	0.08543938834	0.8455927474	-0.4164998615	-1.438811553	0.5284060117	0.7585696157	-0.1676445155	0.244286008	-0.2636080488	1.161641526	-0.1726081823	1.349596079	-0.5204666972	-0.1775584869	-0.3394548577	1.215867846	-1.071927853	-0.6154395493	0.6164992592	-0.1478780365	-0.5307816708	-0.4401986925	1.679206012	-0.1183058043	0.0631873249	0.3022735504	0.0430264748	-0.6546740627	0.09653912326	-0.2205438104	2.402551833	-0.03432804645	-1.229757189	-0.3632173586	-0.2237974731	-1.592832524	0.01807260881	0.8969273383	0.3783600906	0.4691506124	-0.4315026443	0.008810837609	-1.664353004	-0.7529616197	1.574691499	2.336319372	0.6909051387	0.7593704191	0.7936386765	0.5165086513	0.007450542577	-0.5650406179	0.6554959746	0.6298646458	-1.390429668	0.2862341347	-0.3218850525	-1.245772829	-2.521347787	1.716589357	-1.280596484	1.332533772	1.370733231	0.3356793591	3.38873977	1.228638873	0.188416637	-0.6237812821	0.2085587407	0.755757003	-0.0454383008	-0.1999663045	0.04396635218	-0.766733436	-0.3836978797	0.5559735404	-0.03021608127	1.11748427	-0.6395445873	0.8704285179	-0.6463737706	1.356252719	-0.6334259176	-0.613207459	-2.139081732	0.7333476444	-0.3172083126	-0.5771751365	-0.7791908429	1.099210382	-1.256538866	0.08938329532	0.4531537458	-0.1007123755	2.236824834	-1.898474712	-1.682784694	1.018303824	0.716341115	-0.5926887742	-0.446683011	-1.331166798	-0.7095847489	1.438133076	-0.2361063304	-0.2101446294	-0.4368996553	-1.041224585	0.6092514316	1.026884164	-1.086155964	-0.5089868861	1.089255675	-0.1421380139	-0.6763268725	-0.1640859897	1.184759633	-0.8486692778
0.2741779996	0.5465136128	-0.8194187166	1.673165384	-3.015876233	-1.738421916	-0.4225287421	-0.4706141551	-0.1157621318	4.736029592	2.876270571	-0.06337205371	2.430549347	-0.05204788875	-2.225317081	-0.316822199	-0.266093981	0.2322006948	-0.3122778577	3.214318913	0.1889828343	1.163063915	0.04976898058	0.614547541	-0.6011740096	0.5022612992	-1.54952095	0.8115179338	0.441601482	1.389957755	-0.4740154566	1.675551274	-0.230320208	-0.8588152024	0.1717218086	0.1860563038	-0.4391740755	-0.1036217413	0.2307585656	1.098547537	-0.6524091412	-0.02715702347	-0.9862256684	0.1429404941	-0.1836755345	0.6427861703	-0.9961926466	-2.104914414	-0.1904004254	-0.05178099689	-0.4605682705	0.08330668728	1.05256657	0.4973061557	0.00649230245	0.09161188647	-1.183484081	-0.3172447503	-0.02283302839	-0.3631774811	2.121369568	-1.196372888	-1.092213147	0.05633120089	0.2857920375	-1.759789175	-0.4938051898	0.6457755769	-0.1519628046	0.4186145093	-0.622536659	0.8421270798	-1.239474366	0.6224195043	0.8211673932	0.9472575112	-0.02950679608	1.221708557	1.046553247	0.405460079	0.5547201955	0.02945183141	-0.5153236295	0.5055551395	-1.990716641	-0.449604834	-0.4559975119	-0.899975597	-2.754311919	0.5335157738	-1.02335169	0.8551641024	1.253109166	0.04484583028	1.385058742	-0.09299162566	0.5397659292	-0.8695245368	-0.06438887704	1.19691759	-0.269901038	-0.8168911719	-0.2775148615	1.327997862	-1.455295182	0.7416286997	-0.3227766763	2.728584556	-0.8727135171	1.660691247	-1.256340859	1.324874808	2.12153652	-0.0337322162	-0.9840205303	1.424765722	-1.264348155	-1.230718904	-0.664324263	0.09716298977	-0.7839499978	1.208562496	0.95845139	0.6794507863	1.995891504	-1.808798029	-0.6703051488	-1.218214638	-0.02547591884	-0.4728392881	-0.1836549022	-1.295937775	-0.5766699063	1.044241502	-0.007626220965	-0.8501498967	-1.456818461	-0.02010845814	-0.1544545863	1.082249939	0.4587833815	-1.687567067	0.1560988052	-1.065721542	0.04049062978	0.2245708221	-0.4443267215	-1.151603725
0.07939121924	1.441205182	0.4223632699	1.32375463	-3.49313471	-1.892415676	-0.152384558	-0.3169982081	-0.4177293119	3.685564803	2.966965797	-0.1706934114	0.9843198251	0.1566725442	-3.209289344	-0.8075679081	0.3864360199	-1.279606375	-1.142711062	3.547767869	-0.1489998265	0.3868878766	-0.4197209515	-0.2202847009	-0.353034327	0.3563949733	0.17166189	0.6704094002	-0.7418804998	0.8486984191	-0.5932116786	0.6365280823	0.03976141951	-0.8344622204	0.1002046986	0.3410983437	-0.09468333665	-0.3391769904	-0.4528981082	0.3221092293	-0.3553845013	-0.1726726612	-0.5503987936	-0.6024469389	-0.6846885094	0.1987088268	-1.013282407	-0.7428461731	-0.08827717382	0.04609013676	-0.08149158753	0.2072810838	1.524388857	0.7091990505	-0.6766543483	1.320444356	0.05087729616	-0.6918678861	0.007799647107	-0.06956198853	1.685345191	-0.4259761233	-1.162271785	-1.137713213	0.3701691175	-1.451887103	0.3024472358	0.0873065608	-0.3943591972	0.7439851802	-1.671379042	0.5553661896	-1.20349253	-0.104053418	0.5424968948	0.8356176359	0.7287097636	-0.4366045395	0.145483946	-0.1312497931	0.4510514961	0.5614907067	-2.179579551	-0.08184567253	-0.9613691445	0.2141438732	0.7270094515	-0.7883035035	-1.82239552	0.4680381415	-0.8327246515	-0.331378669	1.147378374	0.2087214496	-0.2378848496	0.09212595307	-0.1342544825	-2.567217501	0.006314305898	1.460342648	-0.8214109625	-0.3793007821	-0.2287232494	-0.7034606273	-1.974541324	1.24884406	-0.7074926499	1.7413495	-1.482169156	1.11291773	-0.06058519001	1.131272447	3.190519952	-0.6427736325	0.2204574197	1.490290598	-0.7857352297	0.1008090203	-0.5387352959	0.005477354251	-0.06885235228	0.7944693902	0.5659927274	-0.6723871508	0.1646572711	-1.149559112	-0.1155427701	-1.22935661	0.4365260156	-0.9988977076	-0.6414244333	-0.8517855754	-1.199819629	2.504512806	0.683225238	-0.7870802198	-0.4984095029	0.9743356997	-1.283025732	1.238267291	-0.66041934	-1.41173753	-1.319606567	-1.321668515	-0.4603765463	1.271285526	-0.3252963903	-0.8890625793
-0.5283508963	0.6085227084	-0.2613507948	1.337428321	-3.620112776	-1.158604478	-0.8526945148	-0.4870990302	-0.6178625928	3.34653137	2.601773494	-0.1750665241	1.653718603	-0.1549293085	-2.77640981	-0.7544910272	-0.5399845028	-1.047860731	-1.284105169	3.252274905	-0.6896022343	1.171833826	-0.1277399711	-0.3150342823	-0.8235878197	0.7461171776	0.9587562955	0.8164895013	-0.9167430818	0.8823328112	-0.2562263559	0.9796101863	-0.0375290539	-0.567916635	-0.03708359516	0.3218820266	-0.02911998307	0.1037909887	-0.3070036158	-0.8810455121	-0.8485590074	0.07590097733	-1.109322292	-0.6248678211	0.03826969237	-0.324764896	-1.566876735	0.1447281007	-0.2205389126	0.202177835	-0.2516603271	-0.009319893925	1.527974457	0.1325059416	-0.6809732856	0.8036427403	-0.5457535659	-2.535600521	-0.3119214385	-0.1484490297	2.790567281	-1.008752905	-1.276146766	-0.8873237972	-0.02527327616	-1.07864109	1.015914727	0.4999863917	-0.8195260228	0.3352103884	-1.65085168	0.07300253257	-1.120452941	-0.6491561693	1.872037544	0.9817473018	-0.4802717396	0.6464660845	0.1684941834	-0.2738523733	-1.137306034	-0.08014098615	-1.235930879	0.1857725974	-1.062815483	0.533164414	0.4513780237	-0.706260371	-1.775346659	-0.07132026154	-1.035066855	0.07015614591	1.705155191	0.1383835834	0.6709477829	0.007147779573	-0.1364754793	-1.257120033	0.2172829692	1.404450409	-0.2989536998	0.2485538679	-0.09819534787	-1.126269675	-0.6925036189	0.3457959224	0.1496509842	1.010218895	-0.8380427557	0.6652255998	0.741414826	1.111410218	0.02964635554	-0.2059792303	-0.1113741891	1.310799401	-1.656586921	-1.411360166	-0.4393755477	-0.3155911711	0.1587031643	0.1566481485	0.7805784874	0.4088189864	1.091147258	-1.085911916	0.2960301071	0.3992851038	0.7060796087	-0.03035106913	-0.3784935377	0.1968554344	-1.888995851	2.729440525	0.494787634	-0.3602941092	-0.009153481586	0.8539022841	-1.087099555	1.802558334	-0.4721645892	-1.012677226	-0.2033107333	-0.08604320214	-1.490295678	1.060683558	-0.04801909243	-0.2483793487
