melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117
0.1774682425	1.184062039	0.3525287307	0.03795540494	0.008927554325	1.051734939	1.886275675	-1.275260108	0.3686243142	-0.9722850983	-0.1677669527	-0.3624716081	-0.5635889423	0.8510617452	1.827920149	-0.6490802507	-0.07741124533	-0.5701984969	-0.08867448986	-0.7107135452	-0.188835481	1.25233229	-0.4151177783	0.1505640458	2.03318688	1.842056534	0.8046901736	0.2274965629	2.519241921	1.036959966	0.885660671	-0.5277860818	2.705759101	1.111866441	-1.357531378	-1.358262142	1.438588612	-0.3522201971	-2.335284804	-0.9861559914	-0.1326710192	-1.304198803	0.4623630827	-0.5864901478	-0.6570496123	-1.595712269	1.715127892	-0.8919740093	1.999706859	-1.231564611	0.463368511	0.06365104119	1.055289463	0.7608549514	-0.3229200007	0.07571117525	-2.116044255	2.204981543	-2.687299347	0.9982530879	1.117248379	-0.004083723958	-0.07097130493	1.185399038	0.391751243	-1.284624578	0.1434257893	0.4511760219	0.0773943292	-1.438890164	-3.520439002	0.1376428955	0.415005796	-0.06540361906	-0.8070394249	-1.947522107	0.634044037	2.96500507	-0.3683174816	-0.9287567903	-0.03039286832	-1.323870807	-0.05724012011	-1.687197527	0.1664425279	0.6540296774	-2.043754741	-0.334565703	0.6660959661	-2.196788809	-1.139132055	-1.055768094	-2.111185453	2.588289117	-0.1002324433	0.8062844429	-0.7110692563	0.03838611549	1.437344228	0.4557923278	-0.1573601521	-0.1955486785	1.404583519	-1.188662898	-0.3794788375	0.4542631433	-0.3568834594	-0.07524265646	-0.9803751144	1.1091923	0.5426625526	0.7127632337	-0.3242600316	-1.189420724	-0.03138637873	-1.34710976	1.578816528	0.6906004314
-0.1895725393	0.9085040582	-1.062577613	-0.4277544126	-0.9665562779	0.2196784936	0.4945909981	0.9583773914	-0.9529690611	-0.520570396	-1.223133566	0.0434795134	-0.3693623002	-0.2060112083	0.08873149877	0.4512118905	1.104932612	1.249072489	-0.2390723813	-0.3215003426	-0.3385352158	0.1449188388	0.01098594651	-1.339800488	1.828771778	2.306872751	0.4784280832	0.2182031366	2.246904543	1.012938026	-0.5276677614	-0.9868544693	2.096821387	-0.2556764243	0.627636483	-0.6340380467	-0.2701460269	-1.901741554	-1.821189315	0.5877263893	0.101676839	-0.3815103301	1.200934697	-0.4237772334	-0.2616292667	-1.048087715	1.112283757	-0.8167729567	1.065581988	-1.166018349	-0.4188942136	0.6895532424	-0.2449481762	0.9708840953	-0.3229763096	0.4730856273	-1.217242824	1.466056907	-1.365283945	0.4699404826	0.3530287431	-0.04995613563	-0.1199469273	0.5623881372	1.762550468	-1.018712573	0.4609374529	-0.2663168412	-1.904815771	-0.02309652728	-2.767658137	0.5723578292	0.07808433859	-2.351775106	0.6850698961	-0.5299926588	-1.264197396	2.731825174	1.53858791	-0.4656461787	-0.2264761962	-0.09275872183	-0.5120881784	-0.3047925323	0.3358774533	0.03718502824	-0.6802357173	0.5077320765	-1.11392637	-2.847140267	-0.1810390067	-0.336094322	0.0507938137	1.697611343	0.2411213389	0.7999106532	0.2625591984	0.08831914948	1.128637082	1.202916525	-1.066761741	0.9959708008	0.9029121086	-0.7182732643	-0.4571706153	0.2813328243	0.08231580027	0.5950425763	0.7770414836	1.096065549	1.387844909	-0.2112958832	-0.3454979871	0.2397454447	0.5924429694	0.1026800259	1.610635746	0.6633756942
-0.350762859	-0.8745897398	-1.862156047	0.3910359209	-0.0143482697	-1.697148842	-1.344668024	1.511834041	0.1265274432	-0.5091117115	0.1619288984	-0.04260162667	0.2921554736	-0.9398534798	-0.757341825	1.174183053	1.428825878	1.154308655	1.180144511	0.8580206191	0.5080603909	-0.1734069008	0.7448757122	-1.853892398	0.95580147	1.385076944	0.3448627396	1.124346008	1.496696599	0.9199285247	-0.4094167164	0.0508111635	0.9816185734	-1.048056862	-0.5193987526	0.03850764202	-0.9802590317	0.326761899	-0.7315404276	-0.3920160106	0.1088537234	0.4392977502	0.5554558726	0.7652298232	-0.4115012668	-0.3227697559	0.4038108311	-0.9490140282	0.2710743702	-0.5873651894	-0.2341156934	0.966988073	-0.1601592416	1.553446824	-0.8778959124	0.01974173173	0.01636053649	0.5360051294	-0.1100909739	-1.941496434	0.3342151306	-0.07521303138	0.6122243282	0.5515586182	1.306839882	-0.3392346108	-0.05204349733	0.3971255515	-0.2393848497	1.659914145	0.03429628973	1.639366966	0.03483780061	-1.383288156	1.177597401	0.05516816757	-0.04198400046	0.8591359376	-0.5598640691	-0.137037983	-0.2866310608	0.5690050773	0.5300110872	-1.081611673	0.5199291345	0.6436530253	0.4696266882	-0.7861721822	-0.729365606	-1.201857344	2.286828113	-0.5031416617	2.180470884	-1.358146146	-0.003005834252	0.9124153043	-0.1097937503	-0.534021115	0.3046368338	-0.01781908043	0.74067384	0.09995064063	-0.6804668691	-0.9654393246	0.7446164746	-0.01731798256	0.3711301975	-1.07118697	0.482868218	-1.204468764	-0.07709051615	-1.203828643	-0.9796899109	0.6008304632	0.1950335015	0.1300100047	1.187755507	1.008265011
-0.6787647275	-0.1329768914	1.300251242	2.701989994	-0.5430073849	-0.6408273346	-1.046572096	-0.6945531266	1.509130215	-0.6572841843	-0.517659368	-0.546406154	0.8645897028	-1.007509715	0.9148723264	1.526434909	0.2317256259	-0.6110253534	0.992193305	0.3999524176	2.422016126	-0.06337485091	0.6813974364	-1.081317487	-0.147656589	1.095188291	0.3430656372	1.382883979	0.3485435877	0.6585153578	1.316105753	1.172254193	0.6324407796	0.4217378946	3.545933684	0.002853206055	0.4051006485	0.280491234	-0.5215819649	0.2053170356	0.1405584398	0.806582504	-1.154212301	2.214502087	0.2681952834	-0.7979618365	-0.4365636416	-0.8597917979	0.3882334282	0.5878069657	2.967248227	-0.1732239874	-0.6218690108	0.4669145155	-0.6508408933	0.7940639005	0.7426988374	-0.4007310619	0.8138585465	1.158260161	-0.230780799	-0.3156068718	1.363473409	-1.08233709	0.6411191346	-0.4220482754	0.6475154982	0.7279322582	0.5090545422	-0.2449213565	0.6636526396	1.565367266	-0.619341371	-1.22937044	-0.4454887332	-0.2014606435	0.2694219555	0.6552601132	0.1314746018	-0.6647391421	-0.05045450796	-0.4993957402	1.677738221	-1.775794964	1.012051795	2.263903537	-0.3550326753	-0.9150783365	-0.5888533453	-1.14963274	-0.3186761333	-0.5458266053	1.72447815	-1.414693712	-0.06441416895	1.357506995	0.006484955172	-0.803987148	0.4335652104	-0.4986114187	-0.1698217272	-0.5700082414	-0.1427601615	0.6440651109	2.079303412	-0.3617042224	-0.2341367864	0.1481668399	0.3116618427	-0.6460386223	-1.761681398	-0.08089134182	1.527164188	0.1791365775	0.9594070704	-1.965053055	0.3182310947	1.412831021
-0.8864229882	-1.021930162	0.7697927851	-0.1832712635	0.0602199679	1.751704679	-0.5470263336	1.097971885	1.47285322	-0.1662971587	0.6826173804	1.430080952	1.118925594	-0.6363457945	-1.355407976	1.28214577	0.0003285156496	1.493521999	-0.2923658091	0.5703667912	2.655110148	-1.007171308	-0.337530655	-0.6520461332	0.4828866265	1.107702452	0.05589285894	1.2049678	0.1284466418	-1.017467445	-0.4634920221	0.430427112	0.5068161963	-0.03197618496	0.637530332	0.4479837722	-0.08007645454	-0.8094200168	0.4319638195	1.297695065	-0.1986445072	0.1104925529	-0.1667306979	1.619913415	1.036271162	-1.119265766	0.09345902008	0.4902311675	-0.4761909478	0.1175047031	0.3171216295	-0.3125113162	-0.4741701706	-0.8137181725	-0.7104456664	1.204792435	1.457929028	-0.1247447097	2.128812673	0.7648257029	-0.8169203065	-0.7501087235	0.355775586	-1.321096746	0.4856493286	-0.14285128	-2.465551072	-0.194124396	1.314127243	0.2171836597	1.149853374	0.8076039814	1.311463766	0.621626324	-0.1159741459	0.888367003	-0.7656121266	-0.3001094451	0.2678544147	-1.092921056	-0.6136095202	-1.056752935	0.6289681817	-0.01647311164	-0.8291106049	0.9722728576	1.170875127	1.471598406	0.04634908588	-0.2456976992	0.227654537	-0.7985436882	0.6601793606	0.5939186152	0.9882238392	-1.588244563	1.121270018	1.24617411	-0.324242104	-0.5068261389	-0.2304765265	-0.7452866568	-0.04864189171	2.916816194	1.53925448	1.222860845	-1.037062329	2.088765261	0.6943438902	-0.5174341146	-1.567094394	0.1445038063	2.15288708	0.3091772193	2.636122939	-0.2319776874	-0.2257405038	1.446276926
-0.6247010235	-0.4339626893	-0.1722478704	-1.739617797	0.4689366878	0.3224785699	0.825919352	0.5081189715	1.137064885	-0.3598130722	0.9251330512	0.703339364	0.1899596472	1.973430803	-0.1913032176	0.883356275	-0.4889987509	0.8112301317	0.7090365243	-0.3933611377	1.326782005	0.3822942579	-1.592620339	-0.06994009254	0.9599397242	0.07381273726	0.1661342831	-0.4341354719	-0.7333582659	-1.049714531	-0.4892099238	-1.572703519	0.5817756642	-0.4416057861	-0.9804160906	1.09220141	0.2003366897	0.05589519109	-0.3955492782	-0.4240551076	-0.1819888017	1.285528465	0.1929891941	0.8861844091	1.213962013	-0.7372244185	-0.3461399992	0.2586558939	-0.1657137267	0.4808831935	0.04346367638	-0.2405104858	0.7284730399	0.5906776382	-0.981503715	0.08102059645	1.188737953	-0.0330571027	1.861440065	0.07221573956	-0.3273689192	-0.6153779454	-0.07618571488	-1.055738305	-0.6722008787	0.07952298859	-0.5403397667	0.5745223684	1.55208301	-0.849524846	1.713546027	1.039805756	3.126624807	2.753269931	1.083689207	-0.6923832363	1.468208108	0.8309194065	-0.2154770942	-0.1648201891	0.2711395802	-0.1711555386	0.4882225221	0.1770264844	-0.911836846	0.09524447075	0.5846789352	0.6317985428	0.6071476559	-0.8445373449	-0.2541842467	-0.9479271739	-0.08990430408	1.215454401	0.676747661	-0.8175355147	0.403924238	1.122880196	-1.511883331	1.109617982	-0.5884786428	-0.6545913031	-1.101436427	-0.354161801	-0.332082673	-0.2520598463	-0.2478394619	-0.7100447669	0.7884895339	-0.003783700291	-0.4528379338	0.3457126692	0.518457501	-0.8319008487	1.492963201	-0.6568357357	-0.9100956502	0.3797505894
-0.8065169422	0.1859452062	-0.471247213	-0.3021916025	-0.1347932771	0.7367004058	1.328420048	-1.113134589	-0.3492994478	-0.701495262	-1.1090698	-0.5354282171	1.247494887	0.7436475112	0.141235472	1.057561452	0.5504621917	0.4911187173	-0.01520778855	-0.7277743568	0.01977378332	-0.002880319679	0.1321872218	-0.2795278371	0.7987452038	0.3918602043	-0.0294143257	-0.4934302661	-0.877519849	0.3982782446	0.2252698344	-0.7097926852	0.1033548754	1.389073064	0.3764711031	0.695116382	1.25973272	-0.8356051662	0.428458521	0.1897827774	-1.097054748	-1.334520979	-0.3512874237	0.9223268183	2.389808437	0.1216231918	-0.3464255761	-0.3967971373	0.5748999994	1.212486038	-0.5714814702	-0.5267022878	-1.70811491	1.517591637	-0.8874461423	2.2153482	1.096826494	-0.5707589713	1.921417474	0.08455504951	2.322787545	0.5508626961	0.4327747888	0.4443963909	-0.884546369	-0.1891232692	2.030745157	-0.3083160724	0.5068384591	-1.408893366	1.400497763	0.3223901679	1.138260896	-1.183186982	0.540411131	-1.087713891	-0.900938901	0.4188849604	1.738696566	-1.417249301	1.337366717	-0.1612293436	0.4099158248	1.034494515	0.05619528593	-0.347862651	0.9913258446	1.888468439	-0.9637522137	-0.718911855	-2.07412211	1.087004625	-0.1587117394	0.03245465063	0.5446818966	1.603390618	-0.7811354538	2.162697103	0.1276667056	1.031852046	-0.3446203624	0.4792788414	1.225351912	-0.9493103687	1.116310506	-0.9368415301	0.1339409567	-0.6061572182	0.9616490173	-0.4151790588	1.368379806	1.494389346	0.7414167942	-1.367285009	-0.7155101203	-1.64110188	0.05083060684	0.9173933964
0.02270087051	1.076832578	-1.203219978	0.2522840072	0.1134361438	-0.3574871986	-1.407572238	0.5030852033	-0.3117847457	-0.587308617	-0.231431459	-0.240787096	1.519369128	-0.1364704249	-1.441195441	0.5642252605	1.364747081	0.6956468056	-0.4186642629	-0.431672946	-0.7749034299	-0.4874214488	1.121247296	-1.134504282	0.4752216045	-0.2118405606	-0.1943481659	0.6087120942	-0.3765888706	1.038333545	-0.7644255954	0.01811140571	0.08712049329	-0.1570216388	-0.5359759558	0.2269493155	0.7478744959	1.19850829	2.209652425	0.4680981948	-0.3950470246	-0.05372668472	-0.8790607097	-0.5288448971	1.95457205	0.3112378313	-0.02267715493	-0.2194190427	1.284033103	1.004415163	-0.4992125642	-0.2894652877	0.08837560837	1.232160369	-1.091578175	-0.158129562	0.9849645457	-1.213861088	1.918365907	-0.2166422732	0.4980093122	1.155672762	0.9792231336	0.8044271723	-1.42444344	-0.2829055873	0.7920875328	-1.635695728	-0.2923875956	-0.9169538172	1.620662914	-1.238426798	-0.4186395254	-1.03746405	-0.7656099163	-0.5161975166	-0.1408029827	-0.2264657759	0.963972576	-0.6991374989	0.1779554546	-0.5063844303	-1.777404422	1.293259613	-0.5653112126	0.4586481073	1.217775167	0.572332979	-0.9502567478	0.9898313396	-0.66871088	1.850039516	0.3607261926	-1.026722882	-0.4748926012	1.241713457	-0.4131502672	1.034492015	0.9229548901	0.764723931	2.544993149	1.377230711	2.303840751	1.5406373	1.97250307	-0.853154627	1.012405753	0.7759257461	-0.09876508752	-0.3805194059	0.6949855541	0.2673356839	0.2697962488	-1.505055461	1.588587335	0.0567595064	0.04907041346	0.7925841028
0.6281308391	-0.7610864012	-0.2802878603	0.725069301	-0.1301106604	-2.080702609	-1.204898428	1.042384206	0.7651037622	-0.2867809407	1.150260564	-0.8833746132	0.8844491233	-0.3477064584	0.3697049102	0.05324003833	0.0125977652	0.3401780002	1.188771729	0.08605726882	-0.8980929778	0.01352625643	1.641372173	-0.8551435549	0.3401668341	0.8012898549	0.02326737438	0.834999962	0.4533477772	1.558898801	-2.23497955	1.125173819	0.2086863943	-2.525663818	-1.149521869	-1.293317812	-0.5372986041	1.040656651	-0.1948641743	-0.599431881	0.9066774007	1.027304749	0.3139115814	-1.104184087	0.560041025	0.7851114008	-0.548949207	-0.8743176723	1.247198842	0.9407368356	-1.851745683	-0.2867099232	1.690446042	0.7058237538	-1.216926327	-1.423763509	0.8246577825	-0.8045774344	0.5609027975	-0.5206030518	-0.595163181	1.28989508	0.5103555068	-0.6975110561	-0.7407430848	0.0910970612	-0.9927747307	1.284207979	-1.129677431	1.243125975	1.461064848	-0.8297523835	0.121598767	1.038968066	0.815167857	-1.324134831	0.7516464432	-0.1619780598	-0.3466949066	0.7980057154	-1.544052261	0.4527308397	-0.9644677717	-0.5144336907	0.03759420575	0.0007681314164	0.3524832222	-1.588725865	0.3061228177	0.1133350053	1.270960818	0.437901489	-0.4718104279	-0.3336757853	-0.9718477817	-0.09096351637	-0.3531631495	-1.17688314	0.1092624895	-0.7410776785	1.600626888	1.406486802	1.325986266	1.112006389	0.228727492	0.2344852922	1.013934514	-0.4119783676	0.3368000685	0.2162234178	-0.1836265691	0.07715775156	-2.020054418	-0.8919147975	1.530584073	1.121084255	-0.7481238469	-0.3776654247
-0.1818675666	-0.4848048643	1.387468423	1.14537642	0.4018784809	-0.2345304639	-0.4363002097	-1.097904009	0.9783043712	-0.5329384603	-0.06873688302	-1.166148134	1.159484449	-1.297160694	0.1217925421	0.6698985502	-0.03841544924	0.1105817038	0.7909653328	0.8667295659	-0.949746637	0.02481110288	0.5378827743	-0.09105838986	-0.3950920143	-0.1448181424	0.2454002375	0.1325532897	1.138092578	0.7575154132	1.798798644	0.9183345295	-0.2977762774	-1.372724313	2.717181778	-1.079049235	-0.6672090826	2.641696929	0.7011712289	0.2869748643	-0.357773043	0.5112197151	-0.05620717127	-0.2119001849	0.338334778	0.9236873061	-0.1459103264	-1.568697186	-0.05321106317	1.498454997	1.118065885	-1.154984389	-1.886170895	0.2222271929	-1.028019465	-0.3608936813	0.8702694701	0.09768836355	0.1031818488	0.4977832521	-0.561726679	1.100867759	-0.5815430191	-1.572905328	1.044953515	0.4654152463	-0.1829675047	1.104608001	0.5206431562	1.246430999	1.738275301	0.4097602724	-0.4509236102	-0.07355554284	0.1686680091	-0.1690768603	-0.8666936752	-0.5495971282	0.1016506463	2.065180752	-0.7461886941	0.188197683	-0.09790683639	-0.9363809022	0.4340274499	-0.02683657148	-1.129106533	-0.5685269915	1.749094936	-0.8341751786	-0.5754854341	0.3077809794	-0.4910587948	-1.414944066	0.5194742698	0.1551667424	0.1812518672	-0.3075585358	-0.2664005021	0.3320147606	-1.553557412	-0.6510796713	1.075127599	0.5577495839	0.5113898001	-0.3272238034	-1.468178371	-0.4251180696	0.1708794185	-1.486881361	0.6515268296	0.5203035934	-1.397876114	-0.37930611	-0.6045026312	0.1521982985	-0.6615359583	0.1952935888
