melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081
0.4455839461	2.077516859	0.3501543171	1.343198889	-0.06846208868	1.359894857	1.450321941	-0.8091349419	-2.112572267	0.57571606	0.4746920195	1.603360223	1.888275728	1.353741115	1.573112462	-0.7738078193	-0.5944210582	-1.376303739	-0.8982187162	0.6398120538	-0.1702614362	-3.890474646	-0.2160366194	-1.585986496	-0.06492510492	-1.127727611	2.394556239	-2.654076788	1.892228079	1.869558515	0.9412019429	-0.05524417457	4.090013312	-2.05889026	-0.735596157	0.3209224359	2.407272742	-0.5374204345	-2.074311673	1.413015503	-1.366631774	1.386603762	-1.008596115	1.277096754	-3.11208647	-2.868336882	-0.3390987478	0.3189895441	0.41147602	-2.208664639	-0.3436241334	-2.392329507	0.1281660392	-1.205256857	-0.7085404373	-1.722478891	-0.4426662013	0.4963502522	0.3560878406	-1.267710235	1.389491625	-3.270997658	2.948669465	1.208968972	0.09630779936	-1.292490151	-1.283010703	-2.052392822	0.6279896941	-0.3526595045	-0.6259207181	1.597697382	-0.1839882943	-1.576498672	-3.439137954	1.517980996	3.530848645	-0.4297692933	0.7428854113	-1.233576008	-0.8883402296	0.6164197842
-0.1273058834	1.886277278	-0.8728838602	0.6843411474	-1.033063293	-0.6819952004	-0.06733353737	0.113725231	-0.5426179901	-0.08368589007	-0.07105557551	0.05489842516	1.078525914	1.162695593	-0.2972664383	-1.222930458	-0.4865783234	1.029346996	-1.483806583	0.502784942	-0.9055184181	-3.415954109	0.01491918728	-0.9203442011	0.07490119124	-1.397548118	-1.255093155	-1.937740615	0.9563980294	1.473721536	-0.8693192847	0.5249572144	3.987431958	-2.233130487	-1.396424861	-0.6690884616	1.927387933	0.08886600964	-2.420558996	-0.546032726	-1.372870102	0.8965850803	-2.745402158	1.209342227	-2.777307251	-1.573887382	-0.6210195086	1.107028718	-1.214391387	-2.587298451	-0.8338448829	-1.26888447	0.0167713679	-2.330497211	-2.499058937	-1.677289612	1.685067844	-0.3074665451	-1.674062912	0.7301377947	0.4813546204	-1.443685181	1.01741305	0.03944668474	-0.6331381821	-0.9006186889	-1.389721104	-1.516574717	-1.222516838	-0.601434307	-1.970896502	0.6869404965	0.4022610226	0.5450315395	-2.402380741	1.775042931	0.577046214	-0.8971261684	0.4254611593	-0.7991047616	-1.094464358	0.5826538076
-0.9386734566	0.1238648273	-1.136401492	0.8733867975	-1.417484703	-0.5728499444	-1.564561802	-0.4717231124	-0.2881387657	-0.3399490641	-0.96136534	-0.4319245508	-2.522616907	-0.5520160204	0.4475371963	-0.8622731574	1.624153231	0.9329391297	-0.5689865704	0.6610413082	-1.339143106	-2.098296933	-0.02409135447	0.02852823613	-0.3144852909	-0.7807591182	-1.986962252	-1.543748911	-0.1931184593	0.6495810823	-0.08152293221	0.1185161234	2.781572696	-1.823218503	-0.4112952928	0.1617407873	0.1812213657	-0.0008043371735	-1.993743029	0.271665992	-1.376710346	1.595156444	-0.2583990775	0.5763858354	-2.020056576	-0.7134816809	-0.05758241461	0.7421868645	-1.762041174	-1.060716569	-0.8973838087	-0.9232816319	1.226681464	-1.79285918	-1.410934178	0.1100753328	1.298190044	0.6260673506	-0.7896333967	1.368485702	-0.536952737	-0.410318954	0.1092081358	-0.1674205602	2.116933317	-1.178388864	-1.25475047	0.06525196152	0.2306585924	-0.3960590982	-1.918081539	-0.07126572974	0.5986077499	-0.08842939205	-1.196822304	0.5697357434	-1.987581297	0.2273527599	0.9292852494	-0.008695189781	-0.1620413082	0.9134645951
-0.6591385029	-1.254192157	-0.6968340209	0.2251618262	-0.05298228435	1.048505621	-1.479974239	-0.5243386249	-0.5577365834	1.977161152	-0.4130805213	1.560704565	0.8361608552	0.01885034936	-1.084038987	-1.368269001	-0.1102762137	0.9249250309	0.3838567639	-0.05042964359	-1.70322577	-1.709952488	0.9525159474	0.006922877251	-1.002567546	-0.2159136224	1.390558194	-0.9854457283	0.2310977833	-0.2560794037	-0.01584660726	-0.2131052969	1.067093078	-0.4896227376	-0.6531361257	1.210140795	0.4529038524	0.9052129097	-1.813374925	0.6893262182	-1.618200702	1.268364793	-1.264612592	0.8753922692	-2.101681716	-1.091198709	0.3057388104	1.358767263	-0.746235289	-0.6626193038	-0.8807021823	-1.061871405	0.5104678585	-1.028109995	-0.7276524359	0.6630268458	0.7820628638	0.8031461978	-0.9840236258	0.5363463128	0.5084327338	1.114853262	-0.9048680792	0.5744467303	-0.1850802394	0.7835919037	-0.8913833195	0.6592856673	-1.213359267	0.4947070702	0.4026767464	-1.331471913	-0.653428034	0.8214544084	-2.523850485	0.7032030012	-0.8395125384	0.4136676652	-0.03160351573	-0.4707157408	-0.286886516	-0.8563386638
-0.8120426209	-1.693918116	-0.5999526043	-0.5924155612	0.4170593791	1.229881144	-0.5619693883	-0.3191504536	-0.4751593185	0.8222283325	0.3883598531	-0.3073653755	-0.09209167844	-0.2803976532	-2.081985904	-0.7940861583	0.3556605563	1.239430535	0.6600797163	0.5707807335	-0.7621419351	-1.57134754	0.4876382971	-0.3215489678	0.3298664261	0.0479696966	0.1734413007	0.3215942756	-0.1864132647	-0.1267957324	-0.9457177368	-0.3082350713	-0.1332514056	0.02538450383	-0.4008936068	2.15936659	0.6583730076	-0.5388269278	-1.399055503	-0.6478545123	-1.335063476	1.275343078	-0.9893967109	2.04071267	-1.82261853	-0.4255467051	0.8639869199	1.321356563	0.5415823605	-0.4369324118	-0.3095612122	-1.594403848	0.1979066293	-0.7214534619	-0.4139394166	0.7408866031	0.2186794656	0.2567340837	-1.051868084	1.076321455	-0.4057893815	1.579316034	-0.3425602644	1.39122702	0.6257462925	0.1807685206	0.9223645454	1.091798969	-0.03114861662	-0.05661648595	0.7770700452	-0.8815491087	0.02119705956	0.9075890749	-0.7488110555	0.7794616749	-0.04734756221	0.7087877685	-0.4128710934	-0.03235779867	-0.6683643062	-1.053134769
-1.003884071	-1.71238864	-0.01813140916	-0.02505580772	0.5610969128	1.998030846	-0.3709587022	-1.019525568	-0.7784498351	0.5691100447	1.167555755	-0.2421095424	0.1344892553	0.5416169986	-0.5292460337	0.131555058	1.16773937	0.1457058125	1.240550495	0.5547320932	0.3508919309	-0.9140697942	0.1842798635	-0.3026829121	1.221554589	0.7049684719	-0.8172842729	0.2707504872	-0.3040390752	-0.1891016576	0.693478121	0.2514964983	-0.6803959136	0.1789796839	0.740595005	2.767250857	-0.1967463805	-1.638605661	-0.8224610937	-0.1336474857	0.09200166609	0.1433635833	-0.9824650954	1.528412707	-1.049969327	-1.331661726	1.1272176	0.2514430454	1.169624105	0.7679973086	-0.6230668213	-1.954481323	0.3329088698	-1.067838631	0.2753840896	0.6518063981	-0.8823039645	1.132049992	-1.882682302	-0.02948496659	-0.6478959684	1.291646848	-0.08417667185	0.6420696375	0.6015067708	-0.107961122	0.750584169	1.677635903	0.7056664234	-0.5767215034	0.4641339673	-1.056267415	-0.2495267532	-0.00133243234	-1.09475186	0.03635183197	0.5950263712	-0.2812090174	-0.3527510958	0.5373158129	-0.3910781452	-1.394483891
-0.5657167081	-1.074863014	-0.5332214907	-0.2605944412	0.5361191339	1.69975891	-0.241380047	-0.1041192922	-0.8175507299	1.311807534	1.572028617	-0.1872326851	0.5660045739	0.5894832557	-1.2487714	0.3835563002	-0.5985212739	0.3736790795	0.6075418419	0.2134477238	0.34141162	0.06391034393	0.7560631789	0.5220594643	0.2197985849	0.219540128	0.9890142194	1.093681934	0.2790749786	0.0140814591	-0.1238635809	0.1235248118	-0.6743012696	0.8808389929	0.366407551	1.851226757	-1.032921934	-0.5843253187	-1.170512168	0.1444100424	-0.7000707187	-0.2236619718	-2.034058758	-0.5956034116	-1.720889772	-1.531756512	0.8807782651	-0.6612293029	1.988467444	1.107624711	-0.4657244331	-1.382296821	0.06975142525	-0.7906317593	-0.803986052	-0.1072647528	0.7404957402	0.6243448668	-1.514693911	0.5683334733	-0.03316541234	2.962272178	-0.4648378348	-0.6946911114	-1.875058014	1.038538453	-0.3898352669	1.56979803	0.03615663097	-0.3247747535	1.814227193	-1.688386947	-0.1624845168	0.8066295844	-0.9135603246	0.6426158868	1.51739289	-0.5751268827	-0.1838521464	0.5811461465	-0.2233187137	-0.9367790437
-0.9553111256	-0.7371272172	-0.5719367462	0.06791707746	-0.1269534094	1.314920803	-0.1225703622	-0.2202065413	-0.6422328347	1.240221771	1.495522629	1.149263704	-0.5136906614	-0.4513028724	-1.428111487	0.4584894217	0.003708931145	1.23018091	-0.2333733009	0.0660985546	-0.4392271763	0.5399493243	0.2873527353	1.397411273	-0.30268186	0.003129338441	-0.3929979466	1.165938197	-0.3346362194	-0.214530258	0.234838292	0.07564677771	-0.461148174	0.4514893174	0.5188452271	0.578792288	-1.328349205	-0.6083788363	0.04409303091	-0.7688786196	-0.1891016342	-0.7988123141	-0.687179355	-2.158294705	-1.038469097	-1.685419287	1.142923663	-1.80105482	2.209552606	0.5434156318	-1.337297429	-1.866772723	0.9761820021	-0.1013111147	-0.4748121869	-0.4515449841	0.5551283222	0.2855493176	-1.090284439	1.245705854	-0.7755794202	1.475920286	-0.3160440994	-0.4290353578	-1.324973141	0.4619983944	-0.3284508117	0.5633539167	0.2398538626	0.07429541722	0.05349610908	-0.3010914719	-0.398342842	-0.2979889475	-0.6071029915	0.5344774877	0.8034197817	-0.009827443484	-0.1883543679	-0.6403742547	0.7925803742	-1.402886948
-1.029402499	0.1835878066	-0.5760471614	1.032585352	-1.241792919	0.6015348425	-0.7057449519	-0.8111209811	-0.8281393974	0.2542084737	0.8009812086	0.02397836236	-2.386004633	-1.58961441	0.5728367434	0.4142825165	1.166190699	0.3972093754	-0.09172212328	0.5932178426	-0.006921726695	0.4986041956	0.1284249747	1.327605971	-0.7613575426	-0.5432689176	-1.273896503	0.02785048819	-0.03804943649	-0.7930775875	1.056892367	0.5630972559	-0.6164415616	-0.05888079762	0.8727568219	-0.3160250134	-1.464366384	-1.022940313	0.3043566128	-0.08166851479	-0.005580784807	-0.4547872958	-0.3545294271	-2.265428797	-0.2641633008	-1.378272862	-0.733043029	-2.095348116	1.01813453	1.018233822	-1.702950588	-1.786351755	1.99677899	0.4474465506	0.4837928369	0.2062710564	0.2324139075	0.5256425168	-0.8962249873	0.5337434122	-1.190179269	0.2585575475	1.197706156	-0.1655331922	1.099420505	-1.034004592	-0.7378081649	0.1553745899	0.01616009424	-0.8205874546	-1.75819154	-0.3160171763	-0.174108122	-1.376753914	-1.00877239	-0.693482264	-0.3140792435	-0.4945333124	-0.4686758424	-0.100697812	1.241364749	0.101513248
-0.5008776728	1.169062109	-0.8806184234	1.66214884	-0.5518055396	0.9716729068	-1.301824596	-0.2673789774	-0.5965897865	0.9091638159	-0.2160639931	0.7924566406	-0.7923248433	1.658148231	2.265408983	-0.139286812	-0.6500232097	0.2752490091	-0.1134830888	-0.01143598948	-0.1322720604	0.2714906844	-0.1857495083	0.7942788725	-1.426315734	-0.4821366021	-0.1599099411	-0.8365512208	2.503266515	0.6535586654	-0.1629121007	0.4032115459	-0.9655617203	-0.2469081805	0.03949211422	0.04375504518	-0.9203505531	0.2049951002	0.2674901783	0.1592368196	0.3039122586	-0.03033879836	-1.872687687	-2.092257931	-1.003813157	-2.00112443	-0.5958917188	-1.627810595	0.05899741407	1.014143073	-1.150229775	-0.7331991152	0.6237801757	-0.3077682003	-0.4740042711	0.1886372375	-0.1630280395	-0.3955630447	-0.9102867666	0.1498170641	-0.5629834788	0.2195225752	0.03042394146	-1.123606955	-0.7119084561	0.1433677756	-1.450694083	0.4108296653	-0.9653521376	-0.9336459563	-0.6806940247	-0.7415661586	-0.5607218506	-0.8274027066	-1.370161989	-1.229471393	-1.239552808	-2.213732861	-0.3188473279	-0.2760111363	0.04298750413	-1.149346314
