melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126
0.04536499284	-0.8805070371	-0.9841346781	1.158942811	-0.9039061725	-1.031605442	0.9601644301	-1.291470112	0.02130490305	-0.5508005872	0.4495703748	1.025618599	0.5073974728	-2.761163978	0.3340672434	-1.002944009	1.010636767	2.520038766	-0.4419923234	1.691624635	0.9083427198	-2.003982301	-0.7336593017	-0.9532876199	-0.2683651612	-0.4621716578	-0.1474810165	-1.830047898	-0.1731694298	-1.969239882	0.3313144197	0.154170846	0.8876906727	-0.1136968655	-0.9396738328	-0.1982151615	-0.2116571123	-1.097374973	-0.04430402131	-2.480522444	-1.377496497	-2.144453543	-0.8221659157	0.5571746333	-2.16238726	1.249940888	-0.1183709638	0.07102395621	-2.172901001	-0.635265091	0.4043459646	-0.2518897074	5.853380604	-1.369362695	3.544806624	-1.964294253	-0.4853589233	-0.4675789009	-3.101953672	0.2806914435	0.8769325629	1.739516953	-0.298698511	-1.958076918	-0.518725078	-1.035029689	-1.61380572	-0.7605903934	-1.914752651	0.1036051194	1.003623274	0.6343953639	0.2198312951	-0.5722522855	-2.703443742	-0.6755450933	0.2701389534	-2.209942787	-0.3281015579	0.5532854949	-0.1329631477	0.9583767484	1.120514393	0.2227337522	-0.08092540446	-0.9710685334	2.410588533	-3.906342886	0.2505388927	-1.339172175	0.4035926016	0.6204247797	2.844937375	-1.734108255	2.009019493	-1.124193846	-0.2002249515	-0.9675600552	-0.02819436203	0.9070976725	-0.06683327754	-1.347660168	-1.681628367	-0.4457487795	-1.396156801	-1.116952969	-0.6173886068	-1.693898171	0.1153312164	2.357705464	-0.1317151072	1.010189979	-1.997744182	0.2252866334	-0.9351073091	-3.212607976	4.005257914	0.1426705759	0.9040255633	-0.3484214706	0.7154618692	0.5430691489	2.796781562	1.043255057	-1.24111771	1.678243207	0.2822115203
-1.309794997	2.045414767	-0.6364385334	-0.3767357887	-1.252613223	-0.04937815382	-0.2448143469	-0.5969174851	-1.041745699	1.776110837	0.0560822739	1.109477916	1.230413564	0.4816432587	-0.7930539071	-0.04543255624	-1.139323479	2.022411797	-0.8214328748	0.002320415413	0.7971731892	-2.433722243	-0.2760872833	-1.231348994	0.67788237	-0.9245840236	-0.6199086633	0.928683285	1.08234184	-2.193805647	0.7162041012	0.3261108088	0.1707232659	-0.5519334037	-1.03766508	-1.100973584	-0.2062778099	-1.428498809	-0.7434845721	-2.654627338	-2.074791444	-2.340964458	0.679174616	-0.2318221946	-1.9912332	0.3729423205	0.923897449	-1.412486936	-1.830321866	0.4412022191	-0.4627333918	0.7608222351	4.183449694	-1.391913535	0.1960715135	-0.2139478761	-0.482084685	-0.2182043299	-3.715680438	-0.793527214	0.7495779838	1.906316059	0.1501217623	-2.388171675	-0.1626293142	-2.295196719	-0.3921160779	-1.032116332	-2.151247183	0.7877093381	-2.109054703	-1.007079505	-0.4818814952	-0.501212548	-2.472922652	-0.4706195957	0.06556112144	-3.129010166	-0.720387717	-0.6710636951	0.9349274232	0.5927049646	0.8699745896	-0.2787220311	-1.238261221	-0.8381963226	0.4205141583	-3.247149428	0.276581231	-1.353806476	-0.8323841164	-0.07715472225	-0.9207616015	-2.304621982	1.50009905	-1.197374861	0.5594472703	-1.518436527	1.663194913	1.743594942	0.3493455805	-1.372736799	-1.38992357	0.0394730167	-1.754855622	-1.460860159	-0.380139459	-1.738816665	0.6110147991	0.120331361	-0.03686511502	0.6938285251	-0.7710426235	-0.6099838169	1.223666888	-2.185394232	2.188012742	1.53639618	0.972964002	-0.8955756844	-0.5367775768	1.229570671	2.656903225	0.1620075103	-1.259029683	-0.5305996337	-0.4709856331
-0.2246339768	-0.6326052626	0.4917378425	-0.9122812913	0.1809273719	-0.6902260642	-1.786786342	1.45514515	-0.06667986245	0.634520588	0.701920411	-0.8464659307	0.2093484914	0.05572170007	-1.382096689	0.1886472285	0.4657287941	2.264763978	0.3335830367	-1.77426076	-0.3432470538	-2.060332936	0.0275201659	-1.428468619	1.229744937	-0.6140903507	-0.4540420867	-0.3290816108	1.367360932	-1.21563944	0.02229721265	0.497816803	-0.3749186321	0.5127158013	-1.047318111	-0.1743636889	-0.5179918534	-0.7664561577	-0.6760855761	-1.377850531	-1.075140098	-1.689148143	0.5765174816	-2.431875402	-1.215175035	-0.2866502391	-0.7112313495	0.8604001407	-1.294711297	0.5432677533	-0.2644743006	-0.6522399341	4.332642189	-1.154139621	-0.845085521	1.800715431	2.018059361	-0.2409188599	-2.288134697	-1.109661927	0.264867325	0.8508870979	-2.170236731	-1.327210658	-0.2983376012	-0.06034747136	-1.514408254	0.6083642926	-0.9101990855	0.497428692	-1.914531126	0.2721641829	0.06908228453	-1.052085752	-1.276657936	-1.290713499	-0.3056195409	-2.166036846	-0.4653880657	-0.6003845284	1.440664416	-0.1176990764	0.3451055052	-0.7898219282	-1.764460543	-1.311271107	0.3799747438	-2.926055358	0.07787267456	-1.161789618	-1.400551739	0.1620472661	-2.259537729	0.448160914	1.606174178	-0.6267665955	1.050242484	-0.2635336864	1.363787961	-0.098674535	-0.4139885642	-0.3564729506	-0.5249238464	1.035983339	-2.56213374	0.2278110657	0.3033111613	0.02871428186	1.444406297	-0.1462450647	0.1895878906	1.277134269	0.9839045084	1.008519984	0.249497112	-1.20354965	0.6688214051	-1.492279482	-0.05696010556	0.0671372678	1.207866642	2.100139401	1.692191296	0.4342228242	-1.914035913	-0.9532516967	-0.6445378465
0.7971245944	-1.185867205	0.127486655	-0.6939954519	1.136853122	-2.251383366	-0.7698626837	-0.0412317956	0.5700859196	-0.9063404142	-1.005372275	0.1347754685	0.5556291341	-0.3637040695	0.3016969787	0.9261837719	0.4720920826	2.600150844	1.294340373	0.5733242846	-0.6086667294	-1.100252837	0.9973615417	-1.148363033	-2.431208202	-0.9480578052	0.2623213874	0.6370072434	-1.099926761	0.05833936075	1.13924512	0.5561415846	0.450669586	0.1615566643	-0.06715265322	2.46903548	-0.1350564754	-0.16319912	-0.07940447229	0.3801921967	-0.5691648609	-1.893507666	-2.830633902	0.6985837042	-0.1024686137	-1.318379891	-0.9875889455	0.76471978	-0.2180376632	0.1607479864	0.2053477702	-0.3154402632	4.694230576	-2.083888971	0.2181145483	0.5972753706	-0.5093961035	0.2712769501	-0.7578277542	-0.5901671504	-0.07200141594	0.3227953585	-0.03011467167	-0.1307985554	-1.532984667	0.5036360694	-1.151138152	0.1320067828	1.383636484	-0.2285951511	-0.34516265	-1.62818144	0.3094844257	-0.9328808793	0.6337502871	-1.372021287	-0.4934890236	-1.760968228	0.4002710882	-0.1729673586	1.547517782	0.2189585668	0.06388322933	-1.214032382	0.14361867	-2.447084268	-1.501141069	-2.590171088	0.4452779129	1.184656625	-1.18389924	-0.3108775464	-1.15806835	1.647081189	0.04605580181	-1.002895467	0.994755236	-0.005620609779	0.9661390061	-2.083674945	-0.9157675326	0.4094610575	0.1367084996	1.24352808	-1.168457422	0.8668530528	2.462004877	1.047616344	-0.01763953342	0.8036090481	0.2526564149	0.8776094796	0.2162781481	0.6298055367	-2.816441713	-0.5745193354	-0.987083662	-1.17587851	0.2652644414	-0.4998483239	2.741362548	0.0959077149	2.18225028	0.4077306875	-0.5161576449	-1.047660492	-1.621669885
0.08492160476	-0.365434751	-1.114516052	1.63715358	-0.08661653739	-0.5960283658	1.326532772	-1.102851936	-0.5701961711	-0.1548913675	0.1493840866	1.197752452	-0.3646934604	-2.057012816	0.4090076468	-0.2126291812	2.049152061	2.39143116	2.242858082	0.5859523605	-0.04750798358	-0.3923022388	0.07569904658	-0.5451574536	0.260537576	-1.103765813	0.86095823	-1.954852235	1.243323683	-0.008658134754	-1.641335155	-0.8767481213	-0.2148661244	-0.201224203	0.9590196229	-0.8126654312	-0.2259108921	-0.1473866051	-0.08940630623	0.6571488742	-0.9032310956	-1.177318132	0.04637103574	0.1968450587	1.393722541	-0.9082056886	1.74355232	0.3091461728	-0.2111539947	0.4183905927	0.07835668829	0.01866861459	2.977703076	-1.33880262	-0.1109741921	-1.641955019	-0.6661321792	-0.6083904789	-1.060187358	0.8048450971	0.6377258939	-0.01470309966	-0.4129284858	1.165916743	-1.254184552	0.7461445864	-0.6380118704	-1.365164076	0.2743149716	0.07775769511	0.000432848057	-0.1738002177	0.2063106256	-1.42822835	-1.042640568	-0.2220133359	-0.2590036064	-2.300359674	-0.9731442386	-0.4210624431	1.709027579	-0.05661888999	0.3137344277	-0.7371750864	2.407415219	-1.98141965	-1.759336104	-2.740915183	0.5430307679	0.2789489218	-0.7679237288	0.2577420377	2.268957729	1.633908174	0.5683848145	-0.4696961704	1.15532289	1.39048815	-0.09178688267	-0.000532778962	0.5517652114	0.6758590646	0.978119908	0.09052653413	-1.270073804	1.971869604	-0.5705907647	1.369014637	0.18121756	0.6524671982	0.7907983622	1.341383087	-0.05506027893	1.486568448	1.986497062	0.2432457332	-0.2213521015	1.541009643	1.955234395	1.875220327	0.335647309	1.894754341	3.723504598	-0.4150435516	0.2647121983	0.7225073873	-3.358980563
-1.798493931	1.22748879	0.002649255255	-1.128508759	-1.034418972	0.9074290708	0.09084726087	-0.9576956581	-0.3483606231	0.6258927677	-0.1560507753	0.1953653117	-1.391431146	-0.8990389556	-1.167668715	-1.022482595	-0.4821208597	1.809244461	2.650088663	0.005132002243	-0.6617411677	0.4505237811	0.0646418439	0.1916252317	0.3809220238	-1.151224049	1.047864701	-0.7187309689	0.1664761411	-0.2609577874	-0.5590029801	0.2461700993	-0.6567626127	0.03378808695	0.8899600443	-0.5462079282	1.933414075	0.4056735125	0.2067625424	1.330931424	0.076943281	-1.223949273	0.6279189122	-1.641592449	1.627068918	-0.5363929743	-1.791251412	-1.009998982	0.05908648195	0.8436342971	0.2845773146	1.269880839	3.590747127	-0.8803570126	-1.045217139	0.1814922795	-1.013876079	0.3435535409	-0.4918358153	2.30189919	-0.0255050744	-0.243361991	0.9867287095	2.216787332	1.187719788	-0.1148761148	-0.2221733653	-0.388917602	0.8207634236	0.2376996169	-2.029165316	1.11525462	0.06081265527	-0.1572355237	-1.729241547	0.1624179774	-0.1522714518	-1.007874854	-0.9111538515	0.1348259136	0.434857999	2.064596775	-0.1797878164	-1.055889537	-0.02717520655	-0.9174626353	-0.1778489341	-1.912265727	0.349342683	-0.1059528597	-0.8008207303	0.01460339972	0.4871136018	1.998075148	1.037319689	-0.9066147547	0.1031082258	0.5857711622	0.2236081479	-0.5535519238	0.6427785769	-0.1569149994	-0.3519311232	-0.7020809892	-1.156666462	1.179219516	0.5143413859	2.352508643	0.4714326881	-0.8649647737	-0.7066631833	0.809929113	0.3280307609	0.4943247606	-0.4274408264	-1.539917679	0.9153823209	-0.07553328386	0.4753322377	0.1278729481	-0.2304125995	1.11811653	1.050659453	0.150052734	2.264304162	0.7547246103	-1.812244199
0.6110797474	-0.5256202039	1.402478892	-0.6085937231	0.5604789358	0.3894154265	-1.292737776	2.193164576	-0.01407679717	0.004900705999	-1.144458082	-0.8044797409	0.9735862845	0.9302634343	-1.300868894	1.502382969	-0.2206896165	1.626895876	1.810487272	-1.591178165	-0.2906694272	0.6581235268	0.816881055	0.2941893397	1.395233745	-1.452402601	1.389875867	0.9849238714	-0.9295031017	-0.5516842992	0.8243347964	-1.525782064	-1.034098887	1.806278322	0.4052140499	-0.6663035094	-0.2418445348	0.181137721	0.2505893653	0.1820544163	-0.2345581056	-1.480098466	0.6997044655	0.4005233714	1.587927467	-0.568297929	0.2682112504	-0.1248723438	0.6871963335	1.243767466	-0.07612815124	1.370405382	2.722930703	-0.5949582554	-1.620142788	2.093710944	0.7199527208	-0.2480626759	-0.3081039616	-0.4096552838	0.04601117098	-0.8144204461	-1.482583253	2.04386386	0.1584573412	-0.4970696762	-0.3612232961	0.7488135148	0.3280539492	0.1566950582	-2.214064976	0.1930217187	0.02633691476	-0.6497086022	-1.285731554	0.1985802266	-0.08172882224	-0.8620513083	0.3761352399	-0.1541709195	1.299805239	-0.4886585011	-0.3769295051	-0.9814646677	0.04330865021	-1.31061777	-0.0783442933	-0.9692732884	0.3368691172	-0.5094330581	-0.1406791184	-1.022182564	-1.229749247	0.9079520202	-0.01031244145	0.1551956321	0.5521600374	-0.1929169473	-0.2260010104	1.779483531	-0.5181665516	-0.09713040486	-1.906125261	-0.6417033479	-1.400580552	1.143202708	1.190875201	1.040023988	-0.9057622586	-0.01011809854	-1.7263471	0.1207668167	-0.6613715627	0.6646758188	-0.4273708119	-1.797295146	0.2124431181	-0.7741673938	-0.55145601	-0.2768288385	-2.347309915	-0.4284291783	-0.2884616656	0.2973358089	0.6316657001	-0.3397032226	1.211102807
1.247190662	-1.060737428	0.6247655784	-0.1058352785	0.9724627786	-1.028446869	-0.2758930338	-0.2091898483	0.6864094653	-0.8149133757	-0.09554715733	-0.2596575621	1.415724227	-0.3548025292	1.01025805	-0.6919345309	0.4891219106	1.317876431	0.5175136551	1.481624443	-0.805590717	-0.008875948665	0.8081796397	0.2267099554	-2.722348052	-0.7947560564	0.7534712863	1.066324166	-0.03444923397	0.266251162	0.3781892956	0.04815230682	-0.1252021101	0.9404033158	-0.6375219925	1.054399934	-0.8571966265	-0.8724409615	0.7155350181	-0.5526692882	-0.04298782636	-0.7458603548	-2.247376429	1.230904251	1.755131383	-0.55522892	0.6918946276	-0.4675584762	1.441176686	1.111930833	-0.5212872652	-0.2946550064	2.105659477	-0.5974995322	0.4595001112	1.148368449	-0.4628517576	0.6984803859	0.2542289639	-0.3371730676	0.06710501015	-0.3962848664	0.3534469775	2.381967181	0.107502951	0.484167204	-0.8460222296	0.6102049363	-0.1055675281	-0.1294010454	-0.1444183786	-2.61137296	0.01411491158	-1.64276293	-2.226297913	-0.3345342508	-0.9779998638	-1.115534836	1.091924303	0.1569688034	1.112877721	0.3033828837	-0.65532942	0.1130092721	0.6887485024	-1.308174484	-1.664074779	-1.624077994	0.6799368627	-0.0659922347	1.398475647	-0.7997724506	1.334040321	-0.004901247302	-0.9884729643	-0.4214662373	0.5330055871	-0.3626064873	-0.6729559207	2.284923777	-1.233552234	0.9784863258	-1.49757987	0.8969896898	0.08001171175	-0.06056962269	0.3646595896	1.259025186	-1.092174311	-0.1263332808	0.4363101376	-0.07089212194	-0.1647902475	1.1910562	1.294034267	0.2119833593	-1.906060603	0.5607821953	-0.1944869725	-0.5138166479	-0.9901739209	0.6299443689	0.08828785648	0.760056045	0.06825556923	0.8549170001	1.146569888
-0.160922737	0.1737846861	-1.204062519	2.534414419	-0.7187881598	0.07522898283	1.055800975	-1.238546475	-0.4604813589	-0.707823888	-0.05913966344	-0.09593368878	1.839599432	1.659411317	0.659520644	1.688115109	1.868529149	1.071861194	0.5661426814	1.183811631	0.3777031407	-1.270919421	-0.6120106881	-0.1242083609	1.301878394	-1.065826036	0.1061938077	-1.176827753	-1.174712762	1.036074533	0.6588536907	-0.5018306579	0.869028463	-0.6643519618	-0.3281121716	-0.6033511694	-0.2043812195	-1.136328519	0.6149504401	0.6640193806	0.3763844959	-1.649765774	-0.2779814508	1.106464289	1.372826265	-0.6181834838	-0.9550746983	0.6657850922	1.937006139	1.206203749	0.05659535103	0.3229482995	1.092148302	-0.4993378092	1.242845873	-0.4881933304	-1.145243717	-0.7310589285	1.130897907	0.3053695557	-0.1865674278	0.04638885815	0.6936117447	2.573353633	-0.4808795768	0.7755730778	-0.6528012077	-0.2944540403	-1.072481181	-0.1523006346	-0.5387864003	0.09724693102	0.4015448652	-1.691645215	-3.13707633	0.66426764	-0.4582433012	-0.5281912716	0.349650501	0.6534046161	0.7887900265	0.8019353799	-1.093566637	1.737490866	1.945067575	-1.720718843	-0.6659803591	-1.268538656	0.3963370869	-0.3347180476	2.879094231	-0.9988302886	1.547910005	-0.9819691282	-1.321653246	-0.772194033	-0.9165282533	-0.6067875535	-1.149299473	1.569597004	-0.01142029677	-0.6662293868	-0.6630841691	-0.5154237449	1.457086196	-0.6359399384	-0.4844212057	0.2733099824	-0.5659349239	0.8615522018	0.8059167821	-0.8527768348	0.1846669555	-0.536933026	0.0352994773	1.328877493	-0.2383489055	1.121883279	0.0344375377	-0.7225314735	-0.6217284383	-0.3256444917	0.5880457687	-0.3805079169	0.8260883807	1.102749971	1.037257703
-1.206582063	1.800311955	0.1946565176	-0.388011313	-0.8138760976	1.435189366	0.4341115623	-0.3258597786	-0.8056317433	1.361438476	0.04025138549	0.5553637549	-0.484629019	-0.2459967981	-1.13257674	-0.3076987404	-0.3596432546	0.3620614666	-0.01939813084	0.3086884634	-0.1084084853	-1.369949761	-0.6432592407	1.213962887	-0.0173828879	-0.9816510844	-0.2610288583	-0.02714616132	-0.3521244557	-0.1148511551	-1.26083917	0.5089157344	0.5654264981	-0.8520623586	-0.7147448498	-0.8633196593	1.280711371	-1.550464706	0.4927062419	0.1517328738	0.4338735347	-0.7601434671	0.6746133617	-0.6372935221	0.6923460485	-0.9863786309	0.0512052355	-1.542013936	1.294780455	1.489608886	-0.06449855504	0.9187796683	1.195897033	-0.2376564252	-1.40863997	0.1022790788	-1.607945681	-0.3950134904	0.3558379483	-0.299331727	-1.15476896	0.5605312247	0.9549243569	1.994909389	-1.082278313	0.4898422913	0.6459267697	-0.2291508006	-2.399832773	0.2034584543	-1.198690541	0.02887691156	0.3158836987	-0.9241807574	-3.364265742	0.7615143486	-0.1708822077	-0.7106541109	-0.5427524422	0.1697130063	0.004693303276	2.533435763	0.9320916738	0.4460499944	-0.3637015577	0.09082383642	0.08638131494	-0.8813713615	0.1406273222	-2.240682552	2.244888645	-0.0930131212	-0.5443362416	-0.3784617791	1.100132358	0.1559409445	0.2531351383	-0.2637895505	-0.8820178738	1.394491485	1.434975541	-0.2521382337	-2.576669195	0.08196801753	0.3886130095	-1.353218748	-0.349152091	0.9439782954	0.4315302022	0.3646488653	-0.6846182283	-1.053681787	1.107367006	-0.2352208865	-0.1739984827	1.206098794	0.9222600552	2.227922298	1.03982857	-0.4811591122	-1.126612748	2.142349764	0.6164007295	-0.07541058754	1.131544051	-0.4525637842	0.8290638252
