melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145
-0.2939296337	1.699246681	-0.5767862544	0.1737942905	0.7628132187	0.9152750528	0.1865221594	0.6264884743	0.2160461299	0.7249967782	-0.2525029355	-0.03756583843	-0.4886089212	-0.1441138064	1.996996901	1.179756453	1.083770931	1.792570986	0.6112853477	-0.8192601678	0.2988570324	0.5156058084	-2.380530589	0.1861186743	0.1138581295	-0.1425059322	0.6884408681	0.7511893838	0.9980855797	1.242820888	-0.6857687144	2.48842242	-0.829937479	0.3096581959	1.537098853	0.5255068472	-0.7512728632	-0.3100071681	0.4132721114	1.012966522	1.977256505	1.268193555	0.1311624053	-1.785350968	0.009067113969	1.045694659	-0.8941553545	0.7241041406	-1.638431344	2.958035437	-0.9222751591	-0.04025025338	-0.03433196941	1.523114155	2.096118052	-0.7380018007	0.9727637242	2.138100042	0.3655767693	-0.06256401862	0.7548464256	0.4933348989	0.8803075501	2.044948559	5.724753067	0.181642276	-1.564169357	1.207674398	-0.5103687522	-0.7035655041	3.447738913	-2.438883655	-1.067220516	-0.8633511006	-2.129893421	-0.1175159496	0.7848781141	0.04397312205	2.222228835	-0.6114190826	0.7309429555	1.703622717	1.004413864	0.7537442146	-0.690191964	0.3729414956	-0.473035907	0.2522128685	-1.383196379	-0.3528321619	0.3509025084	-1.936722297	-0.2996754379	-0.3503915692	-1.498999895	0.6967034064	-0.8722161475	0.001670439383	1.213677778	-1.430278415	2.066515141	-1.251428161	-0.5257222823	0.6911311165	1.579032479	-0.6821456564	0.3829596449	0.007424960086	2.884733104	0.1432932845	1.280136116	-1.105625058	-1.382767468	-0.1253508715	-1.143190941	1.637868687	1.514306451	-0.9444580995	-0.1898414259	0.2132627025	-1.419688934	-1.204508269	-0.2276867048	-0.04654088816	0.3337179834	-1.217923543	-0.2622788845	0.2601913897	-0.04140258317	0.0821454459	-2.670982136	0.9098751199	-0.8468565777	-2.972147591	-0.2989549836	1.074027057	0.8876765904	2.41913244	-1.374463973	-1.892845128	-1.657835532	1.399344463	1.980360104	-0.7633386703	-0.2342061601	-0.6969350881
-1.106193328	1.407890175	-0.3097790355	-0.509629666	0.06302607353	0.6677512145	0.9548671686	0.1341757108	0.382143847	0.4070711795	-0.0837394549	-1.567758322	-0.344790358	-0.4961444685	0.09251421445	0.6992661129	0.353446649	-0.2510725076	1.555838335	-0.07473968482	0.05926970106	1.435045111	-2.425466701	-0.6296593111	0.1725352534	0.5881010507	0.6959057902	1.872864823	2.071751185	0.6316314376	-1.201163046	2.353172077	0.6073038189	1.169472876	1.814659968	3.825666426	-1.354523747	-0.8914428383	-0.8163335252	0.5696462037	2.772638824	1.084945252	-0.9304366429	-1.964191812	-1.018470949	0.4321762996	-0.1456511444	-0.9325025771	-2.421233229	1.689077401	0.3416203705	-0.3747232075	1.422272912	1.050803616	2.703303877	0.7164552431	0.1788641677	1.656594081	-0.3255818263	-0.4656229014	-0.6592383628	0.1692584084	-0.4303105784	2.284666593	2.934358033	-0.5432229572	-1.191686893	1.178658389	-0.4631869857	-1.320080646	2.115967619	-2.379264309	-0.9887149631	1.493160341	-2.503977671	-1.081613477	-0.7514973272	1.078668193	1.781707168	-1.006025939	0.1954155073	0.3594100651	0.2450388381	0.07047171905	0.2529076849	-0.8351351977	3.83741543	0.3218454587	-0.3437233495	-0.6217884198	0.5986512748	-2.160629386	1.114746165	0.3061079912	-1.225611044	0.4973046081	-0.5731470219	-0.5312119407	1.413439769	-1.202775928	0.6804660007	-1.191112283	-1.153674798	1.118893589	2.082494065	-0.6598787087	0.4403877902	2.12013529	2.729736102	-0.1934032849	1.32712152	-1.146761624	-1.826805059	0.1099274847	-0.9371412751	1.844396754	0.5089117849	-2.29588028	1.002428872	-0.01053483349	-1.607661311	-1.48172442	-0.4162159659	2.443260799	-0.745703029	0.1999211014	-0.3971849576	-0.7861282329	0.04423083748	-0.6671361361	-0.567638805	0.09759591599	-1.431660561	0.5376637926	-1.292086029	0.7509918453	-0.2537636814	1.909616279	-1.15153395	-1.893356398	0.03616897458	-0.1974555706	-0.03111891498	-0.5708551868	-0.6644906906	-0.8967541064
0.4278884182	1.079043539	-0.5389047014	0.6642074273	0.5932982941	1.116965148	0.510555023	0.681956489	-0.9070772192	-0.03858567937	0.08020730334	-1.504347188	-0.6973248412	-0.06476567979	-0.128998182	0.9519365993	1.059774898	0.1606710918	0.06768457434	-0.4737590108	-0.5385544626	0.4733308434	-2.324267095	-0.5042187244	-0.8954995547	0.04565676589	-1.01910451	1.457321338	-0.08187372908	0.3914312988	-0.3856318985	1.210202786	0.4062265632	-0.04735060411	1.721964998	0.08196596419	-0.6610852745	-0.06365546639	-0.6288441365	1.195033983	-1.977328427	0.7820311253	-0.7475613661	-0.1378894973	-0.569633569	1.051606423	0.9547410668	0.5953434755	-1.226308558	0.03478689905	-0.9774305266	-1.240611378	0.08024577721	0.07714754729	1.347217809	-1.231566908	0.2312944312	0.9253805923	-0.6226525857	-2.195585135	-0.7213110678	-0.6294423335	-1.488782726	0.9502584874	0.1584036765	-0.4724905767	-0.7549705937	1.344939035	0.725000959	-0.9284201848	1.461673858	-0.9136654477	0.03527348342	0.8322424154	-1.976026932	-0.9529027586	0.09169827402	-0.2046907137	0.4419162882	0.06319932789	-0.3545065145	-1.321969802	0.7017995969	0.2950020502	0.7287475513	-0.346234768	0.772298069	0.7130835559	-1.265888194	0.1780580095	-0.8841529864	-1.255718204	1.069815738	0.2773465821	0.2612338183	-1.08556341	0.4703686698	-0.5098472488	0.8270879144	-1.230866426	0.4346052609	-0.01396757892	-0.904293978	0.3164714525	1.870436426	1.75485169	1.418531614	0.5452915291	1.00520024	-0.5634082866	-0.1567827266	0.3582887258	-0.6181373059	-0.4499959735	0.5781921201	0.0241808099	2.390644345	-0.9654901756	1.213802422	0.02774562354	-1.145403864	0.0957615628	0.1012255947	1.404002747	-0.1255390974	-0.6742336518	-0.5057257021	-1.277710362	0.7572100383	-0.2355664875	0.3502196225	-0.1654236454	2.506072065	0.7941707102	-0.08647649711	0.7780620659	-2.915626684	1.552259298	1.636757241	1.376407322	-0.2193123882	-0.3106141474	-0.04745628355	1.299763729	1.129145352	-0.0204229833
0.3284408051	0.9762976729	-0.366699518	0.362892693	0.742493208	0.5634606423	0.8622992888	0.6355424022	-1.620521133	0.03042960632	-0.04987314884	-0.7430135017	-0.8588499426	0.005408855222	1.475908297	0.7328110681	0.6787308746	1.038972173	-0.9409908911	-1.298924721	0.4259596523	0.6982678304	-1.713283901	-0.1418483859	-0.1621480678	-0.09314059031	-0.2963681969	0.2147262094	-0.03305106937	0.6186329824	0.2946909529	0.4959003283	-0.8830124277	0.2741266956	0.8376290398	0.6622967856	-0.4081622118	1.511057316	-0.05685349529	0.8011128787	-3.036480131	-0.08358660819	-1.428207464	0.5383006329	0.5988105775	0.7231608076	-0.2768350017	0.1604219259	-0.689078024	-0.780400308	-0.8312543474	-0.4152063988	0.409254239	-0.3668349151	0.6625832627	-1.12154893	0.6026683431	0.8221581295	0.833203298	-1.929460406	0.6489091788	-1.005198602	-0.7550765517	0.3147990111	-0.5098405028	-0.6738645235	-0.384421867	0.5626016734	1.643234157	0.5726579383	0.7604286715	-1.418196221	0.6315751562	-0.2548092675	-1.154709956	0.362150863	0.7549827647	-1.480645017	0.3329711927	2.175592084	-1.583957848	0.5080879909	0.3376720333	-0.2568209202	0.04667075314	-0.1350286786	-0.8071943602	0.1324543016	-0.566431367	-0.1473187673	-0.3568248818	-0.7043272058	1.050423166	-0.8865101407	0.4971904445	-0.3774116057	0.5262238279	-1.296318531	0.748155911	-1.625790267	0.9022767766	-0.120168548	0.389320984	0.7611254918	1.489695577	-0.3238072573	0.8377006041	-0.4380895373	0.5748023293	-0.1049800667	-1.988006548	-0.265217716	0.6811233409	-1.018289815	-0.9467123289	-0.3339541151	0.8327574535	1.743359923	-0.454384453	-0.4266339713	-0.8011811165	0.4559594173	-0.124550695	-0.08946711624	0.5297131988	-2.094020481	0.1243693726	-0.7469960217	1.60979319	0.2784805124	0.136926459	1.108085018	2.130834312	0.6430133319	-0.2520249076	2.051438191	-2.50504628	0.9062845473	0.3005257917	1.754814869	0.1029704248	0.2632421256	-2.03864159	0.6719627798	2.737282847	-1.10064134
-1.081771195	1.01808674	-0.7319169198	-0.2865066615	-0.4859298926	0.5023788851	0.9178396521	-0.4077726684	-0.7971929386	0.2618033357	-0.05675499447	-1.779554024	-0.556347842	-1.001903118	-0.5406295636	0.1617529091	0.01263261845	-0.9859047174	1.03336937	-0.2545469971	-0.3249987793	2.520450602	-0.1513382689	-0.7157833357	-0.158720616	0.9912443835	0.3520647151	1.15626598	0.5665078837	0.5636674021	0.3413987176	0.7332222831	0.3782778892	-0.09623838716	0.8168000909	-0.2684807835	-0.6965201372	3.029524208	-0.8223657528	0.07894277055	2.339863638	-0.1082506443	-2.299833114	0.8692012504	-1.559140357	0.3256385587	-0.3482897838	-0.5987283632	-1.359628791	-1.429082179	0.6008038848	0.6096295333	1.654543022	-0.3453317347	1.184554782	0.474684722	0.6057719363	0.6184015487	0.9302412965	-1.45637448	-0.1443289024	-0.2979295822	-0.6329775866	0.04839088412	-0.7114502513	0.06516686405	-0.1616755588	-0.7947226596	-0.2410433328	0.3153257188	0.1031201778	-0.7816829911	0.05480102835	1.51913785	-0.7356739325	-0.2325773353	-1.207838625	-0.8385876888	0.5258070412	0.7267413262	-1.952471534	-0.4513775461	0.4783685623	-0.7847890889	0.9467284634	-1.349701504	4.945951335	1.07347652	0.4072666507	-0.2501460226	0.319436992	-1.119892023	0.8849070628	0.2030437197	0.2175466831	0.3746766593	0.03758937768	-0.8015165306	0.6966302282	-0.6177841602	-0.1327395579	1.138159786	-0.06290468699	1.568880133	2.196264299	-0.8209948819	0.3892598949	0.6265512434	0.609821039	-0.3826229861	-1.539378794	0.02312407651	-0.1450365886	-0.9527813992	-1.717123578	-0.6352238387	-1.315555323	-0.3254129143	0.2162232719	0.7290441934	0.7453063962	-0.3236688122	-0.4749368749	1.523330792	-1.461241339	1.097284864	0.7335912177	-0.6187952144	0.8596221422	-0.681111669	0.7313998551	-0.2966550062	0.005381670675	1.742389069	-1.268955364	0.6272182583	-0.6748514328	0.4706678829	-0.8056089432	0.7669594062	1.040027888	0.2133733588	-2.719481004	-0.8442296019	1.312258409	-1.545735382
0.2747243189	0.9497338291	-0.9077306892	-0.04420531891	0.2425198176	0.7233568156	0.2213184994	0.06697997297	0.202301218	0.121148381	0.03742635306	-1.336978181	-0.6236711729	-1.155495052	0.03103529476	-0.1243236401	0.6717223614	0.4174901587	-0.2812865314	-0.4805720385	-1.180716513	-0.2720305518	-0.1816727704	-0.8571132844	-0.9562513685	0.6793848367	-1.195016194	-0.5367463983	-0.5102795991	0.922245579	1.174039552	0.678004314	-0.1539064189	-0.1976631714	0.825716941	-0.5802728518	-0.2951519825	3.304138882	-0.3276457775	-0.1973821737	1.847283701	1.194207471	-0.7847351851	0.429093348	-0.04597446705	1.138969012	1.653712501	0.2221824572	-0.9684391145	-0.7971188404	-1.197524956	0.757121801	-0.2803714513	0.3356707934	0.6453731175	-0.4154888506	1.00095829	0.2669925596	1.754394495	-2.435326933	0.6690570417	0.2316241695	-1.823240784	-0.72372481	-0.7339323601	0.4857307417	-0.7077704586	-1.083677596	0.3431948648	-1.764246519	0.4000916027	-0.5640759033	-0.08584758618	0.8354535963	-0.2410185031	-0.758434602	0.1178616307	-1.796972149	-0.1099612071	-0.1524023183	-1.185915594	-1.085039332	-0.05348869869	-0.6368125436	-0.07147425303	0.3284489089	0.7209391608	0.9175655862	-1.056409866	-0.1901543424	-0.8704065739	-0.2250274645	-0.1335140194	-0.1145256487	0.3893760455	-0.7489202494	0.9100611368	-0.3871623663	0.1411810887	-0.8701308765	-0.8243839653	0.4468123531	-0.6578362541	1.537233198	2.23993253	0.2728207816	1.269474636	-0.6824867969	-0.2289977569	-1.233164343	-1.432693389	1.551850444	0.349756411	-0.6347024164	0.3845546332	-0.1493409586	2.090560834	-1.256578481	0.5843176008	0.1884019814	-0.5844186698	0.2153181843	0.09195862678	0.9041424798	-0.6171223428	1.882534722	0.7242005202	-0.6037932451	0.035349811	-0.5513547908	0.4469482745	-0.7965145939	1.013360219	-0.3119239868	-0.2486299175	-0.2250390514	-3.04931394	-0.8625805544	1.541619313	0.56916652	-0.661871577	0.7784695512	0.4173074823	-0.4114543929	1.089999464	-0.3386629167
-0.2338700897	0.8302507071	-0.7945010085	-0.629182395	0.6748722451	0.07207302899	0.4710142489	-0.1947493133	0.1510029906	0.2987162708	-0.2134711026	-0.1982711734	-0.4697181651	-1.000017472	1.076365857	-0.243902956	0.381986606	0.9957505924	-0.28478179	-0.8810014921	-0.8669709581	-0.2736779971	-0.6998973684	-0.7374527587	-0.4130695092	-0.3462700961	-0.6784191366	0.1456643309	0.5622969449	1.489824031	1.155424698	1.000849541	-0.5309939073	0.1689238283	-0.1376637768	0.2685612826	-0.6725348424	3.326064634	-0.106723703	-0.8679924914	1.29545645	0.7499306801	-0.8306375317	-0.2316770558	2.344753307	0.700806842	1.668409679	-0.03171174271	-0.5132265273	-0.7902648012	-0.9739085968	0.8594420513	-0.339432788	0.08142765048	0.5164591082	-0.3360178635	0.7037388762	0.7609975101	0.7114426113	-0.699901056	1.308793887	0.09166550822	-1.127155267	0.3594908584	-0.7456407784	-0.2516341183	-0.745451449	-0.3439688382	0.32213588	-1.441198411	-0.4665343249	-1.283676359	0.5106366219	0.1797816855	0.2300652914	0.02263031074	0.2994068646	-1.526144106	0.2276480239	1.230939236	-0.7799458961	0.7663861849	-0.7799456695	-0.6313956101	-1.782338793	1.208669034	-1.505495346	-0.05594695143	-0.7060214385	1.252278137	-0.003212925446	0.0003300422345	-0.6144477293	-0.6959603736	-0.4692279906	-0.1761436881	1.583302393	-0.1141002338	-1.030255727	-1.218626134	-1.026421743	-1.215173198	0.2426740092	1.101753224	1.029075293	-1.156706454	0.440542096	-0.3864271399	0.0965687951	-0.154494249	-2.110710156	-0.02264932211	1.840596223	-0.5110370847	0.4355015921	0.07525419494	1.105805028	0.1286389972	0.2762270837	-1.341252906	-0.5519837084	0.135316086	0.9448210351	-0.4682798752	-0.1976146073	0.9293999334	0.03434499909	-1.847459597	0.4979319423	-0.737230108	0.1982292134	0.4384106442	1.4195476	-0.3966192912	0.3889518669	1.108337629	-2.503445675	-0.8892575448	0.5899529794	0.2351656944	-0.5037155741	1.135837743	0.9601987718	0.4936378563	1.857423655	-0.3901402531
-0.6066663415	1.072594145	-0.3873092273	-0.2493998559	-0.01917155389	0.3112559691	0.8347829962	-0.6100013166	0.6826316913	0.5443842442	-0.2187944428	-1.50761658	0.2036993405	-1.242116564	-0.8056761394	-0.07462143203	-0.006792378925	-0.7262380876	-0.2657578398	-0.3973779083	-0.4750093065	-0.700779392	0.4406608817	-1.009969757	-0.2680097184	0.2929280894	-0.08162989714	0.4519982981	-0.4223261868	1.09294722	0.3299231957	1.290752405	0.97429523	0.1204346444	-0.1971426354	-0.3193289326	-0.6932055948	1.860192864	-0.8287999228	-0.6113531625	0.3525385078	-0.3890099001	-1.204909153	-1.126380372	0.544089265	0.2361319453	0.4104298089	-1.135764867	-0.3813018371	-1.093933045	0.6208068542	1.054777645	0.4647375155	-0.9683296006	0.2733768709	-0.3101648073	-0.3121144232	0.4632718479	-1.36697482	0.05747630828	0.5448992191	0.6278242285	-0.3406040931	1.086957962	-0.9058283115	-0.1174991855	-0.9524712395	0.5811358973	-0.7767863931	-2.296221859	-0.9654881439	0.1659437685	0.6599709903	0.9547047765	0.5412359686	0.7254053344	-0.8920037758	0.5877087969	0.2299476968	-0.6602133996	0.3931767196	-0.1257051561	0.05003655473	-1.177575515	-0.4845921081	0.04207166931	0.7744996088	1.119786028	-0.298041314	1.746497726	1.347406616	-0.1069657848	0.4088589986	-0.4447776321	-0.7298065542	1.457382703	-0.1780447503	-0.6490850693	-0.3370283139	-1.799338694	-1.17564555	-0.4672723408	0.3259223754	-0.3868227578	1.073666999	0.0479549603	0.3056088434	-0.1278122627	-0.3114897592	1.175901867	-1.203267689	-0.1352506151	0.2758203186	-0.1812435535	0.07461628585	-0.4840396953	-0.2742405135	-0.4622875237	0.7449237621	-0.1783259745	0.6656144868	0.1899189273	1.635618801	0.7966140236	-2.224676043	-0.1896331928	0.545982588	-2.420445348	0.7347115732	-0.1105932597	-0.5255829867	-0.1623084415	1.223626795	0.8057855179	-1.38441818	-0.08523109928	-1.379829313	-0.1222646415	-0.8984927521	0.261423476	0.1495905029	-0.06102087265	-0.6107286989	0.5243009423	-0.03728303458	0.3639950073
0.7777699843	0.8121577336	-0.6377277021	0.2643521502	0.04573996472	0.413070764	0.2191040035	-0.2063697229	0.8855051099	0.688840941	-0.02803073995	-0.941077927	-0.2283330675	-1.307268859	0.8237726901	-0.1188268273	0.07843195912	0.2249339832	-0.2402844575	-1.044699225	-1.072198007	-0.8180252959	0.7147675973	-0.9301501851	0.1151008386	-0.4672820472	-0.2163204873	-0.4358065158	-0.8818229028	1.38434842	-0.2438892565	0.6163455495	-1.437965246	-0.6166913461	-0.05989313287	-1.532991183	-0.6666757214	-0.7290228737	-0.7642032679	-0.4612735862	0.6917498449	-0.3581322557	-0.8680810563	-1.45662647	1.220839031	0.3622854244	-0.5980455644	-0.7744103108	-0.1490600983	-0.521881508	-0.3566486395	0.2476307371	-0.4151202079	-0.9146804362	-0.2144113335	-1.090847904	0.0118723549	-0.4186566352	-0.5847521577	-0.848865118	0.9257677365	0.5656837664	-0.4462821753	1.009123168	-0.6402743408	-0.6067886122	-0.778518658	0.5778242111	-0.4692865115	-2.07271327	-0.2558022582	0.6099629314	0.8358684098	-1.094695228	1.414764159	0.4422596818	-0.3146548656	-0.09392247091	-0.9249139725	-1.420888088	1.518625395	-1.530681627	-0.3330793165	-1.123543707	-0.9306462695	0.5287742396	-0.4852547457	1.05954824	-0.9208670597	1.734148285	-0.5732166206	0.9862490673	0.3964555462	-1.584145671	-0.5222665003	0.0263046145	-0.8453664528	-1.818155302	0.5705645721	-1.616371682	-1.554283462	0.2668239575	-0.8364401914	-1.142664009	0.6646834697	0.9098593084	0.2281488904	-1.435451473	-0.5218276619	0.9315821299	-1.361749286	0.280228157	-0.9762702784	0.03254234378	0.6228993144	-1.395118769	-0.6038264419	-0.7866473149	1.478439832	1.498743939	0.8686640357	1.006173675	0.2619376286	-0.5874292871	-0.9813105792	-0.45800242	-0.09821886055	-2.105259284	0.05596892795	0.7453169872	-1.50264114	1.147542075	0.08524559909	0.4174064506	0.1396873676	-1.584907399	0.1701110427	-0.639738504	-0.8653045529	-0.03842376568	-0.08919844558	0.4770222887	-0.8913430807	-1.078639719	0.3420495968	0.563031765
-0.8234865407	0.8352480319	-0.6908486911	-0.6392996471	-0.08416294587	-0.2094287164	0.5203062868	-0.4728039971	0.8089060195	-0.104443277	-0.04891644374	0.3520655774	0.1090094034	-1.046266442	0.4760116167	-0.266723506	-0.006993488915	1.127947624	-0.2084718071	-0.646998449	-0.569461658	0.8431686066	0.06682761664	-0.5605437632	-0.6568813114	-0.5523782624	-0.2447789959	0.3804928558	0.9676074755	1.589273489	-0.03436693666	1.397893091	0.3753314507	0.9230653898	0.00572669336	0.7932786446	-0.3826363527	-1.136775697	0.4280424083	-0.5037821823	0.692041782	-0.5346428677	-1.195259906	-1.012863351	1.318332902	0.3191817901	0.3909715258	-0.4138403945	-0.6939152496	-0.8653283361	0.4842857608	-0.7951960206	0.3021993953	-0.02229615237	-0.4558220016	-0.9375648469	0.3371777746	0.04752334631	-0.1005207935	1.626879628	-0.6176884248	0.1009849961	-0.5262249313	0.3467760342	-0.4293654164	-1.893249551	-0.3158518656	1.782039903	0.9208172573	-1.536337609	1.158023879	-0.1846518468	0.3444109	0.3839019946	1.352405999	0.5043608877	0.1630293733	-0.4771803245	-0.6980907645	0.7404842001	1.653928808	1.183199886	-0.9633088811	-0.199916724	-1.184469783	0.3296156255	-0.4065635214	-0.1548606474	0.1122387074	0.8957572828	-0.349825818	1.490922074	-0.4122863326	-1.263495231	-0.8451964269	-1.456778848	0.8461157619	0.4824833817	0.4577908977	-0.3774197905	-1.206817477	-0.7605992734	0.3005901621	1.407169923	1.097248717	-0.2898149208	-0.7506316786	-0.5297267516	-0.7846277145	-0.387835814	-1.157032807	-1.874329014	1.802212659	0.5423000959	1.164705816	0.2049297409	-1.871047832	-1.855546636	-0.2844629059	1.385611818	0.9269391537	0.5900841146	1.003353094	-0.0337167889	1.72709714	0.04528872985	-0.4732428754	-3.521262446	-0.6584030207	0.2206638653	-1.126617574	1.064278344	0.7806353082	0.2151666491	2.177993644	0.1652488858	-0.9236434783	-1.243921802	-2.42492358	-1.329887993	0.9115405132	0.7257339629	1.283949266	-1.117673447	1.687088081	0.2629374265
