melodic_000	melodic_001	melodic_002	melodic_003	melodic_004	melodic_005	melodic_006	melodic_007	melodic_008	melodic_009	melodic_010	melodic_011	melodic_012	melodic_013	melodic_014	melodic_015	melodic_016	melodic_017	melodic_018	melodic_019	melodic_020	melodic_021	melodic_022	melodic_023	melodic_024	melodic_025	melodic_026	melodic_027	melodic_028	melodic_029	melodic_030	melodic_031	melodic_032	melodic_033	melodic_034	melodic_035	melodic_036	melodic_037	melodic_038	melodic_039	melodic_040	melodic_041	melodic_042	melodic_043	melodic_044	melodic_045	melodic_046	melodic_047	melodic_048	melodic_049	melodic_050	melodic_051	melodic_052	melodic_053	melodic_054	melodic_055	melodic_056	melodic_057	melodic_058	melodic_059	melodic_060	melodic_061	melodic_062	melodic_063	melodic_064	melodic_065	melodic_066	melodic_067	melodic_068	melodic_069	melodic_070	melodic_071	melodic_072	melodic_073	melodic_074	melodic_075	melodic_076	melodic_077	melodic_078	melodic_079	melodic_080	melodic_081	melodic_082	melodic_083	melodic_084	melodic_085	melodic_086	melodic_087	melodic_088	melodic_089	melodic_090	melodic_091	melodic_092	melodic_093	melodic_094	melodic_095	melodic_096	melodic_097	melodic_098	melodic_099	melodic_100	melodic_101	melodic_102	melodic_103	melodic_104	melodic_105	melodic_106	melodic_107	melodic_108	melodic_109	melodic_110	melodic_111	melodic_112	melodic_113	melodic_114	melodic_115	melodic_116	melodic_117	melodic_118	melodic_119	melodic_120	melodic_121	melodic_122	melodic_123	melodic_124	melodic_125	melodic_126	melodic_127	melodic_128	melodic_129	melodic_130	melodic_131	melodic_132	melodic_133	melodic_134	melodic_135	melodic_136	melodic_137	melodic_138	melodic_139	melodic_140	melodic_141	melodic_142	melodic_143	melodic_144	melodic_145	melodic_146	melodic_147	melodic_148	melodic_149	melodic_150	melodic_151	melodic_152	melodic_153	melodic_154	melodic_155	melodic_156	melodic_157	melodic_158
-0.9479738257	-0.3868591627	0.2048761569	2.922559085	0.1585237083	-0.8811973095	-1.386055607	-0.2951903581	1.527901488	1.720148824	-0.6243144924	-0.4094106067	-0.6678818002	-1.418253408	-1.44214474	-1.941710353	2.762503083	-0.7719525678	-1.023733881	-0.3338438217	-2.114972739	-2.592827662	1.851546661	-1.004208132	0.9357105232	-0.06170654465	-0.3832895658	-1.63064756	0.8122622808	-0.4810293765	0.1677130384	-0.004518791548	-0.4409874284	2.346924636	-0.8313814042	1.076204933	0.7012499232	-0.8763577665	-1.476053379	-1.154171464	-0.8930421719	2.056083142	-1.330340495	-0.3623806932	-1.676236871	0.2339749642	1.400433575	-1.796889723	0.02068358544	-2.49937687	-0.6832969018	0.3235686195	0.5588858497	1.233830717	-0.5292516528	-2.247189957	-1.172954214	-0.008485466921	1.329616411	-1.979825564	1.395341088	0.3435042515	1.005128771	-1.222241841	-1.694223949	2.017626126	-0.8221532019	0.9871456462	-0.2032275622	-2.705551215	-1.350924831	0.4634898335	1.277725227	0.6003474315	3.562446174	0.5104122227	-1.630111448	-1.14455807	-1.955921148	-1.04652341	2.405227091	1.258493494	1.369877329	0.8274238479	-0.9187850399	1.172917636	-0.4268162959	1.56470965	-1.192502401	0.2617413827	0.8564755238	-0.4680250482	-0.5275403575	0.3731879756	1.349289354	1.550737488	-0.2405019786	0.4545546905	-1.03056671	2.420320701	0.6863761398	0.4845327236	-0.2226681147	-0.5031728265	-0.5794200984	1.402386206	1.097258113	-1.694971503	1.232687184	2.81306894	2.827870314	-0.5764384764	-1.206487697	-0.5399166078	-0.203149498	-0.2339404794	0.7765613555	-1.110118999	-1.279386754	-0.9888249814	0.02369698388	0.8361170952	0.2514073908	0.3718089018	1.581492512	0.6214686108	-0.6353188877	-0.02435105131	1.632563371	0.966175289	1.78377103	-0.189487336	-0.3312179222	-1.031481549	-0.3834863435	0.2468983834	0.4806342302	-1.600832636	-1.712410812	-1.628458414	-0.8019136348	0.3635112644	1.478097384	-3.41645697	1.306062389	1.054100079	1.205719565	-1.405945671	0.778800399	-0.4607609658	0.6339547445	0.6515042741	-1.964446022	2.691648841	1.305953533	1.911227828	-0.2935391571	-0.3201886094	-0.8626366329
-1.009365124	-0.4341239872	0.04752490006	2.453326562	0.2312407264	-0.4069875626	-1.187102906	-0.03955221756	-1.164011209	-0.3113160501	0.1686943701	-1.036350305	1.82124109	-0.6955861732	-0.5880926335	-1.612327571	1.887862113	-0.3022423484	-0.8807062203	0.6130522956	-1.100330847	-2.636067582	1.658969217	-0.943975306	1.318895815	-1.311865878	1.171557399	-1.456724043	0.9501702147	-0.4263838286	-0.1206262075	0.8874569176	0.6826236447	0.4482778637	-1.021980643	1.2127737	0.6261124729	-1.739237434	-0.943576167	-1.052036517	0.4468959692	1.246780977	0.3665801531	-0.3360072959	0.6998326364	-0.4092918986	1.612440832	-2.69068542	0.3208563392	-2.24430996	0.3932256291	0.5615117295	0.1895475285	0.2745624881	-0.6641680278	-1.434585862	-0.6911655699	-0.2825899723	1.204247011	-0.2907357649	0.4134977939	-0.05204671791	1.648243879	0.06529971272	-1.703966546	2.448576251	-0.6821199274	-0.2179555352	-0.8388614392	-1.491885736	-0.4647332094	2.363465048	2.024727322	-0.2836186284	3.149282775	0.04225802655	0.6903457255	-1.337631963	-0.53448493	0.7505135351	1.490051986	1.378658115	1.60281688	1.407501833	-0.3253163498	1.837625081	-0.02987098639	1.50193792	-0.08495136433	0.5425495087	-1.776460078	-1.532508192	-0.1754311325	1.893866796	2.245191835	1.73503734	0.4255697963	0.09604977352	-0.6574749377	1.263802848	-0.07168918971	0.6516430031	0.6110175998	-0.9852162701	-0.4753836783	0.4803725438	1.200382879	1.43180831	1.182899768	2.43487312	2.63605746	-1.425615262	-0.1989984891	-0.136371066	-0.3318070623	-0.2396943666	1.241253729	0.2189479822	1.111044058	-0.7748207058	0.1011657994	1.139425343	-0.7183050089	1.671207857	1.201719277	0.6152789452	-1.094893716	-0.1871891883	1.752161862	0.02309547932	0.6303024846	0.5242648429	-0.3180897668	-0.2032475791	0.2895273593	0.8586189375	0.7547371867	-2.006395824	-1.03148263	-1.833682133	-0.2673988187	1.013783307	-0.3788007134	-0.3342408087	0.8564460046	1.169015971	0.1880480442	-0.09875356809	1.143232475	0.3838813567	0.5750816057	-2.193383796	-2.244302993	2.127230488	1.368390942	0.8177613451	0.4358727027	-0.8519008428	-1.152500176
-0.5727337172	-0.3311167541	0.2339867875	1.631896741	0.4123492293	-0.08980674936	0.1221692922	-0.04180775103	2.099776929	0.4015586326	1.514474514	0.3409600444	-1.299011547	-0.231344633	0.1332929971	-1.493534626	1.631782525	0.7640353132	-0.5756494334	1.404552726	-0.1292852862	-0.9294727522	1.714126874	-0.7851935586	-0.07829015525	-1.100559992	1.010133137	-0.9287109348	1.325412949	0.250911529	-0.6714993946	1.712309086	2.499196992	1.276921289	0.5351596891	-0.1139359183	0.06527288945	-0.6999633301	-1.56505645	-1.896667842	0.6687049287	0.7128062044	-0.8527403721	-0.933351644	-0.5435920316	-0.8241252845	1.642464304	-1.463524641	0.8157631224	-1.376139517	1.29281851	0.03917999977	-0.03184980409	0.4508490619	0.1478362601	-0.4653489394	1.807142338	0.4253398757	1.327149707	-0.01132036545	0.1007060088	-0.03551939584	1.372697803	0.3489261573	-1.010735258	1.172387399	-0.6649725559	-0.5547220005	-1.241236277	-0.6503330424	-0.4270285047	-0.6403065936	2.451301169	-0.2391036939	1.596341927	0.28456974	0.3271453459	1.088890427	0.577081832	1.105072886	0.9460277402	0.6606209647	1.780845606	2.307655843	0.1432375289	-1.098311489	1.708360238	1.536038481	-0.6304086238	-0.2275224756	-1.629575209	0.7135035454	-0.4399697476	1.486640072	2.066348737	0.8318746203	0.1028357567	-0.2327681868	-0.2486581189	-1.536836426	-0.09666225991	0.3811488492	1.00680601	-0.7297984713	-0.4088420948	0.1971807593	-0.4681277005	1.11525849	-1.604553943	0.8818625731	0.9473702128	-1.146036454	0.1772863063	-0.6604913535	1.742661531	0.1309375458	-0.3018252931	1.274038112	2.576665848	-0.5401011227	-0.05518237153	0.7290819278	-1.442003811	3.206785963	1.309131346	-0.6202133686	-0.251970678	0.7996775284	0.4882219385	0.69672327	-1.22071902	-0.2708967675	0.5125549039	-0.4740468804	-0.984261878	0.4185967402	1.273029233	-0.4522517251	-0.550830368	-1.485771073	1.132157793	0.9474348513	-0.8678799805	0.07947269198	0.7003130281	0.8427349242	-0.2839113399	1.853956123	0.1394079099	-0.242009298	-0.2839314593	-0.7435981031	-1.566684017	0.9584968593	0.01980748243	-0.2151383454	-0.2622311028	0.5296250569	-0.3784909202
-0.6235879626	-0.5213608096	0.1203931515	1.057051292	0.3700154574	0.3804993541	0.956147276	-0.2644907257	-0.6974453615	0.1319665755	-0.1726644294	-0.3665894041	1.093188084	-0.8124493825	0.07473709084	-1.46145971	1.589056057	-0.147662486	-0.3364729319	0.5268942194	-0.6263942684	-0.6985832639	0.7863069241	-0.5803510375	0.9930269609	0.2779059155	1.757352482	-0.8006702044	0.4166527416	-1.084471097	-1.103899512	-0.06782105536	-0.02605288803	1.788245361	1.218602276	-0.6120630905	-0.3145386049	-0.4726197939	-2.462014329	-1.527190062	-0.6526376978	0.3456814171	0.2213968133	1.373268217	1.451329411	-0.03517259568	1.091533438	-0.6275951734	0.5075300594	-0.9588787742	1.199843441	-0.4768887219	-0.005081797893	0.9216578565	-0.009147861423	-0.9372495122	1.325279084	1.587205158	1.520039891	-2.271579644	2.136182073	1.179315193	0.8098083159	0.05128440143	-0.364979615	0.7882388751	-0.3178327159	1.021779258	-0.8350719347	-1.163117525	3.171514744	-0.8935334266	1.792720806	1.894896606	1.569342493	0.5384550851	-1.701465564	0.8182673285	-0.1014003253	-0.7605085385	0.9896991636	-0.1116026276	-0.05187557417	1.597598434	0.4422032634	-1.165039974	1.708057723	0.9072512112	-0.2707924839	-1.219294724	2.238126919	-1.472654521	-0.296667698	1.02043642	1.470757087	-0.7118303919	0.6775300855	-0.01515874311	0.6581416028	-0.508755673	0.4174188803	-0.1150787423	0.2664643431	-1.276886503	-0.9991512769	1.542055593	-0.1621703127	-0.07884130658	-0.8517783761	1.987193424	1.151022748	-2.327113757	-1.91760055	-0.06511051583	2.255239483	-0.6118257464	-0.959845601	0.5956566627	0.6556115224	-0.6302843703	-1.519274124	-0.04512851076	-0.09745132919	1.653788554	0.5633288546	0.2602857071	0.1311308592	0.2214841814	0.5837305681	-0.00335580557	-1.292776449	-0.2143311091	-1.100501932	0.6944482166	0.09710801435	0.2523222844	2.759132147	0.1983329737	-1.301414435	-1.8819338	-0.68615396	-0.03986380533	1.153790505	-1.253881998	1.045272385	0.5363646471	-1.317729582	1.197270505	-0.2467912778	-1.005756083	-0.3660260145	0.457792794	-0.2162844905	0.2025601591	-2.127107658	1.720551846	-0.1260914868	-0.09038997119	-1.533204095
-0.5558916228	-0.4678608956	0.1331328242	1.391068659	0.358561445	0.0499749098	0.7643379257	-0.2686818908	-1.010094757	-0.9703346969	0.5449059865	-0.2606935468	1.132717007	-0.8418329187	0.5429293528	-0.9932243509	0.890553764	1.163830232	0.784980987	0.4383758105	-0.03935252406	-0.6390139112	1.004354524	-0.4468500968	1.191445706	-0.5078257477	0.4706299273	-0.6078617634	0.8211843279	-0.8520506272	-0.5678420533	0.8611060307	-0.2217488884	-1.878346848	-1.770165285	-0.382158388	0.1417805641	0.7491278794	-2.001805335	-1.480958311	1.447602298	0.4985019367	1.05161967	0.6875757636	-0.4789721192	0.3232976498	0.8896523315	-0.5932362629	0.3849519719	-0.01131008111	1.293002642	0.2665970641	0.1092417867	-0.1566772946	0.6919606319	-1.111652039	-0.4190504052	0.3658528624	1.874094656	-0.4937419814	1.036305939	0.3710612181	1.039121916	0.4444222591	-0.4933723865	0.4002639619	-1.078652395	-0.2007251288	-0.7679825631	-0.8150120966	-0.9349069442	0.01572061648	2.209950675	0.3936755846	1.64186821	0.1886052949	-0.6756652965	-0.9794439452	1.330922156	0.7576837052	0.5071260724	-0.6512387831	0.7461756749	1.63237945	-0.5976747236	-1.326222703	-0.1341682136	1.78183511	0.4368118718	-0.5604778157	-0.623373415	-0.09922439074	1.685959632	-0.5365945431	2.666530653	0.1172285429	0.7861989039	-0.4038142405	-0.8017412315	-0.2811382519	0.7872751214	0.9123316241	0.9197769134	0.5816231499	-0.9123128351	-0.3191681131	-0.362716222	-2.222922958	0.2909729252	-0.6518566339	2.280802261	-2.100544053	-0.8131121322	0.268302937	-1.402696718	-0.4319722846	0.3321680668	1.137445356	3.24025352	-0.7755813516	0.5458542527	0.487977399	0.40401886	1.77153647	-0.2253284697	0.3469884069	0.2792599381	0.07653353859	0.685432917	0.08938003204	-0.6526312804	1.207666206	0.5417998404	0.9693274156	2.238414773	2.353961313	0.4836975035	1.604514024	-1.621254981	-1.102921114	0.06920147358	1.689899881	-1.46927336	1.967650883	1.109833703	0.6901022301	-0.7499596067	-0.4531180107	1.296048711	-0.3831877592	1.164157322	-0.502421345	-0.3393405677	0.9072598501	-0.4718985879	1.582221466	-1.108442391	0.1203296655	-0.742642116
-0.4043895233	-0.2362409389	0.3709392302	1.127595298	0.4086232833	0.3115325131	1.157471805	-0.2497852326	1.233087282	-0.1941324144	0.7819429203	1.264453535	-1.17506977	-0.3022310501	-0.6817950517	-1.005841109	1.345224047	0.3972867646	0.134534143	0.8855881323	-0.04672799142	-0.0496911123	1.266224103	-0.1407043046	0.3076480051	0.1004822841	-1.159348774	-0.4098325769	1.193169634	1.051747776	0.4528580791	1.197749866	1.394578768	-1.064934173	-0.3404909434	-0.06049819834	0.2473743629	1.237581666	-1.339267694	-1.793931855	-0.2728274117	0.6089824481	-0.7405880484	-0.5949442682	-0.1101112636	0.3419079869	1.19391974	0.4674528008	0.3851790349	0.4775196927	1.087423406	-0.3229809248	0.5212892495	0.6196939091	1.652503646	-0.09351219902	-0.03288592816	-1.160371409	1.490933163	-0.294528708	-0.183689816	-0.8506216734	1.225249258	0.5005961547	-0.8402753309	-0.04891958818	-0.6764199118	0.103845449	-0.701509442	0.09023567473	-0.7750389582	-0.2320624161	3.015666915	-0.4494138369	1.465967769	-0.1466392501	0.2185073986	0.8994460179	1.696682556	1.197288688	0.4568720169	-0.6522111682	1.062924207	2.158456347	0.05758548786	-0.6396522983	0.05473329612	2.242033072	-0.07414326059	-0.3058049738	0.6520868088	1.614406382	0.6441949489	-0.02615988152	1.705906241	0.2547796167	1.254063159	-0.6449743517	-0.03527811176	-0.725499391	-0.2138183295	0.625117473	0.5581455584	0.7622379261	0.1240840318	-0.1755769213	-0.3557564741	-0.7349112994	-0.7465898898	-0.6264683979	0.9729815186	0.07781658841	0.340045991	0.4302908349	-1.066606694	0.1007764549	-0.908786399	1.063831794	1.908392517	0.05536424762	1.515003508	1.879945221	0.2986939881	1.796828938	1.73621757	-0.2553116816	0.7578243204	0.4539897072	1.779341353	0.94346877	0.0625215029	1.193753557	0.7643101445	0.3275500258	0.5594931271	1.225997734	0.4657069456	1.335797282	-2.324230146	-0.5454455457	0.3587833385	1.338881239	-2.083405666	0.6549826523	1.034332971	0.3818196261	-0.04417959848	0.2225567393	1.009866888	0.6075021662	0.155677107	1.050200402	0.1274160149	-0.7096954664	-0.1939951595	-0.2143389726	-1.453340843	0.1305619118	1.214273987
-0.7096638507	-0.0875590175	0.01038718519	1.058932281	0.507412352	0.07516733887	1.064501205	-0.160352206	-0.0542168877	2.033444442	0.6008689327	-0.9393752122	-0.08243671277	-0.38767808	0.63617923	-0.7632828032	1.22173535	1.01747148	-1.282906937	0.7954664381	0.1444745356	-1.230167798	0.9266527568	-0.192748144	0.4069923154	0.2277604861	-0.36173828	-0.5206728161	0.1651391626	-0.06359649048	0.8248252662	-0.4025902661	0.2825014391	1.05356195	1.640501193	-0.2567903896	-0.04490665236	0.03798953568	-2.056978561	-1.4413944	0.4967291234	0.2563623788	0.08821273935	-0.1423014446	0.185059277	0.181739596	0.8089744828	-0.2414396818	-0.4797273454	1.112703205	0.08239839537	0.5844233574	0.8098019089	1.954380228	0.9269144316	0.1638329092	-1.593544538	2.218137389	0.9988725587	-0.6211449649	-2.329157157	-0.6164803377	0.488597484	-0.3864910976	-0.2436421502	-0.05129831817	-0.4737634802	0.008919301934	-0.5068662459	0.6432478408	1.570134727	0.07501397655	1.615576255	0.3104060715	0.7588840992	0.512253304	0.3000495076	0.7862229032	1.45704326	0.3303360875	0.8092591293	0.1706746649	-0.1030767904	1.673374416	1.848147657	1.837983195	1.409975984	2.011638954	-0.2031751165	-0.6827024871	0.1214423181	-1.888855933	0.6788826534	1.519814646	-0.652545577	1.294693766	1.443090375	0.8903493721	0.7855375075	0.6162481483	-1.018846128	-0.4411864039	0.5710338723	-0.01537838801	1.489748043	-0.4947616714	1.044705583	2.057615687	-0.6673277634	0.5048556125	0.7311689097	-0.8366435242	0.5099589276	1.639185652	0.2542545887	0.6515094249	-0.484142157	1.663627178	1.340027428	0.5120490494	0.9147254823	1.874425513	-1.563533073	2.003970237	1.07141616	1.48443332	-0.3423602498	-0.07384406189	1.400233817	0.2225354582	1.509637384	0.9785962055	-0.1469739323	0.7956329143	0.7589596489	0.8346133515	1.734087568	0.874236192	-1.211920821	-1.000885173	-0.1663421405	0.491058826	-0.9435373281	0.368545551	2.046563318	-0.1013918899	0.3012601071	-0.1224390612	0.5748993056	1.991948316	0.2984086408	-0.5436802409	-0.06018376924	1.714205414	1.068658824	-0.7496040274	0.7014358707	-0.2884272188	-0.2338632006
-0.6195618249	-0.08759110323	0.1180808693	0.8590112937	0.3576402143	-0.05067423285	0.9864377591	-0.4039266353	-0.3232021464	-0.9907776665	0.9851730372	0.09597706091	0.3877270322	-0.1484279445	1.216191806	-0.8880285569	1.155584793	1.788065167	1.663522233	1.14670191	1.001711032	0.2906590391	1.257353134	-0.3558024544	0.3255310662	0.1664542767	1.477156605	-0.4456937724	0.3870131805	-0.03417216178	0.2661185398	0.5287867681	0.4534931102	-1.277594909	0.2873122665	0.3051229347	-0.002966617087	2.004655703	-1.824133214	-1.292602773	2.557962359	-0.05647827749	-1.576504893	1.388254843	-0.1968173925	0.7099395586	0.002324931592	0.5610298856	-0.786179987	0.6989288003	-0.4393370385	0.6416172535	0.06452597948	0.9141962311	1.10427206	0.5422022888	-1.778789195	-0.9633768709	0.09462703159	1.542965021	-1.532890188	-1.283640868	-0.728850914	1.71528901	-0.3945374853	-0.7196719525	-0.8372852619	-0.9283166112	-0.3162655643	1.204683203	-1.129249763	-1.057949163	0.2604229049	-0.5647233151	-1.341325842	0.840710159	-1.130885861	-0.4913810873	0.5316156008	0.7714967496	0.4896032336	0.1287732482	-0.3739853569	0.7635227457	-0.494125656	-0.3465117288	-0.2109538192	1.131465928	-0.07854655297	-1.015757214	-0.6216994687	-0.1333652844	2.492176003	1.262817103	-2.650418382	1.851259365	0.08438872916	0.928727307	0.7054039371	-0.8049190169	0.3131867886	-0.1284952973	-0.4134199524	-0.9445250532	1.115191347	-0.9365797714	-0.2006134324	-0.6361475342	-0.8986444946	-0.1732181919	0.145994112	-1.340676092	1.071318784	1.255885265	-0.4808234559	0.8813252746	-1.006564475	1.477917413	2.035522293	0.8330330985	2.506134559	1.874560325	-0.7575153167	0.9744396454	0.3114388735	0.2205676328	-0.67108026	-0.3937834414	0.1240621484	0.5393758565	-0.04145284205	0.9649275761	0.167750055	-0.01907867942	0.7428088853	0.6918226395	0.2468235409	0.5178855713	-1.993565795	-0.3171879431	-0.09386562908	-1.029184387	-1.54095622	1.193601428	-0.1266319044	-0.6278713412	-1.163808235	-0.02470410515	-0.06487891547	0.5795525936	0.8284474957	-1.394797102	1.286899091	-0.5318597825	-1.929294527	-0.454978086	-0.2483259425	1.053829796	1.586633343
-0.6893760797	-0.153686657	-0.06247709753	0.5103274231	-0.002328889565	-0.4491003672	1.349160959	-0.6810337196	2.125156229	0.08887457667	0.3756424368	2.373256675	-0.5214552812	-1.078958481	-1.052447497	-1.311009479	1.494273815	0.458988081	1.115480731	1.01614075	-0.07695077675	0.9221134639	0.2534002223	-0.3286089446	0.9043837417	0.6999363966	0.2400634334	-0.2793552671	0.2152259493	0.5510164409	0.3092780035	-1.546746632	0.07858933159	-0.7019029726	0.5378240301	-1.064198312	-0.2424389954	0.4800437357	-1.967307889	-0.6144970326	-1.049131974	-1.078201352	-0.3609277022	-0.3772044952	0.1378185177	0.3485087711	-0.5556681878	0.8293021417	-0.5479952768	0.01348183869	-0.01167279411	-0.9756021273	-0.7313056906	1.112535606	-0.5191241383	0.7278327167	2.401930155	0.2584266282	0.3026086673	-0.3614458903	1.448846306	0.4893248388	-1.658545868	-0.4871505184	-1.425510879	-1.737005363	-0.7832805296	0.1068961541	-0.3361081137	0.8460426006	0.8491446211	0.2089489497	-0.3100801875	0.9208187167	-1.044190422	0.3884288176	-0.3784123664	1.155419299	0.439087217	-0.7933337456	0.498731378	-0.4914486644	-0.4930897559	0.1326665693	0.2089209626	0.4416902391	0.6181050862	0.8474837968	0.3617505131	-0.4995808429	0.9563923194	1.299702478	1.135528899	0.8707230287	-1.971535804	-0.1449599393	1.338676218	-1.355281023	0.3848560084	-0.5544661225	-1.037517231	0.06158121514	0.1047904847	-0.8818766111	0.8316177121	-0.2880963665	-1.01408436	-0.1461534582	-0.9401767772	0.7469274306	0.09856308816	-0.188843512	2.308590904	-0.109902856	-2.057388722	1.063925617	-0.9350690974	1.251716831	-0.346814928	1.212307629	0.8451057124	1.292508256	-0.3405672939	0.3457418319	0.237520365	0.8208329882	-0.4447365219	0.3957176685	0.8323812891	-0.1535311992	0.5321499915	-0.5632957239	0.803409287	-0.5916422266	0.2501595855	-0.1101941155	0.2779910261	-0.1778323319	-2.038306619	-0.3743689833	-0.9952736227	-0.770649545	-0.2401387701	-0.9828263576	0.3302657723	-0.0507041235	-1.486126615	-0.8416205898	0.604687144	1.438758981	0.409227858	2.277048271	0.1172809489	-1.274588461	0.05521114962	-0.9550892921	-2.006607751	-0.2048907946	-1.071611404
-0.740165212	-0.1812332302	-0.207793305	0.6654234234	0.16583057	0.04475469758	0.7535924675	-0.4474604024	-1.154198624	-0.3319538851	0.2472368846	-1.285858581	1.288193447	-0.631720015	-1.098688961	-1.273416498	0.3938392168	0.5714352498	-0.8001834856	1.194450143	0.6450330198	-0.1822323701	0.03769702938	-0.7498316581	0.8072280991	0.1575884291	-0.4370997177	-0.6931480226	-0.3005181399	0.07700407125	0.2560213506	-1.132990092	0.5308128364	0.6577433835	0.2789018611	-0.1384842447	0.2198632867	-1.356600347	-0.2208717474	-0.4564803133	-0.1045954177	-1.625998101	-1.010967165	0.3704146727	1.317899111	-0.4942543564	-0.9097035323	0.1336191324	-0.007511263409	0.1809375228	1.076853449	-0.7687776272	-0.2164082566	0.2458046279	-0.0565909605	0.6738329842	-0.3010787823	-0.7880601146	-0.5983656963	0.2859914381	-0.3545164584	-0.0609168178	-0.8962855917	1.327221409	-0.7631772147	-1.470373395	-0.7173473814	-0.476537609	-0.03302980274	1.364102528	0.5034234988	-0.1088742889	-0.006330256726	-1.214230186	-1.273629925	0.1883507075	-0.3183491807	0.8058994064	0.4935919357	-0.3079140937	0.7530455084	-0.419973363	-0.733534441	-0.3213493303	-0.4442304446	2.084139465	-1.850869544	0.4656565578	-0.2996657984	-0.5678166576	0.1525617651	0.7947669582	0.4042168337	-0.7264819489	-2.162205857	0.5028487332	1.32314972	-1.032093039	0.4117760281	-0.5860828928	0.8758548567	-0.8012279998	-2.281411423	-0.4997888678	0.7683116708	-0.302783608	-0.7810228392	0.2865496022	-0.56319325	0.7376119271	1.130682839	-0.7125030544	0.03146035957	0.7445741067	-0.2295061438	0.9158358411	-1.339779116	0.6215418189	1.706179928	1.010583269	-0.2530152391	0.12660342	-1.103712704	0.7219985253	-0.1973820551	0.3777294425	-0.1168836261	0.6704820338	0.4627838154	0.758325075	0.2307631162	0.8844375898	0.448281074	0.6937669474	0.5726151812	0.563924175	-0.8540024219	-0.2995861029	-0.8807223394	-0.3592087517	-0.1587737751	0.5527464305	-0.1603842384	1.280008928	-0.2543723719	-0.1117131625	-0.9919860307	-0.235676426	0.13127441	-0.381761278	-0.0609661163	0.1442582654	-0.1759955009	0.110640789	0.8543242555	0.07669002013	0.252435286	0.2409162797	-1.459083389
